"Sign Out","Uitloggen"
"This confirmation key is invalid or has expired.","Deze bevestiging sleutel is ongeldig of is verlopen."
"There was an error confirming the account","Er is een fout opgetreden tijdens het bevestiging van het account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw verzendadres in te voeren voor een juiste BTW-berekening."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw factuuradres in te voeren voor een juiste BTW-berekening."
"Thank you for registering with %1.","Bedankt voor uw registratie bij %1."
"Please check your email for confirmation key.","Controleer uw email voor de bevestigingscode."
"This email does not require confirmation.","Deze e-mail hoeft niet bevestigt te worden"
"Wrong email.","Onjuist e-mailadres."
"Your password reset link has expired.","Uw wachtwoord-reset-link is verlopen"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","U moet uw account bevestigen. Controleer uw email voor de bevestigingslink of <a href=""%1""> Klik hier</a> voor een nieuwe link."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Er is al een account met dit e-mailadres. Als u zeker weet dat is het uw e-mailadres is, <a href=""%1"">kunt u een nieuw wachtwoord aanvragen</a>."
"We can't save the customer.","We kunnen de klant niet opslaan."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw verzendadres in te voeren voor een juiste BTW-berekening."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Als u een geregistreerde BTW-klant bent, gelieve <a href=""%1""> hier te klikken </a> om uw factuuradres in te voeren voor een juiste BTW-berekening."
"Account Information","Accountgegevens"
"You saved the account information.","U heeft de accountgegevens opgeslagen."
"You did not sign in correctly or your account is temporarily disabled.","Inloggegevens zijn onjuist of uw account is tijdelijk uitgeschakeld."
"Password confirmation doesn't match entered password.","Wachtwoord-bevestiging komt niet overeen met ingegeven wachtwoord."
"The password doesn't match this account.","Het wachtwoord komt niet overeen met dit account."
"Please correct the email address.","Corrigeer het e-mailadres."
"We're unable to send the password reset email.","We kunnen de wachtwoordherstel e-mail niet verzenden."
"Please enter your email.","Voer uw e-mailadres in."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Als er een account is gekoppeld aan %1, ontvangt u een e-mail met een link om uw wachtwoord opnieuw in te stellen."
"My Account","Account"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Deze account is niet bevestigd. <a href=""%1"">Klik hier</a> om de bevestigingsmail opnieuw te verzenden."
"An unspecified error occurred. Please contact us for assistance.","Een niet nader gekende fout deed zich voor. Neem contact met ons op voor hulp."
"A login and a password are required.","Gebruikersnaam en wachtwoord zijn verplicht."
"New Password and Confirm New Password values didn't match.","Het nieuwe wachtwoord en de bevestiging van het nieuwe wachtwoord komen niet overeen."
"Please enter a new password.","Voer een nieuw wachtwoord."
"You updated your password.","Uw wachtwoord is bijgewerkt."
"Something went wrong while saving the new password.","Er ging iets mis bij het opslaan van het nieuwe wachtwoord."
"You deleted the address.","U hebt het adres verwijderd."
"We can't delete the address right now.","We kunnen het adres op dit moment niet verwijderen."
"You saved the address.","U hebt het adres opgeslagen."
"We can't save the address.","We kunnen het adres niet opslaan."
"No customer ID defined.","Geen klant ID gedefinieerd."
"Please correct the quote items and try again.","Corrigeer de genoemde onderdelen en probeer het opnieuw."
"You have revoked the customer's tokens.","U hebt de klanten toegang ingetrokken voor de huidige sleutels."
"We can't find a customer to revoke.","We kunnen geen klant vinden om in te trekken."
"Something went wrong while saving file.","Er ging iets mis bij het opslaan van de bestanden."
"You deleted the customer group.","U heeft de klantgroep verwijderd."
"The customer group no longer exists.","De klantgroep bestaat niet langer."
"Customers","Klanten"
"New Group","Nieuwe groep"
"New Customer Groups","Nieuwe klantgroepen"
"Edit Group","Groep bewerken"
"Edit Customer Groups","Klantgroepen bewerken"
"You saved the customer group.","U heeft de klantgroep opgeslagen."
"Please select customer(s).","Selecteer klant(en)."
"Customer could not be deleted.","Klant kon niet verwijderd worden."
"You deleted the customer.","Klant verwijderd."
"Something went wrong while editing the customer.","Er ging iets mis tijdens het bewerken van de klant."
"Manage Customers","Klanten beheren"
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"A total of %1 record(s) were updated.","In totaal zijn %1 record(s) bijgewerkt."
"A total of %1 record(s) were deleted.","Een totaal van %1 veld(en) werden verwijderd."
"The customer will receive an email with a link to reset password.","De klant ontvangt een e-mail met een link om het wachtwoord opnieuw instellen."
"Something went wrong while resetting customer password.","Er ging iets mis tijdens het opnieuw instellen van het wachtwoord van de klant."
"You saved the customer.","U heeft de klant opgeslagen."
"Something went wrong while saving the customer.","Er ging iets mis bij het opslaan van de klant."
"Page not found.","Pagina niet gevonden."
"Customer has been unlocked successfully.","Klant is ontgrendeld."
"Online Customers","Online klanten"
"Customers Now Online","Klanten nu online"
"Please define Wish List item ID.","Geef itemnummer verlanglijstje."
"Please load Wish List item.","Laadt het wensenlijstproduct."
"Login successful.","Succesvol ingelogd."
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"""%1"" section source is not supported","""%1"" sectie bron wordt niet ondersteund"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 is geen uitbreiding van \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Geen bevestiging nodig."
"Account already active","Account is reeds actief"
"Invalid confirmation token","Ongeldige bevestigingssleutel"
"The account is locked.","Account is vergrendeld."
"This account is not confirmed.","Dit account is niet bevestigd."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Ongeldige waarde van ""value"" opgegeven voor het veld %fieldName. Mogelijke waarden: %template1 of %template2."
"Please enter a password with at most %1 characters.","Voer een wachtwoord in met ten hoogste %1 tekens."
"Please enter a password with at least %1 characters.","Voer een wachtwoord in met ten minste %1 tekens."
"The password can't begin or end with a space.","Het wachtwoord kan niet beginnen of eindigen met een spatie."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum van verschillende klassen van tekens in wachtwoord is %1. Soorten tekens: kleine letters, hoofdletters, cijfers en speciale tekens."
"Password cannot be the same as email address.","Wachtwoord kan niet hetzelfde zijn het e-mailadres."
"This customer already exists in this store.","Deze klant bestaat al in deze winkel."
"A customer with the same email already exists in an associated website.","Een klant met hetzelfde e-mailadres bestaat al in een verwante website."
"Invalid value of ""%value"" provided for the %fieldName field.","Ongeldige waarde voor ""% value"" opgegeven voor het %fieldName veld."
"%fieldName is a required field.","%fieldName is een verplicht veld."
"Reset password token mismatch.","De code om het wachtwoord te resetten is niet juist."
"Reset password token expired.","De code om het wachtwoord te resetten is verlopen."
"Please correct the transactional account email type.","Corrigeer het transactionele account email type."
"""%1"" is a required value.","""%1"" is een vereiste waarde."
"Global","Systeem"
"Per Website","Per website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We kunnen geen klanten accounts wereldwijd verspreiden indien de accounts identieke email adressen bevatten op meerdere websites."
"Billing Address","Factuuradres"
"Shipping Address","Bezorgadres"
"-- Please Select --","-- Selecteer --"
"Please enter a valid password reset token.","Voer een geldig wachtwoord reset sleutel in."
"The password can not begin or end with a space.","Het wachtwoord kan niet beginnen of eindigen met een spatie."
"Admin","Beheerder"
"ALL GROUPS","ALLE GROEPEN"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Geen dergelijke entiteit met %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Bestand kan niet worden opgeslagen in de doelmap."
"Unable to create directory %1.","Niet mogelijk om folder aan te maken: %1."
"Destination folder is not writable or does not exists.","Doelmap is niet schrijfbaar of bestaat niet."
"Something went wrong while saving the file.","Er ging iets mis bij het opslaan van het bestand."
"Attribute object is undefined","Attribuut object is niet opgegeven"
"""%1"" invalid type entered.","""%s"" ongeldige tekens ingevoerd."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" bevat niet-alfabetische of niet-numerieke tekens."
"""%1"" is an empty string.","""%1"" is een lege string."
"""%1"" contains non-numeric characters.","""%1"" bevat niet-numerieke tekens."
"""%1"" contains non-alphabetic characters.","""%1"" bevat niet-alfabetische tekens."
"""%1"" is not a valid email address.","""%s"" is geen geldig e-mailadres."
"""%1"" is not a valid hostname.","""%s"" is geen geldige hostnaam."
"""%1"" uses too many characters.","""%1"" te veel tekens worden gebruikt."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' ziet eruit als een IP-adres, dit is een onaanvaardbaar formaat."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' lijkt een DNS hostname maar bevat een streepje in een ongeldige positie."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' lijkt een DNS hostname maar we kunnen geen onvereenkomstige TLD vinden in het hostname schema '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' lijkt een DNS hostname maar er kan geen TLD ontleed worden."
"'%value%' does not look like a valid local network name.","'%value%' lijkt niet op een geldige lokale netwerknaam."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' lijkt op een lokale netwerknaam, dit formaat wordt niet aanvaard."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' lijkt een DNS-hostname te zijn, maar de opgegeven punycode notatie kan niet gedecodeerd worden."
"""%1"" is not a valid URL.","""%1"" is geen geldige URL."
"""%1"" is not a valid date.","""%1"" is geen geldige datum."
"""%1"" does not fit the entered date format.","""%1"" past niet in het ingevulde datum-formaat."
"Please enter a valid date between %1 and %2 at %3.","Voer een geldige datum in tussen %1 en %2 bij %3."
"Please enter a valid date equal to or greater than %1 at %2.","Voer een geldige datum gelijk aan of groter dan %1 bij %2."
"Please enter a valid date less than or equal to %1 at %2.","Voer een geldige datum in minder of gelijk aan %1 bij %2."
"""%1"" is not a valid file extension.","""%1"" is geen geldige bestandsextentie."
"""%1"" is not a valid file.","""%1"" is geen geldig bestand."
"""%1"" exceeds the allowed file size.","""%1"" overschrijdt de toegestane bestandsgrootte."
"""%1"" is not a valid image format.","""%1"" is geen geldig afbeeldingsformaat."
"""%1"" width exceeds allowed value of %2 px.","""%1"" breedte overschrijdt toegestane waarde van %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" hoogte overschrijdt toegestane waarde van %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengte moet minimaal %2 karakters zijn."
"""%1"" length must be equal or less than %2 characters.","""%1"" lengte mag maximaal %2 karakters zijn."
"label","label"
"Please enter a customer email.","Voer een klant e-mailadres in."
"A customer website ID must be specified when using the website scope.","Klant website-ID moet opgegeven zijn bij het gebruik van de website-scope."
"Customer Group","Klantengroep"
"You can't delete group ""%1"".","U kunt groep ""%1"" niet verwijderen."
"Customer Group already exists.","Klantgroep bestaat reeds."
"Cannot delete group.","Kan groep niet verwijderen."
"Error during VAT Number verification.","Fout tijdens verificatie van het BTW-nummer."
"PHP SOAP extension is required.","PHP SOAP extensie is nodig."
"VAT Number is valid.","Het BTW nummer is geldig."
"Please enter a valid VAT number.","Voer een geldig BTW nummer in."
"Your VAT ID was successfully validated.","Uw BTW-nummer is met succes gevalideerd."
"You will be charged tax.","Er zal BTW gerekend worden."
"You will not be charged tax.","Er zal geen BTW gerekend worden."
"The VAT ID entered (%1) is not a valid VAT ID.","Het ingevulde BTW-nummer (%1) is geen geldig BTW-nummer."
"Your Tax ID cannot be validated.","Uw BTW-nummer kan niet gevalideerd worden."
"If you believe this is an error, please contact us at %1","Als u denkt dat dit niet juist is, neemt u dan contact met ons op via %1"
"No such entity with %fieldName = %fieldValue","Geen dergelijke entiteit met %fieldName = %fieldValue"
"Male","Man"
"Female","Vrouw"
"Not Specified","Niet Gespecificeerd"
"Thank you for registering with","Bedankt voor uw registratie bij"
"enter your billing address for proper VAT calculation","voer uw factuuradres in voor een juiste BTW-berekening"
"enter your shipping address for proper VAT calculation","voer uw verzendadres in voor juiste BTW-berekening"
"Please enter new password.","Voer een nieuw wachtwoord in."
"message","bericht"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Uitzondering"
"InputException.","Invoer-uitzondering."
"InputException","Invoer uitzondering"
"Exception message","Foutmelding"
"Validator Exception","Validatie Fout"
"Localized Exception","Localizatie Fout"
"some error","een fout"
"frontend_label","frontend_label"
"NOT LOGGED IN","NIET INGELOGD"
"Please enter the state/province.","Vul de provincie in."
"region is a required field.","regio is een verplicht veld."
"regionId is a required field.","regionId is een verplicht veld."
"Label","label"
"Select...","Selecteer..."
"Edit","Bewerken"
"Visitor","Bezoeker"
"Customer","Klant"
"No item specified.","Geen artikel gespecificeerd."
"Are you sure you want to remove this item?","Weet u zeker dat u dit product wilt wissen?"
"Personal Information","Persoonlijke informatie"
"Last Logged In:","Laatst ingelogd"
"Last Logged In (%1):","Laatst ingelogd (%1):"
"Account Lock:","Account geblokkeerd:"
"Confirmed email:","Bevestigde email:"
"Account Created:","Account aangemaakt:"
"Account Created on (%1):","Account aangemaakt op (%1):"
"Account Created in:","Account gemaakt in:"
"Customer Group:","Klantgroep:"
"Default Billing Address","Standaard factuuradres"
"Sales Statistics","Verkoopstatistiek"
"Web Site","Website"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Average Sale","Gemiddeld bedrag"
"All Store Views","Alle Winkelaanzichten"
"Change","Verander"
"Manage Addresses","Beheer adressen"
"Default Shipping Address","Standaard verzendadres"
"Contact Information","Contactgegevens"
"Change Password","Wachtwoord wijzigen"
"Newsletters","Nieuwsbrieven"
"You are subscribed to ""General Subscription"".","U heeft zich geabonneerd op de nieuwsbrief."
"or","of"
"Default Addresses","Standaard adres"
"Change Billing Address","Verander Factuuradres"
"You have no default billing address in your address book.","U heeft geen standaard factuuradres in uw adresboek."
"Change Shipping Address","Verzendadres wijzigen"
"You have no default shipping address in your address book.","U heeft geen standaard verzendadres in uw adresboek"
"Additional Address Entries","Additionele Adresgegevens"
"Delete Address","Verwijder adres"
"You have no other address entries in your address book.","U hebt geen andere adressen ingevoerd in uw adresboek."
"* Required Fields","* Verplichte velden"
"Address","Adres"
"Street Address","Adres"
"Street Address %1","Adresregel %1"
"VAT Number","BTW nummer"
"City","Plaatsnaam"
"State/Province","Staat/Provincie"
"Please select a region, state or province.","Selecteer regio, staat of provincie."
"Zip/Postal Code","Postcode"
"Country","Land"
"It's a default billing address.","Het is een standaard factuuradres."
"Use as my default billing address","Gebruik als standaard factuuradres"
"It's a default shipping address.","Het is een standaard leveringsadres."
"Use as my default shipping address","Gebruik als standaard verzendadres"
"Save Address","Adres opslaan"
"Go back","Terug"
"Please enter your email below and we will send you the confirmation link.","Voer hieronder uw e-mailadres in en wij zullen u een bevestigingslink sturen."
"Email","E-mail"
"Send confirmation link","stuur bevestigingslink"
"Back to Sign In","Terug naar inloggen"
"Change Email","E-mailadres wijzigen"
"Change Email and Password","Wijzig E-Mail en wachtwoord"
"Current Password","Huidig wachtwoord"
"New Password","Nieuw wachtwoord"
"Password Strength","Wachtwoordsterkte"
"No Password","Geen wachtwoord"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Save","Opslaan"
"Please enter your email address below to receive a password reset link.","Voer uw e-mailadres hieronder in om een wachtwoord reset link te ontvangen."
"Reset My Password","Wachtwoord resetten"
"Registered Customers","Geregistreerde klanten"
"If you have an account, sign in with your email address.","Als u een account hebt, meld u dan aan met uw e-mailadres."
"Password","Wachtwoord"
"Forgot Your Password?","Wachtwoord vergeten?"
"Subscription option","Abonnementoptie"
"General Subscription","Algemene inschrijving"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"Address Information","Adres Gegevens"
"Sign-in Information","Inloggegevens"
"Confirm Password","Bevestig wachtwoord"
"Create an Account","Account aanmaken"
"Set a New Password","Een nieuw wachtwoord instellen"
"You have signed out and will go to our homepage in 5 seconds.","U heeft zich afgemeld en zal over 5 seconden naar de homepage doorgestuurd worden."
"New Customers","Nieuwe klanten"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Het aanmaken van een account heeft vele voordelen: sneller afhandelen, meer dan één adres registreren, volgen van bestellingen en meer."
"Company","Bedrijf"
"Fax","Fax"
"Gender","Geslacht"
"Name","Naam"
"Tax/VAT number","BTW nummer"
"Phone Number","Telefoonnummer"
"Welcome to %store_name","Welkom bij %store_name"
"%name,","%name,"
"Welcome to %store_name.","Welkom op %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Om in te loggen op onze website, gebruik deze gegevens tijdens het betalen of op de <a href=""%customer_url"">Uw Account</a> pagina:"
"Email:","E-mail:"
"Password:","Wachtwoord:"
"Password you set when creating account","Opgegeven wachtwoord tijdens aanmaken van account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Wachtwoord vergeten? Klik <a href=""%reset_url"">hier</a> om het opnieuw in te stellen."
"When you sign in to your account, you will be able to:","Wanneer u inlogt op uw account kunt u:"
"Proceed through checkout faster","Sneller betalen"
"Check the status of orders","Orderstatus controleren"
"View past orders","Orderhistorie bekijken"
"Store alternative addresses (for shipping to multiple family members and friends)","Meerdere adressen opslaan (om bijvoorbeeld bestellingen naar vrienden en familie te sturen)"
"Please confirm your %store_name account","Bevestig uw %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Bevestig uw e-mailadres %customer_email om in te kunnen loggen (u kan deze link slecht één keer gebruiken):"
"Confirm Your Account","Uw account bevestigen"
"Thank you for confirming your %store_name account.","Bedankt voor het bevestigen van uw %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Om in te loggen op onze website en een wachtwoord in te stellen, klik op deze <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Uw %store_name e-mail is veranderd"
"Hello,","Hallo,"
"We have received a request to change the following information associated with your account at %store_name: email.","Wij hebben een verzoek ontvangen om de volgende informatie gekoppeld aan uw account op %store_name te wijzigen: e-mail."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Als u geen toestemming voor deze actie gegeven hebt, neem onmiddellijk contact met ons op <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","of telefonisch op <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Dank u, <br>%store_name"
"Your %store_name email and password has been changed","Uw %store_name e-mail en wachtwoord is veranderd"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Wij hebben een verzoek ontvangen om de volgende informatie gekoppeld aan uw account op %store_name te wijzigen: e-mail, wachtwoord."
"Reset your %store_name password","Uw %store_name wachtwoord resetten"
"There was recently a request to change the password for your account.","Er was onlangs een aanvraag om het wachtwoord van uw account te wijzigen."
"If you requested this change, set a new password here:","Indien u deze wijziging heeft aangevraagd, kan u hier een nieuw wachtwoord instellen:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Indien u deze aanvraag niet heeft ingediend, kan u deze email negeren en uw wachtwoord zal ongewijzigd blijven."
"Your %store_name password has been changed","Uw %store_name wachtwoord is veranderd"
"We have received a request to change the following information associated with your account at %store_name: password.","Wij hebben een verzoek ontvangen om de volgende informatie gekoppeld aan uw account op %store_name te wijzigen: wachtwoord."
"Checkout as a new customer","Afrekenen als een nieuwe klant"
"Creating an account has many benefits:","Het aanmaken van een account heeft vele voordelen:"
"See order and shipping status","Bekijk bestelling en verzendstatus"
"Track order history","Bekijk bestelgeschiedenis"
"Check out faster","Reken sneller af"
"Checkout using your account","Reken af met uw account"
"Email Address","E-mailadres"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Are you sure you want to delete this address?","Weet u zeker dat u het adres wilt verwijderen?"
"Weak","Zwak"
"Medium","Gemiddeld"
"Strong","Sterk"
"Very Strong","Zeer Sterk"
"Guest checkout is disabled.","Gast-kassa is uitgeschakeld."
"All Customers","Alle Klanten"
"Now Online","Nu online"
"Customers Section","Klanten sectie"
"Customer Configuration","Klant-configuratie"
"Account Sharing Options","Opties account delen"
"Share Customer Accounts","Klantaccounts delen"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Enable Automatic Assignment to Customer Group","Inschakelen automatische verandering van groep a.h.v. BTW-nummer."
"Tax Calculation Based On","BTW berekening op basis van"
"Default Group","Standaardgroep"
"Group for Valid VAT ID - Domestic","Groep voor geldig BTW-nummer - Binnenland"
"Group for Valid VAT ID - Intra-Union","Groep voor geldig BTW-nummer - EU"
"Group for Invalid VAT ID","Groep voor ongeldig BTW-nummer"
"Validation Error Group","Valideer fout-groep"
"Validate on Each Transaction","Valideer bij elke transactie"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standaard-waarde voor 'Uitschakelen automatische verandering van groep a.h.v. BTW-nummer.'"
"Show VAT Number on Storefront","BTW-nummer op winkelaanzicht weergeven"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Om het BTW-nummer in winkelaanzicht weer te geven, optie BTW-nummer op Winkelaanzicht weergeven op Ja zetten."
"Default Email Domain","Standaard e-maildomein"
"Default Welcome Email","Standaard welkomst-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Default Welcome Email Without Password","Standaard welkom email zonder wachtwoord"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Deze e-mail wordt verzonden in plaats van de standaard welkomst-e-mail als een klant zonder wachtwoord is gemaakt.<br /><br />
                        E-mailsjabloon gekozen op basis van terugvallen op thema wanneer de optie ""Standaard"" is geselecteerd."
"Email Sender","Afzender E-mail"
"Require Emails Confirmation","E-mailbevestiging verplichten"
"Confirmation Link Email","Bevestinglink e-mail"
"Welcome Email","Welkomstmail"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Deze e-mail wordt verzonden in plaats van de standaard welkomst e-mail, na bevestiging van het account.<br /><br />
                        E-mailsjabloon gekozen op basis van terugvallen op thema wanneer de optie ""Standaard"" is geselecteerd."
"Generate Human-Friendly Customer ID","Genereer klantvriendelijk klant-ID"
"Password Options","Wachtwoordopties"
"Forgot Email Template","Sjabloon e-mail vergeten"
"Remind Email Template","Email Template herinnering-e-mail"
"Reset Password Template","Reset wachtwoord sjabloon"
"Password Template Email Sender","Afzender Wachtwoord Sjabloon E-mail"
"Recovery Link Expiration Period (hours)","Herstel Link verloopperiode (uur)"
"Please enter a number 1 or greater in this field.","Vul een nummer van 1 of groter in in dit veld."
"Number of Required Character Classes","Aantal vereiste tekenklassen"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Aantal verschillende karakterklassen vereist in wachtwoord: kleine letters, hoofdletters, cijfers en speciale tekens."
"Minimum Password Length","Minimale wachtwoordlengte"
"Maximum Login Failures to Lockout Account","Maximaal aantal foute logins waarna het account wordt vergrendeld"
"Use 0 to disable account locking.","Gebruik 0 om het blokkeren van accounts uit te schakelen."
