"Sign Out","වරන්න"
"There are no items in customer's shopping cart.","පාරිභෝගිකයාගේ සාප්පු කරත්තයේ අයිතම නොමැත."
"Qty","Qty"
"Confirmed","තහවුරු කර ඇත"
"Confirmation Required","තහවුරු කිරීම අවශ්ය වේ"
"Confirmation Not Required","තහවුරු කිරීම අවශ්ය නොවේ"
"Indeterminate","අවිනිශ්චිත"
"The customer does not have default billing address.","පාරිභෝගිකයාට පෙරනිමි බිල්පත් ලිපිනයක් නොමැත."
"Offline","නොබැඳි"
"Online","ඔන්ලයින්"
"Never","කවදාවත් නැහැ"
"Unlocked","අගුලු හරින ලදී"
"Locked","අගුලු දමා ඇත"
"Deleted Stores","මකා දැමූ වෙළඳසැල්"
"Add Locale","Locale එක් කරන්න"
"Add Date","දිනය එකතු කරන්න"
"Days in Wish List","පැතුම් ලැයිස්තුවේ දින"
"Unlock","අගුළු හරින්න"
"No","නැත"
"Yes","ඔව්"
"Delete File","ගොනුව මකා"
"Download","බාගත"
"Delete Image","රූපය මකන්න"
"View Full Size","සම්පූර්ණ ප්‍රමාණය බලන්න"
"All countries","සියලුම රටවල්"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Add New Customer Group","නව පාරිභෝගික කණ්ඩායමක් එක් කරන්න"
"Save Customer Group","පාරිභෝගික කණ්ඩායම සුරකින්න"
"Delete Customer Group","පාරිභෝගික කණ්ඩායම මකන්න"
"New Customer Group","නව පාරිභෝගික කණ්ඩායම"
"Edit Customer Group ""%1""","""%1"" පාරිභෝගික කණ්ඩායම සංස්කරණය කරන්න"
"Group Information","කණ්ඩායම් තොරතුරු"
"Group Name","කණ්ඩායම් නම"
"Maximum length must be less then %1 characters.","උපරිම දිග අක්ෂර %1 ට වඩා අඩු විය යුතුය."
"Tax Class","බදු පන්තිය"
"The customer is now assigned to Customer Group %s.","පාරිභෝගිකයා දැන් පාරිභෝගික කණ්ඩායම %sවෙත පවරා ඇත."
"Would you like to change the Customer Group for this order?","ඔබ මෙම ඇණවුම සඳහා පාරිභෝගික කණ්ඩායම වෙනස් කිරීමට කැමතිද?"
"The VAT ID is valid.","VAT ID වලංගු වේ."
"The VAT ID entered (%s) is not a valid VAT ID.","ඇතුළත් කළ VAT ID (%s) වලංගු VAT ID එකක් නොවේ."
"The VAT ID is valid. The current Customer Group will be used.","VAT ID වලංගු වේ. වත්මන් පාරිභෝගික කණ්ඩායම භාවිතා කරනු ඇත."
"The VAT ID is valid but no Customer Group is assigned for it.","වැට් බදු හැඳුනුම්පත වලංගු වන නමුත් ඒ සඳහා පාරිභෝගික කණ්ඩායමක් පවරා නැත."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","VAT ID මත පදනම්ව, පාරිභෝගිකයා පාරිභෝගික කණ්ඩායම %sට අයත් වේ."
"Something went wrong while validating the VAT ID.","VAT ID වලංගු කිරීමේදී යම් දෙයක් වැරදී ඇත."
"The customer would belong to Customer Group %s.","පාරිභෝගිකයා පාරිභෝගික කණ්ඩායම %sට අයත් වේ."
"There was an error detecting Customer Group.","පාරිභෝගික කණ්ඩායම හඳුනා ගැනීමේ දෝෂයක් ඇති විය."
"Validate VAT Number","VAT අංකය වලංගු කරන්න"
"Customer Login","Customer Login"
"Create New Customer Account","Create New Customer Account"
"Date of Birth","උපන්දිනය"
"Bad request.","නරක ඉල්ලීම."
"This confirmation key is invalid or has expired.","මෙම තහවුරු කිරීමේ යතුර වලංගු නොවේ හෝ කල් ඉකුත් වී ඇත."
"There was an error confirming the account","ගිණුම තහවුරු කිරීමේදී දෝෂයක් ඇති විය"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","ඔබ ලියාපදිංචි වැට් බදු පාරිභෝගිකයෙක් නම්, නිසි වැට් බදු ගණනය කිරීම සඳහා ඔබේ නැව්ගත කිරීමේ ලිපිනය ඇතුළත් කිරීමට කරුණාකර <a href=""%1"">මෙහි</a> ක්ලික් කරන්න."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","ඔබ ලියාපදිංචි වැට් බදු පාරිභෝගිකයෙක් නම්, නිසි වැට් බදු ගණනය කිරීම සඳහා ඔබේ බිල්පත් ලිපිනය ඇතුළත් කිරීමට කරුණාකර මෙහි <a href=""%1""></a> ක්ලික් කරන්න."
"Thank you for registering with %1.","%1සමඟ ලියාපදිංචි වීම ගැන ඔබට ස්තුතියි."
"Please check your email for confirmation key.","තහවුරු කිරීමේ යතුර සඳහා කරුණාකර ඔබගේ විද්‍යුත් තැපෑල පරීක්ෂා කරන්න."
"This email does not require confirmation.","මෙම විද්‍යුත් තැපෑලට තහවුරු කිරීමක් අවශ්‍ය නොවේ."
"Wrong email.","වැරදි ඊමේල්."
"Your password reset link has expired.","ඔබගේ මුරපද යළි පිහිටුවීමේ සබැඳිය කල් ඉකුත් වී ඇත."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","ඔබ ඔබගේ ගිණුම තහවුරු කළ යුතුය. කරුණාකර තහවුරු කිරීමේ සබැඳිය සඳහා ඔබේ විද්‍යුත් තැපෑල පරීක්ෂා කරන්න හෝ නව සබැඳියක් සඳහා <a href=""%1"">මෙතැන ක්ලික් කරන්න</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","මෙම ඊමේල් ලිපිනය සමඟ දැනටමත් ගිණුමක් ඇත. එය ඔබගේ විද්‍යුත් තැපැල් ලිපිනය බව ඔබට විශ්වාස නම්, <a href=""%1"">මෙතන ක්ලික් කරන්න</a> ඔබගේ මුරපදය ලබා ගැනීමට සහ ඔබගේ ගිණුමට ප්‍රවේශ වන්න."
"We can't save the customer.","අපිට පාරිභෝගිකයා බේරගන්න බැහැ."
"Please make sure your passwords match.","කරුණාකර ඔබගේ මුරපද ගැලපෙන බවට වග බලා ගන්න."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","ඔබ ලියාපදිංචි වැට් බදු පාරිභෝගිකයෙක් නම්, කරුණාකර <a href=""%1"">ක්ලික් කරන්න</a> නිසි වැට් බදු ගණනය කිරීම සඳහා ඔබේ නැව්ගත කිරීමේ ලිපිනය ඇතුළත් කරන්න."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","ඔබ ලියාපදිංචි වැට් බදු පාරිභෝගිකයෙක් නම්, කරුණාකර <a href=""%1"">ක්ලික් කරන්න</a> නිසි වැට් බද්ද ගණනය කිරීම සඳහා ඔබේ බිල්පත් ලිපිනය ඇතුළත් කරන්න."
"Account Information","ගිණුම් තොරතුරු"
"You saved the account information.","ඔබ ගිණුම් තොරතුරු සුරකින ලදී."
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Password confirmation doesn't match entered password.","මුරපදය තහවුරු කිරීම ඇතුළත් කළ මුරපදයට නොගැලපේ."
"The password doesn't match this account.","The password doesn't match this account."
"Please correct the email address.","Please correct the email address."
"We're unable to send the password reset email.","අපට මුරපද යළි පිහිටුවීමේ විද්‍යුත් තැපෑල යැවීමට නොහැක."
"Please enter your email.","කරුණාකර ඔබගේ විද්‍යුත් තැපෑල ඇතුලත් කරන්න."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","%1 හා සම්බන්ධ ගිණුමක් තිබේ නම්, ඔබගේ මුරපදය යළි පිහිටුවීම සඳහා සබැඳියක් සහිත විද්‍යුත් තැපෑලක් ඔබට ලැබෙනු ඇත."
"My Account","මගේ ගිණුම"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","මෙම ගිණුම තහවුරු කර නොමැත. <a href=""%1"">තහවුරු කිරීමේ විද්‍යුත් තැපෑල නැවත යැවීමට</a> මෙහි ක්ලික් කරන්න."
"An unspecified error occurred. Please contact us for assistance.","සඳහන් නොකළ දෝෂයක් සිදු විය. උදව් සඳහා කරුණාකර අප හා සම්බන්ධ වන්න."
"A login and a password are required.","පිවිසුමක් සහ මුරපදයක් අවශ්‍ය වේ."
"New Password and Confirm New Password values didn't match.","නව මුරපදය සහ තහවුරු කරන්න නව මුරපද අගයන් නොගැලපේ."
"Please enter a new password.","කරුණාකර නව මුරපදයක් ඇතුළත් කරන්න."
"You updated your password.","ඔබ ඔබගේ මුරපදය යාවත්කාලීන කර ඇත."
"Something went wrong while saving the new password.","නව මුරපදය සුරැකීමේදී යමක් වැරදී ඇත."
"You deleted the address.","ඔබ ලිපිනය මකා ඇත."
"We can't delete the address right now.","අපට දැන් ලිපිනය මකා දැමිය නොහැක."
"You saved the address.","ඔබ ලිපිනය සුරකින ලදී."
"We can't save the address.","අපට ලිපිනය සුරැකිය නොහැක."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","ඔබ පාරිභෝගිකයාගේ ටෝකන අවලංගු කර ඇත."
"We can't find a customer to revoke.","අපට අවලංගු කිරීමට පාරිභෝගිකයෙකු සොයාගත නොහැක."
"Something went wrong while saving file.","ගොනුව සුරැකීමේදී යම් දෙයක් වැරදී ඇත."
"You deleted the customer group.","ඔබ පාරිභෝගික කණ්ඩායම මකා ඇත."
"The customer group no longer exists.","පාරිභෝගික කණ්ඩායම තවදුරටත් නොපවතී."
"Customers","පාරිභෝගිකයන්"
"New Group","නව සමූහය"
"New Customer Groups","නව පාරිභෝගික කණ්ඩායම්"
"Edit Group","කණ්ඩායම සංස්කරණය කරන්න"
"Edit Customer Groups","පාරිභෝගික කණ්ඩායම් සංස්කරණය කරන්න"
"You saved the customer group.","ඔබ පාරිභෝගික කණ්ඩායම සුරකින ලදී."
"Please select customer(s).","කරුණාකර පාරිභෝගිකයන් තෝරන්න."
"Customer could not be deleted.","පාරිභෝගිකයා මැකීමට නොහැකි විය."
"You deleted the customer.","ඔබ පාරිභෝගිකයා මකා ඇත."
"Something went wrong while editing the customer.","පාරිභෝගිකයා සංස්කරණය කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Manage Customers","ගනුදෙනුකරුවන් කළමනාකරණය කරන්න"
"Please correct the data sent.","කරුණාකර යවන ලද දත්ත නිවැරදි කරන්න."
"A total of %1 record(s) were updated.","මුළු වාර්තා(ය) %1 ක් යාවත්කාලීන කරන ලදී."
"A total of %1 record(s) were deleted.","මුළු වාර්තා(ය) %1 මකා ඇත."
"The customer will receive an email with a link to reset password.","මුරපදය යළි පිහිටුවීම සඳහා සබැඳියක් සහිත විද්‍යුත් තැපෑලක් පාරිභෝගිකයාට ලැබෙනු ඇත."
"Something went wrong while resetting customer password.","පාරිභෝගික මුරපදය යළි සැකසීමේදී යම් දෙයක් වැරදී ඇත."
"You saved the customer.","ඔබ පාරිභෝගිකයා බේරා ගත්තා."
"Something went wrong while saving the customer.","පාරිභෝගිකයා සුරැකීමේදී යමක් වැරදී ඇත."
"Page not found.","පිටුව හමු නොවීය."
"Customer has been unlocked successfully.","පාරිභෝගිකයා සාර්ථකව අගුලු හැර ඇත."
"Online Customers","මාර්ගගත පාරිභෝගිකයින්"
"Customers Now Online","පාරිභෝගිකයින් දැන් ඔන්ලයින්"
"Please define Wish List item ID.","කැමති ලැයිස්තු අයිතම ID නිර්වචනය කරන්න."
"Please load Wish List item.","කරුණාකර කැමති ලැයිස්තු අයිතමය පූරණය කරන්න."
"Login successful.","පුරනය වීම සාර්ථකයි."
"Invalid login or password.","වලංගු නොවන පිවිසුම් හෝ මුරපදය."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 \Magento\Customer\CustomerData\SectionSourceInterface දිගු නොකරයි"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","ගිණුම අගුළු දමා ඇත."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","%fieldName ක්ෂේත්‍රය සඳහා සපයා ඇති ""% අගය"" වල වලංගු නොවන අගයක්. විය හැකි අගයන්: %template1 හෝ %template2."
"Please enter a password with at most %1 characters.","කරුණාකර උපරිම අක්ෂර %1 ක් සහිත මුරපදයක් ඇතුළත් කරන්න."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","මුරපදයේ විවිධ පන්තිවල අක්ෂර අවම වශයෙන් %1වේ. අක්ෂර පන්ති: කුඩා අකුරු, ලොකු අකුරු, ඉලක්කම්, විශේෂ අක්ෂර."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","මෙම පාරිභෝගිකයා දැනටමත් මෙම වෙළඳසැලේ සිටී."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName ක්ෂේත්‍රය සඳහා සපයා ඇති ""% අගය"" වල වලංගු නොවන අගයක්."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","මුරපද යළි පිහිටුවීමේ ටෝකනය කල් ඉකුත් විය."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" යනු අවශ්‍ය අගයකි."
"Global","ගෝලීය"
"Per Website","වෙබ් අඩවියකට"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","ගිණුම් එක වෙබ් අඩවියකට වඩා සමාන ඊමේල් ලිපින බෙදා ගන්නා විට අපට ගෝලීය වශයෙන් පාරිභෝගික ගිණුම් බෙදා ගත නොහැක."
"Billing Address","බිල්පත් ලිපිනය"
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","පරිපාලක"
"ALL GROUPS","සියලුම කණ්ඩායම්"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","%fieldName = %fieldValue, %field2Name = %field2Value සමග එවැනි ආයතනයක් නැත"
"File can not be saved to the destination folder.","ගොනුව ගමනාන්ත ෆෝල්ඩරයට සුරැකිය නොහැක."
"Unable to create directory %1.","නාමාවලිය %1තැනීමට නොහැක."
"Destination folder is not writable or does not exists.","ගමනාන්ත ෆෝල්ඩරය ලිවිය නොහැකි හෝ නොපවතියි."
"Something went wrong while saving the file.","ගොනුව සුරැකීමේදී යමක් වැරදී ඇත."
"Attribute object is undefined","ගුණාංග වස්තුව නිර්වචනය කර නොමැත"
"""%1"" invalid type entered.","""%1"" අවලංගු වර්ගය ඇතුළත් කර ඇත."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" හි අකාරාදී නොවන හෝ සංඛ්‍යාත්මක නොවන අක්ෂර අඩංගු වේ."
"""%1"" is an empty string.","""%1"" යනු හිස් තන්තුවකි."
"""%1"" contains non-numeric characters.","""%1"" හි සංඛ්‍යාත්මක නොවන අක්ෂර අඩංගු වේ."
"""%1"" contains non-alphabetic characters.","""%1"" හි අකාරාදී නොවන අක්ෂර අඩංගු වේ."
"""%1"" is not a valid email address.","""%1"" වලංගු ඊමේල් ලිපිනයක් නොවේ."
"""%1"" is not a valid hostname.","""%1"" වලංගු සත්කාරක නාමයක් නොවේ."
"""%1"" uses too many characters.","""%1"" බොහෝ අක්ෂර භාවිතා කරයි."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' IP ලිපිනයක් මෙන් පෙනේ, එය පිළිගත හැකි ආකෘතියක් නොවේ."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' DNS සත්කාරක නාමයක් මෙන් පෙනෙන නමුත් වලංගු නොවන ස්ථානයක ඉරක් අඩංගු වේ."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' ඩීඑන්එස් සත්කාරක නාමයක් මෙන් පෙනෙන නමුත් අපට එය TLD '%tld%' සඳහා වන සත්කාරක නාම යෝජනා ක්‍රමය සමඟ සැසඳිය නොහැක."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' DNS සත්කාරක නාමයක් මෙන් පෙනෙන නමුත් TLD කොටස උපුටා ගත නොහැක."
"'%value%' does not look like a valid local network name.","'%value%' වලංගු දේශීය ජාල නාමයක් ලෙස නොපෙනේ."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' දේශීය ජාල නාමයක් මෙන් පෙනේ, එය පිළිගත හැකි ආකෘතියක් නොවේ."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' DNS සත්කාරක නාමයක් ලෙස පෙනේ, නමුත් ලබා දී ඇති punycode අංකනය විකේතනය කළ නොහැක."
"""%1"" is not a valid URL.","""%1"" වලංගු URL එකක් නොවේ."
"""%1"" is not a valid date.","""%1"" වලංගු දිනයක් නොවේ."
"""%1"" does not fit the entered date format.","""%1"" ඇතුළත් කළ දින ආකෘතියට නොගැලපේ."
"Please enter a valid date between %1 and %2 at %3.","කරුණාකර %3ට %1 සහ %2 අතර වලංගු දිනයක් ඇතුළත් කරන්න."
"Please enter a valid date equal to or greater than %1 at %2.","කරුණාකර %2ට %1 ට සමාන හෝ වැඩි වලංගු දිනයක් ඇතුළත් කරන්න."
"Please enter a valid date less than or equal to %1 at %2.","කරුණාකර %2ට %1 ට අඩු හෝ සමාන වලංගු දිනයක් ඇතුළත් කරන්න."
"""%1"" is not a valid file extension.","""%1"" වලංගු ගොනු දිගුවක් නොවේ."
"""%1"" is not a valid file.","""%1"" වලංගු ගොනුවක් නොවේ."
"""%1"" exceeds the allowed file size.","""%1"" අවසර දී ඇති ගොනු ප්‍රමාණය ඉක්මවයි."
"""%1"" is not a valid image format.","""%1"" වලංගු රූප ආකෘතියක් නොවේ."
"""%1"" width exceeds allowed value of %2 px.","""%1"" පළල %2 px හි අවසර ලත් අගය ඉක්මවයි."
"""%1"" height exceeds allowed value of %2 px.","""%1"" උස %2 px හි අවසර ලත් අගය ඉක්මවයි."
"""%1"" length must be equal or greater than %2 characters.","""%1"" දිග සමාන හෝ අක්ෂර %2 ට වඩා වැඩි විය යුතුය."
"""%1"" length must be equal or less than %2 characters.","""%1"" දිග සමාන හෝ අක්ෂර %2 ට වඩා අඩු විය යුතුය."
"label","ලේබලය"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","පාරිභෝගික කණ්ඩායම"
"You can't delete group ""%1"".","ඔබට ""%1"" කණ්ඩායම මකා දැමිය නොහැක."
"Customer Group already exists.","පාරිභෝගික කණ්ඩායම දැනටමත් පවතී."
"Cannot delete group.","සමූහය මකා දැමිය නොහැක."
"Error during VAT Number verification.","වැට් බදු අංකය සත්‍යාපනය කිරීමේදී දෝෂයකි."
"PHP SOAP extension is required.","PHP SOAP දිගුව අවශ්‍යයි."
"VAT Number is valid.","වැට් බදු අංකය වලංගු වේ."
"Please enter a valid VAT number.","කරුණාකර වලංගු VAT අංකයක් ඇතුළත් කරන්න."
"Your VAT ID was successfully validated.","ඔබේ වැට් බදු හැඳුනුම්පත සාර්ථකව වලංගු විය."
"You will be charged tax.","ඔබෙන් බදු අය කෙරේ."
"You will not be charged tax.","ඔබෙන් බදු අය නොකෙරේ."
"The VAT ID entered (%1) is not a valid VAT ID.","ඇතුළත් කළ VAT ID (%1) වලංගු VAT ID එකක් නොවේ."
"Your Tax ID cannot be validated.","ඔබේ බදු හැඳුනුම්පත වලංගු කළ නොහැක."
"If you believe this is an error, please contact us at %1","මෙය දෝෂයක් බව ඔබ විශ්වාස කරන්නේ නම්, කරුණාකර %1ට අප හා සම්බන්ධ වන්න"
"No such entity with %fieldName = %fieldValue","%fieldName = %fieldValue සමග එවැනි ආයතනයක් නැත"
"Male","පිරිමි"
"Female","ගැහැණු"
"Not Specified","විශේෂයෙන් දක්වා නැති"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","ව්යතිරේක පණිවිඩය"
"Validator Exception","වලංගුකාරක ව්‍යතිරේකය"
"Localized Exception","ස්ථානීය ව්යතිරේකය"
"some error","යම් දෝෂයක්"
"frontend_label","ඉදිරිපස_ලේබලය"
"NOT LOGGED IN","ලොග් වී නැත"
"Please enter the state/province.","කරුණාකර ප්‍රාන්තය/පළාත ඇතුළු කරන්න."
"region is a required field.","කලාපය අවශ්ය ක්ෂේත්රයකි."
"regionId is a required field.","regionId is a required field."
"Label","ලේබලය"
"Select...","තෝරන්න..."
"Edit","සංස්කරණය කරන්න"
"Visitor","ආගන්තුකයා"
"Customer","පාරිභෝගික"
"No item specified.","අයිතමයක් සඳහන් කර නැත."
"Are you sure you want to remove this item?","ඔබට මෙම අයිතමය ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Personal Information","පුද්ගලික තොරතුරු"
"Last Logged In:","අවසන් වරට පුරනය වූයේ:"
"Last Logged In (%1):","අවසන් වරට පුරනය වී ඇත (%1):"
"Account Lock:","ගිණුම් අගුල:"
"Confirmed email:","තහවුරු කළ විද්‍යුත් තැපෑල:"
"Account Created:","ගිණුම සාදන ලදී:"
"Account Created on (%1):","ගිණුම සාදන ලද්දේ (%1):"
"Account Created in:","ගිණුම සාදන ලද්දේ:"
"Customer Group:","පාරිභෝගික කණ්ඩායම:"
"Default Billing Address","පෙරනිමි බිල්පත් ලිපිනය"
"Sales Statistics","විකුණුම් සංඛ්යාලේඛන"
"Web Site","වෙබ් අඩවිය"
"Store","ගබඩා කරන්න"
"Store View","ගබඩා දර්ශනය"
"Lifetime Sales","ජීවිත කාලය විකුණුම්"
"Average Sale","සාමාන්ය විකුණුම්"
"All Store Views","සියලුම ගබඩා දර්ශන"
"Change","වෙනස් කරන්න"
"Manage Addresses","ලිපින කළමනාකරණය කරන්න"
"Default Shipping Address","ස්ථිර ලිපිනය"
"Contact Information","සබඳතා තොරතුරු"
"Change Password","මුරපදය වෙනස් කරන්න"
"Newsletters","පුවත් පත්‍රිකා"
"You are subscribed to ""General Subscription"".","ඔබ ""සාමාන්‍ය දායකත්වය"" වෙත දායක වී ඇත."
"or","හෝ"
"Default Addresses","පෙරනිමි ලිපින"
"Change Billing Address","බිල්පත් ලිපිනය වෙනස් කරන්න"
"You have no default billing address in your address book.","ඔබගේ ලිපින පොතේ පෙරනිමි බිල්පත් ලිපිනයක් නොමැත."
"Change Shipping Address","නැව්ගත කිරීමේ ලිපිනය වෙනස් කරන්න"
"You have no default shipping address in your address book.","ඔබගේ ලිපින පොතේ පෙරනිමි නැව්ගත කිරීමේ ලිපිනයක් නොමැත."
"Additional Address Entries","අතිරේක ලිපින ඇතුළත් කිරීම්"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","ඔබගේ ලිපින පොතේ වෙනත් ලිපින සටහන් නොමැත."
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Address","ලිපිනය"
"Street Address","වීථි ලිපිනය"
"Street Address %1","වීදි ලිපිනය %1"
"VAT Number","වැට් අංකය"
"City","නගරය"
"State/Province","ප්රාන්තය/පළාත"
"Please select a region, state or province.","කරුණාකර කලාපයක්, ප්‍රාන්තයක් හෝ පළාතක් තෝරන්න."
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"Country","රට"
"It's a default billing address.","එය පෙරනිමි බිල්පත් ලිපිනයකි."
"Use as my default billing address","මගේ පෙරනිමි බිල්පත් ලිපිනය ලෙස භාවිතා කරන්න"
"It's a default shipping address.","එය පෙරනිමි නැව්ගත කිරීමේ ලිපිනයකි."
"Use as my default shipping address","මගේ පෙරනිමි නැව්ගත කිරීමේ ලිපිනය ලෙස භාවිතා කරන්න"
"Save Address","ලිපිනය සුරකින්න"
"Go back","ආපසු යන්න"
"Please enter your email below and we will send you the confirmation link.","කරුණාකර ඔබගේ විද්‍යුත් තැපෑල පහතින් ඇතුලත් කරන්න, අපි ඔබට තහවුරු කිරීමේ සබැඳිය එවන්නම්."
"Email","විද්යුත් තැපෑල"
"Send confirmation link","තහවුරු කිරීමේ සබැඳිය යවන්න"
"Back to Sign In","නැවත පුරනය වීමට"
"Change Email","ඊ - මේල් වෙනස් කරන්න"
"Change Email and Password","ඊමේල් සහ මුරපදය වෙනස් කරන්න"
"Current Password","වත්මන් මුර පදය"
"New Password","නව මුරපදය"
"Password Strength","මුරපදයේ ශක්තිය"
"No Password","මුරපදය නැත"
"Confirm New Password","නව මුරපදය තහවුරු කරන්න"
"Save","සුරකින්න"
