"Sign Out","Logga ut"
"Something went wrong","Something went wrong"
"Label","Etikett"
"Select...","Välj..."
"Edit","Redigera"
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Visitor","Besökare"
"Customer","Kund"
"No item specified.","Inga artiklar anges."
"Are you sure you want to remove this item?","Är du säker du vill ta bort denna artikel?"
"Personal Information","Personlig information"
"Last Logged In:","Senast inloggad:"
"Last Logged In (%1):","Senast inloggad (%1):"
"Account Lock:","Kontolås:"
"Confirmed email:","Bekräftad e-post:"
"Account Created:","Konto skapat:"
"Account Created on (%1):","Konto skapat på (%1):"
"Account Created in:","Konto skapat i:"
"Customer Group:","Kundgrupp:"
"Default Billing Address","Förvald faktureringsadress"
"Sales Statistics","Försäljningsstatistik"
"Web Site","Webbplats"
"Store","Butik"
"Lifetime Sales","Livstids försäljning"
"Average Sale","Genomsnittlig försäljning"
"All Store Views","Alla butiksvyer"
"Change","Ändra"
"Manage Addresses","Hantera adresser"
"Default Shipping Address","Förvald leveransadress"
"Account Information","Kontoinformation"
"Contact Information","Kontaktinformation"
"Change Password","Ändra Lösenord"
"Newsletters","Nyhetsbrev"
"You are subscribed to ""General Subscription"".","Du prenumererar på ""Allmänn prenumeration""."
"or","eller"
"My Account","Mitt konto"
"Default Addresses","Förvalda adresser"
"Change Billing Address","Ändra faktureringsadress"
"You have no default billing address in your address book.","Du har ingen förvald faktureringsadress i din adressbok."
"Change Shipping Address","Ändra leveransadress"
"You have no default shipping address in your address book.","Du har ingen förvald leveranssadress i din adressbok."
"* Required Fields","* Obligatoriska fält"
"Address","Adress"
"Street Address: Line %1","Street Address: Line %1"
"Street Address %1","Gatuadress %1"
"City","Stad"
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Spara Adress"
"Go back","Gå tillbaka"
"Additional Address Entries","Ytterligare adressfält"
"Additional addresses","Additional addresses"
"First Name","Förnamn"
"Last Name","Efternamn"
"Street Address","Gatuadress"
"Country","Land"
"State","State"
"Zip/Postal Code","Postnummer"
"Phone","Telefon"
"Actions","Actions"
"You have no other address entries in your address book.","Du har inga andra adresser sparade i din adressbok."
"Please enter your email below and we will send you the confirmation link.","Vänligen ange din e-postadress nedan så skickar vi en bekräftelselänk."
"Email","E-post"
"Send confirmation link","Skicka bekräftelselänk"
"Back to Sign In","Tillbaka till Logga in"
"Change Email","Ändra e-postadress"
"Change Email and Password","Ändra E-postadress och Lösenord"
"Current Password","Nuvarande Lösenord"
"New Password","Nytt lösenord"
"Password Strength","Lösenordets Styrka"
"No Password","Inget lösenord"
"Confirm New Password","Bekräfta Nytt Lösenord"
"Please enter your email address below to receive a password reset link.","Vänligen ange din e-postadress nedan för att få en länk för återställning av lösenord."
"Reset My Password","Återställ Mitt Lösenord"
"Registered Customers","Registrerade kunder"
"If you have an account, sign in with your email address.","Om du har ett konto, logga in med din e-postadress."
"Password","Lösenord"
"Forgot Your Password?","Glömt ditt lösenord?"
"Subscription option","Prenumerationsval"
"General Subscription","Allmänt abonnemang"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"Address Information","Adressinformation"
"Please select a region, state or province.","Ange region eller område."
"Sign-in Information","Kontoinformation"
"Confirm Password","Bekräfta lösenord"
"Create an Account","Skapa ett konto"
"Set a New Password","Ange Nytt Lösenord"
"You have signed out and will go to our homepage in 5 seconds.","Du har loggats ut och kommer att omdirigeras till vår startsida om 5 sekunder."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Detta konto är inte bekräftat. <a href=""%1"">Klicka här</a> för att skicka om bekräftelsemailet."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du måste bekräfta ditt konto. Kontrollera din e-post för att hitta din bekräftelselänk, eller <a href=""%1"">klicka här</a> för att få en ny länk."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Det finns redan ett konto med denna e-postadress. Om du har angett rätt e-postadress, <a href=""%1""> Klicka här</a> för att återställa ditt lösenord och komma åt ditt konto."
"New Customers","Nya kunder"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Att skapa ett konto har många fördelar: Slutför köp snabbare, spara flera adresser, spåra beställningar med mera."
"Company","Företag"
"Fax","Fax"
"Name","Namn"
"Phone Number","Telefonnummer"
"Welcome to %store_name","Välkommen till %store_name"
"%name,","%name"
"Welcome to %store_name.","Välkommen till %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","För att logga in på vår webbsida, använd dessa uppgifter under utcheckningen på sidan <a href=""%customer_url"">Mitt konto </a>:"
"Email:","Epost:"
"Password:","Lösenord:"
"Password you set when creating account","Lösenord du valde när kontot skapades"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Glömt ditt lösenord? Klicka <a href=""%reset_url"">här</a> för att återställa det."
"When you sign in to your account, you will be able to:","När du loggar in på ditt konto kommer du att kunna:"
"Proceed through checkout faster","Gå genom kassan snabbare"
"Check the status of orders","Se status på ordrar"
"View past orders","Visa tidigare beställningar"
"Store alternative addresses (for shipping to multiple family members and friends)","Lagra alternativa adresser (för frakt till flera familjemedlemmar och vänner)"
"Please confirm your %store_name account","Please confirm your %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"Confirm Your Account","Bekräfta ditt konto"
"Thank you for confirming your %store_name account.","Thank you for confirming your %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Din %store_name E-post har ändrats"
"We have received a request to change the following information associated with your account at %store_name: email.","Vi har fått en begäran om att ändra följande information i samband med ditt konto på %store_name: e-post."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"Your %store_name email and password has been changed","Din %store_name e-post och lösenord har ändrats"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Vi har fått en begäran om att ändra följande information i samband med ditt konto på %store_name: e-post."
"Reset your %store_name password","Återställ ditt %store_name lösenord"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","If you requested this change, set a new password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Your %store_name password has been changed","Ditt %store_name lösenord har ändrats"
"We have received a request to change the following information associated with your account at %store_name: password.","Vi har fått en begäran om att ändra följande information i samband med ditt konto på %store_name: lösenord."
"Checkout as a new customer","Gå till Kassan som en ny kund"
"Creating an account has many benefits:","Att skapa ett konto har många fördelar:"
"See order and shipping status","Se beställning- och leveransstatus"
"Track order history","Följ orderhistoriken"
"Check out faster","Gå genom kassan snabbare"
"Checkout using your account","Gå till Kassan med ditt konto"
"Email Address","E-postadress"
"Show Password","Show Password"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Are you sure you want to delete this address?","Är du säker du vill ta bort denna adress?"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Weak","Svagt"
"Medium","Medel"
"Strong","Starkt"
"Very Strong","Very Strong"
"Invalid date","Invalid date"
"The Date of Birth should not be greater than today.","The Date of Birth should not be greater than today."
"Guest checkout is disabled.","Köp för Gäster är inaktiverat."
"All Customers","Alla kunder"
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Now Online","Now Online"
"Customers Section","Kundsektion"
"Customer Configuration","Kundkonfiguration"
"Account Sharing Options","Kontodelningsalternativ"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","E-postavsändare"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
