"Sign Out","Изход"
"Please enter your email.","Моля, впишете вашия имейл."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Ако има профил асоцииран с %1 ще получите линк за възстановяване на паролата."
"My Account","Моят профил"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Този профил не е потвърден. <a href=""%1"">Кликнете тук</a> за да изпратите отново имейл за потвърждение."
"An unspecified error occurred. Please contact us for assistance.","Възникна неидентифицирана грешка. Моля свържете се с нас за да ви помогнем."
"A login and a password are required.","Потребителското име и паролата са задължителни."
"New Password and Confirm New Password values didn't match.","Нова парола и Потвърди нова парола не съвпадат"
"Please enter a new password.","Моля, въведете нова парола."
"You updated your password.","Вие актуализирахте вашата парола."
"Something went wrong while saving the new password.","Нещо се обърка докато запазвахме вашата нова парола."
"You deleted the address.","Вие изтрихте адреса."
"We can't delete the address right now.","Не може да изтриете адреса точно сега."
"You saved the address.","Вие запазихте адреса."
"We can't save the address.","Не може да запишете адреса."
"No customer ID defined.","Няма дефинирано ИД на клиента."
"Please correct the quote items and try again.","Моля поправете показаните продукти и опитайте отново."
"You have revoked the customer's tokens.","Премахнали сте клиентските точки."
"We can't find a customer to revoke.","Не можем да намерим друг клиент за анулиране."
"Something went wrong while saving file.","Нещо се обърка при записване на файл."
"You deleted the customer group.","Вие изтрихте групата с клиенти."
"The customer group no longer exists.","Клиентската група вече не съществува."
"Customers","Клиенти"
"New Group","Нова група"
"New Customer Groups","Нова група с клиенти"
"Edit Group","Промени група"
"Edit Customer Groups","Промени групите с клиенти"
"You saved the customer group.","Вие запазихте тази група с клиенти."
"Please select customer(s).","Моля изберете клиент(и)."
"Customer could not be deleted.","Клиентът не може да бъде изтрит."
"You deleted the customer.","Вие изтрихте клиента."
"Something went wrong while editing the customer.","Нещо се обърка докато променяхте клиента."
"Manage Customers","Управление на Клиенти"
"Please correct the data sent.","Моля коригирайте изпратените данни."
"A total of %1 record(s) were updated.","Общо %1 запис(и) бяха актуализирани."
"A total of %1 record(s) were deleted.","Общо %1 запис(и) са изтрити."
"The customer will receive an email with a link to reset password.","Клиентът ще получи имейл с линк за възстановяване на паролата."
"Something went wrong while resetting customer password.","Нещо се обърка при въстановяването на паролата на клиента."
"You saved the customer.","Вие запазихте клиента."
"Something went wrong while saving the customer.","Нещо се обърка докато запазвахте клиента."
"Page not found.","Страницата не е намерена."
"Customer has been unlocked successfully.","Клиенета е разблокиран успешно."
"Online Customers","Онлайн Клиенти"
"Customers Now Online","Клиенти онлайн"
"Please define Wish List item ID.","Моля дефинирайте ИД на продукта от списъка с желани."
"Please load Wish List item.","Моля зареди продукт от списъка с желани."
"Login successful.","Успешно влизане."
"Invalid login or password.","Невалидно потребителско име или парола."
"""%1"" section source is not supported","""%1"" източника на секцията не е поддържан"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 не се разпростира \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Не се изисква потвърждение."
"Account already active","Профилът вече е активен"
"Invalid confirmation token","Невалидно потвърждение"
"The account is locked.","Този профил е заключен."
"This account is not confirmed.","Този профил не е потвърден."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Невалидна стойност на ""%value"" за полето %fieldName. Възможни стойности: %template1 или %template2."
"Please enter a password with at most %1 characters.","Моля въведете парола от поне %1 символа."
"Please enter a password with at least %1 characters.","Моля въведете парола от поне %1 символа."
"The password can't begin or end with a space.","Паролата не може да за започва или завършва с интервал."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Минимум на различни класове от символи в паролата е %1. Класове от символи: малки букви, главни букви, цифри, специални символи."
"Password cannot be the same as email address.","Паролата не може да бъде същата, като имейл адреса."
"This customer already exists in this store.","Клиента вече съществува в този магазин."
"A customer with the same email already exists in an associated website.","Клиента със същия имейл вече съществува в асоцииран уебсайт."
"Invalid value of ""%value"" provided for the %fieldName field.","Невалидно стойност на ""%value"" зададена от %fieldName поле."
"%fieldName is a required field.","%fieldName е задължително поле."
"Reset password token mismatch.","Възстановете паролата има несъответствие ."
"Reset password token expired.","Възстановете паролата защото е изтекла."
"Please correct the transactional account email type.","Моля коригирайте типа на имейла на транзакционния потребителски профил."
"""%1"" is a required value.","""%1"" е задължителна стойност."
"Global","Глобален"
"Per Website","На Уебсайт"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Не споделяте клиентски сметки в световен мащаб, когато сметките споделят еднакви имейл адреси на повече от един сайт."
"Billing Address","Адрес за фактуриране"
"Shipping Address","Адрес за доставка"
"-- Please Select --","-- Моля изберете --"
"Please enter a valid password reset token.","Моля въведете валиден код за възстановяване на паролата."
"The password can not begin or end with a space.","Паролата не може да за започва или завършва с интервал."
"Admin","Админ"
"ALL GROUPS","ВСИЧКИ ГРУПИ"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Няма такава единица с  %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Файлът не може да се запише в папката на местоназначението."
"Unable to create directory %1.","Не може да се създаде директория %1."
"Destination folder is not writable or does not exists.","Папката местоназначение не е записваема или не съществува."
"Something went wrong while saving the file.","Нещо се обърка при записване на файл."
"Attribute object is undefined","Атрибут обекта не е дефиниран"
"""%1"" invalid type entered.","""%1"" въведен невалиден тип."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" съдържа символи различни от букви и числа."
"""%1"" is an empty string.","""%1"" е празно."
"""%1"" contains non-numeric characters.","""%1"" съдържа символи различни от числа."
"""%1"" contains non-alphabetic characters.","""%1"" съдържа символи различни от букви."
"""%1"" is not a valid email address.","""%1"" не е валиден имейл адрес."
"""%1"" is not a valid hostname.","""%1"" не е валидно хост име."
"""%1"" uses too many characters.","""%1"" използва прекалено много символи."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' изглежда е ИП адрес, който не е в приемлив формат."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","""%value%"" изглежда като DNS име на хост, но съдържа тире в невалидна позиция."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","""%value%"" изглежда като DNS име на хост, но ние не може да го мач срещу схемата на хост за TLD ""%tld%""."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","""%value%"" изглежда като DNS име на хост, но не може да извлече TLD част."
"'%value%' does not look like a valid local network name.","'%value%' не прилича на валидно име на локална мрежа."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' прилича на име на локална мрежа, която не е в приемлив формат."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","""%value%"" изглежда да се DNS име на хост, но в даден punycode нотация не могат да бъдат декодирани."
"""%1"" is not a valid URL.","""%1"" не е валидно URL."
"""%1"" is not a valid date.","""%1"" не е валидна дата."
"""%1"" does not fit the entered date format.","""%1"" не отговаря на вписания формат на датата."
"Please enter a valid date between %1 and %2 at %3.","Моля въведете валидна дата между %1 и %2 в %3."
"Please enter a valid date equal to or greater than %1 at %2.","Моля въведете валидна дата равна или по-голяма от %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Моля въведете валидна дата по-малка или равна на %1 at %2."
"""%1"" is not a valid file extension.","""%1"" не е валидно разширение."
"""%1"" is not a valid file.","""%1"" не е валиден файл."
"""%1"" exceeds the allowed file size.","""%1"" превишава позволения размер за файл."
"""%1"" is not a valid image format.","""%1"" не е валиден формат за изображение."
"""%1"" width exceeds allowed value of %2 px.","""%1"" широчина надвишава позволената стойност от %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" височина превишава позволената височина от %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" дължина трябва да е равна или по-голяма от %2 символа."
"""%1"" length must be equal or less than %2 characters.","""%1"" дължина трябва да е равна или по-малко от %2 символа."
"label","етикет"
"Please enter a customer email.","Моля въведете имейл на клиента."
"A customer website ID must be specified when using the website scope.","ID номера на клиента трябва да бъде определен ясно когато използва възможностите на уебсайта."
"Customer Group","Клиентска група"
"You can't delete group ""%1"".","Не можете да изтриете група ""%1""."
"Customer Group already exists.","Групата с клиенти вече съществува."
"Cannot delete group.","Не можете да изтриете групата."
"Error during VAT Number verification.","Грешка при верифициране на ДДС номера."
"PHP SOAP extension is required.","Необходимо е PHP SOAP разширение."
"VAT Number is valid.","ДДС номера е валиден."
"Please enter a valid VAT number.","Моля въведете валиден ДДС номер."
"Your VAT ID was successfully validated.","Вашият ДДС номер успешно валидиран."
"You will be charged tax.","Ще ви бъде начислено ДДС."
"You will not be charged tax.","Няма да ви бъдат начислени такси."
"The VAT ID entered (%1) is not a valid VAT ID.","Въведеният Булстат (%1) не е валиден."
"Your Tax ID cannot be validated.","Вашият ДДС номер не може да бъде валидиран."
"If you believe this is an error, please contact us at %1","Ако смятате, че това е грешка моля свържете се с нас на %1"
"No such entity with %fieldName = %fieldValue","Няма такъв субект с %fieldName = %fieldValue"
"Male","Мъжки"
"Female","Женски"
"Not Specified","Не е зададено"
"Thank you for registering with","Благодаря ви за регистриране с"
"enter your billing address for proper VAT calculation","Въведете вашия адрес за фактуриране за правилното изчисляване на ДДС"
"enter your shipping address for proper VAT calculation","Въведете адреса си за правилното изчисляване на ДДС"
"Please enter new password.","Моля, въведете нова парола."
"message","съобщение"
"NoSuchEntityException","Няма такова изключение за стойност"
"Exception","Изключение"
"InputException.","Изключение за вписване,"
"InputException","Изключение за вписване,"
"Exception message","Съобщение на изключение"
"Validator Exception","Валидатор изключение"
"Localized Exception","Локализирани изключения"
"some error","някаква грешка"
"frontend_label","frontend_label"
"NOT LOGGED IN","НЕ Е ВПИСАН"
"Please enter the state/province.","Моля въведете щат/провинция."
"region is a required field.","регионът е задължително поле."
"regionId is a required field.","регионът е задължително поле."
"Label","Етикет"
"Select...","Изберете..."
"Edit","Редактирай"
"Visitor","Посетител"
"Customer","Клиент"
"No item specified.","Няма зададен елемент."
"Are you sure you want to remove this item?","Сигурни ли сте, че искате да изтриете артикула?"
"Personal Information","Лична информация"
"Last Logged In:","Последно влизане"
"Last Logged In (%1):","Последно влизане (%1):"
"Account Lock:","Заключен профил:"
"Confirmed email:","Потвърден имейл"
"Account Created:","Регистриран на:"
"Account Created on (%1):","Регистриран на (%1):"
"Account Created in:","Регистриран на:"
"Customer Group:","Клиентска група:"
"Default Billing Address","По подразбиране адрес за фактуриране"
"Sales Statistics","Статистика за продажбите"
"Web Site","Уеб сайт"
"Store","Магазин"
"Store View","Изглед на магазина"
"Lifetime Sales","Всички продажби"
"Average Sale","Средна продажба"
"All Store Views","Изгледи на всички магазини"
"Change","Промени"
"Manage Addresses","Управление на адреси"
"Default Shipping Address","Адрес за доставка по подразбиране"
"Contact Information","Информация за контакт"
"Change Password","Промени парола"
"Newsletters","Бюлетини"
"You are subscribed to ""General Subscription"".","Вие сте абонирани за ""Основен бюлетин""."
"or","или"
"Default Addresses","Адреси по подразбиране"
"Change Billing Address","Промяна на адрес за фактуриране"
"You have no default billing address in your address book.","Нямате адрес за фактуриране по подразбиране във вашата адресна книга."
"Change Shipping Address","Промяна на адрес за доставка"
"You have no default shipping address in your address book.","Нямате адрес за доставка по подразбиране във вашата адресна книга."
"Additional Address Entries","Допълнителни адресни записи"
"Delete Address","Изтриване на адрес"
"You have no other address entries in your address book.","Нямате други адресни записи във вашата адресна книга."
"* Required Fields","* Задължителни полета"
"Address","Адрес"
"Street Address","Адрес"
"Street Address %1","Адрес на улица %1"
"VAT Number","ДДС Номер"
"City","Град"
"State/Province","Област / Провинция"
"Please select a region, state or province.","Моля изберете регион, щат или провинция."
"Zip/Postal Code","Пощенски код"
"Country","Държава"
"It's a default billing address.","Това е по подразбиране адрес за фактуриране."
"Use as my default billing address","Използвай като моя по подразбиране адрес за фактуриране"
"It's a default shipping address.","Това е по подразбиране, адрес за доставка."
"Use as my default shipping address","Използвайте като моя по подразбиране адрес за доставка"
"Save Address","Запиши адрес"
"Go back","Върни се назад"
"Please enter your email below and we will send you the confirmation link.","Моля, въведете вашия имейл долу и ние ще ви изпратим линк за потвърждение."
"Email","Имейл"
"Send confirmation link","Изпращане връзка за потвърждение"
"Back to Sign In","Обратно към вход"
"Change Email","Променете Email"
"Change Email and Password","Промяна на имейл адреса и паролата"
"Current Password","Текуща парола"
"New Password","Нова парола"
"Password Strength","Сигурност на паролата"
"No Password","Няма въведена парола"
"Confirm New Password","Потвърдете новата парола"
"Save","Запиши"
"Please enter your email address below to receive a password reset link.","Моля въведете email адреса, с който сте се регистрирали в онлайн магазина ни и ще получите линк за генериране на нова парола."
"Reset My Password","Генериране на нова парола"
"Registered Customers","Регистрирани потребители"
"If you have an account, sign in with your email address.","Ако имате профил, използвайте имейла си за да влезете."
"Password","Парола"
"Forgot Your Password?","Забравили сте паролата си?"
"Subscription option","Избор на бюлетини"
"General Subscription","Основен бюлетин"
"Sign Up for Newsletter","Абонирай ме за е-бюлетин"
"Address Information","Адресна информация"
"Sign-in Information","Информация за вход"
"Confirm Password","Потвърдете паролата"
"Create an Account","Регистрация"
"Set a New Password","Задавйте нова парола"
"You have signed out and will go to our homepage in 5 seconds.","Вие излязохте от профила си и ще бъдете препратени към началната страница след 5 секунди."
"New Customers","Нови клиенти"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Регистрацията Ви дава няколко предимства: по-бърза поръчка, запазване на повече от един адрес, проследяване на поръчки и др."
"Company","Фирма"
"Fax","Факс"
"Gender","Пол"
"Name","Име"
"Tax/VAT number","Данъчен/ДДС номер"
"Phone Number","Телефон"
"Welcome to %store_name","Добре дошли в %store_name"
"%name,","%name,"
"Welcome to %store_name.","Добре дошли в %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","За да влезете в нашият сайт, използвайте тези идентификационни данни при приключване на поръчката или на страницата <a href=""%customer_url"">Моят профил</a>:"
"Email:","Имейл:"
"Password:","Парола:"
"Password you set when creating account","Парола, която сте задали при регистрация"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забравили сте паролата си? Щракнете <a href=""%reset_url""> тук</a> за да генерирате нова парола."
"When you sign in to your account, you will be able to:","Когато влезете профила си, ще можете да:"
"Proceed through checkout faster","Продължете по-бързо през финализиране на поръчката"
"Check the status of orders","Проверка на статуса на поръчките"
"View past orders","Покажи последните поръчки"
"Store alternative addresses (for shipping to multiple family members and friends)","Съхраняване на допълнителни адреси (за доставка на няколко членове на семейството и приятели)"
"Please confirm your %store_name account","Моля потвърдете вашия профил на %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Трябва да потвърдите вашия %customer_email имейл, преди да влезете (връзката е валидна само веднъж):"
"Confirm Your Account","Потвърдете Вашия профил"
"Thank you for confirming your %store_name account.","Благодаря ви за потвърждението на профила ви в %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","За да влезете в нашия сайт и да зададете парола, щракнете върху <a href=""%create_password_url""> връзката</a>:"
"Your %store_name email has been changed","%store_name имейлът е променен"
"Hello,","Здравейте,"
"We have received a request to change the following information associated with your account at %store_name: email.","Получихме искане за промяна на следната информация, свързана с вашия акаунт в %store_name: имейл."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Ако не сте разрешили това действие, моля свържете се с нас веднага на <a href=""mailto:%store_email""> %store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","или ни се обадете на <a href=""tel:%store_phone""> %store_phone</a>"
"Thanks,<br>%store_name","Благодарим Ви,<br>%store_name"
"Your %store_name email and password has been changed","Вашият %store_name имейл и парола са променени"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Получихме искане за промяна на следната информация, свързана с вашия акаунт в %store_name: имейл."
"Reset your %store_name password","Възстановете вашата парола %store_name"
"There was recently a request to change the password for your account.","Наскоро имаше искане за промяна на паролата за вашия акаунт."
"If you requested this change, set a new password here:","Ако сте искаli тази промяна, задайте нова парола тук:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ако не сте направили това запитване, можете да игнорирате това съобщение и вашата парола ще остане същата."
"Your %store_name password has been changed","%store_name паролата е променена"
"We have received a request to change the following information associated with your account at %store_name: password.","Получихме искане за промяна на следната информация, свързана с вашия акаунт в %store_name: имейл."
"Checkout as a new customer","Приключи поръчката като нов клиент"
"Creating an account has many benefits:","Създаване на сметка, има много предимства:"
"See order and shipping status","Статус на поръчка и доставка"
"Track order history","Проследяване на историята на поръчката"
"Check out faster","По-бързо приключване на поръчка"
"Checkout using your account","Приключете поръчката през вашия акаунт"
"Email Address","Имейл адрес"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Are you sure you want to delete this address?","Наистина ли искате да изтриете този адрес?"
"Weak","Слаба"
"Medium","Средна"
"Strong","Силна"
"Very Strong","Много силна"
"Guest checkout is disabled.","Поръчката като гост е забранена."
"All Customers","Всички клиенти"
"Now Online","Сега онлайн"
"Customers Section","Избор на клиенти"
"Customer Configuration","Конфигурация на клиент"
"Account Sharing Options","Настройки за споделяне на профил"
"Share Customer Accounts","Сподели клиентските профили"
"Create New Account Options","Създаване на нови опции за профил"
"Enable Automatic Assignment to Customer Group","Разреши автоматичното присвояване на група клиенти"
"Tax Calculation Based On","Изчисляване на данъци, въз основа на"
"Default Group","Група по подразбиране"
"Group for Valid VAT ID - Domestic","Група за валиден ДДС номер - в страната"
"Group for Valid VAT ID - Intra-Union","Група за валиден ДДС номер - в Европа"
"Group for Invalid VAT ID","Група за невалиден ДДС номер"
"Validation Error Group","Грешка във валидацията на групата"
"Validate on Each Transaction","Валидирай при всяка транзакция"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Стойността по подразбиране за забранена автоматична промяна на клиентската група на базата на ДДС номер"
"Show VAT Number on Storefront","Покажи ДДС номер в електронния магазин"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","За да се покаже ДДС номера във Витрината, задайте Покажи ДДС Номера във Витрината като Yes."
"Default Email Domain","По подразбиране имейл домейн"
"Default Welcome Email","Добре дошли имейл по подразбиране"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"Default Welcome Email Without Password","Добре дошли имейл по подразбиране, без парола"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Този имейл ще бъде изпратен вместо имейла по подразбиране за добре дошли, ако даден клиент е създаден без парола. < br / > < br / > Имейл шаблон, избран въз основа на тема отпада, в случайте когато е избрана опция ""По подразбиране""."
"Email Sender","Имейл подател"
"Require Emails Confirmation","Изисквай потвърждение на адреси на ел. поща"
"Confirmation Link Email","Имейл за потвърждение връзка"
"Welcome Email","Имейл Добре дошли"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Този имейл ще бъде изпратен вместо имейла по подразбиране за добре дошли, след потвърждението на акаунта. < br / > < br / > Имейл шаблон, избран въз основа на тема отпада, когато е избрана опцията ""По подразбиране""."
"Generate Human-Friendly Customer ID","Генериране на човешки приятелски клиент ID"
"Password Options","Настройки за паролата"
"Forgot Email Template","Забрави шаблон на имейл"
"Remind Email Template","Напомни шаблон на имейл"
"Reset Password Template","Шаблон за нулиране на паролата"
"Password Template Email Sender","Шаблон на парола на подател на имейл"
"Recovery Link Expiration Period (hours)","Възстановяване връзката изтичане период (часове)"
"Please enter a number 1 or greater in this field.","Моля в това поле впишете число 0 или по-голямо."
"Number of Required Character Classes","Брой необходими характер класове"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Брой на различни класове характер изисква парола: малки, главни букви, цифри, специални символи."
"Minimum Password Length","Минималната дължина на паролата"
"Maximum Login Failures to Lockout Account","Максимален вход неуспехи блокировка сметка"
"Use 0 to disable account locking.","Използвайте 0 за да деактивирате акаунт заключване."
"Lockout Time (minutes)","Блокировка време (минути)"
"Enable Autocomplete on login/forgot password forms","Разреши автоматичното дописване на формата за Вход/Забравена парола"
"Account Information Options","Информация за акаунта"
"Change Email Template","Изберете шаблон за имейл"
"Change Email and Password Template","Промяна на имейл адреса и паролата"
"Name and Address Options","Опции Име и адрес"
"Number of Lines in a Street Address","Брой редове в адрес"
"Valid range: 1-4","Валиден диапазон: 1-4"
"Show Prefix","Покажи префикс"
"The title that goes before name (Mr., Mrs., etc.)","Заглавие, което върви пред името (г-н, г-жа и др.)"
"Prefix Dropdown Options","Префикс падащи опции"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Точка и запетая (;) стойности, разделени.<br/>оставете празно за отворен текстово поле."
"Show Middle Name (initial)","Покажи бащино име (първоначалния)"
"Always optional.","Винаги по желание."
"Show Suffix","Покажи суфикс"
"The suffix that goes after name (Jr., Sr., etc.)","Наставка, която отива след името (младши, старши, и др.)"
"Suffix Dropdown Options","Суфикс меню с падащи опции"
"Show Date of Birth","Покажи дата на раждане"
"Show Tax/VAT Number","Покажи стойност/ДДС номер"
"Show Gender","Покажи Пол"
"Show Telephone","Покажи телефон"
"Show Company","Покажи компания"
"Show Fax","Показване на Факс"
"Login Options","Опции за вход"
"Redirect Customer to Account Dashboard after Logging in","Пренасочване на клиента към таблото на профила след влизане в системата"
"Customer will stay on the current page if ""No"" is selected.","Клиентът ще остане на текущата страница, ако ""Не"" е избран."
