"Sign Out","સાઇન આઉટ કરો"
"Please make sure your passwords match.","કૃપા કરીને ખાતરી કરો કે તમારા પાસવર્ડ્સ મેચ કરે છે."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","જો તમે રજિસ્ટર્ડ વેટ ગ્રાહક છો, તો કૃપા કરીને યોગ્ય વેટ ગણતરી માટે તમારું શિપિંગ સરનામું દાખલ કરવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","જો તમે રજિસ્ટર્ડ વેટ ગ્રાહક છો, તો કૃપા કરીને યોગ્ય VAT ગણતરી માટે તમારા બિલિંગ સરનામાંને દાખલ કરવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"Account Information","ખાતાની માહિતી"
"You saved the account information.","તમે એકાઉન્ટ માહિતી સાચવી."
"You did not sign in correctly or your account is temporarily disabled.","તમે સાચી રીતે સાઇન ઇન કર્યું નથી અથવા તમારું એકાઉન્ટ અસ્થાયી રૂપે અક્ષમ છે."
"Password confirmation doesn't match entered password.","પાસવર્ડ પુષ્ટિ દાખલ કરેલ પાસવર્ડથી મેળ ખાતી નથી."
"The password doesn't match this account.","પાસવર્ડ આ એકાઉન્ટથી મેળ ખાતો નથી."
"Please correct the email address.","કૃપા કરીને ઇમેઇલ સરનામું ઠીક કરો."
"We're unable to send the password reset email.","અમે પાસવર્ડ રીસેટ ઇમેઇલ મોકલવામાં અસમર્થ છીએ."
"Please enter your email.","કૃપા કરીને તમારું ઇમેઇલ દાખલ કરો."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","જો %1 સાથે સંકળાયેલ ખાતું હોય તો તમારો પાસવર્ડ ફરીથી સેટ કરવા માટે તમને એક લિંક મળશે."
"My Account","મારું ખાતું"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","આ એકાઉન્ટ પુષ્ટિ થયેલ નથી. પુષ્ટિ ઇમેઇલને ફરીથી મોકલવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"An unspecified error occurred. Please contact us for assistance.","કોઈ નિર્દિષ્ટ ભૂલ આવી. સહાય માટે અમારો સંપર્ક કરો."
"A login and a password are required.","એક લૉગિન અને પાસવર્ડ આવશ્યક છે."
"New Password and Confirm New Password values didn't match.","નવો પાસવર્ડ અને નવા પાસવર્ડ મૂલ્યોની પુષ્ટિ કરો તે મેળ ખાતા નથી."
"Please enter a new password.","નવો પાસવર્ડ દાખલ કરો."
"You updated your password.","તમે તમારો પાસવર્ડ અપડેટ કર્યો."
"Something went wrong while saving the new password.","નવો પાસવર્ડ સાચવતી વખતે કંઈક ખોટું થયું."
"You deleted the address.","તમે સરનામું કાઢી નાખો."
"We can't delete the address right now.","અમે હમણાં જ સરનામું કાઢી શકતા નથી."
"You saved the address.","તમે સરનામું સાચવ્યો."
"We can't save the address.","અમે સરનામું સાચવી શકતા નથી."
"No customer ID defined.","કોઈ ગ્રાહક આઈડી વ્યાખ્યાયિત નથી."
"Please correct the quote items and try again.","કૃપા કરીને ક્વોટ આઇટમ્સને ઠીક કરો અને ફરી પ્રયાસ કરો."
"You have revoked the customer's tokens.","તમે ગ્રાહકના ટોકન્સને રદ કરી દીધું છે."
"We can't find a customer to revoke.","ગ્રાહકને રદ કરવા માટે અમે શોધી શકતા નથી."
"Something went wrong while saving file.","ફાઇલ સાચવતી વખતે કંઈક ખોટું થયું."
"You deleted the customer group.","તમે ગ્રાહક જૂથ કાઢી નાખ્યા."
"The customer group no longer exists.","ગ્રાહક જૂથ હવે અસ્તિત્વમાં નથી."
"Customers","ગ્રાહકો"
"New Group","નવું જૂથ"
"New Customer Groups","નવા ગ્રાહક જૂથો"
"Edit Group","ગ્રુપ સંપાદિત કરો"
"Edit Customer Groups","ગ્રાહક જૂથો સંપાદિત કરો"
"You saved the customer group.","તમે ગ્રાહક જૂથને સાચવ્યો."
"Please select customer(s).","મહેરબાની કરી ગ્રાહક પસંદ કરો."
"Customer could not be deleted.","ગ્રાહક કાઢી શકાતો નથી."
"You deleted the customer.","તમે ગ્રાહક કાઢી નાખ્યા."
"Something went wrong while editing the customer.","ગ્રાહકને સંપાદિત કરતી વખતે કંઈક ખોટું થયું."
"Manage Customers","ગ્રાહકો મેનેજ કરો"
"Please correct the data sent.","મહેરબાની કરીને મોકલેલા ડેટાને સુધારો."
"A total of %1 record(s) were updated.","કુલ %1 રેકોર્ડ્સ અપડેટ કરવામાં આવ્યા હતા."
"A total of %1 record(s) were deleted.","કુલ %1 રેકોર્ડ કાઢી નાખવામાં આવ્યા હતા."
"The customer will receive an email with a link to reset password.","પાસવર્ડને ફરીથી સેટ કરવા માટે લિંક સાથે ગ્રાહક ઇમેઇલ પ્રાપ્ત કરશે."
"Something went wrong while resetting customer password.","ગ્રાહક પાસવર્ડને ફરીથી સેટ કરતી વખતે કંઈક ખોટું થયું."
"You saved the customer.","તમે ગ્રાહકને બચાવ્યો."
"Something went wrong while saving the customer.","ગ્રાહકને બચાવતી વખતે કંઈક ખોટું થયું."
"Page not found.","પેજ નથી મળ્યું."
"Customer has been unlocked successfully.","ગ્રાહક સફળતાપૂર્વક અનલૉક કરવામાં આવ્યું છે."
"Online Customers","ઑનલાઇન ગ્રાહકો"
"Customers Now Online","હવે ગ્રાહકો ઓનલાઇન"
"Please define Wish List item ID.","કૃપા કરીને વિશિષ્ટ સૂચિ આઇટમ ID વ્યાખ્યાયિત કરો."
"Please load Wish List item.","કૃપા કરીને વિશસૂચિ વસ્તુ લોડ કરો."
"Login successful.","લૉગિન સફળ."
"Invalid login or password.","અમાન્ય લૉગિન અથવા પાસવર્ડ."
"""%1"" section source is not supported","""%1"" વિભાગ સ્રોત સપોર્ટેડ નથી"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 \ Magento \ ગ્રાહક \ ગ્રાહક ડેટા \ સેક્શનસોર્સ ઇન્ટરફેસને વિસ્તૃત કરતું નથી"
"No confirmation needed.","કોઈ પુષ્ટિ જરૂરી નથી."
"Account already active","એકાઉન્ટ પહેલેથી જ સક્રિય છે"
"Invalid confirmation token","અમાન્ય પુષ્ટિકરણ ટોકન"
"The account is locked.","એકાઉન્ટ લૉક થયેલ છે."
"This account is not confirmed.","આ એકાઉન્ટ પુષ્ટિ થયેલ નથી."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","%FieldName ફીલ્ડ માટે ""%મૂલ્ય"" નું અમાન્ય મૂલ્ય પ્રદાન કર્યું છે. શક્ય કિંમતો: % નમૂનો 1 અથવા % નમૂનો 2."
"Please enter a password with at most %1 characters.","કૃપા કરીને મોટા ભાગના %1 અક્ષરો સાથે પાસવર્ડ દાખલ કરો."
"Please enter a password with at least %1 characters.","કૃપા કરીને ઓછામાં ઓછા %1 અક્ષરો સાથે પાસવર્ડ દાખલ કરો."
"The password can't begin or end with a space.","પાસવર્ડ જગ્યા સાથે પ્રારંભ અથવા સમાપ્ત થઈ શકતો નથી."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","પાસવર્ડમાં અક્ષરોના ઓછામાં ઓછા જુદા જુદા વર્ગ %1 છે. અક્ષરોના વર્ગ: લોઅર કેસ, અપર કેસ, ડિજિટ્સ, વિશેષ પાત્રો."
"Password cannot be the same as email address.","પાસવર્ડ ઇમેઇલ સરનામાં જેટલો જ હોઈ શકતો નથી."
"This customer already exists in this store.","આ સ્ટોરમાં આ ગ્રાહક પહેલેથી અસ્તિત્વમાં છે."
"A customer with the same email already exists in an associated website.","એક જ ઇમેઇલવાળા ગ્રાહક પહેલેથી જ સંબંધિત વેબસાઇટમાં અસ્તિત્વમાં છે."
"Invalid value of ""%value"" provided for the %fieldName field.","%fieldName ફીલ્ડ માટે ""%value"" નું અમાન્ય મૂલ્ય પ્રદાન કર્યું છે."
"%fieldName is a required field.","%fieldName એ જરૂરી ક્ષેત્ર છે."
"Reset password token mismatch.","પાસવર્ડ ટોકન મિશ્રણ રીસેટ કરો."
"Reset password token expired.","પાસવર્ડ ટોકન ફરીથી સેટ કરો."
"Please correct the transactional account email type.","કૃપા કરીને ટ્રાન્ઝેક્શનલ એકાઉન્ટ ઇમેઇલ પ્રકારને ઠીક કરો."
"""%1"" is a required value.","""%1"" એ એક આવશ્યક મૂલ્ય છે."
"Global","વૈશ્વિક"
"Per Website","વેબસાઇટ દીઠ"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","જ્યારે એકાઉન્ટ્સ એક કરતા વધુ વેબસાઇટ પર સમાન ઇમેઇલ સરનામાં શેર કરે છે ત્યારે અમે વૈશ્વિક સ્તરે ગ્રાહક એકાઉન્ટ્સ શેર કરી શકતા નથી."
"Billing Address","બિલિંગ સરનામું"
"Shipping Address","પહોંચાડવાનું સરનામું"
"-- Please Select --","-- મહેરબાની કરી, પસંદ કરો --"
"Please enter a valid password reset token.","કૃપા કરી કોઈ માન્ય પાસવર્ડ રીસેટ ટોકન દાખલ કરો."
"The password can not begin or end with a space.","પાસવર્ડ જગ્યા સાથે પ્રારંભ અથવા સમાપ્ત થઈ શકતો નથી."
"Admin","એડમિન"
"ALL GROUPS","બધા ગ્રુપ"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","%fieldName = %fieldValue સાથે આવી કોઈ એન્ટિટી નથી,%field2Name =%field2Value"
"File can not be saved to the destination folder.","ફાઇલને ગંતવ્ય ફોલ્ડરમાં સાચવી શકાતી નથી."
"Unable to create directory %1.","ડિરેક્ટરી %1 બનાવવા માટે અસમર્થ."
"Destination folder is not writable or does not exists.","લક્ષ્યસ્થાન ફોલ્ડર લખી શકાય તેવું નથી અથવા અસ્તિત્વમાં નથી."
"Something went wrong while saving the file.","ફાઇલ સાચવતી વખતે કંઈક ખોટું થયું."
"Attribute object is undefined","લક્ષણ પદાર્થ અવ્યાખ્યાયિત છે"
"""%1"" invalid type entered.","""%1"" અમાન્ય પ્રકાર દાખલ થયો."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" માં નૉન-આલ્ફાબેટિક અથવા નૉન-ન્યુમરિક અક્ષરો શામેલ છે."
"""%1"" is an empty string.","""%1"" ખાલી શબ્દમાળા છે."
"""%1"" contains non-numeric characters.","""%1"" માં બિન-આંકડાકીય અક્ષરો શામેલ છે."
"""%1"" contains non-alphabetic characters.","""%1"" માં નૉન-આલ્ફાબેટિક અક્ષરો શામેલ છે."
"""%1"" is not a valid email address.","""%1"" એ કોઈ માન્ય ઇમેઇલ સરનામું નથી."
"""%1"" is not a valid hostname.","""%1"" એ માન્ય હોસ્ટનામ નથી."
"""%1"" uses too many characters.","""%1"" ઘણા બધા અક્ષરોનો ઉપયોગ કરે છે."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' એક IP સરનામું જેવો દેખાય છે, જે સ્વીકાર્ય ફોર્મેટ નથી."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' એ DNS યજમાનનામ જેવું લાગે છે પરંતુ અમાન્ય સ્થિતિમાં ડૅશ શામેલ છે."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' એ DNS યજમાનનામ જેવું લાગે છે પરંતુ અમે તેને TLD '%tld%' માટે હોસ્ટનામ સ્કીમા સામે મેચ કરી શકતા નથી."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' એ DNS યજમાનનામ જેવું લાગે છે પરંતુ TLD ભાગને કાઢી શકતું નથી."
"'%value%' does not look like a valid local network name.","'%value%' માન્ય સ્થાનિક નેટવર્ક નામ જેવું લાગતું નથી."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' એ સ્થાનિક નેટવર્ક નામ જેવો લાગે છે, જે સ્વીકાર્ય બંધારણ નથી."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' એ DNS યજમાનનામ હોવાનું જણાય છે, પરંતુ આપેલ punycode સંકેતને ડીકોડ કરી શકાતું નથી."
"""%1"" is not a valid URL.","""%1"" એ માન્ય URL નથી."
"""%1"" is not a valid date.","""%1"" માન્ય તારીખ નથી."
"""%1"" does not fit the entered date format.","""%1"" એ દાખલ કરેલ તારીખ ફોર્મેટમાં ફિટ નથી."
"Please enter a valid date between %1 and %2 at %3.","મહેરબાની કરી %1 અને %2 ની વચ્ચે%3 ની માન્ય તારીખ દાખલ કરો."
"Please enter a valid date equal to or greater than %1 at %2.","મહેરબાની કરી %2 ની બરાબર અથવા %1 કરતા વધારે માન્ય તારીખ દાખલ કરો."
"Please enter a valid date less than or equal to %1 at %2.","કૃપા કરીને %2 પર %1 કરતા ઓછી અથવા તેના બરાબર માન્ય તારીખ દાખલ કરો."
"""%1"" is not a valid file extension.","""%1"" એ કોઈ માન્ય ફાઇલ એક્સ્ટેંશન નથી."
"""%1"" is not a valid file.","""%1"" માન્ય ફાઇલ નથી."
"""%1"" exceeds the allowed file size.","""%1"" મંજૂર ફાઇલ કદને ઓળંગે છે."
"""%1"" is not a valid image format.","""%1"" એ કોઈ માન્ય છબી ફોર્મેટ નથી."
"""%1"" width exceeds allowed value of %2 px.","""%1"" પહોળાઈ %2 px ની મંજૂર મૂલ્યને ઓળંગી ગઈ છે."
"""%1"" height exceeds allowed value of %2 px.","""%1"" ઊંચાઈ %2 px ની મંજૂર મૂલ્યને ઓળંગે છે."
"""%1"" length must be equal or greater than %2 characters.","""%1"" લંબાઈ %2 અક્ષરો કરતા સમાન અથવા વધારે હોવી આવશ્યક છે."
"""%1"" length must be equal or less than %2 characters.","""%1"" લંબાઈ %2 અક્ષરો કરતાં સમાન અથવા ઓછી હોવી આવશ્યક છે."
"label","લેબલ"
"Please enter a customer email.","કૃપા કરીને ગ્રાહક ઇમેઇલ દાખલ કરો."
"A customer website ID must be specified when using the website scope.","વેબસાઇટ સ્કોપનો ઉપયોગ કરતી વખતે ગ્રાહક વેબસાઇટ ID નિર્દિષ્ટ હોવું આવશ્યક છે."
"Customer Group","ગ્રાહક જૂથ"
"You can't delete group ""%1"".","તમે જૂથ ""%1"" કાઢી શકતા નથી."
"Customer Group already exists.","ગ્રાહક જૂથ પહેલાથી અસ્તિત્વમાં છે."
"Cannot delete group.","જૂથ કાઢી નાખી શકતા નથી."
"Error during VAT Number verification.","વેટ નંબર ચકાસણી દરમિયાન ભૂલ."
"PHP SOAP extension is required.","PHP, SOAP એક્સ્ટેંશન આવશ્યક છે."
"VAT Number is valid.","VAT નંબર માન્ય છે."
"Please enter a valid VAT number.","કૃપા કરીને કોઈ માન્ય વેટ નંબર દાખલ કરો."
"Your VAT ID was successfully validated.","તમારી VAT ID સફળતાપૂર્વક માન્ય થઈ."
"You will be charged tax.","તમને કર લેવામાં આવશે."
"You will not be charged tax.","તમને કર લેવામાં આવશે નહીં."
"The VAT ID entered (%1) is not a valid VAT ID.","દાખલ કરેલ VAT ID (%1) માન્ય VAT ID નથી."
"Your Tax ID cannot be validated.","તમારી કર ID માન્ય કરી શકાતી નથી."
"If you believe this is an error, please contact us at %1","જો તમે માનતા હો કે આ એક ભૂલ છે, તો કૃપા કરીને %1 પર અમારો સંપર્ક કરો"
"No such entity with %fieldName = %fieldValue","%fieldName =%fieldValue મૂલ્ય સાથે આવી કોઈ એન્ટિટી નથી"
"Male","પુરુષ"
"Female","સ્ત્રી"
"Not Specified","ઉલ્લેખ નથી"
"Thank you for registering with","સાથે રજીસ્ટર કરવા બદલ આભાર"
"enter your billing address for proper VAT calculation","યોગ્ય VAT ગણતરી માટે તમારું બિલિંગ સરનામું દાખલ કરો"
"enter your shipping address for proper VAT calculation","યોગ્ય વેટ ગણતરી માટે તમારું શિપિંગ સરનામું દાખલ કરો"
"Please enter new password.","કૃપા કરીને નવો પાસવર્ડ દાખલ કરો."
"message","સંદેશ"
"NoSuchEntityException","NoSuchEntityException"
"Exception","અપવાદ"
"InputException.","ઇનપુટ અપવાદ."
"InputException","ઇનપુટ અપવાદ"
"Exception message","અપવાદ સંદેશ"
"Validator Exception","માન્યતા અપવાદ"
"Localized Exception","સ્થાનિક અપવાદ"
"some error","કેટલીક ભૂલ"
"frontend_label","frontend_label"
"NOT LOGGED IN","લૉગ ઇન નથી"
"Please enter the state/province.","રાજ્ય / પ્રાંત દાખલ કરો."
"region is a required field.","પ્રદેશ એક આવશ્યક ક્ષેત્ર છે."
"regionId is a required field.","પ્રદેશ આઇડી એક આવશ્યક ક્ષેત્ર છે."
"Label","લેબલ"
"Select...","પસંદ કરો ..."
"Edit","ફેરફાર કરો"
"Visitor","મુલાકાતી"
"Customer","ગ્રાહક"
"No item specified.","કોઈ આઇટમ ઉલ્લેખિત નથી."
"Are you sure you want to remove this item?","શું તમે ખરેખર આ આઇટમને દૂર કરવા માંગો છો?"
"Personal Information","વ્યક્તિગત માહિતી"
"Last Logged In:","છેલ્લું લૉગ ઇન:"
"Last Logged In (%1):","છેલ્લે લૉગ ઇન (%1):"
"Account Lock:","એકાઉન્ટ લૉક:"
"Confirmed email:","પુષ્ટિ કરેલ ઇમેઇલ:"
"Account Created:","એકાઉન્ટ બનાવ્યું:"
"Account Created on (%1):","એકાઉન્ટ બનાવ્યું (%1):"
"Account Created in:","એકાઉન્ટ બનાવ્યું:"
"Customer Group:","ગ્રાહક જૂથ:"
"Default Billing Address","ડિફૉલ્ટ બિલિંગ સરનામું"
"Sales Statistics","વેચાણ આંકડા"
"Web Site","વેબ સાઇટ"
"Store","દુકાન"
"Store View","સ્ટોર જુઓ"
"Lifetime Sales","લાઇફટાઇમ સેલ્સ"
"Average Sale","સરેરાશ વેચાણ"
"All Store Views","બધા સ્ટોર દૃશ્યો"
"Change","બદલો"
"Manage Addresses","સરનામાંઓ સંચાલિત કરો"
"Default Shipping Address","ડિફૉલ્ટ શિપિંગ સરનામું"
"Contact Information","સંપર્ક માહિતી"
"Change Password","પાસવર્ડ બદલો"
"Newsletters","ન્યૂઝલેટર્સ"
"You are subscribed to ""General Subscription"".","તમે ""સામાન્ય સબ્સ્ક્રિપ્શન"" પર સબ્સ્ક્રાઇબ કર્યું છે."
"or","અથવા"
"Default Addresses","ડિફૉલ્ટ સરનામાં"
"Change Billing Address","બિલિંગ સરનામું બદલો"
"You have no default billing address in your address book.","તમારી સરનામાં પુસ્તિકામાં તમારી પાસે કોઈ ડિફોલ્ટ બિલિંગ સરનામું નથી."
"Change Shipping Address","શિપિંગ સરનામું બદલો"
"You have no default shipping address in your address book.","તમારી સરનામાં પુસ્તિકામાં તમારી પાસે કોઈ ડિફોલ્ટ શિપિંગ સરનામું નથી."
"Additional Address Entries","વધારાની સરનામાં પ્રવેશો"
"Delete Address","સરનામું કાઢી નાખો"
"You have no other address entries in your address book.","તમારી સરનામાં પુસ્તિકામાં તમારી પાસે કોઈ અન્ય સરનામાં એન્ટ્રીઝ નથી."
"* Required Fields","* જરૂરી માહિતી"
"Address","સરનામું"
"Street Address","શેરીનુ સરનામું"
"Street Address %1","શેરી સરનામું %1"
"VAT Number","વેટ નંબર"
"City","શહેર"
"State/Province","રાજ્ય / પ્રાંત"
"Please select a region, state or province.","કૃપા કરીને કોઈ પ્રદેશ, રાજ્ય અથવા પ્રાંત પસંદ કરો."
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
"Country","દેશ"
"It's a default billing address.","તે ડિફોલ્ટ બિલિંગ સરનામું છે."
"Use as my default billing address","મારા ડિફૉલ્ટ બિલિંગ સરનામાં તરીકે ઉપયોગ કરો"
"It's a default shipping address.","તે ડિફોલ્ટ શિપિંગ સરનામું છે."
"Use as my default shipping address","મારા ડિફૉલ્ટ શિપિંગ સરનામાં તરીકે ઉપયોગ કરો"
