"Sign Out","Kirjaudu ulos"
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" on pakollinen tieto."
"Global","Globaali"
"Per Website","Verkkosivukohtainen"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Laskutusosoite"
"Shipping Address","Toimitusosoite"
"-- Please Select --","--- Valitse ---"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Ylläpito"
"ALL GROUPS","KAIKKI RYHMÄT"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" ei ole kelvollinen URL."
"""%1"" is not a valid date.","""%1"" ei ole kelvollinen päivämäärä."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" vaadittu vähimmäispituus on %2 merkkiä."
"""%1"" length must be equal or less than %2 characters.","""%1"" maksimipituus on enintään %2 merkkiä."
"label","tunniste"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Asiakasryhmä"
"You can't delete group ""%1"".","Ryhmää ""%1"" ei voi poistaa."
"Customer Group already exists.","Asiakasryhmä on jo olemassa."
"Cannot delete group.","Ryhmää ei voi poistaa."
"Error during VAT Number verification.","ALV-tunnuksen tarkistuksessa tapahtui virhe."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","ALV-numero on voimassa."
"Please enter a valid VAT number.","Kirjoita voimassa oleva ALV-numero."
"Your VAT ID was successfully validated.","ALV-tunnuksen varmennus onnistui."
"You will be charged tax.","Sinulta tullaan veloittamaan verot."
"You will not be charged tax.","Sinulta ei tulla veloittamaan veroja."
"The VAT ID entered (%1) is not a valid VAT ID.","Annettu ALV-tunnus (%1) ei ole kelvollinen ALV-tunnus."
"Your Tax ID cannot be validated.","Alv-tunnusta ei voida vahvistaa."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Mies"
"Female","Nainen"
"Not Specified","Not Specified"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","jokin virhe"
"frontend_label","frontend_label"
"NOT LOGGED IN","EI KIRJAUTUNEENA SISÄÄN"
"Please enter the state/province.","Please enter the state/province."
"region is a required field.","region is a required field."
"regionId is a required field.","regionId is a required field."
"Label","Label"
"Select...","Valitse..."
"Edit","Muokkaa"
"Visitor","Vierailija"
"Customer","Asiakas"
"No item specified.","Kohdetta ei ole määritelty."
"Are you sure you want to remove this item?","Haluatko varmasti poistaa tämän nimikkeen?"
"Personal Information","Henkilökohtaiset tiedot"
"Last Logged In:","Viimeksi kirjautunut:"
"Last Logged In (%1):","Viimeisin sisäänkirjautuminen (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Vahvistettu sähköposti:"
"Account Created:","Tili luotu:"
"Account Created on (%1):","Tili luotu (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Asiakasryhmät:"
"Default Billing Address","Oletuslaskutusosoite"
"Sales Statistics","Myyntitilastot"
"Web Site","Sivusto"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Lifetime Sales","Kaikki myynnit"
"Average Sale","Average Sale"
"All Store Views","Kaikki kauppanäkymät"
"Change","Vaihda"
"Manage Addresses","Osoitteiden hallinta"
"Default Shipping Address","Oletustoimitusosoite"
"Contact Information","Yhteystiedot"
"Change Password","Vaihda salasana"
"Newsletters","Uutiskirjeet"
"You are subscribed to ""General Subscription"".","Olet tilannut kohteen ""Yleinen tilaus""."
"or","tai"
"Default Addresses","Oletusosoitteet"
"Change Billing Address","Muuta laskutusosoite"
"You have no default billing address in your address book.","Sinulla ei ole oletuslaskutusosoitetta osoitekirjassasi."
"Change Shipping Address","Muuta toimitusosoite"
"You have no default shipping address in your address book.","Sinulla ei ole oletustoimitusosoitetta osoitekirjassasi."
"Additional Address Entries","Lisäosoitteet"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","Osoitekirjassasi ei ole muita tallennettuja osoitteita."
"* Required Fields","* Pakolliset kentät"
"Address","Katuosoite"
"Street Address","Katuosoite"
"Street Address %1","Katuosoite %1"
"VAT Number","Y-tunnus"
"City","Paikkakunta"
"State/Province","Osavaltio/provinssi"
"Please select a region, state or province.","Valitse alue, osavaltio tai provinssi."
"Zip/Postal Code","Postinumero"
"Country","Maa"
"It's a default billing address.","Tämä on oletuslaskutusosoite."
"Use as my default billing address","Käytä oletuslaskutusosoitteenani"
"It's a default shipping address.","Tämä on oletustoimitusosoite."
"Use as my default shipping address","Käytä oletustoimitusosoitteenani"
"Save Address","Tallenna osoite"
"Go back","Takaisin"
"Please enter your email below and we will send you the confirmation link.","Syötä sähköpostiosoitteesi vahvistuslinkin lähettämistä varten."
"Email","Sähköposti"
"Send confirmation link","Lähetä vahvistuslinkki"
"Back to Sign In","Takaisin kirjautumiseen"
"Change Email","Vaihda sähköpostiosoitetta"
"Change Email and Password","Vaihda sähköpostiosoite ja salasana"
"Current Password","Nykyinen salasana"
"New Password","Uusi salasana"
"Password Strength","Salasanan vahvuus"
"No Password","Ei salasanaa"
"Confirm New Password","Vahvista uusi salasana"
"Save","Tallenna"
"Please enter your email address below to receive a password reset link.","Ole hyvä ja kirjoita sähköpostiosoitteesi alle saadaksesi linkin salasanan palautukseen."
"Reset My Password","Nollaa salasanani"
"Registered Customers","Rekisteröityneet asiakkaat"
"If you have an account, sign in with your email address.","Jos sinulla on jo tili, kirjaudu sisään sähköpostiosoitteellasi."
"Password","Salasana"
"Forgot Your Password?","Unohditko salasanasi?"
"Subscription option","Tilaustiedot"
"General Subscription","Yleinen tilaus"
"Sign Up for Newsletter","Tilaa uutiskirje"
"Address Information","Osoitetiedot"
"Sign-in Information","Kirjautumistiedot"
"Confirm Password","Vahvista Salasana"
"Create an Account","Luo tili"
"Set a New Password","Aseta uusi salasana"
"You have signed out and will go to our homepage in 5 seconds.","Olet kirjautunut ulos, palaat etusivullemme 5 sekunnin kuluessa."
"New Customers","Uudet asiakkaat"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Tilin luomisesta on monia etuja: nopeammat tilaukset, useiden osoitteiden säilyttäminen, tilausten seuranta ja paljon muuta."
"Company","Yritys"
"Fax","Faksi"
"Gender","Sukupuoli"
"Name","Nimi"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Puhelinnumero"
"Welcome to %store_name","Tervetuloa %store_name -kauppaan"
"%name,","%name,"
"Welcome to %store_name.","Tervetuloa %store_name -kauppaan!"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Kirjautuaksesi sivustollemme, käytä näitä tunnistetietoja kassalla tai <a href=""%customer_url"">Oma tili</a> -sivulla:"
"Email:","Sähköposti:"
"Password:","Salasana:"
"Password you set when creating account","Salasana, jonka asetit tilin luonnin yhteydessä"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Unohditko salasanan? Klikkaa <a href=""%reset_url"">tästä</a> nollataksesi sen."
"When you sign in to your account, you will be able to:","Kirjauduttuasi tilillesi voit:"
"Proceed through checkout faster","Ostaa nopeammin"
"Check the status of orders","Tarkastaa tilausten tilan"
"View past orders","Tarkastella aikaisempia tilauksia"
"Store alternative addresses (for shipping to multiple family members and friends)","Tallentaa vaihtoehtoisia osoitteita (toimitus esimerkiksi perheenjäsenille ja ystäville)"
"Please confirm your %store_name account","Vahvista tilisi kauppaan %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Sinun täytyy vahvistaa sähköpostiosoitteesi %customer_email ennen kuin voit kirjautua sisään (linkki toimii vain kerran):"
"Confirm Your Account","Vahvista tilisi"
"Thank you for confirming your %store_name account.","Kiitos %store_name tilisi vahvistamisesta."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Kirjautuaksesi sivustollemme ja asettaaksesi salasanan, klikkaa <a href=""%create_password_url"">linkkiä</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","Olemme saaneet pyynnön muuttaa sähköpostiosoitteen %store_name -tilissäsi."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Jos et ole pyytänyt tätä toimintoa, ota välittömästi yhteyttä osoitteeseen <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Sinun %store_name -sähköpostisi ja -salasanasi on muutettu"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Olemme saaneet pyynnön muuttaa seuraavia tietoja %store_name -tilissäsi: sähköposti, salasana."
"Reset your %store_name password","Aseta uusi salasana %store_name -verkkokauppaan"
"There was recently a request to change the password for your account.","Tilisi salasananvaihto on tilattu äskettäin."
"If you requested this change, set a new password here:","Jos olet pyytänyt tämän muutoksen, palauta salasanasi tästä:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jos et jättänyt tätä pyyntöä, voit ohittaa tämän sähköpostin ja salasana pysyy samana."
"Your %store_name password has been changed","Sinun %store_name -salasanasi on muutettu"
"We have received a request to change the following information associated with your account at %store_name: password.","Olemme saaneet pyynnön muuttaa salasanaasi %store_name -tilissäsi."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Tilaa nopeammin"
"Checkout using your account","Checkout using your account"
"Email Address","Sähköpostiosoite"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure you want to delete this address?","Oletko varma, että haluat poistaa tämän osoitteen?"
"Weak","Heikko"
"Medium","Keskitaso"
"Strong","Vahva"
"Very Strong","Erittäin vahva"
"Guest checkout is disabled.","Vieraana tilaaminen on poistettu käytöstä."
"All Customers","Kaikki asiakkaat"
"Now Online","Nyt paikalla"
"Customers Section","Customers Section"
"Customer Configuration","Asiakkaiden hallinnointi"
"Account Sharing Options","Tilin jakamisen asetukset"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Oletusryhmä"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Näytä ALV-numero/Y-tunnus kaupan etusivulla"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Oletustervetuliaisviesti"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Sähköpostin Lähettäjä"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Tervetuliaissähköposti"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Salasana-asetukset"
"Forgot Email Template","Salasanan palautuksen sähköpostimalli"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Salasanan palautuslinkin voimassaoloaika (tuntia)"
"Please enter a number 1 or greater in this field.","Syötä numero 1 tai suurempi tähän kenttään."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Salasanan vähimmäispituus"
"Maximum Login Failures to Lockout Account","Epäonnistuneiden kirjautumisten maksimimäärä ennen tilin lukkiutumista"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lukitusaika (minuuteissa)"
"Enable Autocomplete on login/forgot password forms","Salli automaattinen täyttö kirjautumis- ja palautuslomakkeissa"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Katuosoitteen rivien määrä"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
