"Sign Out","Одјави се"
"Manage Customers","Manage Customers"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"The customer will receive an email with a link to reset password.","Купувачот ќе добие Емаил со линк за ресетирање на лозинката."
"Something went wrong while resetting customer password.","Се случи грешка додека се ресетираше лозинката на купувачот."
"You saved the customer.","Го зачувавте купувачот."
"Something went wrong while saving the customer.","Something went wrong while saving the customer."
"Page not found.","Страната не е пронајдена."
"Customer has been unlocked successfully.","Customer has been unlocked successfully."
"Online Customers","Online Customers"
"Customers Now Online","Customers Now Online"
"Please define Wish List item ID.","Ве молиме дефинирајте го ID на продуктот од листата со желби."
"Please load Wish List item.","Молам да се вчита продуктот од листата со желби."
"Login successful.","Успешна најава."
"Invalid login or password.","Невалидно корисничко име или лозинка."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","The account is locked."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Ве молиме внесете лозинка со најмногу %1 карактери."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","This customer already exists in this store."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"%fieldName is a required field.","%fieldName е задолжително поле."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" is a required value."
"Global","Global"
"Per Website","Per Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Адреса за плаќање"
"Shipping Address","Адреса за испорака"
"-- Please Select --","-- Ве молиме изберете --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Admin"
"ALL GROUPS","ALL GROUPS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" не е валидна емаил адреса."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"label","ознака"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Група на купувачи"
"You can't delete group ""%1"".","Неможете да ја избришете групата ""%1""."
"Customer Group already exists.","Customer Group already exists."
"Cannot delete group.","Cannot delete group."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"VAT Number is valid.","VAT Number is valid."
"Please enter a valid VAT number.","Please enter a valid VAT number."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"You will be charged tax.","Ќе ви виде наплатен данок."
"You will not be charged tax.","Нема да ви биде наплатен данок."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Машко"
"Female","Женско"
"Not Specified","Не дефинирано"
"Thank you for registering with","Благодариме што креиравте профил на"
"enter your billing address for proper VAT calculation","внесете адреса на плаќање за точна пресметка на данок"
"enter your shipping address for proper VAT calculation","внесете адреса на испорака за точна пресметка на данок"
"Please enter new password.","Ве молиме внесете нова лозинка."
"message","порака"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","некоја грешка"
"frontend_label","frontend_label"
"NOT LOGGED IN","NOT LOGGED IN"
"Please enter the state/province.","Please enter the state/province."
"region is a required field.","region is a required field."
"regionId is a required field.","regionId is a required field."
"Label","Label"
"Select...","Селектирај..."
"Edit","Измени"
"Visitor","Посетител"
"Customer","Купувач"
"No item specified.","No item specified."
"Are you sure you want to remove this item?","Дали сте сигурни дека сакате да го отстраните овој продукт?"
"Personal Information","Лични информации"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Потврден емаил:"
"Account Created:","Account Created:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Default Billing Address","Главна адреса за плаќање"
"Sales Statistics","Sales Statistics"
"Web Site","Веб сајт"
"Store","Продавница"
"Store View","Store View"
"Lifetime Sales","Lifetime Sales"
"Average Sale","Average Sale"
"All Store Views","All Store Views"
"Change","Промени"
"Manage Addresses","Менаџирај адреси"
"Default Shipping Address","Главна адреса за испорака"
"Contact Information","Информации за контакт"
"Change Password","Промени ја лозинката"
"Newsletters","Електронски новости"
"You are subscribed to ""General Subscription"".","Пријавени сте да ги добивате најновите понуди и новости."
"or","or"
"Default Addresses","Предодредени адреси"
"Change Billing Address","Промени ја адресата за плаќање"
"You have no default billing address in your address book.","Немате главна адреса за плаќање во вашиот адресар."
"Change Shipping Address","Промени ја адресата за испорака"
"You have no default shipping address in your address book.","Немате главна адреса за испорака во вашиот адресар."
"Additional Address Entries","Дополнителни адреси"
"Delete Address","Избриши адреса"
"You have no other address entries in your address book.","Немате дополнителни адреси во вашиот адресар."
"* Required Fields","* Задолжителни полиња"
"Address","Адреса"
"Street Address","Улица"
"Street Address %1","Улица %1"
"VAT Number","Даночен број"
"City","Град"
"State/Province","State/Province"
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Поштенски код"
"Country","Држава"
"It's a default billing address.","Ова е главна адреса за плаќање."
"Use as my default billing address","Користи како моја главна адреса за плаќање"
"It's a default shipping address.","Ова е главна адреса за испорака."
"Use as my default shipping address","Користи како моја главна адреса за испорака"
"Save Address","Зачувај адреса"
"Go back","Врати се назад"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Email","Емаил"
"Send confirmation link","Испрати линк за потврда"
"Back to Sign In","Назад кон најава"
"Change Email","Променете ја емаил адресата"
"Change Email and Password","Премени ја емаил адресата и лозинката"
"Current Password","Тековна лозинка"
"New Password","Нова лозинка"
"Password Strength","Јачина на лозинката"
"No Password","Нема лозинка"
"Confirm New Password","Потврдете ја новата лозинка"
"Save","Зачувај"
"Please enter your email address below to receive a password reset link.","Ве молиме внесете ја емаил адресата подолу за да добиете линк за ресетирање на лозинката."
"Reset My Password","Ресетирај ја мојата лозинка"
"Registered Customers","Регистрирани купувачи"
"If you have an account, sign in with your email address.","Ако имате регистрирано профил, најавете се со вашата Емаил адреса."
"Password","Лозинка"
"Forgot Your Password?","Ја заборавивте вашата лозинка?"
"Subscription option","Претплата за"
"General Subscription","Најнови понуди и новости"
"Sign Up for Newsletter","Пријави се за електронски новости"
"Address Information","Информации за адресата"
"Sign-in Information","Информации за најава"
"Confirm Password","Потврди ја лозинката"
"Create an Account","Креирај Профил"
"Set a New Password","Поставете нова лозинка"
"You have signed out and will go to our homepage in 5 seconds.","Се одјавивте. За 5 секунди ќе бидете префрлени на почетната страна."
"New Customers","Нови купувачи"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Креирањето на профил има повеќе бенефиции: побрзо завршување на нарачките, зачувување повеќе од една адреса и повеќе."
"Company","Фирма"
"Fax","Факс"
"Gender","Gender"
"Name","Име"
"Tax/VAT number","Даночен број"
"Phone Number","Телефонски број"
"Welcome to %store_name","Добредојдовте на %store_name"
"%name,","%name,"
"Welcome to %store_name.","Добредојдовте на %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Да се најавите на нашата онлајн продавница, користете ги овие податоци. <a href=""%customer_url"">Мојот Профил</a>:"
"Email:","Емаил:"
"Password:","Лозинка:"
"Password you set when creating account","Лозинката што ја поставивте додека го креиравте профилот"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Ја заборавивте вашата лозинка? Кликнете <a href=""%reset_url"">овде</a> да ја ресетирате."
"When you sign in to your account, you will be able to:","Кога ќе бидете најавени, ќе имате можност:"
"Proceed through checkout faster","Да ги завршувате нарачките побрзо"
"Check the status of orders","Провери го статусот на твоите нарачки"
"View past orders","Видиш направени порачки"
"Store alternative addresses (for shipping to multiple family members and friends)","Зачуваш повеќе адреси (доколку сакаш да направиш испорака на некој член од семејството или пријател)"
"Please confirm your %store_name account","Ве молиме потврдете го вашиот профил - %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Мора да го потврдите вашиот %customer_email емаил пред да се најавите (линкот е валиден само еднаш):"
"Confirm Your Account","Потврди го твојот профил"
"Thank you for confirming your %store_name account.","Благодариме што го потврдивте вашиот %store_name профил."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Да се најавите на нашата продавница и поставите лозинка, клкнете <a href=""%create_password_url"">овде</a>:"
"Your %store_name email has been changed","Вашата емаил адреса беше променета - %store_name"
"Hello,","Здраво,"
"We have received a request to change the following information associated with your account at %store_name: email.","Добивме барање за промена на следните информации во врска со вашиот профил на %store_name: емаил."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Доколку не ја одобрувате оваа промена, ве молиме контактирајте не веднаш на <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","или да се јавете на <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Благодариме,<br>%store_name"
"Your %store_name email and password has been changed","Вашата емаил адреса и лозинка беа променети - %store_name"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Добивме барање за промена на следните информации во врска со вашиот профил на %store_name: емаил, лозинка."
"Reset your %store_name password","Ресетирајте ја вашата лозинка - %store_name"
"There was recently a request to change the password for your account.","Неодамна беше побарано да ја смените лозинката за вашиот профил."
"If you requested this change, set a new password here:","Доколку вие го поднесовте барање за оваа промене, поставете нова лозинка овде:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Доколку не го поднесовте вие ова барање, игнорирајте ја оваа порака и вашата лозинка ќе остане иста."
"Your %store_name password has been changed","Вашата лозинка беше променета - %store_name"
"We have received a request to change the following information associated with your account at %store_name: password.","Добивме барање за промена на следните информации во врска со вашиот профил на %store_name: емаил, лозинка."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"Email Address","Емаил адреса"
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направете ова?"
"Are you sure you want to delete this address?","Дали сте сигурни дека сакате да ја избришете оваа адреса?"
"Weak","Слаба"
"Medium","Средна"
"Strong","Силна"
"Very Strong","Многу силна"
"Guest checkout is disabled.","Guest checkout is disabled."
"All Customers","Сите купувачи"
"Now Online","Now Online"
"Customers Section","Customers Section"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Default Welcome Email Without Password","Default Welcome Email Without Password"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Email Sender"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Recovery Link Expiration Period (hours)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","За лозинката се потребни повеќе различни класи на каректери: мали букви, големи букви, броеви, специјални карактери."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Покажи даночен број"
"Show Gender","Show Gender"
"Show Telephone","Покажи телефон"
"Show Company","Show Company"
"Show Fax","Show Fax"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Customer Notification"
"Assign a Customer Group","Assign a Customer Group"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Group","Group"
"Add New Customer","Add New Customer"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Избриши продукти"
"Subscribe to Newsletter","Пријави се за електронски новости"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Одјави се од електронски новости"
"Phone","Телефон"
"ZIP","Поштенски код"
"Customer Since","Купувач од"
"Confirmed email","Потврден емаил"
"Account Created in","Account Created in"
"Tax VAT Number","Даночен број"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Презиме за плаќањето"
"Account Lock","Account Lock"
"First Name","Име"
"Last Name","Презиме"
"Last Activity","Последна активност"
"Type","Type"
"Customer Information","Информации за купувачот"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Send Welcome Email From"
"Are you sure you want to delete this item?","Дали сте сигурни дека сакате да го избришете овој продукт?"
"Addresses","Адреси"
"Account Dashboard","Мојот профил"
"Edit Account Information","Измени ги информаџиите за профилот"
"Password forgotten","Заборавена лозинка"
"My Dashboard","My Dashboard"
"You are signed out","Одјавени сте"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Потврдете ја новата лозинка."
