"Sign Out","Abmelden"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Wenn Sie ein registrierter MwSt-Kunde sind, <a href=""%1"">klicken Sie bitte hier</a>, um Ihre Versandadresse für eine korrekte Mehrwehrtsteuerkalkulation einzugeben."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Wenn Sie ein registrierter MwSt-Kunde sind, <a href=""%1"">klicken Sie bitte hier</a>, um Ihre Rechnungsadresse für eine korrekte Mehrwehrtsteuerkalkulation einzugeben."
"Account Information","Kontoinformation"
"You saved the account information.","Konto-Informationen wurden gespeichert."
"You did not sign in correctly or your account is temporarily disabled.","Sie haben sich nicht korrekt angemeldet oder Ihr Zugang ist zeitweise deaktiviert."
"Password confirmation doesn't match entered password.","Passwortbestätigung stimmt nicht mit dem eingegebenen Passwort überein."
"The password doesn't match this account.","Das Kennwort passt nicht zum Konto."
"Please correct the email address.","Bitte korrigieren Sie die E-Mail-Adresse."
"We're unable to send the password reset email.","Die E-Mail zum Zurücksetzen des Passworts konnte nicht gesendet werden."
"Please enter your email.","Bitte geben Sie Ihre E-Mail Adresse ein."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Wenn ein Kundenkonto mit %1 verknüpft ist, erhalten Sie per e-Mail einen Link zum Zurücksetzen Ihres Passworts."
"My Account","Mein Konto"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Dieses Kundenkonto wurde noch nicht bestätigt. "" ""<a href=""%1""> Klicken Sie hier</a>, um die Bestätigungs-Email erneut zu senden."
"An unspecified error occurred. Please contact us for assistance.","Ein unbekannter Fehler ist aufgetreten. Bitte kontaktieren Sie uns wenn Sie Hilfe benötigen."
"A login and a password are required.","Kundenkonto und Passwort sind erforderlich."
"New Password and Confirm New Password values didn't match.","Bitte achten Sie darauf, dass Sie zweimal das gleiche Passwort eingeben."
"Please enter a new password.","Bitte geben Sie ein neues Passwort ein."
"You updated your password.","Ihr Passwort wurde aktualisiert."
"Something went wrong while saving the new password.","Irgendetwas ging schief beim Speichern des neuen Passworts."
"You deleted the address.","Sie haben die Adresse gelöscht."
"We can't delete the address right now.","Wir können die Adresse nicht löschen."
"You saved the address.","Sie haben die Adresse gespeichert."
"We can't save the address.","Adresse konnte nicht gespeichert werden."
"No customer ID defined.","Keine Kunden-ID angegeben."
"Please correct the quote items and try again.","Bitte korrigieren Sie die Angebotsartikel und versuchen Sie es erneut."
"You have revoked the customer's tokens.","Sie haben den Token des Kunden widerrufen."
"We can't find a customer to revoke.","Wir können keinen Kunden zum Widerrufen finden."
"Something went wrong while saving file.","Etwas ist beim Speichern der Datei schiefgegangen."
"You deleted the customer group.","Sie haben die Kundengruppe gelöscht."
"The customer group no longer exists.","Die Kundengruppe existiert nicht mehr."
"Customers","Kunden"
"New Group","Neue Gruppe"
"New Customer Groups","Neue Kundengruppen"
"Edit Group","Gruppe bearbeiten"
"Edit Customer Groups","Kundengruppen bearbeiten"
"You saved the customer group.","Die Kundengruppe wurde gespeichert."
"Please select customer(s).","Bitte wählen Sie die Kunden."
"Customer could not be deleted.","Kunde konnte nicht gelöscht werden."
"You deleted the customer.","Sie haben den Kunden gelöscht."
"Something went wrong while editing the customer.","Beim Speichern des Kunden ging etwas schief."
"Manage Customers","Kunden verwalten"
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"A total of %1 record(s) were updated.","Insgesamt wurden %1 Einträge aktualisiert."
"A total of %1 record(s) were deleted.","Insgesamt wurden %1 Eintragung(en) gelöscht."
"The customer will receive an email with a link to reset password.","Der Kunde erhält eine e-Mail mit einem Link um sein Passwort zurückzusetzen."
"Something went wrong while resetting customer password.","Irgendetwas ging schief beim Kundenkennwort zurücksetzen."
"You saved the customer.","Der Kunde wurde gespeichert."
"Something went wrong while saving the customer.","Beim Speichern des Kunden ging etwas schief."
"Page not found.","Seite nicht gefunden."
"Customer has been unlocked successfully.","Kunde wurde erfolgreich freigeschlatet."
"Online Customers","Online-Kunden"
"Customers Now Online","Kunden jetzt Online"
"Please define Wish List item ID.","Bitte definieren Sie die ID des Wunschlisten Eintrags."
"Please load Wish List item.","Bitte laden Sie die den Wunschlisten Eintrag."
"Login successful.","Login erfolgreich."
"Invalid login or password.","Ungültiger Benutzername oder Passwort."
"""%1"" section source is not supported","""%1"" Abschnitt wird nicht unterstützt"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 erweitert nicht \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","Keine Bestätigung erforderlich."
"Account already active","Konto bereits aktiv"
"Invalid confirmation token","Ungültiger Bestätigungs-Token"
"The account is locked.","Dieses Konto ist gesperrt."
"This account is not confirmed.","Dieses Konto wurde nicht bestätigt."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Ungültiger Wert von ""%value"" für das Feld %fieldName. Mögliche Werte: %template1 oder %template2."
"Please enter a password with at most %1 characters.","Bitte geben Sie ein Passwort mit höchstens %1 Zeichen ein."
"Please enter a password with at least %1 characters.","Bitte geben Sie ein Passwort mit mindestens %1 Zeichen ein."
"The password can't begin or end with a space.","Das Passwort darf nicht mit einem Leerzeichen beginnen oder enden."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum der verschiedenen Zeichenklassen im Passwort ist %1. Zeichenklassen: Kleinbuchstaben, Großbuchstaben, Ziffern, Sonderzeichen."
"Password cannot be the same as email address.","Passwort kann nicht gleich der E-Mail-Adresse sein."
"This customer already exists in this store.","Dieser Kunde ist bereits in diesem Store vorhanden."
"A customer with the same email already exists in an associated website.","Ein Kunde mit der gleichen e-Mail existiert bereits in einer zugeordneten Website."
"Invalid value of ""%value"" provided for the %fieldName field.","Ungültiger Wert ""%Wert"" für Feld %FeldName."
"%fieldName is a required field.","%fieldName ist ein Pflichtfeld."
"Reset password token mismatch.","Token zum Zurücksetzen des Passworts ist ungültig."
"Reset password token expired.","Token zum Zurücksetzen des Passworts ist abgelaufen."
"Please correct the transactional account email type.","Bitte korrigieren Sie den E-Mail-Typ des Girokontos."
"""%1"" is a required value.","""%1"" ist ein erforderlicher Wert."
"Global","Global"
"Per Website","Pro Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Wir können Kundenkonten nicht global verwenden, wenn die Konten identische e-Mail-Adressen auf mehr als einer Website haben."
"Billing Address","Rechnungsadresse"
"Shipping Address","Lieferadresse"
"-- Please Select --","-- Bitte wählen --"
"Please enter a valid password reset token.","Bitte geben Sie einen gültigen Token zum Zurücksetzen des Passworts ein."
"The password can not begin or end with a space.","Das Passwort kann nicht mit einem Leerzeichen beginnen oder enden."
"Admin","Administrator"
"ALL GROUPS","ALLE GRUPPEN"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Kein Objekt mit %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Datei kann im Zielordner nicht gespeichert werden."
"Unable to create directory %1.","Verzeichnis %1 konnte nicht erstellt werden."
"Destination folder is not writable or does not exists.","Zielordner ist nicht beschreibbar oder existiert nicht."
"Something went wrong while saving the file.","Beim Speichern der Datei ging etwas schief."
"Attribute object is undefined","Attribut Objekt ist nicht definiert"
"""%1"" invalid type entered.","""%1"" Ungültiger Typ eingegeben."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" enthält nicht alphabetische oder nicht numerische Zeichen."
"""%1"" is an empty string.","""%1"" ist eine leere Zeichenfolge."
"""%1"" contains non-numeric characters.","""%1"" enthält nicht numerische Zeichen."
"""%1"" contains non-alphabetic characters.","""%1"" enthält nicht alphabetische Zeichen."
"""%1"" is not a valid email address.","""%1"" ist keine gültige E-Mail-Adresse."
"""%1"" is not a valid hostname.","""%1"" ist kein gültiger Hostname."
"""%1"" uses too many characters.","""%1"" verwendet zu viele Zeichen."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' sieht wie eine IP-Adresse aus, was kein akzeptiertes Format ist."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' scheint ein DNS-Hostname zu sein, enthält aber einen Bindestrich an einer ungültigten Position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' scheint ein DNS-Hostname zu sein, konnte aber nicht gegen das Schema für TLD '%tld%' validiert werden."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' scheint ein DNS-Hostname zu sein, aber TLD-Teil konnte nicht ausgelesen werden."
"'%value%' does not look like a valid local network name.","'%value%' sieht nicht wie ein gültiger lokaler Netzwerkname aus."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' sieht wie ein lokaler Netzwerkname aus, was kein akzeptiertes Format ist."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' scheint ein DNS-Hostname zu sein, aber die gegebene Punycode Notation kann nicht decodiert werden."
"""%1"" is not a valid URL.","""%1"" ist keine gültige URL."
"""%1"" is not a valid date.","""%1"" ist kein gültiges Datum."
"""%1"" does not fit the entered date format.","""%1"" das eingegebene Datumsformat stimmt nicht."
"Please enter a valid date between %1 and %2 at %3.","Bitte geben Sie ein gültiges Datum zwischen dem %1 und %2 bei %3 an."
"Please enter a valid date equal to or greater than %1 at %2.","Bitte geben Sie ein Datum größer oder gleich %1 bei %2 ein."
"Please enter a valid date less than or equal to %1 at %2.","Bitte geben Sie ein Datum kleiner oder gleich %1 bei %2 ein."
"""%1"" is not a valid file extension.","""%1"" ist keine gültige Datei-Erweiterung."
"""%1"" is not a valid file.","""%1"" ist keine gültige Datei."
"""%1"" exceeds the allowed file size.","""%1"" überschreitet die zulässige Dateigröße."
"""%1"" is not a valid image format.","""%1"" ist kein gültiges Bildformat."
"""%1"" width exceeds allowed value of %2 px.","""%1"" Breite überschreitet den zulässigen Wert von %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" Höhe überschreitet erlaubten Wert von %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" Länge muss gleich oder größer als %2 Zeichen sein."
"""%1"" length must be equal or less than %2 characters.","""%1"" Länge muss gleich oder kleiner als %2 Zeichen sein."
"label","Kennzeichen"
"Please enter a customer email.","Bitte geben Sie eine Kunden-e-Mail an."
"A customer website ID must be specified when using the website scope.","Eine Kunden-Website-ID muss angegeben werden, wenn der Website-Gültigkeitsbereich verwendet wird."
"Customer Group","Kundengruppe"
"You can't delete group ""%1"".","Sie können die Gruppe ""%1"" nicht löschen."
"Customer Group already exists.","Kundengruppe ist bereits vorhanden."
"Cannot delete group.","Gruppe kann nicht gelöscht werden."
"Error during VAT Number verification.","Fehler bei der Überprüfung der USt-IdNr."
"PHP SOAP extension is required.","PHP SOAP-Erweiterung ist erforderlich."
"VAT Number is valid.","USt-Nummer ist gültig."
"Please enter a valid VAT number.","Bitte geben Sie eine gültige USt-Nummer."
"Your VAT ID was successfully validated.","Ihre UST-ID wurde erfolgreich überprüft."
"You will be charged tax.","Ihnen werden die Steuern berechnet."
"You will not be charged tax.","Sie werden nicht steuerlich belastet."
"The VAT ID entered (%1) is not a valid VAT ID.","Die Umsatzsteuer-Identnummer (%1) ist ungültig."
"Your Tax ID cannot be validated.","Ihre Steuer-ID kann nicht überprüft werden."
"If you believe this is an error, please contact us at %1","Wenn Sie glauben, dass dies ein Fehler ist, kontaktieren Sie uns bitte unter %1"
"No such entity with %fieldName = %fieldValue","Kein Objekt mit %fieldName = %fieldValue"
"Male","Mann"
"Female","Frau"
"Not Specified","Nicht angegeben"
"Thank you for registering with","Vielen Dank für Ihre Registrierung bei"
"enter your billing address for proper VAT calculation","Geben Sie Ihre Rechnungsadresse für eine korrekte Mehrwertsteuer-Berechnung ein"
"enter your shipping address for proper VAT calculation","Geben Sie Ihre Lieferadresse für eine korrekte Mehrwertsteuer-Berechnung ein"
"Please enter new password.","Bitte geben Sie ein neues Passwort ein."
"message","Nachricht"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Ausnahme"
"InputException.","Eingabe-Fehler."
"InputException","InputException"
"Exception message","Fehlermeldung"
"Validator Exception","Validierungsausnahme"
"Localized Exception","Lokalisierte Ausnahme"
"some error","ein Fehler"
"frontend_label","frontend_label"
"NOT LOGGED IN","NICHT ANGEMELDET"
"Please enter the state/province.","Geben Sie ein Bundesland/Gebiet ein."
"region is a required field.","region ist ein Pflichtfeld."
"regionId is a required field.","regionId ist ein Pflichtfeld."
"Label","Bezeichnung"
"Select...","Bitte wählen..."
"Edit","Bearbeiten"
"Visitor","Besucher"
"Customer","Kunde"
"No item specified.","Kein Artikel angegeben."
"Are you sure you want to remove this item?","Sind Sie sicher, dass Sie diesen Artikel entfernen möchten?"
"Personal Information","Persönliche Daten"
"Last Logged In:","Zuletzt eingeloggt:"
"Last Logged In (%1):","Zuletzt angemeldet (%1):"
"Account Lock:","Kontosperre:"
"Confirmed email:","Bestätigte E-Mail:"
"Account Created:","Konto erstellt:"
"Account Created on (%1):","Konto erstellt am (%1):"
"Account Created in:","Kundenkonto angelegt in:"
"Customer Group:","Kundengruppe:"
"Default Billing Address","Standard-Rechnungsanschrift"
"Sales Statistics","Verkaufsstatistik"
"Web Site","Website"
"Store","Shop"
"Store View","Store View"
"Lifetime Sales","Alle Verkäufe"
"Average Sale","Durchschnittlicher Umsatz"
"All Store Views","Alle Store Views"
"Change","Ändern"
"Manage Addresses","Adressen verwalten"
"Default Shipping Address","Standard-Lieferadresse"
"Contact Information","Kontaktinformationen"
"Change Password","Passwort ändern"
"Newsletters","Newsletter"
"You are subscribed to ""General Subscription"".","Sie abonnieren ""Allgemeines Abo""."
"or","oder"
"Default Addresses","Standard-Adressen"
"Change Billing Address","Rechnungsanschrift ändern"
"You have no default billing address in your address book.","Sie haben keine Standard-Rechnungsanschrift in Ihrem Adressbuch."
"Change Shipping Address","Lieferadresse ändern"
"You have no default shipping address in your address book.","Sie haben keine Standard Versand-Adresse in Ihrem Adressbuch."
"Additional Address Entries","Zusätzliche Adresseinträge"
"Delete Address","Adresse löschen"
"You have no other address entries in your address book.","Sie haben keine andere Adresseinträgen in Ihrem Adressbuch."
"* Required Fields","* Pflichtfelder"
"Address","Adresse"
"Street Address","Straße"
"Street Address %1","Fax"
"VAT Number","USt-IdNr."
"City","Stadt"
"State/Province","Bundesland"
"Please select a region, state or province.","Wählen Sie eine Region, Bundesland oder Provinz."
"Zip/Postal Code","PLZ"
"Country","Land"
"It's a default billing address.","Es ist eine Standard-Rechnungsanschrift."
"Use as my default billing address","Als meine Standard-Rechnungsanschrift verwenden"
"It's a default shipping address.","Es ist eine Standard-Lieferanschrift."
"Use as my default shipping address","Als meine Standard-Lieferadresse verwenden"
"Save Address","Adresse speichern"
"Go back","Zurück"
"Please enter your email below and we will send you the confirmation link.","Bitte geben Sie Ihre e-Mail Adresse ein und wir senden Ihnen die Bestätigungs-Link."
"Email","E-Mail"
"Send confirmation link","Bestätigungs-Link senden"
"Back to Sign In","Zurück zur Anmeldung"
"Change Email","E-Mail ändern"
"Change Email and Password","Passwort oder E-Mail ändern"
"Current Password","Aktuelles Passwort"
"New Password","Neues Passwort"
"Password Strength","Passwortstärke"
"No Password","Kein Passwort"
"Confirm New Password","Neues Passwort bestätigen"
"Save","Speichern"
"Please enter your email address below to receive a password reset link.","Bitte geben Sie Ihre e-Mail-Adresse ein um einen Kennwort zurücksetzen-Link zu erhalten."
"Reset My Password","Mein Passwort zurücksetzen"
"Registered Customers","Registrierte Kunden"
"If you have an account, sign in with your email address.","Wenn Sie ein Konto haben, melden Sie sich mit Ihrer e-Mail-Adresse."
"Password","Passwort"
"Forgot Your Password?","Passwort vergessen?"
"Subscription option","Abonnement Option"
"General Subscription","Allgemeine Abo"
"Sign Up for Newsletter","Abonnieren Sie den Newsletter"
"Address Information","Adressinformationen"
"Sign-in Information","Anmeldeinformationen"
"Confirm Password","Passwort bestätigen"
"Create an Account","Ein Konto erstellen"
"Set a New Password","Neues Passwort festlegen"
"You have signed out and will go to our homepage in 5 seconds.","Sie haben sich erfolgreich abgemeldet und werden in 5 Sekunden zur Startseite weitergeleitet."
"New Customers","Neue Kunden"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Ihre Anmeldung hat viele Vorteile: schnellerer Bestellvorgang, speichern von mehreren Adressen, Sendungsverfolgung und vieles mehr."
"Company","Firma"
"Fax","Fax"
"Gender","Geschlecht"
"Name","Name"
"Tax/VAT number","USt-IdNr."
"Phone Number","Telefonnummer"
"Welcome to %store_name","Willkommen bei %store_name"
"%name,","%name,"
"Welcome to %store_name.","Willkommen bei %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Verwenden sie diese Zugangsdaten während der Zahlungsabwicklung oder auf der <a href=""%customer_url"">Mein Benutzerkonto</a> Seite um sich einzuloggen:"
"Email:","E-Mail:"
"Password:","Passwort:"
"Password you set when creating account","Passwort, das beim Erstellen des Kontos festgelegt wurde"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Passwort vergessen? Klicken Sie <a href=""%reset_url""> hier</a> um es zurückzusetzen."
"When you sign in to your account, you will be able to:","Wenn Sie sich in Ihr Benutzerkonto einloggen können Sie:"
"Proceed through checkout faster","Die Bestellung schneller durchführen"
"Check the status of orders","Status der Bestellungen prüfen"
"View past orders","Frühere Bestellungen anzeigen"
"Store alternative addresses (for shipping to multiple family members and friends)","Alternative Lieferadressen speichern (für den Versand an mehrere Familienmitglieder und Freunde)"
"Please confirm your %store_name account","Bitte bestätigen Sie Ihr %store_name-Konto"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Sie müssen Ihre %customer_email Email bestätigen, bevor Sie sich einloggen (Link ist nur einmal gültig):"
"Confirm Your Account","Bestätigen Sie Ihr Kundenkonto"
"Thank you for confirming your %store_name account.","Vielen Dank für die Bestätigung Ihres %store_name Kundenkontos."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Um sich bei uns zu registrieren und ein Benutzerkonto anzulegen, benutzten Sie bitte folgenden <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Ihre %store_name E-Mail-Adresse wurde geändert"
"Hello,","Hallo,"
"We have received a request to change the following information associated with your account at %store_name: email.","Wir haben eine Anforderung zum Ändern der folgenden Informationen im Zusammenhang mit Ihrem Konto bei %store_name erhalten: E-Mail-Adresse."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Wenn Sie diese Aktion nicht autorisiert haben, kontaktieren Sie uns bitte sofort unter <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","oder rufen Sie uns unter <a href=""tel:%store_phone"">%store_phone</a> an"
"Thanks,<br>%store_name","Vielen Dank,<br>%store_name"
"Your %store_name email and password has been changed","Ihre %store_name E-Mail-Adresse und Ihr Passwort wurden geändert"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Wir haben eine Anforderung zum Ändern der folgenden Informationen im Zusammenhang mit Ihrem Konto bei %store_name erhalten: E-Mail-Adresse, Passwort."
"Reset your %store_name password","Setzen Sie Ihr %store_name Passwort zurück"
"There was recently a request to change the password for your account.","Wir haben eine Anfrage zum Ändern Ihres Passworts erhalten."
"If you requested this change, set a new password here:","Wenn Sie diese Änderung angefordert haben, setzen Sie Ihr Passwort hier zurück:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Wenn Sie diese Anfrage nicht erstellt haben, können Sie diese E-Mail ignorieren und Ihr Passwort bleibt gleich."
"Your %store_name password has been changed","Ihr %store_name Passwort wurde geändert"
"We have received a request to change the following information associated with your account at %store_name: password.","Wir haben eine Anforderung zum Ändern der folgenden Informationen im Zusammenhang mit Ihrem Konto bei %store_name erhalten: Passwort."
"Checkout as a new customer","Als neuer Kunde bestellen"
"Creating an account has many benefits:","Das Erstellen eines Kontos hat viele Vorteile:"
"See order and shipping status","Bestell- und Versandstatus ansehen"
"Track order history","Bestellverlauf verfolgen"
"Check out faster","Schneller bestellen"
"Checkout using your account","Mit Ihrem Konto bestellen"
"Email Address","E-Mailadresse"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Are you sure you want to delete this address?","Sind Sie sicher, dass Sie diese Adresse löschen möchten?"
"Weak","Schwach"
"Medium","Mittel"
"Strong","Sicher"
"Very Strong","Sehr sicher"
"Guest checkout is disabled.","Gastbestellungen sind nicht erlaubt."
"All Customers","Alle Kunden"
"Now Online","Jetzt online"
"Customers Section","Kundenbereich"
"Customer Configuration","Kundenkonfiguration"
"Account Sharing Options","Benutzerkonto Verteilungsoptionen"
"Share Customer Accounts","Kundenkonten teilen"
"Create New Account Options","Optionen für neue Kundenkonten"
"Enable Automatic Assignment to Customer Group","Automatische Zuordnung zu Kundengruppe aktivieren"
"Tax Calculation Based On","Steuerberechnung basiert auf"
"Default Group","Standardgruppe"
"Group for Valid VAT ID - Domestic","Kundengruppe für gültige USt-IdNr. - Inland"
"Group for Valid VAT ID - Intra-Union","Kundengruppe für gültige USt-IdNr. - EU"
"Group for Invalid VAT ID","Kundengruppe für ungültige USt-IdNr."
"Validation Error Group","Kundengruppe bei fehlgeschlagener Prüfung"
"Validate on Each Transaction","Bei jeder Transaktion prüfen"
