"Sign Out","Logi välja"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"A login and a password are required.","Kasutajanimi ja salasõna on nõutud."
"New Password and Confirm New Password values didn't match.","Uus salasõna ning uue salasõna kordus ei kattunud."
"Please enter a new password.","Palun sisestage uus salasõna."
"You updated your password.","Salasõna uuendatud."
"Something went wrong while saving the new password.","Salasõna salvestamisel läks midagi valesti."
"You deleted the address.","Aadress kustutatud."
"We can't delete the address right now.","We can't delete the address right now."
"You saved the address.","Aadress salvestatud."
"We can't save the address.","We can't save the address."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"You have revoked the customer's tokens.","You have revoked the customer's tokens."
"We can't find a customer to revoke.","We can't find a customer to revoke."
"Something went wrong while saving file.","Something went wrong while saving file."
"You deleted the customer group.","Kliendigrupp kustutatud."
"The customer group no longer exists.","Kliendigruppi enam ei eksisteeri."
"Customers","Kliendid"
"New Group","Uus grupp"
"New Customer Groups","Uued kliendigrupid"
"Edit Group","Muuda gruppi"
"Edit Customer Groups","Muuda kliendigruppe"
"You saved the customer group.","Kliendigrupp salvestatud."
"Please select customer(s).","Vali klient / kliendid."
"Customer could not be deleted.","Klient ei saa kustutada."
"You deleted the customer.","Klient kustutatud."
"Something went wrong while editing the customer.","Kliendi muutmisel läks midagi valesti."
"Manage Customers","Halda kliente"
"Please correct the data sent.","Palun korrigeerige andmeid."
"A total of %1 record(s) were updated.","Kokku uuendati %1 kirjet."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"The customer will receive an email with a link to reset password.","Klient saab e-posti salasõna taastamiseks."
"Something went wrong while resetting customer password.","Kliendi salasõna taastamisel läks midagi valesti."
"You saved the customer.","Klient salvestatud."
"Something went wrong while saving the customer.","Kliendi salvestamisel läks midagi valesti."
"Page not found.","Lehte ei leitud."
"Customer has been unlocked successfully.","Customer has been unlocked successfully."
"Online Customers","Kliendid poes"
"Customers Now Online","Kliendid hetkel poes"
"Please define Wish List item ID.","Please define Wish List item ID."
"Please load Wish List item.","Please load Wish List item."
"Login successful.","Sisselogimine õnnestus."
"Invalid login or password.","Vale kasutajatunnus või salasõna."
"""%1"" section source is not supported","""%1"" section source is not supported"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No confirmation needed."
"Account already active","Account already active"
"Invalid confirmation token","Invalid confirmation token"
"The account is locked.","The account is locked."
"This account is not confirmed.","This account is not confirmed."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2."
"Please enter a password with at most %1 characters.","Please enter a password with at most %1 characters."
"Please enter a password with at least %1 characters.","Please enter a password with at least %1 characters."
"The password can't begin or end with a space.","The password can't begin or end with a space."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters."
"Password cannot be the same as email address.","Password cannot be the same as email address."
"This customer already exists in this store.","Klient juba eksisteerib selles poes."
"A customer with the same email already exists in an associated website.","A customer with the same email already exists in an associated website."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"%fieldName is a required field.","%fieldName is a required field."
"Reset password token mismatch.","Reset password token mismatch."
"Reset password token expired.","Reset password token expired."
"Please correct the transactional account email type.","Please correct the transactional account email type."
"""%1"" is a required value.","""%1"" is a required value."
"Global","Globaalne"
"Per Website","Per Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","We can't share customer accounts globally when the accounts share identical email addresses on more than one website."
"Billing Address","Arveldusaadress"
"Shipping Address","Tarneaadress"
"-- Please Select --","-- Vali --"
"Please enter a valid password reset token.","Please enter a valid password reset token."
"The password can not begin or end with a space.","The password can not begin or end with a space."
"Admin","Admin"
"ALL GROUPS","KÕIK GRUPID"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","No such entity with %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","Faili ei saa salvestada sihtkausta."
"Unable to create directory %1.","Unable to create directory %1."
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Something went wrong while saving the file.","Something went wrong while saving the file."
"Attribute object is undefined","Atribuut on määratlemata"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" ei ole korrektne e-posti aadress."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" uses too many characters.","""%1"" uses too many characters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' looks like an IP address, which is not an acceptable format."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' looks like a DNS hostname but contains a dash in an invalid position."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' looks like a DNS hostname but cannot extract TLD part."
"'%value%' does not look like a valid local network name.","'%value%' does not look like a valid local network name."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' looks like a local network name, which is not an acceptable format."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" ei ole kehtiv pildiformaat."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"label","silt"
"Please enter a customer email.","Please enter a customer email."
"A customer website ID must be specified when using the website scope.","A customer website ID must be specified when using the website scope."
"Customer Group","Kliendigrupp"
"You can't delete group ""%1"".","You can't delete group ""%1""."
"Customer Group already exists.","Kliendigrupp juba eksisteerib."
"Cannot delete group.","Cannot delete group."
"Error during VAT Number verification.","Error during VAT Number verification."
"PHP SOAP extension is required.","Puudub PHP SOAP laiendus."
"VAT Number is valid.","VAT Number is valid."
"Please enter a valid VAT number.","Sisestage korrektne KMKR number."
"Your VAT ID was successfully validated.","Your VAT ID was successfully validated."
"You will be charged tax.","You will be charged tax."
"You will not be charged tax.","You will not be charged tax."
"The VAT ID entered (%1) is not a valid VAT ID.","The VAT ID entered (%1) is not a valid VAT ID."
"Your Tax ID cannot be validated.","Your Tax ID cannot be validated."
"If you believe this is an error, please contact us at %1","If you believe this is an error, please contact us at %1"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Male","Male"
"Female","Female"
"Not Specified","Not Specified"
"Thank you for registering with","Thank you for registering with"
"enter your billing address for proper VAT calculation","enter your billing address for proper VAT calculation"
"enter your shipping address for proper VAT calculation","enter your shipping address for proper VAT calculation"
"Please enter new password.","Please enter new password."
"message","message"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Exception"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Exception message"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","some error"
"frontend_label","poevaate_silt"
"NOT LOGGED IN","SISSE LOGIMATA"
"Please enter the state/province.","Please enter the state/province."
"region is a required field.","region is a required field."
"regionId is a required field.","regionId is a required field."
"Label","Label"
"Select...","Vali..."
"Edit","Muuda"
"Visitor","Visitor"
"Customer","Klient"
"No item specified.","Artiklit ei ole spetsifitseeritud."
"Are you sure you want to remove this item?","Olete kindel, et soovite selle artikli eemaldada?"
"Personal Information","Isikuandmed"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Account Lock:","Account Lock:"
"Confirmed email:","Confirmed email:"
"Account Created:","Account Created:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Kliendigrupp:"
"Default Billing Address","Vaikimisi arveldusaadress"
"Sales Statistics","Sales Statistics"
"Web Site","Veebisait"
"Store","Pood"
"Store View","Poevaade"
"Lifetime Sales","Kogumüük"
"Average Sale","Average Sale"
"All Store Views","Kõik poevaated"
"Change","Vaheta"
"Manage Addresses","Halda aadresse"
"Default Shipping Address","Vaikimisi tarneaadress"
"Contact Information","Kontaktandmed"
"Change Password","Muuda salasõna"
"Newsletters","Uudiskirjad"
"You are subscribed to ""General Subscription"".","Olete tellinud ""Üldtellimus""."
"or","või"
"Default Addresses","Vaikeaadress"
"Change Billing Address","Muuda arveldusaadressi"
"You have no default billing address in your address book.","Teil puudub vaikimisi arveaadress aadressiraamatus."
"Change Shipping Address","Muuda tarneaadressi"
"You have no default shipping address in your address book.","Teil puudub vaikimisi saateaadress aadressiraamatus."
"Additional Address Entries","Additional Address Entries"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","You have no other address entries in your address book."
"* Required Fields","* Kohustuslikud väljad"
"Address","Aadress"
"Street Address","Tänav, maja"
"Street Address %1","Street Address %1"
"VAT Number","KMKR number"
"City","Linn"
"State/Province","Maakond"
"Please select a region, state or province.","Valige piirkond, maakond või vald."
"Zip/Postal Code","Postiindeks"
"Country","Riik"
"It's a default billing address.","See on vaikimisi saateaadress."
"Use as my default billing address","Kasuta kui vaikimisi arveaadressina"
"It's a default shipping address.","See on vaikimisi saateaadress."
"Use as my default shipping address","Kasuta kui vaikimisi tarneaadressi"
"Save Address","Salvesta aadress"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
"Email","E-post"
"Send confirmation link","Send confirmation link"
"Back to Sign In","Tagasi sisse logima"
"Change Email","Muuda e-posti"
"Change Email and Password","Muuda e-posti ja salasõna"
"Current Password","Kehtiv salasõna"
"New Password","Uus salasõna"
"Password Strength","Salasõna tugevus"
"No Password","No Password"
"Confirm New Password","Kinnita uus salasõna"
"Save","Salvesta"
"Please enter your email address below to receive a password reset link.","Please enter your email address below to receive a password reset link."
"Reset My Password","Vaheta salasõna"
"Registered Customers","Registreerunud kliendid"
"If you have an account, sign in with your email address.","Kui teil on konto, logi sisse oma e-posti aadressiga."
"Password","Salasõna"
"Forgot Your Password?","Unustasid salasõna?"
"Subscription option","Tellimuse valik"
"General Subscription","Üldtellimus"
"Sign Up for Newsletter","Liitu uudiskirjaga"
"Address Information","Address Information"
"Sign-in Information","Kontoandmed"
"Confirm Password","Kinnita salasõna"
"Create an Account","Uus konto"
"Set a New Password","Määra uus salasõna"
"You have signed out and will go to our homepage in 5 seconds.","Olete välja loginud ning teid suunatakse 5 sekundi pärast avalehele."
"New Customers","Uus klient"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Konto loomisel on mitmed eelised: saate kiiremini tellimuse esitada, hallata rohkem kui ühte aadressi, jälgida tellimuse staatust jne."
"Company","Ettevõte"
"Fax","Faks"
"Gender","Sugu"
"Name","Nimi"
"Tax/VAT number","Tax/VAT number"
"Phone Number","Telefon"
"Welcome to %store_name","Tere tulemast poodi %store_name"
"%name,","%name,"
"Welcome to %store_name.","Tere tulemast poodi %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Meie poodi sisselogimiseks kasutage neid tunnuseid. Sama saate teha ka tellimuse vormistamisel ja/või <a href=""%customer_url""> Minu konto </a> lehel:"
"Email:","E-post:"
"Password:","Salasõna:"
"Password you set when creating account","Konto loomisel määratud parool"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Unustasid oma salasõna? Klõpsake <a href=""%reset_url""> siin </a>, et seda uuendada."
"When you sign in to your account, you will be able to:","Peale sisse logimist on teile võimalik teha järgnevaid toiminguid:"
"Proceed through checkout faster","Kulge läbi ostuprotsessi kiiremini"
"Check the status of orders","Jälgida oma tellimuste staatuseid"
"View past orders","Vaadata vanu tellimusi"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"Please confirm your %store_name account","Please confirm your %store_name account"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"Confirm Your Account","Confirm Your Account"
"Thank you for confirming your %store_name account.","Thank you for confirming your %store_name account."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","Your %store_name email has been changed"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","Your %store_name email and password has been changed"
"We have received a request to change the following information associated with your account at %store_name: email, password.","We have received a request to change the following information associated with your account at %store_name: email, password."
"Reset your %store_name password","Reset your %store_name password"
"There was recently a request to change the password for your account.","There was recently a request to change the password for your account."
"If you requested this change, set a new password here:","Kui te soovisite siis uue salasõna saate määrata siin:"
"If you did not make this request, you can ignore this email and your password will remain the same.","If you did not make this request, you can ignore this email and your password will remain the same."
"Your %store_name password has been changed","Your %store_name password has been changed"
"We have received a request to change the following information associated with your account at %store_name: password.","We have received a request to change the following information associated with your account at %store_name: password."
"Checkout as a new customer","Checkout as a new customer"
"Creating an account has many benefits:","Konto loomisel on mitmeid eeliseid:"
"See order and shipping status","Vaata tellimuse ja tarne olekut"
"Track order history","Track order history"
"Check out faster","Check out faster"
"Checkout using your account","Checkout using your account"
"Email Address","E-posti aadress"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Weak","Nõrk"
"Medium","Medium"
"Strong","Tugev"
"Very Strong","Väga tugev"
"Guest checkout is disabled.","Tellimine külalistele on keelatud."
"All Customers","Kõik kliendid"
"Now Online","Hetkel poes"
"Customers Section","Customers Section"
"Customer Configuration","Kliendi konfiguratsioon"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Maksukalkulatsiooni baas"
"Default Group","Vaikegrupp"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Storefront","Show VAT Number on Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Vaikimisi tervitus e-post"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Default Welcome Email Without Password","Vaikimisi tervituskiri salasõnata"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","E-posti saatja"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Tervituse e-post"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Genereeri inimsõbralik kliendi ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Taastelingi aegumise periood (tundides)"
"Please enter a number 1 or greater in this field.","Sisestage sellele väljale 1 või suurem arv."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Minimaalne salasõna pikkus"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Nime ja aadressi valikud"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Näita eesliidet"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Näita keskmist nime (initsiaali)"
"Always optional.","Always optional."
"Show Suffix","Näita järelliidet"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Näita sünnikuupäeva"
"Show Tax/VAT Number","Näita KMKR numbrit"
"Show Gender","Näita sugu"
"Show Telephone","Näita telefoni"
"Show Company","Näita ettevõtet"
"Show Fax","Näita faksi"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Suuna kliendid töölauale peale sisse logimist"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
"Online Customers Options","Online klientide valikud"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Kliendi teavitamine"
"Assign a Customer Group","Määra kliendigruppi"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Group","Grupp"
"Add New Customer","Lisa uus klient"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Kustuta üksused"
"Subscribe to Newsletter","Telli uudiskiri"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Tühista uudiskirja tellimus"
"Phone","Telefon"
"ZIP","Postiindeks"
"Customer Since","Klient alates"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Tax VAT Number","KMKR number"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"Account Lock","Account Lock"
"First Name","Eesnimi"
"Last Name","Perekonnanimi"
"Last Activity","Viimane toiming"
"Type","Tüüp"
"Customer Information","Kliendi Informatsioon"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Tervituse e-posti saatja"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Addresses"
"Account Dashboard","Account Dashboard"
"Edit Account Information","Minu konto andmed"
"Password forgotten","Password forgotten"
"My Dashboard","My Dashboard"
"You are signed out","You are signed out"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
