"My Requisition Lists","Моите списъци с заявки"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Това действие не може да се изпълни, защото избраните продукти изискват внимание. Трябва да разрешите тези случаи, преди да продължите."
"Please Select Product","Моля, изберете продукт."
"Please select at least one product to proceed.","Моля изберете поне един продукт за да продължите."
"Save","Запиши"
"Requisition List Section","Раздел за списък с заявки"
"Enable Requisition List","Активиране на списък с заявки"
"General","Главен"
"Number of Requisition Lists","Брой на Списъци с заявки"
"The number of requisition lists should be equal or more than 2.","Броят на множество списъци трябва да бъде равен на или над 2."
"Name & Description","Име и описание"
"Items","Артикули"
"Latest Activity","Последна активност"
