"My Requisition Lists","私の請求リスト"
"Update Requisition List","請求リストを更新"
"Create Requisition List","請求リストを作成"
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1が""<a href=""%2"">%3</a>""要求リストに追加されました。"
"<a href=""%1"" target=""_blank""><span>%2</span></a>","<a href=""%1""ターゲット=""_blank""><span>%2</span></a"
"All the items in your Shopping Cart have been added to the ""%1"" requisition list.","買い物かご内のすべての品目が""%1""要求リストに追加されました。"
"Create New Requisition List","新規請求リストを作成"
"Export","エクスポート"
"Print","印刷"
"Rename","名前を変更する"
"Rename Requisition List","請求リストの名前を変更する"
"items","商品"
"item","商品"
"in requisition list","請求リストで"
"Contact Us","お問い合わせ"
"Add to Cart","カートに入れる"
"Update List","リストを更新"
"Delete Requisition List","請求リストを削除"
"You have no items in this requisition list.","この請求リストには商品がありません。"
"Product Name","商品名"
"Item","商品"
"Price","価格"
"Qty","個数"
"Subtotal","小計"
"Product","商品"
"SKU","商品番号"
"Excl. Tax","税抜"
"Edit item","商品の編集"
"Remove item","商品を削除"
"Select all","全て選択"
"With Selected","選択された"
"Copy Selected","選択項目をコピー"
"Copy","コピー"
"Move Selected","選択項目を移動"
"Move","移動"
"Remove Selected","選択項目を削除"
"Remove","削除"
"Are you sure you would like to remove selected items from the requisition list?","選択した項目を購買依頼リストから削除しますか？"
"Delete","削除"
"product(s) require your attention","商品に注意が必要です"
"Requisition List Name","請求リスト名"
"Description","概要"
"The shopping cart isn't empty","ショッピングカートは空ではありません"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","ショッピングカートに商品があります。 この注文の商品とこのショッピングカートの商品をマージ もしくは 置き換えますか？"
"Select Cancel to stay on the current page.","現在のページにとどまるには「キャンセル」を選択します。"
"Merge","マージ"
"Replace","置き換え"
"Cancel","キャンセル"
"Add item to requisition list","要求リスト追加の品目"
"The item ""%1"" is already in the ""%2"" requisition list.","品目""%1""は既に""%2""要求リストに存在します。"
"Quantities for identical items will be combined.","同一の項目の数量が合成されます。"
"Add item","追加項目"
"Error","エラー"
"Add items to requisition list","要求リスト追加の品目"
"Some items in your Shopping Cart are already in the %1 requisition list.","買い物かご内の一部の品目が既に%1要求リストに入っています。"
"Add items","追加項目"
"Ok","OK"
"Cannot Perform the Requested Action","要求されたアクションを実行できません"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","選択した商品は注意が必要なため、この操作は実行できません。 続行する前に、これらの問題を解決する必要があります。"
"Please Select Product","商品を選択してください"
"Please select at least one product to proceed.","続行するには少なくとも1つの商品を選択してください。"
"Save","保存"
"Requisition List Section","購買依頼リスト・セクション"
"Enable Requisition List","請求リストを有効にする"
"General","全般"
"Number of Requisition Lists","請求リストの数"
"The number of requisition lists should be equal or more than 2.","請求リストの数は2以上でなければなりません。"
"Name & Description","名前と概要"
"Items","アイテム"
"Latest Activity","最近のアクティビティ"
