"My Requisition Lists","Mi Lista de Reposición"
"Requisition List Name","Nombre de la lista de reposición"
"Description","Descripción"
"The shopping cart isn't empty","El carrito de compra está vacío"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Tienes artículos en tu carrito de compras. ¿Le gustaría combinar artículos en este pedido con artículos de este carrito de compras o reemplazarlos?"
"Select Cancel to stay on the current page.","Seleccione Cancelar para permanecer en la página actual."
"Merge","Combinar"
"Replace","Reemplazar"
"Cancel","Cancelar"
"Ok","Aceptar"
"Cannot Perform the Requested Action","No se puede realizar la acción solicitada"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Esta acción no se puede realizar porque los productos seleccionados requieren atención. Debe resolver estos problemas antes de poder continuar."
"Please Select Product","Por favor Seleccione Producto"
"Please select at least one product to proceed.","Por favor seleccione al menos un producto para proceder."
"Save","Guardar"
"B2B Requisition List","Lista de solicitudes B2B"
"Enable Requisition List","Activar Lista de Requisitos"
"General","General"
"Number of Requisition Lists","Número de Lista de Reposicióm"
"The number of requisition lists should be equal or more than 2.","El número de Lista de Reposición debe ser igual o más de 2."
"Name & Description","Nombre y Descripción"
"Items","Artículos"
"Latest Activity","Actividad más reciente"
"The requisition list does not exist.","The requisition list does not exist."
"Invalid request, please try again.","Invalid request, please try again."
"The item ""%1"" is already in the ""%2"" requisition list.","The item ""%1"" is already in the ""%2"" requisition list."
"The product","The product",""
"Requisition list ""%1"" could not be saved.","Requisition list ""%1"" could not be saved."
"%1 could not be added to the ""%2"" requisition list.","%1 could not be added to the ""%2"" requisition list."
"The requisition list could not be saved.","The requisition list could not be saved."
"%1 could not be added to the requisition list.","%1 could not be added to the requisition list."
