"UPS Next Day Air","UPS ඊළඟ දවසේ වාතය"
"UPS Worldwide 10 kilo","UPS ලොව පුරා කිලෝ 10 කි"
"Pallet","පැලට්"
"Small Express Box","කුඩා අධිවේගී පෙට්ටිය"
"Medium Express Box","මධ්‍යම අධිවේගී පෙට්ටිය"
"Large Express Box","විශාල එක්ස්ප්‍රස් පෙට්ටිය"
"Residential","නේවාසික"
"Commercial","වෙළඳ"
"Pounds","පවුම්"
"Kilograms","කිලෝ ග්රෑම්"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","සමාවෙන්න, කිසියම් වරදක් සිදු වී ඇත. කරුණාකර නැවත උත්සාහ කරන්න හෝ අප හා සම්බන්ධ වන්න, අපි උදව් කිරීමට උත්සාහ කරන්නෙමු."
"We can't convert a rate from ""%1-%2"".","අපට ""%1-%2"" සිට අනුපාතයක් පරිවර්තනය කළ නොහැක."
"Cannot retrieve shipping rates","නැව් ගාස්තු ලබා ගත නොහැක"
"status","තත්ත්වය"
"error_message","දෝෂ_පණිවිඩය"
"Empty response","හිස් ප්‍රතිචාරය"
"Delivery Confirmation","භාරදීම තහවුරු කිරීම"
"Signature Required","අත්සන අවශ්යයි"
"Adult Signature Required","වැඩිහිටි අත්සන අවශ්‍යයි"
"Not Required","අවශ්ය නෑ"
"None","කිසිවක් නැත"
"label","ලේබලය"
"United Parcel Service","එක්සත් පාර්සල් සේවාව"
"United Parcel Service XML","එක්සත් පාර්සල් සේවා XML"
"Field ","ක්ෂේත්රය "
" is required."," අවශ්යයි."
"UPS","UPS"
"Access License Number","ප්රවේශ බලපත්ර අංකය"
"Enabled for Checkout","පිටවීම සඳහා සබල කර ඇත"
"Allowed Methods","අවසර ලත් ක්රම"
"Packages Request Type","පැකේජ ඉල්ලීම් වර්ගය"
"Container","කන්ටේනර්"
"Enable Free Shipping Threshold","නොමිලේ නැව්ගත කිරීමේ සීමාව සබල කරන්න"
"Free Shipping Amount Threshold","නොමිලේ නැව්ගත කිරීමේ මුදල සීමාව"
"Destination Type","ගමනාන්ත වර්ගය"
"Free Method","නිදහස් ක්රමය"
"Gateway URL","ද්වාර URL"
"Gateway XML URL","Gateway XML URL"
"Calculate Handling Fee","හැසිරවීමේ ගාස්තුව ගණනය කරන්න"
"Handling Applied","හැසිරවීම යෙදී ඇත"
"Handling Fee","හැසිරවීමේ ගාස්තුව"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","උපරිම පැකේජ බර (උපරිම සහය දක්වන නැව්ගත කිරීමේ බර සඳහා කරුණාකර ඔබේ නැව්ගත කිරීමේ වාහකයාගෙන් විමසන්න)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","අවම පැකේජ බර (අවම ආධාරක නැව්ගත කිරීමේ බර සඳහා කරුණාකර ඔබේ නැව්ගත කිරීමේ වාහකයාගෙන් විමසන්න)"
"Origin of the Shipment","නැව්ගත කිරීමේ සම්භවය"
"Password","මුරපදය"
"Pickup Method","පිකප් ක්‍රමය"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Title","ශීර්ෂය"
"Tracking XML URL","XML URL ලුහුබැඳීම"
"UPS Type","UPS වර්ගය"
"Live Account","සජීවී ගිණුම"
"Weight Unit","බර ඒකකය"
"User ID","පරිශීලක ID"
"Enable Negotiated Rates","සාකච්ඡා කළ ගාස්තු සබල කරන්න"
"Shipper Number","නැව්ගත කරන්නා අංකය"
"Required for negotiated rates; 6-character UPS","සාකච්ඡා කළ මිල ගණන් සඳහා අවශ්‍ය වේ; අක්ෂර 6 UPS"
"Ship to Applicable Countries","අදාළ රටවලට නැව්ගත කරන්න"
"Ship to Specific Countries","විශේෂිත රටවලට නැව්ගත කරන්න"
"Show Method if Not Applicable","අදාළ නොවේ නම් ක්‍රමය පෙන්වන්න"
"Displayed Error Message","දෝෂ පණිවිඩය පෙන්වයි"
"Mode","මාදිලිය"
"This enables or disables SSL verification of the Magento server by UPS.","මෙය UPS මගින් Magento සේවාදායකයේ SSL සත්‍යාපනය සබල කරයි හෝ අක්‍රීය කරයි."
"Debug","දෝෂහරණය කරන්න"
"Live account","Live account"
"Request Tax-Inclusive Rate","බදු ඇතුළත් අනුපාතය ඉල්ලන්න"
