"It is impossible to log user action","É impossível registrar a ação do usuário"
"
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> combines sophisticated software with an exceptional team of tax experts to help Magento merchants simplify the sales tax process, and comply with ever-changing tax laws. Merchants can easily access and configure Vertex Cloud from the Magento Admin to meet complex tax challenges.</p>
                        <ul>
                        <li><span>Seamless integration with award-winning support for simple-to-complex tax needs.</span></li>
                        <li><span>Automatically comply with the latest tax rules for each product and every jurisdiction.</span></li>
                        <li><span>Perform tax calculations and generate signature-ready PDF returns in one solution.</span></li>
                        <li><span>No penalty to merchants for tax estimates from abandoned carts.</span></li>
                        <li><span>Flexible deployment options fit the needs of your organization in the cloud, or on premises.</span></li>
                        </ul>
                        ","
<p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank""> A Vertex Cloud </a> combina software sofisticado com uma equipe excepcional de especialistas em impostos para ajudar os comerciantes Magento a simplificar o processo de impostos sobre vendas e cumprir as leis tributárias em constante mudança. Os comerciantes podem acedder e configurar facilmente o Vertex Cloud a partir do Magento Admin para atender aos complexos desafios fiscais. </p><ul><li><span>Integração perfeita com suporte premiado para necessidades tributárias simples e complexas.</span ></li><li><span>Cumpra as regras fiscais mais recentes para cada produto e jurisdição de forma automática.</span></li><li><span>Permite a realização do cálculos de impostos e geração de PDF de retorno prontos para assinatura como uma solução.</span></li><li><span>Nenhuma penalidade para os comerciantes por estimativas de impostos de carrinhos abandonados.</span></li><li><span>As opções de implantação flexíveis atendem às necessidades do seu organização na nuvem ou nas instalações.</span></li></ul>                        "
"What's new with Magento 2.2.2","O que há de novo com Magento 2.2.2"
"
                        <p>Magento 2.2.2 offers advanced new features, including:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Advanced Reporting</h3>
                        <p>Gain valuable insights through a dynamic suite of product, order, and customer reports,
                        powered by Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Instant Purchase</h3>
                        <p>Simplify ordering and boost conversion rates by allowing your customers to use stored
                        payment and shipping information to skip tedious checkout steps.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Send smarter, faster email campaigns with marketing automation from dotmailer, powered by
                        your Magento store's live data.</p>
                        </div>
                        <p>Release notes and additional details can be found at
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        ","
 <p>Magento 2.2.2 oferece novos recursos avançados, incluindo:</p>
 <br />
<div class=""analytics-highlight"">
<h3>Relatórios Avançados</h3>
<p>Obtenha informações valiosas por meio de um conjunto dinâmico de relatórios sobre produtos, pedidos de compras e clientes, suportado pelo Magento Business Intelligence.</p>
 </div>
<div class=""instant-purchase-highlight"">
<h3>Compras imediatas</h3>
<p>Simplifique os pedidos e aumente as taxas de conversão, permitindo que seus clientes usem as informações de pagamento e envio armazenadas para pular etapas de check-out nonotonas. </p>
</div>
<div class=""email-marketing-highlight"">
<h3>Automatização de Email Marketing</h3>
<p>Envie campanhas de e-mail inteligentes e mais rápidas com automação de marketing do dotmailer, com base nos dados em tempo real da sua loja Magento.</p> </div>
<p>Notas de lançamento e detalhes adicionais podem ser encontrados no <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.</p>                        "
"Advanced Reporting","Relatórios Avançados"
"<p>Advanced Reporting
                        provides you with a dynamic suite of reports with rich insights about the health of your
                        business.</p><br /><p>As part of the Advanced Reporting service, we may also use your customer
                        data for such purposes as benchmarking, improving our products and services, and providing you
                        with new and improved analytics.</p><br /><p>By using Magento 2.2.2, you agree to the Advanced
                        Reporting <a href=""https://magento.com/legal/terms/privacy"" target=""_blank"">Privacy Policy</a>
                        and <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank"">Terms
                        of Service</a>. You may opt out at any time from the Stores Configuration page.</p>
                        ","<p> Relatórios avançados fornece um conjunto dinâmico de relatórios com informações detalhadas sobre a integridade do seu negócios.</p><br />
<p>Como parte do serviço Advanced Reporting, também podemos usar dados dos seus cliente para fins de benchmarking, melhoria de nossos produtos e serviços e fornecimento de análises novas e aprimoradas.</p><br />
<p>Usando o Magento 2.2.2, você concorda com o Termos da <a href=""https://magento.com/legal/terms/privacy"" target=""_blank""> Política de Privacidade </a>
 assim como os <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank""> Termos
 de serviço</a>. Você pode optar por sair a qualquer momento na página ""Configuração de Lojas"".</p>                        "
"Instant Purchase","Compra instantânea"
"
                        <p>Now you can deliver an Amazon-like experience with a new, streamlined checkout option.
                        Logged-in customers can use previously-stored payment credentials and shipping information
                        to skip steps, making the process faster and easier, especially for mobile shoppers. Key
                        features include:
                        </p>
                        <ul>
                        <li><span>Configurable “Instant Purchase” button to place orders.</span></li>
                        <li><span>Support for all payment solutions using Braintree Vault, including Braintree Credit
                        Card, Braintree PayPal, and PayPal Payflow Pro.</span></li>
                        <li><span>Shipping to the customer’s default address using the lowest cost, available shipping
                        method.</span></li>
                        <li><span>Ability for developers to customize the Instant Purchase business logic to meet
                        merchant needs.</span></li>
                        </ul>
                        ","
<p> Agora, você pode oferecer uma experiência semelhante à da Amazon com uma nova opção simplificada de check-out. Os clientes registrados podem usar credenciais de pagamento e informações de envio armazenadas anteriormente para saltar etapas, tornando o processo mais rápido e fácil, especialmente para compradores em dispositivos móveis. Os principais recursos incluem:</p>
<ul><li><span>Botão ""Compra instantânea"" configurável para fazer pedidos.</span></li>
<li><span>Suporte para todas as soluções de pagamento usando o Braintree Vault, incluindo o Braintree Credit Card, o Braintree PayPal e o PayPal Payflow Pro.</span></li>
<li><span>Envio para o endereço padrão do cliente usando o método de envio mais barato e disponível.</span></li><li> <span>Capacidade de os desenvolvedores personalizarem a lógica comercial de compra instantânea para atender às necessidades dos comerciantes.</span></li></ul>                        "
"Email Marketing Automation","Automação de E-mail Marketing"
"
                        <p>Unlock an unparalleled level of insight and control of your eCommerce marketing with
                        dotmailer Email Marketing Automation. Included with Magento 2.2.2 for easy set-up, dotmailer
                        ensures every customer’s journey is captured, segmented, and personalized, enabling you to
                        deliver customer-centric campaigns that beat your results over and over again. Benefits include:
                        </p>
                        <ul>
                        <li><span>No obligation 14-day trial.</span></li>
                        <li><span>Automation campaigns using your live Magento store data that drive revenue,
                        including abandoned cart, abandoned browse, product replenishment, and many more.</span></li>
                        <li><span>Built-in solution for transactional emails.</span></li>
                        <li><span>Telephone support and advice from marketing experts included.</span></li>
                        </ul>
                        ","
<p>Desbloqueie um nível incomparável de percepção e controle do seu marketing de comércio eletrônico com o dotmailer Email Marketing Automation. Incluído no Magento 2.2.2 para fácil configuração, o dotmailer garante que percurso de cada cliente seja capturada, segmentada e personalizada, permitindo que você ofereça campanhas centradas no cliente que melhoram os seus resultados repetidas vezes. Os benefícios incluem:</p>
<ul><li><span>Sem compromisso por 14 dias.</span></li>
<li><span>Campanhas de automação que usam seus dados da loja do Magento em temo real que geram receita, incluindo carrinho abandonado, navegação abandonada, reposiçãoo de produtos e muito mais.</span></li>
<li><span>Solução integrada para emails transacionais.</span> </li>
<li><span>Suporte telefonico e aconselhamento de especialistas em marketing incluídos.</span></li></ul>                        "
"Sorry, we had a problem loading our “What’s new” content.","Desculpe, tivemos um problema ao carregar o conteúdo ""O que há de novo""."
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>Tentaremos mostrar isto novamente da próxima vez que você entrar no Magento Admin.</p>
                        <p>Para aprender mais sobre novos recursos, veja nossas últimas notas de lançamento em
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">Informações de lançamento do DevDocs</a>.
                        </p>"
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>"
