"It is impossible to log user action","Het is onmogelijk om de gebruikersactie te loggen"
"What's new with Magento 2.2.2","Wat is nieuw in Magento 2.2.2"
"
                        <p>Magento 2.2.2 offers advanced new features, including:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Advanced Reporting</h3>
                        <p>Gain valuable insights through a dynamic suite of product, order, and customer reports,
                        powered by Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Instant Purchase</h3>
                        <p>Simplify ordering and boost conversion rates by allowing your customers to use stored
                        payment and shipping information to skip tedious checkout steps.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Send smarter, faster email campaigns with marketing automation from dotmailer, powered by
                        your Magento store's live data.</p>
                        </div>
                        <p>Release notes and additional details can be found at
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        ","
<p> Magento 2.2.2 biedt geavanceerde nieuwe functies, waaronder: </p>
                        <br />
                        <div class = ""analytics-highlight"">
                        <h3> Geavanceerde rapportage </h3>
                        <p> Krijg waardevolle inzichten door een dynamisch pakket product-, order- en klantrapporten,
                        mogelijk gemaakt door Magento Business Intelligence. </p>
                        </div>
                        <div class = ""instant-purchase-highlight"">
                        <h3> Directe aankoop </h3>
                        <p> Vereenvoudig de bestelling en verhoog de succespercentages door uw klanten de mogelijkheid te bieden opgeslagen te gebruiken
                        betalings- en verzendinformatie om vervelende uitcheckstappen over te slaan. </p>
                        </div>
                        <div class = ""email-marketing-highlight"">
                        <h3> Automatisering van e-mailmarketing </h3>
                        <p> Verzend slimmere, snellere e-mailcampagnes met marketingautomatisering van dotmailer, mogelijk gemaakt door
                        de live gegevens van je Magento-winkel. </p>
                        </div>
                        <p> Release-opmerkingen en aanvullende informatie zijn te vinden op
                        <a href=""http://devdocs.magento.com/"" target=""_blank""> Magento DevDocs </a>.
                        </p>                        "
"Advanced Reporting","Geavanceerde rapportage"
"<p>Advanced Reporting
                        provides you with a dynamic suite of reports with rich insights about the health of your
                        business.</p><br /><p>As part of the Advanced Reporting service, we may also use your customer
                        data for such purposes as benchmarking, improving our products and services, and providing you
                        with new and improved analytics.</p><br /><p>By using Magento 2.2.2, you agree to the Advanced
                        Reporting <a href=""https://magento.com/legal/terms/privacy"" target=""_blank"">Privacy Policy</a>
                        and <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank"">Terms
                        of Service</a>. You may opt out at any time from the Stores Configuration page.</p>
                        ","<p> Geavanceerde rapportage
                         biedt u een dynamisch pakket rapporten met rijke inzichten over de gezondheid van uw
                         business. </p> <br /> <p> Als onderdeel van de Advanced Reporting-service kunnen we ook uw klant gebruiken
                         gegevens voor doeleinden zoals benchmarking, het verbeteren van onze producten en diensten en het bieden van u
                         met nieuwe en verbeterde analyses. </p> <br /> <p> Door Magento 2.2.2 te gebruiken, gaat u akkoord met de Advanced
                         Rapportage <a href=""https://magento.com/legal/terms/privacy"" target=""_blank""> Privacybeleid </a>
                         en <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank""> Voorwaarden
                         van de dienst </a>. U kunt zich op elk gewenst moment afmelden op de pagina Winkelconfiguratie. </p>                        "
"Instant Purchase","Directe aankoop"
"
                        <p>Now you can deliver an Amazon-like experience with a new, streamlined checkout option.
                        Logged-in customers can use previously-stored payment credentials and shipping information
                        to skip steps, making the process faster and easier, especially for mobile shoppers. Key
                        features include:
                        </p>
                        <ul>
                        <li><span>Configurable “Instant Purchase” button to place orders.</span></li>
                        <li><span>Support for all payment solutions using Braintree Vault, including Braintree Credit
                        Card, Braintree PayPal, and PayPal Payflow Pro.</span></li>
                        <li><span>Shipping to the customer’s default address using the lowest cost, available shipping
                        method.</span></li>
                        <li><span>Ability for developers to customize the Instant Purchase business logic to meet
                        merchant needs.</span></li>
                        </ul>
                        ","
<p> Nu kunt u een Amazon-achtige ervaring leveren met een nieuwe, gestroomlijnde betalingsoptie.
                        Ingelogde klanten kunnen eerder opgeslagen betalingsreferenties en verzendinformatie gebruiken
                        om stappen over te slaan, het proces sneller en gemakkelijker te maken, vooral voor mobiele shoppers. Sleutel
                        functies omvatten:
                        </p>
                        <ul>
                        <li> <span> Configureerbare knop ""Instant Purchase"" om bestellingen te plaatsen. </span> </li>
                        <li> <span> Ondersteuning voor alle betaaloplossingen met Braintree Vault, inclusief Braintree-tegoed
                        Card, Braintree PayPal en PayPal Payflow Pro. </span> </li>
                        <li> <span> Verzenden naar het standaardadres van de klant met de laagste kosten, beschikbare verzendkosten
                        Werkwijze. </span> </li>
                        <li> <span> Mogelijkheid voor ontwikkelaars om de instantlogica aan te passen om tegemoet te komen
                        behoeften van verkopers. </span> </li>
                        </ul>                        "
"Email Marketing Automation","Automatisering van e-mailmarketing "
"
                        <p>Unlock an unparalleled level of insight and control of your eCommerce marketing with
                        dotmailer Email Marketing Automation. Included with Magento 2.2.2 for easy set-up, dotmailer
                        ensures every customer’s journey is captured, segmented, and personalized, enabling you to
                        deliver customer-centric campaigns that beat your results over and over again. Benefits include:
                        </p>
                        <ul>
                        <li><span>No obligation 14-day trial.</span></li>
                        <li><span>Automation campaigns using your live Magento store data that drive revenue,
                        including abandoned cart, abandoned browse, product replenishment, and many more.</span></li>
                        <li><span>Built-in solution for transactional emails.</span></li>
                        <li><span>Telephone support and advice from marketing experts included.</span></li>
                        </ul>
                        ","
<p> Ontgrendel een ongeëvenaard niveau van inzicht en controle over uw eCommerce-marketing met
                        dotmailer E-mailmarketingautomatisering. Inbegrepen bij Magento 2.2.2 voor eenvoudige installatie, dotmailer
                        zorgt ervoor dat de reis van elke klant wordt vastgelegd, gesegmenteerd en gepersonaliseerd, waardoor u dit kunt doen
                        lever klantgerichte campagnes die uw resultaten keer op keer verslaan. Voordelen zijn onder andere:
                        </p>
                        <ul>
                        <li> <span> Geen proef 14 dagen op proef. </span> </li>
                        <li> <span> Automatiseringscampagnes met uw live Magento-winkelgegevens die inkomsten genereren,
                        inclusief verlaten winkelwagentje, verlaten bladeren, productaanvulling en nog veel meer. </span> </li>
                        <li> <span> Ingebouwde oplossing voor transactionele e-mails. </span> </li>
                        <li> <span> Telefonische ondersteuning en advies van marketingexperts inbegrepen. </span> </li>
                        </ul>                        "
"Sorry, we had a problem loading our “What’s new” content.","Sorry, we hadden een probleem bij het laden van onze “Wat is nieuw” inhoud."
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>"
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                         <p>We zullen proberen het opnieuw te tonen wanneer u zich de volgende keer aanmeldt als Magento Admin.</p>
                         <p>Bekijk onze nieuwste release-opmerkingen voor meer informatie over nieuwe functies
                         <a href=""http://devdocs.magento.com/magento-release-information.html""
                         target=""_ blank"">DevDocs release-informatie</a>.
                         </p>"
