"It is impossible to log user action","Rejestrowanie działań użytkownika jest niemożliwe"
"
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> combines sophisticated software with an exceptional team of tax experts to help Magento merchants simplify the sales tax process, and comply with ever-changing tax laws. Merchants can easily access and configure Vertex Cloud from the Magento Admin to meet complex tax challenges.</p>
                        <ul>
                        <li><span>Seamless integration with award-winning support for simple-to-complex tax needs.</span></li>
                        <li><span>Automatically comply with the latest tax rules for each product and every jurisdiction.</span></li>
                        <li><span>Perform tax calculations and generate signature-ready PDF returns in one solution.</span></li>
                        <li><span>No penalty to merchants for tax estimates from abandoned carts.</span></li>
                        <li><span>Flexible deployment options fit the needs of your organization in the cloud, or on premises.</span></li>
                        </ul>
                        ","
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> łączy zaawansowane oprogramowanie z wyjątkowym zespołem ekspertów podatkowych, aby pomóc sprzedawcom Magento uprościć proces podatku od sprzedaży i zachować zgodność z ciągle zmieniającymi się przepisami podatkowymi. Sprzedawcy mogą łatwo uzyskać dostęp i skonfigurować Vertex Cloud z poziomu administratora Magento, aby sprostać złożonym wyzwaniom podatkowym.
                        <ul>
                        <li><span>Bezproblemowa integracja z wielokrotnie nagradzanym wsparciem dla prostych i złożonych potrzeb podatkowych.</span></li>
                        <li><span>Automatyczna zgodność z najnowszymi przepisami podatkowymi dla każdego produktu i każdej jurysdykcji.</span></li>
                        <li><span>Wykonywanie obliczeń podatkowych i generowanie gotowych do podpisu deklaracji PDF w jednym rozwiązaniu.</span></li>
                        <li><span>Brak kar dla sprzedawców za szacunki podatkowe z porzuconych koszyków.</span></li>
                        <li><span>Elastyczne opcje wdrożenia dopasowane do potrzeb organizacji w chmurze lub lokalnie.</span></li>
                        </ul>
                        "
"What's new with Magento 2.2.2","Co nowego w Magento 2.2.2"
"
                        <p>Magento 2.2.2 offers advanced new features, including:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Advanced Reporting</h3>
                        <p>Gain valuable insights through a dynamic suite of product, order, and customer reports,
                        powered by Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Instant Purchase</h3>
                        <p>Simplify ordering and boost conversion rates by allowing your customers to use stored
                        payment and shipping information to skip tedious checkout steps.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Send smarter, faster email campaigns with marketing automation from dotmailer, powered by
                        your Magento store's live data.</p>
                        </div>
                        <p>Release notes and additional details can be found at
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        ","
                        <p>Magento 2.2.2 oferuje nowe zaawansowane funkcje, w tym:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Zaawansowane raportowanie</h3>
                        <p>Zdobądź cenne informacje dzięki dynamicznemu zestawowi raportów dotyczących produktów, zamówień i klientów,
                        obsługiwanych przez Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Zakup natychmiastowy</h3>
                        <p>Uprość składanie zamówień i zwiększ współczynniki konwersji, umożliwiając klientom korzystanie z zapisanych informacji o
                        płatności i informacji o wysyłce, aby pominąć żmudne kroki przy kasie.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Wysyłaj inteligentniejsze, szybsze kampanie e-mailowe dzięki automatyzacji marketingu od dotmailer, zasilanej przez
                        dane na żywo ze sklepu Magento.</p>
                        </div>
                        <p>Informacje o wydaniu i dodatkowe szczegóły można znaleźć na stronie
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        "
"Advanced Reporting","Zaawansowane raportowanie"
"<p>Advanced Reporting
                        provides you with a dynamic suite of reports with rich insights about the health of your
                        business.</p><br /><p>As part of the Advanced Reporting service, we may also use your customer
                        data for such purposes as benchmarking, improving our products and services, and providing you
                        with new and improved analytics.</p><br /><p>By using Magento 2.2.2, you agree to the Advanced
                        Reporting <a href=""https://magento.com/legal/terms/privacy"" target=""_blank"">Privacy Policy</a>
                        and <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank"">Terms
                        of Service</a>. You may opt out at any time from the Stores Configuration page.</p>
                        ","<p>Zaawansowane raportowanie
                        zapewnia dynamiczny zestaw raportów z bogatym wglądem w kondycję Twojej firmy.
                        biznesu.</p><br /><p>W ramach usługi Advanced Reporting możemy również wykorzystywać dane klientów do takich celów, jak analiza porównawcza
                        dane klientów do takich celów, jak analiza porównawcza, ulepszanie naszych produktów i usług oraz dostarczanie nowych i ulepszonych analiz.
                        nowych i ulepszonych usług analitycznych.</p><br /><p>Korzystając z Magento 2.2.2, wyrażasz zgodę na zaawansowane raportowanie.
                        Reporting <a href=""https://magento.com/legal/terms/privacy"" target=""_blank"">Politykę prywatności</a>.
                        i <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank"">Terms
                        świadczenia usług</a>. Możesz zrezygnować w dowolnym momencie na stronie konfiguracji sklepów.</p>
                        "
"Instant Purchase","Natychmiastowy zakup"
"
                        <p>Now you can deliver an Amazon-like experience with a new, streamlined checkout option.
                        Logged-in customers can use previously-stored payment credentials and shipping information
                        to skip steps, making the process faster and easier, especially for mobile shoppers. Key
                        features include:
                        </p>
                        <ul>
                        <li><span>Configurable “Instant Purchase” button to place orders.</span></li>
                        <li><span>Support for all payment solutions using Braintree Vault, including Braintree Credit
                        Card, Braintree PayPal, and PayPal Payflow Pro.</span></li>
                        <li><span>Shipping to the customer’s default address using the lowest cost, available shipping
                        method.</span></li>
                        <li><span>Ability for developers to customize the Instant Purchase business logic to meet
                        merchant needs.</span></li>
                        </ul>
                        ","
                        <p>Teraz możesz dostarczyć doświadczenie podobne do Amazon dzięki nowej, usprawnionej opcji płatności.
                        Zalogowani klienci mogą korzystać z wcześniej zapisanych danych uwierzytelniających płatności i informacji o wysyłce.
                        aby pominąć kolejne kroki, dzięki czemu proces jest szybszy i łatwiejszy, szczególnie dla kupujących mobilnie. Kluczowe
                        funkcje obejmują:
                        </p>
                        <ul>
                        <li><span>Konfigurowalny przycisk ""Natychmiastowy zakup"" do składania zamówień.</span></li>
                        <li><span>Wsparcie dla wszystkich rozwiązań płatniczych korzystających z Braintree Vault, w tym Braintree Credit Card, Braintree PayPal i PayPal Payflow Pro.</span></li>.
                        kartą kredytową, Braintree PayPal i PayPal Payflow Pro.</span></li>
                        <li><span>Wysyłka na domyślny adres klienta przy użyciu najtańszej dostępnej metody wysyłki.
                        metody wysyłki.</span></li>
                        <li><span>Możliwość dostosowania logiki biznesowej Instant Purchase do potrzeb handlowców.</span></li>.
                        potrzeb sprzedawcy.</span></li>
                        </ul>
                        "
"Email Marketing Automation","Automatyzacja marketingu e-mailowego"
"
                        <p>Unlock an unparalleled level of insight and control of your eCommerce marketing with
                        dotmailer Email Marketing Automation. Included with Magento 2.2.2 for easy set-up, dotmailer
                        ensures every customer’s journey is captured, segmented, and personalized, enabling you to
                        deliver customer-centric campaigns that beat your results over and over again. Benefits include:
                        </p>
                        <ul>
                        <li><span>No obligation 14-day trial.</span></li>
                        <li><span>Automation campaigns using your live Magento store data that drive revenue,
                        including abandoned cart, abandoned browse, product replenishment, and many more.</span></li>
                        <li><span>Built-in solution for transactional emails.</span></li>
                        <li><span>Telephone support and advice from marketing experts included.</span></li>
                        </ul>
                        ","
                        <p>Odblokuj niezrównany poziom wglądu i kontroli nad marketingiem eCommerce dzięki
                        dotmailer Email Marketing Automation. Dołączony do Magento 2.2.2 w celu łatwej konfiguracji, dotmailer
                        zapewnia, że każda podróż klienta jest przechwytywana, segmentowana i spersonalizowana, umożliwiając
                        dostarczanie kampanii zorientowanych na klienta, które wielokrotnie przewyższają Twoje wyniki. Korzyści obejmują:
                        </p>
                        <ul>
                        <li><span>Bez zobowiązań 14-dniowy okres próbny.</span></li>
                        <li><span>Kampanie automatyzacji wykorzystujące dane sklepu Magento na żywo, które zwiększają przychody,
                        w tym porzucony koszyk, porzucone przeglądanie, uzupełnienie produktu i wiele innych.</span></li>
                        <li><span>Wbudowane rozwiązanie dla transakcyjnych wiadomości e-mail.</span></li>
                        <li><span>Dołączone wsparcie telefoniczne i porady ekspertów ds. marketingu.</span></li>
                        </ul>
                        "
"Sorry, we had a problem loading our “What’s new” content.","Przepraszamy, wystąpił problem z załadowaniem zawartości ""Co nowego""."
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>Postaramy się pokazać go ponownie przy następnym logowaniu do Magento Admin.</p>
                        <p>Aby dowiedzieć się więcej o nowych funkcjach, zapoznaj się z naszymi najnowszymi informacjami o wersji w
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">Informacje o wydaniu DevDocs</a>.
                        </p>"
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>Postaramy się pokazać go ponownie przy następnym logowaniu do Magento Admin.</p>
                        <p>Aby dowiedzieć się więcej o nowych funkcjach, zapoznaj się z naszymi najnowszymi informacjami o wersji w
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">Informacje o wydaniu DevDocs</a>.
                        </p>"
