"It is impossible to log user action","Il est impossible de consigner l'action de l'utilisateur"
"
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> combines sophisticated software with an exceptional team of tax experts to help Magento merchants simplify the sales tax process, and comply with ever-changing tax laws. Merchants can easily access and configure Vertex Cloud from the Magento Admin to meet complex tax challenges.</p>
                        <ul>
                        <li><span>Seamless integration with award-winning support for simple-to-complex tax needs.</span></li>
                        <li><span>Automatically comply with the latest tax rules for each product and every jurisdiction.</span></li>
                        <li><span>Perform tax calculations and generate signature-ready PDF returns in one solution.</span></li>
                        <li><span>No penalty to merchants for tax estimates from abandoned carts.</span></li>
                        <li><span>Flexible deployment options fit the needs of your organization in the cloud, or on premises.</span></li>
                        </ul>
                        ","
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> combine des logiciels sophistiqués avec une équipe d'experts fiscaux exceptionnelle pour aider les commerçants Magento à simplifier le processus de taxe de vente et à respecter les lois fiscales en constante évolution. Les marchands peuvent facilement accéder et configurer Vertex Cloud depuis l'Admin Magento pour relever des défis fiscaux complexes.</p>
                        <ul>
                        <li><span>Intégration sans limite avec un soutien primé pour des besoins fiscaux simples à complexes.</span></li>
                        <li><span>se conformer automatiquement aux dernières règles fiscales pour chaque produit et chaque juridiction.</span></li>
                        <li><span>Effectuez des calculs de taxe et génèrez des retours PDF prêts à la signature dans une solution.</span></li>
                        <li><span>Aucune pénalité aux marchands pour les estimations fiscales des carts abandonnés.</span></li>
                        <li><span>Les options de déploiement flexibles répondent aux besoins de votre organisation dans le cloud, ou sur place.</span></li>
                        </ul>
                        "
"What's new with Magento 2.2.2","Quoi de neuf dans Magento 2.2.2"
"
                        <p>Magento 2.2.2 offers advanced new features, including:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Advanced Reporting</h3>
                        <p>Gain valuable insights through a dynamic suite of product, order, and customer reports,
                        powered by Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Instant Purchase</h3>
                        <p>Simplify ordering and boost conversion rates by allowing your customers to use stored
                        payment and shipping information to skip tedious checkout steps.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Send smarter, faster email campaigns with marketing automation from dotmailer, powered by
                        your Magento store's live data.</p>
                        </div>
                        <p>Release notes and additional details can be found at
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        ","
                        <p>Magento 2.2.2 offers advanced new features, including:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Advanced Reporting</h3>
                        <p>Gain valuable insights through a dynamic suite of product, order, and customer reports,
                        powered by Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Instant Purchase</h3>
                        <p>Simplify ordering and boost conversion rates by allowing your customers to use stored
                        payment and shipping information to skip tedious checkout steps.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Send smarter, faster email campaigns with marketing automation from dotmailer, powered by
                        your Magento store's live data.</p>
                        </div>
                        <p>Release notes and additional details can be found at
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        "
"Advanced Reporting","Reporting avancé"
"<p>Advanced Reporting
                        provides you with a dynamic suite of reports with rich insights about the health of your
                        business.</p><br /><p>As part of the Advanced Reporting service, we may also use your customer
                        data for such purposes as benchmarking, improving our products and services, and providing you
                        with new and improved analytics.</p><br /><p>By using Magento 2.2.2, you agree to the Advanced
                        Reporting <a href=""https://magento.com/legal/terms/privacy"" target=""_blank"">Privacy Policy</a>
                        and <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank"">Terms
                        of Service</a>. You may opt out at any time from the Stores Configuration page.</p>
                        ","<p>Rapport avancé
                        vous fournit une suite dynamique de rapports avec des connaissances riches sur la santé de votre entreprise
</p><br /><p>Dans le cadre du service de rapports avancés, nous pouvons également utiliser vos données client
                        à des fins telles que le benchmarking, l'amélioration de nos produits et services, et vous fournir
                        avec des analyses nouvelles et améliorées.</p><br /><p>En utilisant Magento 2.2.2, vous acceptez le Avancé
                        Signaler <a href=""https://magento.com/legal/terms/privacy"" target=""_blank"">Politique de confidentialité</a>
                        et <a href=""https://magento.com/legal/terms/cloud-terms"" target=""_blank"">Termes
                        de Service</a>. Vous pouvez vous retirer à tout moment de la page de configuration des magasins.</p>
                        "
"Instant Purchase","Achat instantané"
"
                        <p>Now you can deliver an Amazon-like experience with a new, streamlined checkout option.
                        Logged-in customers can use previously-stored payment credentials and shipping information
                        to skip steps, making the process faster and easier, especially for mobile shoppers. Key
                        features include:
                        </p>
                        <ul>
                        <li><span>Configurable “Instant Purchase” button to place orders.</span></li>
                        <li><span>Support for all payment solutions using Braintree Vault, including Braintree Credit
                        Card, Braintree PayPal, and PayPal Payflow Pro.</span></li>
                        <li><span>Shipping to the customer’s default address using the lowest cost, available shipping
                        method.</span></li>
                        <li><span>Ability for developers to customize the Instant Purchase business logic to meet
                        merchant needs.</span></li>
                        </ul>
                        ","
                        <p>Vous pouvez maintenant livrer une expérience similaire à Amazon avec une nouvelle option de paiement simplifiée.
                        Les clients connectés peuvent utiliser des identifiants de paiement précédemment stockés et des informations d'expédition
                        pour passer des étapes, ce qui rend le processus plus rapide et plus facile, en particulier pour les acheteurs mobiles. La clé
                        inclut :
                        </p>
                        <ul>
                        <li><span>Bouton ""Achat instantané"" configurable pour passer des commandes.</span></li>
                        <li><span>Support pour toutes les solutions de paiement utilisant Braintree Vault, y compris Braintree Credit
                        Card, Braintree PayPal, et PayPal Payflow Pro.</span></li>
                        <li><span>Expédition à l'adresse par défaut du client en utilisant le coût le plus bas, la méthode d'expédition disponible
                        .</span></li>
                        <li><span>Possibilité pour les développeurs de personnaliser la logique commerciale d'achat instantané pour répondre aux besoins des marchands
</span></li>
                        </ul>
                        "
"Email Marketing Automation","Email marketing automatique"
"
                        <p>Unlock an unparalleled level of insight and control of your eCommerce marketing with
                        dotmailer Email Marketing Automation. Included with Magento 2.2.2 for easy set-up, dotmailer
                        ensures every customer’s journey is captured, segmented, and personalized, enabling you to
                        deliver customer-centric campaigns that beat your results over and over again. Benefits include:
                        </p>
                        <ul>
                        <li><span>No obligation 14-day trial.</span></li>
                        <li><span>Automation campaigns using your live Magento store data that drive revenue,
                        including abandoned cart, abandoned browse, product replenishment, and many more.</span></li>
                        <li><span>Built-in solution for transactional emails.</span></li>
                        <li><span>Telephone support and advice from marketing experts included.</span></li>
                        </ul>
                        ","
                        <p>Unlock an unparalleled level of insight and control of your eCommerce marketing with
                        dotmailer Email Marketing Automation. Included with Magento 2.2.2 for easy set-up, dotmailer
                        ensures every customer’s journey is captured, segmented, and personalized, enabling you to
                        deliver customer-centric campaigns that beat your results over and over again. Benefits include:
                        </p>
                        <ul>
                        <li><span>No obligation 14-day trial.</span></li>
                        <li><span>Automation campaigns using your live Magento store data that drive revenue,
                        including abandoned cart, abandoned browse, product replenishment, and many more.</span></li>
                        <li><span>Built-in solution for transactional emails.</span></li>
                        <li><span>Telephone support and advice from marketing experts included.</span></li>
                        </ul>
                        "
"Sorry, we had a problem loading our “What’s new” content.","Désolé, nous avons eu un problème lors du chargement de notre contenu « Quoi de neuf »."
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>Nous allons essayer de le montrer à nouveau la prochaine fois que vous vous connectez à Magento Admin.</p>
                        <p>Pour en savoir plus sur les nouvelles fonctionnalités, voir nos dernières notes de publication dans
                        <a href=""http://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>"
"
                        <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
                        <p>To learn more about new features, see our latest Release Notes in
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>","
                        <p>Nous allons essayer de le montrer à nouveau la prochaine fois que vous vous connectez à Magento Admin.</p>
                        <p>Pour en savoir plus sur les nouvelles fonctionnalités, voir nos dernières notes de publication dans
                        <a href=""https://devdocs.magento.com/magento-release-information.html""
                        target=""_blank"">DevDocs' Release Information</a>.
                        </p>"
