"Credit Memos","Reembolsos"
"Shipping Address","Dirección de envío"
"Shipping Method","Método de envío"
"Update Changes","Actualizar los cambios"
"Shopping Cart","Cesta"
"Are you sure you want to delete all items from shopping cart?","¿Realmente quiere eliminar todos los artículos del carrito de compras?"
"Clear Shopping Cart","Vaciar el carrito"
"Products in Comparison List","Artículos en la lista de comparación"
"Recently Compared Products","Productos recientemente comparados"
"Recently Viewed Products","Artículos vistos recientemente"
"Last Ordered Items","Últimos artículos pedidos"
"Recently Viewed","Vistos recientemente"
"Wish List","Lista de deseos"
"Please select a store","Por favor, seleccione una tienda"
"Order Totals","Total del pedido"
"Shipping Incl. Tax (%1)","Envío incluido impuestos (%1)"
"Shipping Excl. Tax (%1)","Envío no incluido impuestos (%1)"
"New Credit Memo for Invoice #%1","Factura rectificada para la factura nº %1"
"New Credit Memo for Order #%1","Factura rectificada para el pedido nº %1"
"Refund Shipping (Incl. Tax)","Reembolso del envío (impuestos incl.)"
"Refund Shipping (Excl. Tax)","Reembolso del envío (impuestos no incl.)"
"Refund Shipping","Reembolso del envío"
"Update Qty's","Actualizar cantidad/es"
"Update Totals","Actualizar Totales"
"Refund","Reembolso"
"Refund Offline","Reembolso fuera de línea"
"Paid Amount","Cantidad pagada"
"Refund Amount","Importe reembolsado"
"Shipping Amount","Importe del envío"
"Shipping Refund","Reembolso del envío"
"Order Grand Total","Gran Total del pedido"
"Adjustment Refund","Reembolso de una corrección"
"Adjustment Fee","Recargo de una corrección"
"Send Email","Envíar correo electrónico"
"Are you sure you want to send a credit memo email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de reembolso?"
"Void","Nulo"
"Print","Imprimir"
"The credit memo email was sent.","El correo electrónico de la factura rectivicada ha sido enviada."
"The credit memo email wasn't sent.","El correo electrónico de la factura rectivicada no ha sido enviada."
"Credit Memo #%1 | %3 | %2 (%4)","Factura rectificada nº %1 | %3 | %2 (%4)"
"Total Refund","Reembolso total"
"New Invoice and Shipment for Order #%1","Factura y envío para el pedido nº %1"
"New Invoice for Order #%1","Factura para el pedido nº %1"
"Submit Invoice and Shipment","Enviar factura y envío"
"Submit Invoice","Enviar factura"
"Are you sure you want to send an invoice email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de factura?"
"Credit Memo","Reembolso"
"Capture","Captura"
"The invoice email was sent.","El correo electrónico de la factura fue enviado."
"The invoice email wasn't sent.","El correo electrónico de la factura no fue enviado."
"Invoice #%1 | %2 | %4 (%3)","Factura nº %1 | %2 | %4 (%3)"
"Invalid parent block for this block","Ungültiger Elternblock für diesen Block."
"Order Statuses","Estado y estatus de los pedidos"
"Create New Status","Nuevo estado"
"Assign Status to State","Asignar un estado al estado"
"Save Status Assignment","Guardar la asignación del estado"
"Assign Order Status to State","Asignar un estado al estado de pedido"
"Assignment Information","Información de la asignación"
"Order Status","Estado de pedido"
"Order State","Estado del pedido"
"Use Order Status As Default","Usar estatus de pedido por defecto"
"Visible On Storefront","Visible en tienda"
"Edit Order Status","Editar estado de pedido"
"Save Status","Guardar estado"
"New Order Status","Nuevo estado del pedido"
"Order Status Information","Información sobre el estatus del pedido"
"Status Code","Estado Código"
"Status Label","Etiqueta de Estado"
"Store View Specific Labels","Etiquetas específicas de la vista de tienda"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Total Due","Total debido"
"Edit","Editar"
"Are you sure you want to send an order email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de pedido?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Esto creará un reembolso sin conexión. ' ' Para crear un reembolso en línea, abrir una factura y crear abono para él. ¿Desea continuar?"
"Are you sure you want to void the payment?","¿Realmente quiere anular el pago?"
"Hold","Reservar"
"hold","Retener"
"Unhold","Reactivar"
"unhold","Reactivar"
"Are you sure you want to accept this payment?","¿Realmente quiere aceptar este pago?"
"Accept Payment","Aceptar el pago"
"Are you sure you want to deny this payment?","¿Realmente quiere rechazar este pago?"
"Deny Payment","Denegar el pago"
"Get Payment Update","Recibir la actualización de pago"
"Invoice and Ship","Factura y albarán"
"Invoice","Factura"
"Ship","Enviar"
"Reorder","Volver a hacer el pedido"
"Order # %1 %2 | %3","Pedido nº %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Este pedido contiene (%s) artículos y por tanto no puede editarse mediante la interfaz de administración en este momento. Si deseas continuar, los (%s) artículos se eliminarán, el pedido se cancelará y se creará un nuevo pedido."
"Are you sure? This order will be canceled and a new one will be created instead.","¿Está seguro? Este pedido será cancelado y uno nuevo será creado en su lugar."
"Save Gift Message","Guardar mensaje de regalo"
" [deleted]"," [deleted]"
"Order Credit Memos","Pedido - Facturas rectificadas"
"Credit memo #%1 created","Factura rectificada nº %1 creada"
"Credit memo #%1 comment added","Comentario agregado a la reembolso nº %1"
"Shipment #%1 created","Albarán nº %1 creado"
"Shipment #%1 comment added","Comentario agregado al albarán nº %1"
"Invoice #%1 created","Factura nº %1 creada"
"Invoice #%1 comment added","Comentario agregado a la factura nº %1"
"Tracking number %1 for %2 assigned","Número de seguimento nº %1 para %2 asignados"
"Comments History","Historial de comentarios"
"Order History","Historial de pedidos"
"Information","Información"
"Order Information","Historial de información"
"Order Invoices","Historial de facturas"
"Shipments","Envíos"
"Order Shipments","Albaranes de pedidos"
"Transactions","Transacciones"
"Order View","Ver el pedido"
"Any","Cualquiera"
"Specified","Especificado"
"Applies to Any of the Specified Order Statuses except canceled orders","Se aplica a cualquiera de los Estados orden especificado excepto pedidos cancelados"
"Cart Price Rule","Regla de precio para el carrito de compras"
"Yes","Sí"
"No","No 	"
"Show Actual Values","Mostrar valores actuales"
"New Order RSS","RSS para nuevos pedidos"
"Subtotal","Subtotal"
"Shipping & Handling","Cargos por manejos y envío"
"Discount (%1)","Descuento (%1)"
"Discount","Descuento"
"Grand Total","Total general"
"Back","Atrás"
"Fetch","Optener"
"Transaction # %1 | %2","Transación # %1 | %2"
"N/A","N/D"
"Key","Clave"
"Value","Valor"
"We found an invalid entity model.","Encontramos un modelo de entidad no válida."
"Order # %1","Pedido Nº %1"
"Back to My Orders","Volver a mis pedidos"
"View Another Order","Ver otro pedido"
"About Your Refund","Acerca de su devolución"
"My Orders","Mis pedidos"
"Subscribe to Order Status","Suscribirse al estado del pedido"
"About Your Invoice","Acerca de su factura"
"Print Order # %1","Imprimir el pedido nº %1"
"Grand Total to be Charged","Importe total a cobrar"
"Unassign","Sin asignar"
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a su carrito de compras ahora mismo."
"You sent the message.","Usted envió el mensaje."
"Sales","Ventas"
"Invoice capturing error","Error al capturar la factura"
"This order no longer exists.","Es pedido ya no existe."
"Please enter a comment.","Por favor, escribe un comentario."
"We cannot add order history.","No podemos agregar historial de pedido."
"You updated the order address.","Ha actualizado la dirección de la orden."
"We can't update the order address right now.","No podemos actualizar la dirección del pedido en estos momentos."
"You have not canceled the item.","No ha cancelado el artículo."
"You canceled the order.","Ha cancelado el pedido."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","El código de cupón ""%1"" no se aplicó. No aplicar descuento es seleccionado para los artículos"
"""%1"" coupon code is not valid.","El código de cupón ""%1"" no es válido."
"The coupon code has been accepted.","El código del cupón se ha aceptado"
"Quote item id is not received.","No se recibió la id de la cita del artículo."
"Quote item is not loaded.","No se cargó la cita del artículo."
"New Order","Nuevo pedido"
"You created the order.","Creó el pedido."
"Order saving error: %1","Error al almacenar la orden: %1"
"Cannot add new comment.","No se puede agregar un nuevo comentario."
"The credit memo has been canceled.","La reembolso ha sido cancelada."
"Credit memo has not been canceled.","La reembolso no ha sido cancelada."
"New Memo for #%1","Nuevo memorándum para nº %1"
"New Memo","Nuevo memorándum"
"The credit memo's total must be positive.","El total de las reembolsos debe ser positivo."
"Cannot create online refund for Refund to Store Credit.","No se puede crear el reembolso en línea de devolución al almacén de crédito."
"You created the credit memo.","Ha creado la reembolso."
"We can't save the credit memo right now.","No podemos guardar la reembolso ahora mismo."
"We can't update the item's quantity right now.","No podemos actualizar la cantidad de artículos en estos momentos."
"View Memo for #%1","Ver memorándum para nº %1"
"View Memo","Ver memorándum"
"You voided the credit memo.","Se anula la reembolso."
"We can't void the credit memo.","No podemos anular la reembolso."
"The order no longer exists.","Este pedido ya no existe."
"We can't create credit memo for the order.","No podemos crear una reembolso para este pedido."
"Edit Order","Editar pedido"
"You sent the order email.","Envió el correo electrónico de la orden."
"We can't send the email order right now.","No podemos enviar el correo electrónico de pedido en estos momentos."
"You have not put the order on hold.","No ha puesto la orden en espera."
"You put the order on hold.","Poner la orden en espera."
"You canceled the invoice.","Ha cancelado la factura."
"Invoice canceling error","Error al cancelar la factura"
"The invoice has been captured.","La factura ha sido capturada."
"The order does not allow an invoice to be created.","El orden no permite una factura ser creado."
"You can't create an invoice without products.","No se puede crear una factura sin productos."
"New Invoice","Nueva factura"
"We can't save the invoice right now.","No podemos guardar la factura ahora mismo."
"You created the invoice and shipment.","Ha creado factura y albarán."
"The invoice has been created.","La factura ha sido creada."
"We can't send the invoice email right now.","No podemos enviar el correo electrónico de la factura ahora mismo."
"We can't send the shipment right now.","No podemos enviar el albarán ahora mismo."
"Cannot update item quantity.","No se puede actualizar la cantidad de artículos."
"The invoice has been voided.","La factura ha sido anulada."
"Invoice voiding error","Error al anular la factura"
"%1 order(s) cannot be canceled.","No se puede cancelar %1 pedidos."
"You cannot cancel the order(s).","No podemos cancelar este/estos pedido(s)."
"We canceled %1 order(s).","Hemos cancelado %1 orden(es)."
"%1 order(s) were not put on hold.","%1 pedidos no fueron puestos en espera."
"No order(s) were put on hold.","Ningún pedido fue puesto en suspenso."
"You have put %1 order(s) on hold.","Ha puesto %1 pedidos en espera."
"%1 order(s) were not released from on hold status.","%1 los pedidos no eran liberados de en estado de espera."
"No order(s) were released from on hold status.","No hay pedidos fueron lanzados de en estado de espera."
"%1 order(s) have been released from on hold status.","%1 los pedidos han sido liberados de en estado de espera."
"There are no printable documents related to selected orders.","No hay documentos para imprimir relacionados con los pedidos seleccionados."
"The payment has been accepted.","El pago se ha aceptado."
"The payment has been denied.","El pago ha sido denegado."
"Transaction has been approved.","La transacción ha sido aprobada."
"Transaction has been voided/declined.","La operación ha sido declinada."
"There is no update for the transaction.","No existe actualización para la transacción."
"We can't update the payment right now.","No podemos actualizar el pago en este momento."
"You assigned the order status.","Ha asignado el estado del pedido."
"Something went wrong while assigning the order status.","Algo salió mal al asignar el estado del pedido."
"We can't find this order status.","No podemos encontrar este estado de orden."
"Create New Order Status","Nuevo estado de pedido"
"We found another order status with the same order status code.","Nos encontramos con otro estado de la orden con el mismo código de estado de orden."
"You saved the order status.","Guardó el estado del pedido."
"We can't add the order status right now.","No podemos agregar el estado del pedido en este momento."
"You have unassigned the order status.","Ha desasignado el estado del pedido."
"Something went wrong while unassigning the order.","Algo salió mal al cancelar la asignación de la orden."
"Can't unhold order.","No se puede reiniciar la orden."
"You released the order from holding status.","Se publicó la orden del estado."
"The order was not on hold.","La orden no estaba en espera."
"Exception occurred during order load","Se produjo una excepción durante la carga de la orden"
"Something went wrong while saving the gift message.","Algo salió mal al guardar el mensaje de regalo."
"You saved the gift card message.","Ha guardado el mensaje de la tarjeta de regalo."
"The payment has been voided.","El pago ha sido anulado."
"We can't void the payment right now.","No podemos anular el pago ahora mismo."
"Please correct the transaction ID and try again.","Por favor corregir el identificador de transacción y vuelva a intentarlo."
"The transaction details have been updated.","Se han actualizado los detalles de la transacción."
"We can't update the transaction details.","No podemos actualizar los detalles de la transacción."
"Orders and Returns","Pedidos y devoluciones"
"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"You entered incorrect data. Please try again.","Había ingresado datos incorrectos. Por favor, inténtelo de nuevo."
"We can't find this wish list.","No podemos encontrar los favoritos."
"We could not add a product to cart by the ID ""%1"".","No pudimos añadir un producto a la cesta por el ID ""%1""."
"There is an error in one of the option rows.","Hay un error en una de las opciones de las filas."
"Shipping Address: ","Direccion de envio: "
"Billing Address: ","Dirección de facturación: "
"Please specify order items.","Por favor especificar elementos de la orden."
"Please specify a shipping method.","Por favor, especifique un modo de envío."
"Please specify a payment method.","Por favor, especifique un método de pago."
"This payment method is not available.","Este método de pago no está disponible."
"Validation is failed.","La validación ha fallado."
"You did not email your customer. Please check your email settings.","No enviar un mensaje por correo electrónico a su cliente. Por favor, compruebe su configuración de correo electrónico."
"-- Please Select --","--Seleccione--"
"Path ""%1"" is not part of allowed directory ""%2""","Ruta ""%1"" no es parte de directorio permite ""%2"""
"Identifying Fields required","Identificación de campos requeridos"
"Id required","Identificación requerida"
"""Invoice Document Validation Error(s):\n"" .","""Error (es) de validación del documento de factura:\n""."
"Could not save an invoice, see error log for details","No se pudo guardar una factura, vea el registro de errores para más detalles"
"A hold action is not available.","Una acción de retención no está disponible."
"You cannot remove the hold.","No se puede reactivar."
"We cannot cancel this order.","No podemos cancelar este pedido."
"Guest","Visitante"
"Please enter the first name.","Introduzca el nombre."
"Please enter the last name.","Introduzca el apellido."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the phone number.","Por favor, introduzca el número de teléfono."
"Please enter the company.","Por favor ingrese la empresa."
"Please enter the fax number.","Por favor ingrese el número de fax."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter the country.","Por favor, ingrese el país."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Requested entity doesn't exist","Entidad solicitada no existe"
"Could not delete order address","No se puede eliminar la dirección del pedido"
"Could not save order address","No se puede guardar dirección de orden"
"Pending","Pendiente"
"Refunded","Reembolsado."
"Canceled","Cancelado"
"Unknown State","Estado desconocido"
"Could not delete the comment.","No se puede eliminar el comentario."
"Could not save the creditmemo comment.","No se pudo guardar el comentario de nota de crédito."
"We found an invalid quantity to refund item ""%1"".","Encontramos una cantidad válida para devolver el elemento ""%1""."
"The creditmemo contains product item that is not part of the original order.","La nota de crédito contiene un producto que no forma parte del pedido original."
"The quantity to refund must not be greater than the unrefunded quantity.","La cantidad a reembolsar no debe ser mayor que la cantidad no reembolsada."
"Could not delete the credit memo item.","No se pudo eliminar el elemento de la nota de crédito."
"Could not save the credit memo item.","No se pudo guardar el elemento de la nota de crédito."
"Maximum shipping amount allowed to refund is: %1","Importe máximo permitido del envío para reembolsar es: %s"
"Order Id is required for creditmemo document","Id de pedido es requerido para el documento de crédito"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","La nota de crédito contiene un producto SKU ""%1"" que no forma parte del pedido original."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","La cantidad a acreditar no debe ser mayor que la cantidad no financiada para el producto SKU ""%1""."
"You can't create a creditmemo without products.","No puede crear una nota de crédito sin productos."
"The most money available to refund is %1.","La mayor cantidad de dinero disponible para devolución es %1."
"Could not delete credit memo","No se puede eliminar la nota de crédito"
"Could not save credit memo","No se puede guardar la nota de crédito"
"This order already has associated customer account","Esta orden ya tiene asociados cuenta cliente"
"Paid","Pagado"
"We cannot register an existing invoice","No podemos registrar una factura existente"
"Could not delete the invoice comment.","No se pudo eliminar el comentario de la factura."
"Could not save the invoice comment.","No se pudo guardar el comentario de la factura."
"Could not delete the invoice item.","No se pudo eliminar el elemento de la factura."
"Could not save the invoice item.","No se pueden guardar el elemento de la factura."
"We can't create creditmemo for the invoice.","No podemos crear una nota de crédito para la factura."
"Order Id is required for invoice document","Id del pedido es requerido para el documento de factura"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","La cantidad a facturar no debe ser mayor que la cantidad no facturada para el SKU del producto ""%1""."
"The invoice contains one or more items that are not part of the original order.","La factura contiene uno o más artículos que no son parte del pedido original."
"ID required","ID requerida"
"Unknown Status","Estatus desconocido"
"Ordered","Pedidos"
"Shipped","Enviado"
"Invoiced","Facturado"
"Backordered","Pendientes de entrega"
"Returned","Devuelto"
"Partial","Parcial"
"Mixed","Mixto"
"Registered a Void notification.","Recibido una noticia vacía."
"If the invoice was created offline, try creating an offline credit memo.","Si la factura se creó fuera de línea, intente crear un creditmemo en línea."
"We refunded %1 online.","Reembolsamos %1 en línea."
"We refunded %1 offline.","Reembolsamos %1 fuera de linea."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Devuelto"". Reembolso por comerciante. Notificación sobre el importe reembolsado de %1 registrado. Identificador de la transacción: ""%2"". Nota de crédito no ha sido creada. Por favor crear abono fuera de línea."
"The credit memo has been created automatically.","La nota de crédito se ha creado automáticamente."
"Registered notification about refunded amount of %1.","Recibido una noticia acerca de un importe reembolsado de %s."
"Canceled order online","Pedido cancelado en línea"
"Canceled order offline","Pedido cancelado fuera de línea"
"Approved the payment online.","El pago ha sido aprobado a distancia."
"There is no need to approve this payment.","No hay necesidad de aprobar este pago."
"Denied the payment online","Denegado el pago en línea"
"Registered update about approved payment.","Recibido una actualización acerca de un pago aprobado."
"Registered update about denied payment.","Recibido una actualización acerca de un pago denegado."
"There is no update for the payment.","No hay actualizaciones para este pago."
"Voided authorization.","Autorización anulada."
"Amount: %1.","Cantidad: %1."
"Transaction ID: ""%1""","Identificador de la transacción: ""%1"""
"The payment method you requested is not available.","La forma de pago solicitada no está disponible."
"The payment disallows storing objects.","El pago no permite almacenar objetos."
"The transaction ""%1"" cannot be captured yet.","La transacción ""%s"" todavía no puede ser capturada."
"The parent transaction ID must have a transaction ID.","ID de transacción principal debe tener una ID de transacción."
"Payment transactions disallow storing objects.","Las operaciones de pago no permiten almacenar objetos."
"The transaction ""%1"" (%2) is already closed.","La transacción ""%s"" (%s) ya está cerrada."
"Set order for existing transactions not allowed","No se le permite configurar un pedido de una transacción existente."
"At minimum, you need to set a payment ID.","Como mínimo, es necesario establecer una ID de pago."
"Order","Encargar"
"Authorization","Autorización"
"We found an unsupported transaction type ""%1"".","Encontramos un tipo de transacción ""%1""."
"Please set a proper payment and order id.","Establezca un ID de pago y de orden adecuado."
"Please enter a Transaction ID.","Introduzca un ID de transacción."
"You can't do this without a transaction object.","No se puede hacer esto sin un objeto de transacción."
"Order # ","Pedido nº "
"Order Date: ","Fecha de pedido: "
"Sold to:","Vendido a:"
"Ship to:","Enviar a:"
"Payment Method:","Forma de pago "
"Shipping Method:","Método de envío:"
"Total Shipping Charges","Gastos de envío"
"Title","Título"
"Number","Número"
"We found an invalid renderer model.","Encontramos un modelo de renderizado no válido."
"Please define the PDF object before using.","Por favor, defina un objeto PDF ante de su uso."
"We don't recognize the draw line data. Please define the ""lines"" array.","No reconocemos los datos de la línea de extracción. Por favor, defina la matriz de ""líneas""."
"Products","Productos"
"Total (ex)","Total (excl.)"
"Qty","Cantidad"
"Tax","Impuestos"
"Total (inc)","Total (incl.)"
"Credit Memo # ","Factura rectificada nº "
"Invoice # ","Factura # "
"The order object is not specified.","El objeto del pedido no está especificado."
"The source object is not specified.","El objeto fuente no está especificado."
"An item object is not specified.","No se especifica un item object."
"A PDF object is not specified.","Objeto PDF no especificado."
"A PDF page object is not specified.","Objeto de página PDF no especificado."
"Excl. Tax","Impuestos NO Incl."
"Incl. Tax","Impuestos incl."
"Packing Slip # ","Hoja de empaque # "
"title","título"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","El PDF total modelo %1 debe o extender \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","El cheque recibido no coincide con la interfaz"
"We cannot register an existing shipment","No se puede registrar un envío existente"
"Could not delete the shipment comment.","No se puede eliminar el comentario de envío."
"Could not save the shipment comment.","No se pueden guardar el comentario de envío."
"Could not delete the shipment item.","No se pudo eliminar el elemento de envío."
"Could not save the shipment item.","No se puede guardar el elemento de envío."
"Parent shipment cannot be loaded for track object.","El envío matriz no puede ser cargado por objeto trackeado."
"Could not delete the shipment tracking.","No se pudo eliminar el rastreo del envío."
"Could not save the shipment tracking.","No se puede guardar el rastreo del envío."
"Order Id is required for shipment document","Id de pedido es requerido para el documento de envío"
"You can't create a shipment without products.","No puede crear un envío sin productos."
"The shipment contains product SKU ""%1"" that is not part of the original order.","El envío contiene el SKU del producto ""%1"" que no forma parte del pedido original."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","La cantidad a enviar no debe ser mayor que la cantidad no enviada para el SKU del producto ""%1""."
"Please enter a tracking number.","Por favor, introduzca un número de seguimiento."
"Could not delete shipment","No se puede eliminar el envío"
"Could not save shipment","No se puede guardar el envío"
"The last status can't be unassigned from its current state.","El último estado no puede ser desasignado desde su estado actual."
"Status can't be unassigned, because it is used by existing order(s).","Estado no puede ser desasignado, ya que es utilizado por los pedidos existentes."
"Could not delete the order status history.","No se pudo eliminar el historial de estado de la orden."
"Could not save the order status history.","No se pudo guardar el historial de estado de la orden."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","El modelo total debe extenderse desde \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","No se puede crear una factura cuando una orden tiene un estado de %1"
"A creditmemo can not be created when an order has a status of %1","No se puede crear una nota de crédito cuando una orden tiene un estado de %1"
"The order does not allow a creditmemo to be created.","La orden no permite que se cree una tarjeta de crédito."
"A shipment cannot be created when an order has a status of %1","No se puede crear un envío cuando un pedido tiene un estado de %1"
"The order does not allow a shipment to be created.","La orden no permite que se cree un envío."
"""Creditmemo Document Validation Error(s):\n"" .","""Error (es) de validación de documento de nota de crédito:\n"" ."
"Could not save a Creditmemo, see error log for details","No se pudo guardar una nota de crédito, ver registro de errores para más detalles"
"We cannot determine the field name.","No se puede determinar el nombre del campo."
"City","Ciudad"
"Company","Empresa"
"Country","País"
"Email","Correo electrónico"
"First Name","Nombre"
"Last Name","Apellidos"
"State/Province","Estado/provincia"
"Street Address","Dirección"
"Phone Number","Número de teléfono"
"Zip/Postal Code","Código Postal"
"We can't save the address:\n%1","No podemos guardar la dirección: \n%1"
"Cannot save comment:\n%1","No se puede guardar el comentario:\n %1"
"We don't have enough information to save the parent transaction ID.","No tenemos suficiente información para guardar la ID de transacción del padre."
"We cannot create an empty shipment.","No se puede crear un envio vacío."
"Cannot save track:\n%1","No se puede guardar la pista:\n%1"
"Cannot unassign status from state","No se puede quitar la asignación de estado del estatus"
"New Orders","Nuevos pedidos"
"Order #%1 created at %2","Pedido nº %1 creado el %2"
"Details for %1 #%2","Detalles para %1 # %2"
"Notified Date: %1","Fecha de notificación: %1"
"Comment: %1<br/>","Comentario: %1 <br/>"
"Current Status: %1<br/>","Estado actual: %1 <br/>"
"Total: %1<br/>","Total: %1 <br/>"
"Order # %1 Notification(s)","Pedido nº %1 notificaciones"
"You can not cancel Credit Memo","No puede cancelar reembolso"
"Could not cancel creditmemo","No se puede cancelar la nota de crédito"
"We cannot register an existing credit memo.","No se puede registrar una reembolso existente."
"We found an invalid quantity to invoice item ""%1"".","Encontramos una cantidad válida para facturar el artículo ""%1""."
"The Order State ""%1"" must not be set manually.","El estado del pedido ""%s"" no se debe establecer manualmente."
"""Shipment Document Validation Error(s):\n"" .","""Error (es) de validación de documentación del pedido: \n""."
"Could not save a shipment, see error log for details","No se pudo guardar un envío, ver registro de errores para más detalles"
"VAT Request Identifier","Identificador de petición de IVA"
"VAT Request Date","Fecha de petición de IVA"
"Pending Payment","Pago pendiente"
"Processing","Procesando"
"On Hold","En espera"
"Complete","Completo"
"Closed","Cerrado"
"Suspected Fraud","Sospechas de acto fraudulento"
"Payment Review","Revisión de pago"
"New","Nuevo"
"Product doesn't exist","El producto no existe"
"test message","mensaje de prueba"
"Email has not been sent","Correo electrónico no ha sido enviado"
"Authorized amount of %1","Importe autorizado de %1"
" Transaction ID: ""%1"""," ID de la transacción: ""%1"""
"View","Ver"
"Group was removed","Grupo fue eliminado"
"Changing address information will not recalculate shipping, tax or other order amount.","El cambio de la información de la dirección no efectua calcular de nuevo los gastos del envío, de impuestos ni el total del pedido."
"Comment Text","Texto del comentario"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Visible on Storefront","Visible en tienda"
"Customer","Cliente"
"Notified","Notificado"
"Not Notified","No notificado"
"No Payment Methods","No hay métodos de pago"
"Order Comments","Comentarios del pedido"
"Apply Coupon Code","Aplicar cupón"
"Apply","Aplicar"
"Remove Coupon Code","Eliminar cupón"
"Remove","Eliminar"
"Address Information","Información de dirección"
"Payment &amp; Shipping Information","Información de Pago y Envío"
"Order Total","Total del pedido"
"Order Currency:","Moneda de pedido:"
"Same As Billing Address","La misma dirección que la de facturación"
"Select from existing customer addresses:","Seleccione entre las direcciones de cliente existentes"
"Add New Address","Agregar nueva dirección"
"Save in address book","Guardar en libreta de direcciones"
"You don't need to select a shipping address.","No necesita seleccionar una dirección de envío."
"Gift Message for the Entire Order","Mensaje de regalo por todo el pedido"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Deje esta casilla en blanco si no desea dejar un mensaje de regalo para toda la orden."
"Row Subtotal","Subtotal de la fila"
"Action","Acción"
"No ordered items","No hay artículos pedidos"
"Update Items and Quantities","Actualizar Artículos y Cantidades"
"Total %1 product(s)","%1 artículo(s) en total"
"Subtotal:","Subtotal:"
"Tier Pricing","Nivel de precios"
"Custom Price","Precio personalizado"
"Please select","Por favor, seleccione"
"Move to Shopping Cart","Al carrito de la compra"
"Move to Wish List","Mover a favoritos"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Click to change shipping method","Haga clic para cambiar el método de envío"
"Sorry, no quotes are available for this order.","Lo sentimos, no hay citas disponibles para este pedido."
