"Credit Memos","Gutschriften"
"The credit memo email wasn't sent.","Die Rechnungskorrektur-E-Mail wurde nicht versandt."
"Credit Memo #%1 | %3 | %2 (%4)","Gutschrift #%1 | %3 | %2 (%4)"
"Total Refund","Gesamterstattung"
"New Invoice and Shipment for Order #%1","Neue Rechnung und Versand für Bestellung #%1"
"New Invoice for Order #%1","Neue Rechnung zur Bestellung #%1"
"Submit Invoice and Shipment","Rechnung und Versand erstellen"
"Submit Invoice","Rechnung erstellen"
"Are you sure you want to send an invoice email to customer?","Sind Sie sicher, dass Sie eine Rechnung per E-Mail an den Kunden senden wollen?"
"Credit Memo","Gutschrift"
"Capture","Erfassen"
"The invoice email was sent.","Die Rechnungs-E-Mail wurde versandt."
"The invoice email wasn't sent.","Die Rechnung-E-Mail wurde nicht versandt."
"Invoice #%1 | %2 | %4 (%3)","Rechnung #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Ungültiger Elternblock für diesen Block"
"Order Statuses","Bestellstatus"
"Create New Status","Neuen Status erstellen"
"Assign Status to State","Status einem Zustand zuweisen"
"Save Status Assignment","Status Zuordnung speichern"
"Assign Order Status to State","Bestellstatus einem Zustand zuweisen"
"Assignment Information","Zuweisungsinformation"
"Order Status","Bestellstatus"
"Order State","Bestellzustand"
"Use Order Status As Default","Bestellstatus als Standard verwenden"
"Visible On Storefront","Sichtbar im Frontend"
"Edit Order Status","Bestellstatus bearbeiten"
"Save Status","Status speichern"
"New Order Status","Neuer Bestellstatus"
"Order Status Information","Bestellstatus Information"
"Status Code","Statuscode"
"Status Label","Statusbezeichnung"
"Store View Specific Labels","Store View spezifische Bezeichnungen"
"Total Paid","Total bezahlt"
"Total Refunded","Gesamterstattung"
"Total Due","Total schuldig"
"Edit","Bearbeiten"
"Are you sure you want to send an order email to customer?","Sind Sie sicher, dass Sie eine Bestellbestätigung per E-Mail an den Kunden senden wollen?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Es wird eine Offline-Erstattung erstellt. Um eine online Erstattung durchzuführen, öffnen Sie bitte eine Rechnung und erstellen Sie eine Gutschrift. Möchten Sie fortsetzen?"
"Are you sure you want to void the payment?","Sind Sie sicher, dass Sie die Zahlung aufheben möchten?"
"Hold","Zurückstellen"
"hold","zurückstellen"
"Unhold","Wiederaufnehmen"
"unhold","wiederaufnehmen"
"Are you sure you want to accept this payment?","Sind Sie sicher, dass Sie diese Zahlung akzeptieren möchten?"
"Accept Payment","Zahlung akzeptieren"
"Are you sure you want to deny this payment?","Sind Sie sicher, dass Sie diese Zahlung verweigern wollen?"
"Deny Payment","Zahlung verweigern"
"Get Payment Update","Aktualisierung der Zahlung holen/starten"
"Invoice and Ship","Rechnung und Versand"
"Invoice","Rechnung"
"Ship","Versand"
"Reorder","Nachbestellen"
"Order # %1 %2 | %3","Bestellung Nr. %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Diese Bestellung beinhaltet (%1) Artikel und kann deshalb nicht im Admin Interface editiert werden. Wenn Sie die Bearbeitung fortsetzen wollen, werden die (%2) Artikel entfernt, die Bestellung gelöscht und eine neue angelegt."
"Are you sure? This order will be canceled and a new one will be created instead.","Sind Sie sicher? Dieser Auftrag wird abgebrochen und ein neuer wird stattdessen erstellt."
"Save Gift Message","Geschenknachricht speichern"
" [deleted]"," [gelöscht]"
"Order Credit Memos","Gutschriften der Bestellung"
"Credit memo #%1 created","Gutschrift #%1 erstellt"
"Credit memo #%1 comment added","Kommentar zu Gutschrift #%1 hinzugefügt"
"Shipment #%1 created","Lieferschein Nr. %1 erstellt"
"Shipment #%1 comment added","Sendung #%1 Kommentar hinzugefügt"
"Invoice #%1 created","Rechnung #%1 erstellt"
"Invoice #%1 comment added","Kommentar für Rechnung #%1 hinzugefügt"
"Tracking number %1 for %2 assigned","Tracking-Nummer %1 für %2 hinzugewiesen"
"Comments History","Kommentarverlauf"
"Order History","Auftragsverlauf"
"Information","Informationen"
"Order Information","Bestellinformationen"
"Order Invoices","Bestellungsrechnungen"
"Shipments","Lieferscheine"
"Order Shipments","Bestellungssendungen"
"Transactions","Transaktionen"
"Order View","Bestellansicht"
"Any","Jeder"
"Specified","festgelegt"
"Applies to Any of the Specified Order Statuses except canceled orders","Gilt für eine der angegebenen Auftragsstatus außer stornierte Aufträge"
"Cart Price Rule","Warenkorb Preisregel"
"Yes","Ja"
"No","Nein"
"Show Actual Values","Aktuelle Werte zeigen"
"New Order RSS","RSS für neue Bestellungen"
"Subtotal","Zwischensumme"
"Shipping & Handling","Versand & Bearbeitung"
"Discount (%1)","Rabatt (%1)"
"Discount","Rabatt"
"Grand Total","Gesamtsumme"
"Back","Zurück"
"Fetch","Abrufen"
"Transaction # %1 | %2","Transaktion # %1 | %2"
"N/A","Keine Angabe"
"Key","Schlüssel"
"Value","Wert"
"We found an invalid entity model.","Es wurde ein ungültiges Entity Model gefunden."
"Order # %1","Bestellung # %1"
"Back to My Orders","Zurück zu ""Meine Bestellungen"""
"View Another Order","Andere Bestellung ansehen"
"About Your Refund","Über Ihre Rückerstattung"
"My Orders","Meine Bestellungen"
"Subscribe to Order Status","Bestellstatus abonnieren"
"About Your Invoice","Über Ihre Rechnung"
"Print Order # %1","Bestellung # %1 drucken"
"Grand Total to be Charged","Berechnete Gesamtsumme"
"Unassign","Zuordnung aufheben"
"We can't add this item to your shopping cart right now.","Der Artikel konnte nicht in Ihren Warenkorb gelegt werden."
"You sent the message.","Sie haben die Nachricht gesendet."
"Sales","Verkäufe"
"Invoice capturing error","Rechnungserfassungsfehler"
"This order no longer exists.","Diese Bestellung existiert nicht mehr."
"Please enter a comment.","Bitte einen Kommentar eingeben."
"We cannot add order history.","Bestellhistorie kann nicht hinzugefügt werden."
"You updated the order address.","Sie haben die Bestelladresse aktualisiert."
"We can't update the order address right now.","Die Bestelladresse kann momentan nicht geändert werden."
"You have not canceled the item.","Sie haben die Position nicht storniert."
"You canceled the order.","Sie haben die Bestellung storniert."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" Gutschein-Code wurde nicht angewendet. Rabatt gilt nicht für die ausgewählten Artikel."
"""%1"" coupon code is not valid.","Gutscheincode ""%1"" ist nicht gültig."
"The coupon code has been accepted.","Der Gtuscheincode wurde akzeptiert."
"Quote item id is not received.","Wir konnten die Wunschliste nicht finden."
"Quote item is not loaded.","Warenkorb ist nicht geladen."
"New Order","Neue Bestellung"
"You created the order.","Sie haben die Bestellung erstellt."
"Order saving error: %1","Fehler beim Speichern der Bestellung: %1"
"Cannot add new comment.","Kann neuen Kommentar nicht hinzufügen."
"The credit memo has been canceled.","Die Gutschrift wurde storniert."
"Credit memo has not been canceled.","Die Rechnungskorrektur wurde nicht storniert."
"New Memo for #%1","Neue Gutschrift für #%1"
"New Memo","Neue Gutschrift"
"The credit memo's total must be positive.","Die Summe der Rechnungskorrektur muss positiv sein."
"Cannot create online refund for Refund to Store Credit.","Kann Online-Erstattung für Rückerstattung zurm Shop-Guthaben nicht erstellen."
"You created the credit memo.","Sie haben die Gutschrift erstellt."
"We can't save the credit memo right now.","Die Rechnungskorrektur-E-Mail kann momentan nicht versandt werden."
"We can't update the item's quantity right now.","Die Artikelmenge kann momentan nicht aktualisiert werden."
"View Memo for #%1","Gutschrift für #%1 ansehen"
"View Memo","Gutschrift ansehen"
"You voided the credit memo.","Die Gutschrift wurde annulliert."
"We can't void the credit memo.","Die Rechnungskorrektur kann nicht annulliert werden."
"The order no longer exists.","Die Bestellung existiert nicht mehr."
"We can't create credit memo for the order.","Für die Bestellung kann keine Rechungskorrektur erstellt werden."
"Edit Order","Bestellungen bearbeiten"
"You sent the order email.","Sie haben die Bestell-E-Mail gesendet."
"We can't send the email order right now.","Die Bestell-E-Mail kann momentan nicht versandt werden."
"You have not put the order on hold.","Sie haben die Bestellung nicht auf Wartestellung gesetzt."
"You put the order on hold.","Sie haben die Bestellung auf Wartestellung gesetzt."
"You canceled the invoice.","Sie haben die Rechnung storniert."
"Invoice canceling error","Rechnungs-Stornierungsfehler"
"The invoice has been captured.","Rechnung wurde erfasst."
"The order does not allow an invoice to be created.","Die Bestellung erlaubt es nicht, dass eine Rechnung erstellt wird."
"You can't create an invoice without products.","Es kann keine Rechnung ohne Artikel erstellt werden."
"New Invoice","Neue Rechnung"
"We can't save the invoice right now.","Die Rechnung kann momentan nicht gespeichert werden."
"You created the invoice and shipment.","Sie haben die Rechnung und Sendung erstellt."
"The invoice has been created.","Die Rechnung wurde erstellt."
"We can't send the invoice email right now.","Die Rechnung-E-Mail kann momentan nicht versandt werden."
"We can't send the shipment right now.","Die Lieferschein-E-Mail kann momentan nicht versandt werden."
"Cannot update item quantity.","Artikelanzahl konnte nicht aktualisiert werden."
"The invoice has been voided.","Die Rechnung wurde storniert."
"Invoice voiding error","Fehler beim Stornieren der Rechnung."
"%1 order(s) cannot be canceled.","%1 Bestellung(en) kann/können nicht storniert werden."
"You cannot cancel the order(s).","Sie können die Bestellung(en) nicht stornieren."
"We canceled %1 order(s).","Es wurde(n) %1 Bestellung(en) storniert."
"%1 order(s) were not put on hold.","%1 Bestellung(en) wurden nicht auf den ""Halten"" Status gesetzt."
"No order(s) were put on hold.","Keine Bestellung(en) wurden auf Wartestellung gesetzt."
"You have put %1 order(s) on hold.","Sie haben %1 Bestellung(en) auf Wartestellung gesetzt."
"%1 order(s) were not released from on hold status.","%1 Bestellung(en) wurde nicht der ""Halten"" Status entfernt."
"No order(s) were released from on hold status.","Keine Bestellung(en) wurde(n) aus der Wartestellung freigegeben."
"%1 order(s) have been released from on hold status.","%1 Bestellung(en) wurde der ""Halten"" Status entfernt."
"There are no printable documents related to selected orders.","Es gibt keine druckbaren Dokumente zu den ausgewählten Bestellungen."
"The payment has been accepted.","Die Zahlung wurde akzeptiert."
"The payment has been denied.","Die Zahlung wurde verweigert."
"Transaction has been approved.","Transaktion wurde genehmigt."
"Transaction has been voided/declined.","Transaktion wurde storniert/abgelehnt."
"There is no update for the transaction.","Es gibt kein Update für die Transaktion."
"We can't update the payment right now.","Die Zahlung kann momentan nicht aktualisiert werden."
"You assigned the order status.","Sie haben den Auftragsstatus zugeordnet."
"Something went wrong while assigning the order status.","Bei der Zuordnung des Auftragsstatus ist ein Fehler aufgetreten."
"We can't find this order status.","Der Bestellstatus konnte nicht gefunden werden."
"Create New Order Status","Erstelle neuen Bestell-Status"
"We found another order status with the same order status code.","Wir fanden einen weiteren Auftragsstatus mit dem gleichen Bestell-Statuscode."
"You saved the order status.","Sie haben den Bestellstatus gespeichert."
"We can't add the order status right now.","Der Bestellstatus konnte nicht hinzugefügt werden."
"You have unassigned the order status.","Sie haben die Zuweisung des Auftragsstatus aufgehoben."
"Something went wrong while unassigning the order.","Bei der Aufhebung der Bestellungszuweisung ist ein Fehler aufgetreten."
"Can't unhold order.","Die Bestellung konnte nicht freigegeben werden."
"You released the order from holding status.","Sie haben die Bestellung von der Wartestellung freigegeben."
"The order was not on hold.","Die Bestellung war nicht in Wartestellung."
"Exception occurred during order load","Ausnahme während des Ladens der Bestellung aufgetreten."
"Something went wrong while saving the gift message.","Speichern der Geschenknachricht fehlgeschlagen."
"You saved the gift card message.","Sie haben die Geschenkkartennachricht gespeichert."
"The payment has been voided.","Die Zahlung wurde storniert."
"We can't void the payment right now.","Die Zahlung kann nicht annulliert werden."
"Please correct the transaction ID and try again.","Bitte korrigieren Sie die Transaktions-ID und versuchen es erneut."
"The transaction details have been updated.","Die Details der Transaktion wurden aktualisiert."
"We can't update the transaction details.","Die Transaktiondetails konnten nicht aktualisiert werden."
"Orders and Returns","Bestellungen und Rücksendungen"
"Home","Startseite"
"Go to Home Page","Zur Startseite"
"You entered incorrect data. Please try again.","Sie haben fehlerhafte Daten eingegeben. Bitte versuchen Sie es erneut."
"We can't find this wish list.","Wir können diese Wunschliste leider nicht finden."
"We could not add a product to cart by the ID ""%1"".","Wir konnten kein Produkt in den Warenkorb legen mit der ID ""%1""."
"There is an error in one of the option rows.","Ein Fehler befindet sich in einer der Optionszeilen."
"Shipping Address: ","Lieferadresse: "
"Billing Address: ","Rechnungsadresse: "
"Please specify order items.","Bitte Bestell-Artikel angeben.."
"Please specify a shipping method.","Bitte Versandart auswählen."
"Please specify a payment method.","Bitte geben Sie eine Zahlungsart an."
"This payment method is not available.","Diese Zahlungsart ist nicht verfügbar."
"Validation is failed.","Überprüfung fehlgeschlagen."
"You did not email your customer. Please check your email settings.","Sie haben Ihrem Kunden nicht gemailt. Bitte überprüfen Sie Ihre E-Mail-Einstellungen."
"-- Please Select --","-- Bitte wählen --"
"Path ""%1"" is not part of allowed directory ""%2""","Pfad ""%1"" ist kein Teil des erlaubten Verzeichnis ""%2"""
"Identifying Fields required","Identifizierende Felder erforderlich"
"Id required","Id ist erforderlich"
"""Invoice Document Validation Error(s):\n"" .","""Fehler bei der Gültigkeitsprüfung des Rechnungsdokuments:\n""."
"Could not save an invoice, see error log for details","Rechnung konnte nicht gespeichert werden, Details siehe Fehlerprotokoll."
"A hold action is not available.","Eine Halte-Aktion ist nicht verfügbar."
"You cannot remove the hold.","Sie können die Wartestellung nicht entfernen."
"We cannot cancel this order.","Wir können diese Bestellung nicht stornieren."
"Guest","Gast"
"Please enter the first name.","Bitte geben Sie den Nachnamen an."
"Please enter the last name.","Bitte geben Sie den Nachnamen ein."
"Please enter the street.","Bitte geben Sie die PLZ an."
"Please enter the city.","Bitte geben Sie die Stadt ein."
"Please enter the phone number.","Bitte geben Sie die Telefonnummer ein."
"Please enter the company.","Bitte geben Sie die Firma ein."
"Please enter the fax number.","Bitte geben Sie die Faxnummer ein."
"Please enter the zip/postal code.","Bitte geben Sie die Postleitzahl ein."
"Please enter the country.","Bitte geben Sie das Land ein."
"Please enter the state/province.","Geben Sie ein Bundesland/Gebiet ein."
"Requested entity doesn't exist","Die angeforderte Einheit existiert nicht"
"Could not delete order address","Bestelladresse konnte nicht gelöscht werden"
"Could not save order address","Bestelladresse konnte nicht gespeichert werden"
"Pending","Ausstehend"
"Refunded","Erstattet"
"Canceled","Storniert"
"Unknown State","Unbekannter Status"
"Could not delete the comment.","Der Kommentar konnte nicht gelöscht werden."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","Wir fanden eine ungültige Menge des erstatteten Artikels ""%1""."
"The creditmemo contains product item that is not part of the original order.","Die Gutschrift enthält einen Produktartikel, der kein Bestandteil der ursprünglichen Bestellung ist."
"The quantity to refund must not be greater than the unrefunded quantity.","Die zu erstattende Menge darf nicht größer sein als die nicht erstattete Menge."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximal erlaubte Versandmenge für Rückerstattung ist: %1"
"Order Id is required for creditmemo document","Bestellungs-ID ist für das Gutschrift-Dokument erforderlich"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","Die Gutschrift enthält Produkt SKU ""%1"", der kein Bestandteil der ursprünglichen Bestellung ist."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","Die Menge der Gutschrift darf nicht größer sein als die nicht erstattete Menge für das Produkt SKU ""%1""."
"You can't create a creditmemo without products.","Sie können keine Gutschrift ohne Produkte erstellen."
"The most money available to refund is %1.","Der maximal zur Verfügung stehende Betrag der Rückerstattung ist %1."
"Could not delete credit memo","Gutschrift konnte nicht gelöscht werden."
"Could not save credit memo","Gutschrift konnte nicht gespeichert werden"
"This order already has associated customer account","Diese Bestellung wurde bereits einem Kundenkonto zugeordnet"
"Paid","Bezahlt"
"We cannot register an existing invoice","Wir können keine vorhandene Rechnung registrieren"
"Could not delete the invoice comment.","Der Rechnungs-Kommentar konnte nicht gelöscht werden."
"Could not save the invoice comment.","Der Rechnungs-Kommentar konnte nicht gespeichert werden."
"Could not delete the invoice item.","Das Rechnungs-Element konnte nicht gelöscht werden."
"Could not save the invoice item.","Das Rechnungs-Element konnte nicht gespeichert werden."
"We can't create creditmemo for the invoice.","Wir können keine Gutschrift für die Rechnung erstellen."
"Order Id is required for invoice document","Bestell-ID ist für das Rechnungsdokument erforderlich"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Die in Rechnung zu stellende Menge darf nicht größer sein als die nicht in Rechnung gestellte Menge für das Produkt SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","Die Rechnung enthält eine oder mehrere Produkte, die nicht Bestandteil der ursprünglichen Bestellung sind."
"ID required","ID erforderlich"
"Unknown Status","Unbekannter Status"
"Ordered","Bestellt"
"Shipped","Versandt"
"Invoiced","In Rechnung gestellt"
"Backordered","Nachbestellt"
"Returned","Zurückgeschickt"
"Partial","Teilweise"
"Mixed","Gemischt"
"Registered a Void notification.","Eine Aufhebungs-Benachrichtigung wurde registriert."
"If the invoice was created offline, try creating an offline credit memo.","Wenn die Rechnung offline erstellt wurde, erstellen Sie eine Offline-Gutschrift."
"We refunded %1 online.","Es wurden %1 online erstattet."
"We refunded %1 offline.","Es wurden %1 offline erstattet."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Erstattet"". Erstattung vom Händler ausgestellt. Registrierte Benachrichtigung über erstattete Menge von %1. Transaktions-ID: ""%2"". Gutschrift wurde noch nicht erstellt. Bitte erstellen Sie eine Offline-Gutschrift."
"The credit memo has been created automatically.","Die Gutschrift wurde automatisch erstellt."
"Registered notification about refunded amount of %1.","Benachrichtigung über erstatteten Betrag von %1 erhalten."
"Canceled order online","Bestellung online storniert."
"Canceled order offline","Bestellung offline storniert."
"Approved the payment online.","Zahlung online genehmigt."
"There is no need to approve this payment.","Es besteht keine Notwendigkeit, diese Zahlung zu genehmigen."
"Denied the payment online","Zahlung online verweigert."
"Registered update about approved payment.","Aktualisierung einer genehmigten Zahlung erhalten."
"Registered update about denied payment.","Aktualisierung einer verweigerten Zahlung erhalten."
"There is no update for the payment.","Es gibt kein Update für die Zahlung."
"Voided authorization.","Aufgehobene Autorisierung."
"Amount: %1.","Betrag: %1."
"Transaction ID: ""%1""","Transaktions-ID: ""%1"""
"The payment method you requested is not available.","Die von Ihnen gewünschte Zahlungsart ist nicht verfügbar."
"The payment disallows storing objects.","Die Zahlung verbietet das Speichern von Objekten."
"The transaction ""%1"" cannot be captured yet.","Die Transaktion ""%1"" kann noch nicht erfasst werden."
"The parent transaction ID must have a transaction ID.","Die übergeordnete Transaktions-ID muss eine Transaktionsnummer haben."
"Payment transactions disallow storing objects.","Zahlungstransaktionen verbieten das Speichern von Objekten."
"The transaction ""%1"" (%2) is already closed.","Die Transaktion ""%1"" (%2) ist bereits geschlossen."
"Set order for existing transactions not allowed","Bestellung aufzugeben für existierende Transaktionen ist nicht erlaubt"
"At minimum, you need to set a payment ID.","Als Minimum muss eine Zahlungs-ID gesetzt sein."
"Order","Bestellung"
"Authorization","Autorisierung"
"We found an unsupported transaction type ""%1"".","Es wurde ein nicht unterstützter Transaktionstyp gefunden ""%1""."
"Please set a proper payment and order id.","Bitte legen Sie eine angemessene Zahlungs- und Auftrags-ID fest."
"Please enter a Transaction ID.","Bitte Transaktions-ID eingeben"
"You can't do this without a transaction object.","Diese Aktion ist nicht ohne ein Transaktionsobjekt möglich."
"Order # ","Bestellung # "
"Order Date: ","Bestelldatum: "
"Sold to:","Verkauft an:"
"Ship to:","Versand an:"
"Payment Method:","Zahlungsart:"
"Shipping Method:","Versandart:"
"Total Shipping Charges","Gesamtsumme Versandkosten"
"Title","Titel"
"Number","Nummer"
"We found an invalid renderer model.","Es wurde ein ungültiges Render-Modell gefunden."
"Please define the PDF object before using.","Bitte definieren Sie das PDF-Objekt vor der Verwendung."
"We don't recognize the draw line data. Please define the ""lines"" array.","Die ""draw line"" Daten konnten nicht identifiziert werden. Bitte definieren Sie die ""lines"" Array."
"Products","Artikel"
"Total (ex)","Gesamt (zzgl.)"
"Qty","Menge"
"Tax","Steuer"
"Total (inc)","Gesamt (inkl.)"
"Credit Memo # ","Rechnungskorrektur # "
"Invoice # ","Rechnung # "
"The order object is not specified.","Ein Bestell-Objekt ist nicht bestimmt."
"The source object is not specified.","Ein Quell-Objekt ist nicht bestimmt."
"An item object is not specified.","Ein Artikel-Objekt ist nicht bestimmt."
"A PDF object is not specified.","Ein PDF-Objekt ist nicht angegeben."
"A PDF page object is not specified.","Ein PDF Seiten-Objket ist nicht angegeben."
"Excl. Tax","Exkl. Steuern"
"Incl. Tax","Inkl. MwSt."
"Packing Slip # ","Lieferschein #"
"title","Titel"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","PDF Gesamtmodell %1 muss sein oder sich erstrecken auf \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Wir können eine bestehende Sendung nicht registrieren"
"Could not delete the shipment comment.","Der Versand-Kommentar konnte nicht gelöscht werden."
"Could not save the shipment comment.","Der Versand-Kommentar konnte nicht gespeichert werden."
"Could not delete the shipment item.","Das Versand-Element konnte nicht gelöscht werden."
"Could not save the shipment item.","Das Versand-Element konnte nicht gespeichert werden."
"Parent shipment cannot be loaded for track object.","Übergeordneter Versand kann für das Trackingobjekt nicht geladen werden."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Bestell-ID ist für das Sendungsdokument erforderlich"
"You can't create a shipment without products.","Sie können keine Sendung ohne Produkte erzeugen."
"The shipment contains product SKU ""%1"" that is not part of the original order.","Die Sendung enthält Produkt SKU ""%1"", der kein Bestandteil der ursprünglichen Bestellung ist."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","Die Versandmenge muss nicht größer sein als die nicht versendete Menge für das Produkt SKU ""%1""."
"Please enter a tracking number.","Bitte geben Sie eine Trackingnummer ein."
"Could not delete shipment","Versand konnte nicht gelöscht werden"
"Could not save shipment","Versand konnte nicht gespeichert werden"
"The last status can't be unassigned from its current state.","Der letzte Status kann nicht von seinem aktuellen Zustand getrennt werden."
"Status can't be unassigned, because it is used by existing order(s).","Status kann nicht getrennt werden, da er von bestehenden Bestellung(en) verwendet wird."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Das gesamte Model sollte erweitert werden von \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","Es kann keine Rechnung erstellt werden, wenn eine Bestellung einen Status von %1 hat"
"A creditmemo can not be created when an order has a status of %1","Es kann keine Gutschrift erstellt werden, wenn eine Bestellung einen Status von %1 hat"
"The order does not allow a creditmemo to be created.","Die Bestellung erlaubt das Erstellen einer Gutschrift nicht."
"A shipment cannot be created when an order has a status of %1","Eine Sendung kann nicht erstellt werden, wenn eine Bestellung einen Status von %1 hat"
"The order does not allow a shipment to be created.","Die Bestellung erlaubt keinen Versand."
"""Creditmemo Document Validation Error(s):\n"" .","""Gutschriftendokumentvalidierungsfehler:\n"" ."
"Could not save a Creditmemo, see error log for details","Gutschrift konnte nicht gespeichert werden, für Details bitte Error Log einsehen"
"We cannot determine the field name.","Feldname kann nicht bestimmt werden."
"City","Stadt"
"Company","Firma"
"Country","Land"
"Email","E-Mail"
"First Name","Vorname"
"Last Name","Nachname"
"State/Province","Bundesland"
"Street Address","Straße"
"Phone Number","Telefonnummer"
"Zip/Postal Code","PLZ"
"We can't save the address:\n%1","Wir können die Adresse:\n%1 nicht speichern"
