"Credit Memos","Кредитне напомене"
"Credit Memo #%1 | %3 | %2 (%4)","Кредитно одобрење #%1 | %3 | %2 (%4)"
"Total Refund","Укупна рефундација"
"New Invoice and Shipment for Order #%1","Ново Фактура анд Пошиљка фор Поруџбина #%1"
"New Invoice for Order #%1","Ново Фактура фор Поруџбина #%1"
"Submit Invoice and Shipment","Пошаљи фактуру и испоруку"
"Submit Invoice","Пошаљи фактуру"
"Are you sure you want to send an invoice email to customer?","Да ли сте сигурни желите да сенд ан инвоице емаил то цустомер?"
"Credit Memo","Кредитна напомена"
"Capture","Наплата"
"The invoice email was sent.","Емаил фактуре је послат."
"The invoice email wasn't sent.","Емаил фактуре није послат."
"Invoice #%1 | %2 | %4 (%3)","Фактура #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Неисправан парент блоцк фор тхис блоцк"
"Order Statuses","Статуси поруџбина"
"Create New Status","Креирај Ново Статус"
"Assign Status to State","Ассигн Статус то Држава"
"Save Status Assignment","Сачувај доделу статуса"
"Assign Order Status to State","Ассигн Поруџбина Статус то Држава"
"Assignment Information","Ассигнмент Информације"
"Order Status","Статус поруџбине"
"Order State","Стање поруџбине"
"Use Order Status As Default","Усе Поруџбина Статус Ас Подразумевано"
"Visible On Storefront","Видљиво на излогу"
"Edit Order Status","Измени Поруџбина Статус"
"Save Status","Сачувај статус"
"New Order Status","Нови статус поруџбине"
"Order Status Information","Информације о статусу поруџбине"
"Status Code","Код статуса"
"Status Label","Ознака статуса"
"Store View Specific Labels","Ознаке специфичне за приказ продавнице"
"Total Paid","Укупно плаћено"
"Total Refunded","Укупно рефундирано"
"Total Due","Доспело за наплату"
"Edit","Измени"
"Are you sure you want to send an order email to customer?","Да ли сте сигурни желите да сенд ан ордер емаил то цустомер?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Тхис wилл цреате ан оффлине рефунд. То цреате ан онлине рефунд, опен ан инвоице анд цреате цредит мемо фор ит. До желите да цонтинуе?"
"Are you sure you want to void the payment?","Да ли сте сигурни желите да воид тхе паyмент?"
"Hold","Задржи"
"hold","hold"
"Unhold","Отпусти"
"unhold","unhold"
"Are you sure you want to accept this payment?","Да ли сте сигурни желите да аццепт тхис паyмент?"
"Accept Payment","Прихвати плаћање"
"Are you sure you want to deny this payment?","Да ли сте сигурни желите да денy тхис паyмент?"
"Deny Payment","Одбиј плаћање"
"Get Payment Update","Гет Плаћање Ажурирај"
"Invoice and Ship","Фактуриши и испоручи"
"Invoice","Фактура"
"Ship","Испоручи"
"Reorder","Поново Наручи"
"Order # %1 %2 | %3","Поруџбина # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Тхис ордер цонтаинс (%1) итемс анд тхерефоре не може бе едитед тхроугх тхе админ интерфаце. Иф yоу wисх то цонтинуе едитинг, тхе (%2) итемс wилл бе ремовед,  тхе ордер wилл бе цанцелед анд а неw ордер wилл бе плацед."
"Are you sure? This order will be canceled and a new one will be created instead.","Да ли сте сигурни? Тхис ордер wилл бе цанцелед анд а неw оне wилл бе цреатед инстеад."
"Save Gift Message","Сачувај Порука за поклон"
" [deleted]","[избрисан]"
"Order Credit Memos","Кредитне напомене поруџбине"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Пошиљка #%1 цреатед"
"Shipment #%1 comment added","Пошиљка #%1 цоммент аддед"
"Invoice #%1 created","Фактура #%1 цреатед"
"Invoice #%1 comment added","Фактура #%1 цоммент аддед"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Историја коментара"
"Order History","Историја поруџбине"
"Information","Информације"
"Order Information","Информације о поруџбини"
"Order Invoices","Фактуре поруџбине"
"Shipments","Испоруке"
"Order Shipments","Испоруке поруџбине"
"Transactions","Трансакције"
"Order View","Преглед поруџбине"
"Any","Било који"
"Specified","Дефинисан"
"Applies to Any of the Specified Order Statuses except canceled orders","Апплиес то Било који оф тхе Специфиед Поруџбина Статусес еxцепт цанцелед ордерс"
"Cart Price Rule","Правило цене корпе"
"Yes","Да"
"No","Не"
"Show Actual Values","Прикажи стварне вредности"
"New Order RSS","РСС нове поруџбине"
"Subtotal","Међузбир"
"Shipping & Handling","Достава и руковање"
"Discount (%1)","Попуст (%1)"
"Discount","Попуст"
"Grand Total","Укупна вредност"
"Back","Назад"
"Fetch","Дохвати"
"Transaction # %1 | %2","Transaction # %1 | %2"
"N/A","Н/А - није доступно"
"Key","Кључ"
"Value","Вредност"
"We found an invalid entity model.","Пронашли смо неисправан модел ентитета."
"Order # %1","Поруџбина #%1"
"Back to My Orders","Повратак на Моје Наруџбе"
"View Another Order","Погледајте још једну поруџбину"
"About Your Refund","Абоут Yоур Повраћај"
"My Orders","Моје поруџбине"
"Subscribe to Order Status","Пријави се на статус поруџбине"
"About Your Invoice","Абоут Yоур Фактура"
"Print Order # %1","Штампај Поруџбина # %1"
"Grand Total to be Charged","Укупан износ за наплату"
"Unassign","Unassign"
"We can't add this item to your shopping cart right now.","Тренутно овај производ није могуц́е додати у вашу корпу."
"You sent the message.","Послали сте поруку."
"Sales","Продаја"
"Invoice capturing error","Грешка при наплати фактуре"
"This order no longer exists.","Ова поруџбина више не постоји."
"Please enter a comment.","Унесите коментар."
"We cannot add order history.","Не можемо додати историју поруџбине."
"You updated the order address.","Ажурирали сте адресу поруџбине."
"We can't update the order address right now.","We can't update the order address right now."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","Отказали сте поруџбину."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Купон код ""%1"" није примењен. Опција ""Не примењуј попуст"" је изабрана за ставку(е)"
"""%1"" coupon code is not valid.","Купон код ""%1"" није важећи."
"The coupon code has been accepted.","Код купона је прихваћен."
"Quote item id is not received.","Ид артикла за понуду није примљен."
"Quote item is not loaded.","Ид порученог артикла није учитан."
"New Order","Нова поруџбина"
"You created the order.","Ви сте креирали наруџбину."
"Order saving error: %1","Редослед чувања грешке: %1"
"Cannot add new comment.","Није могуц́е додати нови коментар."
"The credit memo has been canceled.","Кредитна напомена је отказана."
"Credit memo has not been canceled.","Credit memo has not been canceled."
"New Memo for #%1","Ново Мемо фор #%1"
"New Memo","Нова напомена"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Не може цреате онлине рефунд фор Повраћај то Продавница Цредит."
"You created the credit memo.","Креирали сте кредитну напомену."
"We can't save the credit memo right now.","Не можемо сачувати кредитну напомену тренутно."
"We can't update the item's quantity right now.","We can't update the item's quantity right now."
"View Memo for #%1","Преглед Мемо фор #%1"
"View Memo","Преглед напомене"
"You voided the credit memo.","Поништили сте кредитну напомену."
"We can't void the credit memo.","Не можемо поништити кредитну напомену."
"The order no longer exists.","Поруџбина више не постоји."
"We can't create credit memo for the order.","We can't create credit memo for the order."
"Edit Order","Измени поруџбину"
"You sent the order email.","Послали сте емаил поруџбине."
"We can't send the email order right now.","We can't send the email order right now."
"You have not put the order on hold.","Нисте ставили поруџбину на чекање."
"You put the order on hold.","Ставили сте поруџбину на чекање."
"You canceled the invoice.","Отказали сте фактуру."
"Invoice canceling error","Грешка при отказивању фактуре"
"The invoice has been captured.","Фактура је наплаћена."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","Не можете цреате ан инвоице wитхоут продуцтс."
"New Invoice","Нова фактура"
"We can't save the invoice right now.","Не можемо сачувати фактуру тренутно."
"You created the invoice and shipment.","Креирали сте фактуру и испоруку."
"The invoice has been created.","Фактура је креирана."
"We can't send the invoice email right now.","We can't send the invoice email right now."
"We can't send the shipment right now.","Не можемо послати испоруку тренутно."
"Cannot update item quantity.","Не може упдате итем qуантитy."
"The invoice has been voided.","Фактура је поништена."
"Invoice voiding error","Грешка при поништавању фактуре"
"%1 order(s) cannot be canceled.","%1 ордер(с) не може бе цанцелед."
"You cannot cancel the order(s).","Не можете отказати поруџбину(е)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 ордер(с) нису пут он холд."
"No order(s) were put on hold.","Ниједна поруџбина није стављена на чекање."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 ордер(с) нису релеасед фром он холд статус."
"No order(s) were released from on hold status.","Не ордер(с) wере релеасед фром он холд статус."
"%1 order(s) have been released from on hold status.","%1 ордер(с) су релеасед фром он холд статус."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"The payment has been accepted.","Плаћање је прихваћено."
"The payment has been denied.","Плаћање је одбијено."
"Transaction has been approved.","Трансакција је одобрена."
"Transaction has been voided/declined.","Трансакција је поништена/одбијена."
"There is no update for the transaction.","Нема ажурирања за трансакцију."
"We can't update the payment right now.","Не можемо ажурирати плаћање тренутно."
"You assigned the order status.","Доделили сте статус поруџбине."
"Something went wrong while assigning the order status.","Нешто није у реду wхиле ассигнинг тхе ордер статус."
"We can't find this order status.","Не можемо пронаћи овај статус поруџбине."
"Create New Order Status","Креирај Ново Поруџбина Статус"
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You saved the order status.","Сачували сте статус поруџбине."
"We can't add the order status right now.","We can't add the order status right now."
"You have unassigned the order status.","Уклонили сте доделу статуса поруџбине."
"Something went wrong while unassigning the order.","Нешто није у реду wхиле унассигнинг тхе ордер."
"Can't unhold order.","Не може се отпустити поруџбина."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","Поруџбина није била на чекању."
"Exception occurred during order load","Дошло је до грешке приликом учитавања поруџбине"
"Something went wrong while saving the gift message.","Нешто није у реду wхиле савинг тхе гифт мессаге."
"You saved the gift card message.","Сачували сте поруку поклон картице."
"The payment has been voided.","Плаћање је поништено."
"We can't void the payment right now.","Не можемо поништити плаћање тренутно."
"Please correct the transaction ID and try again.","Молимо исправите тхе трансацтион ИД анд покушајте поново."
"The transaction details have been updated.","Тхе трансацтион детаилс су упдатед."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Поруџбине и повраћаји"
"Home","Почетна"
"Go to Home Page","Иди на почетну страницу"
"You entered incorrect data. Please try again.","Yоу ентеред нетачан дата. Покушајте поново."
"We can't find this wish list.","Не можемо да ажурирамо листу жеља."
"We could not add a product to cart by the ID ""%1"".","Нисмо могли додати производ у корпу по ИД ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Адреса за доставу:"
"Billing Address: ","Адреса за фактурисање:"
"Please specify order items.","Наведите артикле поруџбине."
"Please specify a shipping method.","Молимо одабериде метод доставе."
"Please specify a payment method.","Наведите начин плаћања."
"This payment method is not available.","Овај начин плаћања није доступан."
"Validation is failed.","Валидација није успела."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"-- Please Select --","-- Молим одаберите --"
"Path ""%1"" is not part of allowed directory ""%2""","Путања ""%1"" није део дозвољеног директоријума ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","ИД је обавезан"
"""Invoice Document Validation Error(s):\n"" .","""Грешка(е) валидације документа фактуре:\н"" ."
"Could not save an invoice, see error log for details","Није могао саве ан инвоице, сее еррор лог фор детаилс"
"A hold action is not available.","Радња задржавања није доступна."
"You cannot remove the hold.","Не можете уклонити чекање."
"We cannot cancel this order.","Не можемо отказати ову поруџбину."
"Guest","Гост"
"Please enter the first name.","Молимо упишите име."
"Please enter the last name.","Молимо упишите презиме."
"Please enter the street.","Унесите улицу."
"Please enter the city.","Унесите град."
"Please enter the phone number.","Унесите број телефона."
"Please enter the company.","Унесите компанију."
"Please enter the fax number.","Унесите број факса."
"Please enter the zip/postal code.","Унесите поштански број."
"Please enter the country.","Унесите државу."
"Please enter the state/province.","Молимо упишите државу/покрајину."
"Requested entity doesn't exist","Реqуестед ентитy не постоји"
"Could not delete order address","Није могуће обрисати адресу поруџбине"
"Could not save order address","Није могао саве ордер аддресс"
"Pending","На чекању"
"Refunded","Повраћен новац"
"Canceled","Отказано"
"Unknown State","Непознато стање"
"Could not delete the comment.","Није могуће избрисати коментар."
"Could not save the creditmemo comment.","Не могуће сачувати кредит меморандум коментар."
"We found an invalid quantity to refund item ""%1"".","Пронађена је неважећа количина за повраћај ставке ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Није могао делете тхе цредит мемо итем."
"Could not save the credit memo item.","Није могао саве тхе цредит мемо итем."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Поруџбина Ид је обавезно фор цредитмемо доцумент"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","Кредитно одобрење садржи СКУ производа ""%1"" који није део оригиналне поруџбине."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","Количина за кредитно одобрење не сме бити већа од невраћене количине за СКУ производа ""%1""."
"You can't create a creditmemo without products.","Не можете цреате а цредитмемо wитхоут продуцтс."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Није могуће обрисати кредитну напомену"
"Could not save credit memo","Није могао саве цредит мемо"
"This order already has associated customer account","This order already has associated customer account"
"Paid","Плаћено"
"We cannot register an existing invoice","Не можемо регистровати постојећу фактуру"
"Could not delete the invoice comment.","Није могао делете тхе инвоице цоммент."
"Could not save the invoice comment.","Није могао саве тхе инвоице цоммент."
"Could not delete the invoice item.","Није могао делете тхе инвоице итем."
"Could not save the invoice item.","Није могао саве тхе инвоице итем."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Поруџбина Ид је обавезно фор инвоице доцумент"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Количина за фактуру не сме бити већа од нефактурисане количине за СКУ производа ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ИД је обавезан"
"Unknown Status","Непознат статус"
"Ordered","Порућено"
"Shipped","Испоручено"
"Invoiced","Фактура"
"Backordered","Допуњено"
"Returned","Враћено"
"Partial","Делимично"
"Mixed","Мешовито"
"Registered a Void notification.","Registered a Void notification."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","ИПН ""Рефундовано"". Повраћај издат од стране трговца. Регистровано обавештење о рефундираном износу од %1. ИД трансакције: ""%2"". Кредитно одобрење није креирано. Молимо креирајте оффлине кредитно одобрење."
"The credit memo has been created automatically.","Тхе цредит мемо је цреатед аутоматицаллy."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Отказана поруџбина на мрежи"
"Canceled order offline","Отказана поруџбина ван мреже"
"Approved the payment online.","Одобрен тхе паyмент онлине."
"There is no need to approve this payment.","There is no need to approve this payment."
"Denied the payment online","Denied the payment online"
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"There is no update for the payment.","Нема ажурирања за плаћање."
"Voided authorization.","Поништена ауторизација."
"Amount: %1.","Износ: %1."
"Transaction ID: ""%1""","ИД трансакције: ""%1"""
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","Плаћање не дозвољава чување објеката."
"The transaction ""%1"" cannot be captured yet.","Трансакција ""%1"" још увек не може бити реализована."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","Плаћање трансацтионс дисаллоw сторинг објецтс."
"The transaction ""%1"" (%2) is already closed.","Трансакција ""%1"" (%2) је већ затворена."
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","Поруџбина"
"Authorization","Ауторизација"
"We found an unsupported transaction type ""%1"".","Пронађен је неподржан тип трансакције ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Молимо унесите а Трансацтион ИД."
"You can't do this without a transaction object.","Не можете до тхис wитхоут а трансацтион објецт."
"Order # ","Поруџбина #"
"Order Date: ","Датум поруџбине:"
"Sold to:","Продато за:"
"Ship to:","Достави за:"
"Payment Method:","Начин плаћања:"
"Shipping Method:","Начин доставе:"
"Total Shipping Charges","Укупни трошкови доставе"
"Title","Наслов"
"Number","Број"
"We found an invalid renderer model.","Wе фоунд ан неисправан рендерер модел."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","Не препознајемо податке линије цртања. Молимо дефинишите низ ""линес""."
"Products","Производи"
"Total (ex)","Укупно (без)"
"Qty","Кол"
"Tax","Порез"
"Total (inc)","Укупно (са)"
"Credit Memo # ","Кредитна напомена #"
"Invoice # ","Фактура #"
"The order object is not specified.","Објекат поруџбине није наведен."
"The source object is not specified.","Изворни објекат није наведен."
"An item object is not specified.","Објекат артикла није наведен."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","Без пореза"
"Incl. Tax","Износ са ПДВ"
"Packing Slip # ","Отпремница #"
"title","наслов"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Тхе ПДФ тотал модел %1 муст бе ор еxтенд \Магенто\Продаја\Модел\Поруџбина\Пдф\Укупно\ДефаултТотал."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Не можемо регистровати постојећу испоруку"
"Could not delete the shipment comment.","Није могао делете тхе схипмент цоммент."
"Could not save the shipment comment.","Није могао саве тхе схипмент цоммент."
"Could not delete the shipment item.","Није могао делете тхе схипмент итем."
"Could not save the shipment item.","Није могао саве тхе схипмент итем."
"Parent shipment cannot be loaded for track object.","Парент схипмент не може бе лоадед фор трацк објецт."
"Could not delete the shipment tracking.","Није могао делете тхе схипмент трацкинг."
"Could not save the shipment tracking.","Није могао саве тхе схипмент трацкинг."
"Order Id is required for shipment document","Поруџбина Ид је обавезно фор схипмент доцумент"
"You can't create a shipment without products.","Не можете цреате а схипмент wитхоут продуцтс."
"The shipment contains product SKU ""%1"" that is not part of the original order.","Пошиљка садржи СКУ производа ""%1"" који није део оригиналне поруџбине."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","Количина за испоруку не сме бити већа од неиспоручене количине за СКУ производа ""%1""."
"Please enter a tracking number.","Молимо унесите Унесите број за прац́ење."
"Could not delete shipment","Није могуће обрисати испоруку"
"Could not save shipment","Није могуће сачувати испоруку"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Није могао делете тхе ордер статус хисторy."
"Could not save the order status history.","Није могао саве тхе ордер статус хисторy."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Тхе тотал модел схоулд бе еxтендед фром \Магенто\Продаја\Модел\Поруџбина\Укупно\АбстрацтТотал."
"An invoice cannot be created when an order has a status of %1","Ан инвоице не може бе цреатед wхен ан ордер хас а статус оф %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","А схипмент не може бе цреатед wхен ан ордер хас а статус оф %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Грешка(е) валидације документа кредитне напомене:\н"" ."
"Could not save a Creditmemo, see error log for details","Није могао саве а Кредитно одобрење, сее еррор лог фор детаилс"
"We cannot determine the field name.","Не можемо да утврдимо назив поља."
"City","Град"
"Company","Компанија"
"Country","Држава"
"Email","Е-пошта"
"First Name","Име"
"Last Name","Презиме"
"State/Province","Држава/Провинција"
"Street Address","Адреса"
"Phone Number","Број телефона"
"Zip/Postal Code","Поштански број"
"We can't save the address:\n%1","Не можемо сачувати адресу:\н%1"
"Cannot save comment:\n%1","Не може се сачувати коментар:\н%1"
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"We cannot create an empty shipment.","Не можемо креирати празну испоруку."
"Cannot save track:\n%1","Не може се сачувати праћење:\н%1"
"Cannot unassign status from state","Не може унассигн статус фром стате"
"New Orders","Нове поруџбине"
"Order #%1 created at %2","Поруџбина #%1 цреатед ат %2"
"Details for %1 #%2","Детаљи фор %1 #%2"
"Notified Date: %1","Нотифиед Датум: %1"
"Comment: %1<br/>","Comment: %1<br/>"
"Current Status: %1<br/>","Current Status: %1<br/>"
"Total: %1<br/>","Укупно: %1<бр/>"
"Order # %1 Notification(s)","Поруџбина # %1 Обавештење(с)"
"You can not cancel Credit Memo","Не можете отказати кредитну напомену"
"Could not cancel creditmemo","Није могао цанцел цредитмемо"
"We cannot register an existing credit memo.","Wе не може регистер ан еxистинг цредит мемо."
"We found an invalid quantity to invoice item ""%1"".","Пронађена је неважећа количина за фактурисање ставке ""%1""."
"The Order State ""%1"" must not be set manually.","Статус поруџбине ""%1"" не сме бити постављен ручно."
"""Shipment Document Validation Error(s):\n"" .","""Грешка(е) валидације документа испоруке:\н"" ."
"Could not save a shipment, see error log for details","Није могао саве а схипмент, сее еррор лог фор детаилс"
"VAT Request Identifier","Идентификатор захтева за ПИБ"
"VAT Request Date","Датум захтева за ПИБ"
"Pending Payment","Плаћање на чекању"
"Processing","Обрада"
"On Hold","На чекању"
"Complete","Завршено"
"Closed","Затворено"
"Suspected Fraud","Сумња на превару"
"Payment Review","Преглед плаћања"
"New","Ново"
"Product doesn't exist","Производ не постоји"
"test message","текстуална порука"
"Email has not been sent","Емаил није послан"
"Authorized amount of %1","Authorized amount of %1"
" Transaction ID: ""%1"""," ИД трансакције: ""%1"""
"View","Преглед"
"Group was removed","Група је уклоњена"
"Changing address information will not recalculate shipping, tax or other order amount.","Променом података о адреси нец́е се прерачунати износ поштарине, пореза или другог налога."
"Comment Text","Текст коментара"
"Notify Customer by Email","Обавести Купца Мејлом"
"Visible on Storefront","Видљиво на излогу"
"Customer","Купац"
"Notified","Обавештен"
"Not Notified","Није обавештено"
"No Payment Methods","Начин плаћања"
"Order Comments","Коментари поруџбине"
"Apply Coupon Code","Примени код купона"
"Apply","Примени"
"Remove Coupon Code","Уклоните код купона"
"Remove","Уклони"
"Address Information","Информација о Адреси"
"Payment &amp; Shipping Information","Информације о плаћању и достави"
"Order Total","Укупан износ"
"Order Currency:","Основна Валута:"
"Same As Billing Address","Адреса је иста као и за Фактуру"
"Select from existing customer addresses:","Изаберите између постојец́их адреса купаца:"
"Add New Address","Додајте нову адресу"
"Save in address book","Сачувај у адресару"
"You don't need to select a shipping address.","Не морате да одаберете адресу за испоруку."
"Gift Message for the Entire Order","Поклон Опције за Целу Поруџбину"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Оставите ово поље празно ако не желите да оставите поклон поруку за целу поруџбину."
"Row Subtotal","Ред међузбира"
"Action","Акција"
"No ordered items","Нема порућених артикала"
"Update Items and Quantities","Ажурирање ставки и количине"
"Total %1 product(s)","Укупно %1 производ(а)"
"Subtotal:","Међузбир:"
"Tier Pricing","Ценовник за слој"
"Custom Price","Прилагођена цена"
"Please select","Изаберите"
"Move to Shopping Cart","Додај у корпу"
"Move to Wish List","Пребаци у листу жеља"
"Subscribe to Newsletter","Пријави се на Неwслеттер"
"Click to change shipping method","Кликните да бисте променили начин испоруке"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","Не морате да одаберете адресу за испоруку."
