"Credit Memos","Jóváírások"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order Status","Megrendelés állapota"
"Order State","Order State"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Storefront","Visible On Storefront"
"Edit Order Status","Edit Order Status"
"Save Status","Save Status"
"New Order Status","Új megrendelés állapota"
"Order Status Information","Order Status Information"
"Status Code","Status Code"
"Status Label","Status Label"
"Store View Specific Labels","Store View Specific Labels"
"Total Paid","Total Paid"
"Total Refunded","Total Refunded"
"Total Due","Total Due"
"Edit","Szerkesztés"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Hold","Hold"
"hold","hold"
"Unhold","Unhold"
"unhold","unhold"
"Are you sure you want to accept this payment?","Biztosan elfogadja a kifizetést?"
"Accept Payment","Kifizetés elfogadása"
"Are you sure you want to deny this payment?","Biztosan elutasítja ezt a kifizetést?"
"Deny Payment","Kifizetés elutasítása"
"Get Payment Update","Kifizetési állapot frissítése"
"Invoice and Ship","Invoice and Ship"
"Invoice","Számla"
"Ship","Szállítás"
"Reorder","Újrarendelés"
"Order # %1 %2 | %3","Rendelés # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Ez a rendelés (%1) elemet tartalmaz, ezért nem lehet szerkeszteni az admin felületről. Ha szeretné folytatni a szerkesztést, a (%2) elemek törölve lesznek, a rendelés vissza lesz vonva és egy új rendelés kerül elküldésre."
"Are you sure? This order will be canceled and a new one will be created instead.","Biztos benne? A rendelés törlésre kerül és egy új rendelés kerül elküldésre."
"Save Gift Message","Ajándék üzenet mentése"
" [deleted]"," [deleted]"
"Order Credit Memos","Order Credit Memos"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Szállítás #%1 létrehozva"
"Shipment #%1 comment added","Szállítás #%1 megjegyzés hozzáadva"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Megjegyzések előzményei"
"Order History","Korábbi rendelések"
"Information","Információ"
"Order Information","Rendelés adatai"
"Order Invoices","Order Invoices"
"Shipments","Szállítmányok"
"Order Shipments","Rendelés szállítmányok"
"Transactions","Tranzakciók"
"Order View","Rendelési nézet"
"Any","Bármely"
"Specified","Megadva"
"Applies to Any of the Specified Order Statuses except canceled orders","Mindegyik megadott Rendelési státuszra vonatkozik, kivétel a visszavont rendelésekre"
"Cart Price Rule","Kosár árszabályok"
"Yes","Igen"
"No","Nem "
"Show Actual Values","Tényleges értékek megjelenítése"
"New Order RSS","New Order RSS"
"Subtotal","Részösszeg"
"Shipping & Handling","Szállítás & kezelés"
"Discount (%1)","Kedvezmény (%1)"
"Discount","Kedvezmény"
"Grand Total","Mindösszesen"
"Back","Vissza"
"Fetch","Fetch"
"Transaction # %1 | %2","Tranzakció # %1 | %2"
"N/A","N/A"
"Key","Kulcs"
"Value","Érték"
"We found an invalid entity model.","Egy érvénytelen entitás modellt találtunk."
"Order # %1","Megrendelés #%1"
"Back to My Orders","Vissza a rendelésekhez"
"View Another Order","Másik rendelés megtekintése"
"About Your Refund","A visszatérítéséről"
"My Orders","Rendeléseim"
"Subscribe to Order Status","Feliratkozás a Rendelési Állapotra"
"About Your Invoice","About Your Invoice"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Grand Total to be Charged"
"Unassign","Unassign"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","You sent the message."
"Sales","Értékesítések"
"Invoice capturing error","Invoice capturing error"
"This order no longer exists.","This order no longer exists."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","We cannot add order history."
"You updated the order address.","You updated the order address."
"We can't update the order address right now.","We can't update the order address right now."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","You canceled the order."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" coupon code was not applied. Do not apply discount is selected for item(s)"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","The coupon code has been accepted."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","New Order"
"You created the order.","A megrendelés létre lett hozva."
"Order saving error: %1","Hiba a rendelés mentése közben: %1"
"Cannot add new comment.","Nem adhat hozzá új megjegyzést."
"The credit memo has been canceled.","The credit memo has been canceled."
"Credit memo has not been canceled.","Credit memo has not been canceled."
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"We can't update the item's quantity right now.","We can't update the item's quantity right now."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The order no longer exists.","A rendelés nem létezik többé."
"We can't create credit memo for the order.","We can't create credit memo for the order."
"Edit Order","Edit Order"
"You sent the order email.","You sent the order email."
"We can't send the email order right now.","We can't send the email order right now."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","You put the order on hold."
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been captured.","The invoice has been captured."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","New Invoice"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email right now.","We can't send the invoice email right now."
"We can't send the shipment right now.","We can't send the shipment right now."
"Cannot update item quantity.","Nem lehet frissíteni a cikkmennyiséget."
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"%1 order(s) cannot be canceled.","%1 rendelést nem lehet visszavonni."
"You cannot cancel the order(s).","Nem lehet visszavonni a rendelést/rendeléseket."
"We canceled %1 order(s).","Visszavontunk %1 rendelést."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","Nincsenek nyomtatható dokumentumok a kiválasztott rendelésekhez kapcsolódóan."
"The payment has been accepted.","A kifizetés elfogadva."
"The payment has been denied.","A kifizetés elutasítva."
"Transaction has been approved.","Tranzakció jóváhagyva."
"Transaction has been voided/declined.","Tranzakció érvénytelenítve/elutasítva."
"There is no update for the transaction.","Nincs frissítés a tranzakcióhoz."
"We can't update the payment right now.","We can't update the payment right now."
"You assigned the order status.","Megadta a rendelés státuszát."
"Something went wrong while assigning the order status.","Valami nem sikerült a rendelés státuszának megadása közben."
"We can't find this order status.","We can't find this order status."
"Create New Order Status","Új rendelési állapot létrehozása"
"We found another order status with the same order status code.","Találtunk egy másik rendelési állapotot ugyanezzel a rendelési állapot kóddal."
"You saved the order status.","Elmentette a rendelési állapotot."
"We can't add the order status right now.","We can't add the order status right now."
"You have unassigned the order status.","Megszüntette a rendelési állapot hozzárendelést."
"Something went wrong while unassigning the order.","Something went wrong while unassigning the order."
"Can't unhold order.","Can't unhold order."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Exception occurred during order load"
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"You saved the gift card message.","You saved the gift card message."
"The payment has been voided.","The payment has been voided."
"We can't void the payment right now.","We can't void the payment right now."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Rendelések és visszaküldések"
"Home","Kezdőlap"
"Go to Home Page","Ugrás a honlapra"
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We can't find this wish list.","A kívánságlista nem található."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Szállítási cím: "
"Billing Address: ","Billing Address: "
"Please specify order items.","Please specify order items."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","This payment method is not available."
"Validation is failed.","Validation is failed."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"-- Please Select --","-- Kérem válasszon --"
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"Guest","Vendég"
"Please enter the first name.","Kérjük, adja meg a utónevet."
"Please enter the last name.","Kérjük, adja meg a vezetéknevet."
"Please enter the street.","Kérjük, adja meg az utcát."
"Please enter the city.","Kérjük, adja meg a várost."
"Please enter the phone number.","Kérjük, adja meg a telefonszámot."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","Kérjük, adja meg az irányítószámot."
"Please enter the country.","Kérjük, adja meg az országot."
"Please enter the state/province.","Kérjük, adja meg a megyét vagy államot."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Függő"
"Refunded","Visszatérített"
"Canceled","Törölve"
"Unknown State","Unknown State"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","Paid"
"We cannot register an existing invoice","We cannot register an existing invoice"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ID required"
"Unknown Status","Unknown Status"
"Ordered","Megrendelt"
"Shipped","Kiszállítva"
"Invoiced","Számlázott"
"Backordered","Backordered"
"Returned","Returned"
"Partial","Partial"
"Mixed","Mixed"
"Registered a Void notification.","Registered a Void notification."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo."
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","Approved the payment online."
"There is no need to approve this payment.","There is no need to approve this payment."
"Denied the payment online","Denied the payment online"
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"There is no update for the payment.","There is no update for the payment."
"Voided authorization.","Voided authorization."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","Payment transactions disallow storing objects."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","Rendelés"
"Authorization","Authorization"
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Please enter a Transaction ID."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Order # ","Order # "
"Order Date: ","Order Date: "
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Payment Method:","Fizetési mód:"
"Shipping Method:","Szállítási mód:"
"Total Shipping Charges","Teljes szállítási költség"
"Title","Cím"
"Number","Szám"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Products","Termékek"
"Total (ex)","Total (ex)"
"Qty","Mennyiség"
"Tax","Adó"
"Total (inc)","Total (inc)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","Adó nélkül"
"Incl. Tax","Adóval"
"Packing Slip # ","Packing Slip # "
"title","cím"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","We cannot register an existing shipment"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Kérem adjon meg egy nyomonkövetési számot."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"We cannot determine the field name.","Nem tudjuk meghatározni a mező nevét."
"City","Város"
"Company","Cég"
"Country","Ország"
"Email","E-mail"
"First Name","Keresztnév"
"Last Name","Vezetéknév"
"State/Province","Állam/megye"
"Street Address","Utca, házszám"
"Phone Number","Telefonszám"
"Zip/Postal Code","Irányítószám"
"We can't save the address:\n%1","We can't save the address:\n%1"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","New Orders"
"Order #%1 created at %2","Order #%1 created at %2"
"Details for %1 #%2","Details for %1 #%2"
"Notified Date: %1","Notified Date: %1"
"Comment: %1<br/>","Comment: %1<br/>"
"Current Status: %1<br/>","Current Status: %1<br/>"
"Total: %1<br/>","Total: %1<br/>"
"Order # %1 Notification(s)","Order # %1 Notification(s)"
"You can not cancel Credit Memo","You can not cancel Credit Memo"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"""Shipment Document Validation Error(s):\n"" .","""Szállítási dokumentum érvényesítési hiba:\n"" ."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"Pending Payment","Pending Payment"
"Processing","Feldolgozás alatt"
"On Hold","On Hold"
"Complete","Complete"
"Closed","Lezárt"
"Suspected Fraud","Suspected Fraud"
"Payment Review","Payment Review"
"New","Új"
"Product doesn't exist","Product doesn't exist"
"test message","tesztüzenet"
"Email has not been sent","Az email nem lett elküldve"
"Authorized amount of %1","Authorized amount of %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Megnéz"
"Group was removed","Group was removed"
"Changing address information will not recalculate shipping, tax or other order amount.","Changing address information will not recalculate shipping, tax or other order amount."
"Comment Text","Megjegyzés szövege"
"Notify Customer by Email","Vevő értesítése e-mailben"
"Visible on Storefront","Visible on Storefront"
"Customer","Vásárló"
"Notified","Értesítve"
"Not Notified","Not Notified"
"No Payment Methods","Nincsenek fizetési módok"
"Order Comments","Order Comments"
"Apply Coupon Code","Kuponkód alkalmazása"
"Apply","Alkalmazás"
"Remove Coupon Code","Kuponkód eltávolítása"
"Remove","Eltávolítás"
"Address Information","Címadatok"
"Payment &amp; Shipping Information","Payment &amp; Shipping Information"
"Order Total","Rendelés végösszege"
"Order Currency:","Order Currency:"
"Same As Billing Address","Same As Billing Address"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Add New Address","Új cím hozzáadása"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Gift Message for the Entire Order"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Leave this box blank if you don't want to leave a gift message for the entire order."
"Row Subtotal","Sor részösszeg"
"Action","Akció"
"No ordered items","Nincs megrendelt termék"
"Update Items and Quantities","A kosár tartalmának változtatása"
"Total %1 product(s)","Összesen %1 termék"
"Subtotal:","Részösszeg:"
"Tier Pricing","Lépcsős árazás"
"Custom Price","Custom Price"
"Please select","Kérem válasszon"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wish List","Kívánság listára helyezés"
"Subscribe to Newsletter","Feliratkozás a hírlevélre"
"Click to change shipping method","Click to change shipping method"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Refresh","Frissítés"
"Item","Elem"
"Add To Order","Hozzáadás a rendeléshez"
"Configure and Add to Order","Konfigurálás és hozzáadás a rendeléshez"
"No items","Nincs elem"
"Append Comments","Megjegyzések hozzáfűzése"
"Email Order Confirmation","Email Order Confirmation"
"Grand Total Excl. Tax","Végösszeg adó nélkül"
"Grand Total Incl. Tax","Végösszeg adóval"
"Subtotal (Excl. Tax)","Részösszeg (adó nélkül)"
"Subtotal (Incl. Tax)","Részösszeg (adóval)"
"Payment &amp; Shipping Method","Fizetési &amp; szállítási mód"
"Payment Information","Fizetési információk"
"The order was placed using %1.","A rendelés %1 használatával lett elküldve."
"Shipping Information","Szállítási információk"
"Items to Refund","Items to Refund"
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
"Tax Amount","Tax Amount"
"Discount Amount","Engedmény összege"
"Row Total","Sor összeg"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Items Refunded"
"No Items","No Items"
"Memo Total","Memo Total"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Customer Name: %1","Customer Name: %1"
"Purchased From: %1","Purchased From: %1"
"Gift Message","Ajándék üzenet"
"From:","Feladó:"
"To:","Címzett:"
"Message:","Üzenet:"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Gift Options","Ajándék beállítások"
"Create Shipment","Create Shipment"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Qty to Invoice"
"Invoice History","Invoice History"
"Invoice Comments","Invoice Comments"
"Invoice Totals","Invoice Totals"
"Amount","Összeg"
"Capture Online","Capture Online"
"Capture Offline","Capture Offline"
"Not Capture","Not Capture"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Email Copy of Invoice"
"Items Invoiced","Items Invoiced"
"Total Tax","Total Tax"
"From Name","From Name"
"To Name","To Name"
