"Credit Memos","Avoirs"
"The credit memo email wasn't sent.","L'email d'avoir n'a pas été envoyé."
"Credit Memo #%1 | %3 | %2 (%4)","Avoir #%1 | %3 | %2 (%4)"
"Total Refund","Total remboursé"
"New Invoice and Shipment for Order #%1","Nouvelles facture et expédition pour la commande #%1"
"New Invoice for Order #%1","Nouvelle facture pour la commande #%1"
"Submit Invoice and Shipment","Soumettre la facture et l'expédition"
"Submit Invoice","Soumettre la facture"
"Are you sure you want to send an invoice email to customer?","Êtes-vous sûr(e) de vouloir envoyer la facture par email au client?"
"Credit Memo","Avoir"
"Capture","Capturer"
"The invoice email was sent.","L’email de la facture a été envoyé."
"The invoice email wasn't sent.","L'email de facture n'a pas été envoyé."
"Invoice #%1 | %2 | %4 (%3)","Facture #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Block parent invalide pour ce block"
"Order Statuses","Statuts de commande"
"Create New Status","Créer un statut"
"Assign Status to State","Assigner un statut à un état"
"Save Status Assignment","Enregistrer l'assignation du statut"
"Assign Order Status to State","Assigner un statut de commande à un état"
"Assignment Information","Information d'affectation"
"Order Status","Statut"
"Order State","État de commande"
"Use Order Status As Default","Utiliser ce statut comme valeur par défaut"
"Visible On Storefront","Visible dans le magasin"
"Edit Order Status","Éditer le statut de commande"
"Save Status","Enregistrer le statut"
"New Order Status","Statut d'une nouvelle commande"
"Order Status Information","Informations du statut de commande"
"Status Code","Code du statut"
"Status Label","Libellé du statut"
"Store View Specific Labels","Libellés spécifiques par vue magasin"
"Total Paid","Total payé"
"Total Refunded","Total remboursé"
"Total Due","Total dû"
"Edit","Éditer"
"Are you sure you want to send an order email to customer?","Êtes-vous sûr(e) de vouloir envoyer la commande par email au client?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Cela créera un remboursement hors ligne. Pour créer un remboursement en ligne, ouvrez une facture et créez un avoir pour celle-ci. Voulez-vous continuer?"
"Are you sure you want to void the payment?","Êtes-vous certain(e) de vouloir envoyer l'annulation de paiement par courriel au client ?"
"Hold","Bloquer"
"hold","bloquer"
"Unhold","Débloquer"
"unhold","débloquer"
"Are you sure you want to accept this payment?","Êtes-vous sûr(e) de vouloir accepter ce paiement ?"
"Accept Payment","Acceptez le paiement"
"Are you sure you want to deny this payment?","Êtes-vous sûr(e) de vouloir refuser ce paiement ?"
"Deny Payment","Refuser de paiement"
"Get Payment Update","Obtenir la mise à jour de paiement"
"Invoice and Ship","Facturer et expédier"
"Invoice","Facturer"
"Ship","Expédier"
"Reorder","Commander à nouveau"
"Order # %1 %2 | %3","Commande # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Cette commande contient des articles %1 et ne peut donc pas être modifiée via l'interface d'administration. Si vous souhaitez l'éditer, les articles %2 seront supprimés, la commande sera annulée et une nouvelle commande sera créée."
"Are you sure? This order will be canceled and a new one will be created instead.","Voulez-vous continuer ? Cette commande sera supprimée et une nouvelle sera créée à la place."
"Save Gift Message","Sauvegarder le message cadeau"
" [deleted]"," [effacé]"
"Order Credit Memos","Avoirs de la commande"
"Credit memo #%1 created","Avoir #%1 créé"
"Credit memo #%1 comment added","Commentaire ajouté pour l’avoir #%1"
"Shipment #%1 created","Expédition #%1 créée"
"Shipment #%1 comment added","Commentaire ajouté pour l’expédition #%1"
"Invoice #%1 created","Facture #%1 créée"
"Invoice #%1 comment added","Commentaire ajouté à la facture #%1"
"Tracking number %1 for %2 assigned","Numéro de suivi %1 assigné à %2"
"Comments History","Historique de commentaires"
"Order History","Historique des commandes"
"Information","Informations"
"Order Information","Informations commande"
"Order Invoices","Factures de la commande"
"Shipments","Expéditions"
"Order Shipments","Livraisons de la commande"
"Transactions","Transactions"
"Order View","Vue de commande"
"Any","Tous"
"Specified","Spécifié"
"Applies to Any of the Specified Order Statuses except canceled orders","S’applique à tous les statuts de commandes sauf les commandes annulées"
"Cart Price Rule","Règles de prix du panier"
"Yes","Oui"
"No","Non"
"Show Actual Values","Montrer les valeurs actuelles"
"New Order RSS","Flux RSS des nouvelles commandes"
"Subtotal","Sous-total"
"Shipping & Handling","Frais de port"
"Discount (%1)","Remise (%1)"
"Discount","Remise"
"Grand Total","Montant global"
"Back","Retour"
"Fetch","Rapporter"
"Transaction # %1 | %2","Transaction # %1 | %2"
"N/A","N/A"
"Key","Clé"
"Value","Valeur"
"We found an invalid entity model.","Nous avons trouvé un modèle d’entité non valide."
"Order # %1","Commande n° %1"
"Back to My Orders","Retour à mes commandes"
"View Another Order","Voir une autre commande"
"About Your Refund","À propos de votre remboursement"
"My Orders","Mes commandes"
"Subscribe to Order Status","S'abonner au statut de commande"
"About Your Invoice","À propos de votre facture"
"Print Order # %1","Imprimer la commande # %1"
"Grand Total to be Charged","Total à facturer"
"Unassign","Annuler l'assignation"
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier dès maintenant."
"You sent the message.","Vous avez envoyé le message."
"Sales","Ventes"
"Invoice capturing error","Erreur lors de la capture de la facture"
"This order no longer exists.","Cette commande n'existe plus."
"Please enter a comment.","Veuillez entrer un commentaire."
"We cannot add order history.","Impossible d'ajouter l'historique de la commande."
"You updated the order address.","Vous avez mis à jour l'adresse de la commande."
"We can't update the order address right now.","Nous ne pouvons pas mettre à jour l'adresse de commande en ce moment."
"You have not canceled the item.","Vous n'avez pas annulé l'article."
"You canceled the order.","Vous avez annulé la commande."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Code offre ""%1"" n'a pas été appliqué. Pour cet/ces article(s), il ne peut y avoir de remise"
"""%1"" coupon code is not valid.","Le code offre spéciale ""%1"" n'est pas valide."
"The coupon code has been accepted.","Le code promo a été accepté."
"Quote item id is not received.","L'identifiant de l'article de la commande n'a pas été reçu."
"Quote item is not loaded.","L'article n'est pas chargé."
"New Order","Nouvelle commande"
"You created the order.","Vous avez créé la commande."
"Order saving error: %1","Erreur lors de la sauvegarde de la commande : %1"
"Cannot add new comment.","Impossible d'ajouter un commentaire."
"The credit memo has been canceled.","L'avoir a été annulé."
"Credit memo has not been canceled.","L'avoir n'a pas pu être annulé."
"New Memo for #%1","Nouvel avoir pour #%1"
"New Memo","Nouvel avoir"
"The credit memo's total must be positive.","Le total de l'avoir doit être positif."
"Cannot create online refund for Refund to Store Credit.","Impossible de créer un remboursement en ligne pour un remboursement par crédit magasin."
"You created the credit memo.","Vous avez créé l'avoir."
"We can't save the credit memo right now.","Nous ne pouvons pas sauvegarder l'avoir pour le moment."
"We can't update the item's quantity right now.","Nous ne pouvons pas mettre à jour la quantité de l'article pour le moment."
"View Memo for #%1","Voir l'avoir pour n°%1"
"View Memo","Voir l'avoir"
"You voided the credit memo.","Vous avez annulé l'avoir."
"We can't void the credit memo.","Nous ne pouvons pas annuler l'avoir."
"The order no longer exists.","La commande n'existe plus."
"We can't create credit memo for the order.","Nous ne pouvons pas créer d'avoir pour la commande."
"Edit Order","Éditer la commande"
"You sent the order email.","Vous avez envoyé le courriel de commande."
"We can't send the email order right now.","Nous ne pouvons pas envoyer la commande par courriel pour le moment."
"You have not put the order on hold.","Vous n’avez pas mis la commande en attente."
"You put the order on hold.","Vous avez mis la commande en attente."
"You canceled the invoice.","Vous avez annulé la facture."
"Invoice canceling error","Erreur lors de l'annulation de la facture"
"The invoice has been captured.","La facture a été capturée."
"The order does not allow an invoice to be created.","La commande ne permet pas la création d'une facture."
"You can't create an invoice without products.","Vous ne pouvez pas créer une facture sans produits."
"New Invoice","Nouvelle facture"
"We can't save the invoice right now.","Nous ne pouvons pas enregistrer la facture pour le moment."
"You created the invoice and shipment.","Vous avez crée la facture et l'expédition."
"The invoice has been created.","La facture a été créée."
"We can't send the invoice email right now.","Nous ne pouvons pas envoyer l'e-mail de facture pour le moment."
"We can't send the shipment right now.","Nous ne pouvons pas envoyer l'expédition pour le moment."
"Cannot update item quantity.","Impossible de mettre à jour la quantité de l'article."
"The invoice has been voided.","La facture a été invalidée."
"Invoice voiding error","Erreur lors de l'invalidation de la facture"
"%1 order(s) cannot be canceled.","%1 commande(s) ne pouvant pas être annulée(s)."
"You cannot cancel the order(s).","Vous ne pouvez pas annuler la ou les commande(s)."
"We canceled %1 order(s).","Nous avons annulé %1 commande(s)."
"%1 order(s) were not put on hold.","%1 commande(s) n'ont pas être bloquée(s)."
"No order(s) were put on hold.","Aucune commande n'a été bloquée."
"You have put %1 order(s) on hold.","Vous avez mis %1 commande(s) en attente."
"%1 order(s) were not released from on hold status.","%1 commande(s) n'ont pas été débloquées."
"No order(s) were released from on hold status.","Aucune commande n'a été débloquée."
"%1 order(s) have been released from on hold status.","%1 commande(s) ont été débloquées."
"There are no printable documents related to selected orders.","Il n'y a pas de documents imprimables en relation avec les commandes sélectionnées."
"The payment has been accepted.","Le paiement a été accepté."
"The payment has been denied.","Le paiement a été refusé."
"Transaction has been approved.","La transaction a été approuvée."
"Transaction has been voided/declined.","La transaction a été annulée / refusée."
"There is no update for the transaction.","Il n'y a pas de mise à jour pour la transaction."
"We can't update the payment right now.","Nous ne pouvons pas mettre à jour le paiement pour le moment."
"You assigned the order status.","Vous avez attribué le statut de la commande."
"Something went wrong while assigning the order status.","Une erreur s'est produite lors de l'assignation du statut de la commande."
"We can't find this order status.","Nous ne pouvons pas trouver ce statut de commande."
"Create New Order Status","Créer un nouveau statut de commande"
"We found another order status with the same order status code.","Nous avons trouvé un autre statut de commande avec le même code de statut de commande."
"You saved the order status.","Vous avez enregistré le statut de la commande."
"We can't add the order status right now.","Nous ne pouvons pas ajouter le statut de la commande en ce moment."
"You have unassigned the order status.","Vous avez désatribué le statut de la commande."
"Something went wrong while unassigning the order.","Une erreur s'est produite lors de désatribuation du statut de la commande."
"Can't unhold order.","Impossible de débloquer la commande."
"You released the order from holding status.","Vous avez débloqué la commande."
"The order was not on hold.","La commande n’était pas en attente."
"Exception occurred during order load","Exception s’est produite lors du chargement de la commande"
"Something went wrong while saving the gift message.","Quelque chose s’est mal passé lors de l’enregistrement du message cadeau."
"You saved the gift card message.","Vous avez enregistré le message de carte-cadeau."
"The payment has been voided.","Le paiement a été annulé."
"We can't void the payment right now.","Nous ne pouvons pas annuler le paiement maintenant."
"Please correct the transaction ID and try again.","S’il vous plaît corrigez l’ID de transaction et réessayez."
"The transaction details have been updated.","Les détails de la transaction ont été mis à jour."
"We can't update the transaction details.","Nous ne pouvons pas mettre à jour les détails de la transaction."
"Orders and Returns","Commandes et retours"
"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"You entered incorrect data. Please try again.","Vous avez entré des données incorrectes. S’il vous plaît essayer de nouveau."
"We can't find this wish list.","Nous ne pouvons pas trouver cette liste d'envie."
"We could not add a product to cart by the ID ""%1"".","Nous ne pouvons pas ajouter un produit au panier par l’ID «%1 »."
"There is an error in one of the option rows.","Erreur dans une des lignes d'option."
"Shipping Address: ","Adresse de livraison : "
"Billing Address: ","Adresse de facturation : "
"Please specify order items.","Veuillez préciser les éléments de commande."
"Please specify a shipping method.","Veuillez choisir le mode de transport."
"Please specify a payment method.","Spécifiez au maximum 8 symboles. Les tranches sont acceptées (par ex. 3-5)"
"This payment method is not available.","Cette méthode de paiement n’est pas disponible."
"Validation is failed.","La validation a échoué."
"You did not email your customer. Please check your email settings.","Vous n'avez pas envoyé d'email au client. Veuillez vérifier les paramètres des emails."
"-- Please Select --","-- Faites un choix --"
"Path ""%1"" is not part of allowed directory ""%2""","Chemin d’accès ""%1"" ne fait pas partie du répertoire autorisé ""%2"""
"Identifying Fields required","Identifier les champs requis"
"Id required","Id requis"
"""Invoice Document Validation Error(s):\n"" .","« Les erreurs de Validation de Document de la facture :\n""."
"Could not save an invoice, see error log for details","Impossible d’enregistrer une facture, consultez le journal des erreurs pour plus d’informations"
"A hold action is not available.","L'action bloquer n'est pas disponible."
"You cannot remove the hold.","Vous ne pouvez pas enlever le blocage."
"We cannot cancel this order.","Nous ne pouvons pas annuler cette commande."
"Guest","Invité"
"Please enter the first name.","Veuillez renseigner le prénom."
"Please enter the last name.","Veuillez renseigner le nom de famille."
"Please enter the street.","Veuillez renseigner la rue."
"Please enter the city.","Veuillez renseigner la ville."
"Please enter the phone number.","Merci de saisir un numéro de téléphone."
"Please enter the company.","Merci de saisir le nom de la société."
"Please enter the fax number.","Veuillez saisir le numéro de fax."
"Please enter the zip/postal code.","Veuillez renseigner le code postal."
"Please enter the country.","Veuillez renseigner le pays."
"Please enter the state/province.","Veuillez renseigner le département."
"Requested entity doesn't exist","L'entité demandée n'existe pas"
"Could not delete order address","Impossible de supprimer l'adresse de commande"
"Could not save order address","Impossible d'enregistrer l'adresse de commande"
"Pending","En attente"
"Refunded","Remboursé"
"Canceled","Annulée"
"Unknown State","État inconnu"
"Could not delete the comment.","Impossible de supprimer le commentaire."
"Could not save the creditmemo comment.","Impossible d'enregistrer le commentaire d'avoir."
"We found an invalid quantity to refund item ""%1"".","Montant erroné pour le remboursement de l'article ""%1""."
"The creditmemo contains product item that is not part of the original order.","L’avoir contient des éléments de produits qui ne font pas partie de la commande initiale."
"The quantity to refund must not be greater than the unrefunded quantity.","Le montant à rembourser ne peut être supérieur au montant payé."
"Could not delete the credit memo item.","Impossible de supprimer l'élément d'avoir."
"Could not save the credit memo item.","Impossible d'enregistrer l'élément d'avoir."
"Maximum shipping amount allowed to refund is: %1","Montant maximum des expéditions permettant le remboursement : %1"
"Order Id is required for creditmemo document","Numéro de commande est requise pour le document d'avoir"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","L'avoir contient le produit REF ""%1"" qui ne fait pas partie de la commande initiale."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","La quantité à mettre en avoir ne doit pas être supérieure à la quantité non restituée pour le produit REF ""%1""."
"You can't create a creditmemo without products.","Vous ne pouvez pas créer un avoir sans produit."
"The most money available to refund is %1.","Le montant maximum disponible à rembourser est %1."
"Could not delete credit memo","Impossible de supprimer l'avoir"
"Could not save credit memo","Impossible d'enregistrer l'avoir"
"This order already has associated customer account","Cette commande a déjà un compte client associé"
"Paid","Payée"
"We cannot register an existing invoice","Nous ne pouvons pas enregistrer une facture existante"
"Could not delete the invoice comment.","Impossible de supprimer le commentaire de facture."
"Could not save the invoice comment.","Impossible d'enregistrer le commentaire de facture."
"Could not delete the invoice item.","Impossible de supprimer l'élément de facture."
"Could not save the invoice item.","Impossible d'enregistrer l'élément de facture."
"We can't create creditmemo for the invoice.","Nous ne pouvons pas créer d’avoir pour la facture."
"Order Id is required for invoice document","Id de commande est nécessaire pour la facturation"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","La quantité à facturer ne doit pas être supérieure à la quantité non facturée pour produit REF ""%1""."
"The invoice contains one or more items that are not part of the original order.","La facture contient un ou plusieurs articles qui ne font pas partie de la commande initiale."
"ID required","ID requis"
"Unknown Status","Statut inconnu"
"Ordered","Commandé"
"Shipped","Livré"
"Invoiced","Facturé"
"Backordered","En attente de stock"
"Returned","Retourné"
"Partial","Partiel"
"Mixed","Mixte"
"Registered a Void notification.","Notifier une annulation"
"If the invoice was created offline, try creating an offline credit memo.","Si la facture a été créée en mode hors connexion, essayez de créer un avoir hors ligne."
"We refunded %1 online.","Nous avons remboursé %1 en ligne."
"We refunded %1 offline.","Nous avons remboursé %1 hors ligne (offline)."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN « Remboursé ». Remboursement émis par le marchand. Notification déposée sur le montant remboursé de %1. ID de la transaction : «%2». L'avoir n’a pas été créé. Veuillez créer votre avoir hors ligne."
"The credit memo has been created automatically.","L'avoir a été créé automatiquement."
"Registered notification about refunded amount of %1.","Notification enregistrée pour le remboursement du montant de %1."
"Canceled order online","Commande annulée en ligne"
"Canceled order offline","Commande annulée hors ligne"
"Approved the payment online.","Approuvé le paiement en ligne."
"There is no need to approve this payment.","Il n'est pas nécessaire d'approuver ce paiement."
"Denied the payment online","Refuser le paiement en ligne"
"Registered update about approved payment.","Mise à jour enregistrée au sujet de paiement approuvé."
"Registered update about denied payment.","Mise à jour enregistrée au sujet de paiement refusé."
"There is no update for the payment.","Il n'ya pas de mise à jour pour le paiement."
"Voided authorization.","Autorisation refusée"
"Amount: %1.","Montant : %1."
"Transaction ID: ""%1""","Référence de transaction : ""%1"""
"The payment method you requested is not available.","Le mode de paiement demandé n'est pas disponible."
"The payment disallows storing objects.","Le paiement n'autorise pas le stockage d'objets."
"The transaction ""%1"" cannot be captured yet.","La transaction ""%1"" ne peut pas être capturée pour le moment."
"The parent transaction ID must have a transaction ID.","ID de transaction principale doit avoir un ID de transaction."
"Payment transactions disallow storing objects.","Les transactions de paiement rejettent de stocker des objets."
"The transaction ""%1"" (%2) is already closed.","La transaction ""%1"" (%2) est déjà close."
"Set order for existing transactions not allowed","Placez la commande pour des transactions existantes non permise"
"At minimum, you need to set a payment ID.","Au minimum, vous devez définir une ID de paiement."
"Order","Commande"
"Authorization","Autorisation"
"We found an unsupported transaction type ""%1"".","Nous avons trouvé un type de transaction non pris en charge ""%1""."
"Please set a proper payment and order id.","S’il vous plaît définir un ID de paiement et de commande corrects."
"Please enter a Transaction ID.","Veuillez entrer un ID de Transaction."
"You can't do this without a transaction object.","Vous ne pouvez pas le faire sans un objet de transaction."
"Order # ","Commande n° "
"Order Date: ","Date de commande : "
"Sold to:","Vendu à :"
"Ship to:","Livrer à :"
"Payment Method:","Mode de paiement :"
"Shipping Method:","Mode de livraison :"
"Total Shipping Charges","Montant total de la livraison"
"Title","Titre"
"Number","Numéro"
"We found an invalid renderer model.","Nous avons trouvé un modèle de rendu invalide."
"Please define the PDF object before using.","Veuillez définir un objet PDF avant de l'utiliser."
"We don't recognize the draw line data. Please define the ""lines"" array.","Nous ne reconnaissons pas les données de la ligne de dessin. Veuillez définir le tableau ""lignes""."
"Products","Produits"
"Total (ex)","Total (HT)"
"Qty","Qté"
"Tax","TVA"
"Total (inc)","Total (TTC)"
"Credit Memo # ","Avoir n° "
"Invoice # ","Facture n° "
"The order object is not specified.","L'objet de commande n'est pas spécifié."
"The source object is not specified.","L'objet source n'est pas spécifié."
"An item object is not specified.","Un objet d’élément n’est pas spécifié."
"A PDF object is not specified.","Un objet PDF n’est pas spécifié."
"A PDF page object is not specified.","L'objet de page PDF n'est pas spécifié."
"Excl. Tax","HT"
"Incl. Tax","TTC"
"Packing Slip # ","Bordereau d'emballage n° "
"title","titre"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Le PDF modèle total %1 doit être ou étendre \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","La vérification reçue ne correspond pas à l'interface"
"We cannot register an existing shipment","Nous ne pouvons pas enregistrer une expédition existante"
"Could not delete the shipment comment.","Impossible de supprimer le commentaire de l'expédition."
"Could not save the shipment comment.","Impossible d'enregistrer le commentaire de l'expédition."
"Could not delete the shipment item.","Impossible de supprimer l'article de l'expédition."
"Could not save the shipment item.","Impossible d'enregistrer l'article de l'expédition."
"Parent shipment cannot be loaded for track object.","Expédition parente ne peut pas être chargée pour l’objet de tracking."
"Could not delete the shipment tracking.","Impossible de supprimer le suivi de l'expédition."
"Could not save the shipment tracking.","Impossible d'enregistrer le suivi de l'expédition."
"Order Id is required for shipment document","Id de commande est nécessaire pour le document d’expédition"
"You can't create a shipment without products.","Vous ne pouvez pas créer une expédition sans produit."
"The shipment contains product SKU ""%1"" that is not part of the original order.","L’envoi contient le produit SKU ""%1"" qui ne fait pas partie de la commande initiale."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","La quantité à livrer ne doit pas être supérieure à la quantité non expédiée pour le produit SKU ""%1""."
"Please enter a tracking number.","Veuillez entrer un numéro de suivi."
"Could not delete shipment","Impossible de supprimer l'expédition"
"Could not save shipment","Impossible d'enregistrer l'expédition"
"The last status can't be unassigned from its current state.","Le dernier statut ne peut pas être retiré de son état actuel."
"Status can't be unassigned, because it is used by existing order(s).","Le statut ne peut pas être non-assigné, car il est utilisé par des commandes existantes."
"Could not delete the order status history.","Impossible de supprimer l'historique de l'état de la commande."
"Could not save the order status history.","Impossible d'enregistrer l'historique de l'état de la commande."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Le modèle total devrait être portée de \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","Impossible de créer une facture lorsque la commande a un état %1"
"A creditmemo can not be created when an order has a status of %1","Un avoir ne peut pas être créé lorsqu’une commande a un état %1"
"The order does not allow a creditmemo to be created.","La commande ne permet pas la création d'un avoir."
"A shipment cannot be created when an order has a status of %1","Impossible de créer une expédition lorsqu’une commande a un état %1"
"The order does not allow a shipment to be created.","La commande ne permet pas la création d'une expédition."
"""Creditmemo Document Validation Error(s):\n"" .","""Erreur(s) de validation de document Avoir :\n"" ."
"Could not save a Creditmemo, see error log for details","Impossible d’enregistrer un avoir, consultez le journal des erreurs pour plus d’informations"
"We cannot determine the field name.","Impossible de déterminer le nom du champ."
"City","Ville"
"Company","Société"
"Country","Pays"
"Email","Email"
"First Name","Prénom"
"Last Name","Nom"
"State/Province","État/Région"
"Street Address","Adresse"
"Phone Number","Numéro de téléphone"
"Zip/Postal Code","Code postal"
"We can't save the address:\n%1","Nous ne pouvons pas enregistrer l'adresse : \n%1"
"Cannot save comment:\n%1","Impossible d’enregistrer le commentaire : \n%1"
"We don't have enough information to save the parent transaction ID.","Nous n'avons pas assez d'informations pour enregistrer l'ID de transaction parent."
"We cannot create an empty shipment.","Nous ne pouvons pas créer une expédition vide."
"Cannot save track:\n%1","Impossible d’enregistrer le tracking :\n%1"
"Cannot unassign status from state","Impossible de désassigner le statut depuis cet état"
"New Orders","Nouvelles commandes"
"Order #%1 created at %2","Commande n°%1 créée le %2"
"Details for %1 #%2","Détails pour %1 n°%2"
"Notified Date: %1","Date notifiée : %1"
"Comment: %1<br/>","Commentaire : %1<br/>"
"Current Status: %1<br/>","Statut actuel : %1<br/>"
"Total: %1<br/>","Total : %1<br/>"
"Order # %1 Notification(s)","Notification(s) de la commande n°%1"
"You can not cancel Credit Memo","Vous ne pouvez pas annuler l'avoir"
"Could not cancel creditmemo","Impossible d'annuler l'avoir"
"We cannot register an existing credit memo.","Impossible d'enregistrer un avoir existant."
"We found an invalid quantity to invoice item ""%1"".","Nous avons trouvé une quantité non valide à facturer article ""%1""."
"The Order State ""%1"" must not be set manually.","L'état de commande ""%1"" ne peut être modifié manuellement."
"""Shipment Document Validation Error(s):\n"" .","""Erreur de validation des documents d'expédition :\n"" ."
"Could not save a shipment, see error log for details","Impossible d’enregistrer une expédition, consultez le journal des erreurs pour plus d’informations"
"VAT Request Identifier","Identifiant de demande de TVA"
"VAT Request Date","Date de demande de TVA"
"Pending Payment","En attente de paiement"
"Processing","En cours de traitement"
"On Hold","Bloquée"
"Complete","Terminée"
"Closed","Fermée"
"Suspected Fraud","Fraude suspectée"
"Payment Review","Vérification du paiement"
"New","Nouveau"
"Product doesn't exist","Le produit n'existe pas"
"test message","message de test"
"Email has not been sent","E-mail n’a pas été envoyé"
"Authorized amount of %1","Montant autorisé de %1"
" Transaction ID: ""%1"""," Référence de transaction : ""%1"""
"View","Voir"
"Group was removed","Le groupe a été supprimé"
"Changing address information will not recalculate shipping, tax or other order amount.","Changer les informations de l'adresse ne recalculera pas les frais de port, les taxes ou les autres montants de la commande."
"Comment Text","Texte du commentaire"
"Notify Customer by Email","Avertir le client par email"
"Visible on Storefront","Visible dans le magasin"
"Customer","Client"
"Notified","Notifié"
"Not Notified","Non notifié"
"No Payment Methods","Aucun mode de paiement"
"Order Comments","Commentaires de commande"
"Apply Coupon Code","Appliquer un bon de réduction"
"Apply","Appliquer"
"Remove Coupon Code","Supprimer le bon de réduction"
"Remove","Supprimer"
"Address Information","Informations d'adresse"
"Payment &amp; Shipping Information","Paiement &amp; Informations transport"
"Order Total","Total de la commande"
"Order Currency:","Devise de la commande :"
