"Credit Memos","Facturas rectificativas"
"Update Changes","Actualizar los cambios"
"Shopping Cart","Cesta"
"Are you sure you want to delete all items from shopping cart?","¿Realmente quieres eliminar todos los artículos del carrito de compras?"
"Clear Shopping Cart","Vaciar el carrito"
"Products in Comparison List","Artículos en la lista de comparación"
"Recently Compared Products","Productos recientemente comparados"
"Recently Viewed Products","Artículos vistos recientemente"
"Last Ordered Items","Últimos artículos pedidos"
"Recently Viewed","Vistos recientemente"
"Wish List","Lista de deseos"
"Please select a store","Por favor, selecciona una tienda"
"Order Totals","Total del pedido"
"Shipping Incl. Tax (%1)","Envío incluido impuestos (%1)"
"Shipping Excl. Tax (%1)","Envío no incluido impuestos (%1)"
"New Credit Memo for Invoice #%1","Nueva factura rectificativa para la factura n.º %1"
"New Credit Memo for Order #%1","Nueva factura rectificativa para el pedido n.º %1"
"Refund Shipping (Incl. Tax)","Reembolso del envío (impuestos incl.)"
"Refund Shipping (Excl. Tax)","Reembolso del envío (impuestos no incl.)"
"Refund Shipping","Reembolso del envío"
"Update Qty's","Actualizar cantidad/es"
"Update Totals","Update Totals"
"Refund","Reembolso"
"Refund Offline","Reembolso sin conexión"
"Paid Amount","Cantidad pagada"
"Refund Amount","Importe reembolsado"
"Shipping Amount","Importe del envío"
"Shipping Refund","Reembolso del envío"
"Order Grand Total","Gran Total del pedido"
"Adjustment Refund","Reembolso de una corrección"
"Adjustment Fee","Recargo de una corrección"
"Send Email","Enviar correo electrónico"
"Are you sure you want to send a credit memo email to customer?","¿Realmente quieres enviar al cliente la factura rectificativa por correo electrónico?"
"Void","Nulo"
"Print","Imprimir"
"The credit memo email was sent.","El correo electrónico de la factura rectificativa ha sido enviado."
"The credit memo email wasn't sent.","El correo electrónico de la factura rectificativa no ha sido enviado."
"Credit Memo #%1 | %3 | %2 (%4)","Factura rectificativa n.º %1 | %3 | %2 (%4)"
"Total Refund","Reembolso total"
"New Invoice and Shipment for Order #%1","Nueva factura y envío para el pedido n.º %1"
"New Invoice for Order #%1","Nueva factura para el pedido n.º %1"
"Submit Invoice and Shipment","Enviar factura y envío"
"Submit Invoice","Enviar factura"
"Are you sure you want to send an invoice email to customer?","¿Realmente quieres enviar al cliente la factura por correo electrónico?"
"Credit Memo","Factura rectificativa"
"Capture","Captura"
"The invoice email was sent.","El correo electrónico de la factura fue enviado."
"The invoice email wasn't sent.","El correo electrónico de la factura no fue enviado."
"Invoice #%1 | %2 | %4 (%3)","Factura n.º %1 | %2 | %4 (%3)"
"Invalid parent block for this block","Bloque padre no válido para este bloque"
"Order Statuses","Estados de pedidos"
"Create New Status","Crear estado nuevo"
"Assign Status to State","Asignar un estado al estado"
"Save Status Assignment","Guardar la asignación del estado"
"Assign Order Status to State","Asignar un estado al estado de pedido"
"Assignment Information","Información de la asignación"
"Order Status","Estado de pedido"
"Order State","Estado del pedido"
"Use Order Status As Default","Usar estatus de pedido por defecto"
"Visible On Storefront","Visible en tienda"
"Edit Order Status","Editar estado de pedido"
"Save Status","Guardar estado"
"New Order Status","Nuevo estado del pedido"
"Order Status Information","Información sobre el estatus del pedido"
"Status Code","Código de estado"
"Status Label","Etiqueta de Estado"
"Store View Specific Labels","Etiquetas específicas de la vista de tienda"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Total Due","Total debido"
"Edit","Editar"
"Are you sure you want to send an order email to customer?","¿Realmente quieres enviar al cliente un correo electrónico del pedido?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Esto creará un reembolso sin conexión. Para crear un reembolso en línea, abrir una factura y crear abono para él. ¿Desea continuar?"
"Are you sure you want to void the payment?","¿Realmente quieres anular el pago?"
"Hold","Reservar"
"hold","Retener"
"Unhold","Reactivar"
"unhold","Reactivar"
"Are you sure you want to accept this payment?","¿Realmente quieres aceptar este pago?"
"Accept Payment","Aceptar el pago"
"Are you sure you want to deny this payment?","¿Realmente quieres rechazar este pago?"
"Deny Payment","Denegar el pago"
"Get Payment Update","Recibir la actualización de pago"
"Invoice and Ship","Factura y albarán"
"Invoice","Factura"
"Ship","Enviar"
"Reorder","Volver a hacer el pedido"
"Order # %1 %2 | %3","Pedido n.º %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Este pedido contiene (%s) artículos y por tanto no puede editarse mediante la interfaz de administración en este momento. Si deseas continuar, los (%s) artículos se eliminarán, el pedido se cancelará y se creará un nuevo pedido."
"Are you sure? This order will be canceled and a new one will be created instead.","¿Estás seguro? Este pedido será cancelado y uno nuevo será creado en su lugar."
"Save Gift Message","Guardar mensaje de regalo"
" [deleted]"," [borrado]"
"Order Credit Memos","Pedido - Facturas rectificativas"
"Credit memo #%1 created","Factura rectificativa n.º %1 creada"
"Credit memo #%1 comment added","Comentario agregado a la factura rectificativa n.º %1"
"Shipment #%1 created","Envío n.º %1 creado"
"Shipment #%1 comment added","Comentario agregado al envío n.º %1"
"Invoice #%1 created","Factura n.º %1 creada"
"Invoice #%1 comment added","Comentario agregado a la factura n.º %1"
"Tracking number %1 for %2 assigned","Número de seguimiento %1 para %2 asignados"
"Comments History","Historial de comentarios"
"Order History","Historial de pedidos"
"Information","Información"
"Order Information","Información del pedido"
"Order Invoices","Historial de facturas"
"Shipments","Envíos"
"Order Shipments","Albaranes de pedidos"
"Transactions","Transacciones"
"Order View","Vista del pedido"
"Any","Cualquiera"
"Specified","Especificado"
"Applies to Any of the Specified Order Statuses except canceled orders","Se aplica a cualquiera de los estados de pedidos especificados excepto pedidos cancelados"
"Cart Price Rule","Regla de precio para el carrito de compras"
"Yes","Sí"
"No","No"
"Show Actual Values","Mostrar valores actuales"
"New Order RSS","RSS para nuevos pedidos"
"Subtotal","Subtotal"
"Shipping & Handling","Cargos por manejos y envío"
"Discount (%1)","Descuento (%1)"
"Discount","Descuento"
"Grand Total","Total general"
"Back","Atrás"
"Fetch","Optener"
"Transaction # %1 | %2","Transacción n.º %1 | %2"
"N/A","N/D"
"Key","Clave"
"Value","Valor"
"We found an invalid entity model.","Encontramos un modelo de entidad no válida."
"Order # %1","Pedido n.º %1"
"Back to My Orders","Volver a mis pedidos"
"View Another Order","Ver otro pedido"
"About Your Refund","Acerca de tu devolución"
"My Orders","Mis pedidos"
"Subscribe to Order Status","Suscribirse al estado del pedido"
"About Your Invoice","Acerca de tu factura"
"Print Order # %1","Imprimir el pedido n.º %1"
"Grand Total to be Charged","Importe total a cobrar"
"Unassign","Sin asignar"
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a tu carrito de compras ahora mismo."
"You sent the message.","Se envió el mensaje."
"Sales","Ventas"
"Invoice capturing error","Error al capturar la factura"
"This order no longer exists.","Este pedido ya no existe."
"Please enter a comment.","Por favor, introduce un comentario."
"We cannot add order history.","No podemos agregar historial de pedido."
"You updated the order address.","Has actualizado la dirección del pedido."
"We can't update the order address right now.","No podemos actualizar la dirección del pedido en estos momentos."
"You have not canceled the item.","No has cancelado el artículo."
"You canceled the order.","Has cancelado el pedido."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","El código de cupón ""%1"" no se aplicó. No aplicar descuento es seleccionado para los artículos"
"""%1"" coupon code is not valid.","El código de cupón ""%1"" no es válido."
"The coupon code has been accepted.","El código de cupón se ha aceptado."
"Quote item id is not received.","No se recibió el id del artículo del presupuesto."
"Quote item is not loaded.","El artículo del presupuesto no está cargado."
"New Order","Nuevo pedido"
"You created the order.","Se creó el pedido."
"Order saving error: %1","Error al guardar el pedido: %1"
"Cannot add new comment.","No se puede agregar un nuevo comentario."
"The credit memo has been canceled.","La factura rectificativa ha sido cancelada."
"Credit memo has not been canceled.","La factura rectificativa no ha sido cancelada."
"New Memo for #%1","Nueva rectificativa para n.º %1"
"New Memo","Nueva rectificativa"
"The credit memo's total must be positive.","El total de la factura rectificativa debe ser positivo."
"Cannot create online refund for Refund to Store Credit.","No se puede crear el reembolso en línea de devolución al almacén de crédito."
"You created the credit memo.","Has creado la factura rectificativa."
"We can't save the credit memo right now.","No podemos guardar la factura rectificativa ahora mismo."
"We can't update the item's quantity right now.","No podemos actualizar la cantidad de artículos en estos momentos."
"View Memo for #%1","Ver rectificativa para n.º %1"
"View Memo","Ver rectificativa"
"You voided the credit memo.","Se anula la factura rectificativa."
"We can't void the credit memo.","No podemos anular la factura rectificada."
"The order no longer exists.","Este pedido ya no existe."
"We can't create credit memo for the order.","No podemos crear una factura rectificativa para este pedido."
"Edit Order","Editar pedido"
"You sent the order email.","Se envió el correo electrónico del pedido."
"We can't send the email order right now.","No podemos enviar el correo electrónico de pedido en estos momentos."
"You have not put the order on hold.","No has puesto el pedido en espera."
"You put the order on hold.","Has puesto el pedido en espera."
"You canceled the invoice.","Has cancelado la factura."
"Invoice canceling error","Error al cancelar la factura"
"The invoice has been captured.","La factura ha sido capturada."
"The order does not allow an invoice to be created.","El pedido no permite crear una factura."
"You can't create an invoice without products.","No puedes crear una factura sin productos."
"New Invoice","Nueva factura"
"We can't save the invoice right now.","No podemos guardar la factura en este momento."
"You created the invoice and shipment.","Has creado la factura y el envío."
"The invoice has been created.","La factura ha sido creada."
"We can't send the invoice email right now.","No podemos enviar el correo electrónico de la factura ahora mismo."
"We can't send the shipment right now.","No podemos enviar el albarán ahora mismo."
"Cannot update item quantity.","No se puede actualizar la cantidad de artículos."
"The invoice has been voided.","La factura ha sido anulada."
"Invoice voiding error","Error al anular la factura"
"%1 order(s) cannot be canceled.","No se puede cancelar %1 pedidos."
"You cannot cancel the order(s).","No podemos cancelar este/estos pedido(s)."
"We canceled %1 order(s).","Hemos cancelado %1 pedido(s)."
"%1 order(s) were not put on hold.","%1 pedidos no fueron puestos en espera."
"No order(s) were put on hold.","Ningún pedido fue puesto en suspenso."
"You have put %1 order(s) on hold.","Has puesto %1 pedido(s) en espera."
"%1 order(s) were not released from on hold status.","%1 pedido(s) no fueron liberados del estado de espera."
"No order(s) were released from on hold status.","Ningún pedido fue liberado del estado de espera."
"%1 order(s) have been released from on hold status.","%1 pedido(s) han sido liberados del estado de espera."
"There are no printable documents related to selected orders.","No hay documentos para imprimir relacionados con los pedidos seleccionados."
"The payment has been accepted.","El pago se ha aceptado."
"The payment has been denied.","El pago ha sido denegado."
"Transaction has been approved.","La transacción ha sido aprobada."
"Transaction has been voided/declined.","La operación ha sido declinada."
"There is no update for the transaction.","No existe actualización para la transacción."
"We can't update the payment right now.","No podemos actualizar el pago en este momento."
"You assigned the order status.","Has asignado el estado de pedido."
"Something went wrong while assigning the order status.","Algo salió mal al asignar el estado de pedido."
"We can't find this order status.","No podemos encontrar este estado de pedido."
"Create New Order Status","Nuevo estado de pedido"
"We found another order status with the same order status code.","Encontramos otro estado de pedido con el mismo código de estado de pedido."
"You saved the order status.","Se guardó el estado de pedido."
"We can't add the order status right now.","No podemos agregar el estado del pedido en este momento."
"You have unassigned the order status.","Has desasignado el estado del pedido."
"Something went wrong while unassigning the order.","Algo salió mal al cancelar la asignación del pedido."
"Can't unhold order.","No se puede desbloquear el pedido."
"You released the order from holding status.","Has liberado el pedido desde el estado de espera."
"The order was not on hold.","El pedido no estaba en espera."
"Exception occurred during order load","Se produjo una excepción durante la carga del pedido"
"Something went wrong while saving the gift message.","Algo salió mal al guardar el mensaje de regalo."
"You saved the gift card message.","Has guardado el mensaje de la tarjeta regalo."
"The payment has been voided.","El pago ha sido anulado."
"We can't void the payment right now.","No podemos anular el pago ahora mismo."
"Please correct the transaction ID and try again.","Por favor corrige el identificador de transacción y vuelve a intentarlo."
"The transaction details have been updated.","Se han actualizado los detalles de la transacción."
"We can't update the transaction details.","No podemos actualizar los detalles de la transacción."
"Orders and Returns","Pedidos y devoluciones"
"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"You entered incorrect data. Please try again.","Has introducido datos incorrectos. Por favor, inténtalo de nuevo."
"We can't find this wish list.","No podemos encontrar los favoritos."
"We could not add a product to cart by the ID ""%1"".","No pudimos añadir un producto a la cesta por el ID ""%1""."
"There is an error in one of the option rows.","Hay un error en una de las opciones de las filas."
"Shipping Address: ","Dirección de envío: "
"Billing Address: ","Dirección de facturación: "
"Please specify order items.","Por favor, especifica los elementos del pedido."
"Please specify a shipping method.","Por favor, especifica un método de envío."
"Please specify a payment method.","Por favor, especifica un método de pago."
"This payment method is not available.","Este método de pago no está disponible."
"Validation is failed.","La validación ha fallado."
"You did not email your customer. Please check your email settings.","No has enviado un correo electrónico a tu cliente. Por favor, comprueba la configuración del correo electrónico."
"-- Please Select --","-- Selecciona --"
"Path ""%1"" is not part of allowed directory ""%2""","La ruta ""%1"" no forma parte del directorio permitido ""%2"""
"Identifying Fields required","Identificación de campos requeridos"
"Id required","Id obligatorio"
"""Invoice Document Validation Error(s):\n"" .","""Error (es) de validación del documento de factura:\n""."
"Could not save an invoice, see error log for details","No se pudo guardar una factura, vea el registro de errores para más detalles"
"A hold action is not available.","Una acción de retención no está disponible."
"You cannot remove the hold.","No se puede reactivar."
"We cannot cancel this order.","No podemos cancelar este pedido."
"Guest","Visitante"
"Please enter the first name.","Introduce el nombre."
"Please enter the last name.","Introduce el apellido."
"Please enter the street.","Por favor, introduce la calle."
"Please enter the city.","Por favor, introduce la ciudad."
"Please enter the phone number.","Por favor, introduce el número de teléfono."
"Please enter the company.","Por favor ingrese la empresa."
"Please enter the fax number.","Por favor ingrese el número de fax."
"Please enter the zip/postal code.","Por favor, introduce el código postal."
"Please enter the country.","Por favor, introduce el país."
"Please enter the state/province.","Por favor, introduce el estado/provincia."
"Requested entity doesn't exist","La entidad solicitada no existe"
"Could not delete order address","No se pudo eliminar la dirección del pedido"
"Could not save order address","No se pudo guardar la dirección del pedido"
"Pending","Pendiente"
"Refunded","Reembolsado."
"Canceled","Cancelado"
"Unknown State","Estado desconocido"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","Encontramos una cantidad no válida para reembolsar el artículo ""%1""."
"The creditmemo contains product item that is not part of the original order.","La factura rectificativa contiene un producto que no forma parte del pedido original."
"The quantity to refund must not be greater than the unrefunded quantity.","La cantidad a reembolsar no debe ser mayor que la cantidad no reembolsada."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Importe máximo permitido del envío para reembolsar es: %s"
"Order Id is required for creditmemo document","El Id de pedido es necesario para el documento de la factura rectificativa"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","La factura rectificativa contiene un SKU de producto ""%1"" que no forma parte del pedido original."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","La cantidad a rectificar no puede ser mayor que la cantidad no reembolsada para el SKU de producto ""%1""."
"You can't create a creditmemo without products.","No puede crear una factura rectificativa sin productos."
"The most money available to refund is %1.","La mayor cantidad de dinero disponible para devolución es %1."
"Could not delete credit memo","No se pudo eliminar la factura rectificativa"
"Could not save credit memo","No se pudo guardar la factura rectificativa"
"This order already has associated customer account","Este pedido ya tiene una cuenta de cliente asociada"
"Paid","Pagado"
"We cannot register an existing invoice","No podemos registrar una factura existente"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","No podemos crear una factura rectificativa para la factura."
"Order Id is required for invoice document","Id del pedido es requerido para el documento de factura"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","La cantidad a facturar no debe ser mayor que la cantidad no facturada para el SKU del producto ""%1""."
"The invoice contains one or more items that are not part of the original order.","La factura contiene uno o más artículos que no son parte del pedido original."
"ID required","ID obligatorio"
"Unknown Status","Estatus desconocido"
"Ordered","Pedidos"
"Shipped","Enviado"
"Invoiced","Facturado"
"Backordered","Pendientes de entrega"
"Returned","Devuelto"
"Partial","Parcial"
"Mixed","Mixto"
"Registered a Void notification.","Se registró una notificación de vacía."
"If the invoice was created offline, try creating an offline credit memo.","Si la factura se creó sin conexión, intenta crear una factura rectificativa sin conexión."
"We refunded %1 online.","Reembolsamos %1 en línea."
"We refunded %1 offline.","Reembolsamos %1 sin conexión."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Reembolsado"". Reembolso emitido por el comerciante. Notificación registrada sobre la cantidad reembolsada de %1. ID de la transacción: ""%2"". La factura rectificativa no ha sido creada. Por favor, crea una factura rectificativa sin conexión."
"The credit memo has been created automatically.","La factura rectificativa se ha creado automáticamente."
"Registered notification about refunded amount of %1.","Se ha registrado una notificación sobre la cantidad reembolsada de %1."
"Canceled order online","Pedido cancelado en línea"
"Canceled order offline","Pedido cancelado sin conexión"
"Approved the payment online.","El pago ha sido aprobado a distancia."
"There is no need to approve this payment.","No hay necesidad de aprobar este pago."
"Denied the payment online","Denegado el pago en línea"
"Registered update about approved payment.","Actualización registrada sobre el pago aprobado."
"Registered update about denied payment.","Actualización registrada sobre el pago denegado."
"There is no update for the payment.","No hay actualizaciones para este pago."
"Voided authorization.","Autorización anulada."
"Amount: %1.","Cantidad: %1."
"Transaction ID: ""%1""","Identificador de la transacción: ""%1"""
"The payment method you requested is not available.","La forma de pago solicitada no está disponible."
"The payment disallows storing objects.","El pago no permite almacenar objetos."
"The transaction ""%1"" cannot be captured yet.","La transacción ""%s"" todavía no puede ser capturada."
"The parent transaction ID must have a transaction ID.","El ID de la transacción padre debe tener un ID de transacción."
"Payment transactions disallow storing objects.","Las operaciones de pago no permiten almacenar objetos."
"The transaction ""%1"" (%2) is already closed.","La transacción ""%1"" (%2) ya está cerrada."
"Set order for existing transactions not allowed","No se permite configurar un pedido de una transacción existente"
"At minimum, you need to set a payment ID.","Como mínimo, es necesario establecer una ID de pago."
"Order","Pedido"
"Authorization","Autorización"
"We found an unsupported transaction type ""%1"".","Encontramos un tipo de transacción no admitida ""%1""."
"Please set a proper payment and order id.","Establece un ID de pago y de pedido adecuado."
"Please enter a Transaction ID.","Introduce un ID de transacción."
"You can't do this without a transaction object.","No se puede hacer esto sin un objeto de transacción."
"Order # ","Pedido n.º "
"Order Date: ","Fecha de pedido: "
"Sold to:","Vendido a:"
"Ship to:","Enviar a:"
"Payment Method:","Forma de pago "
"Shipping Method:","Método de envío:"
"Total Shipping Charges","Gastos de envío"
"Title","Título"
"Number","Número"
"We found an invalid renderer model.","Encontramos un modelo de renderizado no válido."
"Please define the PDF object before using.","Por favor, define el objeto PDF antes de su uso."
"We don't recognize the draw line data. Please define the ""lines"" array.","No reconocemos los datos de la línea de extracción. Por favor, define la matriz de ""líneas""."
"Products","Productos"
"Total (ex)","Total (excl.)"
"Qty","Cantidad"
"Tax","Impuestos"
"Total (inc)","Total (incl.)"
"Credit Memo # ","Factura rectificativa n.º "
"Invoice # ","Factura n.º "
"The order object is not specified.","El objeto del pedido no está especificado."
"The source object is not specified.","El objeto fuente no está especificado."
"An item object is not specified.","No se especifica un objeto de elemento."
"A PDF object is not specified.","Objeto PDF no especificado."
"A PDF page object is not specified.","Objeto de página PDF no especificado."
"Excl. Tax","Impuestos NO Incl."
"Incl. Tax","Impuestos incl."
"Packing Slip # ","Albarán n.º "
"title","título"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","El modelo de totales PDF %1 debe ser o extender \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","No se puede registrar un envío existente"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","El envío matriz no puede ser cargado por objeto trackeado."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Id de pedido es requerido para el documento de envío"
"You can't create a shipment without products.","No puede crear un envío sin productos."
"The shipment contains product SKU ""%1"" that is not part of the original order.","El envío contiene el SKU del producto ""%1"" que no forma parte del pedido original."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","La cantidad a enviar no debe ser mayor que la cantidad no enviada para el SKU del producto ""%1""."
"Please enter a tracking number.","Por favor, introduce un número de seguimiento."
"Could not delete shipment","No se pudo eliminar el envío"
"Could not save shipment","No se pudo guardar el envío"
"The last status can't be unassigned from its current state.","El último estado no puede estar sin asignar a su estadio actual."
"Status can't be unassigned, because it is used by existing order(s).","El estado no puede estar sin asignar, ya que es utilizado por pedidos existentes."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","El modelo total debe extenderse desde \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","No se puede crear una factura cuando un pedido tiene un estado de %1"
"A creditmemo can not be created when an order has a status of %1","No se puede crear una factura rectificativa cuando un pedido tiene un estado de %1"
"The order does not allow a creditmemo to be created.","El pedido no permite que se cree una factura rectificativa."
"A shipment cannot be created when an order has a status of %1","No se puede crear un envío cuando un pedido tiene un estado de %1"
"The order does not allow a shipment to be created.","El pedido no permite que se cree un envío."
"""Creditmemo Document Validation Error(s):\n"" .","""Error(es) de validación del documento de la factura rectificativa:\n"" ."
"Could not save a Creditmemo, see error log for details","No se pudo guardar una factura rectificativa, ver registro de errores para más detalles"
"We cannot determine the field name.","No se puede determinar el nombre del campo."
"City","Ciudad"
"Company","Empresa"
"Country","País"
"Email","Correo electrónico"
"First Name","Nombre"
"Last Name","Apellidos"
"State/Province","Estado/provincia"
"Street Address","Dirección"
"Phone Number","Número de teléfono"
"Zip/Postal Code","Código Postal"
"We can't save the address:\n%1","No podemos guardar la dirección: \n%1"
"Cannot save comment:\n%1","No se puede guardar el comentario:\n %1"
"We don't have enough information to save the parent transaction ID.","No tenemos suficiente información para guardar la ID de transacción del padre."
"We cannot create an empty shipment.","No se puede crear un envío vacío."
"Cannot save track:\n%1","No se puede guardar la pista:\n%1"
"Cannot unassign status from state","No se puede quitar la asignación del estado"
"New Orders","Nuevos pedidos"
"Order #%1 created at %2","Pedido n.º %1 creado el %2"
"Details for %1 #%2","Detalles para %1 n.º %2"
"Notified Date: %1","Fecha de notificación: %1"
"Comment: %1<br/>","Comentario: %1 <br/>"
"Current Status: %1<br/>","Estado actual: %1 <br/>"
"Total: %1<br/>","Total: %1 <br/>"
"Order # %1 Notification(s)","Notificaciones del pedido n.º %1"
"You can not cancel Credit Memo","No puede cancelar la factura rectificativa"
"Could not cancel creditmemo","No se pudo cancelar la factura rectificativa"
"We cannot register an existing credit memo.","No se puede registrar una factura rectificativa existente."
"We found an invalid quantity to invoice item ""%1"".","Encontramos una cantidad no válida para facturar el artículo ""%1""."
"The Order State ""%1"" must not be set manually.","El estado del pedido ""%s"" no se debe establecer manualmente."
"""Shipment Document Validation Error(s):\n"" .","""Error (es) de validación de documentación del pedido: \n""."
"Could not save a shipment, see error log for details","No se pudo guardar un envío, ver registro de errores para más detalles"
"VAT Request Identifier","Identificador de petición de IVA"
"VAT Request Date","Fecha de petición de IVA"
"Pending Payment","Pago pendiente"
"Processing","Procesando"
"On Hold","En espera"
"Complete","Completo"
"Closed","Cerrado"
"Suspected Fraud","Sospechas de acto fraudulento"
"Payment Review","Revisión de pago"
"New","Nuevo"
"Product doesn't exist","Product doesn't exist"
"test message","mensaje de prueba"
"Email has not been sent","Correo electrónico no ha sido enviado"
"Authorized amount of %1","Importe autorizado de %1"
" Transaction ID: ""%1"""," Identificador de la transacción: ""%1"""
"View","Ver"
"Group was removed","Grupo fue eliminado"
"Changing address information will not recalculate shipping, tax or other order amount.","El cambio de la información de la dirección no calcula de nuevo los gastos del envío, los impuestos ni el total del pedido."
"Comment Text","Texto del comentario"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Visible on Storefront","Visible en tienda"
"Customer","Cliente"
"Notified","Notificado"
"Not Notified","No notificado"
"No Payment Methods","No hay métodos de pago"
"Order Comments","Comentarios del pedido"
"Apply Coupon Code","Aplicar cupón"
"Apply","Aplicar"
"Remove Coupon Code","Eliminar cupón"
"Remove","Eliminar"
"Address Information","Información de dirección"
"Payment &amp; Shipping Information","Información de Pago y Envío"
"Order Total","Total del pedido"
"Order Currency:","Moneda de pedido:"
"Same As Billing Address","La misma dirección que la de facturación"
"Select from existing customer addresses:","Selecciona entre las direcciones de cliente existentes:"
"Add New Address","Agregar nueva dirección"
"Save in address book","Guardar en libreta de direcciones"
"You don't need to select a shipping address.","No necesitas seleccionar una dirección de envío."
"Gift Message for the Entire Order","Mensaje de regalo por todo el pedido"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Deje esta casilla en blanco si no deseas dejar un mensaje de regalo para todo el pedido."
"Row Subtotal","Subtotal de la fila"
"Action","Acción"
"No ordered items","No hay artículos pedidos"
"Update Items and Quantities","Actualizar Artículos y Cantidades"
"Total %1 product(s)","%1 artículo(s) en total"
"Subtotal:","Subtotal:"
"Tier Pricing","Nivel de precios"
"Custom Price","Precio personalizado"
"Please select","Por favor, selecciona"
"Move to Shopping Cart","Al carrito de la compra"
"Move to Wish List","Mover a favoritos"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Click to change shipping method","Haz clic para cambiar el método de envío"
"Sorry, no quotes are available for this order.","Lo sentimos, no hay presupuestos disponibles para este pedido."
