"Credit Memos","PDF运单"
"Credit Memo","信用备忘录"
"Capture","捕获"
"The invoice email was sent.","发票电子邮件已发送。"
"The invoice email wasn't sent.","发票电子邮件没有发送。"
"Invoice #%1 | %2 | %4 (%3)","发票 #%1 |%2 |%4 (%3)"
"Invalid parent block for this block","此块的无效的父块"
"Order Statuses","订单状态"
"Create New Status","创建新的状态"
"Assign Status to State","将状态分配给状态"
"Save Status Assignment","保存状态任务分配"
"Assign Order Status to State","订单状态分配状态"
"Assignment Information","工作分配信息"
"Order Status","订单状态"
"Order State","订单状态"
"Use Order Status As Default","订单状态用作默认设置"
"Visible On Storefront","在店面上可见"
"Edit Order Status","编辑订单状态"
"Save Status","保存状态"
"New Order Status","新订单状态"
"Order Status Information","订单状态信息"
"Status Code","状态代码"
"Status Label","状态标签"
"Store View Specific Labels","店铺视图指定的标签"
"Total Paid","付款总额"
"Total Refunded","退款总计"
"Total Due","应付款总额"
"Edit","编辑"
"Are you sure you want to send an order email to customer?","你确定你想要向客户发送订单的电子邮件?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","这将创建离线的退款。'' 若要创建在线退款，打开发票并为其创建贷方通知单。你想要继续吗?"
"Are you sure you want to void the payment?","你确定你想要使付款无效?"
"Hold","保留"
"hold","保留"
"Unhold","恢复"
"unhold","恢复"
"Are you sure you want to accept this payment?","你确定你想要接受这种付款?"
"Accept Payment","接受付款"
"Are you sure you want to deny this payment?","你确定你想要拒绝这种付款?"
"Deny Payment","拒绝付款"
"Get Payment Update","获取付款更新"
"Invoice and Ship","发票和运输"
"Invoice","发货"
"Ship","无可用发货信息"
"Reorder","获取"
"Order # %1 %2 | %3","订单 # %1 %2 |%3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","此订单包含 (%1) 项目，因此不能通过管理界面进行编辑。如果你想要继续编辑，(%2) 项目将被删除，订单将被取消，将放置一个新的秩序。"
"Are you sure? This order will be canceled and a new one will be created instead.","是否确定？此订单将被取消，将会创建一个新订单。"
"Save Gift Message","保存礼物留言"
" [deleted]"," [删除]"
"Order Credit Memos","订单贷项通知单"
"Credit memo #%1 created","创建信用备忘录 #%1"
"Credit memo #%1 comment added","添加的信用备忘录 #%1 备注"
"Shipment #%1 created","创建装运 #%1"
"Shipment #%1 comment added","添加的装运 #%1 备注"
"Invoice #%1 created","发票 #%1 创建成功"
"Invoice #%1 comment added","添加发票 #%1 备注"
"Tracking number %1 for %2 assigned","分配% 2的跟踪号% 1"
"Comments History","评论历史"
"Order History","订单历史记录"
"Information","信息"
"Order Information","订单信息"
"Order Invoices","订单发票"
"Shipments","发货"
"Order Shipments","订单装运"
"Transactions","交易记录"
"Order View","订单查看"
"Any","任何"
"Specified","指定"
"Applies to Any of the Specified Order Statuses except canceled orders","适用于任何指定的订单状态，除了取消订单"
"Cart Price Rule","购物车价格规则"
"Yes","是"
"No","否"
"Show Actual Values","显示实际值"
"New Order RSS","新秩序 RSS"
"Subtotal","小计"
"Shipping & Handling","运费和手续费"
"Discount (%1)","折扣 (%1)"
"Discount","折扣"
"Grand Total","总额"
"Back","返回"
"Fetch","获取"
"Transaction # %1 | %2","交易 # %1 |%2"
"N/A","N/A"
"Key","密钥"
"Value","价值"
"We found an invalid entity model.","我们发现一个无效的实体模型。"
"Order # %1","订单 #%1"
"Back to My Orders","回到我的订单"
"View Another Order","查看另一个订单"
"About Your Refund","关于您的退款"
"My Orders","我的订单"
"Subscribe to Order Status","订阅订单状态"
"About Your Invoice","关于您的发票"
"Print Order # %1","打印订单 # %1"
"Grand Total to be Charged","总计被起诉"
"Unassign","未分配"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","您发送的邮件。"
"Sales","销售"
"Invoice capturing error","捕获错误的发票"
"This order no longer exists.","这项命令不再存在。"
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","我们不能添加订单历史记录。"
"You updated the order address.","你更新订单地址。"
"We can't update the order address right now.","我们现在不能更新订单地址。"
"You have not canceled the item.","您还没有取消该项目。"
"You canceled the order.","你取消订单。"
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1""优惠券代码不是适用的。不适用于为项目选择的折扣"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","优惠券代码已被接受。"
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","新秩序"
"You created the order.","你已经下单了"
"Order saving error: %1","订单保存错误: %1"
"Cannot add new comment.","不能添加新的注释。"
"The credit memo has been canceled.","贷项通知单已被取消。"
"Credit memo has not been canceled.","贷项通知单未被取消。"
"New Memo for #%1","新备忘录为 #%1"
"New Memo","新备忘录"
"The credit memo's total must be positive.","贷项通知单的总数必须为正数。"
"Cannot create online refund for Refund to Store Credit.","无法创建在线退款退款到商店信用。"
"You created the credit memo.","您创建了贷项通知单。"
"We can't save the credit memo right now.","我们现在不能保存贷项通知单。"
"We can't update the item's quantity right now.","我们现在不能更新该商品的数量。"
"View Memo for #%1","查看备注为 #%1"
"View Memo","查看备注"
"You voided the credit memo.","你作废贷项通知单。"
"We can't void the credit memo.","我们不能作废贷项通知单。"
"The order no longer exists.","该订单不存在。"
"We can't create credit memo for the order.","我们不能为订单创建信用备忘录。"
"Edit Order","编辑订单"
"You sent the order email.","你发送订单的电子邮件。"
"We can't send the email order right now.","我们现在无法发送电子邮件订购。"
"You have not put the order on hold.","你没有把订单搁置。"
"You put the order on hold.","你把订单搁置。"
"You canceled the invoice.","您取消了发票。"
"Invoice canceling error","取消错误的发票"
"The invoice has been captured.","发票已被抓获。"
"The order does not allow an invoice to be created.","订单不允许创建发票。"
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","新发票"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","您创建的发票和装运。"
"The invoice has been created.","已创建发票。"
"We can't send the invoice email right now.","我们现在无法发送发票电子邮件。"
"We can't send the shipment right now.","我们不能马上发货。"
"Cannot update item quantity.","无法更新商品数量。"
"The invoice has been voided.","发票已经作废。"
"Invoice voiding error","排除错误的发票"
"%1 order(s) cannot be canceled.","%1 订单不能取消。"
"You cannot cancel the order(s).","你不能取消订单。"
"We canceled %1 order(s).","我们取消了 %1 订单。"
"%1 order(s) were not put on hold.","% 1订单（s）没有被搁置。"
"No order(s) were put on hold.","没有订单被暂时挂起。"
"You have put %1 order(s) on hold.","你已经搁置 %1 订单。"
"%1 order(s) were not released from on hold status.","%1 订单从搁置状态恢复。"
"No order(s) were released from on hold status.","没有订单从搁置状态被恢复。"
"%1 order(s) have been released from on hold status.","%1 订单已经从搁置状态被恢复。"
"There are no printable documents related to selected orders.","没有可打印的文档与所选订单相关。"
"The payment has been accepted.","付款已被接受。"
"The payment has been denied.","付款已被拒绝。"
"Transaction has been approved.","事务已被批准。"
"Transaction has been voided/declined.","事务已被作废/拒绝。"
"There is no update for the transaction.","该事务没有更新。"
"We can't update the payment right now.","我们不能更新现在的付款。"
"You assigned the order status.","你分配的订单状态。"
"Something went wrong while assigning the order status.","在分配订单状态时出了错。"
"We can't find this order status.","我们找不到此订单状态。"
"Create New Order Status","创建新的订单状态"
"We found another order status with the same order status code.","我们在相同的订单状态代码中找到了另一个订单状态。"
"You saved the order status.","订单状态已保存"
"We can't add the order status right now.","我们现在不能添加订单状态。"
"You have unassigned the order status.","你有未分配的订单状态。"
"Something went wrong while unassigning the order.","在未分配订单时出现了一些问题。"
"Can't unhold order.","不能恢复秩序。"
"You released the order from holding status.","你从持有状态释放了订单。"
"The order was not on hold.","命令未被搁置。"
"Exception occurred during order load","在顺序加载过程中出现异常"
"Something went wrong while saving the gift message.","保存礼物留言时出了错。"
"You saved the gift card message.","你保存礼物卡留言。"
"The payment has been voided.","付款已失效。"
"We can't void the payment right now.","我们不能无效现在的付款。"
"Please correct the transaction ID and try again.","请更正的交易记录 ID，然后重试。"
"The transaction details have been updated.","已更新交易记录详细信息。"
"We can't update the transaction details.","我们不能更新交易记录详细信息。"
"Orders and Returns","订单与退货"
"Home","首页"
"Go to Home Page","前往主页"
"You entered incorrect data. Please try again.","您输入了不正确的数据。请再试一次。"
"We can't find this wish list.","我们找不到这个愿望清单。"
"We could not add a product to cart by the ID ""%1"".","我们不能添加产品到购物车按 ID""%1""。"
"There is an error in one of the option rows.","还有一个选项行中的错误。"
"Shipping Address: ","送货地址:"
"Billing Address: ","帐单地址:"
"Please specify order items.","请指定订单项。"
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","此付款方式是不可用的。"
"Validation is failed.","验证失败。"
"You did not email your customer. Please check your email settings.","你不没有电子邮件，您的客户。请检查您的电子邮件设置。"
"-- Please Select --","-- 请选择 --"
"Path ""%1"" is not part of allowed directory ""%2""","路径“% 1”并不是允许目录“% 2”的一部分"
"Identifying Fields required","确定所需字段"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""发票文档验证错误： \n""。"
"Could not save an invoice, see error log for details","无法保存发票，请参阅错误日志以获取详细信息"
"A hold action is not available.","保持操作不可用。"
"You cannot remove the hold.","您不能删除挂起。"
"We cannot cancel this order.","我们不能取消此订单。"
"Guest","访客"
"Please enter the first name.","请输入名字。"
"Please enter the last name.","请输入姓氏。"
"Please enter the street.","请输入国家。"
"Please enter the city.","请输入城市。"
"Please enter the phone number.","请输入电话号码。"
"Please enter the company.","请输入公司名称。"
"Please enter the fax number.","请输入传真号码。"
"Please enter the zip/postal code.","请输入邮政编码。"
"Please enter the country.","请输入国家。"
"Please enter the state/province.","请输入省/市/自治区。"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","待付款"
"Refunded","已退款"
"Canceled","已取消"
"Unknown State","未知状态"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","我们发现无效的数量，退还项目""%1""。"
"The creditmemo contains product item that is not part of the original order.","付款包含不是原始订单的一部分的产品项目。"
"The quantity to refund must not be greater than the unrefunded quantity.","退还的数量不得超过未退还的数量。"
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","最大的航运量允许退还是: %1"
"Order Id is required for creditmemo document","订单 Id 是需要付款文件"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","付款包含不是原始订单的一部分的产品项目。"
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","退还的数量不得超过未退还的数量。"
"You can't create a creditmemo without products.","您不能创建产品的发票。"
"The most money available to refund is %1.","最多可退还的钱是 %1。"
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","这项命令已经有关联的客户帐户"
"Paid","最近查看过的"
"We cannot register an existing invoice","我们不能注册现有的发票"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","我们不能为订单创建信用备忘录。"
"Order Id is required for invoice document","发票文件需要订单号"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","发票数量不得大于产品SKU“% 1”的发票数量。"
"The invoice contains one or more items that are not part of the original order.","发票包含一个或多个不属于原始订单的项目。"
"ID required","ID required"
"Unknown Status","未知的状态"
"Ordered","已下单"
"Shipped","已开发票数量"
"Invoiced","已出发票"
"Backordered","延期交货"
"Returned","已退回"
"Partial","部分"
"Mixed","混合"
"Registered a Void notification.","注册无效的通知。"
"If the invoice was created offline, try creating an offline credit memo.","如果创建了一种脱机的发票，请尝试创建脱机贷项通知单。"
"We refunded %1 online.","我们在线退款% 1。"
"We refunded %1 offline.","我们离线退还% 1。"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN""退还""。由商人发出退款。登记通知关于 %1 的退款金额。交易记录 ID:""%2""。尚未创建贷项通知单。请创建脱机贷项通知单。"
"The credit memo has been created automatically.","贷项通知单已自动创建。"
"Registered notification about refunded amount of %1.","登记通知关于 %1 的退款金额。"
"Canceled order online","在线取消的订单"
"Canceled order offline","离线取消的订单"
"Approved the payment online.","通过在线支付。"
"There is no need to approve this payment.","没有必要批准这笔付款。"
"Denied the payment online","否认在线支付"
"Registered update about approved payment.","关于核准付款的注册的更新。"
"Registered update about denied payment.","关于被拒绝付款的注册的更新。"
"There is no update for the payment.","付款没有更新。 "
"Voided authorization.","废弃的授权
"
"Amount: %1.","金额: %1。"
"Transaction ID: ""%1""","交易记录 ID:""%1"""
"The payment method you requested is not available.","付款不允许存储对象。"
"The payment disallows storing objects.","付款不允许存储对象。"
"The transaction ""%1"" cannot be captured yet.","事务“% 1”还无法捕获。"
"The parent transaction ID must have a transaction ID.","父事务 ID 必须具有事务 id。"
"Payment transactions disallow storing objects.","付款交易记录不允许存储对象。"
"The transaction ""%1"" (%2) is already closed.","""%1""(%2) 交易已关闭。"
"Set order for existing transactions not allowed","为现有的交易记录，不允许设置顺序"
"At minimum, you need to set a payment ID.","至少，您需要设置一个付款 id。"
"Order","订单"
"Authorization","发送至"
"We found an unsupported transaction type ""%1"".","我们发现不支持的交易记录类型""%1""。"
"Please set a proper payment and order id.","请设置适当的付款和订单 id。"
"Please enter a Transaction ID.","请输入一个事务 id。"
"You can't do this without a transaction object.","你不能没有一个事务对象。"
"Order # ","订单 #"
"Order Date: ","订单日期:"
"Sold to:","卖给:"
"Ship to:","送货地址:"
"Payment Method:","支付方式:"
"Shipping Method:","送货方法："
"Total Shipping Charges","总运费"
"Title","标题"
"Number","数字"
"We found an invalid renderer model.","我们发现无效渲染器模型。"
"Please define the PDF object before using.","请在使用前定义 PDF 对象。"
"We don't recognize the draw line data. Please define the ""lines"" array.","我们不认识画线数据。请定义""线""数组。"
"Products","产品展示"
"Total (ex)","共有 (ex)"
"Qty","数量"
"Tax","税"
"Total (inc)","共有 (inc)"
"Credit Memo # ","信用备忘录 #"
"Invoice # ","发票号码"
"The order object is not specified.","未指定 order 对象。"
"The source object is not specified.","未指定的源对象。"
"An item object is not specified.","未指定一个 item 对象。"
"A PDF object is not specified.","未指定 PDF 对象。"
"A PDF page object is not specified.","未指定 PDF 页面对象。"
"Excl. Tax","不含税"
"Incl. Tax","含。税"
"Packing Slip # ","装箱单 #"
"title","标题"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","PDF 总模型 %1 必须或延长 \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal。"
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","我们不能注册现有装运"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","不能为跟踪对象加载父装运。"
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","装运单据所需的订单编号"
"You can't create a shipment without products.","没有产品，你不能创建一个货件。 "
"The shipment contains product SKU ""%1"" that is not part of the original order.","这批货物中含有产品SKU“% 1”，这不是原订单的一部分。"
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","货物的数量不得超过产品SKU“% 1”的未装运数量。"
"Please enter a tracking number.","请输入一个跟踪号码。"
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","总模型应该从 \Magento\Sales\Model\Order\Total\AbstractTotal 扩展。"
"An invoice cannot be created when an order has a status of %1","订单的状态为 %1 时，不能创建发票"
"A creditmemo can not be created when an order has a status of %1","订单的状态为 %1 时，不能创建发票"
"The order does not allow a creditmemo to be created.","订单不允许创建发票。"
"A shipment cannot be created when an order has a status of %1","当订单有% 1状态时，无法创建发货。"
"The order does not allow a shipment to be created.","该订单不允许创建一批货物。"
"""Creditmemo Document Validation Error(s):\n"" .","""发票文档验证错误： \n""。"
"Could not save a Creditmemo, see error log for details","无法保存发票，请参阅错误日志以获取详细信息"
"We cannot determine the field name.","我们不能确定字段名称。"
"City","城市"
"Company","地址"
"Country","国家"
"Email","邮箱"
"First Name","名"
"Last Name","姓"
"State/Province","州/省"
"Street Address","街道地址"
"Phone Number","电话号码"
"Zip/Postal Code","邮编"
"We can't save the address:\n%1","我们不能保存的地址:%1"
"Cannot save comment:\n%1","不能保存备注:%1"
"We don't have enough information to save the parent transaction ID.","我们没有足够的信息来保存父事务 id。"
"We cannot create an empty shipment.","我们不能创建空的装运。"
"Cannot save track:\n%1","无法保存轨道:%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","新订单"
"Order #%1 created at %2","在 %2 上创建的订单 #%1"
"Details for %1 #%2","%1 #%2 的详细信息"
"Notified Date: %1","通知日期: %1"
"Comment: %1<br/>","评论: %1 <br/>"
"Current Status: %1<br/>","当前状态: %1 <br/>"
"Total: %1<br/>","总数: %1 <br/>"
"Order # %1 Notification(s)","订单 # %1 由于"
"You can not cancel Credit Memo","你不可以取消的贷项通知单"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","我们不能注册现有的贷项通知单。"
"We found an invalid quantity to invoice item ""%1"".","我们发现一个无效的数量，发票项目""%1""。"
"The Order State ""%1"" must not be set manually.","并非必须手动设置订单状态""%1""。"
"""Shipment Document Validation Error(s):\n"" .","“装运文档验证错误”：“n”。"
"Could not save a shipment, see error log for details","无法保存发票，请参阅错误日志以获取详细信息"
"VAT Request Identifier","增值税请求标识符"
"VAT Request Date","增值税请求日期"
"Pending Payment","待付款"
"Processing","处理中"
"On Hold","等待审核"
"Complete","完成"
"Closed","已关闭"
"Suspected Fraud","疑似欺诈行为"
"Payment Review","付款的审查"
"New","新建"
"Product doesn't exist","Product doesn't exist"
"test message","测试消息"
"Email has not been sent","尚未发送电子邮件"
"Authorized amount of %1","预授权的金额的 %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","查看"
"Group was removed","删除组"
"Changing address information will not recalculate shipping, tax or other order amount.","更改地址信息将不重新计算航运、 税收或其他订单金额。"
"Comment Text","数字"
"Notify Customer by Email","客户通过电子邮件通知"
"Visible on Storefront","在店面上可见"
"Customer","客户"
"Notified","已通知。"
"Not Notified","不通知"
"No Payment Methods","没有付款方法"
"Order Comments","订单的评论"
"Apply Coupon Code","适用的优惠券代码"
"Apply","应用"
"Remove Coupon Code","删除优惠券代码"
"Remove","删除"
"Address Information","地址信息"
"Payment &amp; Shipping Information","付款和发货信息"
"Order Total","订单总额"
"Order Currency:","订单币种:"
"Same As Billing Address","与账单地址相同"
"Select from existing customer addresses:","从现有的客户地址中选择:"
"Add New Address","添加新地址"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","你不需要选择送货地址。"
"Gift Message for the Entire Order","整个订单的礼物留言"
"Leave this box blank if you don't want to leave a gift message for the entire order.","将此框保留为空，如果你不想离开整个订单的礼物留言。"
"Row Subtotal","行小计"
"Action","操作"
"No ordered items","没有订购项"
"Update Items and Quantities","更新商品及数量"
"Total %1 product(s)","总计%1 产品"
"Subtotal:","小计："
"Tier Pricing","层级价格"
"Custom Price","自定义价格"
"Please select","请选择"
"Move to Shopping Cart","移动到购物车"
"Move to Wish List","移动到收藏夹"
"Subscribe to Newsletter","订阅到新闻通讯"
"Click to change shipping method","单击要更改的运输方法。"
"Sorry, no quotes are available for this order.","对不起，没有引号都可用此订单。"
"Get shipping methods and rates","让送货方式及费率"
"You don't need to select a shipping method.","你不需要选择送货方式。"
"Customer's Activities","客户活动"
"Refresh","刷新"
"Item","产品"
"Add To Order","无项目"
"Configure and Add to Order","配置和添加到订单"
"No items","没有项目"
"Append Comments","添加评论"
"Email Order Confirmation","电子邮件订单确认"
"Grand Total Excl. Tax","盛大的税金除外"
"Grand Total Incl. Tax","盛大的税金除外"
"Subtotal (Excl. Tax)","小计 (不包括税)"
"Subtotal (Incl. Tax)","小计 (含税)"
"Payment &amp; Shipping Method","付款及运送方法"
"Payment Information","支付信息"
"The order was placed using %1.","有一种订单使用 %1。"
"Shipping Information","运输方式"
"Items to Refund","退款的项目"
"Return to Stock","返回到股票"
"Qty to Refund","退回的数量"
"Tax Amount","税额"
"Discount Amount","折扣金额"
"Row Total","总行数"
"No Items To Refund","没有退款的项目"
"Credit Memo Comments","信用备忘录评论"
"Refund Totals","退款合计"
"Email Copy of Credit Memo","电子邮件拷贝的贷项通知单"
"Please enter a positive number in this field.","请在此字段中输入一个正数。"
"Items Refunded","退还商品"
"No Items","没有商品"
"Memo Total","总备注"
"Credit Memo History","信贷备注历史"
"Credit Memo Totals","贷方备忘录合计"
"Customer Name: %1","客户名称: %1"
"Purchased From: %1","从购买: %1"
"Gift Message","礼品消息"
"From:","从："
"To:","至："
"Message:","消息："
"Shipping &amp; Handling","运费和手续费"
"Gift Options","礼物选项"
"Create Shipment","创建装运"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","发票和装运类型不匹配此订单上的某些商品。您可以创建仅在创建发票后的装运。"
"%1","1%"
"Qty to Invoice","开票数量"
"Invoice History","发票历史"
"Invoice Comments","发票的评论"
"Invoice Totals","发票合计"
"Amount","数量"
"Capture Online","捕获在线"
"Capture Offline","捕获脱机"
"Not Capture","不捕获"
"The invoice will be created offline without the payment gateway.","发票将在没有支付网关的情况下离线创建。"
"Email Copy of Invoice","发票的电子邮件副本"
"Items Invoiced","商品开票"
"Total Tax","总税款"
"From Name","从名称"
"To Name","名称"
"Status","状态"
"Comment","评论"
"Notification Not Applicable","通知不适用"
"Order & Account Information","订单与帐户信息"
"The order confirmation email was sent","订单确认电子邮件已发送"
"The order confirmation email is not sent","订单确认电子邮件未发送"
"Order Date","订单日期"
"Order Date (%1)","订单日期 (%1)"
"Purchased From","从购买"
"Link to the New Order","链接到新的订单"
"Link to the Previous Order","链接到以前的订单"
"Placed from IP","从 IP 放"
"%1 / %2 rate:","%1 / %2 率:"
"Edit Customer","Edit Customer"
"Customer Name","客户名称"
"Customer Group","客户组"
"Notes for this Order","此订单的注意事项"
"Comment added","添加备注"
"Transaction Data","交易数据"
"Transaction ID","交易记录 ID"
"Parent Transaction ID","父事务 ID"
"Order ID","订单 ID"
"Transaction Type","交易类型"
"Is Closed","关闭"
"Created At","创建于"
"Child Transactions","儿童交易"
"Transaction Details","交易明细"
"Items","产品"
"Gift Message for this Order","此订单的礼物留言"
"Shipped By","运输由"
"Tracking Number","追踪号码"
"Billing Last Name","账单的姓"
"Find Order By","查找订单由"
"ZIP Code","邮政编码"
"Billing ZIP Code","帐单邮政编码"
"Continue","继续"
"Print All Refunds","打印所有退款"
"Refund #","退款 #"
"Print Refund","打印退款"
"Product Name","产品名称"
"Order #","订单 #"
"Date","日期"
"Ship To","船到"
"Actions","动作"
"View Order","查看订单"
"You have placed no orders.","你还没有订单。"
"No shipping information available","没有可用的航运信息"
"Print Order","打印订单"
"Print All Invoices","打印所有发票"
"Invoice #","发票号码"
"Print Invoice","打印发票"
"Qty Invoiced","开票数量"
"Close","关闭"
"About Your Order","关于您的订单"
"<span class=""label"">Order Date:</span> %1","<span class=""label""> 订购日期:</span> %1"
"Refund #%1","退款 #%1"
"Shipment #%1","装运 #%1"
"Qty Shipped","已发货数量"
"Recent Orders","最近的订单"
"View All","查看全部"
"Gift Message for This Order","此订单的礼物留言"
"Recently Ordered","最近订购的"
"Add to Cart","添加到购物车"
"Search","搜索"
"Credit memo for your %store_name order","更新到您的 %store_name 订单"
