"Credit Memos","ණය මතක සටහන්"
"New Credit Memo for Invoice #%1","ඉන්වොයිසිය #%1සඳහා නව ණය සටහන"
"New Credit Memo for Order #%1","ඇණවුම #%1සඳහා නව ණය සටහන"
"Refund Shipping (Incl. Tax)","ආපසු නැව්ගත කිරීම (බදු ඇතුළුව)"
"Refund Shipping (Excl. Tax)","ආපසු ගෙවීමේ නැව්ගත කිරීම (බදු හැර)"
"Refund Shipping","ආපසු ගෙවීමේ නැව්ගත කිරීම"
"Update Qty's","Qty යාවත්කාලීන කරන්න"
"Update Totals","එකතු කිරීම් යාවත්කාලීන කරන්න"
"Refund","ආපසු ගෙවීම"
"Refund Offline","නොබැඳි ලෙස ආපසු ගෙවීම"
"Paid Amount","ගෙවූ මුදල"
"Refund Amount","ආපසු ගෙවන මුදල"
"Shipping Amount","නැව්ගත කිරීමේ මුදල"
"Shipping Refund","නැව්ගත කිරීමේ මුදල් ආපසු ගෙවීම"
"Order Grand Total","Grand Total ඇණවුම් කරන්න"
"Adjustment Refund","ගැලපුම් ආපසු ගෙවීම"
"Adjustment Fee","ගැලපුම් ගාස්තුව"
"Send Email","ඊමේල් යවන්න"
"Are you sure you want to send a credit memo email to customer?","ඔබට ගනුදෙනුකරුට ණය මතක විද්‍යුත් තැපෑලක් යැවීමට අවශ්‍ය බව විශ්වාසද?"
"Void","ශුන්‍ය"
"Print","මුද්‍රණය කරන්න"
"The credit memo email was sent.","ණය මතක ඊමේල් යවා ඇත."
"The credit memo email wasn't sent.","ණය මතක ඊමේල් යවා නැත."
"Credit Memo #%1 | %3 | %2 (%4)","ණය සටහන #%1 | %3 | %2 (%4)"
"Total Refund","සම්පූර්ණ ආපසු ගෙවීම"
"New Invoice and Shipment for Order #%1","ඇණවුම #%1සඳහා නව ඉන්වොයිසිය සහ නැව්ගත කිරීම"
"New Invoice for Order #%1","ඇණවුම #%1සඳහා නව ඉන්වොයිසිය"
"Submit Invoice and Shipment","ඉන්වොයිසිය සහ නැව්ගත කිරීම ඉදිරිපත් කරන්න"
"Submit Invoice","ඉන්වොයිසිය ඉදිරිපත් කරන්න"
"Are you sure you want to send an invoice email to customer?","ඔබට පාරිභෝගිකයාට ඉන්වොයිස් ඊ-තැපෑලක් යැවීමට අවශ්‍ය බව විශ්වාසද?"
"Credit Memo","ණය සටහන"
"Capture","අල්ලා ගැනීම"
"The invoice email was sent.","ඉන්වොයිස් ඊමේල් යවා ඇත."
"The invoice email wasn't sent.","ඉන්වොයිස් ඊමේල් යවා නැත."
"Invoice #%1 | %2 | %4 (%3)","ඉන්වොයිසිය #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","මෙම වාරණ සඳහා වලංගු නොවන මාපිය වාරණය"
"Order Statuses","ඇණවුම් තත්ත්වයන්"
"Create New Status","නව තත්වයක් සාදන්න"
"Assign Status to State","රාජ්යයට තත්ත්වය පවරන්න"
"Save Status Assignment","තත්ත්ව පැවරුම සුරකින්න"
"Assign Order Status to State","නියෝගයේ තත්ත්වය රාජ්යයට පවරන්න"
"Assignment Information","පැවරුම් තොරතුරු"
"Order Status","ඇණවුම් තත්ත්වය"
"Order State","නියෝගය රාජ්යය"
"Use Order Status As Default","පෙරනිමියෙන් ඇණවුම් තත්ත්වය භාවිතා කරන්න"
"Visible On Storefront","වෙළඳසැල ඉදිරිපිට දෘශ්‍යමාන වේ"
"Edit Order Status","ඇණවුම් තත්ත්වය සංස්කරණය කරන්න"
"Save Status","තත්ත්වය සුරකින්න"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Order Status Information","ඇණවුම් තත්ව තොරතුරු"
"Status Code","තත්ව කේතය"
"Status Label","තත්ව ලේබලය"
"Store View Specific Labels","ගබඩා බලන්න විශේෂිත ලේබල්"
"Total Paid","මුළු ගෙවා ඇත"
"Total Refunded","සම්පූර්ණ ආපසු ගෙවන ලදී"
"Total Due","සම්පූර්ණ ගෙවීම"
"Edit","සංස්කරණය කරන්න"
"Are you sure you want to send an order email to customer?","ඔබට පාරිභෝගිකයාට ඇණවුම් විද්‍යුත් තැපෑලක් යැවීමට අවශ්‍ය බව විශ්වාසද?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","මෙය නොබැඳි ආපසු ගෙවීමක් සාදනු ඇත. මාර්ගගත මුදල් ආපසු ගෙවීමක් සෑදීමට, ඉන්වොයිසියක් විවෘත කර ඒ සඳහා ණය සටහනක් සාදන්න. ඔබට දිගටම කරගෙන යාමට අවශ්‍යද?"
"Are you sure you want to void the payment?","ඔබට ගෙවීම අවලංගු කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Hold","අල්ලගෙන ඉන්න"
"hold","අල්ලාගෙන සිටින්න"
"Unhold","රඳවා නොගන්න"
"unhold","රඳවා නොගන්න"
"Are you sure you want to accept this payment?","ඔබට මෙම ගෙවීම පිළිගැනීමට අවශ්‍ය බව විශ්වාසද?"
"Accept Payment","ගෙවීම පිළිගන්න"
"Are you sure you want to deny this payment?","ඔබට මෙම ගෙවීම ප්‍රතික්ෂේප කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Deny Payment","ගෙවීම ප්‍රතික්ෂේප කරන්න"
"Get Payment Update","ගෙවීම් යාවත්කාලීන ලබා ගන්න"
"Invoice and Ship","ඉන්වොයිසිය සහ නැව්"
"Invoice","ඉන්වොයිසිය"
"Ship","නැව"
"Reorder","නැවත ඇණවුම් කරන්න"
"Order # %1 %2 | %3","ඇණවුම # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","මෙම ඇණවුමෙහි අයිතම (%1) අඩංගු වන අතර එබැවින් පරිපාලක අතුරුමුහුණත හරහා සංස්කරණය කළ නොහැක. ඔබට දිගටම සංස්කරණය කිරීමට අවශ්‍ය නම්, (%2) අයිතම ඉවත් කරනු ලැබේ, ඇණවුම අවලංගු කර නව ඇණවුමක් කරනු ලැබේ."
"Are you sure? This order will be canceled and a new one will be created instead.","ඔබට විශ්වාසද? මෙම ඇණවුම අවලංගු කර ඒ වෙනුවට අලුත් එකක් සාදනු ඇත."
"Save Gift Message","තෑගි පණිවිඩය සුරකින්න"
" [deleted]"," [deleted]"
"Order Credit Memos","ණය මතක සටහන් ඇණවුම් කරන්න"
"Credit memo #%1 created","ණය සටහන #%1 සාදන ලදී"
"Credit memo #%1 comment added","ණය සටහන #%1 අදහස එකතු කරන ලදී"
"Shipment #%1 created","නැව්ගත කිරීම #%1 සාදන ලදී"
"Shipment #%1 comment added","නැව්ගත කිරීම #%1 අදහස එකතු කරන ලදී"
"Invoice #%1 created","ඉන්වොයිසිය #%1 සාදන ලදී"
"Invoice #%1 comment added","ඉන්වොයිසිය #%1 අදහස් එක් කරන ලදී"
"Tracking number %1 for %2 assigned","%2 සඳහා ලුහුබැඳීමේ අංක %1 පවරා ඇත"
"Comments History","අදහස් ඉතිහාසය"
"Order History","ඇණවුම් ඉතිහාසය"
"Information","විස්තර"
"Order Information","ඇණවුම් තොරතුරු"
"Order Invoices","ඉන්වොයිසි ඇණවුම් කරන්න"
"Shipments","නැව්ගත කිරීම්"
"Order Shipments","නැව්ගත කිරීම් ඇණවුම් කරන්න"
"Transactions","ගනුදෙනු"
"Order View","දර්ශනය ඇණවුම් කරන්න"
"Any","කිසියම්"
"Specified","නිශ්චිතව දක්වා ඇත"
"Applies to Any of the Specified Order Statuses except canceled orders","අවලංගු කරන ලද ඇණවුම් හැර ඕනෑම නිශ්චිත ඇණවුම් තත්ත්වයකට අදාළ වේ"
"Cart Price Rule","කරත්ත මිල රීතිය"
"Yes","ඔව්"
"No","නැත"
"Show Actual Values","සැබෑ අගයන් පෙන්වන්න"
"New Order RSS","නව නියෝගය RSS"
"Subtotal","උප එකතුව"
"Shipping & Handling","නැව්ගත කිරීම සහ හැසිරවීම"
"Discount (%1)","වට්ටම් (%1)"
"Discount","වට්ටම්"
"Grand Total","මුලු එකතුව"
"Back","ආපසු"
"Fetch","ගෙනෙන්න"
"Transaction # %1 | %2","ගනුදෙනු # %1 | %2"
"N/A","N/A"
"Key","යතුර"
"Value","වටිනාකම"
"We found an invalid entity model.","අපි වලංගු නොවන ආයතන ආකෘතියක් සොයා ගත්තෙමු."
"Order # %1","ඇණවුම # %1"
"Back to My Orders","මගේ ඇණවුම් වෙත නැවත යන්න"
"View Another Order","තවත් ඇණවුමක් බලන්න"
"About Your Refund","ඔබේ මුදල් ආපසු ගෙවීම ගැන"
"My Orders","මගේ නියෝග"
"Subscribe to Order Status","ඇණවුම් තත්ත්වයට දායක වන්න"
"About Your Invoice","ඔබේ ඉන්වොයිසිය ගැන"
"Print Order # %1","මුද්‍රණ ඇණවුම # %1"
"Grand Total to be Charged","අය කළ යුතු විශාල එකතුව"
"Unassign","පැවරීම ඉවත් කරන්න"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","ඔබ පණිවිඩය එවා ඇත."
"Sales","විකුණුම්"
"Invoice capturing error","ඉන්වොයිස් ග්‍රහණය කිරීමේ දෝෂයකි"
"This order no longer exists.","මෙම ඇණවුම තවදුරටත් නොපවතී."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","අපට ඇණවුම් ඉතිහාසය එක් කළ නොහැක."
"You updated the order address.","ඔබ ඇණවුම් ලිපිනය යාවත්කාලීන කළා."
"We can't update the order address right now.","අපට දැන් ඇණවුම් ලිපිනය යාවත්කාලීන කළ නොහැක."
"You have not canceled the item.","ඔබ අයිතමය අවලංගු කර නැත."
"You canceled the order.","ඔබ ඇණවුම අවලංගු කළා."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" කූපන් කේතය යෙදුවේ නැත. අයදුම් නොකරන්න අයිතම(ය) සඳහා වට්ටම් තෝරා ඇත"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","කූපන් කේතය පිළිගෙන ඇත."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","නව ඇණවුම"
"You created the order.","ඔබ ඇණවුම නිර්මාණය කළා."
"Order saving error: %1","ඇණවුම් සුරැකීමේ දෝෂය: %1"
"Cannot add new comment.","නව අදහස් එක් කළ නොහැක."
"The credit memo has been canceled.","ණය සංදේශය අවලංගු කර ඇත."
"Credit memo has not been canceled.","ණය සංදේශය අවලංගු කර නැත."
"New Memo for #%1","#%1සඳහා නව Memo"
"New Memo","අලුත් Memo"
"The credit memo's total must be positive.","ණය සංදේශයේ එකතුව ධනාත්මක විය යුතුය."
"Cannot create online refund for Refund to Store Credit.","ගබඩා ණය ආපසු ගෙවීම සඳහා මාර්ගගත මුදල් ආපසු ගෙවීමක් නිර්මාණය කළ නොහැක."
"You created the credit memo.","ඔබ ණය සටහන නිර්මාණය කළා."
"We can't save the credit memo right now.","අපට දැන් ණය මතකය සුරැකිය නොහැක."
"We can't update the item's quantity right now.","අපට දැන් අයිතමයේ ප්‍රමාණය යාවත්කාලීන කළ නොහැක."
"View Memo for #%1","#%1සඳහා Memo බලන්න"
"View Memo","Memo බලන්න"
"You voided the credit memo.","ඔබ ණය සංදේශය අවලංගු කළා."
"We can't void the credit memo.","අපට ණය සංදේශය අවලංගු කළ නොහැක."
"The order no longer exists.","ඇණවුම තවදුරටත් නොපවතී."
"We can't create credit memo for the order.","අපට ඇණවුම සඳහා ණය මතක සටහන් සෑදිය නොහැක."
"Edit Order","ඇණවුම සංස්කරණය කරන්න"
"You sent the order email.","ඔබ ඇණවුම් විද්‍යුත් තැපෑල එවා ඇත."
"We can't send the email order right now.","අපට දැන් ඊමේල් ඇණවුම යැවිය නොහැක."
"You have not put the order on hold.","ඔබ ඇණවුම අත්හිටුවා නැත."
"You put the order on hold.","ඔබ ඇණවුම අත්හිටුවා ඇත."
"You canceled the invoice.","ඔබ ඉන්වොයිසිය අවලංගු කළා."
"Invoice canceling error","ඉන්වොයිසිය අවලංගු කිරීමේ දෝෂයකි"
"The invoice has been captured.","ඉන්වොයිසිය අල්ලාගෙන ඇත."
"The order does not allow an invoice to be created.","ඇණවුම ඉන්වොයිසියක් සෑදීමට ඉඩ නොදේ."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","නව ඉන්වොයිසිය"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","ඔබ ඉන්වොයිසිය සහ නැව්ගත කිරීම නිර්මාණය කළා."
"The invoice has been created.","ඉන්වොයිසිය නිර්මාණය කර ඇත."
"We can't send the invoice email right now.","අපට දැන් ඉන්වොයිස් විද්‍යුත් තැපෑල යැවිය නොහැක."
"We can't send the shipment right now.","අපට දැන් නැව්ගත කිරීම යැවිය නොහැක."
"Cannot update item quantity.","අයිතම ප්‍රමාණය යාවත්කාලීන කළ නොහැක."
"The invoice has been voided.","ඉන්වොයිසිය අවලංගු කර ඇත."
"Invoice voiding error","ඉන්වොයිසිය අවලංගු කිරීමේ දෝෂයකි"
"%1 order(s) cannot be canceled.","%1 ඇණවුම(ය) අවලංගු කළ නොහැක."
"You cannot cancel the order(s).","ඔබට ඇණවුම(ය) අවලංගු කළ නොහැක."
"We canceled %1 order(s).","අපි ඇණවුම(න්) %1 ක් අවලංගු කළෙමු."
"%1 order(s) were not put on hold.","%1 ඇණවුම (ය) අත්හිටුවා නැත."
"No order(s) were put on hold.","කිසිදු නියෝගයක් (න්) අත්හිටුවා නැත."
"You have put %1 order(s) on hold.","ඔබ ඇණවුම(න්) %1 ක් රඳවා තබා ඇත."
"%1 order(s) were not released from on hold status.","%1 ඇණවුම්(ය) රඳවා තබා ඇති තත්ත්වයෙන් නිදහස් කර නැත."
"No order(s) were released from on hold status.","රඳවා තබා ඇති තත්ත්වයෙන් කිසිදු ඇණවුමක් නිකුත් කර නොමැත."
"%1 order(s) have been released from on hold status.","%1 ඇණවුම්(ය) රඳවා තබා ඇති තත්ත්වයෙන් නිදහස් කර ඇත."
"There are no printable documents related to selected orders.","තෝරාගත් ඇණවුම්වලට අදාළ මුද්‍රණය කළ හැකි ලේඛන නොමැත."
"The payment has been accepted.","ගෙවීම පිළිගෙන ඇත."
"The payment has been denied.","ගෙවීම ප්රතික්ෂේප කර ඇත."
"Transaction has been approved.","ගනුදෙනුව අනුමත කර ඇත."
"Transaction has been voided/declined.","ගනුදෙනුව අවලංගු/ප්‍රතික්ෂේප කර ඇත."
"There is no update for the transaction.","ගනුදෙනුව සඳහා යාවත්කාලීන නොමැත."
"We can't update the payment right now.","අපට දැන් ගෙවීම යාවත්කාලීන කළ නොහැක."
"You assigned the order status.","ඔබ ඇණවුම් තත්ත්වය පවරන ලදී."
"Something went wrong while assigning the order status.","ඇණවුම් තත්ත්වය පවරන අතරතුර යම් දෙයක් වැරදී ඇත."
"We can't find this order status.","අපට මෙම ඇණවුම් තත්ත්වය සොයාගත නොහැක."
"Create New Order Status","නව ඇණවුම් තත්ත්වය සාදන්න"
"We found another order status with the same order status code.","එකම ඇණවුම තත්ව කේතය සහිත තවත් ඇණවුම් තත්වයක් අපට හමු විය."
"You saved the order status.","ඔබ ඇණවුම් තත්ත්වය සුරකින ලදී."
"We can't add the order status right now.","අපට දැන් ඇණවුම් තත්ත්වය එක් කළ නොහැක."
"You have unassigned the order status.","ඔබ ඇණවුම් තත්ත්වය පැවරීම ඉවත් කර ඇත."
"Something went wrong while unassigning the order.","ඇණවුම පැවරීම ඉවත් කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Can't unhold order.","ඇණවුම අත්හිටුවිය නොහැක."
"You released the order from holding status.","ඔබ තත්ත්‍වයෙන් ඇණවුම මුදා හැරියේය."
"The order was not on hold.","ඇණවුම අත්හිටුවා නොතිබුණි."
"Exception occurred during order load","ඇණවුම පැටවීමේදී ව්යතිරේකය සිදු විය"
"Something went wrong while saving the gift message.","තෑගි පණිවිඩය සුරැකීමේදී යමක් වැරදී ඇත."
"You saved the gift card message.","ඔබ තෑගි කාඩ්පත් පණිවිඩය සුරකින ලදී."
"The payment has been voided.","ගෙවීම අවලංගු කර ඇත."
"We can't void the payment right now.","අපට දැන් ගෙවීම අවලංගු කළ නොහැක."
"Please correct the transaction ID and try again.","කරුණාකර ගනුදෙනු හැඳුනුම්පත නිවැරදි කර නැවත උත්සාහ කරන්න."
"The transaction details have been updated.","ගනුදෙනු විස්තර යාවත්කාලීන කර ඇත."
"We can't update the transaction details.","අපට ගනුදෙනු විස්තර යාවත්කාලීන කළ නොහැක."
"Orders and Returns","ඇණවුම් සහ ආපසු"
"Home","නිවස"
"Go to Home Page","මුල් පිටුවට යන්න"
"You entered incorrect data. Please try again.","ඔබ වැරදි දත්ත ඇතුලත් කර ඇත. කරුණාකර නැවත උත්සාහ කරන්න."
"We can't find this wish list.","අපට මෙම පැතුම් ලැයිස්තුව සොයාගත නොහැක."
"We could not add a product to cart by the ID ""%1"".","අපට ""%1"" හැඳුනුම්පත මඟින් කරත්තයට නිෂ්පාදනයක් එක් කළ නොහැකි විය."
"There is an error in one of the option rows.","විකල්ප පේළි වලින් එකක දෝෂයක් ඇත."
"Shipping Address: ","බෙදාහැරීමේ ලිපිනය: "
"Billing Address: ","බිල්පත් ලිපිනය: "
"Please specify order items.","කරුණාකර ඇණවුම් අයිතම සඳහන් කරන්න."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","මෙම ගෙවීමේ ක්‍රමය නොමැත."
"Validation is failed.","වලංගු කිරීම අසාර්ථකයි."
"You did not email your customer. Please check your email settings.","ඔබ ඔබේ පාරිභෝගිකයාට ඊමේල් කළේ නැත. කරුණාකර ඔබගේ විද්‍යුත් තැපැල් සැකසුම් පරීක්ෂා කරන්න."
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Path ""%1"" is not part of allowed directory ""%2""","""%1"" මාර්ගය ""%2"" අවසර ලත් නාමාවලියෙහි කොටසක් නොවේ"
"Identifying Fields required","අවශ්‍ය ක්ෂේත්‍ර හඳුනා ගැනීම"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""ඉන්වොයිස් ලේඛන වලංගු කිරීමේ දෝෂ(ය):\n"" ."
"Could not save an invoice, see error log for details","ඉන්වොයිසියක් සුරැකීමට නොහැකි විය, විස්තර සඳහා දෝෂ ලොගය බලන්න"
"A hold action is not available.","රඳවා ගැනීමේ ක්‍රියාවක් නොමැත."
"You cannot remove the hold.","ඔබට රඳවා තබා ගැනීම ඉවත් කළ නොහැක."
"We cannot cancel this order.","අපට මෙම ඇණවුම අවලංගු කළ නොහැක."
"Guest","අමුත්තන්ගේ"
"Please enter the first name.","කරුණාකර මුල් නම ඇතුලත් කරන්න."
"Please enter the last name.","කරුණාකර අවසන් නම ඇතුලත් කරන්න."
"Please enter the street.","කරුණාකර වීදියට ඇතුළු වන්න."
"Please enter the city.","කරුණාකර නගරයට ඇතුළු වන්න."
"Please enter the phone number.","කරුණාකර දුරකථන අංකය ඇතුලත් කරන්න."
"Please enter the company.","කරුණාකර සමාගම ඇතුළු කරන්න."
"Please enter the fax number.","කරුණාකර ෆැක්ස් අංකය ඇතුලත් කරන්න."
"Please enter the zip/postal code.","කරුණාකර zip/තැපැල් කේතය ඇතුළු කරන්න."
"Please enter the country.","කරුණාකර රට ඇතුළු කරන්න."
"Please enter the state/province.","කරුණාකර ප්‍රාන්තය/පළාත ඇතුළු කරන්න."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","පොරොත්තුවෙන්"
"Refunded","ආපසු ගෙවන ලදී"
"Canceled","අවලංගු කළා"
"Unknown State","නොදන්නා රාජ්‍යය"
"Could not delete the comment.","අදහස මැකීමට නොහැකි විය."
"Could not save the creditmemo comment.","creditmemo අදහස සුරැකීමට නොහැකි විය."
"We found an invalid quantity to refund item ""%1"".","""%1"" අයිතමය ආපසු ගෙවීමට වලංගු නොවන ප්‍රමාණයක් අපට හමු විය."
"The creditmemo contains product item that is not part of the original order.","Creditmemo හි මුල් ඇණවුමේ කොටසක් නොවන නිෂ්පාදන අයිතම අඩංගු වේ."
"The quantity to refund must not be greater than the unrefunded quantity.","ආපසු ගෙවිය යුතු ප්‍රමාණය ආපසු නොගෙවූ ප්‍රමාණයට වඩා වැඩි නොවිය යුතුය."
"Could not delete the credit memo item.","ණය මතක අයිතමය මැකීමට නොහැකි විය."
"Could not save the credit memo item.","ණය මතක අයිතමය සුරැකීමට නොහැකි විය."
"Maximum shipping amount allowed to refund is: %1","ආපසු ගෙවීමට අවසර දී ඇති උපරිම නැව්ගත කිරීමේ මුදල: %1"
"Order Id is required for creditmemo document","ක්‍රෙඩිට්මෙමෝ ලේඛනය සඳහා ඇණවුම් හැඳුනුම්පත අවශ්‍ය වේ"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","Creditmemo හි මුල් ඇණවුමේ කොටසක් නොවන SKU ""%1"" නිෂ්පාදන අඩංගු වේ."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","Creditmemo සඳහා වන ප්‍රමාණය SKU ""%1"" නිෂ්පාදන සඳහා ආපසු නොගෙවූ ප්‍රමාණයට වඩා වැඩි නොවිය යුතුය."
"You can't create a creditmemo without products.","නිෂ්පාදන නොමැතිව ඔබට ණය සටහනක් සෑදිය නොහැක."
"The most money available to refund is %1.","ආපසු ගෙවීමට ඇති වැඩිම මුදල %1වේ."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","මෙම ඇණවුම දැනටමත් සම්බන්ධිත පාරිභෝගික ගිණුමක් ඇත"
"Paid","ගෙවා ඇත"
"We cannot register an existing invoice","අපට පවතින ඉන්වොයිසියක් ලියාපදිංචි කළ නොහැක"
"Could not delete the invoice comment.","ඉන්වොයිස් අදහස මැකීමට නොහැකි විය."
"Could not save the invoice comment.","ඉන්වොයිස් අදහස සුරැකීමට නොහැකි විය."
"Could not delete the invoice item.","ඉන්වොයිස් අයිතමය මැකීමට නොහැකි විය."
"Could not save the invoice item.","ඉන්වොයිසි අයිතමය සුරැකීමට නොහැකි විය."
"We can't create creditmemo for the invoice.","අපට ඉන්වොයිසිය සඳහා ණය සටහන් නිර්මාණය කළ නොහැක."
"Order Id is required for invoice document","ඉන්වොයිස් ලේඛනය සඳහා ඇණවුම් හැඳුනුම්පත අවශ්‍ය වේ"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","ඉන්වොයිසිය සඳහා වන ප්‍රමාණය SKU ""%1"" නිෂ්පාදන සඳහා ඉන්වොයිස් නොකළ ප්‍රමාණයට වඩා වැඩි නොවිය යුතුය."
"The invoice contains one or more items that are not part of the original order.","ඉන්වොයිසියේ මුල් ඇණවුමේ කොටසක් නොවන අයිතම එකක් හෝ කිහිපයක් අඩංගු වේ."
"ID required","ID required"
"Unknown Status","නොදන්නා තත්ත්‍වය"
"Ordered","ඇණවුම් කළා"
"Shipped","නැව්ගත කර ඇත"
"Invoiced","ඉන්වොයිස් කර ඇත"
"Backordered","පිටුබලය දුන්නා"
"Returned","ආපසු ආවා"
"Partial","අර්ධ"
"Mixed","මිශ්ර"
"Registered a Void notification.","අවලංගු දැනුම්දීමක් ලියාපදිංචි කර ඇත."
"If the invoice was created offline, try creating an offline credit memo.","ඉන්වොයිසිය නොබැඳිව නිර්මාණය කර ඇත්නම්, නොබැඳි ණය සටහනක් සෑදීමට උත්සාහ කරන්න."
"We refunded %1 online.","අපි මාර්ගගතව %1 ආපසු ලබා දුන්නෙමු."
"We refunded %1 offline.","අපි නොබැඳිව %1 ආපසු ගෙවන්නෙමු."
