"Credit Memos","Hyvityslaskut"
"Are you sure you want to delete all items from shopping cart?","Haluatko varmasti poistaa kaikki kohteet ostoskorista?"
"Clear Shopping Cart","Tyhjennä ostoskori"
"Products in Comparison List","Tuotteet vertailulistalla"
"Recently Compared Products","Äskettäin vertaillut tuotteet"
"Recently Viewed Products","Äskettäin katsotut tuotteet"
"Last Ordered Items","Viimeksi tilatut nimikkeet"
"Recently Viewed","Äskettäin tarkastellut"
"Wish List","Toivelista"
"Please select a store","Valitse kauppa"
"Order Totals","Loppusummat"
"Shipping Incl. Tax (%1)","Toimitus sis. verot (%1)"
"Shipping Excl. Tax (%1)","Toimitus, veroton (%1)"
"New Credit Memo for Invoice #%1","Uusi hyvityslasku laskunumerolle %1"
"New Credit Memo for Order #%1","Uusi hyvityslasku tilaukselle %1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Refund Shipping"
"Update Qty's","Päivitä määrät"
"Update Totals","Update Totals"
"Refund","Refund"
"Refund Offline","Refund Offline"
"Paid Amount","Maksettu summa"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Tilauksen loppusumma"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Send Email","Lähetä sähköposti"
"Are you sure you want to send a credit memo email to customer?","Are you sure you want to send a credit memo email to customer?"
"Void","Mitätön"
"Print","Tulosta"
"The credit memo email was sent.","The credit memo email was sent."
"The credit memo email wasn't sent.","The credit memo email wasn't sent."
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Total Refund"
"New Invoice and Shipment for Order #%1","Uusi lasku ja toimitus tilaukselle #%1"
"New Invoice for Order #%1","Uusi lasku tilaukselle %1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Hyväksy lasku"
"Are you sure you want to send an invoice email to customer?","Are you sure you want to send an invoice email to customer?"
"Credit Memo","Hyvityslasku"
"Capture","Talteenotto"
"The invoice email was sent.","Laskun sähköposti lähetettiin."
"The invoice email wasn't sent.","The invoice email wasn't sent."
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Tilausten tilat"
"Create New Status","Luo uusi tila"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order Status","Tilauksen tila"
"Order State","Order State"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Storefront","Visible On Storefront"
"Edit Order Status","Muokkaa tilauksen tilaa"
"Save Status","Tallenna tila"
"New Order Status","Uuden tilauksen tila"
"Order Status Information","Tilauksen tilan tiedot"
"Status Code","Tilakoodi"
"Status Label","Status Label"
"Store View Specific Labels","Store View Specific Labels"
"Total Paid","Maksettu yhteensä"
"Total Refunded","Yhteensä hyvitetty"
"Total Due","Maksamatta yhteensä"
"Edit","Muokkaa"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Tämä luo offline-hyvityksen. Luodaksesi online-hyvityksen, avaa lasku ja luo hyvityslasku sille. Haluatko jatkaa?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Hold","Pitoon"
"hold","pitoon"
"Unhold","Vapauta pidosta"
"unhold","vapauta pidosta"
"Are you sure you want to accept this payment?","Haluatko varmasti hyväksyä tämän maksun?"
"Accept Payment","Hyväksy maksu"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Deny Payment","Deny Payment"
"Get Payment Update","Get Payment Update"
"Invoice and Ship","Laskuta ja toimita"
"Invoice","Lasku"
"Ship","Lähetä"
"Reorder","Tilaa uudelleen"
"Order # %1 %2 | %3","Tilausnumero %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Tällä tilauksella on (%1) tuote(tta), jonka vuoksi sitä ei voida muokata hallintapaneelin kautta. Jos haluat jatkaa muokkaamista, (%2) tuote(tta) poistetaan, tilaus peruutetaan ja uusi tilaus luodaan."
"Are you sure? This order will be canceled and a new one will be created instead.","Oletko varma? Tämä tilaus peruutetaan ja uusi luodaan sen sijaan."
"Save Gift Message","Tallenna lahjaviesti"
" [deleted]"," [deleted]"
"Order Credit Memos","Tilausten hyvityslaskut"
"Credit memo #%1 created","Hyvityslasku %1 luotu"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Toimitus %1 luotu"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Lasku %1 luotu"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Kommenttien historia"
"Order History","Tilaushistoria"
"Information","Tietoja"
"Order Information","Tilauksen tiedot"
"Order Invoices","Order Invoices"
"Shipments","Lähetykset"
"Order Shipments","Order Shipments"
"Transactions","Tapahtumat"
"Order View","Tilausnäkymä"
"Any","Mikä tahansa"
"Specified","Specified"
"Applies to Any of the Specified Order Statuses except canceled orders","Applies to Any of the Specified Order Statuses except canceled orders"
"Cart Price Rule","Ostoskorin hintasääntö"
"Yes","Kyllä"
"No","Ei"
"Show Actual Values","Show Actual Values"
"New Order RSS","Uusien tilauksien RSS"
"Subtotal","Välisumma"
"Shipping & Handling","Toimitus- ja käsittelykulut"
"Discount (%1)","Alennus (%1)"
"Discount","Alennus"
"Grand Total","Loppusumma"
"Back","Takaisin"
"Fetch","Hae"
"Transaction # %1 | %2","Tapahtumanumero %1 | %2"
"N/A","Ei tietoa"
"Key","Avain"
"Value","Arvo"
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Tilaus # %1"
"Back to My Orders","Palaa omiin tilauksiin"
"View Another Order","Katso toinen tilaus"
"About Your Refund","About Your Refund"
"My Orders","Omat tilaukset"
"Subscribe to Order Status","Subscribe to Order Status"
"About Your Invoice","Lisätietoja laskustasi"
"Print Order # %1","Tulosta tilaus # %1"
"Grand Total to be Charged","Veloitettava loppusumma"
"Unassign","Unassign"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","Lähetit viestin."
"Sales","Myynti"
"Invoice capturing error","Invoice capturing error"
"This order no longer exists.","Tätä tilausta ei ole enää olemassa."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","Tilaushistoriaa ei voida lisätä."
"You updated the order address.","Päivitit tilausosoitteen."
"We can't update the order address right now.","We can't update the order address right now."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","Peruutit tilauksen."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Alennuskoodia ""%1"" ei käytetty. Tuotteelle (tuotteille) on asetettu älä käytä alennusta"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","Alennuskoodi hyväksytty."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","Uusi tilaus"
"You created the order.","Olet luonut tilauksen."
"Order saving error: %1","Tilauksen tallentamisen virhe: %1"
"Cannot add new comment.","Uutta kommentia ei voida lisätä."
"The credit memo has been canceled.","The credit memo has been canceled."
"Credit memo has not been canceled.","Credit memo has not been canceled."
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"We can't update the item's quantity right now.","We can't update the item's quantity right now."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The order no longer exists.","Tilausta ei ole enää olemassa."
"We can't create credit memo for the order.","We can't create credit memo for the order."
"Edit Order","Muokkaa tilausta"
"You sent the order email.","You sent the order email."
"We can't send the email order right now.","We can't send the email order right now."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","Tilaus on laitettu pitoon."
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been captured.","The invoice has been captured."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","Uusi lasku"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email right now.","We can't send the invoice email right now."
"We can't send the shipment right now.","We can't send the shipment right now."
"Cannot update item quantity.","Cannot update item quantity."
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"The payment has been accepted.","Maksu on hyväksytty."
"The payment has been denied.","Maksu on hylätty."
"Transaction has been approved.","Tapahtuma on hyväksytty."
"Transaction has been voided/declined.","Transaction has been voided/declined."
"There is no update for the transaction.","There is no update for the transaction."
"We can't update the payment right now.","We can't update the payment right now."
"You assigned the order status.","You assigned the order status."
"Something went wrong while assigning the order status.","Something went wrong while assigning the order status."
"We can't find this order status.","We can't find this order status."
"Create New Order Status","Create New Order Status"
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You saved the order status.","You saved the order status."
"We can't add the order status right now.","We can't add the order status right now."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while unassigning the order.","Something went wrong while unassigning the order."
"Can't unhold order.","Can't unhold order."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Exception occurred during order load"
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"You saved the gift card message.","You saved the gift card message."
"The payment has been voided.","The payment has been voided."
"We can't void the payment right now.","We can't void the payment right now."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Tilaukset ja palautukset"
"Home","Etusivu"
"Go to Home Page","Siirry etusivulle"
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We can't find this wish list.","Tätä toivelistaa ei löydy."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Toimitusosoite: "
"Billing Address: ","Laskutusosoite: "
"Please specify order items.","Please specify order items."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","This payment method is not available."
"Validation is failed.","Validation is failed."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"-- Please Select --","--- Valitse ---"
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","Tätä tilausta ei voida peruuttaa."
"Guest","Vieras"
"Please enter the first name.","Kirjoita etunimesi."
"Please enter the last name.","Syötä sukunimi."
"Please enter the street.","Syötä katu."
"Please enter the city.","Anna kaupunki."
"Please enter the phone number.","Syötä puhelinnumero."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","Anna postinumero."
"Please enter the country.","Syötä maa."
"Please enter the state/province.","Please enter the state/province."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Odottaa"
"Refunded","Hyvitetty"
"Canceled","Peruutettu"
"Unknown State","Unknown State"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","Maksettu"
"We cannot register an existing invoice","We cannot register an existing invoice"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ID required"
"Unknown Status","Unknown Status"
"Ordered","Tilatut"
"Shipped","Lähetetty"
"Invoiced","Laskutettu"
"Backordered","Jälkitoimituksessa"
"Returned","Palautettu"
"Partial","Partial"
"Mixed","Mixed"
"Registered a Void notification.","Registered a Void notification."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo."
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Tilaus peruutettu online"
"Canceled order offline","Tilaus peruutettu offline"
"Approved the payment online.","Approved the payment online."
"There is no need to approve this payment.","There is no need to approve this payment."
"Denied the payment online","Denied the payment online"
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"There is no update for the payment.","There is no update for the payment."
"Voided authorization.","Voided authorization."
"Amount: %1.","Määrä: %1."
"Transaction ID: ""%1""","Tapahtumatunnus: ""%1"""
"The payment method you requested is not available.","Valitsemasi maksutapa ei ole käytettävissä."
"The payment disallows storing objects.","The payment disallows storing objects."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","Payment transactions disallow storing objects."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","Tilaus"
"Authorization","Authorization"
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Please enter a Transaction ID."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Order # ","Tilausnumero "
"Order Date: ","Tilauspäivämäärä: "
"Sold to:","Tilaaja:"
"Ship to:","Toimitusosoite:"
"Payment Method:","Maksutapa:"
"Shipping Method:","Toimitustapa:"
"Total Shipping Charges","Toimituskulut yhteensä"
"Title","Otsikko"
"Number","Numero"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Products","Tuotteet"
"Total (ex)","Total (ex)"
"Qty","Määrä"
"Tax","Vero"
"Total (inc)","Total (inc)"
"Credit Memo # ","Hyvityslaskun numero "
"Invoice # ","Lasku # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","Veroton"
"Incl. Tax","Verollinen"
"Packing Slip # ","Pakkauslista # "
"title","otsikko"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","We cannot register an existing shipment"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Syötä seurantakoodi."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"We cannot determine the field name.","We cannot determine the field name."
"City","Paikkakunta"
"Company","Yritys"
"Country","Maa"
"Email","Sähköposti"
"First Name","Etunimi"
"Last Name","Sukunimi"
"State/Province","Osavaltio/provinssi"
"Street Address","Katuosoite"
"Phone Number","Puhelinnumero"
"Zip/Postal Code","Postinumero"
"We can't save the address:\n%1","We can't save the address:\n%1"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Uudet tilaukset"
"Order #%1 created at %2","Order #%1 created at %2"
"Details for %1 #%2","Details for %1 #%2"
"Notified Date: %1","Notified Date: %1"
"Comment: %1<br/>","Comment: %1<br/>"
"Current Status: %1<br/>","Current Status: %1<br/>"
"Total: %1<br/>","Yhteensä: %1<br/>"
"Order # %1 Notification(s)","Order # %1 Notification(s)"
"You can not cancel Credit Memo","You can not cancel Credit Memo"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"Pending Payment","Odottaa maksua"
"Processing","Käsitellään"
"On Hold","Pidossa"
"Complete","Valmis"
"Closed","Suljettu"
"Suspected Fraud","Epäilty petos"
"Payment Review","Maksun tarkastelu"
"New","Uusi"
"Product doesn't exist","Product doesn't exist"
"test message","testiviesti"
"Email has not been sent","Sähköpostia ei ole lähetetty"
"Authorized amount of %1","Authorized amount of %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Katso"
"Group was removed","Ryhmä poistettiin"
"Changing address information will not recalculate shipping, tax or other order amount.","Changing address information will not recalculate shipping, tax or other order amount."
"Comment Text","Kommenttiteksti"
"Notify Customer by Email","Ilmoita asiakkaalle sähköpostitse"
"Visible on Storefront","Näkyvissä kaupan etusivulla"
"Customer","Asiakas"
"Notified","Ilmoitettu"
"Not Notified","Ei ilmoitettu"
"No Payment Methods","Ei maksutapoja"
"Order Comments","Tilauksen kommentit"
"Apply Coupon Code","Käytä alennuskoodi"
"Apply","Käytä"
"Remove Coupon Code","Poista alennuskoodi"
"Remove","Poista"
"Address Information","Osoitetiedot"
"Payment &amp; Shipping Information","Payment &amp; Shipping Information"
"Order Total","Loppusumma"
"Order Currency:","Tilauksen valuutta:"
"Same As Billing Address","Sama kuin laskutusosoite"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Add New Address","Lisää uusi osoite"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Lahjaviesti koko tilaukselle"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Leave this box blank if you don't want to leave a gift message for the entire order."
"Row Subtotal","Rivin välisumma"
"Action","Toiminto"
"No ordered items","Ei tilattuja tuotteita"
"Update Items and Quantities","Päivitä nimikkeet ja määrät"
"Total %1 product(s)","Yhteensä %1 tuote(tta)"
"Subtotal:","Välisumma:"
"Tier Pricing","Määräalennushinnoittelu"
"Custom Price","Mukautettu hinta"
"Please select","Valitse"
"Move to Shopping Cart","Siirrä ostoskoriin"
"Move to Wish List","Siirrä toivelistaan"
"Subscribe to Newsletter","Tilaa Uutiskirje"
"Click to change shipping method","Klikkaa vaihtaaksesi toimitustapaa"
"Sorry, no quotes are available for this order.","Valitettavasti toimituskuluja ei voida laskea tälle tilaukselle."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Refresh","Virkistä"
"Item","Tuote"
"Add To Order","Lisää tilaukseen"
"Configure and Add to Order","Configure and Add to Order"
"No items","Ei kohteita"
"Append Comments","Liitä aikaisemmat kommentit"
"Email Order Confirmation","Email Order Confirmation"
"Grand Total Excl. Tax","Veroton loppusumma"
"Grand Total Incl. Tax","Verollinen loppusumma"
"Subtotal (Excl. Tax)","Välisumma (veroton)"
"Subtotal (Incl. Tax)","Välisumma (verollinen)"
"Payment &amp; Shipping Method","Maksu- &amp; toimitustapa"
"Payment Information","Maksutiedot"
"The order was placed using %1.","Tilaus tehtiin käyttäen %1."
"Shipping Information","Toimitustiedot"
"Items to Refund","Items to Refund"
"Return to Stock","Palauta varastoon"
"Qty to Refund","Hyvitettävä määrä"
"Tax Amount","Veron määrä"
"Discount Amount","Alennuksen määrä"
"Row Total","Rivin summa"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Items Refunded"
"No Items","Ei kohteita"
"Memo Total","Memo Total"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Customer Name: %1","Asiakkaan nimi: %1"
"Purchased From: %1","Ostettu kohteesta: %1"
"Gift Message","Lahjaviesti"
"From:","Alkaen:"
"To:","Vastaanottaja:"
"Message:","Viesti:"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Gift Options","Gift Options"
"Create Shipment","Luo lähetys"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Laskutettava määrä"
"Invoice History","Laskutushistoria"
"Invoice Comments","Laskun kommentit"
"Invoice Totals","Laskun loppusummat"
"Amount","Summa"
"Capture Online","Talteenota online"
"Capture Offline","Talteenota offline"
"Not Capture","Not Capture"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Sähköpostikopio laskusta"
