"Credit Memos","Dobropisy"
"We found an invalid quantity to refund item ""%1"".","Bylo nalezeno neplatné množství k vrácení položky ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximální povolená částka přepravného k vrácení je: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","Největší možná částka ke vrácení je %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","Tato objednávka je již k účtu zákazníka přiřazena"
"Paid","Zaplaceno"
"We cannot register an existing invoice","Nelze zaregistrovat existující fakturu"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ID required"
"Unknown Status","Neznámý stav"
"Ordered","Objednáno"
"Shipped","Odesláno"
"Invoiced","Fakturováno"
"Backordered","Doobjednáno"
"Returned","Vráceno"
"Partial","Částečně"
"Mixed","Smíšeně"
"Registered a Void notification.","Registrovaná prázdná oznámení."
"If the invoice was created offline, try creating an offline credit memo.","Pokud byla faktura vytvořena offline, zkuste vytvořit offline dobropis."
"We refunded %1 online.","Online vráceno %1."
"We refunded %1 offline.","Offline vráceno %1."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Vratka"". Vratka vydaná obchodníkem. Bylo zaregistrováno oznámení o vrácené částce %1. ID transakce: ""%2"". Dobropis nebyl vytvořen. Dobropis prosím vytvořte v offline režimu."
"The credit memo has been created automatically.","Dobropis byl automaticky vytvořen"
"Registered notification about refunded amount of %1.","Bylo zaregistrováno oznámení o vrácené částce %1."
"Canceled order online","Online zrušená objednávka"
"Canceled order offline","Offline zrušená objednávka"
"Approved the payment online.","Schválená platba online."
"There is no need to approve this payment.","Tuto platbu netřeba schválit."
"Denied the payment online","Online zamítnutá platba"
"Registered update about approved payment.","Registrované aktualizace schválených plateb."
"Registered update about denied payment.","Registrované aktualizace zamítnutých plateb."
"There is no update for the payment.","Žádné aktualizace plateb nejsou k dispozici."
"Voided authorization.","Neplatné ověření."
"Amount: %1.","Částka: %1."
"Transaction ID: ""%1""","ID transakce: ""%1"""
"The payment method you requested is not available.","Požadovaný způsob platby není dostupný."
"The payment disallows storing objects.","Platba neumožňuje ukládání objektů."
"The transaction ""%1"" cannot be captured yet.","Transakci ""%1"" již nelze zachytit."
"The parent transaction ID must have a transaction ID.","ID nadřazené transakce musí obsahovat ID transakce."
"Payment transactions disallow storing objects.","Platební transakce nepovoluje ukládání objektů."
"The transaction ""%1"" (%2) is already closed.","Transakce ""%1"" (%2) je již uzavřena."
"Set order for existing transactions not allowed","Není povoleno přiřadit objednávku k existující transakci"
"At minimum, you need to set a payment ID.","Minimum, je třeba nastavit ID platby."
"Order","Objednávka"
"Authorization","Autorizace"
"We found an unsupported transaction type ""%1"".","Byl nalezen nepodporovaný typ transakce ""%1""."
"Please set a proper payment and order id.","Nastavte prosím správnou platbu a ID objednávky."
"Please enter a Transaction ID.","Zadejte ID transakce prosím."
"You can't do this without a transaction object.","Bez objektu transakce tuto činnost nelze provést."
"Order # ","Objednávka č. "
"Order Date: ","Datum objednávky: "
"Sold to:","Odběratel:"
"Ship to:","Příjemce:"
"Payment Method:","Způsob platby:"
"Shipping Method:","Způsob přepravy:"
"Total Shipping Charges","Přepravné celkem"
"Title","Název"
"Number","Číslo"
"We found an invalid renderer model.","Byl nalezen neplatný model rendereru."
"Please define the PDF object before using.","Před použitím definujte PDF objekt."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Products","Produkty"
"Total (ex)","Celkem (bez DPH)"
"Qty","Množství"
"Tax","DPH"
"Total (inc)","Celkem (s DPH)"
"Credit Memo # ","Dobropis č. "
"Invoice # ","Faktura č. "
"The order object is not specified.","Objekt objednávky není zadán."
"The source object is not specified.","Zdrojový objekt není zadán."
"An item object is not specified.","Objekt položky není zadán."
"A PDF object is not specified.","PDF objekt není zadán."
"A PDF page object is not specified.","Objekt PDF stránky není zadán."
"Excl. Tax","bez DPH"
"Incl. Tax","s DPH"
"Packing Slip # ","Dodací list č. "
"title","název"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Celkem PDF model %1 musí být nebo rozšiřovat \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Nelze zaregistrovat existující zásilku"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Zadejte sledovací číslo prosím."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Model celkem by měl být rozšiřovat \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"We cannot determine the field name.","Nelze určit název údaje."
"City","Město"
"Company","Společnost"
"Country","Země"
"Email","E-mail"
"First Name","Jméno"
"Last Name","Příjmení"
"State/Province","Kraj / region"
"Street Address","Ulice"
"Phone Number","Telefonní číslo"
"Zip/Postal Code","PSČ"
"We can't save the address:\n%1","Adresu nelze uložit: \n%1"
"Cannot save comment:\n%1","Komentář nelze uložit:\n%1"
"We don't have enough information to save the parent transaction ID.","K uložení nadřazené ID transakce nemáme dostatek údajů."
"We cannot create an empty shipment.","Prázdnou zásilku nelze vytvořit."
"Cannot save track:\n%1","Trasu nelze uložit:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Nové objednávky"
"Order #%1 created at %2","Objednávka č. %1 vytvořena v %2"
"Details for %1 #%2","Podrobnosti pro %1 č. %2"
"Notified Date: %1","Datum oznámení: %1"
"Comment: %1<br/>","Komentář: %1 <br/>"
"Current Status: %1<br/>","Aktuální stav: %1<br/>"
"Total: %1<br/>","Celkem: %1<br/>"
"Order # %1 Notification(s)","Oznámení objednávky č. %1"
"You can not cancel Credit Memo","Dobropis nelze zrušit"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","Nelze zaregistrovat existující dobropis."
"We found an invalid quantity to invoice item ""%1"".","Bylo nalezeno neplatné množství k fakturaci položky ""%1""."
"The Order State ""%1"" must not be set manually.","Situaci objednávky ""%1"" nelze nastavit ručně."
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","Identifikátor DPH požadavku"
"VAT Request Date","Datum DPH požadavku"
"Pending Payment","Neuhrazená"
"Processing","Aktualizuji"
"On Hold","Pozastavená"
"Complete","Vyřízená"
"Closed","Zavřeno"
"Suspected Fraud","Podezřelá"
"Payment Review","Ověřování platby"
"New","Nové"
"Product doesn't exist","Product doesn't exist"
"test message","zkušební zpráva"
"Email has not been sent","E-mail nebyl odeslán"
"Authorized amount of %1","Autorizovaná částka z %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Zobrazit"
"Group was removed","Skupina byla odebrána"
"Changing address information will not recalculate shipping, tax or other order amount.","Při změně údajů adresy nebude přepočítáno přepravné, DPH a ostatní částky."
"Comment Text","Text komentáře"
"Notify Customer by Email","Informovat zákazníka e-mailem"
"Visible on Storefront","Viditelný v obchodě"
"Customer","Zákazník"
"Notified","informován"
"Not Notified","nebyl informován"
"No Payment Methods","Žádné způsoby platby"
"Order Comments","Komentáře objednávky"
"Apply Coupon Code","Použít kód kuponu"
"Apply","Použít"
"Remove Coupon Code","Odstranit kód kupónu"
"Remove","Odstranit"
"Address Information","Informace o adrese"
"Payment &amp; Shipping Information","Způsob přepravy a platby"
"Order Total","Celkem za"
"Order Currency:","Měna objednávky:"
"Same As Billing Address","Stejná jako fakturační adresa"
"Select from existing customer addresses:","Zvolit z uložených adres zákazníka:"
"Add New Address","Přidat novou adresu"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","Doručovací adresu není třeba zvolit."
"Gift Message for the Entire Order","Darovací vzkaz pro celou objednávku"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Chcete-li přidat darovací vzkaz na celou objednávku, nechte údaj prázdný."
"Row Subtotal","Mezisoučet"
"Action","Akce"
"No ordered items","Objednávka neobsahuje žádný produkt"
"Update Items and Quantities","Upravit položky a množství"
"Total %1 product(s)","Celkem %1 produktů"
"Subtotal:","Mezisoučet:"
"Tier Pricing","Množstevní sleva"
"Custom Price","Jiná cena"
"Please select","Vyberte"
"Move to Shopping Cart","Přesunout do košíku"
"Move to Wish List","Přesunout k oblíbeným"
"Subscribe to Newsletter","Přihlásit se k odběru newsletteru"
"Click to change shipping method","Kliknutím změnit způsob přepravy"
"Sorry, no quotes are available for this order.","Nabídky k této objednávce nejsou momentálně dostupné."
"Get shipping methods and rates","Načíst způsoby přepravy a sazby"
"You don't need to select a shipping method.","Způsob přepravy není třeba zvolit."
"Customer's Activities","Činnosti zákazníka"
"Refresh","Obnovit"
"Item","Položka"
"Add To Order","Přidat k objednávce"
"Configure and Add to Order","Konfigurovat a přidat k objednávce"
"No items","Žádné položky"
"Append Comments","Přidat komentáře"
"Email Order Confirmation","Zaslat potvrzení objednávky e-mailem"
"Grand Total Excl. Tax","Celkem k úhradě bez DPH"
"Grand Total Incl. Tax","Celkem k úhradě s DPH"
"Subtotal (Excl. Tax)","Mezisoučet (bez DPH)"
