"Credit Memos","חשבוניות זיכוי"
"Order saving error: %1","שגיאה בשמירת ההזמנה: %1"
"Cannot add new comment.","אין אפשרות להוסיף תגובה חדשה."
"The credit memo has been canceled.","The credit memo has been canceled."
"Credit memo has not been canceled.","Credit memo has not been canceled."
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"The credit memo's total must be positive.","סך הזיכוי חייב להיות חיובי."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","אנחנו לא יכולים לשמור את הזיכוי כרגע."
"We can't update the item's quantity right now.","אנחנו לא יכולים לעדכן את הכמות של הפריט כרגע."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","אנחנו לא יכולים לבטל את הזיכוי."
"The order no longer exists.","ההזמנה כבר לא קיימת."
"We can't create credit memo for the order.","אנחנו לא יכולים ליצור זיכוי עבור ההזמנה."
"Edit Order","עריכת הזמנה"
"You sent the order email.","You sent the order email."
"We can't send the email order right now.","אנחנו לא יכולים לשלוח את הדואר האלקטרוני עבור ההזמנה כרגע."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","You put the order on hold."
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been captured.","The invoice has been captured."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","אנחנו לא יכולים ליצור חשבונית ללא מוצרים."
"New Invoice","New Invoice"
"We can't save the invoice right now.","אנחנו לא יכולים לשמור את החשבונית כרגע."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email right now.","אנחנו לא יכולים לשלוח את הדואר האלקטרוני עבור החשבונית כרגע."
"We can't send the shipment right now.","אנחנו לא יכולים לשלוח את המשלוח כרגע."
"Cannot update item quantity.","Cannot update item quantity."
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"The payment has been accepted.","The payment has been accepted."
"The payment has been denied.","The payment has been denied."
"Transaction has been approved.","Transaction has been approved."
"Transaction has been voided/declined.","Transaction has been voided/declined."
"There is no update for the transaction.","There is no update for the transaction."
"We can't update the payment right now.","אנחנו לא יכולים לעדכן את התשלום כרגע."
"You assigned the order status.","You assigned the order status."
"Something went wrong while assigning the order status.","Something went wrong while assigning the order status."
"We can't find this order status.","אנחנו לא יכולים למצוא את מצב ההזמנה."
"Create New Order Status","Create New Order Status"
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You saved the order status.","You saved the order status."
"We can't add the order status right now.","אנחנו לא יכולים להוסיף את מצב ההזמנה כרגע."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while unassigning the order.","Something went wrong while unassigning the order."
"Can't unhold order.","לא ניתן לבטל את השהיית ההזמנה."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Exception occurred during order load"
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"You saved the gift card message.","You saved the gift card message."
"The payment has been voided.","The payment has been voided."
"We can't void the payment right now.","אנחנו לא יכולים לבטל את התשלום כרגע."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","אנחנו לא יכולים לעדכן את פרטי הטרנזקציה."
"Orders and Returns","הזמנות והחזרות"
"Home","דף הבית"
"Go to Home Page","מעבר לעמוד הבית"
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We can't find this wish list.","איננו מוצאים את זה ברשימת המשאלות."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"Please specify order items.","Please specify order items."
"Please specify a shipping method.","נא ציין את שיטת המשלוח."
"Please specify a payment method.","נא לציין שיטת תשלום."
"This payment method is not available.","This payment method is not available."
"Validation is failed.","Validation is failed."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"-- Please Select --","-- אנא בחר --"
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","לא ניתן לבטל הזמנה זו."
"Guest","אורח"
"Please enter the first name.","אנא הזן את השם הפרטי."
"Please enter the last name.","אנא הזן את שם המשפחה."
"Please enter the street.","אנא הזינו רחוב."
"Please enter the city.","אנא הזינו עיר."
"Please enter the phone number.","אנא הזינו את מספר הטלפון."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","אנא הזינו מיקוד."
"Please enter the country.","אנא הזינו מדינה."
"Please enter the state/province.","אנא הזינו מדינה/מחוז."
"Requested entity doesn't exist","הישות המבוקשת אינה קיימת"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","ממתינה"
"Refunded","זוכה"
"Canceled","בוטל"
"Unknown State","Unknown State"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","שולם"
"We cannot register an existing invoice","We cannot register an existing invoice"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ID required"
"Unknown Status","סטטוס לא ידוע"
"Ordered","הוזמן"
"Shipped","נשלח"
"Invoiced","חויב"
"Backordered","Backordered"
"Returned","הוחזר"
"Partial","Partial"
"Mixed","Mixed"
"Registered a Void notification.","Registered a Void notification."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo."
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","Approved the payment online."
"There is no need to approve this payment.","There is no need to approve this payment."
"Denied the payment online","Denied the payment online"
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"There is no update for the payment.","There is no update for the payment."
"Voided authorization.","Voided authorization."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The payment method you requested is not available.","שיטת התשלום המבוקשת אינה זמינה."
"The payment disallows storing objects.","התשלום לא מאפשר אחסון אובייקטים."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","תנועות התשלום לא מאפשרת אחסון אובייקטים."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","הזמנה"
"Authorization","Authorization"
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Please enter a Transaction ID."
"You can't do this without a transaction object.","אינך יכול לעשות זאת ללא אובייקט טרנזקציה."
"Order # ","Order # "
"Order Date: ","תאריך הזמנה: "
"Sold to:","Sold to:"
"Ship to:","נשלח אל:"
"Payment Method:","שיטת תשלום:"
"Shipping Method:","שיטות המשלוח:"
"Total Shipping Charges","חיובי משלוח כולל"
"Title","כותרת"
"Number","מספר"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","אנחנו לא מזהים את הנתונים בנתוני הסכמה הקווית. אנא הגדר את המערך ""שורות""."
"Products","מוצרים"
"Total (ex)","Total (ex)"
"Qty","כמות"
"Tax","מע""מ"
"Total (inc)","Total (inc)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","ללא מע""מ"
"Incl. Tax","כולל מס"
"Packing Slip # ","Packing Slip # "
"title","כותרת"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","We cannot register an existing shipment"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","נא הזן מספר מעקב."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","לא ניתן לבטל את הקצאת המצב האחרון מהמצב הנוכחי שלו."
"Status can't be unassigned, because it is used by existing order(s).","המצב לא יכול להיות שלא הוקצו, כי הוא בשימוש בהזמנות קיימות."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"We cannot determine the field name.","אין לנו אפשרות לקבוע את שם השדה."
"City","עיר"
"Company","חברה"
"Country","ארץ"
"Email","דואר אלקטרוני"
"First Name","שם פרטי"
"Last Name","שם משפחה"
"State/Province","מדינה/מחוז"
"Street Address","כתובת רחוב"
"Phone Number","מספר טלפון"
"Zip/Postal Code","מיקוד"
"We can't save the address:\n%1","We can't save the address:\n%1"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
"We don't have enough information to save the parent transaction ID.",". אין לנו מספיק מידע כדי לשמור את מזהה ההורה של הטרנזקציה."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","הזמנות חדשות"
"Order #%1 created at %2","הזמנה #%1 שנוצרו ב- %2"
"Details for %1 #%2","פרטים עבור %1 #%2"
"Notified Date: %1","Notified Date: %1"
"Comment: %1<br/>","הערה: %1 <br/>"
"Current Status: %1<br/>","מצב נוכחי: %1 <br/>"
"Total: %1<br/>","סך הכל: %1 <br/>"
"Order # %1 Notification(s)","הזמנה # %1 התראות"
"You can not cancel Credit Memo","You can not cancel Credit Memo"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"Pending Payment","Pending Payment"
"Processing","מעבד"
"On Hold","On Hold"
"Complete","הושלמה"
"Closed","נסגרה"
"Suspected Fraud","Suspected Fraud"
"Payment Review","Payment Review"
"New","חדש"
"Product doesn't exist","Product doesn't exist"
"test message","test message"
"Email has not been sent","הדוא""ל לא נשלח"
"Authorized amount of %1","Authorized amount of %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","הצגה"
"Group was removed","Group was removed"
"Changing address information will not recalculate shipping, tax or other order amount.","Changing address information will not recalculate shipping, tax or other order amount."
"Comment Text","תוכן ההערה"
"Notify Customer by Email","נא להתריע ללקוח בדואר אלקטרוני"
"Visible on Storefront","Visible on Storefront"
"Customer","לקוח"
"Notified","התראה"
"Not Notified","Not Notified"
"No Payment Methods","אין שיטות תשלום"
"Order Comments","Order Comments"
"Apply Coupon Code","אשר את קוד הקופון"
"Apply","החל"
"Remove Coupon Code","הסר קוד קופון"
"Remove","הסר"
"Address Information","מידע אודות כתובת"
"Payment &amp; Shipping Information","Payment &amp; Shipping Information"
"Order Total","סה""כ להזמנה"
"Order Currency:","Order Currency:"
"Same As Billing Address","Same As Billing Address"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Add New Address","הוסף כתובת חדשה"
"Save in address book","שמור בספר הכתובות"
"You don't need to select a shipping address.","אתה לא צריך לבחור כתובת משלוח."
"Gift Message for the Entire Order","Gift Message for the Entire Order"
"Leave this box blank if you don't want to leave a gift message for the entire order.","תשאיר תיבה זו ריקה, אם אתה לא רוצה להשאיר הודעה מתנה עבור ההזמנה כולה."
"Row Subtotal","השורה של סכום ביניים"
"Action","פעולה"
"No ordered items","אין פריטים שהוזמנו"
"Update Items and Quantities","עדכון פריטים ומלאים"
"Total %1 product(s)","כל %1 מוצרים"
"Subtotal:","סך ביניים:"
"Tier Pricing","מחיר כמויות"
"Custom Price","מחיר מותאם אישית"
"Please select","אנא בחר"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wish List","העברה למועדפים"
"Subscribe to Newsletter","הירשם לעדכונים"
"Click to change shipping method","Click to change shipping method"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","אתה לא צריך לבחור שיטת משלוח."
"Customer's Activities","הפעילויות של הלקוח"
"Refresh","רענן"
"Item","פריט"
"Add To Order","Add To Order"
"Configure and Add to Order","Configure and Add to Order"
"No items","אין פריטים"
"Append Comments","צרף הערות"
"Email Order Confirmation","Email Order Confirmation"
"Grand Total Excl. Tax","סה""כ הזמנה ללא מע""מ"
"Grand Total Incl. Tax","סה""כ הזמנה כולל מע""מ"
"Subtotal (Excl. Tax)","סכום ביניים (ללא מע""מ)"
"Subtotal (Incl. Tax)","סכום ביניים (כולל מס)"
"Payment &amp; Shipping Method","שיטות תשלום ומשלוח"
"Payment Information","פרטי תשלום"
"The order was placed using %1.","ההזמנה בוצעה באמצעות %1."
"Shipping Information","פרטי משלוח"
"Items to Refund","Items to Refund"
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
"Tax Amount","סכום מע""מ"
"Discount Amount","סכום הנחה"
