"Credit Memos","Kreditnotaer"
"Refund Offline","Tilbakebetaling Frakoblet"
"Paid Amount","Betalt beløp"
"Refund Amount","Refund Amount"
"Shipping Amount","Fraktbeløp"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Ordre totalsum"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Justeringsavgift"
"Send Email","Send e-post"
"Are you sure you want to send a credit memo email to customer?","Are you sure you want to send a credit memo email to customer?"
"Void","Void"
"Print","Skriv ut"
"The credit memo email was sent.","The credit memo email was sent."
"The credit memo email wasn't sent.","The credit memo email wasn't sent."
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Totalt Tilbakebetaling"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Send faktura"
"Are you sure you want to send an invoice email to customer?","Are you sure you want to send an invoice email to customer?"
"Credit Memo","Kreditnota"
"Capture","Fange"
"The invoice email was sent.","E-post-fakturaen ble sendt."
"The invoice email wasn't sent.","E-post-fakturaen ble ikke sendt."
"Invoice #%1 | %2 | %4 (%3)","Faktura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Ordrestatuser"
"Create New Status","Lag ny status"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order Status","Bestillingsstatus"
"Order State","Bestillingsstatus"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Storefront","Visible On Storefront"
"Edit Order Status","Endre ordrestatus"
"Save Status","Lagre Status"
"New Order Status","Ny ordrestatus"
"Order Status Information","Informasjon om ordrestatus"
"Status Code","Status kode"
"Status Label","Status Label"
"Store View Specific Labels","Store View Specific Labels"
"Total Paid","Totalt Betalt"
"Total Refunded","Total Refunded"
"Total Due","Total Due"
"Edit","Redigere"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Hold","Hold"
"hold","hold"
"Unhold","Unhold"
"unhold","unhold"
"Are you sure you want to accept this payment?","Are you sure you want to accept this payment?"
"Accept Payment","Accept Payment"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Deny Payment","Deny Payment"
"Get Payment Update","Get Payment Update"
"Invoice and Ship","Invoice and Ship"
"Invoice","Faktura"
"Ship","Sende"
"Reorder","Reorder"
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Lagre gavemelding"
" [deleted]"," [deleted]"
"Order Credit Memos","Order Credit Memos"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Kommentarer Historikk"
"Order History","Ordrehistorikk"
"Information","Informasjon"
"Order Information","Ordreinformasjon"
"Order Invoices","Order Invoices"
"Shipments","Forsendelser"
"Order Shipments","Order Shipments"
"Transactions","Transaksjoner"
"Order View","Ordregjennomgang"
"Any","Hvilket som helst"
"Specified","Spesifisert"
"Applies to Any of the Specified Order Statuses except canceled orders","Applies to Any of the Specified Order Statuses except canceled orders"
"Cart Price Rule","Cart Price Rule"
"Yes","Ja"
"No","Nei"
"Show Actual Values","Vise faktiske verdier"
"New Order RSS","New Order RSS"
"Subtotal","Delsum"
"Shipping & Handling","Frakt & håndtering"
"Discount (%1)","Rabatt (%1)"
"Discount","Rabatt"
"Grand Total","Totalsum"
"Back","Tilbake"
"Fetch","Fetch"
"Transaction # %1 | %2","Transaksjon # %1 | %2"
"N/A","I/T"
"Key","Nøkkel"
"Value","Verdi"
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Ordre # %1"
"Back to My Orders","Tilbake til mine ordre"
"View Another Order","Vise en annen ordre"
"About Your Refund","About Your Refund"
"My Orders","Mine ordrer"
"Subscribe to Order Status","Abonner på bestillingsstatus"
"About Your Invoice","About Your Invoice"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Grand Total to be Charged"
"Unassign","Oppheve tilordning"
"We can't add this item to your shopping cart right now.","Vi kan ikke legge produkt til handlekurven akkurat nå."
"You sent the message.","You sende meldingen."
"Sales","Salg"
"Invoice capturing error","Invoice capturing error"
"This order no longer exists.","This order no longer exists."
"Please enter a comment.","Skriv inn en kommentar."
"We cannot add order history.","We cannot add order history."
"You updated the order address.","You updated the order address."
"We can't update the order address right now.","We can't update the order address right now."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","Du kansellerte bestillingen."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" kupongkode ble ikke brukt. Ikke legg til rabatt er valgt for vare(r)"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","Rabattkoden er godkjent."
"Quote item id is not received.","Sitat-IDen ikke er mottatt."
"Quote item is not loaded.","Sitat elementet er ikke lastet inn."
"New Order","New Order"
"You created the order.","Du opprettet ordren."
"Order saving error: %1","Ordrelagringsfeil: %1"
"Cannot add new comment.","Kan ikke legge til ny kommentar."
"The credit memo has been canceled.","The credit memo has been canceled."
"Credit memo has not been canceled.","Credit memo has not been canceled."
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"We can't update the item's quantity right now.","We can't update the item's quantity right now."
"View Memo for #%1","Vis notat for #%1"
"View Memo","Vis notat"
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The order no longer exists.","Ordren finnes ikke lenger."
"We can't create credit memo for the order.","We can't create credit memo for the order."
"Edit Order","Edit Order"
"You sent the order email.","You sent the order email."
"We can't send the email order right now.","We can't send the email order right now."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","You put the order on hold."
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been captured.","The invoice has been captured."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","New Invoice"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email right now.","We can't send the invoice email right now."
"We can't send the shipment right now.","We can't send the shipment right now."
"Cannot update item quantity.","Cannot update item quantity."
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"The payment has been accepted.","The payment has been accepted."
"The payment has been denied.","The payment has been denied."
"Transaction has been approved.","Transaction has been approved."
"Transaction has been voided/declined.","Transaction has been voided/declined."
"There is no update for the transaction.","There is no update for the transaction."
"We can't update the payment right now.","We can't update the payment right now."
"You assigned the order status.","You assigned the order status."
"Something went wrong while assigning the order status.","Something went wrong while assigning the order status."
"We can't find this order status.","We can't find this order status."
"Create New Order Status","Create New Order Status"
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You saved the order status.","You saved the order status."
"We can't add the order status right now.","We can't add the order status right now."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while unassigning the order.","Something went wrong while unassigning the order."
"Can't unhold order.","Can't unhold order."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Exception occurred during order load"
"Something went wrong while saving the gift message.","Noe gikk galt når du lagret gavemeldingen."
"You saved the gift card message.","Du lagret gavemeldingen."
"The payment has been voided.","The payment has been voided."
"We can't void the payment right now.","We can't void the payment right now."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Ordrer og retur"
"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"You entered incorrect data. Please try again.","Du angav feil data. Prøv på nytt."
"We can't find this wish list.","Vi finner ikke denne ønskeliste."
"We could not add a product to cart by the ID ""%1"".","Vi kan ikke legge til et produkt med ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Leveringsadresse:"
"Billing Address: ","Faktureraadresse:"
"Please specify order items.","Please specify order items."
"Please specify a shipping method.","Angi en leveringsmetode."
"Please specify a payment method.","Velg en betalingsmåte."
"This payment method is not available.","This payment method is not available."
"Validation is failed.","Valideringen mislyktes."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"-- Please Select --","-Vennligst velg--"
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"Guest","Gjest"
"Please enter the first name.","Skriv inn fornavnet."
"Please enter the last name.","Skriv inn etternavnet."
"Please enter the street.","Angi gaten."
"Please enter the city.","Angi byen."
"Please enter the phone number.","Skriv inn telefonnummeret."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","Angi postnummeret."
"Please enter the country.","Angi land."
"Please enter the state/province.","Angi delstaten/området."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Ventende"
"Refunded","Refundert"
"Canceled","Avbrutt"
"Unknown State","Unknown State"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","Betalt"
"We cannot register an existing invoice","We cannot register an existing invoice"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ID required"
"Unknown Status","Ukjent status"
"Ordered","Bestilt"
"Shipped","Sendt"
"Invoiced","Fakturert"
"Backordered","Backordered"
"Returned","Returnert"
"Partial","Partial"
"Mixed","Mixed"
"Registered a Void notification.","Registered a Void notification."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo."
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","Approved the payment online."
"There is no need to approve this payment.","There is no need to approve this payment."
"Denied the payment online","Denied the payment online"
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"There is no update for the payment.","There is no update for the payment."
"Voided authorization.","Voided authorization."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","Payment transactions disallow storing objects."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","Rekkefølge"
"Authorization","Autorisasjon"
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Angi en transaksjons-IDen."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Order # ","Bestill # "
"Order Date: ","Order Date: "
"Sold to:","Solgt til:"
"Ship to:","Leveres til:"
"Payment Method:","Betalingsmåte:"
"Shipping Method:","Leveringsmåte:"
"Total Shipping Charges","Totale fraktkostnader"
"Title","Tittel"
"Number","Nummer"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Products","Produkter"
"Total (ex)","Total (ex)"
"Qty","Antall"
"Tax","Avgift"
"Total (inc)","Total (inc)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","ex. moms"
"Incl. Tax","Inkl. MVA"
"Packing Slip # ","Packing Slip # "
"title","title"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","We cannot register an existing shipment"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Angi et sporingsnummer."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"We cannot determine the field name.","Vi kan ikke avgjøre feltnavn."
"City","By"
"Company","Bedrift"
"Country","Land"
"Email","E-post"
"First Name","Fornavn"
"Last Name","Etternavn"
"State/Province","Stat/provins"
"Street Address","Gateadresse"
"Phone Number","Telefonnummer"
"Zip/Postal Code","Postnummer"
"We can't save the address:\n%1","We can't save the address:\n%1"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Nye bestillinger"
"Order #%1 created at %2","Order #%1 created at %2"
"Details for %1 #%2","Detaljer for %1 #%2"
"Notified Date: %1","Notified Date: %1"
"Comment: %1<br/>","Kommentar: %1<br/>"
"Current Status: %1<br/>","Nåværende status: %1<br/>"
"Total: %1<br/>","Totalt: %1<br/>"
"Order # %1 Notification(s)","Order # %1 Notification(s)"
"You can not cancel Credit Memo","You can not cancel Credit Memo"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"""Shipment Document Validation Error(s):\n"" .","""Levering dokument godkjenningensfeil: \n""."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"Pending Payment","Pending Payment"
"Processing","Behandler"
"On Hold","On Hold"
"Complete","Ferdig"
"Closed","Lukket"
"Suspected Fraud","Suspected Fraud"
"Payment Review","Payment Review"
"New","Ny"
"Product doesn't exist","Product doesn't exist"
"test message","test message"
"Email has not been sent","E-post er ikke sendt"
"Authorized amount of %1","Authorized amount of %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Visning"
"Group was removed","Group was removed"
"Changing address information will not recalculate shipping, tax or other order amount.","Å endre adressen vil ikke beregne frakt eller andre beløp."
"Comment Text","Kommentar tekst"
"Notify Customer by Email","Varsle kunden via e-post"
"Visible on Storefront","Synlig i butikk"
"Customer","Kunde"
"Notified","Varslet"
"Not Notified","Ikke varslet"
"No Payment Methods","Ingen betalingsmetoder"
"Order Comments","Order Comments"
"Apply Coupon Code","Bruk kupongkode"
"Apply","Anvend"
"Remove Coupon Code","Fjern kupong kode"
"Remove","Fjern"
"Address Information","Adresseinformasjon"
"Payment &amp; Shipping Information","Payment &amp; Shipping Information"
"Order Total","Ordretotal"
"Order Currency:","Order Currency:"
"Same As Billing Address","Same As Billing Address"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Add New Address","Legg til ny adresse"
"Save in address book","Lagre i adresseboken"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Gavemelding for hele bestillingen"
"Leave this box blank if you don't want to leave a gift message for the entire order.","La boksen være tom hvis du ikke ønsker å legge til en gavemelding for hele bestillingen."
"Row Subtotal","Rad delsum"
"Action","Handling"
"No ordered items","Ingen bestilte varer"
"Update Items and Quantities","Oppdatere varer og antall"
"Total %1 product(s)","Totalt %1 produkt(er)"
"Subtotal:","Delsum:"
"Tier Pricing","Nivå prising"
"Custom Price","Egendefinert pris"
"Please select","Vennligst velg"
"Move to Shopping Cart","Legg til handlekurv"
"Move to Wish List","Flytt til ønskeliste"
"Subscribe to Newsletter","Abonnerer på nyhetsbrev"
"Click to change shipping method","Klikk for å endre shipping metode"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Få leveringsmetoder og satser"
"You don't need to select a shipping method.","Du trenger ikke å velge en leveringsmetode."
"Customer's Activities","Customer's Activities"
"Refresh","Oppdater"
"Item","Produkt"
"Add To Order","Add To Order"
"Configure and Add to Order","Configure and Add to Order"
"No items","Ingen produkter"
"Append Comments","Legg til kommentarer"
"Email Order Confirmation","Email Order Confirmation"
"Grand Total Excl. Tax","Total uten mva"
"Grand Total Incl. Tax","Total inkl mva"
"Subtotal (Excl. Tax)","Delsum (ekskl. mva)"
"Subtotal (Incl. Tax)","Delsum (inkl. mva)"
"Payment &amp; Shipping Method","Betaling &amp; forsendelsesmåte"
"Payment Information","Betalingsinformasjon"
"The order was placed using %1.","Ordren ble opprettet ved hjelp av %1."
"Shipping Information","Leveringsinformasjon"
"Items to Refund","Items to Refund"
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
"Tax Amount","Mva beløp"
"Discount Amount","Rabattbeløp"
"Row Total","Rader Totalt"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Please enter a positive number in this field.","Skriv inn et positivt tall i dette feltet."
"Items Refunded","Items Refunded"
"No Items","No Items"
"Memo Total","Memo Total"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Customer Name: %1","Kundenavn: %1"
"Purchased From: %1","Kjøpt fra: %1"
"Gift Message","Gavemelding"
"From:","Fra:"
"To:","Til:"
"Message:","Melding:"
"Shipping &amp; Handling","Frakt &amp; håndtering"
"Gift Options","Gavealternativ"
"Create Shipment","Create Shipment"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Qty to Invoice"
"Invoice History","Invoice History"
"Invoice Comments","Invoice Comments"
"Invoice Totals","Invoice Totals"
"Amount","Antall"
"Capture Online","Capture Online"
"Capture Offline","Fang Offline"
"Not Capture","Not Capture"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Email Copy of Invoice"
"Items Invoiced","Items Invoiced"
"Total Tax","MVA total"
"From Name","Fra Navn"
"To Name","Til Navn"
"Status","Status"
"Comment","Kommentar"
"Notification Not Applicable","Notification Not Applicable"
"Order & Account Information","Order & Account Information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order Date","Order Date"
"Order Date (%1)","Order Date (%1)"
"Purchased From","Kjøpt fra"
"Link to the New Order","Link to the New Order"
"Link to the Previous Order","Link to the Previous Order"
"Placed from IP","Placed from IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Edit Customer","Redigere kunde"
"Customer Name","Kundenavn"
"Customer Group","Kundegruppe"
"Notes for this Order","Notes for this Order"
"Comment added","Comment added"
"Transaction Data","Transaction Data"
"Transaction ID","Transaksjons-ID"
"Parent Transaction ID","Parent Transaction ID"
"Order ID","Ordre-ID"
