"Credit Memos","Faktury korygujące"
"Subscribe to Order Status","Subskrybuj status zamówienia"
"About Your Invoice","O twojej fakturze"
"Print Order # %1","Wydrukuj zamówienie nr %1"
"Grand Total to be Charged","Łącznie do zapłaty"
"Unassign","Odepnij"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","Wiadomość wysłana."
"Sales","Sprzedaż"
"Invoice capturing error","Błąd przechwytywania faktury"
"This order no longer exists.","Takie zamówienie już nie istnieje."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","Nie można dodać historii zamówienia."
"You updated the order address.","Adres zamówienia został zaktualizowany."
"We can't update the order address right now.","W tej chwili nie możemy zaktualizować adresu tego zamówienia."
"You have not canceled the item.","Nie posiadasz anulowanych produktów."
"You canceled the order.","Anulowane zamówienia."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","nie zastosowano kodu kuponu ""%1"". Nie obowiązują zniżki dla wybranych produktów"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","Kod kuponu zostal zaakceptowany."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","Nowe zamówienie"
"You created the order.","Złożono zamówienie."
"Order saving error: %1","Błąd podczas zapisywania zamówienia: %1"
"Cannot add new comment.","Nie można dodać nowego komentarza."
"The credit memo has been canceled.","Faktura korygująca została anulowana."
"Credit memo has not been canceled.","Faktura korygująca nie została anulowana."
"New Memo for #%1","Nowa faktura korygująca dla nr %1"
"New Memo","Nowa faktura korygująca"
"The credit memo's total must be positive.","Wartość faktury korygującej musi być dodatnia."
"Cannot create online refund for Refund to Store Credit.","Nie można utworzyć online zwrotu refundacji na koncie sklepu."
"You created the credit memo.","Faktura korygująca została stworzona."
"We can't save the credit memo right now.","W tej chili nie możemy zapisać faktury korygującej."
"We can't update the item's quantity right now.","W tej chwili nie możemy uaktualnić ilości tego produktu."
"View Memo for #%1","Zobacz korektę dla nr %1"
"View Memo","Zobacz korektę"
"You voided the credit memo.","Faktura korygująca została unieważniona."
"We can't void the credit memo.","Nie możemy unieważnić tej faktury korygującej."
"The order no longer exists.","To zamówienie już nie istnieje."
"We can't create credit memo for the order.","Nie możemy utworzyć faktury korygującej dla tego zamówienia."
"Edit Order","Edycja zamówienia"
"You sent the order email.","Wysłanie e-mail z zamówieniem."
"We can't send the email order right now.","W tej chwili nie możemy wysłać e-maila z zamówieniem."
"You have not put the order on hold.","Zamówienie nie zostało wstrzymane."
"You put the order on hold.","Zamówienie zostało wstrzymane."
"You canceled the invoice.","Faktura została anulowana."
"Invoice canceling error","Błąd anulowania faktury"
"The invoice has been captured.","Faktura została przechwycona."
"The order does not allow an invoice to be created.","Zamówienie nie pozwala na utworzenie faktury."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","Nowa faktura"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","Utworzyłeś fakturę i wysyłki."
"The invoice has been created.","Faktura została utworzona."
"We can't send the invoice email right now.","W tej chwili nie możemy wysłać e-maila z fakturą."
"We can't send the shipment right now.","Nie możemy teraz wysłać tej wysyłki."
"Cannot update item quantity.","Nie można zaktualizować ilości produktów."
"The invoice has been voided.","Faktura została unieważniona."
"Invoice voiding error","Błąd unieważniania faktury"
"%1 order(s) cannot be canceled.","%1 zamówień nie może być anulowanych."
"You cannot cancel the order(s).","Nie można anulować zamówienia."
"We canceled %1 order(s).","Anulowano zlecenie %1."
"%1 order(s) were not put on hold.","%1 zamówień nie zostało wstrzymanych."
"No order(s) were put on hold.","Żadne zamówienie nie zostało wstrzymane."
"You have put %1 order(s) on hold.","Wstrzymano %1 zamówień."
"%1 order(s) were not released from on hold status.","%1 zamówień nie zostało uwolnionych ze statusu ""wstrzymano""."
"No order(s) were released from on hold status.","Żadne zamówień nie zostało uwolnionych ze statusu ""wstrzymano""."
"%1 order(s) have been released from on hold status.","%1 zamówień zostało uwolnionych ze statusu ""wstrzymano""."
"There are no printable documents related to selected orders.","Brak dokumentów do wydruku powiązanych z wybranymi zamówieniami"
"The payment has been accepted.","Płatność została zaakceptowana."
"The payment has been denied.","Płatność została odrzucona."
"Transaction has been approved.","Transakcja została zatwierdzona."
"Transaction has been voided/declined.","Transakcja została unieważniona / odrzucona."
"There is no update for the transaction.","Nie ma żadnej aktualizacji dla tej transakcji."
"We can't update the payment right now.","W tej chwili nie możemy zaktualizować płatności."
"You assigned the order status.","Status został przypisany do zamówienia."
"Something went wrong while assigning the order status.","Coś poszło nie tak podczas przypisywania statusu do zamówienia."
"We can't find this order status.","Nie możemy odnaleźć statusu zamówienia."
"Create New Order Status","Utwórz nowy status zamówienia"
"We found another order status with the same order status code.","Znaleźliśmy inny status zamówienia o tym samym kodzie."
"You saved the order status.","Zapisałeś status zamówienia."
"We can't add the order status right now.","W tej chili nie możemy dodać tego statusu zamówienia."
"You have unassigned the order status.","Status nie został przypisany do zamówienia."
"Something went wrong while unassigning the order.","Coś poszło nie tak podczas unieważnienia przypisywania zamówienia."
"Can't unhold order.","Nie można wznowić zamówienia."
"You released the order from holding status.","Wydany w kolejności od posiadania statusu."
"The order was not on hold.","Zamówienie nie było wstrzymane."
"Exception occurred during order load","Wystąpił wyjątek podczas kolejność ładowania"
"Something went wrong while saving the gift message.","Coś się zepsuło podczas zapisywania wiadomości prezentowych."
"You saved the gift card message.","Zapisałeś wiadomość karty prezentowej."
"The payment has been voided.","Płatność została unieważniona."
"We can't void the payment right now.","Nie można teraz unieważnić płatności."
"Please correct the transaction ID and try again.","Prosimy o poprawienie identyfikatora transakcji i spróbowanie ponownie."
"The transaction details have been updated.","Dane transakcji zostały zaktualizowane."
"We can't update the transaction details.","Nie można zaktualizować szczegółów transakcji."
"Orders and Returns","Zamówienia i zwroty"
"Home","Strona główna"
"Go to Home Page","Przejdź na stronę główną"
"You entered incorrect data. Please try again.","Wpisałeś nieprawidłowe dane. Proszę spróbować ponownie."
"We can't find this wish list.","Nie udało się odnaleźć tej listy życzeń."
"We could not add a product to cart by the ID ""%1"".","Nie można dodać produktu do koszyka przez ID ""%1""."
"There is an error in one of the option rows.","W jednym z rzędów opcji jest błąd."
"Shipping Address: ","Adres dla dostawy: "
"Billing Address: ","Adres rozliczeniowy: "
"Please specify order items.","Proszę określić kolejność elementów."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","Ta metoda płatności nie jest dostępna."
"Validation is failed.","Weryfikacja nie powiodła się."
"You did not email your customer. Please check your email settings.","Nie utworzono emalia klienta. Proszę sprawdzić ustawienia e-mail."
"-- Please Select --","-- Prosimy wybrać --"
"Path ""%1"" is not part of allowed directory ""%2""","Ścieżka ""%1"" nie jest częścią dozwolonych katalogu ""%2"""
"Identifying Fields required","Określenie pola wymagane"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Dokument sprzedaży - Faktura - błąd(błędy) podczas sprawdzania:\n""."
"Could not save an invoice, see error log for details","Nie można zapisać faktury, aby uzyskać szczegółowe informacje zobacz dziennik błędów"
"A hold action is not available.","Akcja odblokowania jest niedostępna."
"You cannot remove the hold.","Nie można usunąć ładowania."
"We cannot cancel this order.","Nie możemy anulować tego zamówienia."
"Guest","Gość"
"Please enter the first name.","Wpisz imię."
"Please enter the last name.","Wpisz nazwisko."
"Please enter the street.","Prosimy wpisać ulicę."
"Please enter the city.","Prosimy wpisać miasto."
"Please enter the phone number.","Proszę podać numer telefonu."
"Please enter the company.","Prosimy o podanie firmy."
"Please enter the fax number.","Wprowadź numer faksu."
"Please enter the zip/postal code.","Prosimy wpisać kod pocztowy."
"Please enter the country.","Prosimy wpisać kraj."
"Please enter the state/province.","Prosimy wpisać region/województwo."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Oczekujący"
"Refunded","Zwrócone"
"Canceled","Anulowane"
"Unknown State","Nieznany stan"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","Znaleźliśmy nieprawidłową ilość towaru do zwrotu ""%1""."
"The creditmemo contains product item that is not part of the original order.","Creditmemo zawiera element produktu, który nie jest częścią oryginalnego zamówienia."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maksymalny koszt dostawy dozwolony do zwrotu to: %1"
"Order Id is required for creditmemo document","Identyfikator zamówienia jest wymagany dla dokumentu creditmemo"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","Creditmemo zawiera produkt SKU ""%1"" czyli nie jest częścią oryginalnego zamówienia."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","Nie można utworzyć creditmemo bez produktów."
"The most money available to refund is %1.","Większość pieniędzy do zwrotu to %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","To zamówienie już zostało skojarzone z konte klienta"
"Paid","Zapłacono"
"We cannot register an existing invoice","Nie można zarejestrować istniejącej faktury"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","Nie możemy stworzyć creditmemo dla faktury."
"Order Id is required for invoice document","Identyfikator zamówienia jest wymagane dla dokumentu faktury"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Ilość do zafakturowania nie może być większa niż niezafakturowana ilość produktu SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","Faktura zawiera jeden lub więcej elementów, które nie są częścią oryginalnego zamówienia."
"ID required","ID required"
"Unknown Status","Nieznany status"
"Ordered","Zamówień"
"Shipped","Wysłane"
"Invoiced","Zafakturowane"
"Backordered","Produkty brakujące do realizacji"
"Returned","Zwrócony"
"Partial","Częściowy"
"Mixed","Mieszany"
"Registered a Void notification.","Zarejestrowano puste powiadomienie."
"If the invoice was created offline, try creating an offline credit memo.","Jeśli faktura została utworzona offline, spróbuj utworzyć fakturę kredytową również offline."
"We refunded %1 online.","Zwracamy %1 online."
"We refunded %1 offline.","Zwracamy %1 online."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Zwrot"". Zwrot wydany przez sprzedającego. Zarejestrowane powiadomienie o zwrocie kwoty %1. Identyfikator transakcji: ""%2"". Faktura korygująca nie została utworzona. Proszę utworzyć fakturę korygującą."
"The credit memo has been created automatically.","Faktura korygująca została utworzona automatycznie."
"Registered notification about refunded amount of %1.","Zarejestrowano powiadomienie o zrefundowanej kwocie %1."
"Canceled order online","Zamówienie anulowane online"
"Canceled order offline","Zamówienie anulowane offline"
"Approved the payment online.","Zaakceptowana płatność online."
"There is no need to approve this payment.","Nie ma potrzeby akceptowania tej płatności."
"Denied the payment online","Odrzucona płatność online"
"Registered update about approved payment.","Zarejestrowano aktualizację o zaakceptowanej płatności.
"
"Registered update about denied payment.","Zarejestrowano aktualizację o odrzuconej płatności.
"
"There is no update for the payment.","Nie ma aktualizacji tej płatności."
"Voided authorization.","Unieważniona autoryzacja."
"Amount: %1.","Kwota: %1."
"Transaction ID: ""%1""","ID transakcji: ""%1"""
"The payment method you requested is not available.","Metody płatności, której szukasz nie jest dostępna."
"The payment disallows storing objects.","Płatności nie zezwala na przechowywanie obiektów."
"The transaction ""%1"" cannot be captured yet.","Transakcja ""%1"" jeszcze nie może być przechwycona."
"The parent transaction ID must have a transaction ID.","ID nadrzędnej transakcji musi mieć ID transakcji."
"Payment transactions disallow storing objects.","Trnasakcja płatności nie zezwala na przechowywanie obiektów."
"The transaction ""%1"" (%2) is already closed.","Transakcja ""%1"" (%2) jest już zamknięta."
"Set order for existing transactions not allowed","Ustawienie zamówienia dla istniejącej transakcji nie jest dozwolone"
"At minimum, you need to set a payment ID.","Należy ustawić identyfikator płatności na minimum."
"Order","Zamówienie"
"Authorization","Autoryzacja"
"We found an unsupported transaction type ""%1"".","Znaleźliśmy nieobsługiwany typu transakcji ""%1""."
"Please set a proper payment and order id.","Proszę ustawić właściwy identyfikator zamówienia i płatność."
"Please enter a Transaction ID.","Podaj ID transakcji."
"You can't do this without a transaction object.","Nie może tego zrobić bez obiektu transakcji."
"Order # ","Zamówienie # "
"Order Date: ","Data zamówienia: "
"Sold to:","Sprzedano:"
"Ship to:","Dane dostawy:"
"Payment Method:","Metoda płatności:"
"Shipping Method:","Metoda dostawy"
"Total Shipping Charges","Łączne koszty wysyłki"
"Title","Tytuł"
"Number","Numer"
"We found an invalid renderer model.","Znaleźliśmy nieprawidłowo renderowany model."
"Please define the PDF object before using.","Prosimy o zdefiniowanie obiektu PDF przed użyciem."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Products","Produkty"
"Total (ex)","bez VAT"
"Qty","Ilość"
"Tax","Podatek"
"Total (inc)","z VAT"
"Credit Memo # ","Nota kredytowa nr  "
"Invoice # ","Faktura nr  "
"The order object is not specified.","Przedmiot zamówienia nie został określony."
"The source object is not specified.","Obiekt źródłowy nie został określony."
"An item object is not specified.","Nie określono elementu obiektu."
"A PDF object is not specified.","Obiekt PDF nie został określony."
"A PDF page object is not specified.","Strona obiektu PDF nie została określona."
"Excl. Tax","Bez podatku"
"Incl. Tax","Z podatkiem"
"Packing Slip # ","List przewozowy # "
"title","tytuł"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","%1 całkowity wzór PDF musi znajdować się albo rozszerzyć po \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Nie można zarejestrować istniejącej wysyłki"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Identyfikator zamówienia jest wymagany dla dokumentu dostawy"
"You can't create a shipment without products.","Nie można utworzyć przesyłki bez produktów."
"The shipment contains product SKU ""%1"" that is not part of the original order.","Przesyłka zawiera produktu SKU ""%1"" który nie jest częścią oryginalnego zamówienia."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Proszę wprowadzić kod śledzenia."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Total model należy rozszerzyć z \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","Nie można utworzyć faktury, gdy zamówienie ma status %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","Zamówienie nie pozwala na utworzenie creditmemo."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Nie można zapisać Creditmemo, aby uzyskać szczegółowe informacje zobacz dziennik błędów"
"We cannot determine the field name.","Nie można określić nazwy pola."
"City","Miasto"
"Company","Firma"
"Country","Kraj"
"Email","E-mail"
"First Name","Imię"
"Last Name","Nazwisko"
"State/Province","Województwo"
"Street Address","Ulica i numer"
"Phone Number","Numer telefonu"
"Zip/Postal Code","Kod pocztowy"
"We can't save the address:\n%1","Nie możemy zapisać adresu:\n%1"
"Cannot save comment:\n%1","Nie można zapisać komentarza:\n%1"
"We don't have enough information to save the parent transaction ID.","Nie mamy wystarczających informacji, aby zapisać nadrzędny identyfikator transakcji."
"We cannot create an empty shipment.","Nie można utworzyć pustej przesyłki."
"Cannot save track:\n%1","Nie można zapisać ścieżki:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Nowe zamówienia"
"Order #%1 created at %2","Zamówienie #%1 utworzone %2"
"Details for %1 #%2","Szczegóły %1 #%2"
"Notified Date: %1","Data powiadomienia: %1"
"Comment: %1<br/>","Komentarz: %1<br/>"
"Current Status: %1<br/>","Bieżący status: %1<br/>"
"Total: %1<br/>","Łącznie: %1<br/>"
"Order # %1 Notification(s)","Powiadomienia zamówienia nr %1"
"You can not cancel Credit Memo","Nie można anulować faktury korygującej"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","Nie udało się zarejestrować istniejącej faktury korygującej."
"We found an invalid quantity to invoice item ""%1"".","Znaleźliśmy niewłaściwą ilość zafakturowanego produktu ""%1""."
"The Order State ""%1"" must not be set manually.","Nie wolno ustawić stanu zamówienia ""%1"" ręcznie."
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"Could not save a shipment, see error log for details","Nie można zapisać koszyka, aby uzyskać szczegółowe informacje zobacz dziennik błędów"
"VAT Request Identifier","Identyfikator zapytania o VAT"
"VAT Request Date","Data zapytania o VAT"
"Pending Payment","Oczekuje na płatność"
"Processing","Przetwarzam"
"On Hold","Wstrzymano"
"Complete","Zakończone"
"Closed","Zamknięty"
"Suspected Fraud","Podejrzenie oszustwa"
"Payment Review","Przeglad płatności"
"New","Nowy"
"Product doesn't exist","Product doesn't exist"
"test message","wiadomość testowa"
"Email has not been sent","E-mail nie został wysłany"
"Authorized amount of %1","Autoryzowana kwota %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Zobacz"
"Group was removed","Grupa została usunięta"
"Changing address information will not recalculate shipping, tax or other order amount.","Zmiana informacji adresowy nie przeliczy dostawy, podatku lub innych kwot zamówienia."
"Comment Text","Komentarz"
"Notify Customer by Email","Powiadom klienta przez e-mail"
"Visible on Storefront","Widoczne na sklepie"
"Customer","Klient"
"Notified","Powiadomiony"
"Not Notified","Nie powiadomiony"
"No Payment Methods","Brak metod płatności"
"Order Comments","Komentarze do zamówienia"
