"Credit Memos","İade Kayıtları"
"The order no longer exists.","Sipariş bulunamadı."
"We can't create credit memo for the order.","Sipariş için kredi notu oluşturamıyoruz."
"Edit Order","Siparişi Düzenle"
"You sent the order email.","Sipariş e-postasını gönderdiniz."
"We can't send the email order right now.","Şu anda e-posta siparişini gönderemiyoruz."
"You have not put the order on hold.","Siparişi beklemeye almadınız."
"You put the order on hold.","Siparişi beklemeye aldınız."
"You canceled the invoice.","Faturayı iptal ettiniz."
"Invoice canceling error","Fatura iptal edilme hatası"
"The invoice has been captured.","Fatura tahsil edildi."
"The order does not allow an invoice to be created.","Sipariş, bir fatura oluşturulmasına izin vermiyor."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","Yeni Fatura"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","Faturayı ve kargoyu oluşturdunuz."
"The invoice has been created.","Fatura oluşturuldu."
"We can't send the invoice email right now.","Şu anda e-posta siparişini gönderemiyoruz."
"We can't send the shipment right now.","Sevkiyatı şu anda gönderemiyoruz."
"Cannot update item quantity.","Ürün adedi güncellenemedi."
"The invoice has been voided.","Fatura iptal edildi."
"Invoice voiding error","Fatura iptal etme hatası"
"%1 order(s) cannot be canceled.","%1 sipariş iptal edilemez."
"You cannot cancel the order(s).","Sipariş(ler) iptal edilememektedir."
"We canceled %1 order(s).","%1 numaralı sipariş iptal edilmiştir."
"%1 order(s) were not put on hold.","%1 sipariş (ler) beklemedi."
"No order(s) were put on hold.","Beklemeye alınmış sipariş yok."
"You have put %1 order(s) on hold.","%1 Siparişini beklemeye aldınız."
"%1 order(s) were not released from on hold status.","%1 sipariş bekleme durumundan serbest bırakılmadı."
"No order(s) were released from on hold status.","Bekleme durumundan emir(ler) i serbest bırakılmadı."
"%1 order(s) have been released from on hold status.","%1 sipariş bekleme durumundan serbest bırakıldı."
"There are no printable documents related to selected orders.","Seçilen sipariş ile herhangi bir yazılabilir doküman ilişkilendirilemedi."
"The payment has been accepted.","Ödeme kadul edildi."
"The payment has been denied.","Ödeme reddedildi."
"Transaction has been approved.","İşlem onaylandı."
"Transaction has been voided/declined.","İşlem iptal edildi/reddedildi."
"There is no update for the transaction.","İşlem için güncelleme yok."
"We can't update the payment right now.","Ödemeyi şu anda güncelleyemiyoruz."
"You assigned the order status.","Sipariş durumu atadın."
"Something went wrong while assigning the order status.","Sipariş durumu atanırken bir şeyler ters gitti."
"We can't find this order status.","Bu sipariş durumunu bulamıyoruz."
"Create New Order Status","Yeni Sipariş Durumu Ekle"
"We found another order status with the same order status code.","Aynı sipariş durum koduyla başka bir sipariş durumu bulduk."
"You saved the order status.","Sipariş durumunu kaydettin."
"We can't add the order status right now.","Sipariş durumunu şu anda ekleyemiyoruz."
"You have unassigned the order status.","Sipariş durumunu atadın."
"Something went wrong while unassigning the order.","Siparişi atamanız sırasında bir sorun oluştu."
"Can't unhold order.","Sipariş kaldırılamıyor."
"You released the order from holding status.","Siparişi bekletme durumundan serbest bıraktınız."
"The order was not on hold.","Sipariş beklemede değildi."
"Exception occurred during order load","Yükleme sırasında beklenmeyen bir hata oluştu"
"Something went wrong while saving the gift message.","Hediye mesajı kaydedilirken bir şeyler ters gitti."
"You saved the gift card message.","Hediye kartı mesajını kaydettiniz."
"The payment has been voided.","Ödeme iptal edilmiştir."
"We can't void the payment right now.","Ödemeyi şu anda iptal edemeyiz."
"Please correct the transaction ID and try again.","Lütfen işlem kimliğini düzeltin ve tekrar deneyin."
"The transaction details have been updated.","İşlem detayları güncellendi."
"We can't update the transaction details.","İşlem ayrıntılarını güncelleyemiyoruz."
"Orders and Returns","Siparişler ve İadeler"
"Home","Ana Sayfa"
"Go to Home Page","Ana Sayfasına Gidin"
"You entered incorrect data. Please try again.","Hatalı veri girdiniz. Lütfen tekrar deneyin."
"We can't find this wish list.","Bu istek listesi bulamadı"
"We could not add a product to cart by the ID ""%1"".","""%1"" kimliği tarafından sepete bir ürün ekleyemedik."
"There is an error in one of the option rows.","Seçenek satırlarından birinde hata meydana geldi."
"Shipping Address: ","Teslimat Adresi: "
"Billing Address: ","Fatura Adresi: "
"Please specify order items.","Lütfen sipariş öğelerini belirtin."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","Bu ödeme yöntemi mevcut değil."
"Validation is failed.","Doğrulama başarısız oldu."
"You did not email your customer. Please check your email settings.","Müşterinize e-posta göndermediniz. Lütfen e-posta ayarlarınızı kontrol edin."
"-- Please Select --","-- Lütfen Seçiniz --"
"Path ""%1"" is not part of allowed directory ""%2""","""%1"" yolu izin verilen ""%2"" dizininin parçası değil"
"Identifying Fields required","Alanların Belirlenmesi gerekli"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Fatura Belgesi Doğrulama Hata(ları):\n""."
"Could not save an invoice, see error log for details","Bir fatura kaydedilemedi, ayrıntılar için hata günlüğüne bakın"
"A hold action is not available.","Tutma işlemi kullanılabilir değil."
"You cannot remove the hold.","Tutma işlemini kaldıramazsınız."
"We cannot cancel this order.","Bu sipariş iptal edilememektedir."
"Guest","Misafir"
"Please enter the first name.","Lütfen adı giriniz."
"Please enter the last name.","Lütfen soyadı giriniz."
"Please enter the street.","Lütfen adres bilgisi giriniz."
"Please enter the city.","Lütfen şehir giriniz."
"Please enter the phone number.","Lütfen telefon numarası giriniz."
"Please enter the company.","Lütfen şirketi giriniz."
"Please enter the fax number.","Lütfen faks numarasını giriniz."
"Please enter the zip/postal code.","Lütfen Posta Kodu giriniz."
"Please enter the country.","Lütfen ülke giriniz."
"Please enter the state/province.","Lütfen Şehir giriniz."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Bekliyor"
"Refunded","İadesi Yapıldı"
"Canceled","İptal Edildi"
"Unknown State","Bilinmeyen Durum"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","""%1"" öğesine iade yapmak için geçersiz bir miktar bulduk."
"The creditmemo contains product item that is not part of the original order.","Fatura, orijinal siparişin parçası olmayan bir veya daha fazla ürün içeriyor."
"The quantity to refund must not be greater than the unrefunded quantity.","İade yapılacak miktar iade yapılmayan miktardan daha büyük olmamalıdır."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Geri ödeme yapılmasına izin verilen maksimum transfer tutarı: %1"
"Order Id is required for creditmemo document","Fatura belgesi için sipariş kimliği gerekiyor"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","Alacakfaturası orijinal siparişin parçası olmayan SKU ""%1"" ürününü içeriyor."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","Fatura miktarı, ürün SKU ''%1'' için faturalandırılmamış miktardan daha fazla olmamalıdır."
"You can't create a creditmemo without products.","Ürünler olmadan bir fatura oluşturamazsınız."
"The most money available to refund is %1.","Geri ödeme için kullanılabilecek en fazla miktar %1 'dir."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","Zaten bu siparişle ilişkili müşteri hesabı var"
"Paid","Ödendi"
"We cannot register an existing invoice","Mevcut olan bir faturayı kayıt edemiyoruz"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","Fatura için kredi notu oluşturamayız."
"Order Id is required for invoice document","Fatura belgesi için sipariş kimliği gerekiyor"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Fatura miktarı, ürün SKU ''%1'' için faturalandırılmamış miktardan daha fazla olmamalıdır."
"The invoice contains one or more items that are not part of the original order.","Fatura, orijinal siparişin parçası olmayan bir veya daha fazla ürün içeriyor."
"ID required","ID required"
"Unknown Status","Bilinmeyen Statü"
"Ordered","Sipariş Tarihi"
"Shipped","Gönderildi"
"Invoiced","Faturalandı"
"Backordered","Ön Sipariş Verildi"
"Returned","Geri Dönen"
"Partial","Kısmi"
"Mixed","Karışık"
"Registered a Void notification.","İptal notu eklendi."
"If the invoice was created offline, try creating an offline credit memo.","Fatura çevrimdışı oluşturulduysa, bir çevrimdışı kredi notu oluşturmayı deneyin."
"We refunded %1 online.","%1 çevrimiçi iade aldık."
"We refunded %1 offline.","%1 çevrimdışı iade aldık."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""İade"". Satıcı tarafından verilen geri ödeme. Geri ödenen %1 tutarı hakkında tescilli bildirim. İşlem Kimliği: ''%2''. Kredi Notu oluşturulmadı. Lütfen çevrimdışı Kredi Notu oluşturun."
"The credit memo has been created automatically.","Kredi notu otomatik olarak oluşturuldu."
"Registered notification about refunded amount of %1.","Geri ödenen %1 tutarı hakkında tescilli bildirim."
"Canceled order online","Online iptal edilen sipariş"
"Canceled order offline","Offline iptal edilen sipariş"
"Approved the payment online.","Ödeme çevrimiçi olarak Onaylandı."
"There is no need to approve this payment.","Bu ödemenin onaylanmasına gerek yok."
"Denied the payment online","Ödeme çevrimiçi reddedildi"
"Registered update about approved payment.","Güncellemesi kabul edilen ödeme için mesaj."
"Registered update about denied payment.","Güncellemesi reddedilen ödeme için mesaj."
"There is no update for the payment.","Bu ödeme için bir güncelleme yok."
"Voided authorization.","İptal edilen işlem onayı."
"Amount: %1.","Tutar: %1."
"Transaction ID: ""%1""","İşlem Kimliği: ''%1''"
"The payment method you requested is not available.","İstediğiniz ödeme yöntemi geçerli değil."
"The payment disallows storing objects.","Ödeme, nesnelerin saklanmasına izin vermiyor."
"The transaction ""%1"" cannot be captured yet.","İşlem ''%1'' henüz yakalanamadı."
"The parent transaction ID must have a transaction ID.","Üst işlem kimliğinin bir işlem kimliğine sahip olması gerekir."
"Payment transactions disallow storing objects.","Ödeme işlemleri nesneleri kaydetmeye izin vermiyor."
"The transaction ""%1"" (%2) is already closed.","İşlem ''%1'' (%2) zaten kapandı."
"Set order for existing transactions not allowed","Varolan işlemler için sıralamaya izin verilmiyor"
"At minimum, you need to set a payment ID.","En az bir ödeme kimliği ayarlamanız gerekir."
"Order","Sipariş"
"Authorization","Yetkilendirme"
"We found an unsupported transaction type ""%1"".","Desteklenmeyen bir işlem türü bulduk ''%1''."
"Please set a proper payment and order id.","Lütfen uygun bir ödeme ve sipariş numarası belirleyin."
"Please enter a Transaction ID.","Lütfen İşlem Kimliği girin."
"You can't do this without a transaction object.","Bunu bir işlem nesnesi olmadan yapamazsınız."
"Order # ","Sipariş #"
"Order Date: ","Sipariş Tarihi: "
"Sold to:","Satılan:"
"Ship to:","Teslim Edilecek:"
"Payment Method:","Tahsilat Yöntemi:"
"Shipping Method:","Teslimat Yöntemi:"
"Total Shipping Charges","Toplam Teslimat Tutarı"
"Title","Başlık"
"Number","Numara"
"We found an invalid renderer model.","Geçersiz bir oluşturucu modeli bulduk."
"Please define the PDF object before using.","Lütfen PDF nesnesini kullanmadan önce tanımlayın."
"We don't recognize the draw line data. Please define the ""lines"" array.","Çizim verisini tanımıyoruz. Lütfen ""satırlar"" dizisini tanımlayın."
"Products","Ürünler"
"Total (ex)","Toplam (hariç)"
"Qty","Miktar"
"Tax","Vergi"
"Total (inc)","Toplam (dahil)"
"Credit Memo # ","İade Kaydı #"
"Invoice # ","Fatura #"
"The order object is not specified.","Sipariş nesnesi belirtilmedi."
"The source object is not specified.","Kaynak nesne belirtilmedi."
"An item object is not specified.","Bir öğe nesnesi belirtilmedi."
"A PDF object is not specified.","Bir PDF nesnesi belirtilmedi."
"A PDF page object is not specified.","Bir PDF sayfa nesnesi belirtilmedi."
"Excl. Tax","Vergi Hariç"
"Incl. Tax","Vergi Dahil"
"Packing Slip # ","Paketleme Fişi # "
"title","başlık"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","PDF toplam modeli %1 olmalı veya yapılandırılmalıdır \Magento\Satış\Model\Sipariş\ Pdf\Toplam\ VarsayılanToplam."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Mevcut olan bir sevkiyatı kayıt edemiyoruz"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parça taşıması için ana sevkiyat yüklenemiyor."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Sevkiyat belgesi için sipariş kimliği gerekiyor"
"You can't create a shipment without products.","Ürünsüz bir kargo oluşturamazsınız."
"The shipment contains product SKU ""%1"" that is not part of the original order.","Sevkiyat orijinal siparişin parçası olmayan ""%1"" SKU ürününü içeriyor."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","Transfer miktarı SKU ""%1"" için gönderilmemiş ürün miktarından büyük olmamalıdır."
"Please enter a tracking number.","Lütfen bir takip numarası girin."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Toplam model \Magento\Sales\Model\Sipariş\Toplam\GenelToplam'dan yapılandırılmalıdır."
"An invoice cannot be created when an order has a status of %1","Bir sipariş %1 durumunda olduğunda fatura oluşturulamaz"
"A creditmemo can not be created when an order has a status of %1","Bir siparişin durumu %1 olduğunda fatura belgesi oluşturulamaz"
"The order does not allow a creditmemo to be created.","Sipariş bir fatura belgesinin oluşturulmasına izin vermiyor."
"A shipment cannot be created when an order has a status of %1","Bir siparişin durumu %1 olduğunda bir kargo oluşturulamaz"
"The order does not allow a shipment to be created.","Sipariş bir sevkiyatın oluşturulmasına izin vermiyor."
"""Creditmemo Document Validation Error(s):\n"" .","""Fatura Belgesi Onaylama Hata(lar) ı:\n"" ."
"Could not save a Creditmemo, see error log for details","Bir Fatura Belgesi kaydedilemedi, ayrıntılar için hata günlüğüne göz atın"
"We cannot determine the field name.","Alan adını belirleyemiyoruz."
"City","Şehir"
"Company","Şirket"
"Country","Ülke"
"Email","E-posta"
"First Name","Adı"
"Last Name","Soyadı"
"State/Province","Eyalet/Şehir"
"Street Address","Adres"
"Phone Number","Telefon Numarası"
"Zip/Postal Code","Zip/Posta Kodu"
"We can't save the address:\n%1","Adresi kaydedemiyoruz:\n%1"
"Cannot save comment:\n%1","Yorum kaydedilemedi:\n%1"
"We don't have enough information to save the parent transaction ID.","Üst işlem kimliğini kaydetmek için yeterli bilgiye sahip değiliz."
"We cannot create an empty shipment.","Boş bir teslimat oluşturamazsınız."
"Cannot save track:\n%1","Parça kaydedilemiyor:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Yeni Siparişler"
"Order #%1 created at %2","%2 de oluşturulan sipariş #%1"
"Details for %1 #%2","Detaylar için %1 #%2"
"Notified Date: %1","Bildirim Tarihi: %1"
"Comment: %1<br/>","Yorum: %1<br/>"
"Current Status: %1<br/>","Geçerli Durum: %1<br/>"
"Total: %1<br/>","Toplam: %1<br/>"
"Order # %1 Notification(s)","Sipariş # %1 Bildirim(ler)"
"You can not cancel Credit Memo","Fatura Belgesini iptal edemezsiniz"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","Var olan fatura belgesini kayıt edemiyoruz."
"We found an invalid quantity to invoice item ""%1"".","""%1'' fatura öğesi için geçersiz bir miktar bulduk."
"The Order State ""%1"" must not be set manually.","Sipariş durumu ""%1"" el ile ayarlanmamalıdır."
"""Shipment Document Validation Error(s):\n"" .","""Sevkiyat belgesi doğrulama hatası/hataları:\n""."
"Could not save a shipment, see error log for details","Sevkiyat kaydedilemiyor, ayrıntılar için hata günlüğüne göz atın"
