"Credit Memos","Creditfacturen"
"Accept Payment","Accepteer betaling"
"Are you sure you want to deny this payment?","Weet u zeker dat u niet akkoord gaat met deze betaling?"
"Deny Payment","Betaling afwijzen"
"Get Payment Update","Update transactie"
"Invoice and Ship","Factureer en verzend"
"Invoice","Factuur"
"Ship","Verzenden"
"Reorder","Opnieuw bestellen"
"Order # %1 %2 | %3","Bestelling # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Deze bestelling bevat (%1) producten en kan daarom niet gewijzigd worden in het admin panel op dit moment. Als u toch wilt bewerken, zullen de (%2) producten verwijderd worden, zal de bestelling worden geannuleerd en wordt een nieuwe bestelling aangemaakt."
"Are you sure? This order will be canceled and a new one will be created instead.","Weet u het zeker? Deze bestelling zal worden geannuleerd, en in plaats hiervan zal een nieuwe worden aangemaakt."
"Save Gift Message","Kadobericht opslaan"
" [deleted]"," [verwijderd]"
"Order Credit Memos","Creditfacturen bij bestelling"
"Credit memo #%1 created","Creditfactuur #%1 gemaakt"
"Credit memo #%1 comment added","Creditfactuur #%1 opmerking toegevoegd"
"Shipment #%1 created","Verzending %1 aangemaakt"
"Shipment #%1 comment added","Verzending #%1 opmerking toegevoegd"
"Invoice #%1 created","Factuur #%1 aangemaakt"
"Invoice #%1 comment added","Factuur #%1 opmerking toegevoegd"
"Tracking number %1 for %2 assigned","Tracking nummer %1 voor %2 toegewezen"
"Comments History","Bestelling-notities"
"Order History","Bestelgeschiedenis"
"Information","Informatie"
"Order Information","Bestelgegevens"
"Order Invoices","Facturen"
"Shipments","Verzendingen"
"Order Shipments","Verzonden bestellingen"
"Transactions","Transacties"
"Order View","Bekijken van bestelling"
"Any","Elke"
"Specified","Gespecificeerd"
"Applies to Any of the Specified Order Statuses except canceled orders","Is van toepassing op een van de opgegeven bestelstatussen behalve geannuleerde bestellingen"
"Cart Price Rule","Winkelwagen prijs regels"
"Yes","Ja"
"No","Nee"
"Show Actual Values","Toon actuele waardes"
"New Order RSS","Nieuwe bestellingen RSS"
"Subtotal","Subtotaal"
"Shipping & Handling","Verzending en verwerking"
"Discount (%1)","Korting (%1)"
"Discount","Korting"
"Grand Total","Eindtotaal"
"Back","Terug"
"Fetch","Haal op"
"Transaction # %1 | %2","Transactie # %1 | %2"
"N/A","n.v.t."
"Key","Sleutel"
"Value","Waarde"
"We found an invalid entity model.","We vonden een ongeldige entiteitsmodel."
"Order # %1","Bestelling # %1"
"Back to My Orders","Terug naar bestellingsoverzicht"
"View Another Order","Bekijk een andere bestelling"
"About Your Refund","Over uw creditering"
"My Orders","Mijn bestellingen"
"Subscribe to Order Status","Meld u aan om uw bestelling te volgen"
"About Your Invoice","Over uw factuur"
"Print Order # %1","Print bestelling # %1"
"Grand Total to be Charged","Te betalen eindtotaal"
"Unassign","Loskoppelen"
"We can't add this item to your shopping cart right now.","We kunnen dit product nu niet aan uw winkelwagen toevoegen."
"You sent the message.","U heeft het bericht verzonden."
"Sales","Verkopen"
"Invoice capturing error","Fout bij het verzamelen van de factuur"
"This order no longer exists.","Deze bestelling bestaat niet meer"
"Please enter a comment.","Voer een opmerking in."
"We cannot add order history.","We kunnen bestelhistorie niet toevoegen."
"You updated the order address.","U heeft het besteladres bijgewerkt."
"We can't update the order address right now.","Bijwerken van bestellingadres niet gelukt."
"You have not canceled the item.","U hebt het artikel niet geannuleerd."
"You canceled the order.","U hebt de bestelling geannuleerd."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" kortingscode is niet toegepast. Pas geen korting toe is ingeschakeld voor de geselecteerde product(en)"
"""%1"" coupon code is not valid.","""%1"" kortingscode is niet geldig."
"The coupon code has been accepted.","De couponcode is geaccepteerd"
"Quote item id is not received.","Quote item id is niet ontvangen."
"Quote item is not loaded.","Quote item id niet geladen."
"New Order","Nieuwe bestelling"
"You created the order.","U heeft de order aangemaakt."
"Order saving error: %1","Fout tijdens opslaan van order: %1"
"Cannot add new comment.","Kan nieuwe opmerking niet toevoegen."
"The credit memo has been canceled.","De creditfactuur is geannuleerd."
"Credit memo has not been canceled.","Creditfactuur is niet geannuleerd."
"New Memo for #%1","Nieuwe creditfactuur voor #%1"
"New Memo","Nieuwe creditfactuur"
"The credit memo's total must be positive.","Het totaal van de creditnota's moet positief zijn."
"Cannot create online refund for Refund to Store Credit.","Online-terugbetaling voor terugbetaling van winkeltegoed kon niet worden aangemaakt."
"You created the credit memo.","Creditnota is aangemaakt."
"We can't save the credit memo right now.","Creditnota kan niet worden opgeslagen."
"We can't update the item's quantity right now.","Producthoeveelheid kan niet bijgewerkt worden."
"View Memo for #%1","Weergave Memo voor #%1"
"View Memo","Bekijk bericht"
"You voided the credit memo.","U heeft de creditfactuur ongeldig gemaakt."
"We can't void the credit memo.","De creditnota kan niet geannuleerd worden."
"The order no longer exists.","De order bestaat niet langer."
"We can't create credit memo for the order.","Creditnota voor de order kan niet worden aangemaakt."
"Edit Order","Bestelling bewerken"
"You sent the order email.","U heeft de bestelling email verzonden."
"We can't send the email order right now.","We kunnen de email bestelling momenteel niet versturen."
"You have not put the order on hold.","U heeft de bestelling niet in wacht gezet."
"You put the order on hold.","U heeft de bestelling in wacht gezet."
"You canceled the invoice.","U heeft de factuur geannuleerd."
"Invoice canceling error","Fout bij annulering van factuur"
"The invoice has been captured.","De factuur is betaald"
"The order does not allow an invoice to be created.","De bestelling staat niet toe dat er een factuur wordt aangemaakt."
"You can't create an invoice without products.","U kunt geen factuur zonder producten maken."
"New Invoice","Nieuwe factuur"
"We can't save the invoice right now.","We kunnen de factuur nu niet opslaan."
"You created the invoice and shipment.","U heeft de factuur en verzending aangemaakt."
"The invoice has been created.","De factuur is aangemaakt"
"We can't send the invoice email right now.","We kunnen de factuur nu niet per email verzenden. "
"We can't send the shipment right now.","We kunnen de verzending momenteel niet afhandelen."
"Cannot update item quantity.","Kan de aantallen niet wijzigen"
"The invoice has been voided.","De factuur is ongeldig"
"Invoice voiding error","Factuur kon niet vernietigd worden"
"%1 order(s) cannot be canceled.","%1 bestelling(en) kan niet worden geannuleerd."
"You cannot cancel the order(s).","U kunt de bestellingen niet annuleren."
"We canceled %1 order(s).","We hebben %1 bestelling(en) geannuleerd."
"%1 order(s) were not put on hold.","%1 bestelling(en) zijn niet vastgehouden."
"No order(s) were put on hold.","Geen bestellingen op 'hold' gezet"
"You have put %1 order(s) on hold.","%1 bestelling(en) worden vastgehouden."
"%1 order(s) were not released from on hold status.","%1 bestelling(en) zijn niet vrijgegeven uit de vastgehouden-status."
"No order(s) were released from on hold status.","Geen bestelling(en) zijn vrijgegeven uit de vastgehouden-status."
"%1 order(s) have been released from on hold status.","%1 bestelling(en) zijn vrijgegeven uit de vastgehouden-status."
"There are no printable documents related to selected orders.","Er zijn geen printbare documenten gerelateerd aan de geselecteerde bestellingen"
"The payment has been accepted.","De betaling is geaccepteerd"
"The payment has been denied.","De betaling is geweigerd"
"Transaction has been approved.","De transactie is goedgekeurd."
"Transaction has been voided/declined.","Transactie is ongeldig/geweigerd."
"There is no update for the transaction.","Er is geen update voor de transactie."
"We can't update the payment right now.","We kunnen de betaling nu niet bijwerken."
"You assigned the order status.","U heeft een bestelling-status toegewezen"
"Something went wrong while assigning the order status.","Er ging iets mis tijdens het toewijzen van de serviceorderstatus."
"We can't find this order status.","We kunnen de status van de bestelling niet vinden."
"Create New Order Status","Maak een nieuwe bestelling-status"
"We found another order status with the same order status code.","Andere orderstatus van bestelling met dezelfde orderstatuscode."
"You saved the order status.","Bestellingstatus opgeslagen."
"We can't add the order status right now.","Kan de bestelling status nu niet toevoegen."
"You have unassigned the order status.","U heeft de status van de bestelling ingetrokken."
"Something went wrong while unassigning the order.","Er ging iets mis tijdens het intrekken van de bestelling."
"Can't unhold order.","Kan bestelling niet vrijgeven."
"You released the order from holding status.","U heeft de bestelling vrijgegeven van de in wacht status."
"The order was not on hold.","De bestelling was niet vastgehouden."
"Exception occurred during order load","De fout trad op tijdens de bestelling"
"Something went wrong while saving the gift message.","Er ging iets fout tijdens het opslaan van het geschenk bericht."
"You saved the gift card message.","U heeft het cadeaubon bericht opgeslagen."
"The payment has been voided.","De betaling is nietig verklaard"
"We can't void the payment right now.","De betaling kan nu niet ongeldig gemaakt worden."
"Please correct the transaction ID and try again.","Corrigeer het transactie ID en probeer opnieuw."
"The transaction details have been updated.","De transactie-details zijn bijgewerkt."
"We can't update the transaction details.","We kunnen de transactie details nu niet bijwerken."
"Orders and Returns","Bestellingen en Retouren"
"Home","Home"
"Go to Home Page","Ga naar homepagina"
"You entered incorrect data. Please try again.","U hebt onjuiste gegevens ingevoerd. Probeer het opnieuw."
"We can't find this wish list.","Deze verlanglijst kan niet gevonden worden."
"We could not add a product to cart by the ID ""%1"".","We kunnen het product niet het toevoegen aan winkelwagen met de ID ""%1""."
"There is an error in one of the option rows.","Er is een fout opgetreden in één van de optierijen."
"Shipping Address: ","Afleveradres: "
"Billing Address: ","Factuuradres: "
"Please specify order items.","Geef producten voor de bestelling op."
"Please specify a shipping method.","Geef een verzendmethode op."
"Please specify a payment method.","Geef de betaalmethode op."
"This payment method is not available.","Deze betaalwijze is niet beschikbaar."
"Validation is failed.","Validatie is mislukt."
"You did not email your customer. Please check your email settings.","U heeft de klant geen email verstuurd. Controleer uw email instellingen."
"-- Please Select --","-- Selecteer --"
"Path ""%1"" is not part of allowed directory ""%2""","Pad ""%1"" is geen onderdeel van toegestane directory ""%2"""
"Identifying Fields required","Verplichte velden identificeren"
"Id required","ID is vereist"
"""Invoice Document Validation Error(s):\n"" .","""Factuur Document validatie fout(en): \n""."
"Could not save an invoice, see error log for details","Kan de factuur niet opslaan, zie error-log voor details"
"A hold action is not available.","Vasthouden is niet mogelijk."
"You cannot remove the hold.","'Hold' kan niet verwijderd worden."
"We cannot cancel this order.","We kunnen de bestelling niet annuleren."
"Guest","Bezoeker"
"Please enter the first name.","Vul alstublieft de voornaam in."
"Please enter the last name.","Vul alstublieft de achternaam in."
"Please enter the street.","Vul de straatnaam in."
"Please enter the city.","Voer de plaats in."
"Please enter the phone number.","Vul het telefoonnummer in."
"Please enter the company.","Voer het bedrijf in."
"Please enter the fax number.","Vul het faxnummer in."
"Please enter the zip/postal code.","Vul de postcode in."
"Please enter the country.","Voer het land in."
"Please enter the state/province.","Vul de provincie in."
"Requested entity doesn't exist","De opgevraagde entiteit bestaat niet"
"Could not delete order address","Kan het adres van bestelling niet verwijderen"
"Could not save order address","Kan het adres van de bestelling niet opslaan"
"Pending","In afwachting"
"Refunded","Teruggestort"
"Canceled","Geannuleerd"
"Unknown State","Onbekende staat"
"Could not delete the comment.","Opmerking kon niet verwijderd worden."
"Could not save the creditmemo comment.","Kan de creditnota-opmerking niet opslaan."
"We found an invalid quantity to refund item ""%1"".","Ongeldig aantal gevonden om terug te betalen voor product ""%1""."
"The creditmemo contains product item that is not part of the original order.","De creditfactuur bevat een product-item dat geen deel uitmaakt van de oorspronkelijke bestelling."
"The quantity to refund must not be greater than the unrefunded quantity.","Het aantal om terug te betalen mag niet hoger zijn dan het aantal wat beschikbaar is."
"Could not delete the credit memo item.","Creditfactuur item kon niet verwijderd worden."
"Could not save the credit memo item.","Creditfactuur item kon niet opgeslagen worden."
"Maximum shipping amount allowed to refund is: %1","Maximale afleverbedrag voor terugbetaling is: %1"
"Order Id is required for creditmemo document","Bestelling Id is verplicht voor het creditfactuur document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","De creditmemo bevat product SKU ""%1"" welke geen deel uitmaakt van de oorspronkelijke bestelling."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","Het aantal om te crediteren mag niet hoger zijn dan het aantal wat beschikbaar is voor product SKU ""%1""."
"You can't create a creditmemo without products.","U kunt geen creditfactuur aanmaken zonder producten."
"The most money available to refund is %1.","Het meeste geld beschikbaar voor terugbetaling is %1."
"Could not delete credit memo","Kan creditfactuur niet verwijderen"
"Could not save credit memo","Creditnota kon niet worden opgeslagen"
"This order already has associated customer account","Deze bestelling heeft al een koppeling met een klanten account"
"Paid","Betaald"
"We cannot register an existing invoice","We kunnen geen bestaande factuur registreren"
"Could not delete the invoice comment.","Opmerking factuur kon niet verwijderd worden."
"Could not save the invoice comment.","Opmerking factuur kon niet opgeslagen worden."
"Could not delete the invoice item.","Factuur item kon niet verwijderd worden."
"Could not save the invoice item.","Factuur item kon niet opgeslagen worden."
"We can't create creditmemo for the invoice.","Creditnota voor de factuur kan niet worden aangemaakt."
"Order Id is required for invoice document","Bestelling Id is verplicht voor het factuur document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Het aantal om te factureren mag niet hoger zijn dan het aantal wat beschikbaar is voor product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","De factuur bevat één of meerdere producten dat geen deel uitmaakt van de oorspronkelijke bestelling."
"ID required","ID is vereist"
"Unknown Status","Onbekende status"
"Ordered","Besteld"
"Shipped","Verzonden"
"Invoiced","Gefactureerd"
"Backordered","Wordt nageleverd"
"Returned","Teruggestuurd"
"Partial","Gedeeltelijk"
"Mixed","Gemengd"
"Registered a Void notification.","Notificatie ontvangen: Betaling nietig verklaard"
"If the invoice was created offline, try creating an offline credit memo.","Als de factuur handmatig is aangemaakt, probeer handmatige een creditfactuur aan te maken."
"We refunded %1 online.","We hebben %1 online terugbetaald."
"We refunded %1 offline.","We hebben %1 offline terugbetaald."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Terugbetaald"". Terugbetaling door handelaar. Er werd een notificatie geregistreerd over de terugbetaald aantal van %1. Transactie ID: ""%2"". Creditnota is niet aangemaakt. Probeer de creditfactuur handmatig aan te maken."
"The credit memo has been created automatically.","De creditfactuur is automatisch aangemaakt."
"Registered notification about refunded amount of %1.","Notificatie ontvangen: Terug betaald bedrag %1."
"Canceled order online","Bestelling online geannuleerd"
"Canceled order offline","Bestelling offline geannuleerd"
"Approved the payment online.","Betaling geaccordeerd door betaalplatform."
"There is no need to approve this payment.","Er is geen noodzaak om deze betaling te accorderen"
"Denied the payment online","De betaling door betaalplatform afgewezen"
"Registered update about approved payment.","Update ontvangen: Betaling geaccordeerd."
"Registered update about denied payment.","Update ontvangen: Betaling geweigerd"
"There is no update for the payment.","Er is geen nieuwe update voor deze betaling"
"Voided authorization.","Autorisatie nietig verklaard"
"Amount: %1.","Bedrag: %1."
"Transaction ID: ""%1""","Transactie-ID: ""%1"""
"The payment method you requested is not available.","De betalingsmethode die u hebt aangevraagd is niet beschikbaar."
"The payment disallows storing objects.","De betaling verbiedt objecten op te slaan."
"The transaction ""%1"" cannot be captured yet.","De betaling van de transactie '%1' kan niet bevestigd worden."
"The parent transaction ID must have a transaction ID.","Bovenliggende transactie ID moet een transactie ID hebben."
"Payment transactions disallow storing objects.","Betalingstransacties staan niet toe om objecten op te slaan"
"The transaction ""%1"" (%2) is already closed.","Transactie ""%1"" (%2) is al afgerond."
"Set order for existing transactions not allowed","Stel bestelling in voor bestaande transacties op niet toegestaan."
"At minimum, you need to set a payment ID.","Minimum vereiste is dat u een betalings ID instelt."
"Order","Bestelling"
"Authorization","Autorisatie"
"We found an unsupported transaction type ""%1"".","We vonden een niet-ondersteunde transactiesoort ""%1""."
"Please set a proper payment and order id.","Geef een juiste betaling en bestellings id op."
"Please enter a Transaction ID.","Voer een transactie-ID in."
"You can't do this without a transaction object.","U kan dit niet doen zonder een transactie object."
"Order # ","Ordernr."
"Order Date: ","Besteldatum:"
"Sold to:","Verkocht aan:"
"Ship to:","Verzenden naar:"
"Payment Method:","Betaalmethode:"
"Shipping Method:","Verzendmethode:"
"Total Shipping Charges","Totaal verzendkosten"
"Title","Titel"
"Number","Nummer"
"We found an invalid renderer model.","We vonden een ongeldig renderer model."
"Please define the PDF object before using.","Definieer PDF objecten voor gebruik."
"We don't recognize the draw line data. Please define the ""lines"" array.","We konden de tekenlijnen niet herkennen. Definieer de ""lijnen"" matrix."
"Products","Producten"
"Total (ex)","Totaal (ex)"
"Qty","Aantal"
"Tax","BTW"
"Total (inc)","Totaal (inc)"
"Credit Memo # ","Creditfactuur #"
"Invoice # ","Factuurnummer "
"The order object is not specified.","Het bestellings object is niet opgegeven."
"The source object is not specified.","Het bronobject is niet opgegeven."
"An item object is not specified.","Een product object is niet opgegeven."
"A PDF object is not specified.","PDF object is niet gespecificeerd."
"A PDF page object is not specified.","Een PDF-paginaobject is niet opgegeven."
"Excl. Tax","Excl. BTW"
"Incl. Tax","Incl. BTW"
"Packing Slip # ","Pakbon # "
"title","titel"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Het PDF totaal model %1 moet of moet een uitbreiding zijn op \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Ontvangen check komt niet overeen met de interface"
"We cannot register an existing shipment","We kunnen geen bestaande verzending registreren"
"Could not delete the shipment comment.","Opmerking verzending kon niet verwijderd worden."
"Could not save the shipment comment.","Opmerking verzending kon niet opgeslagen worden."
"Could not delete the shipment item.","Verzending item kon niet verwijderd worden."
"Could not save the shipment item.","Verzending item kon niet opgeslagen worden."
"Parent shipment cannot be loaded for track object.","Bovenliggende verzending kan niet worden geladen voor track-object."
"Could not delete the shipment tracking.","Tracking van verzending kon niet verwijderd worden."
"Could not save the shipment tracking.","Tracking van verzending kon niet opgeslagen worden."
"Order Id is required for shipment document","Bestelling Id is verplicht voor het verzending document"
"You can't create a shipment without products.","U kunt geen verzending aanmaken zonder producten."
"The shipment contains product SKU ""%1"" that is not part of the original order.","De verzending bevat product SKU ""%1"" welke geen deel uitmaakt van de oorspronkelijke bestelling."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","Het aantal om te verzenden mag niet hoger zijn dan het aantal wat beschikbaar is voor product SKU ""%1""."
"Please enter a tracking number.","Voer een trackingnummer in."
"Could not delete shipment","Kan de verzending niet verwijderen"
"Could not save shipment","Kan verzending niet opslaan"
"The last status can't be unassigned from its current state.","De laatste status kan niet aangepast worden vanwege zijn huidige status."
"Status can't be unassigned, because it is used by existing order(s).","De status kan niet worden verwijderd, want deze wordt gebruikt bij bestaande orders."
"Could not delete the order status history.","Orderstatushistorie kon niet verwijderd worden."
"Could not save the order status history.","Orderstatushistorie kon niet opgeslagen worden."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Het totaal model moet een uitbreiding zijn op \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","Er kan geen factuur worden aangemaakt als order de status %1 heeft"
"A creditmemo can not be created when an order has a status of %1","Er kan geen creditfactuur worden aangemaakt als order de status %1 heeft"
"The order does not allow a creditmemo to be created.","De bestelling staat niet toe dat er een creditfactuur wordt aangemaakt."
"A shipment cannot be created when an order has a status of %1","Er kan geen verzending worden aangemaakt als order de status %1 heeft"
"The order does not allow a shipment to be created.","De bestelling staat niet toe dat er een verzending wordt aangemaakt."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditfactuur Document validatie fout(en): \n""."
"Could not save a Creditmemo, see error log for details","Opslaan van de creditfactuur was niet mogelijk, bekijk foutlog voor meer informatie"
"We cannot determine the field name.","We kunnen de naam van het veld niet bepalen."
"City","Plaatsnaam"
"Company","Bedrijf"
"Country","Land"
"Email","E-mail"
"First Name","Voornaam"
"Last Name","Achternaam"
"State/Province","Staat/Provincie"
"Street Address","Adres"
"Phone Number","Telefoonnummer"
"Zip/Postal Code","Postcode"
"We can't save the address:\n%1","Het adres kan niet worden opgeslagen:\n%1"
"Cannot save comment:\n%1","Opmerking kan niet worden opgeslagen:\n%1"
"We don't have enough information to save the parent transaction ID.","We hebben niet genoeg informatie om bovenliggende transactie-ID op te slaan. "
"We cannot create an empty shipment.","We kunnen geen lege verzending aanmaken."
"Cannot save track:\n%1","Kan tracking en tracing niet opslaan:\n%1"
"Cannot unassign status from state","Status kan niet worden ingetrokken van staat"
"New Orders","Nieuwe bestellingen"
"Order #%1 created at %2","Bestelling #%1 aangemaakt op %2"
"Details for %1 #%2","Details voor %1 #%2"
"Notified Date: %1","Datum kennisgeving: %1"
"Comment: %1<br/>","Opmerking: %1<br />"
"Current Status: %1<br/>","Huidige status: %1<br />"
"Total: %1<br/>","Totaal: %1 <br/>"
"Order # %1 Notification(s)","Bestelling # %1 kennisgeving(en)"
"You can not cancel Credit Memo","Creditfactuur kan niet geannuleerd worden"
"Could not cancel creditmemo","Creditfactuur kan niet geannuleerd worden"
"We cannot register an existing credit memo.","Kan een bestaande creditfactuur niet inboeken."
"We found an invalid quantity to invoice item ""%1"".","We vonden een ongeldig aantal om te factureren voor product ""%1""."
"The Order State ""%1"" must not be set manually.","De bestellingsstatus ""%1"" mag niet handmatig ingesteld worden."
"""Shipment Document Validation Error(s):\n"" .","""Verzending Document validatie fout(en): \n""."
"Could not save a shipment, see error log for details","Opslaan van zending was niet mogelijk, bekijk foutlog voor meerinformatie"
"VAT Request Identifier","BTW-nummer identifier"
"VAT Request Date","BTW-nummer validatie aanvraag-datum"
"Pending Payment","In afwachting van de betaling"
"Processing","Bezig met verwerken"
"On Hold","Wordt vastgehouden"
"Complete","Voltooid"
"Closed","gesloten"
"Suspected Fraud","Verdacht van fraude"
"Payment Review","Betalingscontrole"
"New","Nieuw"
"Product doesn't exist","Product bestaat niet"
"test message","testbericht"
"Email has not been sent","E-mail is niet verzonden"
