"Credit Memos","Notas de Crédito"
"Shopping Cart","Carrinho de compras"
"Are you sure you want to delete all items from shopping cart?","Tem a certeza que deseja excluir todos os itens do carrinho de compras?"
"Clear Shopping Cart","Esvaziar Carrinho de Compras"
"Products in Comparison List","Produtos na Lista de Comparação"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed Products","Produtos visualizados recentemente"
"Last Ordered Items","Últimos artigos encomendados"
"Recently Viewed","Recentemente visto"
"Wish List","Lista de Desejos"
"Please select a store","Por favor, selecione uma loja"
"Order Totals","Total da encomenda"
"Shipping Incl. Tax (%1)","Portes c/IVA (%1)"
"Shipping Excl. Tax (%1)","Portes s/IVA (%1)"
"New Credit Memo for Invoice #%1","Nova nota de crédito para a fatura #%1"
"New Credit Memo for Order #%1","Nova nota de crédito para a encomenda #%1"
"Refund Shipping (Incl. Tax)","Reembolso portes (taxa incluída)"
"Refund Shipping (Excl. Tax)","Reembolso portes (taxa excluída)"
"Refund Shipping","Reembolso portes"
"Update Qty's","Atualizar Qtd's"
"Update Totals","Update Totals"
"Refund","Reembolso"
"Refund Offline","Reembolso offline"
"Paid Amount","Valor pago"
"Refund Amount","Valor de reembolso"
"Shipping Amount","Valor de portes"
"Shipping Refund","Reembolso portes"
"Order Grand Total","Total encomenda"
"Adjustment Refund","Reembolso do Ajuste"
"Adjustment Fee","Taxa de Ajuste"
"Send Email","Enviar E-mail"
"Are you sure you want to send a credit memo email to customer?","Tem certeza de que deseja enviar um e-mail de nota de crédito ao cliente?"
"Void","Anular"
"Print","Imprimir"
"The credit memo email was sent.","Foi enviado o e-mail de nota de crédito."
"The credit memo email wasn't sent.","E e-mail de nota de crédito não foi enviado."
"Credit Memo #%1 | %3 | %2 (%4)","Nota de crédito #%1 | %3 | %2 (%4)"
"Total Refund","Reembolso total"
"New Invoice and Shipment for Order #%1","Nova fatura e expedição da encomenda #%1"
"New Invoice for Order #%1","Nova fatura para a encomenda #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Submit Invoice"
"Are you sure you want to send an invoice email to customer?","Tem a certeza que deseja enviar um e-mail com fatura ao cliente?"
"Credit Memo","Nota de Crédito"
"Capture","Capturar"
"The invoice email was sent.","O e-mail da fatura foi enviado."
"The invoice email wasn't sent.","O e-mail da fatura não foi enviado."
"Invoice #%1 | %2 | %4 (%3)","Fatura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Estados da encomenda"
"Create New Status","Criar novo estado"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order Status","Estado da Encomenda"
"Order State","Estado da Encomenda"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Storefront","Visível na loja"
"Edit Order Status","Alterar o estado da encomenda"
"Save Status","Guardar estado"
"New Order Status","Estado da Nova Encomenda"
"Order Status Information","Informação de estado da encomenda"
"Status Code","Código de estado"
"Status Label","Etiqueta do estado"
"Store View Specific Labels","Etiquetas Específicas a Vistas de Loja"
"Total Paid","Total pago"
"Total Refunded","Total Reembolsado"
"Total Due","Total Due"
"Edit","Editar"
"Are you sure you want to send an order email to customer?","Tem a certeza que deseja enviar um e-mail com encomenda ao cliente?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Tem a certeza que deseja anular o pagamento?"
"Hold","Suspender"
"hold","em espera"
"Unhold","Retomar"
"unhold","retomar"
"Are you sure you want to accept this payment?","Tem a certeza que quer aceitar este pagamento?"
"Accept Payment","Aceitar o pagamento"
"Are you sure you want to deny this payment?","Tem a certeza que quer rejeitar este pagamento?"
"Deny Payment","Rejeitar pagamento"
"Get Payment Update","Obter atualização do pagamento"
"Invoice and Ship","Faturar e expedir"
"Invoice","Fatura"
"Ship","Expedir"
"Reorder","Re-encomendar"
"Order # %1 %2 | %3","Encomenda # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Esta encomenda contém (%1) artigos e por isso não pode ser alterada através da interface de administração. Se quiser continuar, os (%2) artigos serão removidos, a encomenda será cancelada e será efetuada uma nova encomenda."
"Are you sure? This order will be canceled and a new one will be created instead.","Tem a certeza? Esta encomenda vai ser cancelada e será criada uma nova."
"Save Gift Message","Guardar mensagem de oferta"
" [deleted]"," [deleted]"
"Order Credit Memos","Notas de crédito da encomenda"
"Credit memo #%1 created","Nota de crédito #%1 criada"
"Credit memo #%1 comment added","Comentário adicionado à nota de crédito #%1"
"Shipment #%1 created","Expedição #%1 criada"
"Shipment #%1 comment added","Comentário adicionado à expedição #%1"
"Invoice #%1 created","Fatura #%1 criada"
"Invoice #%1 comment added","Comentário adicionado à fatura #%1"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Histórico de comentários"
"Order History","Histórico de encomendas"
"Information","Informação"
"Order Information","Informação da encomenda"
"Order Invoices","Faturas da encomenda"
"Shipments","Expedições"
"Order Shipments","Expedições da encomenda"
"Transactions","Transações"
"Order View","Vista da encomenda"
"Any","Qualquer"
"Specified","Especificado"
"Applies to Any of the Specified Order Statuses except canceled orders","Aplica-se a qualquer dos estados de encomenda especificados excepto encomendas canceladas"
"Cart Price Rule","Regra de Preço do Carrinho"
"Yes","Sim"
"No","Não"
"Show Actual Values","Mostrar valores atuais"
"New Order RSS","RSS Nova Encomenda"
"Subtotal","Subtotal"
"Shipping & Handling","Transporte e Processamento"
"Discount (%1)","Desconto (%1)"
"Discount","Desconto"
"Grand Total","Preço Final"
"Back","Voltar"
"Fetch","Obter"
"Transaction # %1 | %2","Transação # %1 | %2"
"N/A","N/D"
"Key","Chave"
"Value","Valor"
"We found an invalid entity model.","Encontramos um modelo de entidade inválido."
"Order # %1","Encomenda # %1"
"Back to My Orders","Voltar para Os Meus Pedidos"
"View Another Order","Ver Outro Pedido"
"About Your Refund","Sobre o seu reembolso"
"My Orders","As minhas Encomendas"
"Subscribe to Order Status","Subscrever o estado da encomenda"
"About Your Invoice","Sobre a sua fatura"
"Print Order # %1","Imrpimir encomenda #%1"
"Grand Total to be Charged","Total à cobrança"
"Unassign","Remover atribuição"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","Mensagem enviada."
"Sales","Vendas"
"Invoice capturing error","Invoice capturing error"
"This order no longer exists.","A encomenda já não existe."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","We cannot add order history."
"You updated the order address.","Morada de envio atualizada."
"We can't update the order address right now.","De momento não foi possível atualizar a morada do pedido."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","A encomenda foi cancelada."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" coupon code was not applied. Do not apply discount is selected for item(s)"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","The coupon code has been accepted."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","New Order"
"You created the order.","Você criou a encomenda."
"Order saving error: %1","Erro na gravação da encomenda: %1"
"Cannot add new comment.","Não é possível adicionar novo comentário."
"The credit memo has been canceled.","The credit memo has been canceled."
"Credit memo has not been canceled.","Credit memo has not been canceled."
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"The credit memo's total must be positive.","O total da nota de crédito deve ser positivo."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","De momento não é possível guardar a nota de crédito."
"We can't update the item's quantity right now.","De momento não é possível atualizar as quantidades do artigo."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","Não podemos anular a nota de crédito."
"The order no longer exists.","A encomenda já não existe."
"We can't create credit memo for the order.","Não podemos criar nota de crédito para o pedido."
"Edit Order","Edit Order"
"You sent the order email.","You sent the order email."
"We can't send the email order right now.","De momento não conseguimos enviar o e-mail do pedido."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","You put the order on hold."
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been captured.","The invoice has been captured."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","New Invoice"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email right now.","De momento não é possível enviar o e-mail da fatura."
"We can't send the shipment right now.","De momento, não conseguimos enviar a expedição."
"Cannot update item quantity.","Cannot update item quantity."
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"The payment has been accepted.","O pagamento foi aceite."
"The payment has been denied.","O pagamento foi recusado."
"Transaction has been approved.","A transação foi aprovada."
"Transaction has been voided/declined.","A transação foi anulada/recusada."
"There is no update for the transaction.","Não existem atualizações da transação."
"We can't update the payment right now.","De momento não é possível atualizar o pagamento."
"You assigned the order status.","You assigned the order status."
"Something went wrong while assigning the order status.","Algo correu mal ao atualizar o estado da encomenda."
"We can't find this order status.","O estado deste pedido não foi encontrado."
"Create New Order Status","Criar novo estado de encomenda"
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You saved the order status.","You saved the order status."
"We can't add the order status right now.","De momento não conseguimos adicionar o estado do pedido."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while unassigning the order.","Something went wrong while unassigning the order."
"Can't unhold order.","Não é possível retomar o pedido."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Exception occurred during order load"
"Something went wrong while saving the gift message.","Algo correu mal ao gravar a mensagem de oferta."
"You saved the gift card message.","You saved the gift card message."
"The payment has been voided.","O pagamento foi anulado."
"We can't void the payment right now.","De momento não é possível anular o pagamento."
"Please correct the transaction ID and try again.","Por favor, corrija o ID da transação e tente novamente."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","Não é possível atualizar os detalhes da transação."
"Orders and Returns","Pedidos e Devoluções"
"Home","Início"
"Go to Home Page","Ir para Página Inicial"
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We can't find this wish list.","Lista de favoritos não encontrada."
"We could not add a product to cart by the ID ""%1"".","Não conseguimos adicionar ao carrinho um produto por id ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Morada de expedição: "
"Billing Address: ","Morada de faturação: "
"Please specify order items.","Please specify order items."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","Este método de pagamento não está disponível."
"Validation is failed.","Validação falhou."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"-- Please Select --","-- Por favor, selecione --"
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Erro(s) de validação do documento de faturação:\n""."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","Não foi possível cancelar esta encomenda."
"Guest","Convidado"
"Please enter the first name.","Por favor, insira o seu primeiro nome."
"Please enter the last name.","Por favor, insira o seu último nome."
"Please enter the street.","Por favor insira a rua."
"Please enter the city.","Por favor insira a cidade."
"Please enter the phone number.","Por favor insira o número de telefone."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","Por favor insira o código postal."
"Please enter the country.","Por favor insira o país."
"Please enter the state/province.","Por favor insira o distrito/concelho."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Pendente"
"Refunded","Reembolsada"
"Canceled","Cancelada"
"Unknown State","Unknown State"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","Pago"
"We cannot register an existing invoice","We cannot register an existing invoice"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ID required"
"Unknown Status","Estado desconhecido"
"Ordered","Encomendada"
"Shipped","Enviada"
"Invoiced","Faturada"
"Backordered","Backordered"
"Returned","Devolvido"
"Partial","Parcial"
"Mixed","Mixed"
"Registered a Void notification.","Registered a Void notification."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo."
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Encomenda cancelada online"
"Canceled order offline","Encomenda cancelada offline"
"Approved the payment online.","Pagamento aprovado online."
"There is no need to approve this payment.","Não é necessário aprovar este pagamento."
"Denied the payment online","Pagamento online rejeitado"
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"There is no update for the payment.","Não existem atualizações do pagamento."
"Voided authorization.","Autorização anulada."
"Amount: %1.","Montante: %1."
"Transaction ID: ""%1""","ID da Transação: ""%1"""
"The payment method you requested is not available.","O método de pagamento que você solicitou não está disponível."
"The payment disallows storing objects.","O pagamento não permite armazenar objetos."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","Payment transactions disallow storing objects."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","Encomenda"
"Authorization","Autorização"
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Please enter a Transaction ID."
"You can't do this without a transaction object.","Não pode fazer isto sem um objeto de transação."
"Order # ","Encomenda # "
"Order Date: ","Data da encomenda: "
"Sold to:","Venda para:"
"Ship to:","Enviar para:"
"Payment Method:","Método de Pagamento:"
"Shipping Method:","Modo de Envio:"
"Total Shipping Charges","Encargos totais de envio"
"Title","Título"
"Number","Número"
"We found an invalid renderer model.","Encontramos um modelo de processamento inválido."
"Please define the PDF object before using.","Por favor, defina o objeto PDF antes de usar."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Products","Produtos"
"Total (ex)","Total (ex)"
"Qty","Qtd"
"Tax","Taxa"
"Total (inc)","Total (inc)"
"Credit Memo # ","Nota de Crédito # "
"Invoice # ","Fatura # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","O PDF não foi especificado."
"A PDF page object is not specified.","O pagina do PDF não foi especificado."
"Excl. Tax","Excluindo impostos"
"Incl. Tax","Imposto incl."
"Packing Slip # ","Packing Slip # "
"title","título"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Nós não podemos registar uma expedição existente"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","Não é possível criar uma expedição sem produtos."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","Por favor, digite um número de rastreamento."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"We cannot determine the field name.","Não conseguimos determinar o nome do campo."
"City","Cidade"
"Company","Empresa"
"Country","País"
"Email","Correio electrónico"
"First Name","Nome"
"Last Name","Sobrenome"
"State/Province","Concelho/Distrito"
"Street Address","Morada"
"Phone Number","Número de Telefone"
"Zip/Postal Code","Código Postal"
"We can't save the address:\n%1","Não é possível gravar a morada:\n%1"
"Cannot save comment:\n%1","Não é possível guardar o comentário:\n%1"
"We don't have enough information to save the parent transaction ID.","Não temos informação suficiente para guardar o ID de transação pai."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Novas encomendas"
"Order #%1 created at %2","Order #%1 created at %2"
"Details for %1 #%2","Details for %1 #%2"
"Notified Date: %1","Notified Date: %1"
"Comment: %1<br/>","Comment: %1<br/>"
"Current Status: %1<br/>","Current Status: %1<br/>"
"Total: %1<br/>","Total: %1<br/>"
"Order # %1 Notification(s)","Order # %1 Notification(s)"
"You can not cancel Credit Memo","You can not cancel Credit Memo"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"""Shipment Document Validation Error(s):\n"" .","""Erro(s) de validação do documento de expedição:\n""."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"Pending Payment","Pagamento pendente"
"Processing","Em processamento"
"On Hold","Em espera"
"Complete","Concluído"
"Closed","Fechado"
"Suspected Fraud","Suspeita de fraude"
"Payment Review","Rever Pagamento"
"New","Novo"
"Product doesn't exist","Product doesn't exist"
"test message","mensagem de teste"
"Email has not been sent","O e-mail não foi enviado"
"Authorized amount of %1","O montante autorizado é %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","Visualizar"
"Group was removed","Grupo removido"
"Changing address information will not recalculate shipping, tax or other order amount.","Changing address information will not recalculate shipping, tax or other order amount."
"Comment Text","Texto do comentário"
"Notify Customer by Email","Notificar Cliente por Email"
"Visible on Storefront","Visível na loja"
"Customer","Cliente"
"Notified","Notificado"
"Not Notified","Não notificado"
"No Payment Methods","Não há métodos de pagamento"
"Order Comments","Comentário da encomenda"
"Apply Coupon Code","Aplicar código de desconto"
"Apply","Aplicar"
"Remove Coupon Code","Remover código de desconto"
"Remove","Eliminar"
"Address Information","Informação da Morada"
"Payment &amp; Shipping Information","Informação de pagamento &amp; expedição"
"Order Total","Total da encomenda"
"Order Currency:","Moeda Base:"
"Same As Billing Address","Igual ao endereço de faturação"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Add New Address","Adicionar Nova Morada"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","Não é preciso selecionar um endereço de expedição."
"Gift Message for the Entire Order","Mensagem de oferta para esta encomenda"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Deixe esta caixa em branco se não quiser deixar uma mensagem de oferta para toda a encomenda."
"Row Subtotal","Subtotal da Linha"
"Action","Ação"
"No ordered items","Não há itens ordenados"
"Update Items and Quantities","Atualizar Artigos e Quantidades"
"Total %1 product(s)","Total de %1 produto(s)"
"Subtotal:","Subtotal:"
"Tier Pricing","Tabela de Preços"
"Custom Price","Preço personalizado"
"Please select","Por favor selecione"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wish List","Mover para lista de desejo"
"Subscribe to Newsletter","Aderir à Newsletter"
"Click to change shipping method","Click to change shipping method"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","Não é preciso selecionar um método de expedição."
"Customer's Activities","Atividades dos Clientes"
"Refresh","Atualizar"
"Item","Item"
"Add To Order","Adicionar à Encomenda"
"Configure and Add to Order","Configurar e Adicionar à Encomenda"
"No items","Não há itens"
"Append Comments","Adicionar comentários"
"Email Order Confirmation","E-mail de confirmação da encomenda"
"Grand Total Excl. Tax","Total s/IVA"
"Grand Total Incl. Tax","Total c/IVA"
"Subtotal (Excl. Tax)","Subtotal (s/IVA)"
"Subtotal (Incl. Tax)","Subtotal (c/IVA)"
"Payment &amp; Shipping Method","Método de pagamento &amp; expedição"
"Payment Information","Informação do Pagamento"
"The order was placed using %1.","A encomenda foi registada utilizando %1."
"Shipping Information","Informação de Envio"
"Items to Refund","Items to Refund"
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
"Tax Amount","Valor do imposto"
"Discount Amount","Desconto"
"Row Total","Total da Linha"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Please enter a positive number in this field.","Por favor, insira um número positivo neste campo."
"Items Refunded","Items Refunded"
"No Items","No Items"
"Memo Total","Memo Total"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Customer Name: %1","Customer Name: %1"
"Purchased From: %1","Purchased From: %1"
"Gift Message","Mensagem da Oferta"
"From:","De:"
"To:","Para:"
"Message:","Mensagem:"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Gift Options","Opções de Presente"
"Create Shipment","Criar expedição"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Qtd faturada"
"Invoice History","Histórico de faturação"
"Invoice Comments","Invoice Comments"
"Invoice Totals","Total da fatura"
"Amount","Valor"
"Capture Online","Capture Online"
"Capture Offline","Capture Offline"
"Not Capture","Not Capture"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
