"Credit Memos","Memorandos de Crédito"
"Adjustment Fee","Taxa de ajuste"
"Send Email","Enviar e-mail"
"Are you sure you want to send a credit memo email to customer?","Você tem certeza que deseja enviar um e-mail de memorando de crédito para o cliente?"
"Void","Anular"
"Print","Imprimir"
"The credit memo email was sent.","O e-mail de memorando de crédito foi enviado."
"The credit memo email wasn't sent.","O e-mail de memorando de crédito não foi enviado."
"Credit Memo #%1 | %3 | %2 (%4)","Memorando de Crédito #%1 | %3 | %2 (%4)"
"Total Refund","Total reembolsado"
"New Invoice and Shipment for Order #%1","Nova fatura e envio para o pedido #%1"
"New Invoice for Order #%1","Nova fatura para o pedido #%1"
"Submit Invoice and Shipment","Enviar fatura e postagem"
"Submit Invoice","Enviar fatura"
"Are you sure you want to send an invoice email to customer?","Você tem certeza que deseja enviar um e-mail de fatura para o cliente?"
"Credit Memo","Memorando de Crédito"
"Capture","Captura"
"The invoice email was sent.","O e-mail de fatura foi enviado."
"The invoice email wasn't sent.","O e-mail de fatura não foi enviado."
"Invoice #%1 | %2 | %4 (%3)","Fatura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","O bloco pai é inválido para este bloco"
"Order Statuses","Status do pedido"
"Create New Status","Criar novo status"
"Assign Status to State","Atribuir Status ao estado"
"Save Status Assignment","Salvar atribuição de status"
"Assign Order Status to State","Atribuir status do pedido ao estado"
"Assignment Information","Informações de atribuição"
"Order Status","Situação do pedido"
"Order State","Situação do pedido"
"Use Order Status As Default","Usar status do pedido como padrão"
"Visible On Storefront","Visível na loja"
"Edit Order Status","Editar status do pedido"
"Save Status","Salvar status"
"New Order Status","Novo status do pedido"
"Order Status Information","Informações do pedido"
"Status Code","Código de status"
"Status Label","Rótulo do status"
"Store View Specific Labels","Etiquetas Específicas a Vistas de Loja"
"Total Paid","Total pago"
"Total Refunded","Total reembolsado"
"Total Due","Total devido"
"Edit","Editar"
"Are you sure you want to send an order email to customer?","Tem certeza de que deseja enviar um e-mail de pedido para o cliente?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Será criado um reembolso off-line. Para criar um reembolso on-line, abra uma fatura e crie uma nota de crédito. Você deseja continuar?"
"Are you sure you want to void the payment?","Você tem certeza que deseja anular o pagamento?"
"Hold","Em espera"
"hold","em espera"
"Unhold","Retomar"
"unhold","liberar"
"Are you sure you want to accept this payment?","Você tem certeza que deseja aceitar este pagamento?"
"Accept Payment","Aceitar pagamento"
"Are you sure you want to deny this payment?","Você tem certeza que deseja negar este pagamento?"
"Deny Payment","Negar pagamento"
"Get Payment Update","Obter atualização do pagamento"
"Invoice and Ship","Fatura e envio"
"Invoice","Fatura"
"Ship","Enviar"
"Reorder","Refazer pedido"
"Order # %1 %2 | %3","Pedido # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Esta pedido contém os itens (%1) e, portanto, não pode ser editado através da interface de administração. Se você deseja continuar editando, os itens (%2) serão removidos, o pedido será cancelado e um novo pedido será criado."
"Are you sure? This order will be canceled and a new one will be created instead.","Você tem certeza? Este pedido será cancelado e um novo será criado."
"Save Gift Message","Salvar a mensagem de presente"
" [deleted]"," [apagado]"
"Order Credit Memos","Memorandos de crédito do pedido"
"Credit memo #%1 created","Memorando de Crédito #%1 criado"
"Credit memo #%1 comment added","Memorando de Crédito #%1 comentário adicionado"
"Shipment #%1 created","Postagem #%1 criada"
"Shipment #%1 comment added","Postagem #%1 comentário adicionado"
"Invoice #%1 created","Fatura #%1 criada"
"Invoice #%1 comment added","Fatura #%1 comentário adicionado"
"Tracking number %1 for %2 assigned","Número de rastreamento %1 para %2 atribuído"
"Comments History","Histórico de comentários"
"Order History","Histórico de pedidos"
"Information","Informação"
"Order Information","Informações do pedido"
"Order Invoices","Faturas do pedido"
"Shipments","Postagens"
"Order Shipments","Postagens do pedido"
"Transactions","Transações"
"Order View","Visualizar pedido"
"Any","Qualquer"
"Specified","Especificado"
"Applies to Any of the Specified Order Statuses except canceled orders","Aplica-se a qualquer um dos status de pedidos especificados, exceto pedidos cancelados"
"Cart Price Rule","Regra de preço no carrinho"
"Yes","Sim"
"No","Não"
"Show Actual Values","Mostrar valores atuais"
"New Order RSS","RSS de novos pedidos"
"Subtotal","Sub-total"
"Shipping & Handling","Envio e Manuseio"
"Discount (%1)","Desconto (%1)"
"Discount","Desconto"
"Grand Total","Total geral"
"Back","Voltar"
"Fetch","Busca"
"Transaction # %1 | %2","Transação # %1 | %2"
"N/A","Não Disponível"
"Key","Chave"
"Value","Valor"
"We found an invalid entity model.","Encontramos um modelo de entidade inválido."
"Order # %1","Pedido #%1"
"Back to My Orders","Voltar para Meus Pedidos"
"View Another Order","Ver outro pedido"
"About Your Refund","Sobre seu reembolso"
"My Orders","Meus pedidos"
"Subscribe to Order Status","Assine o status do pedido"
"About Your Invoice","Sobre sua fatura"
"Print Order # %1","Impressão do pedido # %1"
"Grand Total to be Charged","Valor total a cobrar"
"Unassign","Desatribuir"
"We can't add this item to your shopping cart right now.","Nós não podemos adicionar este item ao seu carrinho de compras agora."
"You sent the message.","Você enviou a mensagem."
"Sales","Vendas"
"Invoice capturing error","Erro na captura da fatura"
"This order no longer exists.","Este pedido não existe mais."
"Please enter a comment.","Por favor, digite um comentário."
"We cannot add order history.","Não foi possível adicionar o histórico de pedidos."
"You updated the order address.","Você atualizou o endereço do pedido."
"We can't update the order address right now.","Não foi possível atualizar o endereço do pedido."
"You have not canceled the item.","Você não cancelou o item."
"You canceled the order.","Você cancelou o pedido."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","código de cupom ""%1"" não foi aplicado. Não aplicar desconto foi selecionado para o(s) item(ns)"
"""%1"" coupon code is not valid.","O código do cupom ""%1"" não é válido."
"The coupon code has been accepted.","O código do cupom foi aceito."
"Quote item id is not received.","Id do item cotado não foi recebido."
"Quote item is not loaded.","Item cotado não está carregado."
"New Order","Novo pedido"
"You created the order.","Você criou o pedido."
"Order saving error: %1","Erro na gravação do pedido: %1"
"Cannot add new comment.","Não é possível adicionar novos comentários."
"The credit memo has been canceled.","O memorando de crédito foi cancelado."
"Credit memo has not been canceled.","O memorando de crédito não foi cancelado."
"New Memo for #%1","Novo memorando para #%1"
"New Memo","Novo memorando"
"The credit memo's total must be positive.","O total do memorando de crédito deve ser positivo."
"Cannot create online refund for Refund to Store Credit.","Não é possível criar um reembolso on-line para reembolsar crédito na loja."
"You created the credit memo.","Você criou o memorando de crédito."
"We can't save the credit memo right now.","Não foi possível salvar o memorando de crédito."
"We can't update the item's quantity right now.","Não foi possível atualizar a quantidade do item."
"View Memo for #%1","Ver memorando para #%1"
"View Memo","Ver memorando"
"You voided the credit memo.","Você anulou o memorando de crédito."
"We can't void the credit memo.","Não foi possível anular o memorando de crédito."
"The order no longer exists.","O pedido não existe mais."
"We can't create credit memo for the order.","Não foi possível criar o memorando de crédito para o pedido."
"Edit Order","Editar pedido"
"You sent the order email.","Você enviou o e-mail do pedido."
"We can't send the email order right now.","Não foi possível enviar o e-mail do pedido."
"You have not put the order on hold.","Você não colocou o pedido em espera."
"You put the order on hold.","Você colocou o pedido em espera."
"You canceled the invoice.","Você cancelou a fatura."
"Invoice canceling error","Erro ao cancelar a fatura"
"The invoice has been captured.","A fatura foi capturada."
"The order does not allow an invoice to be created.","O pedido não permite a criação de fatura."
"You can't create an invoice without products.","Não é possível criar uma fatura sem produtos."
"New Invoice","Nova fatura"
"We can't save the invoice right now.","Não foi possível salvar a fatura."
"You created the invoice and shipment.","Você criou a fatura e a postagem."
"The invoice has been created.","A fatura foi criada."
"We can't send the invoice email right now.","Não foi possível enviar o e-mail da fatura."
"We can't send the shipment right now.","Não foi possível enviar a postagem."
"Cannot update item quantity.","Não foi possível atualizar a quantidade do item."
"The invoice has been voided.","A fatura foi anulada."
"Invoice voiding error","Ocorreu um erro ao anular a fatura"
"%1 order(s) cannot be canceled.","%1 pedido(s) não puderam ser cancelados."
"You cannot cancel the order(s).","Você não pode cancelar o(s) pedido(s)."
"We canceled %1 order(s).","Nós cancelamos %1 pedido(s)."
"%1 order(s) were not put on hold.","%1 pedidos não foram colocados em espera."
"No order(s) were put on hold.","Nenhum pedido foi colocado em espera."
"You have put %1 order(s) on hold.","Você colocou %1 pedido(s) em espera."
"%1 order(s) were not released from on hold status.","%1 pedidos(s) não foram liberados do status de espera."
"No order(s) were released from on hold status.","Não há pedido(s) lançados do status de espera."
"%1 order(s) have been released from on hold status.","%1 pedidos(s) foram liberados do status de espera."
"There are no printable documents related to selected orders.","Não ha documentos impressos relacionados aos pedidos selecionados."
"The payment has been accepted.","O pagamento foi aceito."
"The payment has been denied.","O pagamento foi negado."
"Transaction has been approved.","A transação foi aprovada."
"Transaction has been voided/declined.","A transação foi anulada/declinada."
"There is no update for the transaction.","Não há nenhuma atualização para a transação."
"We can't update the payment right now.","Não foi possível atualizar o pagamento."
"You assigned the order status.","Você atribuiu o status do pedido."
"Something went wrong while assigning the order status.","Ocorreu um ao atribuir o status do pedido."
"We can't find this order status.","Não encontramos este status de pedido."
"Create New Order Status","Criar novo status de pedido"
"We found another order status with the same order status code.","Encontramos outro status de pedido com o mesmo código de status."
"You saved the order status.","Você salvou o status do pedido."
"We can't add the order status right now.","Não foi possível adicionar o status do pedido."
"You have unassigned the order status.","Você desatribui o status do pedido."
"Something went wrong while unassigning the order.","Ocorreu um erro ao desatribuir o pedido."
"Can't unhold order.","Não pode ordenar unhold."
"You released the order from holding status.","Você liberou um pedido do status de espera."
"The order was not on hold.","O pedido não estava em espera."
"Exception occurred during order load","Ocorreu uma exceção durante o carregamento do pedido"
"Something went wrong while saving the gift message.","Ocorreu um erro ao salvar a mensagem do cartão de presente."
"You saved the gift card message.","Você salvou a mensagem do cartão de presente."
"The payment has been voided.","O pagamento foi anulado."
"We can't void the payment right now.","Não foi possível anular o pagamento."
"Please correct the transaction ID and try again.","Por favor, corrija o ID de transação e tente novamente."
"The transaction details have been updated.","Os detalhes da transação foram atualizados."
"We can't update the transaction details.","Não foi possível atualizar os detalhes da transação."
"Orders and Returns","Pedidos e Devoluções"
"Home","Início"
"Go to Home Page","Ir para a página inicial"
"You entered incorrect data. Please try again.","Você inseriu dados incorretos. Por favor, tente novamente."
"We can't find this wish list.","Esta lista de desejos não foi encontrada."
"We could not add a product to cart by the ID ""%1"".","Não foi possível adicionar o produto no carrinho pelo ID ""%1""."
"There is an error in one of the option rows.","Há um erro em uma das linhas de opções."
"Shipping Address: ","Endereço de entrega: "
"Billing Address: ","Endereço de cobrança: "
"Please specify order items.","Por favor, especifique os itens do pedido."
"Please specify a shipping method.","Por favor, especifique um método de envio."
"Please specify a payment method.","Por favor, especifique um método de pagamento."
"This payment method is not available.","Este método de pagamento não está disponível."
"Validation is failed.","Ocorreu uma falha na validação."
"You did not email your customer. Please check your email settings.","Você não enviou o e-mail para seu cliente. Por favor, verifique suas configurações de e-mail."
"-- Please Select --","-- Selecione uma opção --"
"Path ""%1"" is not part of allowed directory ""%2""","Caminho ""%1"" não faz parte do diretório permitido ""%2"""
"Identifying Fields required","Identificar os campos obrigatórios"
"Id required","Id obrigatório"
"""Invoice Document Validation Error(s):\n"" .","""Erro(s) de validação de documento de faturamento: \n""."
"Could not save an invoice, see error log for details","Não foi possível salvar uma fatura, consulte o log de erros para obter detalhes"
"A hold action is not available.","Estorno indisponível."
"You cannot remove the hold.","Não foi possível remover o estorno."
"We cannot cancel this order.","Você não pode cancelar esse pedido."
"Guest","Visitante"
"Please enter the first name.","Por favor, informe o nome."
"Please enter the last name.","Por favor, informe o sobrenome."
"Please enter the street.","Por favor, informe a rua."
"Please enter the city.","Por favor, informe a cidade."
"Please enter the phone number.","Por favor, informe o telefone."
"Please enter the company.","Por favor, insira o nome da empresa."
"Please enter the fax number.","Por favor, digite o numero do fax."
"Please enter the zip/postal code.","Por favor, informe o Cep."
"Please enter the country.","Por favor, informe o país."
"Please enter the state/province.","Por favor digite o estado/província."
"Requested entity doesn't exist","A entidade solicitada não existe"
"Could not delete order address","Não foi possível excluir o endereço do pedido"
"Could not save order address","Não foi possível salvar o endereço do pedido"
"Pending","Pendente"
"Refunded","Reembolsado"
"Canceled","Cancelado"
"Unknown State","Situação desconhecida"
"Could not delete the comment.","Não foi possível excluir o comentário."
"Could not save the creditmemo comment.","Não foi possível salvar o comentário de entrega."
"We found an invalid quantity to refund item ""%1"".","Encontramos uma quantidade inválida para reembolsar o item ""%1""."
"The creditmemo contains product item that is not part of the original order.","A nota de crédito contém item de produto que não faz parte do pedido original."
"The quantity to refund must not be greater than the unrefunded quantity.","A quantidade de reembolso não deve ser maior que a quantidade não reembolsada."
"Could not delete the credit memo item.","Não foi possível excluir o item da nota de crédito."
"Could not save the credit memo item.","Não foi possível salvar o item da nota de crédito."
"Maximum shipping amount allowed to refund is: %1","O valor máximo de envio permitido para reembolso é: %1"
"Order Id is required for creditmemo document","Id do pedido é obrigatório para o documento de nota de crédito"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","A nota de crédito contém o SKU ""%1"" que não faz parte do pedido original."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","A quantidade de reembolso não deve ser maior que a quantidade não reembolsada por SKU de produto ""%1""."
"You can't create a creditmemo without products.","Você não pode criar uma nota de crédito sem produtos."
"The most money available to refund is %1.","O valor disponível para reembolso é %1."
"Could not delete credit memo","Não foi possível excluir o memorando de crédito"
"Could not save credit memo","Não foi possível salvar o memorando de crédito"
"This order already has associated customer account","Este pedido já associado a conta de um cliente"
"Paid","Pago"
"We cannot register an existing invoice","Não foi possível registrar uma fatura existente"
"Could not delete the invoice comment.","Não foi possível excluir o comentário da fatura."
"Could not save the invoice comment.","Não foi possível salvar o comentário da fatura."
"Could not delete the invoice item.","Não foi possível excluir o item da fatura."
"Could not save the invoice item.","Não foi possível salvar o item da fatura."
"We can't create creditmemo for the invoice.","Não foi possível criar nota de crédito para o pedido."
"Order Id is required for invoice document","Id do pedido é obrigatório para o documento de fatura"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","A quantidade a fatura não deve ser maior que a quantidade não faturada para o produto de SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","A fatura contém um ou mais itens que não fazem parte do pedido original."
"ID required","Id obrigatório"
"Unknown Status","Status desconhecido"
"Ordered","Comprado"
"Shipped","Enviado"
"Invoiced","Faturado"
"Backordered","Pedidos pendentes"
"Returned","Devolvido"
"Partial","Parcial"
"Mixed","Misto"
"Registered a Void notification.","Registrada uma notificação de anulação."
"If the invoice was created offline, try creating an offline credit memo.","Se a fatura foi criada off-line, tente criar um memorando de crédito off-line."
"We refunded %1 online.","Nós reembolsamos %1 online."
"We refunded %1 offline.","Nós reembolsamos %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Devolução"". Devolução emitida pelo comerciante. Registrada notificação sobre o valor reembolsado de %1. ID da transação: ""%2"". O memorando de credito não foi criado. Por favor, crie o memorando de crédito off-line."
"The credit memo has been created automatically.","O memorando de crédito foi criado automaticamente."
"Registered notification about refunded amount of %1.","Registrada notificação sobre valor da devolução de %1."
"Canceled order online","Pedido cancelado on-line"
"Canceled order offline","Pedido cancelado off-line"
"Approved the payment online.","Pagamento aprovado on-line."
"There is no need to approve this payment.","Não há necessidade de aprovar este pagamento."
"Denied the payment online","O pagamento foi negado on-line"
"Registered update about approved payment.","Registrado atualização sobre pagamento aprovado."
"Registered update about denied payment.","Registrada atualização sobre o pagamento negado."
"There is no update for the payment.","Não há nenhuma atualização para o pagamento."
"Voided authorization.","Autorização anulada."
"Amount: %1.","Quantia: %1."
"Transaction ID: ""%1""","ID da transação: ""%1"""
"The payment method you requested is not available.","O método de pagamento que você solicitou não está disponível."
"The payment disallows storing objects.","O pagamento não permite armazenar objetos."
"The transaction ""%1"" cannot be captured yet.","A transação ""%1"" ainda não pode ser capturada."
"The parent transaction ID must have a transaction ID.","O ID de transação pai deve ter um ID de transação."
"Payment transactions disallow storing objects.","As transações de pagamento não permitem armazenar objetos."
"The transaction ""%1"" (%2) is already closed.","A transação ""%1"" (%2) já está fechada."
"Set order for existing transactions not allowed","Definir pedidos para transações existentes não permitidas"
"At minimum, you need to set a payment ID.","No mínimo, você precisa definir um ID de pagamento."
"Order","Pedido"
"Authorization","Autorização"
"We found an unsupported transaction type ""%1"".","Transação não suportada de tipo ""%1"" encontrada."
"Please set a proper payment and order id.","Por favor, defina um pagamento adequado e um Id de pedido."
"Please enter a Transaction ID.","Por favor, digite o ID de transação."
"You can't do this without a transaction object.","Você não pode fazer isso sem o objeto de transação."
"Order # ","Pedido # "
"Order Date: ","Data do pedido: "
"Sold to:","Vendido para:"
"Ship to:","Entregar para:"
"Payment Method:","Forma de pagamento:"
"Shipping Method:","Método de envio:"
"Total Shipping Charges","Frete total"
"Title","Título"
"Number","Número"
"We found an invalid renderer model.","Modelo de entidade inválido encontrado."
"Please define the PDF object before using.","Por favor, defina o objeto PDF antes de usar."
"We don't recognize the draw line data. Please define the ""lines"" array.","Não reconhecemos os dados da linha de desenho. Defina a matriz de ""linhas""."
"Products","Produtos"
"Total (ex)","Total (ex)"
"Qty","Qtd"
"Tax","Taxa"
"Total (inc)","Total (inc)"
"Credit Memo # ","Memorando de crédito # "
"Invoice # ","Fatura # "
"The order object is not specified.","O objeto do pedido não foi especificado."
"The source object is not specified.","O objeto de origem não foi especificado."
"An item object is not specified.","O objeto do item não foi especificado."
"A PDF object is not specified.","O objeto PDF não está especificado."
"A PDF page object is not specified.","Não foi especificado um objeto de página PDF."
"Excl. Tax","Excl. Impostos"
"Incl. Tax","Imposto Incl."
"Packing Slip # ","Folhas de Embalagem # "
"title","título"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","O modelo de PDF total %1 deve ser ou estender o \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","A verificação recebida não corresponde à interface"
"We cannot register an existing shipment","Não é possível cadastrar uma entrega existente"
"Could not delete the shipment comment.","Não foi possível excluir o comentário de entrega."
"Could not save the shipment comment.","Não foi possível salvar o comentário de entrega."
"Could not delete the shipment item.","Não foi possível excluir o item de entrega."
"Could not save the shipment item.","Não foi possível salvar o item de entrega."
"Parent shipment cannot be loaded for track object.","O envio pai não pode ser carregado para o objeto de acompanhamento."
"Could not delete the shipment tracking.","Não foi possível excluir o acompanhamento da entrega."
"Could not save the shipment tracking.","Não foi possível salvar o acompanhamento da entrega."
"Order Id is required for shipment document","Id do pedido é obrigatório para o documento de envio"
"You can't create a shipment without products.","Você não pode criar um envio sem produtos."
"The shipment contains product SKU ""%1"" that is not part of the original order.","A nota de crédito contém o SKU ""%1"" que não faz parte do pedido original."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","A quantidade a enviaar não deve ser maior que a quantidade não enviada por SKU ""%1""."
"Please enter a tracking number.","Por favor, digite um número de rastreamento."
"Could not delete shipment","Não foi possível excluir a postagem"
"Could not save shipment","Não foi possível salvar a postagem"
"The last status can't be unassigned from its current state.","O último status não pode ser  atribuído de seu estado atual."
"Status can't be unassigned, because it is used by existing order(s).","O status não pode ser atribuído, porque ele é usado por ordens existentes)."
"Could not delete the order status history.","Não foi possível excluir o histórico de status do pedido."
"Could not save the order status history.","Não foi possível salvar o histórico de status do pedido."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","O modelo total deve ser estendido de \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","Não é possível criar uma fatura quando um pedido tiver um status de %1"
"A creditmemo can not be created when an order has a status of %1","Uma nota de crédito não pode ser criada quando um pedido tiver um status de %1"
"The order does not allow a creditmemo to be created.","O pedido não permite a criação de nota de crédito."
"A shipment cannot be created when an order has a status of %1","Uma entrega não pode ser criada quando um pedido tiver um status de %1"
"The order does not allow a shipment to be created.","O pedido não permite a criação de uma entrega."
"""Creditmemo Document Validation Error(s):\n"" .","""Erro(s) de Validação de documento de nota de crédito: \n""."
"Could not save a Creditmemo, see error log for details","Não foi possível salvar nota de crédito, consulte o log de erros para obter detalhes"
"We cannot determine the field name.","Não conseguimos determinar o nome do campo."
"City","Cidade"
"Company","Empresa"
"Country","País"
"Email","E-mail"
"First Name","Nome"
"Last Name","Sobrenome"
"State/Province","Estado"
"Street Address","Endereço"
"Phone Number","Número do Telefone"
"Zip/Postal Code","CEP"
"We can't save the address:\n%1","Não é possível salvar o endereço:\n%1"
"Cannot save comment:\n%1","Não é possível salvar comentário:\n%1"
"We don't have enough information to save the parent transaction ID.","Não temos informações suficientes para salvar a identificação de transação pai."
"We cannot create an empty shipment.","Não é possível cadastrar uma entrega vazia."
"Cannot save track:\n%1","Não é possível salvar rastreio:\n%1"
"Cannot unassign status from state","Não é possível cancelar a atribuição de status de estado"
"New Orders","Novos pedidos"
"Order #%1 created at %2","Pedido #%1 criado em %2"
"Details for %1 #%2","Detalhes para %1 #%2"
"Notified Date: %1","Data da notificação: %1"
"Comment: %1<br/>","Comentário: %1 <br/>"
"Current Status: %1<br/>","Status atual: %1 <br/>"
"Total: %1<br/>","Total: %1 <br/>"
"Order # %1 Notification(s)","Pedido # %1 notificação(ões)"
"You can not cancel Credit Memo","Você não pode cancelar nota de crédito"
"Could not cancel creditmemo","Não foi possível cancelar nota de crédito"
"We cannot register an existing credit memo.","Não é possível cadastrar uma nota de crédito já existente."
"We found an invalid quantity to invoice item ""%1"".","Encontramos uma quantidade inválida para faturar o item ""%1""."
"The Order State ""%1"" must not be set manually.","O estado do pedido ""%1"" não deve ser definido manualmente."
"""Shipment Document Validation Error(s):\n"" .","""Erro(s) de validação no documento de entrega: \n""."
"Could not save a shipment, see error log for details","Não foi possível salvar um envio, veja mais detalhes no log"
"VAT Request Identifier","Identificador de solicitação do VAT"
"VAT Request Date","Data do pedido de IVA"
"Pending Payment","Pagamento pendente"
"Processing","Processando"
"On Hold","Em espera"
"Complete","Finalizado"
"Closed","Fechado"
"Suspected Fraud","Suspeita de fraude"
"Payment Review","Revisão de pagamento"
"New","Novo"
"Product doesn't exist","O produto não existe"
"test message","mensagem de teste"
"Email has not been sent","E-mail não foi enviado"
"Authorized amount of %1","Valor autorizado de %1"
" Transaction ID: ""%1"""," ID da transação: ""%1"""
"View","Visualizar"
"Group was removed","O grupo foi removido"
"Changing address information will not recalculate shipping, tax or other order amount.","Alterar as informações de endereço não recalculará o envio, impostos ou outros valores do pedido."
"Comment Text","Texto do comentário"
"Notify Customer by Email","Notificar o cliente por e-mail"
"Visible on Storefront","Visível na loja"
"Customer","Cliente"
"Notified","Notificado"
"Not Notified","Não notificado"
"No Payment Methods","Não há Formas de Pagamento"
"Order Comments","Comentários do pedido"
"Apply Coupon Code","Aplicar Cupom de Desconto"
"Apply","Aplicar"
"Remove Coupon Code","Remover Cupom de Desconto"
"Remove","Remover"
"Address Information","Informações de Endereço"
"Payment &amp; Shipping Information","Informações de Pagamento &amp; Postagem"
"Order Total","Total do Pedido"
"Order Currency:","Moeda do pedido:"
"Same As Billing Address","Mesmo que o endereço de cobrança"
"Select from existing customer addresses:","Selecione endereços de cliente existentes:"
"Add New Address","Adicionar Novo Endereço"
"Save in address book","Salvar no catálogo de endereços"
"You don't need to select a shipping address.","Você não precisa selecionar um endereço de entrega."
"Gift Message for the Entire Order","Opções de presente para o pedido inteiro"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Deixe essa caixa em branco se você não quer deixar uma mensagem de presente para todo o pedido."
"Row Subtotal","Linha de Subtotal"
"Action","Ação"
"No ordered items","Não há itens solicitados"
"Update Items and Quantities","Atualizar Itens e Quantidades"
"Total %1 product(s)","%1 produto(s) no total"
"Subtotal:","Subtotal:"
"Tier Pricing","Nível de Preços"
"Custom Price","Preço personalizado "
"Please select","Selecione por favor"
"Move to Shopping Cart","Mover para o carrinho de compras"
"Move to Wish List","Mover para Lista de Desejos"
"Subscribe to Newsletter","Assinar newsletter"
"Click to change shipping method","Clique para alterar o método de envio"
"Sorry, no quotes are available for this order.","Desculpe, nenhuma cotação está disponível para este pedido."
"Get shipping methods and rates","Obter métodos de envio e taxas"
"You don't need to select a shipping method.","Você não precisa selecionar um método de envio."
