"Credit Memos","ક્રેડિટ મેમોસ"
"This product does not have any configurable options","આ ઉત્પાદનમાં કોઈ રૂપરેખાંકન વિકલ્પો નથી"
"Newsletter Subscription","ન્યૂઝલેટર સબ્સ્ક્રિપ્શન"
"Please select products","કૃપા કરીને ઉત્પાદનો પસંદ કરો"
"Add Selected Product(s) to Order","ઓર્ડર માટે પસંદ કરેલ ઉત્પાદન (ઓ) ઉમેરો"
"ID","આઇડી"
"Product","ઉત્પાદન"
"SKU","એસકેયુ"
"Price","કિંમત"
"Select","પસંદ કરો"
"Quantity","જથ્થો"
"Shipping Address","પહોંચાડવાનું સરનામું"
"Shipping Method","શીપીંગ પદ્ધતિ"
"Update Changes","ફેરફારો અપડેટ કરો"
"Shopping Cart","શોપિંગ કાર્ટ"
"Are you sure you want to delete all items from shopping cart?","શું તમે ખરેખર શોપિંગ કાર્ટમાંથી બધી આઇટમ્સને કાઢી નાખવા માંગો છો?"
"Clear Shopping Cart","સાફ શોપિંગ કાર્ટ"
"Products in Comparison List","તુલના સૂચિમાં પ્રોડક્ટ્સ"
"Recently Compared Products","તાજેતરમાં સરખાવેલ પ્રોડક્ટ્સ"
"Recently Viewed Products","તાજેતરમાં જોવાયેલી પ્રોડક્ટ્સ"
"Last Ordered Items","છેલ્લી આદેશિત વસ્તુઓ"
"Recently Viewed","તાજેતરમાં જોવાયેલ"
"Wish List","વિશસૂચિ"
"Please select a store","કૃપા કરીને સ્ટોર પસંદ કરો"
"Order Totals","ઓર્ડર ટોટલ્સ"
"Shipping Incl. Tax (%1)","શિપિંગ ઇક્લે. કર (%1)"
"Shipping Excl. Tax (%1)","શિપિંગ Excl. કર (%1)"
"New Credit Memo for Invoice #%1","ભરતિયું #%1 માટે નવું ક્રેડિટ મેમો"
"New Credit Memo for Order #%1","ઑર્ડર #%1 માટે નવું ક્રેડિટ મેમો"
"Refund Shipping (Incl. Tax)","રીફંડ શિપિંગ (શાખ. કર)"
"Refund Shipping (Excl. Tax)","રીફંડ શિપિંગ (એક્સક્લુસ કર)"
"Refund Shipping","રિફંડ શિપિંગ"
"Update Qty's","અપડેટ Qty ની"
"Update Totals","Update Totals"
"Refund","પરત કરેલી રકમ"
"Refund Offline","ઑફલાઇન રિફંડ"
"Paid Amount","ચુકવેલ રકમ"
"Refund Amount","પરત કરવાની રકમ"
"Shipping Amount","શિપિંગ રકમ"
"Shipping Refund","શિપિંગ રિફંડ"
"Order Grand Total","ઓર્ડર ગ્રાન્ડ કુલ"
"Adjustment Refund","એડજસ્ટમેન્ટ રિફંડ"
"Adjustment Fee","એડજસ્ટમેન્ટ ફી"
"Send Email","ઈ - મેલ મોકલો"
"Are you sure you want to send a credit memo email to customer?","શું તમે ખરેખર ગ્રાહકને ક્રેડિટ મેમો ઇમેઇલ મોકલવા માંગો છો?"
"Void","રદ"
"Print","છાપો"
"The credit memo email was sent.","ક્રેડિટ મેમો ઇમેઇલ મોકલવામાં આવ્યો હતો."
"The credit memo email wasn't sent.","ક્રેડિટ મેમો ઇમેઇલ મોકલવામાં આવ્યો ન હતો."
"Credit Memo #%1 | %3 | %2 (%4)","ક્રેડિટ મેમો #%1 | %3 | %2 (%4)"
"Total Refund","કુલ રિફંડ"
"New Invoice and Shipment for Order #%1","ઓર્ડર #%1 માટે નવું ભરતિયું અને શિપમેન્ટ"
"New Invoice for Order #%1","ઑર્ડર #%1 માટેનો નવી ઇનવોઇસ"
"Submit Invoice and Shipment","ભરતિયું અને શિપમેન્ટ સબમિટ કરો"
"Submit Invoice","ભરતિયું સબમિટ કરો"
"Are you sure you want to send an invoice email to customer?","શું તમે ખરેખર ગ્રાહકને ઇનવોઇસ ઇમેઇલ મોકલવા માંગો છો?"
"Credit Memo","ક્રેડિટ મેમો"
"Capture","કેપ્ચર"
"The invoice email was sent.","ઇનવૉઇસ ઇમેઇલ મોકલવામાં આવ્યો હતો."
"The invoice email wasn't sent.","ઇનવૉઇસ ઇમેઇલ મોકલવામાં આવ્યો ન હતો."
"Invoice #%1 | %2 | %4 (%3)","ભરતિયું #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","આ બ્લોક માટે અમાન્ય પેરેંટ બ્લોક"
"Order Statuses","ઓર્ડર સ્થિતિ"
"Create New Status","નવી સ્થિતિ બનાવો"
"Assign Status to State","રાજ્યની સ્થિતિ સોંપી"
"Save Status Assignment","સ્થિતિ સોંપણી સાચવો"
"Assign Order Status to State","રાજ્ય માટે ઓર્ડર સ્થિતિ સોંપી"
"Assignment Information","સોંપણી માહિતી"
"Order Status","ઓર્ડર સ્થિતિ"
"Order State","ઓર્ડર સ્ટેટ"
"Use Order Status As Default","ડિફોલ્ટ તરીકે ઑર્ડર સ્થિતિનો ઉપયોગ કરો"
"Visible On Storefront","સ્ટોરફ્રન્ટ પર દૃશ્યમાન"
"Edit Order Status","ઑર્ડર સ્થિતિ સંપાદિત કરો"
"Save Status","સ્થિતિ સાચવો"
"New Order Status","નવી ઓર્ડર સ્થિતિ"
"Order Status Information","ઓર્ડર સ્થિતિ માહિતી"
"Status Code","સ્થિતિ કોડ"
"Status Label","સ્થિતિ લેબલ"
"Store View Specific Labels","દુકાન વિશિષ્ટ લેબલ્સ જુઓ"
"Total Paid","કુલ ચૂકવણી"
"Total Refunded","કુલ રિફંડ"
"Total Due","સંપૂર્ણ કારણ"
"Edit","ફેરફાર કરો"
"Are you sure you want to send an order email to customer?","શું તમે ખરેખર ગ્રાહકને ઓર્ડર ઇમેઇલ મોકલવા માંગો છો?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","આ ઑફલાઇન રિફંડ બનાવશે. ઑનલાઇન રિફંડ બનાવવા માટે, એક ઇનવોઇસ ખોલો અને તેના માટે ક્રેડિટ મેમો બનાવો. શું તમે ચાલુ રાખવા માંગો છો?"
"Are you sure you want to void the payment?","શું તમે ખરેખર ચૂકવણીને રદ કરવા માંગો છો?"
"Hold","પકડી રાખવું"
"hold","પકડી રાખવું"
"Unhold","અનહોલ્ડ"
"unhold","અનહોલ્ડ"
"Are you sure you want to accept this payment?","શું તમે ખરેખર આ ચુકવણી સ્વીકારવા માંગો છો?"
"Accept Payment","ચુકવણી સ્વીકારો"
"Are you sure you want to deny this payment?","શું તમે ખરેખર આ ચુકવણીને નકારવા માંગો છો?"
"Deny Payment","ચુકવણી નકારો"
"Get Payment Update","ચુકવણી સુધારો મેળવો"
"Invoice and Ship","ભરતિયું અને શિપ"
"Invoice","ભરતિયું"
"Ship","શિપ"
"Reorder","ફરીથી ગોઠવો"
"Order # %1 %2 | %3","ઑર્ડર #%1%2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","આ ઑર્ડરમાં (%1) આઇટમ્સ શામેલ છે અને તેથી એડમિન ઇંટરફેસ દ્વારા સંપાદિત કરી શકાતા નથી. જો તમે સંપાદન ચાલુ રાખવા માંગો છો, તો (%2) આઇટમ્સ દૂર કરવામાં આવશે, ઓર્ડર રદ થશે અને એક નવું ઑર્ડર મૂકવામાં આવશે."
"Are you sure? This order will be canceled and a new one will be created instead.","શું તમે ખાતરી કરો છો? આ ઓર્ડર રદ થશે અને તેના બદલે એક નવું બનાવાશે."
"Save Gift Message","ભેટ સંદેશ સાચવો"
" [deleted]"," [કાઢી નાખ્યું]"
"Order Credit Memos","ઑર્ડર ક્રેડિટ મેમોસ"
"Credit memo #%1 created","ક્રેડિટ મેમો #%1 બનાવ્યું"
"Credit memo #%1 comment added","ક્રેડિટ મેમો #%1 ટિપ્પણી ઉમેરાઈ"
"Shipment #%1 created","શિપમેન્ટ #%1 બનાવ્યું"
"Shipment #%1 comment added","શિપમેન્ટ #%1 ટિપ્પણી ઉમેરાઈ"
"Invoice #%1 created","ભરતિયું #%1 બનાવ્યું"
"Invoice #%1 comment added","ભરતિયું #%1 ટિપ્પણી ઉમેરાઈ"
"Tracking number %1 for %2 assigned","સોંપેલ%2 માટે ટ્રેકિંગ નંબર%1"
"Comments History","ટિપ્પણીઓ ઇતિહાસ"
"Order History","ઓર્ડર હિસ્ટ્રી"
"Information","માહિતી"
"Order Information","ઓર્ડર માહિતી"
"Order Invoices","ઑર્ડર ઇન્વોઇસિસ"
"Shipments","શિપમેન્ટ"
"Order Shipments","ઓર્ડર શિપમેન્ટ્સ"
"Transactions","વ્યવહારો"
"Order View","ઑર્ડર દૃશ્ય"
"Any","કોઈપણ"
"Specified","સ્પષ્ટ"
"Applies to Any of the Specified Order Statuses except canceled orders","રદ કરેલ ઓર્ડર્સ સિવાય કોઈ પણ ઉલ્લેખિત ઑર્ડર સ્થિતિ પર લાગુ થાય છે"
"Cart Price Rule","કાર્ટ ભાવ નિયમ"
"Yes","હા"
"No","ના"
"Show Actual Values","વાસ્તવિક મૂલ્યો બતાવો"
"New Order RSS","નવી ઓર્ડર આરએસએસ"
"Subtotal","પેટાસરવાળો"
"Shipping & Handling","શિપિંગ અને હેન્ડલિંગ"
"Discount (%1)","ડિસ્કાઉન્ટ (%1)"
"Discount","ડિસ્કાઉન્ટ"
"Grand Total","ગ્રાન્ડ કુલ"
"Back","પાછા"
"Fetch","મેળવો"
"Transaction # %1 | %2","ટ્રાંઝેક્શન #%1 | %2"
"N/A","એન / એ"
"Key","કી"
"Value","મૂલ્ય"
"We found an invalid entity model.","અમને અમાન્ય એન્ટિટી મોડેલ મળ્યું."
"Order # %1","ઑર્ડર #%1"
"Back to My Orders","મારા ઓર્ડર પર પાછા ફરો"
"View Another Order","બીજું ઓર્ડર જુઓ"
"About Your Refund","તમારી રિફંડ વિશે"
"My Orders","મારા ઓર્ડર"
"Subscribe to Order Status","ઓર્ડર સ્થિતિ સબ્સ્ક્રાઇબ કરો"
"About Your Invoice","તમારા ભરતિયાં વિશે"
"Print Order # %1","પ્રિન્ટ ઑર્ડર #%1"
"Grand Total to be Charged","ચાર્જ કરવા માટે ગ્રાન્ડ કુલ"
"Unassign","અસાઇન કરો"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","તમે સંદેશ મોકલો"
"Sales","વેચાણ"
"Invoice capturing error","ઇન્વૉઇસ કેપ્ચરિંગ ભૂલ"
"This order no longer exists.","આ ઓર્ડર હવે અસ્તિત્વમાં નથી."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","આપણે ઓર્ડર ઇતિહાસ ઉમેરી શકતા નથી."
"You updated the order address.","તમે ઓર્ડર સરનામું અપડેટ કર્યું છે."
"We can't update the order address right now.","અમે અત્યારે ઓર્ડર સરનામાંને અપડેટ કરી શકતા નથી."
"You have not canceled the item.","તમે આઇટમ રદ કરી નથી."
"You canceled the order.","તમે ઓર્ડર રદ કર્યો."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" કૂપન કોડ લાગુ થયો નથી. લાગુ ન કરો આઇટમ (ઓ) માટે ડિસ્કાઉન્ટ પસંદ કરવામાં આવે છે"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","કૂપન કોડ સ્વીકારવામાં આવ્યો છે."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","નવો હુકમ"
"You created the order.","તમે ઓર્ડર બનાવ્યો."
"Order saving error: %1","ઓર્ડર બચત ભૂલ:%1"
"Cannot add new comment.","નવી ટિપ્પણી ઉમેરી શકતા નથી."
"The credit memo has been canceled.","ક્રેડિટ મેમો રદ કરવામાં આવી છે."
"Credit memo has not been canceled.","ક્રેડિટ મેમો રદ કરવામાં આવ્યું નથી."
"New Memo for #%1","નવો મેમો #%1 માટે"
"New Memo","નવો મેમો"
"The credit memo's total must be positive.","ક્રેડિટ મેમોનો કુલ હકારાત્મક હોવો આવશ્યક છે."
"Cannot create online refund for Refund to Store Credit.","રિફંડ ટુ સ્ટોર ક્રેડિટ માટે ઑનલાઇન રિફંડ બનાવી શકાતું નથી."
"You created the credit memo.","તમે ક્રેડિટ મેમો બનાવ્યું છે."
"We can't save the credit memo right now.","અમે હમણાં જ ક્રેડિટ મેમો સાચવી શકતા નથી."
"We can't update the item's quantity right now.","અમે અત્યારે આઇટમની માત્રાને અપડેટ કરી શકતા નથી."
"View Memo for #%1","#%1 માટે મેમો જુઓ"
"View Memo","મેમો જુઓ"
"You voided the credit memo.","તમે ક્રેડિટ મેમોનો અવાજ કર્યો."
"We can't void the credit memo.","અમે ક્રેડિટ મેમોને રદ કરી શકતા નથી."
"The order no longer exists.","ઓર્ડર હવે અસ્તિત્વમાં નથી."
"We can't create credit memo for the order.","અમે ઓર્ડર માટે ક્રેડિટ મેમો બનાવી શકતા નથી."
"Edit Order","ઓર્ડર સંપાદિત કરો"
"You sent the order email.","તમે ઑર્ડર ઇમેઇલ મોકલ્યો."
"We can't send the email order right now.","અમે અત્યારે ઇમેઇલ ઑર્ડર મોકલી શકતા નથી."
"You have not put the order on hold.","તમે હોલ્ડ પર ઓર્ડર આપ્યો નથી."
"You put the order on hold.","તમે હોલ્ડ પર ઓર્ડર મૂકો છો."
"You canceled the invoice.","તમે ઇનવોઇસ રદ કર્યો."
"Invoice canceling error","ભરતિયું રદ કરવાની ભૂલ"
"The invoice has been captured.","ભરતિયું કબજે કરવામાં આવ્યું છે."
"The order does not allow an invoice to be created.","ઓર્ડરનો ઇન્વોઇસ બનાવવાની મંજૂરી આપતી નથી."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","નવી ભરતિયું"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","તમે ઇન્વૉઇસ અને શિપમેન્ટ બનાવ્યું છે."
"The invoice has been created.","ભરતિયું બનાવવામાં આવ્યું છે."
"We can't send the invoice email right now.","અમે હમણાં ઇનવોઇસ ઇમેઇલ મોકલી શકતા નથી."
"We can't send the shipment right now.","અમે અત્યારે શિપમેન્ટ મોકલી શકતા નથી."
"Cannot update item quantity.","આઇટમ જથ્થો અપડેટ કરી શકતા નથી."
"The invoice has been voided.","ભરતિયું ખોવાઈ ગયું છે."
"Invoice voiding error","ઇન્વૉઇસ વૉઇડિંગ ભૂલ"
"%1 order(s) cannot be canceled.","%1 ઓર્ડર રદ કરી શકાતા નથી."
"You cannot cancel the order(s).","તમે ઓર્ડર (ઓ) રદ કરી શકતા નથી."
"We canceled %1 order(s).","અમે%1 ઓર્ડર (ઓ) રદ કર્યો."
"%1 order(s) were not put on hold.","%1 ઓર્ડર (ઓ) હોલ્ડ પર મૂક્યા ન હતા."
"No order(s) were put on hold.","કોઈ ઓર્ડર (ઓ) પકડી રાખવામાં આવ્યા ન હતા."
"You have put %1 order(s) on hold.","તમે%1 ઓર્ડર (ઓ) હોલ્ડ પર મૂક્યા છે."
"%1 order(s) were not released from on hold status.","%1 ઓર્ડર (ઓ) હોલ્ડ સ્ટેટસ પરથી મુક્ત થયા નથી."
"No order(s) were released from on hold status.","પકડની સ્થિતિથી કોઈ હુકમ (ઓ) બહાર પડ્યા નથી."
"%1 order(s) have been released from on hold status.","%1 ઓર્ડર (ઓ) હોલ્ડ સ્ટેટસ પરથી મુક્ત કરવામાં આવ્યા છે."
"There are no printable documents related to selected orders.","પસંદ કરેલ ઑર્ડર્સથી સંબંધિત કોઈ છાપવાયોગ્ય દસ્તાવેજો નથી."
"The payment has been accepted.","ચુકવણી સ્વીકારવામાં આવી છે."
"The payment has been denied.","ચુકવણી નકારવામાં આવી છે."
"Transaction has been approved.","વ્યવહારો મંજૂર કરવામાં આવી છે."
"Transaction has been voided/declined.","ટ્રાંઝેક્શનની ઘોષણા / ઘટાડો થયો છે."
"There is no update for the transaction.","ટ્રાંઝેક્શન માટે કોઈ અપડેટ નથી."
"We can't update the payment right now.","અમે હમણાં ચુકવણી અપડેટ કરી શકતા નથી."
"You assigned the order status.","તમે ઑર્ડરની સ્થિતિ અસાઇન કરી છે."
"Something went wrong while assigning the order status.","ઑર્ડર સ્થિતિ અસાઇન કરતી વખતે કંઈક ખોટું થયું."
"We can't find this order status.","અમે આ ઓર્ડરની સ્થિતિ શોધી શકતા નથી."
"Create New Order Status","નવી ઓર્ડર સ્થિતિ બનાવો"
"We found another order status with the same order status code.","અમને સમાન ઓર્ડર સ્ટેટસ કોડ સાથેની બીજી ઑર્ડરની સ્થિતિ મળી."
"You saved the order status.","તમે ઑર્ડરની સ્થિતિ સાચવી."
"We can't add the order status right now.","અમે હમણાં ઓર્ડર સ્થિતિ ઉમેરી શકતા નથી."
"You have unassigned the order status.","તમે ઑર્ડરની સ્થિતિને અસાઇન કરી છે."
"Something went wrong while unassigning the order.","ઓર્ડર સોંપણી કરતી વખતે કંઈક ખોટું થયું."
"Can't unhold order.","ઓર્ડર હોલ્ડ કરી શકતા નથી."
"You released the order from holding status.","તમે હોલ્ડિંગ સ્થિતિને હુકમ આપ્યો છે."
"The order was not on hold.","ઓર્ડર હોલ્ડ પર ન હતો."
"Exception occurred during order load","ઓર્ડર લોડ દરમિયાન અપવાદ થયો"
"Something went wrong while saving the gift message.","ભેટ સંદેશ સાચવતી વખતે કંઈક ખોટું થયું."
"You saved the gift card message.","તમે ભેટ કાર્ડ સંદેશો સાચવ્યો."
"The payment has been voided.","ચૂકવણી કરવામાં આવી છે."
"We can't void the payment right now.","અમે હમણાં ચુકવણી રદ કરી શકતા નથી."
"Please correct the transaction ID and try again.","કૃપા કરીને ટ્રાંઝેક્શન ID ને ઠીક કરો અને ફરી પ્રયાસ કરો."
"The transaction details have been updated.","વ્યવહારોની વિગતો અપડેટ કરવામાં આવી છે."
"We can't update the transaction details.","અમે ટ્રાંઝેક્શનની વિગતો અપડેટ કરી શકતા નથી."
"Orders and Returns","ઓર્ડર અને રીટર્ન"
"Home","ઘર"
"Go to Home Page","હોમ પેજ પર જાઓ"
"You entered incorrect data. Please try again.","તમે ખોટો ડેટા દાખલ કર્યો. મહેરબાની કરીને ફરીથી પ્રયતન કરો."
"We can't find this wish list.","અમે આ ઇચ્છા સૂચિ શોધી શકતા નથી."
"We could not add a product to cart by the ID ""%1"".","અમે ID ""%1"" દ્વારા કાર્ટમાં કોઈ ઉત્પાદન ઉમેરી શક્યા નહીં."
"There is an error in one of the option rows.","વિકલ્પ પંક્તિઓમાંથી એકમાં એક ભૂલ છે."
"Shipping Address: ","પહોંચાડવાનું સરનામું: "
"Billing Address: ","બિલિંગ સરનામું: "
"Please specify order items.","કૃપા કરીને ઑર્ડર આઇટમ્સનો ઉલ્લેખ કરો."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","આ ચુકવણી પદ્ધતિ ઉપલબ્ધ નથી."
"Validation is failed.","માન્યતા નિષ્ફળ થયેલ છે."
"You did not email your customer. Please check your email settings.","તમે તમારા ગ્રાહકને ઇમેઇલ કર્યો નથી. કૃપા કરીને તમારી ઇમેઇલ સેટિંગ્સ તપાસો."
"-- Please Select --","-- મહેરબાની કરી, પસંદ કરો --"
"Path ""%1"" is not part of allowed directory ""%2""","પાથ ""%1"" એ માન્ય ડિરેક્ટરી ""%2"" નો ભાગ નથી"
"Identifying Fields required","જરૂરી ક્ષેત્રો ઓળખવા"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""ભરતિયું દસ્તાવેજ માન્યતા ભૂલ (ઓ): \n""."
"Could not save an invoice, see error log for details","ઇન્વૉઇસ સાચવી શક્યાં નથી, વિગતો માટે ભૂલ લૉગ જુઓ"
"A hold action is not available.","પકડવાની ક્રિયા ઉપલબ્ધ નથી."
"You cannot remove the hold.","તમે હોલ્ડને દૂર કરી શકતા નથી."
"We cannot cancel this order.","અમે આ ઓર્ડર રદ કરી શકતા નથી."
"Guest","મહેમાન"
"Please enter the first name.","કૃપા કરીને પ્રથમ નામ દાખલ કરો."
"Please enter the last name.","કૃપા કરીને છેલ્લું નામ દાખલ કરો."
"Please enter the street.","કૃપા કરીને શેરી દાખલ કરો."
"Please enter the city.","કૃપા કરીને શહેર દાખલ કરો."
"Please enter the phone number.","કૃપા કરીને ફોન નંબર દાખલ કરો."
"Please enter the company.","કૃપા કરીને કંપની દાખલ કરો."
"Please enter the fax number.","કૃપા કરીને ફેક્સ નંબર દાખલ કરો."
"Please enter the zip/postal code.","કૃપા કરીને ઝિપ / પોસ્ટલ કોડ દાખલ કરો."
"Please enter the country.","કૃપા કરીને દેશ દાખલ કરો."
"Please enter the state/province.","રાજ્ય / પ્રાંત દાખલ કરો."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","બાકી"
"Refunded","રિફંડ"
"Canceled","રદ"
"Unknown State","અજ્ઞાત રાજ્ય"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","અમને આઇટમ ""%1"" પરત કરવાની અમાન્ય જથ્થો મળી."
"The creditmemo contains product item that is not part of the original order.","ક્રેડિટમેમોમાં ઉત્પાદન આઇટમ શામેલ છે જે મૂળ ઑર્ડરનો ભાગ નથી."
"The quantity to refund must not be greater than the unrefunded quantity.","રિફંડની રકમ અચોક્કસ જથ્થા કરતાં વધુ હોવી આવશ્યક નથી."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","રીફંડ કરવાની મહત્તમ શીપીંગ રકમ છે:%1"
"Order Id is required for creditmemo document","ક્રેડિટમિનો દસ્તાવેજ માટે ઑર્ડર ID જરૂરી છે"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","ક્રેડિટમેનમાં ઉત્પાદન SKU ""%1"" શામેલ છે જે મૂળ ઑર્ડરનો ભાગ નથી."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","ક્રેડિટ સ્કીમોનું જથ્થો ઉત્પાદન SKU ""%1"" માટે અચોક્કસ જથ્થા કરતાં વધુ હોવું આવશ્યક નથી."
"You can't create a creditmemo without products.","તમે ઉત્પાદનો વગર ક્રેડિટમીમો બનાવી શકતા નથી."
"The most money available to refund is %1.","રીફંડ માટે ઉપલબ્ધ સૌથી વધુ પૈસા%1 છે."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","આ ઑર્ડર પહેલેથી જ ગ્રાહક એકાઉન્ટ સાથે સંકળાયેલ છે"
"Paid","ચુકવેલ"
"We cannot register an existing invoice","અમે અસ્તિત્વમાંના ઇનવોઇસની નોંધણી કરી શકતા નથી"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","અમે ભરતિયું માટે ક્રેડિટમીમો બનાવી શકતા નથી."
"Order Id is required for invoice document","ભરતિયું દસ્તાવેજ માટે ઑર્ડર આઈડી આવશ્યક છે"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","ઇનવૉઇસની સંખ્યા SKU ""%1"" ઉત્પાદન માટે અવિચ્છિત જથ્થા કરતાં મોટી હોવી આવશ્યક નથી."
"The invoice contains one or more items that are not part of the original order.","ઇન્વૉઇસમાં એક અથવા વધુ આઇટમ્સ છે જે મૂળ ઑર્ડરનો ભાગ નથી."
"ID required","ID required"
"Unknown Status","અજ્ઞાત સ્થિતિ"
"Ordered","આદેશ આપ્યો"
"Shipped","મોકલેલ"
"Invoiced","ભરતિયું"
"Backordered","બેકકોર્ડર્ડ"
"Returned","પાછા ફર્યા"
"Partial","આંશિક"
"Mixed","મિશ્રિત"
"Registered a Void notification.","રદબાતલ નોંધણી રજીસ્ટર."
"If the invoice was created offline, try creating an offline credit memo.","જો ઇનવૉઇસ ઑફલાઇન બનાવવામાં આવ્યું હતું, તો ઑફલાઇન ક્રેડિટ મેમો બનાવવાનો પ્રયાસ કરો."
"We refunded %1 online.","અમે%1 ને ઓનલાઇન રિફંડ કર્યું."
"We refunded %1 offline.","અમે%1 ઑફલાઇન રીફંડ કર્યું."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","આઇપીએન ""રીફંડ્ડ"". વેપારી દ્વારા જારી કરાયેલ રીફંડ. %1 ની રિફંડ કરેલી રકમ વિશે રજિસ્ટર્ડ સૂચના. ટ્રાંઝેક્શન ID: ""%2"". ક્રેડિટ મેમો બનાવવામાં આવી નથી. કૃપા કરીને ઑફલાઇન ક્રેડિટ મેમો બનાવો."
"The credit memo has been created automatically.","ક્રેડિટ મેમો આપમેળે બનાવવામાં આવી છે."
"Registered notification about refunded amount of %1.","%1 ની રિફંડ કરેલી રકમ વિશે રજિસ્ટર્ડ સૂચના."
"Canceled order online","ઓનલાઈન રદ ઓર્ડર"
"Canceled order offline","રદ ઓર્ડર ઑફલાઇન"
"Approved the payment online.","ઑનલાઇન ચુકવણી મંજૂર."
"There is no need to approve this payment.","આ ચુકવણી મંજૂર કરવાની કોઈ જરૂર નથી."
"Denied the payment online","ઑનલાઇન ચૂકવણી નામંજૂર"
"Registered update about approved payment.","મંજૂર ચુકવણી વિશે રજિસ્ટર્ડ અપડેટ."
"Registered update about denied payment.","નકારેલ ચુકવણી વિશે રજિસ્ટર્ડ અપડેટ."
"There is no update for the payment.","ચુકવણી માટે કોઈ અપડેટ નથી."
