"Credit Memos","یادداشت‌های بستانکاری"
"You have not canceled the item.","شما مورد را لغو نکرده اید."
"You canceled the order.","شما سفارش را لغو کردید."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","کوپن ""%1"" اعمال نشد تخفیف برای آیتم (های) انتخاب شده اعمال نمی شود"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","کد کوپن پذیرفته شد."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","سفارش جدید"
"You created the order.","شما سفارش دادید."
"Order saving error: %1","ارور ذخیره کردن سفارش:%1"
"Cannot add new comment.","نمی‌توان توضیح جدید افزود."
"The credit memo has been canceled.","یادداشت بستانکاری لغو شد."
"Credit memo has not been canceled.","یادداشت اعتباری لغو نشده است."
"New Memo for #%1","یادداشت جدید برای #%1"
"New Memo","یادداشت جدید"
"The credit memo's total must be positive.","مجموع یادداشت اعتباری باید مثبت باشد."
"Cannot create online refund for Refund to Store Credit.","نمی توانید بازپرداخت آنلاین برای بازپرداخت اعتباری ذخیره کنید."
"You created the credit memo.","یادداشت اعتباری را ایجاد کردید."
"We can't save the credit memo right now.","اکنون نمی توانیم یادداشت اعتباری را ذخیره کنیم."
"We can't update the item's quantity right now.","اکنون نمیتوانیم مقدار آیتم را به روز کنیم."
"View Memo for #%1","مشاهده یادداشت برای #%1"
"View Memo","مشاهده‌ی یادداشت"
"You voided the credit memo.","یادداشت اعتباری را لغو کردید."
"We can't void the credit memo.","ما نمی توانیم یادداشت اعتباری را خاتمه دهیم."
"The order no longer exists.","سفارش دیگر موجود نیست."
"We can't create credit memo for the order.","ما نمی توانیم یادداشت اعتباری را برای سفارش ایجاد کنیم."
"Edit Order","ویرایش سفارش"
"You sent the order email.","شما ایمیل سفارش را ارسال کردید."
"We can't send the email order right now.","ما نمی توانیم این ایمیل را در حال حاضر ارسال کنیم."
"You have not put the order on hold.","شما سفارش را در حالت تعلیق قرار نداده اید."
"You put the order on hold.","شما سفارش را به حالت تعلیق درآوردید."
"You canceled the invoice.","شما فاکتور را لغو کردید."
"Invoice canceling error","خطای لغو صورتحساب"
"The invoice has been captured.","فاکتور ضبط شد."
"The order does not allow an invoice to be created.","این سفارش ایجاد فاکتور را اجازه نمی دهد."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","فاکتور جدید"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","شما فاکتور و حمل و نقل را ایجاد کردید."
"The invoice has been created.","فاکتور ایجاد شد."
"We can't send the invoice email right now.","اکنون نمیتوانیم ایمیل فاکتور را ارسال کنیم."
"We can't send the shipment right now.","ما اکنون نمی توانیم محموله را ارسال کنیم."
"Cannot update item quantity.","نمی‌توان تعداد آیتم را به روز کرد."
"The invoice has been voided.","فاکتور باطل شده است."
"Invoice voiding error","خطا تخفیف صورتحساب
 "
"%1 order(s) cannot be canceled.","%1 سفارش (ها) لغو نمی شود."
"You cannot cancel the order(s).","شما نمی توانید سفارش (ها) را لغو کنید."
"We canceled %1 order(s).","ما سفارش(های) %1 را لغو کردیم."
"%1 order(s) were not put on hold.","%1 سفارش (ها) در حالت تعلیق قرار نگرفته اند."
"No order(s) were put on hold.","هیچ سفارشی در تعلیق قرار نداشت."
"You have put %1 order(s) on hold.","شما سفارش(ها) %1 را در حالت تعلیق قرار داده اید."
"%1 order(s) were not released from on hold status.","%1 سفارش (ها) از منتشر در وضعیت باز نشده."
"No order(s) were released from on hold status.","هیچ سفارش(ها) از حالت خاموش بودن آزاد نشده."
"%1 order(s) have been released from on hold status.","%1 سفارش (ها) از وضعیت در حالت خاموش آزاد شده است ."
"There are no printable documents related to selected orders.","هیچ سند قابل چاپی مرتبط با سفارش‌های انتخاب شده وجود ندارد."
"The payment has been accepted.","پرداخت پذیرفته شد."
"The payment has been denied.","پرداخت رد شد."
"Transaction has been approved.","تراکنش تائید شده است."
"Transaction has been voided/declined.","تراکنش باطل شده است/نپذیرفتن."
"There is no update for the transaction.","برای این تراکنش هیچ بروزرسانی وجود ندارد."
"We can't update the payment right now.","اکنون نمیتوانیم پرداخت را به روز کنیم."
"You assigned the order status.","شما وضعیت سفارش را تعیین کردید."
"Something went wrong while assigning the order status.","در هنگام اعطای وضعیت سفارش اشتباه رخ داده."
"We can't find this order status.","این وضعیت سفارش را پیدا نمی کنیم."
"Create New Order Status","ایجاد وضعیت سفارش جدید"
"We found another order status with the same order status code.","ما یک وضعیت سفارش دیگر را با همان کد وضعیت سفارش یافتیم."
"You saved the order status.","شما وضعیت سفارش را ذخیره کردید."
"We can't add the order status right now.","ما نمی توانیم وضعیت سفارش را در حال حاضر اضافه کنیم."
"You have unassigned the order status.","شما وضعیت سفارش را لغو کرده اید."
"Something went wrong while unassigning the order.","در هنگام عدم تعیین سفارش، در حقیقت اشتباهی رخ داده."
"Can't unhold order.","نمیتونم سفارش را جدا کنیم."
"You released the order from holding status.","شما سفارش را از وضعیت نگه داشتن آزاد کردید."
"The order was not on hold.","این سفارش در حالت تعلیق قرار نگرفت."
"Exception occurred during order load","در زمان بارگذاری سفارش استثنا رخ داد"
"Something went wrong while saving the gift message.","هنگام ذخیره در پیام هدیه اشتباهی رخ داده."
"You saved the gift card message.","پیام کارت هدیه را ذخیره کردید."
"The payment has been voided.","پرداخت باطل شد."
"We can't void the payment right now.","ما نمیتوانیم پرداخت را درست انجام دهیم."
"Please correct the transaction ID and try again.","لطفا شناسه تراکنش را اصلاح کنید و دوباره امتحان کنید."
"The transaction details have been updated.","جزئیات تراکنش به روز شده است"
"We can't update the transaction details.","ما نمی توانیم جزئیات معامله را به روز کنیم."
"Orders and Returns","سفارشات و بازگشت"
"Home","خانه"
"Go to Home Page","برو به صفحه‌ی اصلی"
"You entered incorrect data. Please try again.","شما داده های نادرست را وارد کرده اید. لطفا دوباره تلاش کنید."
"We can't find this wish list.","ما نمی توانیم این لیست علاقه مندی را پیدا کنیم."
"We could not add a product to cart by the ID ""%1"".","ما می تواند یک محصول را به سبد خرید با شناسه ""%1"" اضافه کنیم."
"There is an error in one of the option rows.","در یکی از خطوط گزینه یک خطا وجود دارد."
"Shipping Address: ","آدرس ارسال: "
"Billing Address: ","آدرس صورت حساب: "
"Please specify order items.","لطفا آیتم های سفارش را مشخص کنید."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","این روش پرداخت در دسترس نیست."
"Validation is failed.","تایید اعتبار ناموفق بود."
"You did not email your customer. Please check your email settings.","شما به مشتری خود را ایمیل نکردید لطفا تنظیمات ایمیل خود را بررسی کنید."
"-- Please Select --","-- لطفا انتخاب کنيد --"
"Path ""%1"" is not part of allowed directory ""%2""","مسیر ""%1"" بخشی از دایرکتوری مجاز ""%2"" نیست"
"Identifying Fields required","شناسایی فیلد های مورد نیاز"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""خطای(های) اعتبار اسناد فاکتور: \n""."
"Could not save an invoice, see error log for details","فاکتور ذخیره نمیشود، برای گزارش جزئیات وارد سیستم شوید"
"A hold action is not available.","عمل نگهداری در دسترس نیست."
"You cannot remove the hold.","شما قادر به حذف این نیستید."
"We cannot cancel this order.","ما نمی توانیم این سفارش را لغو کنیم."
"Guest","مهمان"
"Please enter the first name.","لطفا نام را وارد کنید."
"Please enter the last name.","طفا نام خانوادگی را وارد کنید."
"Please enter the street.","لطفا خيابان را وارد كنيد."
"Please enter the city.","لطفا شهر را وارد كنيد."
"Please enter the phone number.","لطفا شماره تلفن را وارد کنید."
"Please enter the company.","لطفا شرکت را وارد کنید."
"Please enter the fax number.","لطفا شماره فکس را وارد کنید."
"Please enter the zip/postal code.","لطفا کد پستی را وارد کنید."
"Please enter the country.","لطفا كشور را وارد كنيد."
"Please enter the state/province.","لطفا استان / شهرستان را وارد كنيد."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","انتظار"
"Refunded","مسترد"
"Canceled","لغو شده"
"Unknown State","حالت ناشناخته"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","ما یک تعداد نامعتبر برای بازپرداخت مورد ""%1"" یافتیم."
"The creditmemo contains product item that is not part of the original order.","یادداشت اعتباری شامل آیتم محصول است که بخشی از سفارش اصلی نیست."
"The quantity to refund must not be greater than the unrefunded quantity.","مقدار بازپرداخت نباید بیشتر از مقدار بازپرداخت نشده باشد."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","حداکثر مقدار حمل و نقل مجاز به بازپرداخت: %1 می باشد"
"Order Id is required for creditmemo document","شناسه سفارش برای یاداشت سند اعتباری مورد نیاز است"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","یادداشت اعتباری شامل محصول SKU ""%1"" است که بخشی از سفارش اصلی نیست."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","مقدار یادداشت اعتباری نباید بیشتر از مقدار بازپرداخت محصول SKU ""%1"" باشد."
"You can't create a creditmemo without products.","شما نمی توانید یک یادداشت اعتباری بدون محصول ایجاد کنید."
"The most money available to refund is %1.","بیشترین پول موجود برای بازپرداخت %1 است."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","این سفارش قبلا در حساب کاربری مشتری بوده است"
"Paid","پرداخت شده"
"We cannot register an existing invoice","ما نمی توانیم فاکتور موجود را ثبت کنیم"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","ما نمی توانیم یادداشت اعتباری را برای این فاکتور ایجاد کنیم."
"Order Id is required for invoice document","شناسه سفارش برای سند فاکتور مورد نیاز است"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","تعداد در فاکتور نباید بیشتر از مقدار غیرقابل استفاده برای SKU محصول ""%1"" باشد."
"The invoice contains one or more items that are not part of the original order.","فاکتور شامل یک یا چند مورد است که بخشی از سفارش اصلی نیستند."
"ID required","ID required"
"Unknown Status","وضعیت ناشناخته"
"Ordered","سفارش داده شده"
"Shipped","ارسال شده"
"Invoiced","فاکتور شده"
"Backordered","پیش سفارش شده"
"Returned","برگردانده شده"
"Partial","بخشی"
"Mixed","مخلوط"
"Registered a Void notification.","یک اطلاعیه‌ی باطل ثبت شده است."
"If the invoice was created offline, try creating an offline credit memo.","اگر فاکتور آفلاین ایجاد شد، سعی کنید یک یادداشت اعتباری آفلاین ایجاد کنید."
"We refunded %1 online.","ما %1 را آنلاین مسترد کردیم."
"We refunded %1 offline.","ما %1 را آفلاین مسترد کردیم."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""بازپرداخت"". بازپرداخت صادر شده توسط بازرگان. اخطار ثبت شده در مورد مقدار بازپرداخت %1. شناسه تراکنش: ""%2"". یادداشت اعتباری ایجاد نشده است. لطفا یادداشت اعتبار آفلاین ایجاد کنید."
"The credit memo has been created automatically.","یادداشت اعتباری به صورت خودکار ایجاد شده است."
"Registered notification about refunded amount of %1.","اطلاع رسانی در مورد میزان بازپرداخت %1 ثبت شده است."
"Canceled order online","سفارش آنلاین لغو شد"
"Canceled order offline","سفارش آفلاین لغو شد"
"Approved the payment online.","پرداخت آنلاین تایید شد."
"There is no need to approve this payment.","هیچ نیازی به تایید این پرداخت وجود ندارد."
"Denied the payment online","پرداخت آنلاین را رد کرده است"
"Registered update about approved payment.","به روز رسانی ثبت شده درباره‌ی پرداخت تایید شده."
"Registered update about denied payment.","بروز رسانی ثبت شده در مورد پرداخت را تکذیب کرد."
"There is no update for the payment.","هیچ به روز رسانی برای پرداخت وجود ندارد."
"Voided authorization.","تصویب باطل شده."
"Amount: %1.","مقدار %1."
"Transaction ID: ""%1""","شناسه تراکنش: ""%1"""
"The payment method you requested is not available.","روش پرداخت درخواست شده در دسترس نیست."
"The payment disallows storing objects.","ذخیره اشیاء در پرداخت ممنوع است."
"The transaction ""%1"" cannot be captured yet.","تراکنش ""%1"" هنوز نمیتوان انجام داد."
"The parent transaction ID must have a transaction ID.","شناسه تراکنش اصلی باید یک شناسه تراکنش داشته باشد."
"Payment transactions disallow storing objects.","ذخیره سازی شی‌های تراکنش پرداخت غیر مجاز است."
"The transaction ""%1"" (%2) is already closed.","معامله ""%1"" (%2) در حال حاضر بسته شده است."
"Set order for existing transactions not allowed","تنظیم سفارش برای تراکنش موجود مجاز نیست"
"At minimum, you need to set a payment ID.","حداقل باید شناسه پرداخت را تنظیم کنید."
"Order","سفارش"
"Authorization","تصویب"
"We found an unsupported transaction type ""%1"".","ما یک نوع تراکنش %1 نا معلوم پیدا کردیم."
"Please set a proper payment and order id.","شناسه پرداخت و سفارش مناسب را تنظیم کنید."
"Please enter a Transaction ID.","لطفا یک شناسه تراکنش وارد کنید."
"You can't do this without a transaction object.","شما نمی توانید این کار را بدون یک معامله انجام دهید."
"Order # ","سفارش شماره‌ی "
"Order Date: ","تاریخ سفارش: "
"Sold to:","فروخته شد به:"
"Ship to:","ارسال به:"
"Payment Method:","روش پرداخت:"
"Shipping Method:","روش ارسال:"
"Total Shipping Charges","مجموع هزینه‌های ارسال"
"Title","عنوان"
"Number","شماره"
"We found an invalid renderer model.","ما یک مدل رندر نامعتبر یافتیم."
"Please define the PDF object before using.","لطفا قبل از استفاده موضوع PDF را تعریف کنید."
"We don't recognize the draw line data. Please define the ""lines"" array.","ما اطلاعات draw line را نمی شناسیم. لطفا آرایه ""lines"" را تعریف کنید."
"Products","محصولات"
"Total (ex)","مجموع (بی)"
"Qty","تعداد"
"Tax","مالیات"
"Total (inc)","مجموع (با)"
"Credit Memo # ","یادداشت بستانکاری شماره‌ی "
"Invoice # ","فاکتور شماره‌ی "
"The order object is not specified.","کالا سفارش مشخص نشده است."
"The source object is not specified.","منبع کالا مشخص نشده است."
"An item object is not specified.","شی مورد مشخص نشده است."
"A PDF object is not specified.","کالای PDF مشخص نشده است."
"A PDF page object is not specified.","کالا صفحه PDF مشخص نشده است."
"Excl. Tax","بدون مالیات"
"Incl. Tax","با مالیات"
"Packing Slip # ","خطا بسته بندی # "
"title","عنوان"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","کل مدل PDF %1 باید یا گسترش یابد \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","ما نمیتوانیم ثبت حمل و نقل موجود کنیم

 "
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","حمل و نقل اصلی نمی توان برای مسیر شیء بارگذاری کرد."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","شناسه سفارش برای سند حمل و نقل مورد نیاز است"
"You can't create a shipment without products.","شما قادر به ایجاد حمل و نقل بدون محصولات نیستید."
"The shipment contains product SKU ""%1"" that is not part of the original order.","حمل و نقل شامل SKU محصول ""%1"" است که بخشی از سفارش اصلی نیست."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","مقدار حمل نباید بیشتر از مقدار ارسال نشده برای SKU محصول ""%1"" باشد."
"Please enter a tracking number.","لطفا شماره پیگیری را وارد کنید."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","مدل کل باید از \Magento\Sales\Model\Order\Total\AbstractTotal گسترش یابد."
"An invoice cannot be created when an order has a status of %1","فاکتور ایجاد نمی باشد هنگامی که وضعیت سفارش %1 باشد"
"A creditmemo can not be created when an order has a status of %1","یادداشت اعتباری نمیتواند زمانی ایجاد شود هنگامی که یک سفارش %1 داشته باشید"
"The order does not allow a creditmemo to be created.","سفارش اجازه ایجاد یادداشت اعتباری را نمی دهد."
"A shipment cannot be created when an order has a status of %1","هنگام سفارش یک وضعیت %1 یک حمل و نقل ایجاد نمی شود"
"The order does not allow a shipment to be created.","سفارش اجازه نمیدهد که حمل و نقل ایجاد شود."
"""Creditmemo Document Validation Error(s):\n"" .","""خطا (ها) ی تایید مدارک یادداشت اعتبار: \n""."
"Could not save a Creditmemo, see error log for details","یادداشت اعتباری ذخیره نشد  برای جزئیات بیشتر به خطای ورود مراجعه کنید"
"We cannot determine the field name.","ما قادر به تعیین نام فیلد نیستیم."
"City","شهر"
"Company","شركت"
"Country","كشور"
"Email","ايميل"
"First Name","نام"
"Last Name","نام خانوادگی"
"State/Province","استان / شهرستان"
"Street Address","خیابان"
"Phone Number","شماره تلفن"
"Zip/Postal Code","کد پستی"
