"Credit Memos","المذكرة الائتمانية"
"View Another Order","View Another Order"
"About Your Refund","About Your Refund"
"My Orders","طلباتي"
"Subscribe to Order Status","من اجل الاشتراك في حالة"
"About Your Invoice","About Your Invoice"
"Print Order # %1","طباعة طلب الشراء # %1"
"Grand Total to be Charged","مستحق الدفع"
"Unassign","إلغاء التعيين"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","You sent the message."
"Sales","المبيعات"
"Invoice capturing error","Invoice capturing error"
"This order no longer exists.","طلب الشراء هذا لم يعد موجودا."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","We cannot add order history."
"You updated the order address.","لقد قمت بتحديث عنوان الطلب."
"We can't update the order address right now.","لا يمكن تحديث العنوان الآن."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","You canceled the order."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" coupon code was not applied. Do not apply discount is selected for item(s)"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","The coupon code has been accepted."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","طلب شراء جديد"
"You created the order.","قمت بإنشاء الطلب."
"Order saving error: %1","أمر حفظ الخطأ: %1"
"Cannot add new comment.","Cannot add new comment."
"The credit memo has been canceled.","The credit memo has been canceled."
"Credit memo has not been canceled.","Credit memo has not been canceled."
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"We can't update the item's quantity right now.","لا يمكن تحديث كمية هذا المنتج الآن."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The order no longer exists.","The order no longer exists."
"We can't create credit memo for the order.","We can't create credit memo for the order."
"Edit Order","تعديل الطلب"
"You sent the order email.","You sent the order email."
"We can't send the email order right now.","We can't send the email order right now."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","You put the order on hold."
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been captured.","The invoice has been captured."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","فاتورة جديدة"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email right now.","لا يمكن إرسال الفاتورة للبريد الإلكتروني الآن."
"We can't send the shipment right now.","لا يمكن إرسال الشحنة الآن."
"Cannot update item quantity.","لا يمكن تحديث كمية المنتج."
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"The payment has been accepted.","The payment has been accepted."
"The payment has been denied.","The payment has been denied."
"Transaction has been approved.","تمت الموافقة على المعاملة."
"Transaction has been voided/declined.","تم رفض المعاملة."
"There is no update for the transaction.","لا يوجد أي تحديثات لهذه المعاملة."
"We can't update the payment right now.","لا يمكن أن نقوم بتحديث الدفع الآن."
"You assigned the order status.","You assigned the order status."
"Something went wrong while assigning the order status.","Something went wrong while assigning the order status."
"We can't find this order status.","We can't find this order status."
"Create New Order Status","Create New Order Status"
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You saved the order status.","You saved the order status."
"We can't add the order status right now.","We can't add the order status right now."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while unassigning the order.","Something went wrong while unassigning the order."
"Can't unhold order.","Can't unhold order."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Exception occurred during order load"
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"You saved the gift card message.","You saved the gift card message."
"The payment has been voided.","The payment has been voided."
"We can't void the payment right now.","We can't void the payment right now."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","الطلبات والمرتجعات"
"Home","الصفحة الرئيسية"
"Go to Home Page","الانتقال إلى الصفحة الرئيسية"
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We can't find this wish list.","لا يمكننا ايجاد قائمة الامنيات هذه."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","عنوان الشحن: "
"Billing Address: ","Billing Address: "
"Please specify order items.","Please specify order items."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","This payment method is not available."
"Validation is failed.","Validation is failed."
"You did not email your customer. Please check your email settings.","انت لم ترسل اي رسائل بريد الكتروني للعميل. الرجاء التحقق من إعدادات البريد الإلكتروني الخاص بك."
"-- Please Select --","--الرجاء الاختيار-"
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"Guest","زائر"
"Please enter the first name.","الرجاء ادخال الاسم الاول."
"Please enter the last name.","الرجاء ادخال الاسم الاخير."
"Please enter the street.","رجاء إدخال الشارع."
"Please enter the city.","رجاء إدخال المدينة."
"Please enter the phone number.","الرجاء إدخال رقم الهاتف."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","الرجاء إدخال الرمز البريدي."
"Please enter the country.","الرجاء إدخال الدولة."
"Please enter the state/province.","Please enter the state/province."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","في إنتظار المُراجعة"
"Refunded","اعادة ايجاد"
"Canceled","تم الإلغاء"
"Unknown State","دول غير معروفة"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","You can't create a creditmemo without products."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","مدفوع"
"We cannot register an existing invoice","We cannot register an existing invoice"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice."
"Order Id is required for invoice document","Order Id is required for invoice document"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1""."
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order."
"ID required","ID required"
"Unknown Status","حالة غير معروفة"
"Ordered","تم الطلب"
"Shipped","تم الشحن"
"Invoiced","فاتورة"
"Backordered","طلبات لمنتجات غير متوفرة"
"Returned","اعادة"
"Partial","جزئي"
"Mixed","مختلط"
"Registered a Void notification.","Registered a Void notification."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo."
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","Approved the payment online."
"There is no need to approve this payment.","There is no need to approve this payment."
"Denied the payment online","Denied the payment online"
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"There is no update for the payment.","There is no update for the payment."
"Voided authorization.","Voided authorization."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","رقم المعاملة: ""%1"""
"The payment method you requested is not available.","The payment method you requested is not available."
"The payment disallows storing objects.","The payment disallows storing objects."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"Payment transactions disallow storing objects.","حركات الدفع لا تسمح بتخزين الكائنات."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"Order","طلب"
"Authorization","التفويض"
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment and order id.","Please set a proper payment and order id."
"Please enter a Transaction ID.","Please enter a Transaction ID."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Order # ","رقم الطلب # "
"Order Date: ","تاريخ الطلب: "
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Payment Method:","طريقة الدفع:"
"Shipping Method:","طريقة الشحن:"
"Total Shipping Charges","إجمالي رسوم الشحن"
"Title","العنوان"
"Number","رقم"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","نحن لم نتعرف على رسم خط البيانات. الرجاء تعريف الـ \"lines\" للمصفوفة."
"Products","المنتجات"
"Total (ex)","Total (ex)"
"Qty","الكميّة"
"Tax","الضريبة"
"Total (inc)","Total (inc)"
"Credit Memo # ","مذكرة الائتمان # "
"Invoice # ","فاتورة # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","غير شامل الضريبة"
"Incl. Tax","شامل الضريبة"
"Packing Slip # ","Packing Slip # "
"title","العنوان"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","We cannot register an existing shipment"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Order Id is required for shipment document"
"You can't create a shipment without products.","You can't create a shipment without products."
"The shipment contains product SKU ""%1"" that is not part of the original order.","The shipment contains product SKU ""%1"" that is not part of the original order."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1""."
"Please enter a tracking number.","الرجاء إدخال رقم تتبع."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","An invoice cannot be created when an order has a status of %1"
"A creditmemo can not be created when an order has a status of %1","A creditmemo can not be created when an order has a status of %1"
"The order does not allow a creditmemo to be created.","The order does not allow a creditmemo to be created."
"A shipment cannot be created when an order has a status of %1","A shipment cannot be created when an order has a status of %1"
"The order does not allow a shipment to be created.","The order does not allow a shipment to be created."
"""Creditmemo Document Validation Error(s):\n"" .","""Creditmemo Document Validation Error(s):\n"" ."
"Could not save a Creditmemo, see error log for details","Could not save a Creditmemo, see error log for details"
"We cannot determine the field name.","لا يمكن تحديد اسم الحقل."
"City","المدينة"
"Company","الشركة"
"Country","الدولة"
"Email","البريد الإلكتروني"
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"State/Province","ولاية/محافظة"
"Street Address","عنوان الشارع"
"Phone Number","رقم الهاتف"
"Zip/Postal Code","الرمز البريدي"
"We can't save the address:\n%1","We can't save the address:\n%1"
"Cannot save comment:\n%1","Cannot save comment:\n%1"
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"We cannot create an empty shipment.","We cannot create an empty shipment."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","الطلبات الجديدة"
"Order #%1 created at %2","الطلب #%1 انشأ في %2"
"Details for %1 #%2","تفاصيل %1 #%2"
"Notified Date: %1","Notified Date: %1"
"Comment: %1<br/>","تعليق: %1 <br/>"
"Current Status: %1<br/>","الوضع الحالي: %1 <br/>"
"Total: %1<br/>","المجموع: %1 <br/>"
"Order # %1 Notification(s)","الطلب # %1 اعلامات"
"You can not cancel Credit Memo","You can not cancel Credit Memo"
"Could not cancel creditmemo","Could not cancel creditmemo"
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"""Shipment Document Validation Error(s):\n"" .","""Shipment Document Validation Error(s):\n"" ."
"Could not save a shipment, see error log for details","Could not save a shipment, see error log for details"
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"Pending Payment","Pending Payment"
"Processing","المعالجة"
"On Hold","امساك"
"Complete","تكملة"
"Closed","مغلق"
"Suspected Fraud","Suspected Fraud"
"Payment Review","Payment Review"
"New","جديد"
"Product doesn't exist","Product doesn't exist"
"test message","test message"
"Email has not been sent","Email has not been sent"
"Authorized amount of %1","Authorized amount of %1"
" Transaction ID: ""%1"""," Transaction ID: ""%1"""
"View","عرض"
"Group was removed","Group was removed"
"Changing address information will not recalculate shipping, tax or other order amount.","Changing address information will not recalculate shipping, tax or other order amount."
"Comment Text","نص التعليق"
"Notify Customer by Email","إبلغ العميل بالبريد الإلكتروني"
"Visible on Storefront","Visible on Storefront"
"Customer","زبون"
"Notified","اشعار"
"Not Notified","Not Notified"
"No Payment Methods","لا يوجد طرق للدفع"
"Order Comments","ملاحظات الطلب"
"Apply Coupon Code","تطبيق رمز قسيمة الخصم"
"Apply","تطبيق"
"Remove Coupon Code","إزالة رمز قسيمة الخصم"
"Remove","ازالة"
"Address Information","معلومات العنوان"
"Payment &amp; Shipping Information","Payment &amp; Shipping Information"
"Order Total","إجمالي الطلب"
"Order Currency:","عملة الطلب:"
"Same As Billing Address","مثل عنوان الفاتورة"
"Select from existing customer addresses:","اختر من القائمة عناوين العملاء:"
"Add New Address","أضف عنوان جديد"
"Save in address book","Save in address book"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Gift Message for the Entire Order"
"Leave this box blank if you don't want to leave a gift message for the entire order.","اترك هذا المربع فارغاً إذا كنت لا تريد أن تترك رسالة هدية للطلبية بأكملها."
"Row Subtotal","إجمالي الصف"
"Action","إجراء"
"No ordered items","لا الأصناف المطلوبة"
"Update Items and Quantities","تحديث الأصناف والكميات"
"Total %1 product(s)","%1 إجمالي المنتج (المنتجات)"
"Subtotal:","الاجمالي"
"Tier Pricing","تسعير الطبقة"
"Custom Price","سعر مخصص"
"Please select","أختر من فضلك"
"Move to Shopping Cart","الانتقال إلى سلة التسوق"
"Move to Wish List","الانتقال إلى قائمة الامنيات"
"Subscribe to Newsletter","الاشتراك في القائمة البريدية"
"Click to change shipping method","اضغط لتغيير طريقة الشحن"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","الحصول على طرق ومعدلات الشحن"
"You don't need to select a shipping method.","لا تحتاج إلى تحديد أسلوب شحن."
"Customer's Activities","أنشطة العميل"
"Refresh","التحديث"
"Item","سلعة"
"Add To Order","إضافة إلى الطلب"
"Configure and Add to Order","Configure and Add to Order"
"No items","لا يوجد سلع"
"Append Comments","ارفاق التعليقات"
"Email Order Confirmation","البريد الإلكتروني لتأكيد الطلب"
"Grand Total Excl. Tax","المجموع الكلي غير شامل الضريبة"
"Grand Total Incl. Tax","المجموع الكلي شامل الضريبة"
"Subtotal (Excl. Tax)","الإجمالي (غير شامل الضريبة)"
"Subtotal (Incl. Tax)","الإجمالي (شامل الضريبة)"
"Payment &amp; Shipping Method","Payment &amp; Shipping Method"
"Payment Information","معلومات الدفع"
"The order was placed using %1.","The order was placed using %1."
"Shipping Information","بيانات الشحن"
"Items to Refund","عناصر للاسترداد"
"Return to Stock","Return to Stock"
"Qty to Refund","الكمية للإسترداد"
"Tax Amount","كمية الضريبة"
"Discount Amount","تخفيض الكمية"
"Row Total","مجموع الصف"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","ملاحظات المذكرة الائتمانية"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","نسخة البريد الالكتروني للمذكرة الائتمانية"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","استرداد البنود"
"No Items","No Items"
"Memo Total","Memo Total"
"Credit Memo History","  تاريخ المذكرة الائتمانية "
"Credit Memo Totals","مجموع المذكرة الاتمانية"
"Customer Name: %1","اسم العميل: %1"
"Purchased From: %1","تم شراؤه من: %1"
"Gift Message","رسالة الاهداء"
"From:","من:"
"To:","إلى:"
"Message:","الرسالة:"
"Shipping &amp; Handling","الشحن و التوصيل"
"Gift Options","خيارات الهدية"
"Create Shipment","إنشاء شحن"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","الكمية للفوترة"
"Invoice History","تاريخ الفاتورة"
"Invoice Comments","تعليقات الفاتورة"
"Invoice Totals","مجموع الفاتورة"
"Amount","الكمية"
"Capture Online","اسر داخل الشبكة"
