"Credit Memos","Kreditnotor"
"You have put %1 order(s) on hold.","Du har parkerat %1 beställningar."
"%1 order(s) were not released from on hold status.","%1 order släpptes inte från parkerad status."
"No order(s) were released from on hold status.","Ingen beställning släpptes från parkerad status."
"%1 order(s) have been released from on hold status.","%1 du har släppts från parkerad status."
"There are no printable documents related to selected orders.","Det finns inga utskrivbara dokument relaterade till valda order."
"The payment has been accepted.","Betalningen har godkänts."
"The payment has been denied.","Betalningen har nekats."
"Transaction has been approved.","Transaktionen har godkänts."
"Transaction has been voided/declined.","Transaktionen har blivit annullerad/avslagen."
"There is no update for the transaction.","Det finns ingen uppdatering för transaktionen."
"We can't update the payment right now.","We can't update the payment right now."
"You assigned the order status.","Du tilldelade ordern en ny orderstatus."
"Something went wrong while assigning the order status.","Något gick fel vid tilldelandet av en ny orderstatus."
"We can't find this order status.","We can't find this order status."
"Create New Order Status","Skapa ny orderstatus"
"We found another order status with the same order status code.","Vi hittade en annan orderstatus med samma order statuskod."
"You saved the order status.","Du har sparat en ny orderstatus."
"We can't add the order status right now.","We can't add the order status right now."
"You have unassigned the order status.","Du har annulerat orderstatusen."
"Something went wrong while unassigning the order.","Något gick fel när du tar bort ordern."
"Can't unhold order.","Can't unhold order."
"You released the order from holding status.","Du släppte ordern från parkerad status."
"The order was not on hold.","Ordern var inte parkerad."
"Exception occurred during order load","Fel uppstod under orderbelastning"
"Something went wrong while saving the gift message.","Något gick fel när du sparar gåvomeddelande."
"You saved the gift card message.","Du sparade gåvomeddelandet."
"The payment has been voided.","Betalningen har makulerats."
"We can't void the payment right now.","We can't void the payment right now."
"Please correct the transaction ID and try again.","Korrigera transaktions-ID:t och försök igen."
"The transaction details have been updated.","Information om transaktionen har uppdaterats."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Beställningar och returer"
"Home","Hem"
"Go to Home Page","Gå till startsidan"
"You entered incorrect data. Please try again.","Du angett felaktiga uppgifter. Försök igen."
"We can't find this wish list.","Vi kan inte hitta denna önskelista."
"We could not add a product to cart by the ID ""%1"".","Vi kunde inte lägga till en produkt i varukorgen med ID ""%1""."
"There is an error in one of the option rows.","Det finns ett fel i en av raderna."
"Shipping Address: ","Leveransadress: "
"Billing Address: ","Faktureringsadress: "
"Please specify order items.","Ange beställningens artiklar."
"Please specify a shipping method.","Välj leveransmetod."
"Please specify a payment method.","Vänligen välj ett betalsätt."
"This payment method is not available.","Denna betalningsmetod är inte tillgänglig."
"Validation is failed.","Validering misslyckades."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"-- Please Select --","--Vänligen välj--"
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identifying Fields required"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","Vi kan inte annullera denna beställning."
"Guest","Gäst"
"Please enter the first name.","Ange förnamn."
"Please enter the last name.","Ange efternamn."
"Please enter the street.","Ange gatuadress."
"Please enter the city.","Ange postort."
"Please enter the phone number.","Vänligen ange telefonnumret."
"Please enter the company.","Ange företagsnamnet."
"Please enter the fax number.","Ange faxnummer."
"Please enter the zip/postal code.","Ange postnumret."
"Please enter the country.","Ange land."
"Please enter the state/province.","Ange region."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Väntar"
"Refunded","Återbetald"
"Canceled","Avbruten"
"Unknown State","Okänt tillstånd"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Kunde inte spara kreditnotans kommentar."
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"The creditmemo contains product item that is not part of the original order.","Kreditnotan innehåller artiklar som inte var med i den ursprungliga beställningen."
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity."
"Could not delete the credit memo item.","Could not delete the credit memo item."
"Could not save the credit memo item.","Could not save the credit memo item."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order."
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1""."
"You can't create a creditmemo without products.","Du kan inte skapa en kreditnota utan produkter."
"The most money available to refund is %1.","The most money available to refund is %1."
"Could not delete credit memo","Could not delete credit memo"
"Could not save credit memo","Could not save credit memo"
"This order already has associated customer account","This order already has associated customer account"
"Paid","Betald"
"We cannot register an existing invoice","Vi kan inte registrera en befintlig faktura"
"Could not delete the invoice comment.","Could not delete the invoice comment."
"Could not save the invoice comment.","Could not save the invoice comment."
"Could not delete the invoice item.","Could not delete the invoice item."
"Could not save the invoice item.","Could not save the invoice item."
"We can't create creditmemo for the invoice.","Vi kan inte skapa kreditnota för fakturan."
"Order Id is required for invoice document","Beställnings-id krävs för fakturadokumentet"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","Kvantiteten som ska faktureras får inte vara större än antalet ofakturerade för produkten SKU ”%1”."
"The invoice contains one or more items that are not part of the original order.","Fakturan innehåller artiklar som inte är en del av den ursprungliga beställningen."
"ID required","ID required"
"Unknown Status","Okänd status"
"Ordered","Beställd"
"Shipped","Skickad"
"Invoiced","Fakturerad"
"Backordered","Restnoterade"
"Returned","Återlämnad"
"Partial","Partiell"
"Mixed","Blandad"
"Registered a Void notification.","Registrerat ett makulerat meddelande."
"If the invoice was created offline, try creating an offline credit memo.","Om fakturan har skapats offline, försöka skapa en kreditnota för offline."
"We refunded %1 online.","Vi återbetalade %1 online."
"We refunded %1 offline.","Vi återbetalade %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Återbetalas"". Återbetalning utfärdas av köpman. Registrerad anmälan om återbetalade beloppet av %1. Transaktions-ID: ""%2"". Kreditnotan har inte skapats. Vänligen skapa offline kreditnota."
"The credit memo has been created automatically.","Kreditnotan har skapats automatiskt."
"Registered notification about refunded amount of %1.","Registrerad anmälan om återbetalade beloppet av %1."
"Canceled order online","Beställningen makulerades online"
"Canceled order offline","Beställningen makulerades offline"
"Approved the payment online.","Godkänt betalningen online."
"There is no need to approve this payment.","Det finns inget behov av att godkänna denna betalning."
"Denied the payment online","Nekad betalning online"
"Registered update about approved payment.","Registrerad uppdatering om godkänd betalning."
"Registered update about denied payment.","Registrerad uppdatering om nekad betalning."
"There is no update for the payment.","Det finns ingen uppdatering för betalningen."
"Voided authorization.","Annullerad auktorisering."
"Amount: %1.","Belopp: %1."
"Transaction ID: ""%1""","Transaktions-ID: ""%1"""
"The payment method you requested is not available.","Den betalningsmetod som du har angett är inte tillgänglig."
"The payment disallows storing objects.","Betalningen godkänner inte att lagra objekt."
"The transaction ""%1"" cannot be captured yet.","Transaktionen ""%1"" kan inte fångas ännu."
"The parent transaction ID must have a transaction ID.","Överordnat transaktions-ID måste ha ett transaktions-ID."
"Payment transactions disallow storing objects.","Betalningstransaktioner förbjuder lagring av objekt."
"The transaction ""%1"" (%2) is already closed.","Transaktionen ""%1"" (%2) är redan stängd."
"Set order for existing transactions not allowed","Ange ordning för befintliga transaktioner som inte är tillåtna"
"At minimum, you need to set a payment ID.","Du måste åtminstone ange ett betalnings-ID."
"Order","Beställning"
"Authorization","Auktorisering"
"We found an unsupported transaction type ""%1"".","Vi hittade en transaktionstyp ""%1"" som inte stödjs."
"Please set a proper payment and order id.","Vänligen ange ett korrekt betalnings och beställning-id."
"Please enter a Transaction ID.","Vänligen ange ett transaktion-ID."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Order # ","Beställnings nr "
"Order Date: ","Orderdatum: "
"Sold to:","Såldes till:"
"Ship to:","Leverera till:"
"Payment Method:","Betalningsmetod:"
"Shipping Method:","Leveransmetod:"
"Total Shipping Charges","Totala fraktkostnader"
"Title","Titel"
"Number","Antal"
"We found an invalid renderer model.","Vi hittade en ogiltig renderings-modell."
"Please define the PDF object before using.","Ange PDF-objektet innan användning."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Products","Produkter"
"Total (ex)","Totalt (exkl)"
"Qty","Antal"
"Tax","Skatt"
"Total (inc)","Totalt (inkl)"
"Credit Memo # ","Kreditnota # "
"Invoice # ","Faktura # "
"The order object is not specified.","Beställningsobjektet är inte angivet."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","Ett PDF-objekt är inte angivet."
"A PDF page object is not specified.","A PDF page object is not specified."
"Excl. Tax","-Exkl. Moms"
"Incl. Tax","Inkl. Moms"
"Packing Slip # ","Följesedel # "
"title","titel"
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"Received check doesn't match interface","Received check doesn't match interface"
"We cannot register an existing shipment","Vi kan inte registrera en befintlig leverans"
"Could not delete the shipment comment.","Could not delete the shipment comment."
"Could not save the shipment comment.","Could not save the shipment comment."
"Could not delete the shipment item.","Could not delete the shipment item."
"Could not save the shipment item.","Could not save the shipment item."
"Parent shipment cannot be loaded for track object.","Parent shipment cannot be loaded for track object."
"Could not delete the shipment tracking.","Could not delete the shipment tracking."
"Could not save the shipment tracking.","Could not save the shipment tracking."
"Order Id is required for shipment document","Beställnings-id krävs för leveransdokumentet"
"You can't create a shipment without products.","Du kan inte skapa en leverans utan artiklar."
"The shipment contains product SKU ""%1"" that is not part of the original order.","Leveransen innehåller artikel ""%1"" som inte var med i den ursprungliga beställningen."
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","Kvantiteten som ska levereras får inte vara större än antalet olevererade för produkten SKU ”%1”."
"Please enter a tracking number.","Du måste ange ett spårningsnummer."
"Could not delete shipment","Could not delete shipment"
"Could not save shipment","Could not save shipment"
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Status can't be unassigned, because it is used by existing order(s).","Status can't be unassigned, because it is used by existing order(s)."
"Could not delete the order status history.","Could not delete the order status history."
"Could not save the order status history.","Could not save the order status history."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"An invoice cannot be created when an order has a status of %1","En faktura kan inte skapas när beställningen har status %1"
"A creditmemo can not be created when an order has a status of %1","En kreditnota kan inte skapas när beställningen har status %1"
"The order does not allow a creditmemo to be created.","Beställningen tillåter inte att en kreditnota skapas."
"A shipment cannot be created when an order has a status of %1","En leverans kan inte skapas när beställningen har status %1"
"The order does not allow a shipment to be created.","Beställningen tillåter inte att en leverans skapas."
"""Creditmemo Document Validation Error(s):\n"" .","""Kreditnotan har dokumentvalideringsfel: \n""."
"Could not save a Creditmemo, see error log for details","Kunde inte spara en kreditnota, se felloggen för mer information"
"We cannot determine the field name.","Vi kan inte avgöra fältnamnet."
"City","Stad"
"Company","Företag"
"Country","Land"
"Email","E-post"
"First Name","Förnamn"
"Last Name","Efternamn"
"State/Province","Län"
"Street Address","Gatuadress"
"Phone Number","Telefonnummer"
"Zip/Postal Code","Postnummer"
"We can't save the address:\n%1","Vi kan inte spara din adress: \n%1"
"Cannot save comment:\n%1","Kan inte spara kommentar: \n%1"
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"We cannot create an empty shipment.","Vi kan inte skapa en tom leverans."
"Cannot save track:\n%1","Cannot save track:\n%1"
"Cannot unassign status from state","Cannot unassign status from state"
"New Orders","Nya beställningar"
"Order #%1 created at %2","Beställning #%1 skapades %2"
"Details for %1 #%2","Detaljer för %1 #%2"
"Notified Date: %1","Meddelad: %1"
"Comment: %1<br/>","Kommentar: %1<br/>"
"Current Status: %1<br/>","Aktuell Status: %1<br/>"
"Total: %1<br/>","Totalt: %1<br/>"
"Order # %1 Notification(s)","Beställning # %1 meddelanden"
"You can not cancel Credit Memo","Du kan inte avbryta kreditnota"
"Could not cancel creditmemo","Kunde inte avbryta kreditnota"
"We cannot register an existing credit memo.","Vi kan inte registrera en befintlig kreditnota."
"We found an invalid quantity to invoice item ""%1"".","Ogiltigt antal att fakturera objekt ""%1""."
"The Order State ""%1"" must not be set manually.","Tillståndet för ""%1"" kan inte anges manuellt."
"""Shipment Document Validation Error(s):\n"" .","""Leveransen har dokument validering fel: \n""."
"Could not save a shipment, see error log for details","Kunde inte spara en sändning, se felloggen för mer information"
"VAT Request Identifier","MOMS begärande-ID"
"VAT Request Date","MOMS begäran datum"
"Pending Payment","Inväntar betalning"
"Processing","Bearbetar"
"On Hold","Parkerad"
"Complete","Slutförd"
"Closed","Stängd"
"Suspected Fraud","Misstänkt bedrägeri"
"Payment Review","Betalningsgranskning"
"New","Ny"
"Product doesn't exist","Produkten finns inte"
"test message","testmeddelande"
"Email has not been sent","E-post har inte skickats"
"Authorized amount of %1","Godkänt belopp %1"
" Transaction ID: ""%1"""," Transaktions-ID: ""%1"""
"View","Visa"
"Group was removed","Gruppen togs bort"
"Changing address information will not recalculate shipping, tax or other order amount.","När du ändrar adressuppgifter kommer inte beräkna om frakt-, skatte- eller andra Orderbelopp."
"Comment Text","Kommentarstext"
"Notify Customer by Email","Meddela kunden via e-post"
"Visible on Storefront","Synlig i butiksvyn"
"Customer","Kund"
"Notified","Notis Skickad"
"Not Notified","Inte anmält"
"No Payment Methods","Inga betalningsmetoder tillgängliga"
"Order Comments","Kommentarer till beställning"
"Apply Coupon Code","Använd kupongkod"
"Apply","Tillämpa"
"Remove Coupon Code","Ta bort kupongkoden"
"Remove","Ta bort"
"Address Information","Adressinformation"
"Payment &amp; Shipping Information","Betalning &amp; fraktInformation"
"Order Total","Ordersumma"
"Order Currency:","Ordervaluta:"
"Same As Billing Address","Samma som faktureringsadress"
"Select from existing customer addresses:","Välj från befintliga kundadresser:"
"Add New Address","Lägg till ny adress"
"Save in address book","Spara i adressboken"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Gåvameddelande för hela ordern"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Leave this box blank if you don't want to leave a gift message for the entire order."
"Row Subtotal","Raden delsumma"
"Action","Åtgärd"
"No ordered items","Inga beställda artiklar"
"Update Items and Quantities","Uppdatera artiklar och kvantiteter"
"Total %1 product(s)","Totala %1 produkt(er)"
"Subtotal:","Delsumma:"
"Tier Pricing","Tier prissättning"
"Custom Price","Anpassat Pris"
"Please select","Vänligen välj"
"Move to Shopping Cart","Lägg till i kundvagnen"
"Move to Wish List","Flytta till i önskelistan"
"Subscribe to Newsletter","Prenumerera på Nyhetsbrev"
"Click to change shipping method","Klicka för att ändra leveransmetod"
"Sorry, no quotes are available for this order.","Inga offerter tillgängliga för beställningen."
"Get shipping methods and rates","Hämta leveransmetoder och priser"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Refresh","Ladda om"
"Item","Artikel"
"Add To Order","Lägg till i order"
"Configure and Add to Order","Konfigurera och lägg till i beställningen"
"No items","Inga artiklar"
"Append Comments","Lägg till kommentarer"
"Email Order Confirmation","Orderbekräftelse e-post"
"Grand Total Excl. Tax","Totalsumma Exkl. Moms"
"Grand Total Incl. Tax","Totalsumma Inkl. Moms"
"Subtotal (Excl. Tax)","Delsumma (Exkl. Moms)"
"Subtotal (Incl. Tax)","Delsumma (Inkl. Moms)"
"Payment &amp; Shipping Method","Betalning &amp; leveransmetod"
"Payment Information","Betalinformation"
"The order was placed using %1.","Den beställning gjordes med hjälp av %1."
"Shipping Information","Leveransinformation"
"Items to Refund","Artiklar att Återbetala"
"Return to Stock","Tillbaka till lager"
"Qty to Refund","Antal att Återbetala"
"Tax Amount","Momsbelopp"
"Discount Amount","Rabattbelopp"
"Row Total","Radsumma"
"No Items To Refund","Inga Artiklar att Återbetala"
"Credit Memo Comments","Kommentarer kreditnota"
