"Customer Address Attributes","Attributs d’adresse client"
"Manage Form Types","Gérer les types de formulaires"
"New Form Type","Nouveau type de formulaire"
"Edit Form Type ""%1""","Editer le type de formulaire ""%1"""
"General Information","Informations générales"
"-- Please Select --","-- Faites un choix --"
"Based On","Basé sur"
"Form Label","Libellé de formulaire"
"All Themes","Tous les thèmes"
"For Theme","Pour thème"
"Store View","Vue magasin"
"Form Code","Code du formulaire"
"Form Title","Titre du formulaire"
"General","Général"
"New Fieldset","Nouvel ensemble de champs"
"Save","Sauvegarder"
"Remove","Supprimer"
"Cancel","Annuler"
"Attributes","Attributs"
"Form Type Information","Informations sur le type de formulaire"
"Type Code","Code du type"
"Label","Libellé"
"Theme","Nom de fichier du flux TheFind"
"System","Système"
"Customer","Client"
"Manage Customer Address Attributes","Gérer les attributs de l'adresse client"
"You cannot delete this attribute.","Impossible de supprimer cet attribut."
"You deleted the customer address attribute.","Vous avez supprimé l'adresse du client attribut."
"We can't delete the customer address attribute right now.","Nous ne pouvons pas supprimer l'attribut d'adresse client pour le moment."
"This attribute no longer exists.","Cet attribut n'existe plus."
"You cannot edit this attribute.","Impossible de modifier cet attribut."
"Edit Customer Address Attribute","Modifier un attribut de l'adresse client"
"You saved the customer address attribute.","Vous avez enregistré l'adresse du client attribut."
"We can't save the customer address attribute right now.","Nous ne pouvons pas sauvegarder l'attribut d'adresse client pour le moment."
"An attribute with this code already exists.","Un attribut avec ce code existe déjà."
"Manage Customer Attributes","Gérer les attributs du client"
"You deleted the customer attribute.","Vous avez supprimé l'attribut du client."
"The attribute no longer exists.","L'attribut n'existe plus."
"Edit Customer Attribute","Modifier un attribut du client"
"You saved the customer attribute.","Vous avez sauvegardé l'attribut du client."
"We can't save the form type right now.","Vous ne pouvez pas sauvegarder le type de formulaire pour le moment."
"This system form type cannot be deleted.","Ce système de type de formulaire ne peut pas être supprimé."
"The form type has been deleted.","Le type de formulaire a été supprimé."
"We can't delete the form type right now.","Nous ne pouvons pas supprimer le type de formulaire dès maintenant."
"Customer Address Registration","Enregistrement d'une adresse client"
"Customer Account Address","Adresse du compte client"
"Customer Registration","Enregistrement d'un client"
"Customer Account Edit","Modification du compte client"
"Admin Checkout","Vérification de l'administration"
"Use helper with defined EAV entity.","Utiliser une connexion FTP"
"Length Only","Longueur seulement"
"An attribute code must not be more than %1 characters.","Un code d'attribut ne doit pas faire plus de %1 caractères."
"Use Default Value","Utiliser la valeur par défaut"
"Fieldset Properties","Propriétés de l'ensemble des champs"
"Fieldset Title","Titre de l'ensemble des champs"
"Fieldset Code","Code de l'ensemble des champs"
"A fieldset with the same code alredy exists.","Un jeu de champs avec le même code déjà existant."
"This fieldset is not empty!","L'ensemble des champs n'est pas vide !"
"Choose Website:","Choisissez un site Web :"
"Please confirm site switching. All data that hasn't been saved will be lost.","Veuillez confirmer le changement de site. Toutes les données non sauvegardées seront perdues."
"* Required Fields","* Champs obligatoires"
"Contact Information","Informations de contact"
"Address","Adresse"
"Street Address","Adresse"
"Street Address %1","Adresse %1"
"VAT Number","N° de TVA"
"City","Ville"
"State/Province","État/Région"
"Please select a region, state or province.","Merci de sélectionner une région, une état ou une province."
"Zip/Postal Code","Code postal"
"Country","Pays"
"This is your default billing address.","Ceci est votre adresse de facturation par défaut."
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"This is your default shipping address.","Ceci est votre adresse de livraison par défaut."
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"Save Address","Sauvegarder l'adresse"
"Go back","Retour"
"Account Information","Informations du compte"
"Change Email","Changer l'email"
"Change Password","Modifier le mot de passe"
"Change Email and Password","Changer l'email et le mot de passe"
"Email","Email"
"Current Password","Mot de passe actuel"
"New Password","Nouveau mot de passe"
"Password Strength","Sécurité du mot de passe"
"No Password","Pas de mot de passe"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Personal Information","Informations personnelles"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"Address Information","Informations d'adresse"
"Company","Société"
"Phone Number","Numéro de téléphone"
"Sign-in Information","Informations de connexion"
"Password","Mot de passe"
"Confirm Password","Confirmer le mot de passe"
"Create an Account","Créer un compte"
"Back","Retour"
"Customer Address","Adresse du client"
"Default Values","Valeurs par défaut"
"Fax","Fax"
"Default Billing Address","Adresse de facturation par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Comma separated. Forbidden file extensions: %1.","Séparés par des virgules. Extensions de fichiers interdites : %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","L'attribut n'a pas pu être sauvegardé en raison d'une erreur. Vérifiez vos informations et réessayez. Si l'erreur persiste, veuillez réessayer plus tard."
"Please correct the value for file extensions.","Veuillez corriger la valeur des extensions de fichiers."
"Store Credit","Crédit du magasin"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","Le code d'attribut doit être de %1 caractères ou moins. Resaisir le code et réessayer."
