"Customer Address Attributes","Alamat Pelanggan Atribut"
"Address Information","Informasi alamat"
"Company","Perusahaan"
"Phone Number","Nomor telepon"
"Sign-in Information","Sign-in Information"
"Password","Kata sandi"
"Confirm Password","Konfirmasi Sandi"
"Create an Account","Buat sebuah akun"
"Back","Kembali"
"Customer Address","Alamat pelanggan"
"Default Values","Nilai default"
"Fax","Faks"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
