"Customer Address Attributes","Müşteri Adres Bilgileri"
"Based On","Dayalı"
"Form Label","Form Etiketi"
"All Themes","Tüm Temalar"
"For Theme","Tema İçin"
"Store View","Mağaza Görünümü"
"Form Code","Form Kodu"
"Form Title","Form Başlığı"
"General","Genel"
"New Fieldset","Yeni Alankümesi"
"Save","Kaydet"
"Remove","Kaldır"
"Cancel","İptal"
"Attributes","Öznitelikler"
"Form Type Information","Form Türü Bilgileri"
"Type Code","Tür Kodu"
"Label","Etiket"
"Theme","Tema"
"System","Sistem"
"Customer","Müşteri"
"Manage Customer Address Attributes","Müşteri Adres Özniteliklerini Yönet"
"You cannot delete this attribute.","Bu niteliği silemezsiniz."
"You deleted the customer address attribute.","Müşteri adres özniteliğini sildiniz."
"We can't delete the customer address attribute right now.","Şu anda müşteri adresi özniteliğini silemezsiniz."
"This attribute no longer exists.","Bu özellik artık mevcut değil."
"You cannot edit this attribute.","Bu niteliği düzenleyemezsiniz."
"Edit Customer Address Attribute","Müşteri Adres Özniteliğini Düzenle"
"You saved the customer address attribute.","Müşteri adres özniteliğini kaydettiniz."
"We can't save the customer address attribute right now.","Müşteri adresi özniteliği sağ şu anda kaydedilemiyor."
"An attribute with this code already exists.","Bu koda sahip bir öznitelik zaten var."
"Manage Customer Attributes","Müşteri Özniteliklerini Yönet"
"You deleted the customer attribute.","Müşteri özniteliğini sildiniz."
"The attribute no longer exists.","Öznitelik artık mevcut değil."
"Edit Customer Attribute","Müşteri Özelliklerini Düzenle"
"You saved the customer attribute.","Müşteri özniteliğini kaydettiniz."
"We can't save the form type right now.","Şu anda form türünü kaydedemiyoruz."
"This system form type cannot be deleted.","Bu sistem formu türü silinemez."
"The form type has been deleted.","Form tipi silindi."
"We can't delete the form type right now.","Şu anda form türünü silemezsiniz."
"Customer Address Registration","Müşteri Adres Kaydı"
"Customer Account Address","Müşteri Hesap Adresi"
"Customer Registration","Müşteri Kaydı"
"Customer Account Edit","Müşteri Hesabı Düzenle"
"Admin Checkout","Yönetici Kontrolü"
"Use helper with defined EAV entity.","Tanımlanan EAV varlığıyla yardımcıyı kullanın."
"Length Only","Sadece uzunluk"
"An attribute code must not be more than %1 characters.","Bir özellik kodu %1 karakterden fazla olmamalıdır."
"Use Default Value","Varsayılan Değeri Kullan"
"Fieldset Properties","Dosya Özellikleri"
"Fieldset Title","Alan Başlığı"
"Fieldset Code","Alan Kodu"
"A fieldset with the same code alredy exists.","Aynı koda sahip bir dizi alan zaten mevcut."
"This fieldset is not empty!","Bu alan kümesi boşta değil!"
"Choose Website:","Web Sitesi Seçiniz:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Site geçişini onaylayınız. Kaydedilmemiş verileriniz kaybolacak."
"* Required Fields","* Zorunlu Alan"
"Contact Information","İletişim Bilgisi"
"Address","Adres"
"Street Address","Adres"
"Street Address %1","Sokak Adresi %1"
"VAT Number","Vergi Numarası"
"City","Şehir"
"State/Province","Eyalet/Şehir"
"Please select a region, state or province.","Lütfen bir bölge, eyalet veya şehir seçiniz."
"Zip/Postal Code","Zip/Posta Kodu"
"Country","Ülke"
"This is your default billing address.","Bu varsayılan fatura adresinizdir."
"Use as my default billing address","Varsayılan Fatura Adresim Olarak Kullan"
"This is your default shipping address.","Bu, varsayılan gönderim adresinizdir."
"Use as my default shipping address","Varsayılan Teslimat Adresim Olarak Kullan"
"Save Address","Adresi Kaydet"
"Go back","Geri dön"
"Account Information","Hesap Bilgisi"
"Change Email","E-posta değiştir"
"Change Password","Şifre Değiştir"
"Change Email and Password","E-posta ve Şifre değiştir"
"Email","E-posta"
"Current Password","Mevcut Şifre"
"New Password","Yeni Şifre"
"Password Strength","Parola Güvenlik Düzeyi"
"No Password","Şifre yok"
"Confirm New Password","Yeni Şifreyi Onayla"
"Personal Information","Kişisel Bilgi"
"Sign Up for Newsletter","Duyuru Servisine Abone Ol"
"Address Information","Adres Bilgisi"
"Company","Şirket"
"Phone Number","Telefon Numarası"
"Sign-in Information","Oturum-açma Bilgisi"
"Password","Şifre"
"Confirm Password","Yeni Şifre (Tekrar)"
"Create an Account","Bir Hesap Oluştur"
"Back","Geri"
"Customer Address","Müşteri Adresi"
"Default Values","Varsayılan Değerler"
"Fax","Faks"
"Default Billing Address","Varsayılan Fatura Adresi"
"Default Shipping Address","Varsayılan Teslimat Adresi"
"Comma separated. Forbidden file extensions: %1.","Virgülle ayrılmış. Yasak dosya uzantıları: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Bir hata nedeniyle özellik kaydedilemedi. Bilgilerinizi doğrulayıp tekrar deneyiniz. Hata devam ederse, lütfen daha sonra tekrar deneyin."
"Please correct the value for file extensions.","Lütfen dosya uzantılarının değerini düzeltin."
"Store Credit","Mağaza kredisi"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","Özellik kodunun %1 karakter veya daha az olması gerekir. Kodu tekrar girip ve tekrar deneyin."
