"Customer Address Attributes","ویژگی های آدرس مشتری"
"Type Code","کد را تایپ کنید"
"Label","برچسب"
"Theme","تم"
"System","سيستم"
"Customer","مشتری"
"Manage Customer Address Attributes","مدیریت ویژگی های آدرس مشتری"
"You cannot delete this attribute.","شما نمی توانید این ویژگی را حذف کنید."
"You deleted the customer address attribute.","ویژگی آدرس مشتری را حذف کردید."
"We can't delete the customer address attribute right now.","ما اکنون نمی توانیم ویژگی آدرس مشتری را حذف کنیم."
"This attribute no longer exists.","این ویژگی دیگر وجود ندارد."
"You cannot edit this attribute.","شما نمی توانید این ویژگی را ویرایش کنید."
"Edit Customer Address Attribute","ویرایش ویژگی آدرس مشتری"
"You saved the customer address attribute.","شما ویژگی آدرس مشتری را ذخیره کردید."
"We can't save the customer address attribute right now.","ما اکنون نمی توانیم ویژگی آدرس مشتری را حذف کنیم."
"An attribute with this code already exists.","یک ویژگی با این کد در حال حاضر وجود دارد."
"Manage Customer Attributes","مدیریت ویژگی های مشتری"
"You deleted the customer attribute.","ویژگی مشتری را حذف کردید."
"The attribute no longer exists.","این ویژگی دیگر وجود ندارد."
"Edit Customer Attribute","ویرایش ویژگی های مشتری"
"You saved the customer attribute.","شما ویژگی مشتری را ذخیره کرده اید."
"We can't save the form type right now.","ما اکنون نمی توانیم نوع فرم را ذخیره کنیم."
"This system form type cannot be deleted.","نوع فرم این سیستم را نمی توان حذف کرد."
"The form type has been deleted.","نوع فرم حذف شده است."
"We can't delete the form type right now.","ما اکنون نمیتوانیم نوع فرم را حذف کنیم."
"Customer Address Registration","ثبت آدرس مشتری"
"Customer Account Address","آدرس حساب مشتری"
"Customer Registration","ثبت نام مشتری"
"Customer Account Edit","ویرایش حساب مشتری"
"Admin Checkout","پرداخت نهایی مدیر"
"Use helper with defined EAV entity.","استفاده از helper با ورودی EAV تعریف شده."
"Length Only","فقط طول"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"Fieldset Properties","ویژگی های فیلدست"
"Fieldset Title","عنوان فیلدست"
"Fieldset Code","کد فیلدست"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","این فیلدست خالی نیست!"
"Choose Website:","وب سایت را انتخاب کنید:"
"Please confirm site switching. All data that hasn't been saved will be lost.","لطفا سوئیچینگ سایت را تایید کنید تمام داده هایی که ذخیره نشده اند از بین خواهند رفت."
"* Required Fields","* زمينه هاي مورد نياز"
"Contact Information","اطلاعات تماس"
"Address","آدرس"
"Street Address","خیابان"
"Street Address %1","خیابان %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","لطفا یک منطقه، استان یا شهرستان انتخاب کنید."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","این آدرس صورتحساب پیش فرض شما است."
"Use as my default billing address","استفاده به عنوان آدرس صورتحساب پیش فرض"
"This is your default shipping address.","این آدرس ارسال پیش فرض شما است."
"Use as my default shipping address","استفاده به عنوان آدرس ارسال پیش فرض‌"
"Save Address","ذخیره‌ آدرس"
"Go back","بازگشت"
"Account Information","اطلاعات حساب کاربری"
"Change Email","تعویض ایمیل"
"Change Password","تغییر کلمه عبور"
"Change Email and Password","تغییر ایمیل و کلمه عبور"
"Email","ايميل"
"Current Password","کلمه عبور فعلی"
"New Password","کلمه عبور جدید"
"Password Strength","قدرت کلمه عبور"
"No Password","بدون کلمه عبور"
"Confirm New Password","تأیید کلمه عبور جدید"
"Personal Information","اطلاعات شخصی"
"Sign Up for Newsletter","ثبت نام برای خبرنامه"
"Address Information","اطلاعات آدرس"
"Company","شركت"
"Phone Number","شماره تلفن"
"Sign-in Information","اطلاعات ورود"
"Password","کلمه عبور"
"Confirm Password","تأیید کلمه عبور"
"Create an Account","ایجاد حساب کاربری"
"Back","بازگشت"
"Customer Address","آدرس مشتری"
"Default Values","مقادیر پیش فرض"
"Fax","فكس"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
