"Customer Address Attributes","תכונות כתובת הלקוח"
"Use helper with defined EAV entity.","השתמש בhelper עם ישות EAV מוגדרים."
"Length Only","Length Only"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Use Default Value","השתמש בערך ברירת המחדל"
"Fieldset Properties","אפשרויות סט שדות"
"Fieldset Title","כותרת סט שדות"
"Fieldset Code","קוד סט שדות"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","סט שדות זה אינו ריק!"
"Choose Website:","בחר אתר:"
"Please confirm site switching. All data that hasn't been saved will be lost.","אנא אשר את החלפת האתרים. כל הנתונים אשר לא נשמרו יאבדו."
"* Required Fields","* שדות חובה"
"Contact Information","מידע ליצירת קשר"
"Address","כתובת"
"Street Address","כתובת רחוב"
"Street Address %1","כתובת רחוב %1"
"VAT Number","VAT Number"
"City","City"
"State/Province","State/Province"
"Please select a region, state or province.","נא בחר מדינה, אזור או מחוז."
"Zip/Postal Code","Zip/Postal Code"
"Country","Country"
"This is your default billing address.","זוהי כתובת ברירת המחדל שלך לחיוב."
"Use as my default billing address","קבע ככתובת ברירת המחדל לחיוב"
"This is your default shipping address.","זוהי כתובת ברירת המחדל שלך למשלוח."
"Use as my default shipping address","קבע ככתובת ברירת המחדל למשלוח"
"Save Address","שמור כתובת"
"Go back","חזור"
"Account Information","פרטי חשבון"
"Change Email","שנה כתובת דואר אלקטרוני"
"Change Password","שינוי סיסמה"
"Change Email and Password","שינוי דואר אלקטרוני וסיסמה"
"Email","דואר אלקטרוני"
"Current Password","סיסמא נוכחית"
"New Password","סיסמה חדשה"
"Password Strength","חוזק סיסמה"
"No Password","אין סיסמה"
"Confirm New Password","אימות סיסמה חדשה"
"Personal Information","פרטים אישיים"
"Sign Up for Newsletter","הרשמה לניוזלטר"
"Address Information","מידע אודות כתובת"
"Company","חברה"
"Phone Number","מספר טלפון"
"Sign-in Information","פרטי התחברות"
"Password","סיסמה"
"Confirm Password","אימות סיסמה"
"Create an Account","יצירת חשבון"
"Back","חזור"
"Customer Address","כתובת לקוח"
"Default Values","ערכי בררת מחדל"
"Fax","פקס"
"Default Billing Address","Default Billing Address"
"Default Shipping Address","Default Shipping Address"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Store Credit","Store Credit"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
