"Customer Address Attributes","顧客住所属性"
"We can't delete the customer address attribute right now.","現在顧客アドレス属性を削除できません。"
"This attribute no longer exists.","この属性はもう存在しません。"
"You cannot edit this attribute.","この属性は編集できません。"
"Edit Customer Address Attribute","住所属性を編集"
"You saved the customer address attribute.","顧客アドレス属性を保存しました。"
"We can't save the customer address attribute right now.","現在顧客アドレス属性を保存できません。"
"An attribute with this code already exists.","このコードの属性は既に存在します。"
"Manage Customer Attributes","顧客属性管理"
"You deleted the customer attribute.","顧客属性を削除しました。"
"The attribute no longer exists.","属性は存在しません。"
"Edit Customer Attribute","顧客属性を編集"
"You saved the customer attribute.","顧客属性を保存しました。"
"We can't save the form type right now.","フォームタイプは今すぐ保存できません。"
"This system form type cannot be deleted.","このシステムフォームタイプは削除できません。"
"The form type has been deleted.","フォームタイプが削除されました。"
"We can't delete the form type right now.","現在フォーム タイプを削除できません。"
"Customer Address Registration","顧客の住所登録"
"Customer Account Address","顧客アカウントアドレス"
"Customer Registration","顧客登録"
"Customer Account Edit","顧客アカウントの編集"
"Admin Checkout","管理者チェックアウト"
"Use helper with defined EAV entity.","定義されたEAVエンティティでヘルパーを使用します。"
"Length Only","Length Only"
"An attribute code must not be more than %1 characters.","属性コードは%1文字以上ではなりません。"
"Use Default Value","標準の値を使用"
"Fieldset Properties","フィールドセットのプロパティ"
"Fieldset Title","フィールドセットのタイトル"
"Fieldset Code","フィールドセットコード"
"A fieldset with the same code alredy exists.","同じコードを持つフィールドセットはすでに存在します。"
"This fieldset is not empty!","このフィールドセットは空ではありません！"
"Choose Website:","ウェブサイトを選択:"
"Please confirm site switching. All data that hasn't been saved will be lost.","サイトの切替を確認してください。保存されていないデータは失われます。"
"* Required Fields","* 必須項目"
"Contact Information","連絡先情報"
"Address","住所"
"Street Address","住所"
"Street Address %1","番地 %1"
"VAT Number","VAT番号"
"City","市区町村"
"State/Province","都道府県"
"Please select a region, state or province.","都道府県を選択してください"
"Zip/Postal Code","郵便番号"
"Country","国"
"This is your default billing address.","これがデフォルトの請求先住所です。"
"Use as my default billing address","標準ご連絡先住所として使用する"
"This is your default shipping address.","これがデフォルトの配送先住所です。"
"Use as my default shipping address","標準の配送先として使用する"
"Save Address","住所を保存"
"Go back","戻る"
"Account Information","アカウント情報"
"Change Email","メールアドレスを変更"
"Change Password","パスワード変更"
"Change Email and Password","メールアドレスとパスワードを変更する"
"Email","Eメール"
"Current Password","現在のパスワード"
"New Password","新パスワード"
"Password Strength","パスワードの強度"
"No Password","パスワード無し"
"Confirm New Password","新パスワード確認"
"Personal Information","個人情報"
"Sign Up for Newsletter","ニュースレターを購読"
"Address Information","住所情報"
"Company","会社名"
"Phone Number","電話番号"
"Sign-in Information","サインイン情報"
"Password","パスワード"
"Confirm Password","パスワード再確認"
"Create an Account","アカウント作成"
"Back","戻る"
"Customer Address","顧客住所"
"Default Values","標準の値"
"Fax","Fax"
"Default Billing Address","標準ご連絡先住所"
"Default Shipping Address","標準配送先住所"
"Comma separated. Forbidden file extensions: %1.","カンマ区切り。禁止されているファイルの拡張子：%1。"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","エラーのため属性を保存できませんでした。 情報を確認して、再度お試し下さい。 エラーが解決しない場合は、後で再度お試しください。"
"Please correct the value for file extensions.","ファイルの拡張子の値を修正してください。"
"Store Credit","ストアクレジット"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","属性コードは%1文字以下である必要があります。コードを再入力し、再度お試し下さい。"
