"Customer Address Attributes","Χαρακτηριστικά Διεύθυνσης Πελάτη"
"You cannot edit this attribute.","Δεν μπορείτε να επεξεργαστείτε αυτό το χαρακτηριστικό."
"Edit Customer Address Attribute","Επεξεργαστείτε το χαρακτηριστικό διεύθυνσης πελάτη"
"You saved the customer address attribute.","Αποθηκεύσατε το χαρακτηριστικό διεύθυνσης του πελάτη."
"We can't save the customer address attribute right now.","Δεν μπορούμε να αποθηκεύσουμε το χαρακτηριστικό διεύθυνσης πελάτη αυτή τη στιγμή."
"An attribute with this code already exists.","Υπάρχει ήδη ένα χαρακτηριστικό με αυτόν τον κώδικα."
"Manage Customer Attributes","Διαχείριση Χαρακτηριστικών Πελάτη"
"You deleted the customer attribute.","Διαγράψατε το χαρακτηριστικό του πελάτη."
"The attribute no longer exists.","Αυτό το χαρακτηριστικό δεν υπάρχει πλέον."
"Edit Customer Attribute","Επεξεργαστείτε το χαρακτηριστικό πελάτη"
"You saved the customer attribute.","Αποθηκεύσατε το χαρακτηριστικό του πελάτη."
"We can't save the form type right now.","Αυτή τη στιγμή δεν μπορούμε να αποθηκεύσουμε τον τύπο της φόρμας."
"This system form type cannot be deleted.","Αυτός ο τύπος φόρμας συστήματος δεν μπορεί να διαγραφεί."
"The form type has been deleted.","Ο τύπος φόρμας έχει διαγραφεί."
"We can't delete the form type right now.","Δεν μπορούμε να διαγράψουμε τον τύπο της φόρμας αυτή τη στιγμή."
"Customer Address Registration","Εγγραφή Διεύθυνσης Πελάτη"
"Customer Account Address","Διεύθυνση λογαριασμού πελάτη"
"Customer Registration","Εγγραφή πελάτη"
"Customer Account Edit","Επεξεργασία λογαριασμού πελάτη"
"Admin Checkout","Ολοκλήρωση Παραγγελίας Διαχειριστή"
"Use helper with defined EAV entity.","Χρήση βοηθητικού προγράμματος με καθορισμένες EAV οντότητες."
"Length Only","Μήκος Μόνο"
"An attribute code must not be more than %1 characters.","Ο κωδικός χαρακτηριστικού δεν πρέπει να είναι περισσότερο από %1 χαρακτήρες."
"Use Default Value","Χρησιμοποιήστε την Προεπιλεγμένη Τιμή"
"Fieldset Properties","Παράμετροι Συνόλου Πεδίων"
"Fieldset Title","Τίτλος Συνόλου Πεδίων"
"Fieldset Code","Κωδικός Συνόλου Πεδίων"
"A fieldset with the same code alredy exists.","Υπάρχει ήδη ένα σύνολο πεδίων με τον ίδιο κωδικό."
"This fieldset is not empty!","Αυτό το σύνολο πεδίων δεν είναι άδειο!"
"Choose Website:","Επιλέξτε Ιστοσελίδα:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Επιβεβαιώστε την εναλλαγή ιστότοπου. Όλα τα δεδομένα που δεν έχουν αποθηκευτεί θα χαθούν."
"* Required Fields","* Απαιτούμενα πεδία"
"Contact Information","Στοιχεία Επικοινωνίας"
"Address","Διεύθυνση"
"Street Address","Διεύθυνση"
"Street Address %1","Διεύθυνση %1"
"VAT Number","Α.Φ.Μ."
"City","Πόλη"
"State/Province","Νομός/επαρχία"
"Please select a region, state or province.","Παρακαλώ επιλέξτε μια περιοχή, χώρα ή περιφέρεια."
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"Country","Χώρα"
"This is your default billing address.","Αυτή είναι η προεπιλεγμένη διεύθυνση χρέωσης."
"Use as my default billing address","Χρησιμοποιήσετε ως προεπιλογή μου τη διεύθυνση χρέωσης"
"This is your default shipping address.","Αυτή είναι η προεπιλεγμένη διεύθυνση αποστολής."
"Use as my default shipping address","Χρησιμοποιήσετε ως προεπιλογή μου τη διεύθυνση αποστολής"
"Save Address","Αποθήκευση διεύθυνσης"
"Go back","Επιστροφή"
"Account Information","Πληροφορίες Λογαριασμού"
"Change Email","Αλλαγή Email"
"Change Password","Αλλαγή Κωδικού Πρόσβασης"
"Change Email and Password","Αλλαγή Email και Κωδικού Πρόσβασης"
"Email","Email"
"Current Password","Τρέχον Κωδικός Πρόσβασης"
"New Password","Νέος κωδικός"
"Password Strength","Ισχύς Κωδικού Πρόσβασης"
"No Password","Δεν υπάρχει Κωδικός Πρόσβασης"
"Confirm New Password","Επιβεβαίωση Νέου Κωδικού Πρόσβασης"
"Personal Information","Προσωπικές Πληροφορίες"
"Sign Up for Newsletter","Εγγραφή στο Ενημερωτικό Δελτίο"
"Address Information","Πληροφορίες Διεύθυνσης"
"Company","Εταιρία"
"Phone Number","Αριθμός Τηλεφώνου"
"Sign-in Information","Πληροφορίες Σύνδεσης"
"Password","Κωδικός πρόσβασης"
"Confirm Password","Επιβεβαίωση Κωδικού Πρόσβασης"
"Create an Account","Δημιουργία Λογαριασμού"
"Back","Πίσω"
"Customer Address","Διεύθυνση Πελάτη"
"Default Values","Προεπιλεγμένες τιμές"
"Fax","Φαξ"
"Default Billing Address","Προεπιλεγμένη Διεύθυνση Χρέωσης"
"Default Shipping Address","Προεπιλεγμένη Διεύθυνση Αποστολής"
"Comma separated. Forbidden file extensions: %1.","Διαχωρισμένες με κόμμα. Απαγορευμένες καταλήξεις αρχείων: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Το χαρακτηριστικό δεν μπορεί να αποθηκευτεί λόγο σφάλματος. Επιβεβαιώστε τις πληροφορίες σας και δοκιμάστε ξανά. Αν το σφάλμα επιμένει, δοκιμάστε ξανά αργότερα."
"Please correct the value for file extensions.","Παρακαλώ διορθώστε τη τιμή για τις επεκτάσεις αρχείου."
"Store Credit","Πίστωση"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","Ο κωδικός χαρακτηριστικού πρέπει να έχει %1 χαρακτήρες ή λιγότερους. Επανεισάγετε το κωδικό και δοκιμάστε ξανά."
