"Change Billing Address","බිල්පත් ලිපිනය වෙනස් කරන්න"
"No shipping required.","නැව්ගත කිරීම අවශ්ය නොවේ."
"To purchase these items: Return to the","මෙම අයිතම මිලදී ගැනීමට: වෙත ආපසු යන්න"
"Review page in Checkout","Checkout හි පිටුව සමාලෝචනය කරන්න"
"resolve any errors, and place a new order.","ඕනෑම දෝෂයක් විසඳා නව ඇණවුමක් කරන්න."
"Address %1 <span>of %2</span>","ලිපිනය %2</span>න් %1 <span>"
"Sorry, no quotes are available for this order right now.","සමාවන්න, දැන් මෙම ඇණවුම සඳහා උපුටා දැක්වීම් නොමැත."
"Continue to Billing Information","බිල්පත් තොරතුරු වෙත ඉදිරියට යන්න"
"Back to Select Addresses","ලිපින තෝරන්න වෙත ආපසු"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","අයිතම සාර්ථකව ඇණවුම් කිරීම සඳහා, ඔබට ඇණවුම් අංක, ලුහුබැඳීමේ තොරතුරු සහ වැඩි විස්තර ඇතුළුව තහවුරු කිරීමේ විද්‍යුත් තැපෑලක් ලැබෙනු ඇත."
"Successfully ordered","සාර්ථකව ඇණවුම් කර ඇත"
"Continue Shopping","තවත් දෑ මිලදී ගන්න"
"We can't complete your order because you don't have a payment method set up.","ඔබට ගෙවීමේ ක්‍රමයක් සකසා නොමැති නිසා අපට ඔබේ ඇණවුම සම්පූර්ණ කළ නොහැක."
"Please choose a payment method.","කරුණාකර ගෙවීම් ක්‍රමයක් තෝරන්න."
"Multishipping Settings Section","බහුකාර්ය සැකසුම් අංශය"
"Multishipping Settings","බහුකාර්ය සැකසුම්"
"Options","විකල්ප"
"Allow Shipping to Multiple Addresses","බහුවිධ ලිපින වෙත යැවීමට ඉඩ දෙන්න"
"Maximum Qty Allowed for Shipping to Multiple Addresses","බහුවිධ ලිපින වෙත නැව්ගත කිරීම සඳහා අවසර දී ඇති උපරිම ප්‍රමාණය"
"Review Order","සමාලෝචන නියෝගය"
"We could only complete part of your order.","අපට සම්පූර්ණ කළ හැක්කේ ඔබේ ඇණවුමෙන් කොටසක් පමණි."
"We were unable to complete your order.","අපට ඔබේ ඇණවුම සම්පූර්ණ කිරීමට නොහැකි විය."
"Select Shipping Method","නැව්ගත කිරීමේ ක්‍රමය තෝරන්න"
"Thank you for your purchase!","ඔබගේ මිලදී ගැනීම සඳහා ස්තූතියි!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","අපට ඔබගේ ඉල්ලීම ක්‍රියාවට නැංවිය නොහැක. කරුණාකර, පසුව නැවත උත්සාහ කරන්න."
"Ship to:","වෙත නැව්ගත කරන්න:"
"Error:","දෝෂය:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","ලිපින කිහිපයකට නැව්ගත කිරීමේදී උපරිම ප්‍රමාණය %1 ට වඩා වැඩි විය නොහැක. ප්‍රමාණය වෙනස් කර නැවත උත්සාහ කරන්න."
"Verify the shipping address information and continue.","නැව්ගත කිරීමේ ලිපින තොරතුරු සත්‍යාපනය කර ඉදිරියට යන්න."
"Verify the billing address information and continue.","බිල්පත් ලිපින තොරතුරු සත්‍යාපනය කර ඉදිරියට යන්න."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","සියලුම ලිපින සඳහා නැව්ගත කිරීමේ ක්‍රම සකසන්න. නැව්ගත කිරීමේ ක්‍රම තහවුරු කර නැවත උත්සාහ කරන්න."
"A payment method isn't defined. Verify and try again.","ගෙවීමේ ක්‍රමයක් නිර්වචනය කර නොමැත. තහවුරු කර නැවත උත්සාහ කරන්න."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","ලිපින කිහිපයකට නැව්ගත කිරීම සඳහා මෙම ගෙවීමේ ක්‍රමය භාවිතා කළ නොහැක. ගෙවීමේ ක්‍රමය වෙනස් කර නැවත උත්සාහ කරන්න."
"The item isn't found, or it's already ordered.","අයිතමය හමු නොවීය, නැතහොත් එය දැනටමත් ඇණවුම් කර ඇත."
"The payment method isn't selected. Enter the payment method and try again.","ගෙවීමේ ක්‍රමය තෝරා නැත. ගෙවීමේ ක්‍රමය ඇතුළත් කර නැවත උත්සාහ කරන්න."
"Some addresses can't be used due to the configurations for specific countries.","විශේෂිත රටවල් සඳහා වින්‍යාස කිරීම් හේතුවෙන් සමහර ලිපින භාවිතා කළ නොහැක."
