"Change Billing Address","Modifier l'adresse de facturation"
"Actions","Actions"
"Remove Item","Supprimer l'article"
"Remove item","Retirer l'article"
"Go to Shipping Information","Aller aux informations d’expédition"
"Update Qty &amp; Addresses","Mettre à jour les quantités et adresses"
"Enter a New Address","Saisir une nouvelle adresse"
"Back to Shopping Cart","Retour au panier"
"Loading...","En cours de chargement..."
"Billing Address","Adresse de facturation"
"Change","Modifier"
"Payment Method","Mode de paiement"
"Go to Review Your Order","Aller à la vérification de votre commande"
"Back to Shipping Information","Retour aux informations de livraison"
"Other items in your order","Autres articles dans votre commande"
"Edit Items","Modifier les articles"
"Shipping is not applicable.","Le choix de livraison n'est pas applicable."
"Product Name","Nom de produit"
"Check Out with Multiple Addresses","Commande avec livraison à plusieurs adresses"
"Please see","Soyez attentif à"
"details below","détails ci-dessous"
"Address","Adresse"
"of","sur"
"Shipping To","Livraison à"
"Shipping Method","Mode de livraison"
"Incl. Tax","TTC"
"Excl. Tax","HT"
"Order Review","Vérification de commande"
"Item","Article"
"Edit","Éditer"
"Price","Prix"
"Subtotal","Sous-total"
"Items","Articles"
"Grand Total:","Montant global :"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Not all items were included.","Tous les éléments n'ont pas été inclus."
"For details, see","Pour plus de détails, consultez"
"Failed to Order","Erreur pour commander"
"section below","section ci-dessous"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","Pour les articles commandés avec succès, vous recevrez un email de confirmation, y compris les numéros de commande, des informations de suivi et plus de détails."
"Successfully Ordered","Commande enregistrée"
"No shipping required.","Aucun mode de livraison nécessaire."
"To purchase these items: Return to the","Pour acheter ces produits : retournez à la"
"Review page in Checkout","Revue de commande dans le processus d'achat"
"resolve any errors, and place a new order.","résolvez les erreurs et passez une nouvelle commande."
"Address %1 <span>of %2</span>","Adresse %1 <span> %2</span>"
"Sorry, no quotes are available for this order right now.","Désolé, aucun devis n'est disponible pour cette commande pour le moment."
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Back to Select Addresses","Retour à la sélection d'adresses"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","Pour les articles commandés avec succès, vous recevrez un email de confirmation, les numéros de commande, des informations de suivi et plus de détails."
"Successfully ordered","Commande enregistrée"
"Continue Shopping","Continuez vos achats"
"We can't complete your order because you don't have a payment method set up.","Nous ne pouvons pas compléter votre commande car vous n'avez pas de mode de paiement configuré."
"Please choose a payment method.","Choisissez un moyen de paiement."
"Multishipping Settings Section","Section de paramètres Multishipping"
"Multishipping Settings","Paramètres multishipping"
"Options","Options"
"Allow Shipping to Multiple Addresses","Autoriser la livraison à plusieurs adresses"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Qté maxi autorisée pour la livraison à plusieurs adresses"
"Review Order","Vérifier la commande"
"We could only complete part of your order.","Nous ne pouvons confirmer qu'une partie de la commande."
"We were unable to complete your order.","Nous ne pouvons pas honorer l'ensemble de la commande."
"Select Shipping Method","Sélectionner le mode de livraison"
"Thank you for your purchase!","Merci pour votre commande !"
"Thanks for your order. We'll email you order details and tracking information.","Merci pour votre commande. Nous vous enverrons les détails de la commande et les informations de suivi."
"Your order numbers are: ","Vos numéros de commande sont : "
"Your order number is: ","Votre numéro de commande est : "
"We received your order!","Nous avons reçu votre commande !"
"We are unable to process your request. Please, try again later.","Nous ne pouvons pas enregistrer votre demande. Veuillez réessayer plus tard."
"Ship to:","Livrer à :"
"Error:","Erreur :"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","La quantité maximale ne peut pas être supérieure à %1 lorsque vous expédiez à plusieurs adresses. Changer la quantité et réessayer."
"Verify the shipping address information and continue.","Vérifiez les informations d'adresse de livraison et continuez."
"Verify the billing address information and continue.","Vérifiez les informations d'adresse de facturation et continuez."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Définir les méthodes de livraison pour toutes les adresses. Vérifiez les méthodes d'expédition et réessayez."
"A payment method isn't defined. Verify and try again.","Un mode de paiement n'est pas défini. Vérifiez et réessayez."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","Ce mode de paiement ne peut être utilisé pour l'expédition à plusieurs adresses. Modifiez le mode de paiement et réessayez."
"The item isn't found, or it's already ordered.","L’article n’a pas été trouvé, ou il a déjà été commandé."
"The payment method isn't selected. Enter the payment method and try again.","Le mode de paiement n'est pas sélectionné. Entrez le mode de paiement et réessayez."
"Some addresses can't be used due to the configurations for specific countries.","Certaines adresses ne peuvent être utilisées en raison des configurations pour certains pays."
