"Return","החזרה"
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"A quantity you're trying to add exceeds the number of products we shipped.","אתה מנסה להוסיף כמות חורגת ממספר של מוצרים המורשים אשר שלחנו."
"Products should be added to package(s)","המוצרים צריכים להתווסף לחבילות"
"Please enter a valid value.","Please enter a valid value."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We can't delete the tracking number right now.","איננו יכולים למחוק את מספר מעקב החבילה עכשיו."
"We can't save this RMA.","איננו יכולים לשמור את RMA."
"You saved the RMA request.","You saved the RMA request."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"You submitted the RMA request.","You submitted the RMA request."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"Page not found.","העמוד לא נמצא."
"Shipping Labels are not allowed.","Shipping Labels are not allowed."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We can't add a label right now.","איננו יכולים להוסיף תווית עכשיו."
"You selected the wrong RMA.","You selected the wrong RMA."
"We can't create a return transaction for order #%1.","איננו יכולים ת ליצור החזר עבור הטרנזקציה עבור הזמנה #%1."
"You submitted Return #%1.","You submitted Return #%1."
"We can't create a return right now. Please try again later.","איננו יכולים ליצור החזר כספי נכון עכשיו. נא נסה שוב מאוחר יותר."
"Create New Return","צור החזרה חדשה"
"We can't delete the label right now.","איננו יכולים למחוק את התווית עכשיו."
"Return #%1","החזר #%1"
"Cannot add message.","Cannot add message."
"My Returns","My Returns"
"Tracking Information","מידע אודות המעקב"
"Page not found","הדף לא נמצא"
"Please check this order for errors.","נא בדוק הזמנה זו לאיתור שגיאות."
"Contact Email Address","כתובת דוא""ל איש קשר"
"Text Field","שדה טקסט"
"Text Area","אזור טקסט"
"Dropdown","רשימה נפתחת"
"Image File","קובץ תמונה"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Only one RMA is available for printing"
"Return # ","החזר # "
"Return Date: ","תאריך החזרה: "
"Order # ","Order # "
"Ordered: ","Ordered: "
"Shipping Address:","כתובת למשלוח:"
"Return Address:","כתובת להחזרה:"
"Condition","תנאי"
"Qty","כמות"
"There is an error in quantities for item %1.","יש שגיאה בכמויות עבור פריט %1."
"Authorized Qty","כמות מורשית"
"Returned Qty","כמות מוחזרת"
"Approved Qty","כמות מאושרת"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"A quantity of %1 is greater than you can return.","A quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","איננו יכולים לשמור את הRMA הנוכחי. הפריטים לא סומנו."
"Pending","ממתינה"
"Partially Authorized","מורשה חלקית"
"Return Received","החזרה התקבלה"
"Return Partially Received","Return Partially Received"
"Partially Approved","אושר חלקית"
"Rejected","נדחה"
"Partially Rejected","נדחו חלקית"
"Denied","Denied"
"Closed","נסגרה"
"Processed and Closed","Processed and Closed"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","We authorized your Return request."
"We partially authorized your Return request.","אישרנו חלקית את בקשת ההחזרה שלך."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","קיבלנו חלקית את בקשת ההחזרה שלך."
"We partially approved your Return request.","אישרנו חלקית את בקשת ההחזרה שלך."
"We partially rejected your Return request.","דחינו חלקית את בקשת ההחזרה שלך."
"We closed your Return request.","סגרנו את בקשתך להחזר."
"We processed and closed your Return request.","טיפלנו וסגרנו את בקשתך להחזר."
"ID cannot be an empty","ID cannot be an empty"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Please enter a valid comment."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","אין פירוט עבור מספר ""%1"""
"Shipment does not exists.","Shipment does not exists."
"We can't load track with retrieving identifier right now.","איננו יכולים לטעון את מסלול המעקב עם המספר המזהה עכשיו."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","אין פירוט עבור מספר ""' . . '"""
"Use Config Settings","השתמש בהגדרות הראשיות"
"All Items","כל הפריטים"
"Individual Items","Individual Items"
"Account &amp; Shipping Information","Account &amp; Shipping Information"
"Address Information","מידע אודות כתובת"
"RMA Totals","RMA Totals"
"Request Details","Request Details"
"ID","מזהה"
"#","#"
"Order ID","מספר הזמנה"
"Customer Name","Customer Name"
"Email Address","כתובת דוא""ל"
"RMA History","RMA History"
"Comment Text","תוכן ההערה"
"Notify Customer by Email","נא להתריע ללקוח בדואר אלקטרוני"
"Visible on Storefront","Visible on Storefront"
"Customer Service","שירות לקוחות"
"Notified","התראה"
"Not Notified","Not Notified"
"Return Address","Return Address"
"Order Shipping Address","Order Shipping Address"
"Delete Line","Delete Line"
"Select All","בחר הכל"
"Weight","משקל"
"Customs Value","ערך מותאם אישית"
"Qty Ordered","כמות שהוזמנה"
"Shipping Information","פרטי משלוח"
"Change shipping method.","Change shipping method."
"No authorized items or allowed shipping methods","No authorized items or allowed shipping methods"
"Carrier","מוביל"
"Title","כותרת"
"Number","מספר"
"Are you sure?","האם אתה בטוח?"
"Shipping Method","שיטת משלוח"
"Create Shipping Label","צור תווית משלוח"
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Order &amp; Account Information","Order &amp; Account Information"
"Return Totals","Return Totals"
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","RMA Items Requested for"
"Please Select Products to Add","Please Select Products to Add"
"Remove","הסר"
"Item","פריט"
"Return items","Return items"
"Sub-items","Sub-items"
"Quantity To Return","Quantity To Return"
"Remaining Quantity:","Remaining Quantity:"
"New Return for Order %1","New Return for Order %1"
"Email","דואר אלקטרוני"
"Return Items Information","Return Items Information"
"Add Item To Return","Add Item To Return"
"Comments","Comments"
"Save","שמור"
"Submit","שליחה"
"Back","חזור"
"Return #","Return #"
"Date","תאריך"
"Ship From","Ship From"
"Return Status","Return Status"
"Actions","פעולות"
"View Return","View Return"
"You have placed no returns.","You have placed no returns."
"Packages","חבילות"
"Close Window","סגירת חלון"
"Package","חבילה"
"Type","סוג"
"Length","אורך"
"Total Weight","המשקל הכולל"
"Width","רוחב"
"Height","גובה"
"Items in the Package","פריטים בחבילה"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Request Information","Request Information"
"Date Requested","Date Requested"
"Shipping Address","כתובת למשלוח"
"This won't take long . . .","זה לא ייקח הרבה זמן . . ."
"Shipping and Tracking Information","מידע עבור משלוח ומעקב"
"Track this shipment","עקוב אחר המשלוח"
"Items Return Requested For","Items Return Requested For"
"Request Qty","Request Qty"
"Hide Details","Hide Details"
"Show Details","Show Details"
"Questions and Answers","Questions and Answers"
"Questions","Questions"
"Answers","Answers"
"Leave Comment","Leave Comment"
"%store_name:  New customer comment","%store_name:  New customer comment"
"New Comment for RMA #%increment_id","New Comment for RMA #%increment_id"
"Customer %name has left a new comment:","Customer %name has left a new comment:"
"%store_name : New Return #%increment_id","%store_name : New Return #%increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Your return request has been updated. Please see below."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","Your Return #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","You can check the status of your return <a href=""%form_url"">using your order number</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","We received your return request. You will be notified when your request is reviewed."
"Placed on %created_at","Placed on %created_at"
"Click Details for more required fields.","Click Details for more required fields."
"Ok","אישור"
"Create Packages","צור חבילות"
"Add Package","הוסף חבילה"
"RMA Settings","RMA Settings"
"Enable RMA on Storefront","Enable RMA on Storefront"
"Enable RMA on Product Level","Enable RMA on Product Level"
"Use Store Address","Use Store Address"
"Contact Name","Contact Name"
"Street Address","כתובת רחוב"
"City","עיר"
"State/Province","מדינה/מחוז"
"ZIP/Postal Code","מיקוד"
"Country","ארץ"
"Enabled","פעיל"
"RMA Email Sender","RMA Email Sender"
"RMA Email Template","RMA Email Template"
"RMA Email Template for Guest","RMA Email Template for Guest"
"Send RMA Email Copy To","Send RMA Email Copy To"
"Comma-separated","Comma-separated"
"Send RMA Email Copy Method","Send RMA Email Copy Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization Email Sender"
"RMA Authorization Email Template","RMA Authorization Email Template"
"RMA Authorization Email Template for Guest","RMA Authorization Email Template for Guest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment Email Sender"
"RMA Comment Email Template","RMA Comment Email Template"
"RMA Comment Email Template for Guest","RMA Comment Email Template for Guest"
"Send RMA Comment Email Copy To","Send RMA Comment Email Copy To"
"RMA Customer Comments","RMA Customer Comments"
"RMA Comment Email Recipient","RMA Comment Email Recipient"
"Enabled for RMA","זמין עבור RMA"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
