"Return","Zwrot"
"We partially rejected your Return request.","Możemy częściowo odrzucić żądanie zwrotu."
"We closed your Return request.","Zamknęliśmy żądanie zwrotu."
"We processed and closed your Return request.","Przetworzone i zamknięte żądania zwrotu."
"ID cannot be an empty","Identyfikator nie może być pusty"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Wprowadź prawidłowy komentarz."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Brak wystarczających informacji do utworzenia etykiety wysyłkowej. Proszę sprawdzić informacje o sklepie oraz ustawienia wysyłki."
"No detail for number ""%1""","Brak szczegółów dla numeru ""%1"""
"Shipment does not exists.","Przesyłka nie istnieje."
"We can't load track with retrieving identifier right now.","W tej chwili nie możemy załadować śladu z odzyskiwaniem identyfikatora."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","Brak szczegółów dla numeru ""' . . '"""
"Use Config Settings","Używaj ustawienia z konfiguracji"
"All Items","Wszystkie produkty"
"Individual Items","Poszczególne pozycje"
"Account &amp; Shipping Information","Konta &amp; i informacje o wysyłce"
"Address Information","Informacje o adresie"
"RMA Totals","Suma RMA"
"Request Details","Szczegóły zlecenia"
"ID","Identyfikator"
"#","#"
"Order ID","ID zamówienia"
"Customer Name","Nazwisko klienta"
"Email Address","Adres e-mail"
"RMA History","Historia RMA"
"Comment Text","Komentarz"
"Notify Customer by Email","Powiadom klienta przez e-mail"
"Visible on Storefront","Widoczne na sklepie"
"Customer Service","Obsługa klienta"
"Notified","Powiadomiony"
"Not Notified","Nie powiadomiony"
"Return Address","Adres zwrotny"
"Order Shipping Address","Adres klienta"
"Delete Line","Usuń linię"
"Select All","Zaznacz wszystko"
"Weight","Waga"
"Customs Value","Wartość celna"
"Qty Ordered","Zamówiona ilość"
"Shipping Information","Informacje o dostawie"
"Change shipping method.","Zmień metodę wysyłki."
"No authorized items or allowed shipping methods","Brak autoryzowanych produktów lub dozwolonych metod wysyłki"
"Carrier","Przewoźnik"
"Title","Tytuł"
"Number","Numer"
"Are you sure?","Czy na pewno tego chcesz?"
"Shipping Method","Metoda dostawy"
"Create Shipping Label","Utwórz etykietę wysyłkową"
"Enabled when authorized items require a new shipment.","Włączone kiedy autoryzowany produkt wymaga nowej przesyłki."
"Order &amp; Account Information","Informacje o zamowieniu i koncie"
"Return Totals","Sumy"
"Return Confirmation","Potwierdzenie"
"Email Returns Confirmation","Email zwroty potwierdzenia"
"RMA Items Requested for","Produkty zlecenia RMA zgłoszone przez"
"Please Select Products to Add","Proszę wybrać produkty, które mają zostać dodane"
"Remove","Usuń"
"Item","Produkt"
"Return items","Produkty"
"Sub-items","Produkty pochodne"
"Quantity To Return","Ilość do zwrotu"
"Remaining Quantity:","Pozostała ilość:"
"New Return for Order %1","Nowy zwrot dla zlecenia %1"
"Email","E-mail"
"Return Items Information","Informacje o zwróconych produktach"
"Add Item To Return","Dodaj produkt, który ma zostać zwrócony"
"Comments","Komentarze"
"Save","Zapisz"
"Submit","Wyślij"
"Back","Powrót"
"Return #","Zwrot #"
"Date","Data"
"Ship From","Nadawca"
"Return Status","Status żądania zwrotu/wymiany"
"Actions","Operacje"
"View Return","Zobacz zwrot"
"You have placed no returns.","Nie zgłoszono żadnych zwrotów."
"Packages","Paczki"
"Close Window","Zamknij okno"
"Package","Paczka"
"Type","Rodzaj"
"Length","Długość"
"Total Weight","Waga całkowita"
"Width","Szerokość"
"Height","Wysokość"
"Items in the Package","Przedmioty w paczce"
"Are you sure you want to delete this tracking information?","Czy na pewno chcesz usunąć informacje pozwalające na śledzenie paczki?"
"Request Information","Informacje o zwrocie/wymianie"
"Date Requested","Wymagane dane"
"Shipping Address","Adres wysyłki"
"This won't take long . . .","To nie potrwa długo..."
"Shipping and Tracking Information","Informacje o wysyłce i śledzeniu paczki"
"Track this shipment","Śledź tę przesyłkę"
"Items Return Requested For","Zwrot żądanych produktów"
"Request Qty","Ilość produktów zlecenia"
"Hide Details","Ukryj szczegóły"
"Show Details","Pokaż szczegóły"
"Questions and Answers","Pytania i odpowiedzi"
"Questions","Pytania"
"Answers","Odpowiedzi"
"Leave Comment","Zostaw komentarz"
"%store_name:  New customer comment","%store_name:  New customer comment"
"New Comment for RMA #%increment_id","Nowy komentarz do RMA #%increment_id"
"Customer %name has left a new comment:","Klienta %name zostawił nowy komentarz:"
"%store_name : New Return #%increment_id","%store_name : New Return #%increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Zgłoszenie zwrotu zostało zaktualizowane. Informacje poniżej."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Możesz sprawdzić stan zwrotu <a href=""%account_url""> logując się na swoje konto</a> lub <a href=""%form_url""> używając numeru zamówienia</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","Twój zwrot #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Możesz sprawdzić stan zwrotu <a href=""%form_url""> przy użyciu numeru zamówienia</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Jeśli masz jakiekolwiek pytania o zwrocie, prosimy o kontakt na <a href=""mailto:%support_email""> %support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","Otrzymaliśmy zwrot wniosku. Użytkownik będzie powiadamiany, gdy żądanie jest przeglądane."
"Placed on %created_at","Umieszczony na %created_at"
"Click Details for more required fields.","Kliknij przycisk Szczegóły po więcej wymaganych pól."
"Ok","Ok"
"Create Packages","Utwórz paczkę"
"Add Package","Dodaj paczkę"
"RMA Settings","Ustawienia RMA"
"Enable RMA on Storefront","Włącz RMA na Sklepie"
"Enable RMA on Product Level","Włącz RMA na poziomie produktu"
"Use Store Address","Użyj adresu sklepu"
"Contact Name","Nazwisko klienta"
"Street Address","Ulica i numer"
"City","Miasto"
"State/Province","Województwo"
"ZIP/Postal Code","Kod pocztowy"
"Country","Kraj"
"Enabled","Włączone"
"RMA Email Sender","Nadawca wiadomości e-mail RMA"
"RMA Email Template","Szablon wiadomości e-mail RMA"
"RMA Email Template for Guest","Szablon wiadomości e-mail RMA dla Gościa"
"Send RMA Email Copy To","Wyślij kopię wiadomości e-mail RMA do"
"Comma-separated","Oddzielone przecinkami"
"Send RMA Email Copy Method","Wysyłanie kopii wiadomości e-mail RMA"
"RMA Authorization","Autoryzacja RMA"
"RMA Authorization Email Sender","Wysyłanie wiadomości e-mail z autoryzacją RMA"
"RMA Authorization Email Template","Szablon wiadomości e-mail z autoryzacją RMA"
"RMA Authorization Email Template for Guest","Szablon wiadomości e-mail z autoryzacją RMA dla Gościa"
"Send RMA Authorization Email Copy To","Wyślij kopię wiadomości e-mail z autoryzacją RMA do"
"Send RMA Authorization Email Copy Method","Wysyłanie wiadomości e-mail z autoryzacją RMA"
"RMA Admin Comments","Komentarze RMA Administratora"
"RMA Comment Email Sender","Nadawca wiadomości e-mail z komentarzem RMA"
"RMA Comment Email Template","Szablon wiadomości e-mail z komentarzem RMA"
"RMA Comment Email Template for Guest","Szablon wiadomości e-mail z komentarzem RMA dla Gościa"
"Send RMA Comment Email Copy To","Wyślij kopię wiadomości e-mail z komentarzem RMA do"
"RMA Customer Comments","Komentarze RMA Klienta"
"RMA Comment Email Recipient","Odbiorca wiadomości e-mail z komentarzem RMA"
"Enabled for RMA","Włączone dla RMA"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
