"Return","Gå tilbake"
"Please enter a tracking number.","Angi et sporingsnummer."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We can't add a message right now.","We can't add a message right now."
"New Return","New Return"
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"You created a shipping label.","Du har lagd fraktetikett."
"We can't create a shipping label right now.","We can't create a shipping label right now."
"Manage RMA Item Attributes","Manage RMA Item Attributes"
"You cannot delete this attribute.","Du kan ikke slette dette attributtet."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"We can't delete the RMA item attribute right now.","We can't delete the RMA item attribute right now."
"This attribute no longer exists.","Dette attributtet finnes ikke lenger."
"You cannot edit this attribute.","Du kan ikke redigere dette attributtet."
"Edit Return Item Attribute","Edit Return Item Attribute"
"Returns Attributes","Returnerer Attributt"
"New Return Attribute","Ny Returner Attributt"
"You saved the RMA item attribute.","Du lagret RMA vareattributtet."
"Something went wrong while saving the RMA item attribute.","Noe gikk galt under lagring av RMA vareattributtet."
"An attribute with the same code already exists.","An attribute with the same code already exists."
"The wrong RMA item was requested.","Feil RMA-element ble forespurt."
"We cannot display the item attributes.","We cannot display the item attributes."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"A quantity you're trying to add exceeds the number of products we shipped.","A quantity you're trying to add exceeds the number of products we shipped."
"Products should be added to package(s)","Produkter skal legges til pakke(r)"
"Please enter a valid value.","Vennligst angi en gyldig verdi."
"This is the wrong RMA ID.","Dette er feil RMA id."
"We cannot display the available shipping methods.","Vi kan ikke vise tilgjengelige leveringsalternativ."
"We cannot initialize an RMA to delete a tracking number.","Vi kan ikke initialisere RMA for å slette sporingsnummer."
"We can't delete the tracking number right now.","We can't delete the tracking number right now."
"We can't save this RMA.","We can't save this RMA."
"You saved the RMA request.","Du lagret RMA forespørselen."
"You did not email your customer. Please check your email settings.","You did not email your customer. Please check your email settings."
"You submitted the RMA request.","You submitted the RMA request."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"Page not found.","Siden finnes ikke."
"Shipping Labels are not allowed.","Shipping Labels are not allowed."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We can't add a label right now.","We can't add a label right now."
"You selected the wrong RMA.","Du valgte feil RMA."
"We can't create a return transaction for order #%1.","We can't create a return transaction for order #%1."
"You submitted Return #%1.","You submitted Return #%1."
"We can't create a return right now. Please try again later.","We can't create a return right now. Please try again later."
"Create New Return","Lag Ny Returnering"
"We can't delete the label right now.","We can't delete the label right now."
"Return #%1","Returner #%1"
"Cannot add message.","Kan ikke legge til meldingen."
"My Returns","My Returns"
"Tracking Information","Sporingsinformasjon"
"Page not found","Siden finnes ikke"
"Please check this order for errors.","Please check this order for errors."
"Contact Email Address","Contact Email Address"
"Text Field","Tekstfelt"
"Text Area","Tekst Område"
"Dropdown","Rullgardinmeny"
"Image File","Bildefil"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Bare ett RMA er tilgjengelig for utskrift"
"Return # ","Returner # "
"Return Date: ","Return Date: "
"Order # ","Bestill # "
"Ordered: ","Bestilte: "
"Shipping Address:","Leveringsadresse:"
"Return Address:","Return Address:"
"Condition","Betingelse"
"Qty","Antall"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Authorized Qty"
"Returned Qty","Returnert Antall"
"Approved Qty","Godkjent Antall"
"%1 for item %2 cannot be empty.","%1 for element %2 kan ikke være tom."
"You cannot return %1.","Du kan ikke returnere %1."
"A quantity of %1 is greater than you can return.","Mengden av %1 er større enn du kan returnere."
"You entered an invalid type: ""%1"".","Du returnerte en ugyldig type:""%1""."
"You entered an invalid email address: ""%1"".","Du la inn en ugyldig epostadresse: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","We can't save this RMA. No items were specified."
"Pending","Ventende"
"Partially Authorized","Partially Authorized"
"Return Received","Return Received"
"Return Partially Received","Return Partially Received"
"Partially Approved","Partially Approved"
"Rejected","Avvist"
"Partially Rejected","Delvis Avvist"
"Denied","Avvist"
"Closed","Lukket"
"Processed and Closed","Behandlet og Stengt"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","We authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"ID cannot be an empty","ID kan ikke være tom"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Vennligst angi et gyldig kommentar."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Ugyldig transportør: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Vi trenger mer informasjon for å opprette din(e) fraktetikett(er). Vennligst kontroller din butikkinformasjon og leveringsalternativ."
"No detail for number ""%1""","Ingen detaljer for nummer ""%1"""
"Shipment does not exists.","Shipment does not exists."
"We can't load track with retrieving identifier right now.","We can't load track with retrieving identifier right now."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Beskjed"
"No detail for number ""' . . '""","Ingen detaljer for nummer "" . . '"""
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"All Items","Alle varer"
"Individual Items","Individuelle varer"
"Account &amp; Shipping Information","Konto &amp; Sendeinformasjon"
"Address Information","Adresseinformasjon"
"RMA Totals","RMA Totaler"
"Request Details","Request Details"
"ID","ID"
"#","#"
"Order ID","Ordre-ID"
"Customer Name","Kundenavn"
"Email Address","E-postadresse"
"RMA History","RMA History"
"Comment Text","Kommentar tekst"
"Notify Customer by Email","Notify Customer by Email"
"Visible on Storefront","Visible on Storefront"
"Customer Service","Kundeservice"
"Notified","Varslet"
"Not Notified","Ikke varslet"
"Return Address","Return Address"
"Order Shipping Address","Ordrens leveringsadresse"
"Delete Line","Slett linje"
"Select All","Velg alle"
"Weight","Vekt"
"Customs Value","Egendefinerte verdi"
"Qty Ordered","Antall bestilt"
"Shipping Information","Leveringsinformasjon"
"Change shipping method.","Endre forsendelsesmetode."
"No authorized items or allowed shipping methods","Ingen godkjente varer eller tillatte leveringsmetoder"
"Carrier","Transportør"
"Title","Tittel"
"Number","Nummer"
"Are you sure?","Er du sikker?"
"Shipping Method","Forsendelsesmåte"
"Create Shipping Label","Opprette fraktetikett"
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Order &amp; Account Information","Order &amp; Account Information"
"Return Totals","Return Totals"
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","RMA Items Requested for"
"Please Select Products to Add","Please Select Products to Add"
"Remove","Fjern"
"Item","Produkt"
"Return items","Return items"
"Sub-items","Sub-items"
"Quantity To Return","Quantity To Return"
"Remaining Quantity:","Remaining Quantity:"
"New Return for Order %1","New Return for Order %1"
"Email","E-post"
"Return Items Information","Return Items Information"
"Add Item To Return","Add Item To Return"
"Comments","Kommentarer"
"Save","Lagre"
"Submit","Lagre"
"Back","Tilbake"
"Return #","Gå tilbake #"
"Date","Dato"
"Ship From","Send Fra"
"Return Status","Return Status"
"Actions","Handlinger"
"View Return","View Return"
"You have placed no returns.","You have placed no returns."
"Packages","Pakker"
"Close Window","Lukk vindu"
"Package","Pakke"
"Type","Type"
"Length","Lengde"
"Total Weight","Totalvekt"
"Width","Bredde"
"Height","Høyde"
"Items in the Package","Enheter i pakken"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Request Information","Request Information"
"Date Requested","Date Requested"
"Shipping Address","Leveringsadresse"
"This won't take long . . .","Dette vil ikke ta lang tid . . ."
"Shipping and Tracking Information","Frakt- og sporingsinformasjon"
"Track this shipment","Spor denne forsendelsen"
"Items Return Requested For","Items Return Requested For"
"Request Qty","Request Qty"
"Hide Details","Hide Details"
"Show Details","Vis detaljer"
"Questions and Answers","Questions and Answers"
"Questions","Questions"
"Answers","Answers"
"Leave Comment","Leave Comment"
"%store_name:  New customer comment","%store_name:  New customer comment"
"New Comment for RMA #%increment_id","New Comment for RMA #%increment_id"
"Customer %name has left a new comment:","Customer %name has left a new comment:"
"%store_name : New Return #%increment_id","%store_name : New Return #%increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Your return request has been updated. Please see below."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","Hvis du har spørsmål, ta gjerne kontakt oss på <a href=""mailto:%support_email"">%support_email</a> eller på telefon %store_phone"
"Your Return #%increment_id - %status_label","Your Return #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","You can check the status of your return <a href=""%form_url"">using your order number</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Hvis du har spørsmål om retur, vennligst kontakt oss på <a href=""mailto:%support_email""> %support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","We received your return request. You will be notified when your request is reviewed."
"Placed on %created_at","Placed on %created_at"
"Click Details for more required fields.","Click Details for more required fields."
"Ok","Ok"
"Create Packages","Lage pakker"
"Add Package","Legg til pakke"
"RMA Settings","RMA Settings"
"Enable RMA on Storefront","Aktiver RMA i butikk"
"Enable RMA on Product Level","Aktiver RMA på Produktnivå"
"Use Store Address","Bruk Butikkadresse"
"Contact Name","Kontaktnavn"
"Street Address","Gateadresse"
"City","By"
"State/Province","Stat/provins"
"ZIP/Postal Code","ZIP/Postkode"
"Country","Land"
"Enabled","Aktivert"
"RMA Email Sender","RMA E-post avsender"
"RMA Email Template","RMA E-postmal"
"RMA Email Template for Guest","RMA E-post Mal for gjest"
"Send RMA Email Copy To","Send RMA Email Copy To"
"Comma-separated","Kommadelt"
"Send RMA Email Copy Method","Send RMA Epost Kopier Metode"
"RMA Authorization","RMA Autorisasjon"
"RMA Authorization Email Sender","RMA Autorisasjon Epost Sender"
"RMA Authorization Email Template","RMA Autorisasjon Epost Mal"
"RMA Authorization Email Template for Guest","RMA-Autorisasjon E-post Mal for Gjest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Kommentarer"
"RMA Comment Email Sender","RMA Kommentar Mal Avsender"
"RMA Comment Email Template","RMA Kommentar Epost Mal"
"RMA Comment Email Template for Guest","RMA Kommentar E-post Mal for Gjest"
"Send RMA Comment Email Copy To","Send RMA Comment Email Copy To"
"RMA Customer Comments","RMA Customer Comments"
"RMA Comment Email Recipient","RMA Comment Email Recipient"
"Enabled for RMA","Enabled for RMA"
"Use config","Bruk konfigurasjon"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Ugyldig skjemanøkkel. Vennligst oppdater siden."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
