"Return","Restituzione"
"You cannot delete this attribute.","Non è possibile eliminare questo attributo."
"You deleted the RMA attribute.","È stato eliminato l'attributo del RMA."
"We can't delete the RMA item attribute right now.","Non è possibile eliminare l'attributo dell'elemento RMA in questo momento"
"This attribute no longer exists.","Questo attributo non esiste più."
"You cannot edit this attribute.","Non è possibile modificare questo attributo."
"Edit Return Item Attribute","Modifica Attributo articolo di reso"
"Returns Attributes","Attributi Resi"
"New Return Attribute","Nuovo attributo reso"
"You saved the RMA item attribute.","Hai salvato l'attributo elemento RMA."
"Something went wrong while saving the RMA item attribute.","Qualcosa è andato storto durante il salvataggio dell'attributo elemento RMA."
"An attribute with the same code already exists.","Esiste già un attributo con lo stesso codice."
"The wrong RMA item was requested.","L'articolo RMA errato è stato richiesto."
"We cannot display the item attributes.","Non è possibile visualizzare gli attributi dell'elemento."
"There are no applicable items for return in this order.","Non sono presenti elementi applicabili per il reso in questo ordine."
"We don't recognize or support the file extension in shipment %1.","L'estensione del file non è stato riconosciuto o non è supportato nella spedizione %1."
"Something went wrong creating a shipping label.","Qualcosa è andato storto durante la creazione di un'etichetta di spedizione."
"A quantity you're trying to add exceeds the number of products we shipped.","Una quantità che si sta tentando di aggiungere supera il numero di prodotti che è possibile spedire."
"Products should be added to package(s)","I prodotti dovrebbero essere aggiunti ai pacchetti"
"Please enter a valid value.","Inserisci un valore valido."
"This is the wrong RMA ID.","Questo è un ID RMA errato."
"We cannot display the available shipping methods.","Non è possibile visualizzare i metodi di spedizione disponibili."
"We cannot initialize an RMA to delete a tracking number.","Non è possibile inizializzare un RMA per eliminare un numero di tracciamento."
"We can't delete the tracking number right now.","Non è possibile eliminare il numero di tracciamento in questo momento."
"We can't save this RMA.","Non è possibile salvare questo RMA."
"You saved the RMA request.","Hai salvato una richiesta RMA."
"You did not email your customer. Please check your email settings.","Non hai mandato l'email al tuo cliente. Controlla le impostazioni delle email."
"You submitted the RMA request.","Hai inviato la richiesta di RMA."
"No items for bundle product","Nessun elemento per il prodotto bundle"
"The wrong order ID or item ID was requested.","È stato richiesto un ID ordine o ID elemento errato."
"Page not found.","Pagina non trovata."
"Shipping Labels are not allowed.","Le etichette di spedizione non sono ammesse."
"Please select a valid carrier.","Seleziona un vettore valido."
"Please enter a valid tracking number.","Inserisci un numero di tracciamento valido."
"We can't add a label right now.","Non è possibile aggiungere l'etichetta in questo momento."
"You selected the wrong RMA.","Hai selezionato l'RMA sbagliato."
"We can't create a return transaction for order #%1.","Non è possibile creare una transazione di reso per l'ordine #%1."
"You submitted Return #%1.","Hai inviato il reso #%1."
"We can't create a return right now. Please try again later.","Non è possibile creare una restituzione in questo momento. Riprova più tardi."
"Create New Return","Crea nuovo reso"
"We can't delete the label right now.","Non è possibile eliminare l'etichetta in questo momento."
"Return #%1","Reso #%1"
"Cannot add message.","Non è possibile aggiungere il messaggio."
"My Returns","Resi"
"Tracking Information","Informazioni di tracciamento"
"Page not found","Pagina non trovata"
"Please check this order for errors.","Controlla questo ordine per gli errori."
"Contact Email Address","Indirizzo email di contatto"
"Text Field","Campo di testo"
"Text Area","Area di testo"
"Dropdown","Menu a tendina"
"Image File","File immagine"
"Could not save the RMA comment.","Impossibile salvare il commento RMA."
"Could not delete the RMA comment.","Impossibile cancellare il commento RMA."
"Only one RMA is available for printing","Solo un RMA è disponibile per la stampa"
"Return # ","Reso # "
"Return Date: ","Data di reso: "
"Order # ","Ordine # "
"Ordered: ","Ordinato: "
"Shipping Address:","Indirizzo di Spedizione:"
"Return Address:","Indirizzo Reso:"
"Condition","Condizione"
"Qty","Qtà"
"There is an error in quantities for item %1.","C'è un errore nelle quantità per l'articolo %1."
"Authorized Qty","Qtà autorizzata"
"Returned Qty","Qtà Reso"
"Approved Qty","Qtà Approvata"
"%1 for item %2 cannot be empty.","%1 per l'elemento %2 non può essere vuoto."
"You cannot return %1.","Non è possibile restituire %1."
"A quantity of %1 is greater than you can return.","Una quantità di %1 è maggiore di quello che puoi restituire."
"You entered an invalid type: ""%1"".","Hai inserito un tipo non valido: ""%1""."
"You entered an invalid email address: ""%1"".","Hai inserito un indirizzo email non valido: ""%1""."
"You entered an invalid hostname: ""%1""","Hai inserito un hostname non valido: ""%1"""
"""%1"" is longer than allowed.","""%1"" è più lungo di quello consentito."
"Unknown service","Servizio sconosciuto"
"We can't save this RMA. No items were specified.","Non è possibile salvare questo RMA. Nessun elemento specificato."
"Pending","In attesa"
"Partially Authorized","Parzialmente autorizzato"
"Return Received","Reso ricevuto"
"Return Partially Received","Reso parzialmente ricevuto"
"Partially Approved","Parzialmente approvato"
"Rejected","Rifiutato"
"Partially Rejected","Parzialmente respinto"
"Denied","Rifiutato"
"Closed","Chiuso"
"Processed and Closed","Elaborato e chiuso"
"This is the wrong RMA item status.","Questo è uno status dell'elemento RMA errato."
"We placed your Return request.","Abbiamo chiuso la tua richiesta di reso."
"We authorized your Return request.","Abbiamo autorizzato la richiesta di reso."
"We partially authorized your Return request.","Abbiamo autorizzato parzialmente la richiesta di reso."
"We received your Return request.","Abbiamo ricevuto la richiesta di reso."
"We partially received your Return request.","Abbiamo ricevuto parzialmente la richiesta di reso."
"We partially approved your Return request.","Abbiamo parzialmente approvato la richiesta di reso."
"We partially rejected your Return request.","Abbiamo parzialmente respinto la richiesta di reso."
"We closed your Return request.","Abbiamo chiuso la richiesta di reso."
"We processed and closed your Return request.","Abbiamo elaborato e chiuso la richiesta di reso."
"ID cannot be an empty","L'ID non può essere vuoto"
"Requested entity doesn't exist","L'entità richiesta non esiste"
"Could not save the RMA entity.","Impossibile salvare l'entità RMA."
"Could not delete the RMA entity.","Impossibile cancellare l'entità RMA."
"Please enter a valid comment.","Inserisci un commento valido."
"No such entity with %1 = %2, %3 = %4","Nessun tale entità con %1 = %2, %3 = %4"
"Invalid carrier: %1","Vettore non valido: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Abbiamo bisogno di ulteriori informazioni per creare ila tua etichetta di spedizione. Verifica le informazioni del negozio e le impostazioni di spedizione."
"No detail for number ""%1""","Nessun dettaglio per il numero ""%1"""
"Shipment does not exists.","La spedizione non esiste."
"We can't load track with retrieving identifier right now.","Non è possibile caricare il tracciamento con l'identificatore recuperato in questo momento."
"Could not save the RMA tracking.","Impossibile salvare il tracking RMA."
"Could not delete the RMA tracking.","Impossibile cancellare il tracking RMA."
"Message","Messaggio"
"No detail for number ""' . . '""","Nessun dettaglio per il numero "" '. . '"""
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"All Items","Tutti gli elementi"
"Individual Items","Singoli elementi"
"Account &amp; Shipping Information","Account e informazioni sulla spedizione"
"Address Information","Informazioni indirizzo"
"RMA Totals","RMA totali"
"Request Details","Dettagli richiesta"
"ID","ID"
"#","#"
"Order ID","ID ordine"
"Customer Name","Nome cliente"
"Email Address","Indirizzo email"
"RMA History","Cronologia RMA"
"Comment Text","Testo del commento"
"Notify Customer by Email","Notifica il cliente via email"
"Visible on Storefront","Visibile sul Frontend"
"Customer Service","Assistenza Clienti"
"Notified","Notificato"
"Not Notified","Non notificato"
"Return Address","Indirizzo Reso"
"Order Shipping Address","Indirizzo di spedizione ordine"
"Delete Line","Elimina Riga"
"Select All","Seleziona tutto"
"Weight","Peso"
"Customs Value","Valore Personalizzato"
"Qty Ordered","Qtà ordinata"
"Shipping Information","Informazioni di spedizione"
"Change shipping method.","Modifica il metodo di spedizione."
"No authorized items or allowed shipping methods","Nessun articolo autorizzato o metodi di spedizione consentiti"
"Carrier","Vettore"
"Title","Titolo"
"Number","Numero"
"Are you sure?","Sei sicuro?"
"Shipping Method","Metodo di Spedizione"
"Create Shipping Label","Crea etichetta di spedizione"
"Enabled when authorized items require a new shipment.","Abilita quando gli elementi autorizzati richiedono una nuova spedizione."
"Order &amp; Account Information","Ordine &amp; informazioni sull'Account"
"Return Totals","Resi Totali"
"Return Confirmation","Conferma Reso"
"Email Returns Confirmation","Email conferma reso"
"RMA Items Requested for","Elementi RMA richiesti per"
"Please Select Products to Add","Seleziona i prodotti da aggiungere"
"Remove","Elimina"
"Item","Oggetto"
"Return items","Elementi reso"
"Sub-items","Elementi secondari"
"Quantity To Return","Quantità per il Reso"
"Remaining Quantity:","Quantità rimanente:"
"New Return for Order %1","Nuovo reso per l'ordine %1"
"Email","Email"
"Return Items Information","Informazioni elementi Reso"
"Add Item To Return","Aggiungi elemento al Reso"
"Comments","Commenti"
"Save","Salva"
"Submit","Invia"
"Back","Indietro"
"Return #","Reso #"
"Date","Data"
"Ship From","Spedisci da"
"Return Status","Status Reso"
"Actions","Azioni"
"View Return","Vedi Reso"
"You have placed no returns.","Non hai nessun reso inserito."
"Packages","Pacchetti"
"Close Window","Chiudi finestra"
"Package","Pacchetto"
"Type","Tipo"
"Length","Lunghezza"
"Total Weight","Peso totale"
"Width","Larghezza"
"Height","Altezza"
"Items in the Package","Elementi nel pacchetto"
"Are you sure you want to delete this tracking information?","Sei sicuro di voler cancellare le informazioni di tracciamento?"
"Request Information","Richiesta informazioni"
"Date Requested","Data richiesta"
"Shipping Address","Indirizzo di Spedizione"
"This won't take long . . .","Non ci vorrà molto . . ."
"Shipping and Tracking Information","Informazioni di spedizione e di tracciamento"
"Track this shipment","Rintraccia la spedizione"
"Items Return Requested For","Elementi Reso richiesti per"
"Request Qty","Qtà richiesta"
"Hide Details","Nascondi dettagli"
"Show Details","Mostra dettagli"
"Questions and Answers","Domande e risposte"
"Questions","Domande"
"Answers","Risposte"
"Leave Comment","Lascia un commento"
"%store_name:  New customer comment","%store_name: Nuovo commento del cliente"
"New Comment for RMA #%increment_id","Nuovo commento per l'RMA #%increment_id"
"Customer %name has left a new comment:","Il cliente %name ha lasciato un nuovo commento:"
"%store_name : New Return #%increment_id","%store_name: Nuovo ritorno #%increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","La richiesta di reso è stata aggiornata. Vedere di seguito."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","È possibile controllare lo stato del tuo reso <a href=""%account_url""> accedendo al tuo account</a> o <a href=""%form_url""> utilizzando il tuo numero di ordine</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","Se avete domande, non esitate a contattarci al <a href=""mailto:%support_email""> %support_email</a> o per telefono al %store_phone"
"Your Return #%increment_id - %status_label","Il tuo reso #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: Nuovo reso #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","È possibile controllare lo stato del vostro reso <a href=""%form_url""> utilizzando il tuo numero d'ordine</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Se hai domande sul tuo reso, contattateci a <a href=""mailto:%support_email""> %support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Reso #%increment_id"
"We received your return request. You will be notified when your request is reviewed.","Abbiamo ricevuto la richiesta di reso. Verrai avvisato quando la richiesta sarà esaminata."
"Placed on %created_at","Creato il %created_at"
"Click Details for more required fields.","Fai clic su dettagli per più campi richiesti."
"Ok","Ok"
"Create Packages","Crea pacchetti"
"Add Package","Aggiungi il pacchetto"
"RMA Settings","Impostazioni RMA"
"Enable RMA on Storefront","Abilita RMA sul Frontend"
"Enable RMA on Product Level","Abilita RMA a livello di prodotto"
"Use Store Address","Usa indirizzo Negozio"
"Contact Name","Nome"
"Street Address","Indirizzo"
"City","Città"
"State/Province","Provincia/Regione"
"ZIP/Postal Code","CAP"
"Country","Nazione"
"Enabled","Abilitato"
"RMA Email Sender","Mittente Email RMA"
"RMA Email Template","Template Email RMA"
"RMA Email Template for Guest","Template Email RMA per gli ospiti"
"Send RMA Email Copy To","Invia Email RMA in copia a"
"Comma-separated","Separati da virgola"
"Send RMA Email Copy Method","Metodo invio copia email RMA"
"RMA Authorization","Autorizzazione RMA"
"RMA Authorization Email Sender","Mittente email autorizzazione RMA"
"RMA Authorization Email Template","Template email autorizzazione RMA"
"RMA Authorization Email Template for Guest","Template email autorizzazione RMA per gli ospiti"
"Send RMA Authorization Email Copy To","Invia copia email autorizzazione RMA a"
"Send RMA Authorization Email Copy Method","Metodo di invio copia email autorizzazione RMA"
"RMA Admin Comments","Commenti Admin RMA"
"RMA Comment Email Sender","Mittente Email commento RMA"
"RMA Comment Email Template","Template email commento RMA"
"RMA Comment Email Template for Guest","Template email commento RMA per gli ospiti"
"Send RMA Comment Email Copy To","Invia copia email commento RMA a"
"RMA Customer Comments","Commenti RMA Cliente"
"RMA Comment Email Recipient","Email destinatario commento RMA"
"Enabled for RMA","Abilitato per RMA"
"Use config","Utilizzare config"
"%store_name : New Return # %increment_id","%store_name: Nuovo Ritorno # %increment_id"
"%store_name: New Return # %increment_id","%store_name: Nuovo ritorno # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Aggiornamento Ritorno # %increment_id"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","L'attributo non può essere salvato a causa di un errore. Verifica le tue informazioni e riprova. Se l'errore persiste, riprova più tardi."
"Please correct the value for file extensions.","Correggi il valore per l'estensione del file."
"Invalid Form Key. Please refresh the page.","Chiave form non valida. Si prega di aggiornare la pagina."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","Lo spedizioniere ""%1"" non è valido. Verificare e riprovare."
