"Return","إرجاع"
"You submitted Return #%1.","You submitted Return #%1."
"We can't create a return right now. Please try again later.","لا يمكننا إنشاء إرجاع الآن. الرجاء المحاولة مرة أخرى لاحقاً."
"Create New Return","Create New Return"
"We can't delete the label right now.","لا يمكننا حذف التسمية الآن."
"Return #%1","Return #%1"
"Cannot add message.","Cannot add message."
"My Returns","مرتجعاتي"
"Tracking Information","Tracking Information"
"Page not found","Page not found"
"Please check this order for errors.","Please check this order for errors."
"Contact Email Address","بريد الموقع"
"Text Field","حقل النص"
"Text Area","منطقة النص"
"Dropdown","انزال"
"Image File","ملف الصورة"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Only one RMA is available for printing"
"Return # ","Return # "
"Return Date: ","Return Date: "
"Order # ","رقم الطلب # "
"Ordered: ","Ordered: "
"Shipping Address:","عنوان الشحن:"
"Return Address:","Return Address:"
"Condition","الشرط"
"Qty","الكميّة"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","الكمية المصرح بها"
"Returned Qty","الكمية المرتجعة"
"Approved Qty","الكمية المعتمدة"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"A quantity of %1 is greater than you can return.","A quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","لا يمكننا حفظ إرجاع البضائع. لم يتم تحديد أية عناصر."
"Pending","في إنتظار المُراجعة"
"Partially Authorized","Partially Authorized"
"Return Received","Return Received"
"Return Partially Received","Return Partially Received"
"Partially Approved","Partially Approved"
"Rejected","Rejected"
"Partially Rejected","Partially Rejected"
"Denied","Denied"
"Closed","مغلق"
"Processed and Closed","Processed and Closed"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","We authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"ID cannot be an empty","ID cannot be an empty"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","الرجاء إدخال تعليق بشكل صحيح."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","No detail for number ""%1"""
"Shipment does not exists.","Shipment does not exists."
"We can't load track with retrieving identifier right now.","لا يمكننا تحميل المسار مع استرداد المعرف الآن."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","No detail for number ""' . . '"""
"Use Config Settings","استخدام اعداد الاعدادات"
"All Items","All Items"
"Individual Items","Individual Items"
"Account &amp; Shipping Information","حساب و معلومات الشحن"
"Address Information","معلومات العنوان"
"RMA Totals","RMA Totals"
"Request Details","Request Details"
"ID","التعريف"
"#","#"
"Order ID","رقم الطلب"
"Customer Name","اسم العميل"
"Email Address","البريد الإلكتروني"
"RMA History","RMA History"
"Comment Text","نص التعليق"
"Notify Customer by Email","إبلغ العميل بالبريد الإلكتروني"
"Visible on Storefront","Visible on Storefront"
"Customer Service","خدمة العملاء"
"Notified","اشعار"
"Not Notified","Not Notified"
"Return Address","Return Address"
"Order Shipping Address","عنوان شحن الطلب"
"Delete Line","Delete Line"
"Select All","اختيار الكل"
"Weight","الوزن"
"Customs Value","Customs Value"
"Qty Ordered","الكمية المطلوبة"
"Shipping Information","بيانات الشحن"
"Change shipping method.","تغيير طريقة الشحن."
"No authorized items or allowed shipping methods","No authorized items or allowed shipping methods"
"Carrier","الناقل"
"Title","العنوان"
"Number","رقم"
"Are you sure?","هل أنت متأكد؟"
"Shipping Method","طريقة الشحن"
"Create Shipping Label","Create Shipping Label"
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Order &amp; Account Information","Order &amp; Account Information"
"Return Totals","Return Totals"
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","RMA Items Requested for"
"Please Select Products to Add","Please Select Products to Add"
"Remove","ازالة"
"Item","سلعة"
"Return items","Return items"
"Sub-items","Sub-items"
"Quantity To Return","الكمية المرتجعة"
"Remaining Quantity:","الكمية المتبقية:"
"New Return for Order %1","New Return for Order %1"
"Email","البريد الإلكتروني"
"Return Items Information","Return Items Information"
"Add Item To Return","Add Item To Return"
"Comments","Comments"
"Save","حفظ"
"Submit","إرسال"
"Back","رجوع"
"Return #","مرتجع #"
"Date","التاريخ"
"Ship From","Ship From"
"Return Status","حالة مرتجع"
"Actions","اعمال"
"View Return","View Return"
"You have placed no returns.","You have placed no returns."
"Packages","مجموعات"
"Close Window","أغلق النافذه"
"Package","الحزمة"
"Type","النوع"
"Length","Length"
"Total Weight","الوزن الإجمالي"
"Width","العرض"
"Height","الارتفاع"
"Items in the Package","Items in the Package"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Request Information","Request Information"
"Date Requested","Date Requested"
"Shipping Address","عنوان الشحن"
"This won't take long . . .","هذا لن يستغرق وقتاً طويلاً . . ."
"Shipping and Tracking Information","الشحن ومعلومات تتبع الشحنة"
"Track this shipment","متابعة هذه الشحنه"
"Items Return Requested For","Items Return Requested For"
"Request Qty","طلب كمية"
"Hide Details","Hide Details"
"Show Details","Show Details"
"Questions and Answers","Questions and Answers"
"Questions","Questions"
"Answers","Answers"
"Leave Comment","Leave Comment"
"%store_name:  New customer comment","%store_name:  New customer comment"
"New Comment for RMA #%increment_id","New Comment for RMA #%increment_id"
"Customer %name has left a new comment:","Customer %name has left a new comment:"
"%store_name : New Return #%increment_id","%store_name : New Return #%increment_id"
"%name,","%name،"
"Your return request has been updated. Please see below.","Your return request has been updated. Please see below."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","Your Return #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","You can check the status of your return <a href=""%form_url"">using your order number</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","We received your return request. You will be notified when your request is reviewed."
"Placed on %created_at","Placed on %created_at"
"Click Details for more required fields.","Click Details for more required fields."
"Ok","موافق"
"Create Packages","Create Packages"
"Add Package","Add Package"
"RMA Settings","RMA Settings"
"Enable RMA on Storefront","Enable RMA on Storefront"
"Enable RMA on Product Level","Enable RMA on Product Level"
"Use Store Address","Use Store Address"
"Contact Name","Contact Name"
"Street Address","عنوان الشارع"
"City","المدينة"
"State/Province","ولاية/محافظة"
"ZIP/Postal Code","الرمز البريدي"
"Country","الدولة"
"Enabled","تفعيل"
"RMA Email Sender","RMA Email Sender"
"RMA Email Template","RMA Email Template"
"RMA Email Template for Guest","RMA Email Template for Guest"
"Send RMA Email Copy To","Send RMA Email Copy To"
"Comma-separated","Comma-separated"
"Send RMA Email Copy Method","Send RMA Email Copy Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization Email Sender"
"RMA Authorization Email Template","RMA Authorization Email Template"
"RMA Authorization Email Template for Guest","RMA Authorization Email Template for Guest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment Email Sender"
"RMA Comment Email Template","RMA Comment Email Template"
"RMA Comment Email Template for Guest","RMA Comment Email Template for Guest"
"Send RMA Comment Email Copy To","Send RMA Comment Email Copy To"
"RMA Customer Comments","RMA Customer Comments"
"RMA Comment Email Recipient","RMA Comment Email Recipient"
"Enabled for RMA","تمكين إرجاع البضائع"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
