"Return","İade"
"Delete Attribute","Özelliği Sil"
"Edit Return Item Attribute ""%1""","Dönüş Öğesi Özelliğini Düzenle ''%1''"
"New Return Item Attribute","Yeni Dönüş Öğesi Özelliği"
"Input Type","Giriş Tipi"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Bu dahili olarak kullanılır. Boşluk veya %1'den fazla sembol kullanmadığınızdan emin olun."
"Lines Count","Satır sayısı"
"Valid range 2-20","Geçerli aralık 2-20"
"Input Validation","Giriş Doğrulaması"
"None","Hiçbiri"
"Minimum Text Length","En az Metin Uzunluğu"
"Maximum Text Length","En Fazla Metin Uzunluğu"
"Maximum File Size (bytes)","Maksimum Dosya Boyutu (bayt)"
"File Extensions","Dosya Uzantıları"
"Comma separated","Comma separated"
"Maximum Image Width (px)","Maksimum resim genişliği (piksel)"
"Maximum Image Height (px)","Maksimum Resim Yüksekliği (px)"
"Input/Output Filter","Giriş/Çıkış Filtresi"
"Storefront Properties","Mağazanın Özellikleri"
"Show on Storefront","Mağazada Göster"
"Sort Order","Sıralama"
"Forms to Use In","Kullanılacak Formlar"
"Properties","Özellikler"
"Manage Label / Options","Etiket / Seçenek Yönetimi"
"Attribute Information","Özellik Bilgisi"
"Visible to Customer","Müşteriye Görünür"
"Submit Returns","İade Gönder"
"Add Products","Ürün Ekle"
"Add Selected Product(s) to returns","Seçilen Ürün(leri) İadelere Ekle"
"Product Name","Ürün Adı"
"Remaining Qty","Kalan miktar"
"Requested Qty","İstenen miktar"
"Reason to Return","İade Nedeni"
"Delete","Sil"
"Add Details","Detayları ekle"
"Select","Seçiniz"
"Price","Fiyat"
"The wrong RMA was requested.","Yanlış RMA talep edildi."
"This is the wrong RMA order ID.","Bu, yanlış RMA sipariş kimliği."
"Invalid RMA","Geçersiz RMA"
"Please enter a valid message.","Lütfen geçerli bir mesaj girin."
"We cannot add the RMA history.","RMA geçmişini ekleyemiyoruz."
"Invalid order","Geçersiz Sipariş"
"We can't retrieve the product list right now.","Şu anda ürün listesini geri alamıyoruz."
"Please specify a carrier.","Lütfen bir taşıyıcı belirtin."
"Please enter a tracking number.","Lütfen bir takip numarası girin."
"We cannot initialize an RMA to add a tracking number.","Bir takip numarası eklemek için RMA başlatamayız."
"We can't add a message right now.","Şu anda bir mesaj ekleyemiyoruz."
"New Return","Yeni İade"
"%1 RMA(s) cannot be closed","%1 RMA (lar) kapatılamıyor"
"We cannot close the RMA request(s).","RMA istek(ler) ini kapatamıyoruz."
"%1 RMA (s) have been closed.","%1 RMA (lar) kapatıldı."
"You created a shipping label.","Bir sevkiyat etiketi oluşturdunuz."
"We can't create a shipping label right now.","Şu anda bir gönderim etiketi oluşturamıyoruz."
"Manage RMA Item Attributes","RMA Öğe Özelliklerini Yönet"
"You cannot delete this attribute.","Bu niteliği silemezsiniz."
"You deleted the RMA attribute.","RMA özniteliğini sildiniz."
"We can't delete the RMA item attribute right now.","Şu anda RMA öğe özelliğini silemiyoruz."
"This attribute no longer exists.","Bu özellik artık mevcut değil."
"You cannot edit this attribute.","Bu niteliği düzenleyemezsiniz."
"Edit Return Item Attribute","Dönüş Öğesi Özniteliğini Düzenle"
"Returns Attributes","Öznitelikleri Geri Getir"
"New Return Attribute","Yeni İade Özelliği"
"You saved the RMA item attribute.","RMA öğesi özelliğini kaydettiniz."
"Something went wrong while saving the RMA item attribute.","RMA öğesi özelliği kaydedilirken bir sorun oluştu."
"An attribute with the same code already exists.","Aynı koda sahip bir özellik zaten var."
"The wrong RMA item was requested.","Yanlış RMA öğesi talep edildi."
"We cannot display the item attributes.","Öğe özelliklerini görüntüleyemiyoruz."
"There are no applicable items for return in this order.","Bu sırada iade için uygulanabilir herhangi bir öğe yok."
"We don't recognize or support the file extension in shipment %1.","Sevkiyatındaki dosya uzantısını tanımıyoruz veya desteklemiyoruz. %1."
"Something went wrong creating a shipping label.","Gönderim etiketi oluştururken bir sorun oluştu."
"A quantity you're trying to add exceeds the number of products we shipped.","Eklemeye çalıştığınız miktar, gönderdiğimiz ürün sayısını aşıyor."
"Products should be added to package(s)","Paketlere eklenecek ürünler"
"Please enter a valid value.","Lütfen geçerli bir değer girin."
"This is the wrong RMA ID.","Bu, yanlış RMA Kimliğidir."
"We cannot display the available shipping methods.","Mümkün olan sevkiyat yöntemleri görüntülenemiyor."
"We cannot initialize an RMA to delete a tracking number.","Bir takip numarasını silmek için RMA başlatamayız."
"We can't delete the tracking number right now.","Şu anda izleme numarasını silemiyoruz."
"We can't save this RMA.","Bu RMA'yı kaydedemedik."
"You saved the RMA request.","RMA isteğini kaydettiniz."
"You did not email your customer. Please check your email settings.","Müşterinize e-posta göndermediniz. Lütfen e-posta ayarlarınızı kontrol edin."
"You submitted the RMA request.","RMA isteğini gönderdiniz."
"No items for bundle product","Paket ürünü için öğe yok"
"The wrong order ID or item ID was requested.","Yanlış sipariş kimliği veya öğe kimliği istendi."
"Page not found.","Sayfa bulunamadı."
"Shipping Labels are not allowed.","Kargo etiketlerine izin verilmiyor."
"Please select a valid carrier.","Lütfen geçerli bir taşıyıcı seçin."
"Please enter a valid tracking number.","Lütfen geçerli bir takip numarası girin."
"We can't add a label right now.","Şu anda bir etiket ekleyemiyoruz."
"You selected the wrong RMA.","Yanlış RMA'yı seçtiniz."
"We can't create a return transaction for order #%1.","Sipariş #%1 için iade işlemi oluşturulamıyor."
"You submitted Return #%1.","#%1 i iade ettiniz."
"We can't create a return right now. Please try again later.","Şu anda iade oluşturamıyoruz. Lütfen daha sonra tekrar deneyin."
"Create New Return","Yeni Dönüş Oluştur"
"We can't delete the label right now.","Şu anda etiketi silemiyoruz."
"Return #%1","#%1 iade et"
"Cannot add message.","Mesaj eklenemez."
"My Returns","Dönüşlerim"
"Tracking Information","İzleme Bilgisi"
"Page not found","Sayfa bulunamadı"
"Please check this order for errors.","Lütfen hata olmaması için bu siparişi kontrol edin."
"Contact Email Address","E-posta adresini girin"
"Text Field","Yazı Kutusu"
"Text Area","Yazı Alanı"
"Dropdown","Açılır Menü"
"Image File","Görüntü dosyası"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Yazdırma için sadece bir RMA kullanılabilir"
"Return # ","İade # "
"Return Date: ","İade tarihi:"
"Order # ","Sipariş #"
"Ordered: ","Sipariş: "
"Shipping Address:","Teslimat adresi:"
"Return Address:","İade Adresi:"
"Condition","Koşul"
"Qty","Miktar"
"There is an error in quantities for item %1.","%1 öğesindeki miktarlarda bir hata var."
"Authorized Qty","Yetkili Qty ler"
"Returned Qty","İade edilen miktar"
"Approved Qty","Onaylanan miktar"
"%1 for item %2 cannot be empty.","%2 öğesi için %1 boş bırakılamaz."
"You cannot return %1.","%1 iade edilemez."
"A quantity of %1 is greater than you can return.","%1 miktarı, geri dönebileceğinizden daha büyük."
"You entered an invalid type: ""%1"".","Geçersiz bir tür girdiniz: ""%1""."
"You entered an invalid email address: ""%1"".","Geçersiz bir e-posta adresi girdiniz: ""%1""."
"You entered an invalid hostname: ""%1""","Geçersiz bir hostname girdiniz: ""%1"""
"""%1"" is longer than allowed.","""%1"" izin verilen süreden uzun."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","Bu RMA'yı kaydedemiyoruz. Hiçbir öğe belirtilmedi."
"Pending","Bekliyor"
"Partially Authorized","Kısmen Yetkili"
"Return Received","Alınan İade"
"Return Partially Received","Kısmen Alınan İade"
"Partially Approved","Kısmen Onaylandı"
"Rejected","Reddedildi"
"Partially Rejected","Kısmen Reddedildi"
"Denied","Reddedildi"
"Closed","Kapatıldı"
"Processed and Closed","İşlendi ve Kapandı"
"This is the wrong RMA item status.","Bu, yanlış RMA öğe durumudur."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","İade talebinizi onayladık."
"We partially authorized your Return request.","İade talebinizi kısmen yetkilendirdik."
"We received your Return request.","İade talebinizi aldık."
"We partially received your Return request.","İade talebinizi kısmen aldık."
"We partially approved your Return request.","İade talebinizi kısmen onayladık."
"We partially rejected your Return request.","İade talebinizi kısmen reddettik."
"We closed your Return request.","İade talebinizi kapattık."
"We processed and closed your Return request.","İade isteğinizi işledik ve kapattık."
"ID cannot be an empty","Kimlik bilgisi boş olamaz"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Lütfen geçerli bir yorum girin."
"No such entity with %1 = %2, %3 = %4","Böyle bir varlık yok %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Gönderim etiket(ler)inizi oluşturmak için daha fazla bilgiye ihtiyacımız var. Lütfen mağaza bilgilerinizi ve gönderim ayarlarınızı doğrulayın."
"No detail for number ""%1""","Numara detayı yok ''%1''"
"Shipment does not exists.","Sevkiyat mevcut değil."
"We can't load track with retrieving identifier right now.","Kurtarılan tanımlayıcı ile şu anda takip yürütemiyoruz."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","Numara detayı yok ""' . . '"""
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"All Items","Tüm Ürünler"
"Individual Items","Kişisel Ürünler"
"Account &amp; Shipping Information","Hesap &amp; Nakliye Bilgisi"
"Address Information","Adres Bilgisi"
"RMA Totals","RMA Toplam"
"Request Details","İstek Detayları"
"ID","No"
"#","#"
"Order ID","Sipariş No"
"Customer Name","Müşteri Adı"
"Email Address","E-posta Adresiniz"
"RMA History","RMA geçmişi"
"Comment Text","Açıklama Metni"
"Notify Customer by Email","Müşteriyi E-posta ile Bilgilendir"
"Visible on Storefront","Mağazada görünür"
"Customer Service","Müşteri Hizmetleri"
"Notified","Bildirilmiş"
"Not Notified","Bildirilmemiş"
"Return Address","İade Adresi"
"Order Shipping Address","Sipariş teslim adresi"
"Delete Line","Satırı sil"
"Select All","Hepsini Seç"
"Weight","Ağırlık"
"Customs Value","Özel Değer"
"Qty Ordered","Sipariş Edilen Miktar"
"Shipping Information","Teslimat Bilgisi"
"Change shipping method.","Nakliye yöntemini değiştir."
"No authorized items or allowed shipping methods","Yetkili öğe yok veya gönderim yöntemlerine izin verilmiyor"
"Carrier","Taşıyıcı"
"Title","Başlık"
"Number","Numara"
"Are you sure?","Emin misiniz?"
"Shipping Method","Teslimat Yöntemi"
"Create Shipping Label","Kargo Etiketi Oluştur"
"Enabled when authorized items require a new shipment.","Yetkili ürünler yeni bir sevkiyat gerektiğinde etkinleştirilir."
"Order &amp; Account Information","Sipariş &amp; Hesap Bilgileri"
"Return Totals","İade toplamları"
"Return Confirmation","İade Onayı"
"Email Returns Confirmation","E-posta İade Onayı"
"RMA Items Requested for","İstenen RMA Öğeleri"
"Please Select Products to Add","Eklenecek Ürünleri Seçiniz"
"Remove","Kaldır"
"Item","Ürün"
"Return items","İade Ürünleri"
"Sub-items","Alt-ürünler"
"Quantity To Return","Geri Dönüş Miktarı"
"Remaining Quantity:","Kalan Miktar:"
"New Return for Order %1","Sipariş için Yeni İade %1"
"Email","E-posta"
"Return Items Information","Ürünlerin iade bilgisi"
"Add Item To Return","İade için Ürün Ekle"
"Comments","Açıklamalar"
"Save","Kaydet"
"Submit","Gönder"
"Back","Geri"
"Return #","İade #"
"Date","Tarih"
"Ship From","Gönderilen yer"
"Return Status","İade durumu"
"Actions","İşlemler"
"View Return","İadeyi Görüntüle"
"You have placed no returns.","Herhangi bir siparişiniz bulunmamaktadır."
"Packages","Paketler"
"Close Window","Pencereyi Kapat"
"Package","Paket"
"Type","Tip"
"Length","Uzunluk"
"Total Weight","Toplam Ağırlık"
"Width","Genişlik"
"Height","Yükseklik"
"Items in the Package","Paketteki Ürünler"
"Are you sure you want to delete this tracking information?","Bu izleme bilgilerini silmek istediğinizden emin misiniz?"
"Request Information","Bilgi İsteme"
"Date Requested","İstenen Tarih"
"Shipping Address","Teslimat Adresi"
"This won't take long . . .","Uzun sürmeyecek. . ."
"Shipping and Tracking Information","Teslimat ve İzleme Bilgisi"
"Track this shipment","Kargoyu izle"
"Items Return Requested For","Items Return Requested For"
"Request Qty","Istenen miktar"
"Hide Details","Detayları Gizle"
"Show Details","Detayları Göster"
"Questions and Answers","Sorular ve cevaplar"
"Questions","Sorular"
"Answers","Cevaplar"
"Leave Comment","Yorum bırak"
"%store_name:  New customer comment","%store_name: Yeni müşteri yorumu"
"New Comment for RMA #%increment_id","RMA için yeni yorum #%increment_id"
"Customer %name has left a new comment:","Müşteri %name yeni yorum yaptı:"
"%store_name : New Return #%increment_id","%store_name : Yeni İade #%increment_id"
"%name,","%isim,"
"Your return request has been updated. Please see below.","İade talebiniz güncellendi. Lütfen aşağıya bakın."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","<a href=""%account_url"">Hesabınıza giriş</a>yaparak veya <a href=""%form_url"">sipariş numaranızı kullanarak</a> iadenizin durumunu kontrol edebilirsiniz."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","İadeniz #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","<a href=""%form_url""> sipariş numaranızı kullanarak</a> iadenizin durumunu kontrol edebilirsiniz."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Ürün iadeniz hakkında herhangi bir sorunuz varsa, bize <a href=""mailto:%support_email""> %support_email</a> ulaşın."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","İade talebinizi aldık. İsteğinizi gözden geçirilip sizinle iletişime geçilecektir."
"Placed on %created_at","Şuraya yerleştirildi: %created_at"
"Click Details for more required fields.","Daha fazla zorunlu alanlar için Ayrıntılar 'a tıklayın."
"Ok","Tamam"
"Create Packages","Paket Oluştur"
"Add Package","Paket Ekle"
"RMA Settings","RMA Ayarları"
"Enable RMA on Storefront","Vitrindeki RMA yı etkinleştir"
"Enable RMA on Product Level","Ürün Seviyesinde RMA'yı etkinleştir"
"Use Store Address","Mağaza Adresini Kullan"
"Contact Name","Kişi Adı"
"Street Address","Adres"
"City","Şehir"
"State/Province","Eyalet/Şehir"
"ZIP/Postal Code","Zip/Posta Kodu"
"Country","Ülke"
"Enabled","Aktif edildi"
"RMA Email Sender","RMA E-posta göndericisi"
"RMA Email Template","RMA E-posta Şablonu"
"RMA Email Template for Guest","Misafir için RMA E-posta Şablonu"
"Send RMA Email Copy To","RMA E-posta kopyasını şuna gönder"
"Comma-separated","Virgülle ayrılmış"
"Send RMA Email Copy Method","RMA E-posta Kopyalama Yöntemi Gönder"
"RMA Authorization","RMA Yetkilendirme"
"RMA Authorization Email Sender","RMA yetkilendirme Email gönderici"
"RMA Authorization Email Template","RMA yetkilendirme Email şablonu"
"RMA Authorization Email Template for Guest","Misafir için RMA yetkilendirme Email şablonu"
"Send RMA Authorization Email Copy To","RMA yetkilendirme E-posta kopyasını şuna gönder"
"Send RMA Authorization Email Copy Method","RMA yetkilendirme E-postası kopyalama methodu"
"RMA Admin Comments","RMA Yönetici Yorumları"
"RMA Comment Email Sender","RMA yorum E-posta göndericisi"
"RMA Comment Email Template","RMA yorum E-posta şablonu"
"RMA Comment Email Template for Guest","Misafir için RMA yorum E posta şablonu"
"Send RMA Comment Email Copy To","RMA yorum E-posta kopyasını şuna gönder"
"RMA Customer Comments","RMA müşteri yorumları"
"RMA Comment Email Recipient","RMA yorum E-posta alıcıları"
"Enabled for RMA","RMA için etkinleştirildi"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
