"Return","Devolución"
"Input/Output Filter","Filtro de entrada/salida"
"Storefront Properties","Propiedades de fachada"
"Show on Storefront","Mostrar en el Escaparate"
"Sort Order","Orden de aparición"
"Forms to Use In","Formularios para usar en"
"Properties","Propiedades"
"Manage Label / Options","Gestionar etiquetas y opciones"
"Attribute Information","Información de atributo"
"Visible to Customer","Visible al cliente"
"Submit Returns","Enviar devoluciones"
"Add Products","Añadir productos"
"Add Selected Product(s) to returns","Añadir productos seleccionados a devoluciones"
"Product Name","Nombre del producto"
"Remaining Qty","Cantidad restante"
"Requested Qty","Cantidad solicitada"
"Reason to Return","Razón de la devolución"
"Delete","Borrar"
"Add Details","Añadir detalles"
"Select","Seleccionar"
"Price","Precio"
"The wrong RMA was requested.","La RMA incorrecta fue solicitada."
"This is the wrong RMA order ID.","Este es el ID de pedido RMA incorrecto."
"Invalid RMA","RMA inválido"
"Please enter a valid message.","Por favor ingrese un mensaje válido."
"We cannot add the RMA history.","No podemos añadir la historia RMA."
"Invalid order","Pedido Inválido"
"We can't retrieve the product list right now.","No podemos recuperar la lista de productos en este momento."
"Please specify a carrier.","Por favor especifique un portador."
"Please enter a tracking number.","Por favor, introduzca un número de seguimiento."
"We cannot initialize an RMA to add a tracking number.","No podemos inicializar un RMA para agregar un número de seguimiento."
"We can't add a message right now.","No podemos agregar un mensajeen este momento."
"New Return","Nueva devolución"
"%1 RMA(s) cannot be closed","%1 RMA(s) no se puede cerrar"
"We cannot close the RMA request(s).","No podemos cerrar las solicitudes RMA."
"%1 RMA (s) have been closed.","%1 RMA (s) han sido cerradas."
"You created a shipping label.","Ha creado una etiqueta de envío."
"We can't create a shipping label right now.","No podemos crear una etiqueta de envío en este momento."
"Manage RMA Item Attributes","Administrar atributos de elementos de RMA"
"You cannot delete this attribute.","No puedes eliminar este atributo."
"You deleted the RMA attribute.","Ha eliminado el atributo RMA."
"We can't delete the RMA item attribute right now.","No podemos eliminar el atributo de elemento RMA en este momento."
"This attribute no longer exists.","Este atributo ya no existe."
"You cannot edit this attribute.","No puedes editar este atributo."
"Edit Return Item Attribute","Editar atributo de artículo de devolución"
"Returns Attributes","Atributos de Devolución"
"New Return Attribute","Nuevo atributo de devolución"
"You saved the RMA item attribute.","Guardaste el atributo del elemento RMA."
"Something went wrong while saving the RMA item attribute.","Algo salió mal al guardar el atributo del elemento RMA."
"An attribute with the same code already exists.","Ya existe un atributo con el mismo código."
"The wrong RMA item was requested.","El artículo RMA incorrecto fue solicitado."
"We cannot display the item attributes.","No podemos mostrar los atributos del elemento."
"There are no applicable items for return in this order.","No hay aplicables artículos para la vuelta en este orden."
"We don't recognize or support the file extension in shipment %1.","No podemos reconocer o admitir la extensión de archivo en este envío: %1."
"Something went wrong creating a shipping label.","Algo estuvo mal crear una etiqueta de envío."
"A quantity you're trying to add exceeds the number of products we shipped.","Una cantidad que está tratando de añadir excede el número de productos que enviamos."
"Products should be added to package(s)","Los artículos deberían ser añadidos a paquete(s)"
"Please enter a valid value.","Por favor, ingrese un valor válido."
"This is the wrong RMA ID.","Esta es la ID de RMA incorrecta."
"We cannot display the available shipping methods.","No podemos mostrar los métodos de envío disponibles."
"We cannot initialize an RMA to delete a tracking number.","No podemos inicializar un RMA para borrar un número de seguimiento."
"We can't delete the tracking number right now.","No podemos eliminar el número de seguimiento en este momento."
"We can't save this RMA.","No podemos guardar este RMA."
"You saved the RMA request.","Guardó la solicitud RMA."
"You did not email your customer. Please check your email settings.","No enviar un mensaje por correo electrónico a su cliente. Por favor, compruebe su configuración de correo electrónico."
"You submitted the RMA request.","Usted presentó la solicitud RMA."
"No items for bundle product","No hay artículos para paquete de producto"
"The wrong order ID or item ID was requested.","Se pidió la orden incorrecta ID o ID de punto."
"Page not found.","Página no encontrada."
"Shipping Labels are not allowed.","No se permiten etiquetas de envío."
"Please select a valid carrier.","Por favor, seleccione un operador válido."
"Please enter a valid tracking number.","Por favor, introduce un número de seguimiento válido."
"We can't add a label right now.","No podemos añadir una etiqueta en este momento."
"You selected the wrong RMA.","Ha seleccionado la RMA incorrecta."
"We can't create a return transaction for order #%1.","No podemos crear una transacción de devolución para la orden #%1."
"You submitted Return #%1.","Había enviado devolcuión #%1."
"We can't create a return right now. Please try again later.","No se puede crear una devolución ahora. Por favor, inténtelo más tarde."
"Create New Return","Crear nueva devolución"
"We can't delete the label right now.","No podemos borrar la etiqueta en este momento."
"Return #%1","Reembolso # %1"
"Cannot add message.","No se puede agregar mensaje."
"My Returns","Mis devoluciones"
"Tracking Information","Información de seguimiento"
"Page not found","No se encuentra la página"
"Please check this order for errors.","Por favor verifica esta orden por errores."
"Contact Email Address","Email de contacto"
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Dropdown","Lista desplegable"
"Image File","Archivo de imagen"
"Could not save the RMA comment.","No se puede guardar el comentario RMA."
"Could not delete the RMA comment.","No se pudo eliminar el comentario de RMA."
"Only one RMA is available for printing","Solo un RMA está disponible para la impresión"
"Return # ","# Devolución "
"Return Date: ","Fecha de devolución: "
"Order # ","Pedido nº "
"Ordered: ","Pedido: "
"Shipping Address:","Direccion de envio:"
"Return Address:","Dirección de retorno:"
"Condition","Condición"
"Qty","Cantidad"
"There is an error in quantities for item %1.","Hay un error en las cantidades de elemento %1."
"Authorized Qty","Cantidad autorizada"
"Returned Qty","Cantidad devuelta"
"Approved Qty","Cantidad aprobada"
"%1 for item %2 cannot be empty.","%1 para el elemento %2 no puede estar vacío."
"You cannot return %1.","No se puede devolver %1."
"A quantity of %1 is greater than you can return.","Cantidad de %1 es mayor que puede volver."
"You entered an invalid type: ""%1"".","Ha introducido un tipo no válido: ""%1""."
"You entered an invalid email address: ""%1"".","Escribiste una dirección válida de correo electrónico: ""%1""."
"You entered an invalid hostname: ""%1""","Ha introducido un nombre de host inválido: ""%1"""
"""%1"" is longer than allowed.","""%1"" es más de lo permitido."
"Unknown service","Servicio desconocido"
"We can't save this RMA. No items were specified.","No podemos guardar este RMA. Ningún artículo fue especificado."
"Pending","Pendiente"
"Partially Authorized","Parcialmente aprobado"
"Return Received","Devolución recibida"
"Return Partially Received","Devolución parcial recibida"
"Partially Approved","Parcialmente aprobado"
"Rejected","Rechazado"
"Partially Rejected","Rechazado parcialmente"
"Denied","Denegado"
"Closed","Cerrado"
"Processed and Closed","Procesado y cerrado"
"This is the wrong RMA item status.","Este es el estado de artículo RMA incorrecto."
"We placed your Return request.","Colocamos su solicitud de devolución."
"We authorized your Return request.","Hemos autorizado su solicitud de devolución."
"We partially authorized your Return request.","Parcialmente, se autoriza la solicitud de devolución."
"We received your Return request.","Hemos recibido su solicitud de devolución."
"We partially received your Return request.","Parcialmente, hemos recibido su solicitud de devolución."
"We partially approved your Return request.","Nos parcialmente habían aprobado su solicitud de devolución."
"We partially rejected your Return request.","Parcialmente, hemos recibido su solicitud de devolución."
"We closed your Return request.","Cerramos su solicitud de devolución."
"We processed and closed your Return request.","Había procesado y había cerrado su solicitud de devolución."
"ID cannot be an empty","ID no puede estar vacío"
"Requested entity doesn't exist","Entidad solicitada no existe"
"Could not save the RMA entity.","No se pudo guardar la entidad RMA."
"Could not delete the RMA entity.","No se pudo eliminar la entidad RMA."
"Please enter a valid comment.","Por favor ingrese un comentario válido."
"No such entity with %1 = %2, %3 = %4","No hay tal entidad con %1 = %2, %3 = %4"
"Invalid carrier: %1","Portador no válido: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Necesitamos más información para crear sus etiquetas de envío. Por favor, Compruebe la configuración de la información y envío de almacén."
"No detail for number ""%1""","Ningún detalle para el número ""%1"""
"Shipment does not exists.","Envío no existe."
"We can't load track with retrieving identifier right now.","No podemos cargar la pista con el identificador de recolección en este momento."
"Could not save the RMA tracking.","No se pudo guardar el rastreo de RMA."
"Could not delete the RMA tracking.","No se pudo eliminar el rastreo de RMA."
"Message","Mensaje"
"No detail for number ""' . . '""","Ningún detalle para el número ""'.. '"""
"Use Config Settings","Usar opciones de configuración"
"All Items","Todos los articulos"
"Individual Items","Artículos individuales"
"Account &amp; Shipping Information","Información de Cuenta y Envío"
"Address Information","Información de dirección"
"RMA Totals","Totales RMA"
"Request Details","Detalles de Solicitud"
"ID","Número de Identificación (ID)"
"#","#"
"Order ID","Pedido ID"
"Customer Name","Cliente nombre"
"Email Address","Dirección de email"
"RMA History","Historia RMA"
"Comment Text","Texto del comentario"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Visible on Storefront","Visible en tienda"
"Customer Service","Servicio al Cliente"
"Notified","Notificado"
"Not Notified","No notificado"
"Return Address","Dirección de retorno"
"Order Shipping Address","Dirección de envío"
"Delete Line","Eliminar línea"
"Select All","Seleccionar Todo"
"Weight","Peso"
"Customs Value","Valor en aduana"
"Qty Ordered","Cantidad pedida"
"Shipping Information","Información de envío"
"Change shipping method.","Cambiar el método de envío."
"No authorized items or allowed shipping methods","No hay elementos autorizados o métodos de envío permitidos"
"Carrier","Transportista"
"Title","Título"
"Number","Número"
"Are you sure?","¿Seguro que quiere continuar?"
"Shipping Method","Método de envío"
"Create Shipping Label","Crear etiqueta de envío"
"Enabled when authorized items require a new shipment.","Activa cuando requieran autorizado un nuevo envío."
"Order &amp; Account Information","Información de pedido y de cuenta"
"Return Totals","Reembolso total"
"Return Confirmation","Confirmación de devolución"
"Email Returns Confirmation","Email de confirmación de devoluciones"
"RMA Items Requested for","Artículos RMA solicitados para"
"Please Select Products to Add","Por favor, seleccione artículos a añadir"
"Remove","Eliminar"
"Item","Articulo"
"Return items","Devoluciones"
"Sub-items","Sub-productos"
"Quantity To Return","Cantidad para devolución"
"Remaining Quantity:","Cantidad restante:"
"New Return for Order %1","Nuevo devolución para orden %1"
"Email","Correo electrónico"
"Return Items Information","Información de articulos con devolución"
"Add Item To Return","Añadir producto a devolución"
"Comments","Comentarios"
"Save","Guardar"
"Submit","Enviar"
"Back","Atrás"
"Return #","Devolución #"
"Date","Fecha"
"Ship From","Enviar de"
"Return Status","Estado de la devolución"
"Actions","Acciones"
"View Return","Ver regreso"
"You have placed no returns.","No ha realizado ninguna devolución."
"Packages","Paquetes"
"Close Window","Cerrar ventana"
"Package","Paquete"
"Type","Tipo"
"Length","Longitud"
"Total Weight","Peso total"
"Width","Ancho"
"Height","Altura"
"Items in the Package","Artículos en el paquete"
"Are you sure you want to delete this tracking information?","¿Está seguro que desea eliminar esta información de seguimiento?"
"Request Information","Solicitar información"
"Date Requested","Fecha de solicitud"
"Shipping Address","Dirección de envío"
"This won't take long . . .","Esto no tardará mucho . . ."
"Shipping and Tracking Information","Información de envío y seguimiento"
"Track this shipment","Realizar un seguimiento de este envío"
"Items Return Requested For","Devolución de artículos para"
"Request Qty","Cantidad de solicitud"
"Hide Details","Ocultar detalles"
"Show Details","Mostrar detalles"
"Questions and Answers","Preguntas y respuestas"
"Questions","Preguntas"
"Answers","Respuestas"
"Leave Comment","Deja un comentario"
"%store_name:  New customer comment","%store_name: nuevo comentario de cliente"
"New Comment for RMA #%increment_id","Nuevo comentario de RMA #%increment_id"
"Customer %name has left a new comment:","Cliente %name ha dejado un nuevo comentario:"
"%store_name : New Return #%increment_id","%store_name: Nueva devolución #%increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Su solicitud de devolución se ha actualizado. Vea a continuación."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Puede comprobar el estado de su declaración de <a href=""%account_url""> registro en su cuenta</a> o <a href=""%form_url""> utilizando su número de orden</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","Si usted tiene cualesquiera preguntas, sienta por favor libre entrarnos en contacto con en <a href=""mailto:%support_email""> %support_email</a> o por teléfono al %store_phone"
"Your Return #%increment_id - %status_label","Su retorno #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: Nueva devolución #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Puede comprobar el estado de vuelta <a href=""%form_url""> usando su número de orden</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Si tiene alguna pregunta acerca de su declaración, por favor contáctenos en <a href=""mailto:%support_email""> %support_email</a>."
"%store_name: Return #%increment_id update","%store_name: retorno #%increment_id actualización"
"We received your return request. You will be notified when your request is reviewed.","Hemos recibido su solicitud de devolución. Se le notificará cuando su solicitud es revisada."
"Placed on %created_at","Creado el %created_at"
"Click Details for more required fields.","Haga clic en detalles para más campos obligatorios."
"Ok","Aceptar"
"Create Packages","Crear paquetes"
"Add Package","Añadir paquete"
"RMA Settings","Configuración de RMA"
"Enable RMA on Storefront","Habilitar RMA en tienda"
"Enable RMA on Product Level","Habilitar RMA en el nivel de producto"
"Use Store Address","Usar dirección de la tienda"
"Contact Name","Nombre del Contacto"
"Street Address","Dirección"
"City","Ciudad"
"State/Province","Estado/provincia"
"ZIP/Postal Code","Código Postal"
"Country","País"
"Enabled","Habilitado"
"RMA Email Sender","RMA Email del remitente"
"RMA Email Template","Plantilla de email RMA"
"RMA Email Template for Guest","Plantilla de email RMA para los visitante"
"Send RMA Email Copy To","Enviar copia del email RMA a"
"Comma-separated","Separados por comas"
"Send RMA Email Copy Method","Enviar método de copia de email RMA"
"RMA Authorization","Autorización RMA"
"RMA Authorization Email Sender","Remitente de email de autorización RMA"
"RMA Authorization Email Template","Plantilla de email de autorización RMA"
"RMA Authorization Email Template for Guest","Plantilla de correo electrónico de autorización de RMA para los huéspedes"
"Send RMA Authorization Email Copy To","Enviar copia de email de autorización de RMA a"
"Send RMA Authorization Email Copy Method","Enviar copia de email de autorización de RMA"
"RMA Admin Comments","Comentarios de Admin RMA"
"RMA Comment Email Sender","Remitente de Correo de Comentario RMA"
"RMA Comment Email Template","Plantilla de email de comentario RMA"
"RMA Comment Email Template for Guest","Plantilla de email comentario del pedido RMA para visitante"
"Send RMA Comment Email Copy To","Enviar copia de email de comentario RMA a"
"RMA Customer Comments","Comentarios de clientes RMA"
"RMA Comment Email Recipient","Destinatario de Correo de Comentario RMA"
"Enabled for RMA","Habilitado para RMA"
"Use config","Usar config"
"%store_name : New Return # %increment_id","%store_name: Nueva devolución # %increment_id"
"%store_name: New Return # %increment_id","%store_name: Nueva devolución # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Regreso a la actualización # %increment_id"
"Comma separated. Forbidden file extensions: %1.","Separados por comas. Extensiones de archivo prohibidas: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","El conjunto de atributos no se pudo guardar debido a un error. Verifique su información y vuelva a intentarlo. Si el error persiste, inténtalo de nuevo más tarde."
"Please correct the value for file extensions.","Por favor, corrija el valor de las extensiones de archivo."
"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"The label cannot be created for '%1' because the product does not exist in the system.","La etiqueta no se puede crear para '%1' porque el producto no existe en el sistema."
"The service is unknown. Verify the service and try again.","El servicio es desconocido. Verifique el servicio y vuelva a intentarlo."
"The entity that was requested doesn't exist. Verify the entity and try again.","La entidad solicitada no existe. Verifique la entidad y vuelva a intentarlo."
"The ""%1"" carrier is invalid. Verify and try again.","La empresa de mensajería ""%1"" no es válida. Verifique y vuelva a intentarlo."
