"Return","Επιστροφή"
"We can't add a message right now.","Αυτή τη στιγμή δεν μπορούμε να προσθέσουμε ένα μήνυμα."
"New Return","Νέα επιστροφή"
"%1 RMA(s) cannot be closed","%1 RMA(s) δεν μπορεί να κλείσει"
"We cannot close the RMA request(s).","Δεν μπορούμε να κλείσουμε αίτηση(εις) RMA."
"%1 RMA (s) have been closed.","%1 RMA έχουν κλείσει."
"You created a shipping label.","Δημιουργήσατε ετικέτα αποστολής."
"We can't create a shipping label right now.","Αυτή τη στιγμή δεν μπορούμε να δημιουργούμε μια ετικέτα αποστολής."
"Manage RMA Item Attributes","Διαχείριση χαρακτηριστικών ειδών RMA"
"You cannot delete this attribute.","Δεν μπορείτε να διαγράψετε αυτό το χαρακτηριστικό."
"You deleted the RMA attribute.","Διαγράψατε το χαρακτηριστικό RMA."
"We can't delete the RMA item attribute right now.","Αυτή τη στιγμή δεν μπορούμε να διαγράψουμε το χαρακτηριστικό στοιχείο του RMA."
"This attribute no longer exists.","Αυτό το χαρακτηριστικό δεν υπάρχει πλέον."
"You cannot edit this attribute.","Δεν μπορείτε να επεξεργαστείτε αυτό το χαρακτηριστικό."
"Edit Return Item Attribute","Επεξεργαστείτε το χαρακτηριστικό του επιστρεφόμενου αντικειμένου"
"Returns Attributes","Ιδιότητες Επιστροφών"
"New Return Attribute","Νέο χαρακτηριστικό επιστροφής"
"You saved the RMA item attribute.","Αποθηκεύσατε το χαρακτηριστικό στοιχείο του RMA."
"Something went wrong while saving the RMA item attribute.","Κάτι πήγε στραβά κατά την αποθήκευση του χαρακτηριστικού στοιχείου του RMA."
"An attribute with the same code already exists.","Υπάρχει ήδη ένα χαρακτηριστικό με τον ίδιο κωδικό (%1)."
"The wrong RMA item was requested.","Ζητήθηκε το λάθος στοιχείο RMA."
"We cannot display the item attributes.","Δεν μπορούμε να εμφανίσουμε τις ιδιότητες του στοιχείου."
"There are no applicable items for return in this order.","Δεν υπάρχουν ισχύοντα αντικείμενα για επιστροφή σε αυτή τη παραγγελία."
"We don't recognize or support the file extension in shipment %1.","Δεν αναγνωρίζουμε ή υποστηρίζουμε αυτήν την επέκταση τύπου αρχείου για την αποστολή %1."
"Something went wrong creating a shipping label.","Κάτι πήγε στραβά κατά τη δημιουργία μιας ετικέτας αποστολής."
"A quantity you're trying to add exceeds the number of products we shipped.","Μια ποσότητα που προσπαθείτε να προσθέσετε υπερβαίνει τον αριθμό των προϊόντων που μπορούμε να αποστείλουμε."
"Products should be added to package(s)","Προϊόντα πρέπει να προστεθουν στην συσκευασία(ες)"
"Please enter a valid value.","Παρακαλώ εισάγετε μια έγκυρη τιμή."
"This is the wrong RMA ID.","Αυτό είναι το λάθος ID RMA."
"We cannot display the available shipping methods.","Δεν μπορούμε να εμφανίσουμε τις διαθέσιμες μεθόδους αποστολής."
"We cannot initialize an RMA to delete a tracking number.","Δεν μπορούμε να προετοιμάσουμε ένα RMA για να διαγράψετε έναν αριθμό εντοπισμού."
"We can't delete the tracking number right now.","Αυτή τη στιγμή δεν μπορούμε να διαγράψουμε τον αριθμό παρακολούθησης."
"We can't save this RMA.","Δεν μπορούμε να αποθηκεύσουμε αυτό το RMA."
"You saved the RMA request.","Αποθηκεύσατε την αίτηση RMA."
"You did not email your customer. Please check your email settings.","Δεν στείλατε email στον πελάτη σας. Παρακαλώ ελέγξτε τις ρυθμίσεις email."
"You submitted the RMA request.","Υποβάλατε αίτηση RMA."
"No items for bundle product","Δεν υπάρχουν στοιχεία για το προϊόν δέσμη"
"The wrong order ID or item ID was requested.","Εσφαλμένο ID παραγγελίας ή ID στοιχείου ζητήθηκε."
"Page not found.","Η σελίδα δεν βρέθηκε."
"Shipping Labels are not allowed.","Δεν επιτρέπονται ετικέτες αποστολής."
"Please select a valid carrier.","Παρακαλώ επιλέξτε ένα έγκυρο φορέα."
"Please enter a valid tracking number.","Παρακαλώ εισάγετε έναν έγκυρο αριθμό εντοπισμού."
"We can't add a label right now.","Αυτή τη στιγμή δεν μπορούμε να προσθέσουμε μια ετικέτα."
"You selected the wrong RMA.","Έχετε επιλέξει το λάθος RMA."
"We can't create a return transaction for order #%1.","Δεν μπορούμε να δημιουργήσουμε μια συναλλαγή επιστροφής για την παραγγελία #%1."
"You submitted Return #%1.","Υποβάλατε επιστροφή #%1."
"We can't create a return right now. Please try again later.","Δεν μπορούμε να δημιουργήσουμε ένα δικαίωμα επιστροφής τώρα. Παρακαλώ δοκιμάστε ξανά αργότερα."
"Create New Return","Δημιουργία νέας επιστροφής"
"We can't delete the label right now.","Αυτή τη στιγμή δεν μπορούμε να διαγράψουμε την ετικέτα."
"Return #%1","Επιστροφή #%1"
"Cannot add message.","Δεν είναι δυνατό να προσθέσετε μήνυμα."
"My Returns","Επιστροφές μου"
"Tracking Information","Πληροφορίες Εντοπισμού"
"Page not found","Η σελίδα δεν βρέθηκε"
"Please check this order for errors.","Παρακαλώ ελέγξτε αυτήν τη παραγγελία για σφάλματα."
"Contact Email Address","Διεύθυνση Email επικοινωνίας"
"Text Field","Πεδίο κειμένου"
"Text Area","Περιοχή κειμένου"
"Dropdown","Αναπτυσσόμενο μενού"
"Image File","Αρχείο εικόνας"
"Could not save the RMA comment.","Δεν ήταν δυνατή η αποθήκευση του σχολίου RMA."
"Could not delete the RMA comment.","Δεν ήταν δυνατή η διαγραφή του σχολίου RMA."
"Only one RMA is available for printing","Μόνο ένα RMA είναι διαθέσιμο για εκτύπωση"
"Return # ","Επιστροφή # "
"Return Date: ","Ημερομηνία Επιστροφής: "
"Order # ","Παραγγελία # "
"Ordered: ","Παραγγέλθηκαν: "
"Shipping Address:","Διεύθυνση Αποστολής:"
"Return Address:","Διεύθυνση Επιστροφής:"
"Condition","Συνθήκη"
"Qty","Ποσότητα"
"There is an error in quantities for item %1.","Υπάρχει σφάλμα σε ποσότητες για το στοιχείο %1."
"Authorized Qty","Εξουσιοδοτημένη Ποσ."
"Returned Qty","Επιστρεφόμενη ποσότητα"
"Approved Qty","Εγκεκριμένο Ποσ."
"%1 for item %2 cannot be empty.","%1 για το στοιχείο %2 δεν μπορεί να είναι κενό."
"You cannot return %1.","Δεν μπορείτε να επιστρέψετε %1."
"A quantity of %1 is greater than you can return.","%1 ποσότητα είναι μεγαλύτερη από ό, τι μπορείτε να επιστρέψετε."
"You entered an invalid type: ""%1"".","Πληκτρολογήσατε έναν μη έγκυρο τύπο: ""%1""."
"You entered an invalid email address: ""%1"".","Πληκτρολογήσατε μία μη έγκυρη διεύθυνση email: ""%1""."
"You entered an invalid hostname: ""%1""","Πληκτρολογήσατε ένα μη έγκυρο όνομα κεντρικού υπολογιστή: ""%1"""
"""%1"" is longer than allowed.","""%1"" είναι μεγαλύτερο από ό,τι επιτρέπεται."
"Unknown service","Άγνωστη υπηρεσία"
"We can't save this RMA. No items were specified.","Δεν μπορούμε να αποθηκεύσουμε αυτό το RMA. Δεν καθορίστηκαν στοιχεία."
"Pending","Προς έγκριση"
"Partially Authorized","Εν μέρει επιτρέπεται"
"Return Received","Παραλαβή επιστροφής"
"Return Partially Received","Μερική παραλαβή επιστροφής"
"Partially Approved","Μερικώς Εγκεκριμένες"
"Rejected","Απορρίφθηκε"
"Partially Rejected","Μερικώς Απορριφθείσες"
"Denied","Απορρίφθηκε"
"Closed","Κλειστό"
"Processed and Closed","Επεξεργασία και Κλείσιμο"
"This is the wrong RMA item status.","Αυτή είναι λάθος κατάσταση RMA στοιχείου."
"We placed your Return request.","Τοποθετήσαμε το αίτημα επιστροφής."
"We authorized your Return request.","Εγκρίναμε το αίτημα επιστροφής."
"We partially authorized your Return request.","Εγκρίναμε εν μέρει το αίτημα επιστροφής."
"We received your Return request.","Έχουμε λάβει το αίτημα επιστροφής."
"We partially received your Return request.","Λάβαμε εν μέρει το αίτημα επιστροφής."
"We partially approved your Return request.","Εγκρίναμε εν μέρει το αίτημα επιστροφής."
"We partially rejected your Return request.","Απορρίψαμε εν μέρει το αίτημα επιστροφής."
"We closed your Return request.","Κλείσαμε το αίτημα επιστροφής."
"We processed and closed your Return request.","Επεξεργαστήκαμε και κλείσαμε το αίτημα Επιστροφής."
"ID cannot be an empty","ID δεν μπορεί να είναι κενό"
"Requested entity doesn't exist","H ζητούμενη οντότητα δεν υπάρχει"
"Could not save the RMA entity.","Δεν ήταν δυνατή η αποθήκευση της οντότητας RMA."
"Could not delete the RMA entity.","Δεν είναι δυνατή η διαγραφή οντότητας RMA."
"Please enter a valid comment.","Παρακαλούμε εισάγετε ένα έγκυρο σχόλιο."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Μη έγκυρος μεταφορέας: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Χρειαζόμαστε περισσότερες πληροφορίες για τη δημιουργία των ετικετών αποστολής σας. Παρακαλώ ελέγξτε τις πληροφορίες καταστήματός σας και τις ρυθμίσεις αποστολής."
"No detail for number ""%1""","Καμία λεπτομέρεια για αριθμό ""%1"""
"Shipment does not exists.","Αποστολή δεν υπάρχει."
"We can't load track with retrieving identifier right now.","Δεν μπορούμε να φορτώσουμε το κομμάτι με το αναγνωριστικό ανάκτησης αυτή τη στιγμή."
"Could not save the RMA tracking.","Δεν ήταν δυνατή η αποθήκευση της παρακολούθησης RMA."
"Could not delete the RMA tracking.","Δεν ήταν δυνατή η διαγραφή της παρακολούθησης RMA."
"Message","Μήνυμα"
"No detail for number ""' . . '""","Καμία λεπτομέρεια για αριθμό ""' . . '"""
"Use Config Settings","Χρήση Ρυθμίσεων Παραμέτρων"
"All Items","Όλα τα Είδη"
"Individual Items","Μεμονωμένα στοιχεία"
"Account &amp; Shipping Information","Πληροφορίες αποστολής &amp; λογαριασμού"
"Address Information","Πληροφορίες Διεύθυνσης"
"RMA Totals","RMA σύνολα"
"Request Details","Λεπτομέρειες Αιτήματος"
"ID","ID"
"#","#"
"Order ID","Κωδικός Παραγγελίας"
"Customer Name","Όνομα Πελάτη"
"Email Address","Διεύθυνση Email"
"RMA History","Ιστορικό RMA"
"Comment Text","Κείμενο Σχολίου"
"Notify Customer by Email","Ειδοποίηση Πελάτη μέσω Email"
"Visible on Storefront","Ορατό σε Βιτρίνα Καταστήματος"
"Customer Service","Εξυπηρέτηση Πελατών"
"Notified","Ειδοποιήθηκε"
"Not Notified","Δεν Ειδοποιήθηκε"
"Return Address","Διεύθυνση Επιστροφής"
"Order Shipping Address","Διεύθυνση Αποστολής Παραγγελίας"
"Delete Line","Διαγραφή Γραμμής"
"Select All","Επιλογή όλων"
"Weight","Βάρος"
"Customs Value","Προσαρμοσμένη τιμή"
"Qty Ordered","Ποσ. Παραγγελθέντων"
"Shipping Information","Πληροφορίες Αποστολής"
"Change shipping method.","Αλλάξτε μέθοδο αποστολής."
"No authorized items or allowed shipping methods","Κανένα εξουσιοδοτημένο στοιχείο ή επιτρεπόμενη μεθόδος αποστολής"
"Carrier","Πάροχος"
"Title","Τίτλος"
"Number","Αριθμός"
"Are you sure?","Είστε σίγουροι;"
"Shipping Method","Μέθοδος Αποστολής"
"Create Shipping Label","Δημιουργήσετε ετικέτα αποστολής"
"Enabled when authorized items require a new shipment.","Ενεργοποιημένη όταν εξουσιοδοτημένα στοιχεία απαιτούν μια νέα αποστολή."
"Order &amp; Account Information","Πληροφορίες Παραγγελίας & Λογαριασμού"
"Return Totals","Σύνολα Επιστροφής"
"Return Confirmation","Επιβεβαίωση Επιστροφής"
"Email Returns Confirmation","Email Επιβεβαίωσης Επιστροφών"
"RMA Items Requested for","Στοιχεία RMA Ζητήθηκαν για"
"Please Select Products to Add","Παρακαλώ Επιλέξτε Προϊόντα για Προσθήκη"
"Remove","Διαγραφή"
"Item","Είδος"
"Return items","Στοιχεία Επιστροφής"
"Sub-items","Υπο-προϊόντα"
"Quantity To Return","Ποσότητα Προς Επιστροφή"
"Remaining Quantity:","Υπόλοιπη Ποσότητα:"
"New Return for Order %1","Νέα Επιστροφή για Παραγγελία %1"
"Email","Email"
"Return Items Information","Πληροφορίες Επιστροφής Στοιχείων"
"Add Item To Return","Προσθήκη Είδους σε Επιστροφή"
"Comments","Σχόλια"
"Save","Αποθήκευση"
"Submit","Υποβολή"
"Back","Πίσω"
"Return #","Επιστροφή #"
"Date","Ημερομηνία"
"Ship From","Αποστολή Από"
"Return Status","Κατάσταση Επιστροφής"
"Actions","Ενέργειες"
"View Return","Προβολή Επιστροφής"
"You have placed no returns.","Δεν έχετε τοποθετήσει επιστροφές."
"Packages","Πακέτα"
"Close Window","Κλείσιμο Παραθύρου"
"Package","Πακέτο"
"Type","Τύπος"
"Length","Μήκος"
"Total Weight","Συνολικό βάρος"
"Width","Πλάτος"
"Height","Ύψος"
"Items in the Package","Αντικείμενα στο Πακέτο"
"Are you sure you want to delete this tracking information?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτές τις πληροφορίες εντοπισμού;"
"Request Information","Πληροφορίες Αίτησης"
"Date Requested","Ημερομηνία που Ζητήθηκε"
"Shipping Address","Διεύθυνση Αποστολής"
"This won't take long . . .","Αυτό δεν θα αργήσει . . ."
"Shipping and Tracking Information","Πληροφορίες Αποστολής και Παρακολούθησης"
"Track this shipment","Παρακολούθηση της αποστολής"
"Items Return Requested For","Αίτηση Επιστροφής Στοιχείων για"
"Request Qty","Απαιτούμενη Ποσ."
"Hide Details","Απόκρυψη Λεπτομερειών"
"Show Details","Προβολή Λεπτομερειών"
"Questions and Answers","Ερωτήσεις και Απαντήσεις"
"Questions","Ερωτήσεις"
"Answers","Απαντήσεις"
"Leave Comment","Αφήστε Σχόλιο"
"%store_name:  New customer comment","%store_name: Νέο Σχόλιο Πελάτη"
"New Comment for RMA #%increment_id","Νέο σχόλιο για RMA #%increment_id"
"Customer %name has left a new comment:","Πελάτης %name άφησε ένα νέο σχόλιο:"
"%store_name : New Return #%increment_id","%store_name: Νέα Επιστροφή #%increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Έχει ενημερωθεί το αίτημα επιστροφής. Παρακαλούμε δείτε παρακάτω."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Μπορείτε να ελέγξετε την κατάσταση της επιστροφής σας με <a href=""%account_url"">σύνδεση στον λογαριασμό σας</a> ή <a href=""%form_url""> χρησιμοποιώντας τον αριθμό της παραγγελίας σας</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","Αν έχετε οποιαδήποτε απορία, μη διστάσετε να επικοινωνήσετε μαζί μας στο <a href=""mailto:%support_email""> %support_email</a> ή τηλεφωνικά στο %store_phone"
"Your Return #%increment_id - %status_label","Η Επιστροφή σας #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: Νέα Επιστροφή #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Μπορείτε να ελέγξετε την κατάσταση της επιστροφής σας <a href=""%form_url"">χρησιμοποιώντας τον αριθμό της παραγγελίας σας</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Εάν έχετε ερωτήσεις για την επιστροφή σας, παρακαλώ επικοινωνήστε μαζί μας στο <a href=""mailto:%support_email"">%support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Ενημέρωση επιστροφής # %increment_id"
"We received your return request. You will be notified when your request is reviewed.","Έχουμε λάβει το αίτημα επιστροφής. Θα ειδοποιηθείτε όταν εξεταστεί το αίτημά σας."
"Placed on %created_at","Υποβλήθηκε στις %created_at"
"Click Details for more required fields.","Κάντε κλικ στο κουμπί ""Λεπτομέρειες"" για περισσότερα απαιτούμενα πεδία."
"Ok","Οκ"
"Create Packages","Δημιουργία πακέτων"
"Add Package","Προσθήκη Πακέτου"
"RMA Settings","Ρυθμίσεις RMA"
"Enable RMA on Storefront","Ενεργοποίηση RMA στη Βιτρίνα Καταστήματος"
"Enable RMA on Product Level","Ενεργοποίηση RMA σε Επίπεδο Προϊόντος"
"Use Store Address","Χρησιμοποιήστε Διεύθυνση Καταστήματος"
"Contact Name","Όνομα Επαφής"
"Street Address","Διεύθυνση"
"City","Πόλη"
"State/Province","Νομός/επαρχία"
"ZIP/Postal Code","Ταχυδρομικός κώδικας"
"Country","Χώρα"
"Enabled","Ενεργό"
"RMA Email Sender","Αποστολέας Email RMA"
"RMA Email Template","Πρότυπο Email RMA"
"RMA Email Template for Guest","Πρότυπο Email RMA για Επισκέπτη"
"Send RMA Email Copy To","Αποστολή Email Αντιγράφου RMA Σε"
"Comma-separated","Διαχωρισμένες με κόμμα"
"Send RMA Email Copy Method","Στείλτε Αντίγραφο Email Μεθόδου RMA"
"RMA Authorization","RMA Εξουσιοδότηση"
"RMA Authorization Email Sender","Αποστολέας Email RMA Εξουσιοδότησης"
"RMA Authorization Email Template","Πρότυπο Email RMA Εξουσιοδότησης"
"RMA Authorization Email Template for Guest","Πρότυπο Email RMA Εξουσιοδότησης για Επισκέπτη"
"Send RMA Authorization Email Copy To","Αποστολή Email Αντιγράφου RMA άδειας Σε"
"Send RMA Authorization Email Copy Method","Αποστολή Μεθόδου Email Αντιγράφου RMA άδειας Σε"
"RMA Admin Comments","RMA Σχόλια Διαχειριστή"
"RMA Comment Email Sender","Αποστολέας Email Σχολίου RMA"
"RMA Comment Email Template","Πρότυπο Σχολίου Email RMA"
"RMA Comment Email Template for Guest","Πρότυπο Email Σχολίου RMA για Επισκέπτη"
"Send RMA Comment Email Copy To","Αποστολή Email Αντιγράφου RMA Σε
Αποστολή Σχολίου Email Αντιγράφου Σε RMA άδειας"
"RMA Customer Comments","RMA Σχόλια Πελατών"
"RMA Comment Email Recipient","Παραλήπτης Email Σχολίου RMA"
"Enabled for RMA","Ενεργοποιημένη για RMA"
"Use config","Χρήση Ρυθμήσεων"
"%store_name : New Return # %increment_id","%store_name: Νέα Επιστροφή # %increment_id"
"%store_name: New Return # %increment_id","%store_name: Νέα Επιστροφή # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Ενημέρωση επιστροφής # %increment_id"
"Comma separated. Forbidden file extensions: %1.","Διαχωρισμένες με κόμμα. Απαγορευμένες καταλήξεις αρχείων: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Το χαρακτηριστικό δεν μπορεί να αποθηκευτεί λόγο σφάλματος. Επιβεβαιώστε τις πληροφορίες σας και δοκιμάστε ξανά. Αν το σφάλμα επιμένει, δοκιμάστε ξανά αργότερα."
"Please correct the value for file extensions.","Παρακαλώ διορθώστε τη τιμή για τις επεκτάσεις αρχείου."
"Invalid Form Key. Please refresh the page.","Το κλειδί δεν είναι έγκυρη μορφή. Παρακαλούμε ανανεώστε τη σελίδα."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
