"Return","Връщане"
"We can't save this RMA. No items were specified.","Не може да запише това RMA. Зададени са никакви елементи."
"Pending","Чакащ"
"Partially Authorized","Частично разрешен"
"Return Received","Получени връщания"
"Return Partially Received","Връщане частично получено"
"Partially Approved","Частично одобрен"
"Rejected","Отхвърлена"
"Partially Rejected","Частично отхвърлени"
"Denied","Отказан"
"Closed","Затворен"
"Processed and Closed","Обработени и затворени"
"This is the wrong RMA item status.","Това е грешен елемент статус на RMA."
"We placed your Return request.","Наредихме вашето искане за рекламация."
"We authorized your Return request.","Разрешихме вашето искане за рекламация."
"We partially authorized your Return request.","Частично упълномощихме вашето искане за рекламация."
"We received your Return request.","Получихме вашето искане за рекламация."
"We partially received your Return request.","Получихме частично вашето искане за рекламация."
"We partially approved your Return request.","Частично одобрихме вашето искане за рекламация."
"We partially rejected your Return request.","Частично отхвърлихме вашето искане за рекламация."
"We closed your Return request.","Затворихме вашето искане за рекламация."
"We processed and closed your Return request.","Обработихме и затворихме вашето искане за рекламация."
"ID cannot be an empty","ИД не може да бъде празен"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Моля въведете валиден коментар."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Имаме нужда от повече информация за да създадем вашите етикети за доставка. Проверете настройките за съхраняване на информация и доставка."
"No detail for number ""%1""","Няма подробности за номер ""%1"""
"Shipment does not exists.","Експедиционна бележка не съществува."
"We can't load track with retrieving identifier right now.","Проследяването не може да бъде извършено в момента."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","Няма подробности за номер """".. """""
"Use Config Settings","Използвай настройките на конфигурацията"
"All Items","Всички елементи"
"Individual Items","Отделни елементи"
"Account &amp; Shipping Information","Сметка &amp; доставка информация"
"Address Information","Адресна информация"
"RMA Totals","RMA суми"
"Request Details","Заявка за подробности"
"ID","ИД"
"#","#"
"Order ID","Номер на поръчката"
"Customer Name","Име на клиент"
"Email Address","Имейл адрес"
"RMA History","RMA история"
"Comment Text","Текст на коментар"
"Notify Customer by Email","Уведомява клиента по имейл"
"Visible on Storefront","Видим в магазина"
"Customer Service","Обслужване на клиенти"
"Notified","Уведомен"
"Not Notified","Не е уведомен"
"Return Address","Адрес за връщане"
"Order Shipping Address","Поръчка адрес за доставка"
"Delete Line","Изтрий ред"
"Select All","Маркиране на всичко"
"Weight","Тегло"
"Customs Value","Стойност по избор"
"Qty Ordered","Поръчано количество"
"Shipping Information","Информация за доставка"
"Change shipping method.","Промяна на метода на доставка."
"No authorized items or allowed shipping methods","Няма разрешени елементи или разрешени методи за доставка"
"Carrier","Куриер"
"Title","Заглавиe"
"Number","Брой"
"Are you sure?","Сигурни ли сте?"
"Shipping Method","Метод на доставка"
"Create Shipping Label","Създаване на етикет за доставка"
"Enabled when authorized items require a new shipment.","Разрешен, когато разрешени елементи изискват нова експедиционна бележка."
"Order &amp; Account Information","Поръчка &amp; информация за акаунта"
"Return Totals","Връщане на суми"
"Return Confirmation","Потвърждаване на рекламация"
"Email Returns Confirmation","Имейл за потвърждение за връщане"
"RMA Items Requested for","Заявените за RMA артикули"
"Please Select Products to Add","Моля, изберете продукти за добавяне"
"Remove","Премахване"
"Item","Артикул"
"Return items","Елементи за връщане"
"Sub-items","Поделементи"
"Quantity To Return","Количество за връщане"
"Remaining Quantity:","Остатъчно количество:"
"New Return for Order %1","Ново връщане за поръчка %1"
"Email","Имейл"
"Return Items Information","Информация за връщане на продукти"
"Add Item To Return","Добавяне на елемент за връщане"
"Comments","Коментари"
"Save","Запиши"
"Submit","Изпрати"
"Back","Обратно"
"Return #","Върни #"
"Date","Дата"
"Ship From","Доставка от"
"Return Status","Статус на рекламация"
"Actions","Действия"
"View Return","Изглед на връщане"
"You have placed no returns.","Не сте направили никакви връщания."
"Packages","Пакети"
"Close Window","Затвори прозореца"
"Package","Пакет"
"Type","Тип"
"Length","Дължина"
"Total Weight","Общо тегло"
"Width","Ширина"
"Height","Височина"
"Items in the Package","Елементи в пакет"
"Are you sure you want to delete this tracking information?","Наистина ли искате да изтриете тази информация за проследяване?"
"Request Information","Искане информация"
"Date Requested","Датата се изисква"
"Shipping Address","Адрес за доставка"
"This won't take long . . .","Това няма да отнеме много време . . ."
"Shipping and Tracking Information","Експедиране и проследяване на информация"
"Track this shipment","Проследяване на тази експедиционна бележка"
"Items Return Requested For","Елементи връщане, поискано за"
"Request Qty","Искано количество"
"Hide Details","Скрий детайлите"
"Show Details","Покажи детайли"
"Questions and Answers","Въпроси и отговори"
"Questions","Въпроси"
"Answers","Отговори"
"Leave Comment","Оставете коментар"
"%store_name:  New customer comment","%store_name: нов коментар на клиент"
"New Comment for RMA #%increment_id","Нов коментар за RMA #%increment_id"
"Customer %name has left a new comment:","Клиент %name е написал нов коментар:"
"%store_name : New Return #%increment_id","%store_name: ново връщане # %increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Вашето искане за рекламация е регистрирано. Моля, вижте по-долу."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Можете да проверите състоянието на вашето завръщане като <a href=""%account_url""> влезете във вашия акаунт</a> или <a href=""%form_url""> с помощта на вашата поръчка номер</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","Вашата рекламация #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Можете да проверите състоянието на връщане <a href=""%form_url""> с вашата поръчка номер</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Ако имате някакви въпроси относно рекламацията си, моля свържете се с нас на <a href=""mailto:%support_email""> %support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","Получихме вашето искане за рекламация. Вие ще бъдете уведомени, когато вашето искане се преразглежда."
"Placed on %created_at","Пуснати на %created_at"
"Click Details for more required fields.","Щракнете върху подробни данни за още задължителни полета."
"Ok","OK"
"Create Packages","Създаване на пакети"
"Add Package","Добавяне на пакет"
"RMA Settings","RMA настройки"
"Enable RMA on Storefront","Разреши Връщане и рекламации в магазина"
"Enable RMA on Product Level","Разреши RMA на ниво продукт"
"Use Store Address","Използвай адреса на магазина"
"Contact Name","Име на контакта"
"Street Address","Адрес"
"City","Град"
"State/Province","Област / Провинция"
"ZIP/Postal Code","Пощенски код"
"Country","Държава"
"Enabled","Активиран"
"RMA Email Sender","RMA имейл подател"
"RMA Email Template","RMA имейл шаблон"
"RMA Email Template for Guest","RMA имейл шаблон за гости"
"Send RMA Email Copy To","Изпрати RMA имейл копие до"
"Comma-separated","Разделени със запетая"
"Send RMA Email Copy Method","Изпрати RMA имейл копие метод"
"RMA Authorization","RMA разрешение"
"RMA Authorization Email Sender","RMA разрешение имейл подател"
"RMA Authorization Email Template","RMA разрешение имейл шаблон"
"RMA Authorization Email Template for Guest","RMA разрешение имейл шаблон за гости"
"Send RMA Authorization Email Copy To","Изпрати RMA разрешение имейл копие до"
"Send RMA Authorization Email Copy Method","Изпрати RMA разрешение имейл копие метод"
"RMA Admin Comments","RMA Admin коментари"
"RMA Comment Email Sender","RMA коментар имейл подател"
"RMA Comment Email Template","RMA коментар имейл шаблон"
"RMA Comment Email Template for Guest","RMA коментар имейл шаблон за гости"
"Send RMA Comment Email Copy To","Изпрати RMA коментар имейл копие до"
"RMA Customer Comments","Коментари на клиенти за RMA"
"RMA Comment Email Recipient","RMA коментар имейл получател"
"Enabled for RMA","Разрешено за RMA"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Разделено със запетаи. Забранени файлови разширния: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Атрибутът не може да бъде записан поради грешка. Прегледайте информацията си и опитайте отново. Ако грешката остава, моля опитайте по-късно."
"Please correct the value for file extensions.","Моля променете стойноста за файлово разширение."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","Етикетът не може да бъде създаден за ""%1"", тъй като продуктът не съществува в системата."
"The service is unknown. Verify the service and try again.","Услугата е непозната. Проверете услугата и опитайте пак."
"The entity that was requested doesn't exist. Verify the entity and try again.","Заявеният продукт не съществува. Проверете продукта и опитайте пак."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
