"Return","Vratka"
"Manage Label / Options","Správá nadpisů a voleb"
"Attribute Information","Informace o atributu"
"Visible to Customer","Viditelné pro zákazníka"
"Submit Returns","Odeslat vratky"
"Add Products","Přidat produkty"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Product Name","Název produktu"
"Remaining Qty","Zbývající množství"
"Requested Qty","Požadované množství"
"Reason to Return","Důvod vrácení"
"Delete","Smazat"
"Add Details","Add Details"
"Select","Vybrat"
"Price","Cena"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","Neplatné RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"We can't retrieve the product list right now.","Seznam produktů momentálně nelze načíst."
"Please specify a carrier.","Zvolte přepravce prosím."
"Please enter a tracking number.","Zadejte sledovací číslo prosím."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We can't add a message right now.","Zprávu momentálně nelze přidat."
"New Return","Nová vratka"
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"You created a shipping label.","You created a shipping label."
"We can't create a shipping label right now.","Přepravní štítek momentálně nelze vytvořit."
"Manage RMA Item Attributes","Manage RMA Item Attributes"
"You cannot delete this attribute.","Tento atribut nelze odstranit."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"We can't delete the RMA item attribute right now.","Položku RMA atributu momentálně nelze odstranit."
"This attribute no longer exists.","Tento atribut již neexistuje."
"You cannot edit this attribute.","Tento atribut nelze upravovat."
"Edit Return Item Attribute","Upravit atribut vracené položky"
"Returns Attributes","Atributy vratky"
"New Return Attribute","Nový atribut vratky"
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong while saving the RMA item attribute.","Something went wrong while saving the RMA item attribute."
"An attribute with the same code already exists.","An attribute with the same code already exists."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"A quantity you're trying to add exceeds the number of products we shipped.","Množství, které chcete přidat převyšuje počet produktů, které jsme dodali."
"Products should be added to package(s)","Produkt by měly být přidán k zásilce"
"Please enter a valid value.","Please enter a valid value."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We can't delete the tracking number right now.","Sledovací číslo momentálně nelze odstranit."
"We can't save this RMA.","Tuto RMA nelze uložit."
"You saved the RMA request.","You saved the RMA request."
"You did not email your customer. Please check your email settings.","E-mail zákazníkovi nebyl odeslán. Zkontrolujte nastavení e-mailu prosím."
"You submitted the RMA request.","You submitted the RMA request."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"Page not found.","Stránka nebyla nalezena."
"Shipping Labels are not allowed.","Shipping Labels are not allowed."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We can't add a label right now.","Štítek momentálně nelze přidat."
"You selected the wrong RMA.","You selected the wrong RMA."
"We can't create a return transaction for order #%1.","Vrácení transakce z objednávky č. %1 nelze vytvořit."
"You submitted Return #%1.","You submitted Return #%1."
"We can't create a return right now. Please try again later.","Momentálně nelze vratku vytvořit. Opakujte později prosím."
"Create New Return","Vytvořit novou vratku"
"We can't delete the label right now.","Štítek momentálně nelze odstranit."
"Return #%1","Vratka č."
"Cannot add message.","Cannot add message."
"My Returns","Moje vratky"
"Tracking Information","Sledovací údaje"
"Page not found","Stránka nebyla nalezena"
"Please check this order for errors.","Please check this order for errors."
"Contact Email Address","Kontaktní e-mailová adresa"
"Text Field","Textové pole"
"Text Area","Textová oblast"
"Dropdown","Rozbalovací seznam"
"Image File","Soubor obrázku"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Only one RMA is available for printing"
"Return # ","Vratka č."
"Return Date: ","Datum vrácení: "
"Order # ","Objednávka č. "
"Ordered: ","Objednáno: "
"Shipping Address:","Doručovací adresa:"
"Return Address:","Adresa pro vrácení:"
"Condition","Podmínky"
"Qty","Množství"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Schválené množství"
"Returned Qty","Vrácené množství"
"Approved Qty","Schválené množství"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","Nelze vrátit %1."
"A quantity of %1 is greater than you can return.","A quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","Tuto RMA nelze uložit. Nebyly zvoleny žádné položky."
"Pending","Nevyřízená"
"Partially Authorized","Částečně schváleno"
"Return Received","Vratka přijata"
"Return Partially Received","Vratka částečně přijata"
"Partially Approved","Částečně schváleno"
"Rejected","Zamítnuto"
"Partially Rejected","Partially Rejected"
"Denied","Denied"
"Closed","Zavřeno"
"Processed and Closed","Processed and Closed"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","We authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"ID cannot be an empty","ID nesmí být prázdné"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Please enter a valid comment."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","Pro číslo ""%1"" žádné podrobnosti"
"Shipment does not exists.","Zásilka neexistuje."
"We can't load track with retrieving identifier right now.","Se získaným identifikátorem trasu nelze momentálně nahrát."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","No detail for number ""' . . '"""
"Use Config Settings","Použít nastavení konfigurace"
"All Items","Všechny položky"
"Individual Items","Jednotlivé položky"
"Account &amp; Shipping Information","Account &amp; Shipping Information"
"Address Information","Informace o adrese"
"RMA Totals","RMA Totals"
"Request Details","Request Details"
"ID","ID"
"#","#"
"Order ID","ID objednávky"
"Customer Name","Jméno zákazníka"
"Email Address","E-mailová adresa"
"RMA History","RMA History"
"Comment Text","Text komentáře"
"Notify Customer by Email","Informovat zákazníka e-mailem"
"Visible on Storefront","Viditelný v obchodě"
"Customer Service","Zákaznická podpora"
"Notified","informován"
"Not Notified","nebyl informován"
"Return Address","Adresa pro vrácení"
"Order Shipping Address","Order Shipping Address"
"Delete Line","Ostranit řádek"
"Select All","Vybrat vše"
"Weight","Hmotnost"
"Customs Value","Vlastní hodnota"
"Qty Ordered","Objednané množství"
"Shipping Information","Informace o dopravě"
"Change shipping method.","Change shipping method."
"No authorized items or allowed shipping methods","No authorized items or allowed shipping methods"
"Carrier","Dopravce"
"Title","Název"
"Number","Číslo"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Shipping Method","Způsob dopravy"
"Create Shipping Label","Vytvořit štítek pro dopravu"
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Order &amp; Account Information","Order &amp; Account Information"
"Return Totals","Return Totals"
"Return Confirmation","Potvrzení vratky"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","RMA Items Requested for"
"Please Select Products to Add","Vyberte produkty pro přidání"
"Remove","Odstranit"
"Item","Položka"
"Return items","Vrácené položky"
"Sub-items","Pod-položky"
"Quantity To Return","Množství k vrácení"
"Remaining Quantity:","Zbývající množství: "
"New Return for Order %1","New Return for Order %1"
"Email","E-mail"
"Return Items Information","Return Items Information"
"Add Item To Return","Add Item To Return"
"Comments","Komentáře"
"Save","Uložit"
"Submit","Odeslat"
"Back","Zpět"
"Return #","Vratka č."
"Date","Datum"
"Ship From","Ship From"
"Return Status","Stav vratky"
"Actions","Akce"
"View Return","Zobrazit vratku"
"You have placed no returns.","Nemáte žádné vratky."
"Packages","Balíčky"
"Close Window","Zavřít okno"
"Package","Balíček"
"Type","Typ"
"Length","Délka"
"Total Weight","Celková hmotnost"
"Width","Šířka"
"Height","Výška"
"Items in the Package","Položky v zásilce"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Request Information","Request Information"
"Date Requested","Date Requested"
"Shipping Address","Doručovací adresa"
"This won't take long . . .","Nebude to dlouho trvat . . ."
"Shipping and Tracking Information","Informace o dopravě a sledování zásilky"
"Track this shipment","Sledovat tuto zásilku"
"Items Return Requested For","Items Return Requested For"
"Request Qty","Požadované množství"
"Hide Details","Skrýt detaily"
"Show Details","Zobrazit podrobnosti"
"Questions and Answers","Questions and Answers"
"Questions","Otázky"
"Answers","Odpovědi"
"Leave Comment","Leave Comment"
"%store_name:  New customer comment","%store_name:  New customer comment"
"New Comment for RMA #%increment_id","New Comment for RMA #%increment_id"
"Customer %name has left a new comment:","Customer %name has left a new comment:"
"%store_name : New Return #%increment_id","%store_name : New Return #%increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Your return request has been updated. Please see below."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","Your Return #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","You can check the status of your return <a href=""%form_url"">using your order number</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","We received your return request. You will be notified when your request is reviewed."
"Placed on %created_at","Placed on %created_at"
"Click Details for more required fields.","Click Details for more required fields."
"Ok","OK"
"Create Packages","Vytvořit balíčky"
"Add Package","Přidat balíček"
"RMA Settings","RMA Settings"
"Enable RMA on Storefront","Enable RMA on Storefront"
"Enable RMA on Product Level","Enable RMA on Product Level"
"Use Store Address","Use Store Address"
"Contact Name","Kontaktní jméno"
"Street Address","Ulice"
"City","Město"
"State/Province","Kraj / region"
"ZIP/Postal Code","PSČ"
"Country","Země"
"Enabled","Zapnuto"
"RMA Email Sender","RMA Email Sender"
"RMA Email Template","RMA Email Template"
"RMA Email Template for Guest","RMA Email Template for Guest"
"Send RMA Email Copy To","Send RMA Email Copy To"
"Comma-separated","Hodnoty oddělené čárkou."
"Send RMA Email Copy Method","Send RMA Email Copy Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization Email Sender"
"RMA Authorization Email Template","RMA Authorization Email Template"
"RMA Authorization Email Template for Guest","RMA Authorization Email Template for Guest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment Email Sender"
"RMA Comment Email Template","RMA Comment Email Template"
"RMA Comment Email Template for Guest","RMA Comment Email Template for Guest"
"Send RMA Comment Email Copy To","Send RMA Comment Email Copy To"
"RMA Customer Comments","RMA Customer Comments"
"RMA Comment Email Recipient","RMA Comment Email Recipient"
"Enabled for RMA","Zapnuto v RMA"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
