"Return","برگشت"
"We can't save this RMA. No items were specified.","ما نمی توانیم این RMA را ذخیره کنیم. هیچ موردی مشخص نشده است."
"Pending","انتظار"
"Partially Authorized","تا حدی مجاز"
"Return Received","دریافت بازگشت"
"Return Partially Received","بازگشت به طور جزئی دریافت شده"
"Partially Approved","تا حدی تایید شده"
"Rejected","رد شده"
"Partially Rejected","تقریبا رد شده"
"Denied","غیرمجاز"
"Closed","بسته"
"Processed and Closed","پردازش شده و بسته شده است"
"This is the wrong RMA item status.","وضعیت این مورد مجوز بازگشت کالا اشتباه است."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","درخواست بازگشت شما را تأیید کردیم."
"We partially authorized your Return request.","تقاضای بازگشت شما تا حدودی مجاز است."
"We received your Return request.","درخواست بازگشت شما را دریافت کردیم."
"We partially received your Return request.","ما تقاضای بازگشت شما را تقریبا دریافت کردیم."
"We partially approved your Return request.","ما تقاضای بازگشت شما را تا حدودی تایید کردیم."
"We partially rejected your Return request.","ما تقاضای بازگشت شما را رد کردیم."
"We closed your Return request.","درخواست بازگشت شما را بستیم."
"We processed and closed your Return request.","درخواست بازگشت شما را پردازش کردیم و بستیم."
"ID cannot be an empty","شناسه نمی تواند خالی باشد"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","لطفا یک نظر معتبر وارد کنید."
"No such entity with %1 = %2, %3 = %4","موجودیت چنین با %1 = %2 %3 = %4 وجو ندارد"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","ما برای کسب برچسب (ها) حمل و نقل، نیاز به اطلاعات بیشتری داریم. لطفا اطلاعات فروشگاه و تنظیمات حمل و نقل خود را بررسی کنید."
"No detail for number ""%1""","جزئیاتی برای شماره ""%1"" نیست"
"Shipment does not exists.","حمل و نقل وجود ندارد."
"We can't load track with retrieving identifier right now.","ما اکنون نمیتوانیم با شناسه بازیابی مسیر را بارگیری کنیم."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","جزئیات برای شماره """". . """" نیست"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"All Items","همه موارد"
"Individual Items","موارد فرد"
"Account &amp; Shipping Information","اطلاعات حمل و نقل حساب &amp;"
"Address Information","اطلاعات آدرس"
"RMA Totals","مجموع مجوز بازگشت کالا"
"Request Details","جزئیات درخواست"
"ID","شناسه"
"#","#"
"Order ID","شناسه سفارش"
"Customer Name","نام مشتری"
"Email Address","آدرس ايمميل"
"RMA History","تاریخچه مجوز بازگشت کالا"
"Comment Text","متن توضیح"
"Notify Customer by Email","آگاه‌سازی مشتری توسط ایمیل"
"Visible on Storefront","قابل مشاهده در فروشگاه"
"Customer Service","خدمات مشتری"
"Notified","آگاه شده"
"Not Notified","آگاه نشده"
"Return Address","نشانی بازگشت"
"Order Shipping Address","سفارش آدرس حمل و نقل"
"Delete Line","حذف خط"
"Select All","انتخاب همه"
"Weight","وزن"
"Customs Value","ارزش گمرکی"
"Qty Ordered","تعداد سفارش داده شده"
"Shipping Information","اطلاعات ارسال"
"Change shipping method.","تغییر روش حمل و نقل."
"No authorized items or allowed shipping methods","هیچ مورد مجاز یا روش های حمل و نقل مجاز نیست"
"Carrier","حامل"
"Title","عنوان"
"Number","شماره"
"Are you sure?","شما اطمینان دارید؟"
"Shipping Method","روش ارسال"
"Create Shipping Label","ايجاد برچسب حمل و نقل"
"Enabled when authorized items require a new shipment.","فعال شده زمانی که موارد مجاز به حمل و نقل جدید نیاز دارند."
"Order &amp; Account Information","اطلاعات حساب سفارش &amp;"
"Return Totals","مجموع بازگشتی"
"Return Confirmation","تأیید بازگشت"
"Email Returns Confirmation","ایمیل تأیید بازگشتی ها"
"RMA Items Requested for","مجوز بازگشت موارد درخواست شده برای"
"Please Select Products to Add","لطفا محصولات را برای افزودن انتخاب نمایید"
"Remove","برداشتن"
"Item","آیتم"
"Return items","اقلام برگشتی"
"Sub-items","موارد زیر"
"Quantity To Return","مقدار بازگشتی"
"Remaining Quantity:","مقدار باقیمانده:"
"New Return for Order %1","بازگشت جدید برای سفارش %1"
"Email","ايميل"
"Return Items Information","اطلاعات موارد بازگشتی"
"Add Item To Return","اضافه کردن آیتم به بازگشت"
"Comments","توضیحات"
"Save","ذخيره"
"Submit","ارسال"
"Back","بازگشت"
"Return #","برگشت #"
"Date","تاریخ"
"Ship From","فرستادن از"
"Return Status","وضیعت برگشتی ها"
"Actions","کنش‌ها"
"View Return","مشاهده بازگشت"
"You have placed no returns.","شما هیچ جای بازگشتی ندارید."
"Packages","بسته ها"
"Close Window","بستن پنجره"
"Package","بسته"
"Type","نوع"
"Length","طول"
"Total Weight","مجموع وزن"
"Width","عرض"
"Height","ارتفاع"
"Items in the Package","آيتم هاي در بسته"
"Are you sure you want to delete this tracking information?","آیا مطمئن هستید که می خواهید این اطلاعات پیگیری را حذف کنید?"
"Request Information","درخواست اطلاعات"
"Date Requested","تاریخ درخواست"
"Shipping Address","آدرس ارسال"
"This won't take long . . .","این طول نمی کشد . ."
"Shipping and Tracking Information","اطلاعات ارسال و پیگیری"
"Track this shipment","پیگیری این محموله"
"Items Return Requested For","بازگشت مورد درخواست شده برای"
"Request Qty","تعداد درخواست"
"Hide Details","پنهان کردن جزئیات"
"Show Details","نمایش جزییات"
"Questions and Answers","پرسش و پاسخ"
"Questions","پرسش ها"
"Answers","پاسخ ها"
"Leave Comment","ترک نظر"
"%store_name:  New customer comment","%store_name: نظر مشتری جدید"
"New Comment for RMA #%increment_id","نظر جدید برای مجوز بازگشت کالا #%increment_id"
"Customer %name has left a new comment:","مشتری %name یک نظر جدید را ترک کرده است:"
"%store_name : New Return #%increment_id","%store_name: بازگشت جدید #%increment_id"
"%name,","%name"
"Your return request has been updated. Please see below.","درخواست بازگشت شما به روز شده است. لطفا پایین را ببینید."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","شما می توانید وضعیت بازگشت خود را با <a href=""%account_url""> ورود به حساب کاربری خود </a> یا با <a href=""%form_url""> استفاده از شماره سفارش </a> خود بررسی کنید."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","بازگشتی شما #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","شما می توانید وضعیت <a href=""%form_url""> بازگشتی از شماره سفارش </a> خود را بررسی کنید."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","اگر سؤالی درباره بازگشتی تان دارید، لطفا با ما در <a href=""mailto:%support_email"">%support_email</a>. با ما تماس بگیرید."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","درخواست بازگشت شما را دریافت کردیم. هنگامی که درخواست شما بررسی می شود، شما مطلع خواهید شد."
"Placed on %created_at","در %created_at قرار می گیرد"
"Click Details for more required fields.","برای جزئیات بیشتر فیلدهای مورد نیاز. ، کلیک کنید."
"Ok","قبول"
"Create Packages","ایجاد بسته"
"Add Package","افزودن بسته بندی"
"RMA Settings","تنظیمات مجوز بازگشت کالا"
"Enable RMA on Storefront","فعال کردن مجوز بازگشت کالا در نمای فروشگاه"
"Enable RMA on Product Level","مجوز بازگشت کالا را در سطح محصول فعال کنید"
"Use Store Address","استفاده از آدرس فروشگاه"
"Contact Name","نام مخاطب"
"Street Address","خیابان"
"City","شهر"
"State/Province","استان / شهرستان"
"ZIP/Postal Code","کد پستی"
"Country","كشور"
"Enabled","فعال"
"RMA Email Sender","فرستنده ایمیل مجوز بازگشت کالا"
"RMA Email Template","قالب ایمیل مجوز بازگشت کالا"
"RMA Email Template for Guest","قالب ایمیل مجوز بازگشت کالا برای مهمان"
"Send RMA Email Copy To","ارسال ایمیل مجوز بازگشت کالا کپی به"
"Comma-separated","جدا شده با کاما"
"Send RMA Email Copy Method","روش کپی ایمیل ارسال مجوز بازگشت کالا"
"RMA Authorization","مجوز مجوز بازگشت کالا"
"RMA Authorization Email Sender","فرستنده ایمیل مجاز مجوز بازگشت کالا"
"RMA Authorization Email Template","قالب ایمیل مجوز بازگشت کالا"
"RMA Authorization Email Template for Guest","قالب ایمیل مجوز بازگشت کالا برای مهمان"
"Send RMA Authorization Email Copy To","ارسال ایمیل مجوز بازگشت کالا کپی به"
"Send RMA Authorization Email Copy Method","ارسال ایمل روش کپی رونویسی مجوز بازگشت کالا"
"RMA Admin Comments","نظرات مدیران مجوز بازگشت کالا"
"RMA Comment Email Sender","فرستنده ایمیل نظر مجوز بازگشت کالا"
"RMA Comment Email Template","قالب ایمیل مجوز بازگشت کالا"
"RMA Comment Email Template for Guest","قالب ایمیل نظر مجوز بازگشت کالا برای مهمان"
"Send RMA Comment Email Copy To","ارسال ایمیل نظر مجوز بازگشت کالا کپی به"
"RMA Customer Comments","نظرات مشتریان مجوز بازگشت کالا"
"RMA Comment Email Recipient","ایمیل نظر فرستنده مجوز بازگشت کالا"
"Enabled for RMA","فعال برای RMA"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
