"Return","Quay trở lại"
"This attribute no longer exists.","Thuộc tính này không còn tồn tại."
"You cannot edit this attribute.","Bạn không thể chỉnh sửa các thuộc tính này."
"Edit Return Item Attribute","Chỉnh sửa thuộc tính sản phẩm hoàn trả"
"Returns Attributes","Thuộc tính hoàn trả"
"New Return Attribute","Thuộc tính hoàn trả mới"
"You saved the RMA item attribute.","Bạn đã lưu các thuộc tính của sản phẩm RMA."
"Something went wrong while saving the RMA item attribute.","Một cái gì đó đã đi sai trong khi lưu thuộc tính sản phẩm RMA."
"An attribute with the same code already exists.","Một thuộc tính với cùng mã đã tồn tại."
"The wrong RMA item was requested.","Mục RMA sai đã được yêu cầu."
"We cannot display the item attributes.","Chúng tôi không thể hiển thị các thuộc tính của sản phẩm."
"There are no applicable items for return in this order.","Không có sản phẩm nào áp dụng cho trả lại với đơn hàng này."
"We don't recognize or support the file extension in shipment %1.","Không nhận ra hoặc không hỗ trợ định dạng tệp tin trong lô hàng %1."
"Something went wrong creating a shipping label.","Một cái gì đó đã đi sai khi tạo ra một nhãn vận chuyển."
"A quantity you're trying to add exceeds the number of products we shipped.","Số lượng bạn đang cố gắng để thêm vượt quá số lượng sản phẩm chúng tôi có thể giao."
"Products should be added to package(s)","Sản phẩm nên được thêm vào gói"
"Please enter a valid value.","Vui lòng nhập một giá trị hợp lệ."
"This is the wrong RMA ID.","Đây này là ID RMA sai."
"We cannot display the available shipping methods.","Chúng tôi không thể hiển thị các phương pháp vận chuyển có sẵn."
"We cannot initialize an RMA to delete a tracking number.","Chúng tôi không thể khởi tạo một RMA để xóa một số theo dõi."
"We can't delete the tracking number right now.","Chúng tôi không thể xóa số theo dõi ngay bây giờ."
"We can't save this RMA.","Chúng tôi không thể lưu RMA này."
"You saved the RMA request.","Bạn đã lưu các yêu cầu RMA."
"You did not email your customer. Please check your email settings.","Bạn đã không gửi email cho khách hàng của bạn. Hãy kiểm tra cài đặt email của bạn."
"You submitted the RMA request.","Bạn gửi yêu cầu RMA."
"No items for bundle product","Không khoản mục nào cho gói sản phẩm"
"The wrong order ID or item ID was requested.","Sai thứ tự ID hoặc mã ID được yêu cầu."
"Page not found.","Không tìm thấy trang."
"Shipping Labels are not allowed.","Nhãn Vận chuyển không được phép."
"Please select a valid carrier.","Vui lòng chọn một phương tiện vận chuyển hợp lệ."
"Please enter a valid tracking number.","Vui lòng nhập một số theo dõi hợp lệ."
"We can't add a label right now.","Chúng tôi không thể thêm một nhãn ngay bây giờ."
"You selected the wrong RMA.","Bạn đã chọn sai RMA."
"We can't create a return transaction for order #%1.","Chúng tôi không thể tạo một giao dịch trả lại cho các đơn đặt hàng #%1."
"You submitted Return #%1.","Bạn đã nộp trả lại #%1."
"We can't create a return right now. Please try again later.","Chúng tôi không thể tạo một trả lại ngay bây giờ. Xin vui lòng thử lại sau."
"Create New Return","Tạo mới hoàn trả"
"We can't delete the label right now.","Chúng tôi không thể xoá nhãn ngay bây giờ."
"Return #%1","Trả lại #%1"
"Cannot add message.","Không thể thêm tin nhắn."
"My Returns","Hoàn trả của tôi"
"Tracking Information","Thông tin Theo dõi"
"Page not found","Không tìm thấy trang"
"Please check this order for errors.","Hãy kiểm tra lỗi cho các đơn đặt hàng."
"Contact Email Address","Địa chỉ Email liên hệ"
"Text Field","Trường văn bản"
"Text Area","Khu vực văn bản"
"Dropdown","Trình đơn xổ dọc"
"Image File","Tập tin hình ảnh"
"Could not save the RMA comment.","Could not save the RMA comment."
"Could not delete the RMA comment.","Could not delete the RMA comment."
"Only one RMA is available for printing","Chỉ có một RMA là có sẵn cho in Ấn"
"Return # ","Trả lại # "
"Return Date: ","Ngày trả lại: "
"Order # ","Đơn hàng # "
"Ordered: ","Đặt hàng: "
"Shipping Address:","Địa chỉ giao hàng:"
"Return Address:","Địa chỉ trả lại:"
"Condition","Điều kiện"
"Qty","Số lượng"
"There is an error in quantities for item %1.","Xảy ra lỗi với số lượng cho sản phẩm %1."
"Authorized Qty","Số lượng được ủy quyền"
"Returned Qty","Số lượng trả lại"
"Approved Qty","Số lượng được chấp thuận"
"%1 for item %2 cannot be empty.","%1 cho sản phẩm %2 không thể để trống."
"You cannot return %1.","Bạn không thể trả lại %1."
"A quantity of %1 is greater than you can return.","Số lượng %1 là lớn hơn số bạn có thể trả lại."
"You entered an invalid type: ""%1"".","Bạn đã nhập vào một kiểu không hợp lệ: ""%1""."
"You entered an invalid email address: ""%1"".","Bạn đã nhập địa chỉ email không hợp lệ: ""%1""."
"You entered an invalid hostname: ""%1""","Bạn đã nhập vào một tên máy chủ không hợp lệ: ""%1"""
"""%1"" is longer than allowed.","""%1"" là nhiều thời gian hơn mức cho phép."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","Chúng tôi không thể save RMA này. Không có mục nào được chỉ định."
"Pending","Đợi duyệt"
"Partially Authorized","Một phần thẩm quyền"
"Return Received","Đã nhận hoàn trả"
"Return Partially Received","Nhận được một phần trả lại"
"Partially Approved","Một phần đã được phê duyệt"
"Rejected","Bị từ chối"
"Partially Rejected","Một phần từ chối"
"Denied","Bị từ chối"
"Closed","Đóng cửa"
"Processed and Closed","Xử lý và đóng"
"This is the wrong RMA item status.","Đây là tình trạng sai sản phẩm RMA."
"We placed your Return request.","We placed your Return request."
"We authorized your Return request.","Chúng tôi cấp quyền yêu cầu trả lại cho bạn."
"We partially authorized your Return request.","Chúng tôi cấp một phần quyền yêu cầu trả lại cho bạn."
"We received your Return request.","Chúng tôi nhận được yêu cầu trả lại của bạn."
"We partially received your Return request.","Chúng tôi nhận được một phần yêu cầu trả lại của bạn."
"We partially approved your Return request.","Chúng tôi một phần chấp thuận yêu cầu trả lại của bạn."
"We partially rejected your Return request.","Chúng tôi từ chối một phần yêu cầu trả lại của bạn."
"We closed your Return request.","Chúng tôi đóng yêu cầu trả lại của bạn."
"We processed and closed your Return request.","Chúng tôi xử lý và đóng yêu cầu trả lại của bạn."
"ID cannot be an empty","ID không thể trống"
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not save the RMA entity.","Could not save the RMA entity."
"Could not delete the RMA entity.","Could not delete the RMA entity."
"Please enter a valid comment.","Vui lòng nhập một bình luận hợp lệ."
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4"
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Chúng ta cần biết thêm thông tin để tạo ra các nhãn vận chuyển của bạn. Xin vui lòng xác minh cài đặt lưu trữ thông tin và vận chuyển của bạn."
"No detail for number ""%1""","Không có chi tiết cho số ""%1"""
"Shipment does not exists.","Lô hàng không tồn tại."
"We can't load track with retrieving identifier right now.","Chúng tôi không thể tải ca khúc mà đang lấy định danh ngay bây giờ."
"Could not save the RMA tracking.","Could not save the RMA tracking."
"Could not delete the RMA tracking.","Could not delete the RMA tracking."
"Message","Message"
"No detail for number ""' . . '""","Không có chi tiết cho số ""'... '"""
"Use Config Settings","Sử dụng cấu hình cài đặt"
"All Items","Tất cả các mục"
"Individual Items","Sản phẩm riêng lẻ"
"Account &amp; Shipping Information","Tài khoản &amp; thông tin vận chuyển"
"Address Information","Thông tin địa chỉ"
"RMA Totals","Tổng số RMA"
"Request Details","Yêu cầu thông tin chi tiết"
"ID","ID"
"#","#"
"Order ID","ID đặt hàng"
"Customer Name","Tên khách hàng"
"Email Address","Địa chỉ email"
"RMA History","Lịch sử RMA"
"Comment Text","Văn bản Bình luận"
"Notify Customer by Email","Thông báo cho khách hàng bằng Email"
"Visible on Storefront","Có thể nhìn thấy trên Storefront"
"Customer Service","Dịch vụ khách hàng"
"Notified","Thông báo"
"Not Notified","Không thông báo"
"Return Address","Địa chỉ trả lại"
"Order Shipping Address","địa chỉ vận chuyển của đơn hàng"
"Delete Line","Xoá dòng"
"Select All","Chọn tất cả"
"Weight","Trọng lượng"
"Customs Value","Tuỳ chỉnh các giá trị"
"Qty Ordered","Số lượng đặt hàng"
"Shipping Information","Thông tin vận chuyển"
"Change shipping method.","Thay đổi phương thức vận chuyển."
"No authorized items or allowed shipping methods","Không có khoản mục được ủy quyền hoặc phương pháp được phép vận chuyển"
"Carrier","Nhà mạng"
"Title","Tiêu đề"
"Number","Số"
"Are you sure?","Bạn chắc chứ?"
"Shipping Method","Phương thức vận chuyển"
"Create Shipping Label","Tạo vận nhãn chuyển"
"Enabled when authorized items require a new shipment.","Được kích hoạt khi mục được ủy quyền yêu cầu một lô hàng mới."
"Order &amp; Account Information","Đặt hàng &amp; thông tin tài khoản"
"Return Totals","Tổng số trả lại"
"Return Confirmation","Xác nhận trả lại"
"Email Returns Confirmation","Email xác nhận trả lại"
"RMA Items Requested for","Sản phẩm yêu cầu RMA cho"
"Please Select Products to Add","Vui lòng chọn sản phẩm để thêm"
"Remove","Loại bỏ"
"Item","Sản phẩm"
"Return items","Sản phẩm hoàn trả"
"Sub-items","Tiểu mục"
"Quantity To Return","Số lượng để trả lại"
"Remaining Quantity:","Số lượng còn lại:"
"New Return for Order %1","Trả lại Mới cho đơn hàng %1"
"Email","Email"
"Return Items Information","Trở lại mục thông tin"
"Add Item To Return","Thêm khoản mục vào trả lại"
"Comments","Bình luận"
"Save","Lưu lại"
"Submit","Gửi"
"Back","Trở lại"
"Return #","Trả lại #"
"Date","Ngày"
"Ship From","Vận chuyển từ"
"Return Status","Trạng thái Trả lại"
"Actions","Thao tác"
"View Return","Xem hoàn trả"
"You have placed no returns.","Bạn không đặt trả lại nào."
"Packages","Gói"
"Close Window","Đóng cửa sổ"
"Package","Gói"
"Type","Loại"
"Length","Chiều dài"
"Total Weight","Tổng trọng lượng"
"Width","Chiều rộng"
"Height","Chiều cao"
"Items in the Package","Các mặt hàng trong gói"
"Are you sure you want to delete this tracking information?","Bạn có chắc bạn muốn xóa bỏ thông theo dõi tin này?"
"Request Information","Yêu cầu thông tin"
"Date Requested","Ngày yêu cầu"
"Shipping Address","Địa chỉ giao hàng"
"This won't take long . . .","Hãy vui lòng đợi một chút . . ."
"Shipping and Tracking Information","Vận chuyển và theo dõi thông tin"
"Track this shipment","Theo dõi lô hàng này"
"Items Return Requested For","Trở lại mục yêu cầu"
"Request Qty","Số lượng Yêu cầu"
"Hide Details","Ẩn chi tiết"
"Show Details","Hiển thị chi tiết"
"Questions and Answers","Câu hỏi và câu trả lời"
"Questions","Câu hỏi"
"Answers","Câu trả lời"
"Leave Comment","Để lại bình luận"
"%store_name:  New customer comment","%store_name: bình luận khách hàng mới"
"New Comment for RMA #%increment_id","Các bình luận mới cho RMA #%increment_id"
"Customer %name has left a new comment:","Khách hàng %name đã để lại một bình luận mới:"
"%store_name : New Return #%increment_id","%store_name: trả lại mới # %increment_id"
"%name,","%name,"
"Your return request has been updated. Please see below.","Yêu cầu trả lại của bạn đã được Cập Nhật. Xin vui lòng xem dưới đây."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Bạn có thể kiểm tra tình trạng của đơn trả lại của bạn bằng cách <a href=""%account_url""> đăng nhập vào tài khoản của bạn</a> hoặc <a href=""%form_url""> sử dụng số thứ tự của bạn </a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","TrẢ lại của bạn #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Bạn có thể kiểm tra trạng thái đơn trả lại của bạn <a href=""%form_url""> bằng cách sử dụng số thứ tựđơn hàng của bạn</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Nếu bạn có bất kỳ câu hỏi về đơn trả lại của bạn, xin vui lòng liên hệ với chúng tôi tại <a href=""mailto:%support_email""> %support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update"
"We received your return request. You will be notified when your request is reviewed.","Chúng tôi nhận được yêu cầu trả lại của bạn. Bạn sẽ được thông báo khi yêu cầu được xem xét."
"Placed on %created_at","Đặt trên %created_at"
"Click Details for more required fields.","Bấm vào chi tiết cho các trường được yêu cầu nhiều hơn."
"Ok","đồng ý"
"Create Packages","Tạo ra các gói"
"Add Package","Thêm gói"
"RMA Settings","Cài đặt RMA"
"Enable RMA on Storefront","Cho phép RMA trên Storefront"
"Enable RMA on Product Level","Cho phép RMA trên sản phẩm cấp"
"Use Store Address","Sử dụng Cửa hàng địa chỉ"
"Contact Name","Tên liên hệ"
"Street Address","Địa chỉ đường"
"City","Thành phố"
"State/Province","Bang/tỉnh"
"ZIP/Postal Code","Mã Bưu điện/Bưu chính"
"Country","Quốc gia"
"Enabled","Cho phép"
"RMA Email Sender","RMA người gửi Email"
"RMA Email Template","RMA Email mẫu"
"RMA Email Template for Guest","RMA Email mẫu cho khách"
"Send RMA Email Copy To","Gửi RMA Email sao cho"
"Comma-separated","Ngăn cách bởi dấu phẩy"
"Send RMA Email Copy Method","Gửi Email phương pháp sao chép RMA"
"RMA Authorization","RMA ủy quyền"
"RMA Authorization Email Sender","RMA người gửi Email ủy quyền"
"RMA Authorization Email Template","RMA mẫu Email ủy quyền"
"RMA Authorization Email Template for Guest","RMA mẫu Email ủy quyền cho khách"
"Send RMA Authorization Email Copy To","Gửi RMA Email ủy quyền sao cho"
"Send RMA Authorization Email Copy Method","Gửi Email phương pháp sao chép ủy quyền RMA"
"RMA Admin Comments","RMA Admin bình luận"
"RMA Comment Email Sender","RMA người gửi Email bình luận"
"RMA Comment Email Template","RMA bình luận Email mẫu"
"RMA Comment Email Template for Guest","RMA bình luận Email mẫu cho khách"
"Send RMA Comment Email Copy To","Gửi Email RMA sao chép bình luận cho"
"RMA Customer Comments","RMA ý kiến khách hàng"
"RMA Comment Email Recipient","RMA bình luận Email người nhận"
"Enabled for RMA","Kích hoạt cho RMA"
"Use config","Use config"
"%store_name : New Return # %increment_id","%store_name : New Return # %increment_id"
"%store_name: New Return # %increment_id","%store_name: New Return # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Return # %increment_id update"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The label cannot be created for '%1' because the product does not exist in the system.","The label cannot be created for '%1' because the product does not exist in the system."
"The service is unknown. Verify the service and try again.","The service is unknown. Verify the service and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again."
