"Return","Retourzending"
"We partially authorized your Return request.","Uw retour verzoek is gedeeltelijk geautoriseerd."
"We received your Return request.","Wij hebben uw retourverzoek ontvangen."
"We partially received your Return request.","Uw retour verzoek is gedeeltelijk ontvangen."
"We partially approved your Return request.","Uw retour verzoek is gedeeltelijk goedgekeurd."
"We partially rejected your Return request.","We hebben uw retourverzoek gedeeltelijk afgewezen."
"We closed your Return request.","We hebben uw retourverzoek gesloten."
"We processed and closed your Return request.","Uw retourverzoek is verwerkt en gesloten."
"ID cannot be an empty","ID mag niet leeg zijn"
"Requested entity doesn't exist","De opgevraagde entiteit bestaat niet"
"Could not save the RMA entity.","Kon RMA niet opslaan."
"Could not delete the RMA entity.","Kon RMA niet verwijderen."
"Please enter a valid comment.","Voer een geldige opmerking in."
"No such entity with %1 = %2, %3 = %4","Geen dergelijke entiteit met %1 = %2, %3 = %4"
"Invalid carrier: %1","Ongeldige vervoerder: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We hebben meer informatie nodig om uw verzending label(s) aan te maken. Controleer de winkel informatie en verzendings instellingen."
"No detail for number ""%1""","Geen detail voor nummer ""%1"""
"Shipment does not exists.","Zending bestaat niet."
"We can't load track with retrieving identifier right now.","Track-en-trace nummer kan niet worden geladen."
"Could not save the RMA tracking.","Kon RMA-volgen niet opslaan."
"Could not delete the RMA tracking.","Kon RMA-volgen niet verwijderen."
"Message","Bericht"
"No detail for number ""' . . '""","Geen Detail voor nummer ""' . . '"""
"Use Config Settings","Gebruik configuratiewaarden"
"All Items","Alle producten"
"Individual Items","Individuele producten"
"Account &amp; Shipping Information","Account- &amp; verzendinformatie"
"Address Information","Adres Gegevens"
"RMA Totals","RMA totalen"
"Request Details","Vraag details aan"
"ID","ID"
"#","#"
"Order ID","Bestelling ID"
"Customer Name","Naam klant"
"Email Address","E-mail adres"
"RMA History","RMA geschiedenis"
"Comment Text","Tekst opmerking"
"Notify Customer by Email","Bericht klant per email"
"Visible on Storefront","Zichtbaar in winkelaanzicht"
"Customer Service","Klantenservice"
"Notified","Genotificeerd"
"Not Notified","Niet ge-e-maild"
"Return Address","Retouradres"
"Order Shipping Address","Verzendadres bestelling"
"Delete Line","Verwijder regel"
"Select All","Alles selecteren"
"Weight","Gewicht"
"Customs Value","Douanewaarde"
"Qty Ordered","Besteld aantal"
"Shipping Information","Bezorg Informatie"
"Change shipping method.","Wijzig verzendmethode"
"No authorized items or allowed shipping methods","Geen geautoriseerde artikelen of toegestane verzendmethodes"
"Carrier","Vervoerder"
"Title","Titel"
"Number","Nummer"
"Are you sure?","Weet u het zeker?"
"Shipping Method","Bezorgmethode"
"Create Shipping Label","Verzendlabel maken"
"Enabled when authorized items require a new shipment.","Beschikbaar wanneer de geautoriseerde producten een nieuwe verzending nodig hebben."
"Order &amp; Account Information","Bestelling &amp; accountgegevens"
"Return Totals","Retour totalen"
"Return Confirmation","Retour bevestiging"
"Email Returns Confirmation","E-mail retour bevestiging"
"RMA Items Requested for","RMA producten aangevraagd voor"
"Please Select Products to Add","Selecteer Alstublieft Producten om Toe te Voegen"
"Remove","Verwijder"
"Item","Product"
"Return items","Producten retourneren"
"Sub-items","Sub-Items"
"Quantity To Return","Kwantiteit Terug Te Sturen"
"Remaining Quantity:","Resterend aantal:"
"New Return for Order %1","Nieuw retour voor bestelling %1"
"Email","E-mail"
"Return Items Information","Informatie Retourproducten"
"Add Item To Return","Voeg product toe aan de retour aanvraag"
"Comments","Opmerkingen"
"Save","Opslaan"
"Submit","Bevestig"
"Back","Terug"
"Return #","Keer terug #"
"Date","Datum"
"Ship From","Bezorg Vanaf"
"Return Status","Retourzending Status"
"Actions","Acties"
"View Return","Bekijk retournering"
"You have placed no returns.","U heeft geen retourneringen geplaatst"
"Packages","Pakketten"
"Close Window","sluit venster"
"Package","Pakket"
"Type","Soort"
"Length","Lengte"
"Total Weight","Totaalgewicht"
"Width","Breedte"
"Height","Hoogte"
"Items in the Package","Items in het pakket"
"Are you sure you want to delete this tracking information?","Weet u zeker dat u deze traceerinformatie wilt verwijderen?"
"Request Information","Vraag informatie aan"
"Date Requested","Datum verzoek"
"Shipping Address","Bezorgadres"
"This won't take long . . .","Dit duurt maar even . . ."
"Shipping and Tracking Information","Bezorg en Tracking Informatie"
"Track this shipment","Traceer deze bestelling"
"Items Return Requested For","Teruggave Item Gevraagd Voor"
"Request Qty","Verzoek kwantiteit"
"Hide Details","Verberg details"
"Show Details","Toon Details"
"Questions and Answers","Vragen en antwoorden"
"Questions","Vragen"
"Answers","Antwoorden"
"Leave Comment","Laat een opmerking achter"
"%store_name:  New customer comment","%store_name: Nieuwe klantopmering"
"New Comment for RMA #%increment_id","Nieuwe commentaar voor RMA #%increment_id"
"Customer %name has left a new comment:","Klant %name heeft een nieuwe opmerking achtergelaten:"
"%store_name : New Return #%increment_id","%store_name: Nieuwe retour #%increment_id"
"%name,","%naam,"
"Your return request has been updated. Please see below.","Uw retourverzoek is bijgewerkt. Zie hieronder."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","U kan de status van uw retour bekijken door <a href=""%account_url"">in te loggen op uw account</a> of <a href=""%form_url"">door gebruik van uw bestelnummer</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","Indien u nog vragen heeft, aarzel dan niet om ons te contacteren op <a href=""mailto:%support_email"">%support_email</a> of telefonisch op %store_phone"
"Your Return #%increment_id - %status_label","Uw retour #%increment_id - %status_label"
"%store_name: New Return #%increment_id","%store_name: Nieuwe retour #%increment_id"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","U kan de status bekijken van uw retour <a href=""%form_url"">met behulp van uw bestelnummer</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Indien u vragen heeft over uw retour, contacteer ons dan op <a href=""mailto:%support_email"">%support_email</a>."
"%store_name: Return #%increment_id update","%store_name: Retour #%increment_id bijgewerkt"
"We received your return request. You will be notified when your request is reviewed.","We hebben uw retourverzoek ontvangen. U zal op de hoogte worden gebracht als uw verzoek wordt gevalideerd."
"Placed on %created_at","Geplaatst op %created_at"
"Click Details for more required fields.","Klik op Details voor meer verplichte velden."
"Ok","OK"
"Create Packages","Nieuw pakket aanmaken"
"Add Package","Voeg pakket toe"
"RMA Settings","RMA instellingen"
"Enable RMA on Storefront","RMA op Storefront inschakelen"
"Enable RMA on Product Level","Schakel RMA's in op productniveau"
"Use Store Address","Gebruik winkeladres"
"Contact Name","contact naam"
"Street Address","Adres"
"City","Plaatsnaam"
"State/Province","Staat/Provincie"
"ZIP/Postal Code","Postcode"
"Country","Land"
"Enabled","Ingeschakeld"
"RMA Email Sender","Afzender RMA E-mail"
"RMA Email Template","RMA email template"
"RMA Email Template for Guest","RMA email template voor gast"
"Send RMA Email Copy To","Verzend RMS E-mail Kopie Naar"
"Comma-separated","Komma gescheiden"
"Send RMA Email Copy Method","Verzend RMS E-mail Kopie Methode"
"RMA Authorization","RMA Autorisatie"
"RMA Authorization Email Sender","Afzender RMA Autorisatie E-mail"
"RMA Authorization Email Template","RMA Autorisatie email template"
"RMA Authorization Email Template for Guest","RMA Autorisatie email template voor gast"
"Send RMA Authorization Email Copy To","Stuur Kopie RMA Autorisatie E-mail Naar"
"Send RMA Authorization Email Copy Method","Stuur RMA Autorisatie E-mail Kopie Methode"
"RMA Admin Comments","RMA Admin Opmerkingen"
"RMA Comment Email Sender","Afzender RMA Opmerking E-mail"
"RMA Comment Email Template","RMA Opmerkingen e-mailtemplate"
"RMA Comment Email Template for Guest","RMA commentaar email template voor gast"
"Send RMA Comment Email Copy To","Stuur RMA Opmerkingen E-mail Naar"
"RMA Customer Comments","RMA opmerkingen van klanten"
"RMA Comment Email Recipient","Geadresseerde RMA-Opmerking e-mail"
"Enabled for RMA","Ingeschakeld voor RMA"
"Use config","Gebruik configuratie"
"%store_name : New Return # %increment_id","%store_name: Nieuwe retour # %increment_id"
"%store_name: New Return # %increment_id","%store_name: Nieuwe retour # %increment_id"
"%store_name: Return # %increment_id update","%store_name: Nieuwe retourupdate # %increment_id"
"Comma separated. Forbidden file extensions: %1.","Komma gescheiden. Verboden bestandsextensies: %1."
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Het attribuut kon niet worden opgeslagen vanwege een fout. Controleer uw informatie en probeer het opnieuw. Als de fout zich blijft voordoen, probeer het later opnieuw."
"Please correct the value for file extensions.","Corrigeer de waarde voor het bestandsformaat."
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"The label cannot be created for '%1' because the product does not exist in the system.","Het label kan niet worden aangemaakt voor '%1' omdat het product niet bestaat in het systeem."
"The service is unknown. Verify the service and try again.","De service is onbekend. Controleer de service en probeer het opnieuw."
"The entity that was requested doesn't exist. Verify the entity and try again.","De aangevraagde entiteit bestaat niet. Controleer de entiteit en probeer het opnieuw."
"The ""%1"" carrier is invalid. Verify and try again.","De ""%1"" aanbieder is ongeldig. Controleer en probeer het opnieuw."
