"Delete Current Hierarchy","מחיקת את ההיררכייה הנוכחית"
"CMS Page Hierarchy","היררכיית עמודי CMS"
"Enable Hierarchy Functionality","הפעלת פונקציונליות היררכיה"
"Enable Hierarchy Metadata","הפעל מטא-נתונים היררכיה"
"Default Layout for Hierarchy Menu","סידור ברירת המחדל עבור תפריט היררכיה"
"CMS Hierarchy","ההיררכיה CMS"
"CMS Hierarchy Node Link","קישור קשר הירארכיה CMS"
"Link to Specified CMS Hierarchy Node","לינק לקשר ההיררכייה CMS"
"Template","תבנית"
"CMS Page Link Block Template","קישור לבלוק של של עמודי תוכן"
"CMS Page Link Inline Template","תבנית קישור שורתי של דפי תוכן"
"All Store Views","כל תצוגות החנויות"
"Add selected page(s) to the tree.","להוסיף את העמוד/ים הנבחר/ים לעץ."
"Version Control","בקרת גירסה"
"Version Label","תווית גרסה"
"Owner","בעלים"
"Access Level","רמת גישה"
"Quantity","כמות"
"Created","נוצר"
"Versions","גרסאות"
"Are you sure?","האם אתה בטוח?"
"N/A","לא זמין"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","פורסם"
"Save and publish.","שמור ופרסם."
"Save in a new version.","שמור בגירסה חדשה."
"You must specify a new version name.","עליך לציין את שם הגרסה החדשה."
"Please specify a valid name.","נא לציין שם חוקי."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","שמור והמשך בעריכה."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","מידע אודות גירסה"
"Revision","Revision"
"Author","כותב"
"Edit Page","עריכת דף"
"New Page","דף חדש"
"Please select version(s).","נא לבחור גרסא/ות."
"A total of %1 record(s) have been deleted.","סך של %1 רשומות נמחקו."
"Something went wrong while deleting these versions.","משהו השתבש בעת גירסאות אלו."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","משהו השתבש בעת גירסה זו."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","פורסם"
"[No Owner]","[אין בעלים]"
"Enabled by Default","מאופשר כברירת מחדל"
"Disabled by Default","לא זמינים כברירת מחדל"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","תקלה"
"There are unsaved node data. Are you sure you want to continue?","יש קשרים שלא נשמרו. האם אתה בטוח שברצונך להמשיך?"
"Loading...","טוען..."
"Please wait...","אנא המתן..."
"Choose Revision","Choose Revision"
"Current Modification","השינוי הנוכחי"
"Revision #%1","Revision #%1"
"Choose Store View:","בחירת תצוגת חנות:"
"Revision #","מהדורה #"
"New Revision","New Revision"
"Author:","מפתח:"
"Created:","נוצר:"
"Version:","גרסה:"
"This Page Belongs To","דף זה שייך ל"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
