"Delete Current Hierarchy","Supprimer la hiérarchie actuelle"
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Publié"
"[No Owner]","[No Owner]"
"Enabled by Default","Activé par défaut"
"Disabled by Default","Désactivé par défaut"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Une erreur"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","En cours de chargement..."
"Please wait...","Veuillez patienter..."
"Choose Revision","Choisir une révision"
"Current Modification","Modification actuelle"
"Revision #%1","Révision #%1"
"Choose Store View:","Choisir la vue magasin :"
"Revision #","Révision #"
"New Revision","Prochaine révision"
"Author:","Auteur:"
"Created:","Créé :"
"Version:","Version:"
"This Page Belongs To","Cette page est à"
"Version Revisions","Révisions de version"
"CMS Versioning","Version CMS"
"CMS Page Default Versioning","Versioning de la page CMS par défaut"
"The CMS node with the ""%1"" ID doesn't exist.","La page CMS avec l'identifiant ""%1"" n'existe pas."
