"Delete Current Hierarchy","Supprimer la hiérarchie actuelle"
"We could not load the specified revision.","Nous n'avons pas pu charger la révision spécifiée."
"Edit Revision","Modifier la révision"
"You have published the revision.","Vous avez publié la révision."
"You have saved the revision.","Vous avez enregistré la révision."
"You have deleted the version.","Vous avez supprimé la version."
"Something went wrong while deleting this version.","Une erreur s'est produite lors de la suppression de cette version."
"We can't find a version to delete.","Nous ne pouvons pas trouver de version à supprimer."
"Edit Version","Modifier la version"
"Please select revision(s).","Veuillez sélectionner une(s) révision(s)."
"Something went wrong while deleting the revisions.","Une erreur s'est produite lors de la suppression des révisions."
"You have created the new version.","Vous avez créé la nouvelle version."
"You have saved the version.","Vous avez enregistré la version."
"Revision #%1 could not be removed because it is published.","La révision n°%1 n'a pas pu être supprimée car elle est publiée."
"CMS Revision with id ""%1"" does not exist.","La révision CMS avec l'id ""%1"" n'existe pas."
"Please enter a version label.","Veuillez entrer un libellé de version."
"Cannot change version access level because it is the last public version for its page.","Impossible de modifier le niveau d'accès de la version car c'est la dernière version publique de sa page."
"Version ""%1"" cannot be removed because it is the last public page version.","La version ""%1"" ne peut pas être supprimée car c'est la dernière version de la page publique."
"Version ""%1"" cannot be removed because its revision is published.","La version ""%1"" ne peut pas être supprimée car sa révision est publiée."
"CMS Version with id ""%1"" does not exist.","La version CMS avec l'id ""%1"" n'existe pas."
"Published","Publié"
"[No Owner]","[Aucun propriétaire]"
"Enabled by Default","Activé par défaut"
"Disabled by Default","Désactivé par défaut"
"Under Version Control","Sous contrôle de version"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Révision publiée actuellement"
"The published revision is unavailable.","La révision publiée n'est pas disponible."
"Some error","Une erreur"
"There are unsaved node data. Are you sure you want to continue?","Il y a des données de noeud non enregistrées. Êtes-vous sûr de vouloir continuer ?"
"Loading...","En cours de chargement..."
"Please wait...","Veuillez patienter..."
"Choose Revision","Choisir une révision"
"Current Modification","Modification actuelle"
"Revision #%1","Révision #%1"
"Choose Store View:","Choisir la vue magasin :"
"Revision #","Révision #"
"New Revision","Prochaine révision"
"Author:","Auteur:"
"Created:","Créé :"
"Version:","Version:"
"This Page Belongs To","Cette page est à"
"Version Revisions","Révisions de version"
"CMS Versioning","Version CMS"
"CMS Page Default Versioning","Versioning de la page CMS par défaut"
"The CMS node with the ""%1"" ID doesn't exist.","La page CMS avec l'identifiant ""%1"" n'existe pas."
