"Delete Current Hierarchy","Usuń bieżącą hierarchię"
"CMS","CMS"
"CMS Page Trees","Drzewa stron CMS"
"You have saved the hierarchy.","Zapisałeś hierarchię."
"Something went wrong while saving the hierarchy.","Coś się zepsuło podczas kopiowania hierarchii."
"Manage Pages","Zarządzanie stronami"
"Private","Prywatny"
"Protected","Chroniony"
"Public","Publiczny"
"Delete Multiple Hierarchies","Usuń wiele hierarchii"
"Please correct the node data.","Proszę poprawić dane."
"CMS Node with id ""%1"" does not exist.","CMS Node with id ""%1"" does not exist."
"Tree Viewed","Wyświetlone drzewo"
"No","Nie"
"Chapter","Rozdział"
"Section","Sekcja"
"Both","Zarówno"
"Use default","Użyj domyślnego"
"Default","Domyślny"
"Numbers (1, 2, 3, ...)","Numery (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Małe znaki alfanumeryczne (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Duże znaki alfanumeryczne (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Małe cyfry rzymskie (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Duże cyfry rzymskie (I, II, III, ...)"
"Circle","Koło"
"Disc","Dysk"
"Square","Plac"
"Unordered","Nieuporządkowana"
"Ordered","Zamówień"
"Use Parent","Użyj rodzica"
"Yes","Tak"
"Use the parent node hierarchy.","Użyj hierarchii węzła nadrzędnego."
"Are you sure you want to delete current hierarchy?","Czy na pewno chcesz usunąć bieżącą hierarchię?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Ta strona nie może zostać dodana ponieważ węzeł lub strona z tym samym kluczem URL już istnieje w tej części drzewa."
"This URL key is already in use.","Ten klucz URL jest już w użyciu."
"CMS Pages","Strony CMS"
"Please select a website or store view.","Proszę wybierz stronę lub widok sklepu."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Czy na pewno chcesz skopiować bieżącą hierarchię do wybranych miejsc docelowych?"
"Are you sure you want to delete the selected hierarchies?","Czy na pewno chcesz usunąć wybrane hierarchie?"
"Delete","Usuń"
"Please select one or more hierarchies to delete.","Wybierz jedną lub więcej hierarchii do usunięcia."
"Please assign the current hierarchy to one or more destinations.","Przypisz bieżącą hierarchię do jednego lub więcej miejsc."
"Root","Baza"
"No nodes are available","Węzły nie są dostępne"
"Single Hierarchy for All Store Views","Wspólna hierarchia dla wszystkich widoków sklepów"
"Specific Hierarchy for Each Store View","Określ hierarchię dla każdego widoku sklepu"
"CMS Hierarchy for","Hierarchia stron CMS dla"
"Anchor Custom Text","Własny tekst kotwicy"
"If this value is empty, the node or page name will be used.","Jeśli wartość ta jest pusta, nazwa węzła lub strony będzie używana."
"Anchor Custom Title","Własny tytuł kotwicy"
"Node","Węzeł"
"Not Selected","Nie wybrano"
"Select a page or node.","Wybierz węzeł lub stronę."
"Parent page","Strona rodzica"
"Website Root","Strona bazowa"
"Page:","Strona:"
"Page","Strona"
"Previous","Poprzednie"
"You're currently reading page","Aktualnie czytasz stronę"
"Next","Następne"
"Delete Revision and Version","Usuń rewizję oraz wersję"
"Publish Revision","Opublikuj rewizję"
"Pages","Strony"
"CMS Page Hierarchy","Hierarchia strony CMS"
"Enable Hierarchy Functionality","Włącz funkcję hierarchii"
"Enable Hierarchy Metadata","Włącz metadanych hierarchii"
"Default Layout for Hierarchy Menu","Domyślny układ hierarchii menu"
"CMS Hierarchy","Hierarchia stron CMS"
"CMS Hierarchy Node Link","Odnośnik do węzła w hierarchii CMS"
"Link to Specified CMS Hierarchy Node","Link do określonego węzła hierarchii CMS"
"Template","Szablon"
"CMS Page Link Block Template","Szablon blokowy linku strony CMS"
"CMS Page Link Inline Template","Szablon liniowy linku strony CMS"
"All Store Views","Wszystkie widoki sklepu"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Version Control","Version Control"
"Version Label","Version Label"
"Owner","Owner"
"Access Level","Access Level"
"Quantity","Quantity"
"Created","Created"
"Versions","Versions"
"Are you sure?","Are you sure?"
"N/A","N/A"
"Are you sure you want to delete this revision?","Are you sure you want to delete this revision?"
"Publish","Publish"
"Save and publish.","Save and publish."
"Save in a new version.","Save in a new version."
"You must specify a new version name.","You must specify a new version name."
"Please specify a valid name.","Please specify a valid name."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Author"
"Edit Page","Edit Page"
"New Page","New Page"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Edit Revision"
"You have published the revision.","You have published the revision."
"You have saved the revision.","You have saved the revision."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Edit Version"
"Please select revision(s).","Please select revision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","You have created the new version."
"You have saved the version.","You have saved the version."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"CMS Revision with id ""%1"" does not exist.","CMS Revision with id ""%1"" does not exist."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Cannot change version access level because it is the last public version for its page."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
"CMS Version with id ""%1"" does not exist.","CMS Version with id ""%1"" does not exist."
"Published","Published"
"[No Owner]","[No Owner]"
"Enabled by Default","Enabled by Default"
"Disabled by Default","Disabled by Default"
"Under Version Control","Under Version Control"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Currently Published Revision"
"The published revision is unavailable.","The published revision is unavailable."
"Some error","Some error"
"There are unsaved node data. Are you sure you want to continue?","There are unsaved node data. Are you sure you want to continue?"
"Loading...","Loading..."
"Please wait...","Please wait..."
"Choose Revision","Choose Revision"
"Current Modification","Current Modification"
"Revision #%1","Revision #%1"
"Choose Store View:","Choose Store View:"
"Revision #","Revision #"
"New Revision","New Revision"
"Author:","Author:"
"Created:","Created:"
"Version:","Version:"
"This Page Belongs To","This Page Belongs To"
"Version Revisions","Version Revisions"
"CMS Versioning","CMS Versioning"
"CMS Page Default Versioning","CMS Page Default Versioning"
"The CMS node with the ""%1"" ID doesn't exist.","The CMS node with the ""%1"" ID doesn't exist."
